scrip,company,headline,summary,published_date,source,url
ASHAPURMIN,Ashapura Minechem Limited,Not Many Are Piling Into Ashapura Minechem Limited (NSE:ASHAPURMIN) Stock Yet As It Plummets 30% - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxOamVIN2RadTZ6cFlDbmgwQk5wbFcwOWJWUmwybkRYRV9idnpuNkxvM0ZUYWxpcElXSE5wYzFUdGhaajlLOTU2OUZoV282Z0tVWm1MU1lGenB6clF5dmtzTzUyWEFHemdUZjc3dmNKeURjczRXdktWV2c2SEMxSUp2MTlMdFNjTk5FX29JdHpwbkd4SldEZzlnbmlwMmN4Qzl6LVZpa2NuRlVfcDdXSUpITUQyQjU0b0tNRERNZnRJWTFnX1Q3emhVaVJkdEpHczQwazEyalROOE96RDhUNHVYcNIB5gFBVV95cUxOam5hbHd6elpXVzlzRVhrMncwUnI0RHhOZENxb0E1OEdaTDlZZUcwVE1HYlhnVDNZN1FKYVVTeWYtTFFEQmh3S3Y1bENOR2NqZFlNdENxTEtKWWNIeGswMnJZTEZvT182UjR6aFduSXEyRnJ5WDZ5QzFheGR4OEMxcW9RNV9lOHh5b21kd3BHOGZUYnpMS19OQWQ3Zl82MUIxb1lwS29iVHo4QTNQbW5uVC1LbFprWGFfRHZORkRrMmRWeTZfMnVfT2hsRFl6aDNBQnVfcnQyM1B1cXZtRkdkSGNwellUZw?oc=5"" target=""_blank"">Not Many Are Piling Into Ashapura Minechem Limited (NSE:ASHAPURMIN) Stock Yet As It Plummets 30%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-08 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOamVIN2RadTZ6cFlDbmgwQk5wbFcwOWJWUmwybkRYRV9idnpuNkxvM0ZUYWxpcElXSE5wYzFUdGhaajlLOTU2OUZoV282Z0tVWm1MU1lGenB6clF5dmtzTzUyWEFHemdUZjc3dmNKeURjczRXdktWV2c2SEMxSUp2MTlMdFNjTk5FX29JdHpwbkd4SldEZzlnbmlwMmN4Qzl6LVZpa2NuRlVfcDdXSUpITUQyQjU0b0tNRERNZnRJWTFnX1Q3emhVaVJkdEpHczQwazEyalROOE96RDhUNHVYcNIB5gFBVV95cUxOam5hbHd6elpXVzlzRVhrMncwUnI0RHhOZENxb0E1OEdaTDlZZUcwVE1HYlhnVDNZN1FKYVVTeWYtTFFEQmh3S3Y1bENOR2NqZFlNdENxTEtKWWNIeGswMnJZTEZvT182UjR6aFduSXEyRnJ5WDZ5QzFheGR4OEMxcW9RNV9lOHh5b21kd3BHOGZUYnpMS19OQWQ3Zl82MUIxb1lwS29iVHo4QTNQbW5uVC1LbFprWGFfRHZORkRrMmRWeTZfMnVfT2hsRFl6aDNBQnVfcnQyM1B1cXZtRkdkSGNwellUZw?oc=5
ASHAPURMIN,Ashapura Minechem Limited,ASHAPURMIN.BO Ashapura Minechem (BSE) down 16.64% on 06 Feb 2026: watch INR 596 support - Meyka,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNR1hJX1NnRnZUcTNFTEZWT3VLbWxKMjMzZllTLWpQeTItMmEwc3RfOVhHVWgxSVNjcXQwTjBFcEhnUzkwbU9qY28wd3ZmSWc3T2FOZGpmazNnam9leUFWWHN1amFaTUo3RU16Q1hGeWRWd1VWSThDbkRRdmZsNk9NUDRBTk1CakhlNGk5ZUFvbXI1em5rSTFYU1JyLUZrU053WnQ1VXFQcG4xZkZYdlpj?oc=5"" target=""_blank"">ASHAPURMIN.BO Ashapura Minechem (BSE) down 16.64% on 06 Feb 2026: watch INR 596 support</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2026-02-06 08:00:00,Meyka,https://news.google.com/rss/articles/CBMirwFBVV95cUxNR1hJX1NnRnZUcTNFTEZWT3VLbWxKMjMzZllTLWpQeTItMmEwc3RfOVhHVWgxSVNjcXQwTjBFcEhnUzkwbU9qY28wd3ZmSWc3T2FOZGpmazNnam9leUFWWHN1amFaTUo3RU16Q1hGeWRWd1VWSThDbkRRdmZsNk9NUDRBTk1CakhlNGk5ZUFvbXI1em5rSTFYU1JyLUZrU053WnQ1VXFQcG4xZkZYdlpj?oc=5
ASHAPURMIN,Ashapura Minechem Limited,"Ashapura Minechem Jumps 6.84% on Dividend, Global Push - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQZnBhaERPcThqOWZ2ZjExQ2w2Mm14TlRNVXRvZFplTlRoRk9FT0JYMnZERWg2QUNORGYwTmVQcDI2VVJOeUY3b1dUZ083LWhES1dFNjNTbm1Udlg5YjlHU3ZFM2RqV0RPdVBGcW5FbThwMU4yY3JIbFUzZW1zeXhKWS01cUlLdXFFMjhCbEZDZTE1aUs4ZE9SYWxYMVFWSEVEOExJ?oc=5"" target=""_blank"">Ashapura Minechem Jumps 6.84% on Dividend, Global Push</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-08-29 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiowFBVV95cUxQZnBhaERPcThqOWZ2ZjExQ2w2Mm14TlRNVXRvZFplTlRoRk9FT0JYMnZERWg2QUNORGYwTmVQcDI2VVJOeUY3b1dUZ083LWhES1dFNjNTbm1Udlg5YjlHU3ZFM2RqV0RPdVBGcW5FbThwMU4yY3JIbFUzZW1zeXhKWS01cUlLdXFFMjhCbEZDZTE1aUs4ZE9SYWxYMVFWSEVEOExJ?oc=5
ASHAPURMIN,Ashapura Minechem Limited,Could The Market Be Wrong About Ashapura Minechem Limited (NSE:ASHAPURMIN) Given Its Attractive Financial Prospects? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxQbG9GYTd5WnczRHk2dkd4X1ZDSFZjQUN0UGNreFdpbldmcUJNTzlGbmRsdFhLTXFzcWRIeENVeVBUekd0VE5RT0t1T2JFcUhOaXYtVFgydUs3YVBrTzFCaUt2emNVSng5bHVFV3ZHdkRHMjlxWXYyWXhjY2pKdlI2NVdYWjUzRzBpX0pkcVNzLU5QdXhmTW9lQVNTOWdGYm0yaHNGMVFvYmw1eWM1X29iN2JQcFFETkJqMW5tR0RvRjdKTWZZcmE5dWMwWXZobWFVQnRlR3loQ2lLeVl0eE5pOFU1OA?oc=5"" target=""_blank"">Could The Market Be Wrong About Ashapura Minechem Limited (NSE:ASHAPURMIN) Given Its Attractive Financial Prospects?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-05 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQbG9GYTd5WnczRHk2dkd4X1ZDSFZjQUN0UGNreFdpbldmcUJNTzlGbmRsdFhLTXFzcWRIeENVeVBUekd0VE5RT0t1T2JFcUhOaXYtVFgydUs3YVBrTzFCaUt2emNVSng5bHVFV3ZHdkRHMjlxWXYyWXhjY2pKdlI2NVdYWjUzRzBpX0pkcVNzLU5QdXhmTW9lQVNTOWdGYm0yaHNGMVFvYmw1eWM1X29iN2JQcFFETkJqMW5tR0RvRjdKTWZZcmE5dWMwWXZobWFVQnRlR3loQ2lLeVl0eE5pOFU1OA?oc=5
ASHAPURMIN,Ashapura Minechem Limited,We Discuss Whether Ashapura Minechem Limited's (NSE:ASHAPURMIN) CEO Is Due For A Pay Rise - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxOUDl3M3B3NURJMmJlMVpweWJQTzVPbGMyZkFlOHNFaDNYUWV4ZHpCY0JVeUw4dmpJenQ4eVA3LTZqZjFiNnZVTzBoUnlvSmdWcV80dzVkWjg4MTNTX1hUY2MwU0JLYU1Nc081RlRxNEdZdF80WkQyamRvNjFsbFlHbUFpc09tT0hLekFqWndIUldoNGx2c011ZG5tUENBWm1CX1R4clY5NGhILXMweHp5Ml9vbUgxR1dXQTVBY3pHeFJteW9QN3Z1TjRCWkhSdk4wckoxbmh0N0RjTTdaZ1hF0gHkAUFVX3lxTE5uUkpPT1NUYUMyMl9RNUhEQi01bmhuRUprQkc1azByS182QTQ3RTZCVXBoNUpMTTJ3MnRtdGJrUnZuQ1JfVWhSSEFpQ1Q1SW9Lem1MZVJRWGc0N1RuRTRMYzBickZuSVR5SjkxV3RtT1RrSVNGaFpZY3dKbHhneV9sUXRjX0F5MU1Vd280bmhya3ZGSUI1UmpFSVNRQXlRQ3pyUDFPUUNVMU9ESEExVU80Nm5tYTM3cGJjRzM5U1NaYnVuRmtrWDRRY3ZiUVk5M1pFLXNlNFFFcm04OWlEemthM1lMZg?oc=5"" target=""_blank"">We Discuss Whether Ashapura Minechem Limited's (NSE:ASHAPURMIN) CEO Is Due For A Pay Rise</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-18 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOUDl3M3B3NURJMmJlMVpweWJQTzVPbGMyZkFlOHNFaDNYUWV4ZHpCY0JVeUw4dmpJenQ4eVA3LTZqZjFiNnZVTzBoUnlvSmdWcV80dzVkWjg4MTNTX1hUY2MwU0JLYU1Nc081RlRxNEdZdF80WkQyamRvNjFsbFlHbUFpc09tT0hLekFqWndIUldoNGx2c011ZG5tUENBWm1CX1R4clY5NGhILXMweHp5Ml9vbUgxR1dXQTVBY3pHeFJteW9QN3Z1TjRCWkhSdk4wckoxbmh0N0RjTTdaZ1hF0gHkAUFVX3lxTE5uUkpPT1NUYUMyMl9RNUhEQi01bmhuRUprQkc1azByS182QTQ3RTZCVXBoNUpMTTJ3MnRtdGJrUnZuQ1JfVWhSSEFpQ1Q1SW9Lem1MZVJRWGc0N1RuRTRMYzBickZuSVR5SjkxV3RtT1RrSVNGaFpZY3dKbHhneV9sUXRjX0F5MU1Vd280bmhya3ZGSUI1UmpFSVNRQXlRQ3pyUDFPUUNVMU9ESEExVU80Nm5tYTM3cGJjRzM5U1NaYnVuRmtrWDRRY3ZiUVk5M1pFLXNlNFFFcm04OWlEemthM1lMZg?oc=5
ASHAPURMIN,Ashapura Minechem Limited,"Ashapura Minechem Limited's (NSE:ASHAPURMIN) market cap up ₹6.3b last week, benefiting both retail investors who own 34% as well as insiders - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPWVY0VlFhc1B2SE1NazlfcWdsc1JHOEctc1lKcVcyVnU3dEhPQ2lxYUQ5QWNBYmxKaTBQLTh1c2dybkZmeFp5OWNTSlI3ZkxKOE1rT2I0czRlS2wxVlhuN1dXWVJ1UzB5U0poVlVRV2ZlTzFqbmFpdlNnVmJWV1RjQkEtZVpkSTJxeG56VkxjYmtzRFhxQXV3YjQ2Z0RmS1ljRGx6RV9JcUdXSjZiX3IySF9fR19UVmo4UW81RG96angtUndkOHJzMm9Eb05weHoxdy1zQjhJZHY4ek5aNi1UNw?oc=5"" target=""_blank"">Ashapura Minechem Limited's (NSE:ASHAPURMIN) market cap up ₹6.3b last week, benefiting both retail investors who own 34% as well as insiders</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-13 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPWVY0VlFhc1B2SE1NazlfcWdsc1JHOEctc1lKcVcyVnU3dEhPQ2lxYUQ5QWNBYmxKaTBQLTh1c2dybkZmeFp5OWNTSlI3ZkxKOE1rT2I0czRlS2wxVlhuN1dXWVJ1UzB5U0poVlVRV2ZlTzFqbmFpdlNnVmJWV1RjQkEtZVpkSTJxeG56VkxjYmtzRFhxQXV3YjQ2Z0RmS1ljRGx6RV9JcUdXSjZiX3IySF9fR19UVmo4UW81RG96angtUndkOHJzMm9Eb05weHoxdy1zQjhJZHY4ek5aNi1UNw?oc=5
ASHAPURMIN,Ashapura Minechem Limited,Who Owns Ashapura Minechem Limited (NSE:ASHAPURMIN)? - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxQQTVlZl9sRlRFVW8tLUtCRmc3Y0VJTEpsR2l3TERwbXhiQV9xYVVkcTVYVmdtR251SW5wSGg5ajJZY0ZMcnRWT0twZEFLc3BwZVptWXFXVFF0eGFXSW5fMXdYZXhVWjlSMDJOUk1NOEpCSjFVdmVReVlfNnVrU29feTRERmhhZzg?oc=5"" target=""_blank"">Who Owns Ashapura Minechem Limited (NSE:ASHAPURMIN)?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",2017-12-23 08:00:00,Yahoo Finance,https://news.google.com/rss/articles/CBMihwFBVV95cUxQQTVlZl9sRlRFVW8tLUtCRmc3Y0VJTEpsR2l3TERwbXhiQV9xYVVkcTVYVmdtR251SW5wSGg5ajJZY0ZMcnRWT0twZEFLc3BwZVptWXFXVFF0eGFXSW5fMXdYZXhVWjlSMDJOUk1NOEpCSjFVdmVReVlfNnVrU29feTRERmhhZzg?oc=5
ASHAPURMIN,Ashapura Minechem Limited,Does Ashapura Minechem (NSE:ASHAPURMIN) Deserve A Spot On Your Watchlist? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPU2ZBV0dyYUVnbWNKVkNSRGNXQnZ1cDcybDB4M2VZbV9TZXUtRGpTQU9nelZKTDQzY2Vfb3dWWHZPLXdDcTVVWE1NeGl3RUJ2MWNlVHdQYTFhSHZuVWlUdGs0T3d5ZXBQUUdKZ2l1RnVrYnFkQ3RQWDBUQjlfaUo0d21xaE1GN0pscWV5ckppdjRFTVVfbUhHOGUtNmJHbjY4R3BCN3RSMGZTVFBtSDJEOTBpalZLQmIwWUZfUUh1SGdfbGRjVFpYZ1NacmxuR1BjaE9VTExZaGxoRllpdURR?oc=5"" target=""_blank"">Does Ashapura Minechem (NSE:ASHAPURMIN) Deserve A Spot On Your Watchlist?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-17 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPU2ZBV0dyYUVnbWNKVkNSRGNXQnZ1cDcybDB4M2VZbV9TZXUtRGpTQU9nelZKTDQzY2Vfb3dWWHZPLXdDcTVVWE1NeGl3RUJ2MWNlVHdQYTFhSHZuVWlUdGs0T3d5ZXBQUUdKZ2l1RnVrYnFkQ3RQWDBUQjlfaUo0d21xaE1GN0pscWV5ckppdjRFTVVfbUhHOGUtNmJHbjY4R3BCN3RSMGZTVFBtSDJEOTBpalZLQmIwWUZfUUh1SGdfbGRjVFpYZ1NacmxuR1BjaE9VTExZaGxoRllpdURR?oc=5
ASHAPURMIN,Ashapura Minechem Limited,Technical Analysis of Ashapura Minechem Ltd (NSE:ASHAPURMIN) - TradingView,"<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTFBONWc0SW5wTlpUTjltTHFUdGV0SWZJNmVlTGFueExYYzRaMk5WZ3FZWG56WWpIaVNQallWNkJ1U0NjUl81VmozXzJTc21SZXVJWGg0b1g3dHNzTnNkWWlhb0VMWUtMNnlVd3o5T0x5RQ?oc=5"" target=""_blank"">Technical Analysis of Ashapura Minechem Ltd (NSE:ASHAPURMIN)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2018-02-01 14:17:22,TradingView,https://news.google.com/rss/articles/CBMib0FVX3lxTFBONWc0SW5wTlpUTjltTHFUdGV0SWZJNmVlTGFueExYYzRaMk5WZ3FZWG56WWpIaVNQallWNkJ1U0NjUl81VmozXzJTc21SZXVJWGg0b1g3dHNzTnNkWWlhb0VMWUtMNnlVd3o5T0x5RQ?oc=5
ASHAPURMIN,Ashapura Minechem Limited,Ashapura Minechem Independent Director Shri Pundarik Sanyal Completes Second Term - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNYnoyR1pQODNBU2JzR1lsNlZOSVFKbjVWZG1BSWlDSk96OENkaDZKMXNIYTM1aUtVYXZpSFh4cmVDOTJTU0U2M0RuTjlsOTUzdzV2dmVleHEwUHFncWFGcDZ2M0xWQXZJaFV6Y3JhVXBpcEhQdjFMMlZKTms1NzNpNFNheHhrZVVRajNDeTZjMEFiQS1IU3EwOFhVS1NoTTdwUV96QzEycFI1Z3dtWG9pWnIzN01DeklsTXppaXNOaDkyLXRqZThaOEF6Z3QtQ2ww?oc=5"" target=""_blank"">Ashapura Minechem Independent Director Shri Pundarik Sanyal Completes Second Term</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-10 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNYnoyR1pQODNBU2JzR1lsNlZOSVFKbjVWZG1BSWlDSk96OENkaDZKMXNIYTM1aUtVYXZpSFh4cmVDOTJTU0U2M0RuTjlsOTUzdzV2dmVleHEwUHFncWFGcDZ2M0xWQXZJaFV6Y3JhVXBpcEhQdjFMMlZKTms1NzNpNFNheHhrZVVRajNDeTZjMEFiQS1IU3EwOFhVS1NoTTdwUV96QzEycFI1Z3dtWG9pWnIzN01DeklsTXppaXNOaDkyLXRqZThaOEF6Z3QtQ2ww?oc=5
