scrip,company,headline,summary,published_date,source,url
ATUL,Atul Limited,Atul Ltd. Downgraded to Sell Amid Mixed Financials and Technical Weakness - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQREdDWHF1TDNWOHQySTFwV2FZVjFOUWNhRXQtME5uT1pobnZ6aFZ1MHRubTJZMzc5ZjIwVW1hSlVMN3VmakRxUS1EeEI5WlFOVk9EcV9WRHVva3U4eTc3aWxTS3IzcFpqYzliQ3RDNmVJQUVodF9yX2F4RGxwcW56UWlFMUpiSUNYd010YS1ReEdtNjVJOG9VN01vc3hmVmQxZTRFNzBNQTJlakRHMkZDbTJMZkw4bW81QzdSTXlYdWo2UGQxRE4yWDU1akJseGc?oc=5"" target=""_blank"">Atul Ltd. Downgraded to Sell Amid Mixed Financials and Technical Weakness</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-03 02:44:42,Markets Mojo,https://news.google.com/rss/articles/CBMizwFBVV95cUxQREdDWHF1TDNWOHQySTFwV2FZVjFOUWNhRXQtME5uT1pobnZ6aFZ1MHRubTJZMzc5ZjIwVW1hSlVMN3VmakRxUS1EeEI5WlFOVk9EcV9WRHVva3U4eTc3aWxTS3IzcFpqYzliQ3RDNmVJQUVodF9yX2F4RGxwcW56UWlFMUpiSUNYd010YS1ReEdtNjVJOG9VN01vc3hmVmQxZTRFNzBNQTJlakRHMkZDbTJMZkw4bW81QzdSTXlYdWo2UGQxRE4yWDU1akJseGc?oc=5
ATUL,Atul Limited,Are Atul Ltd's (NSE:ATUL) Mixed Financials Driving The Negative Sentiment? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxPMUpfUWNRb0JTMXk0bFpIYmluMXcwbUh0RDJPUV9uTlBzdVVCQnBDMEQ2emczUmVINTNNWEk1TkE5THZFR3llMmstQ2E1T01wNEo2OWttRVo2SEx0bkMwbm9SYnYwajZDeERBTkVRczFuZzV0cVV2OTV1a3Y0dUhERWZWckhLNWFuOHAyemN6WXRER1Myai1XdFF4bGM4YjFMcHdsMFc0ZUVjWEd2OXBvUnI3ZnZfRkozUE00azNZZ2xTbHlxZmfSAcsBQVVfeXFMUEJxRlNfTzd3bTQzYk1DcTlDUTZhYXBiMmUxUXJWUFVULU5YeVBvWS14XzhHRnBRZ3hrS1kxVHdld3pvbnZkY2lDOWprVzRFWS0xX1YxeDBlVXFCWDlDOFk4MGFwQTlCUzJkYmNwczE3WnNYbHVNY3dMc2l1TzVjSURfM0pBQ0NFcmtxRFlRQ1RzdmJXbzhaeWdTamRHNmVLWDI1c19YSGNpcktScnhOUktDakRvR1lGNVlYaXJQeC04X2xlMXBndXVmeEU?oc=5"" target=""_blank"">Are Atul Ltd's (NSE:ATUL) Mixed Financials Driving The Negative Sentiment?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-03 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMixgFBVV95cUxPMUpfUWNRb0JTMXk0bFpIYmluMXcwbUh0RDJPUV9uTlBzdVVCQnBDMEQ2emczUmVINTNNWEk1TkE5THZFR3llMmstQ2E1T01wNEo2OWttRVo2SEx0bkMwbm9SYnYwajZDeERBTkVRczFuZzV0cVV2OTV1a3Y0dUhERWZWckhLNWFuOHAyemN6WXRER1Myai1XdFF4bGM4YjFMcHdsMFc0ZUVjWEd2OXBvUnI3ZnZfRkozUE00azNZZ2xTbHlxZmfSAcsBQVVfeXFMUEJxRlNfTzd3bTQzYk1DcTlDUTZhYXBiMmUxUXJWUFVULU5YeVBvWS14XzhHRnBRZ3hrS1kxVHdld3pvbnZkY2lDOWprVzRFWS0xX1YxeDBlVXFCWDlDOFk4MGFwQTlCUzJkYmNwczE3WnNYbHVNY3dMc2l1TzVjSURfM0pBQ0NFcmtxRFlRQ1RzdmJXbzhaeWdTamRHNmVLWDI1c19YSGNpcktScnhOUktDakRvR1lGNVlYaXJQeC04X2xlMXBndXVmeEU?oc=5
ATUL,Atul Limited,Atul Ltd Clarifies Volume Movement to Stock Exchanges - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxQT1ZaTWpMR01nRXV6VVhSc2tBcEF5NkNFaUVrVkFqalh3cVFON1ZqVWpVUjhBSHZIRkhyYS1QMzNsRTJPdnh0S2ZGSmEteFVmMnFQNEk0VVdibnlBZUk0bTN4ZmZlUG1NVXB4Q3A0ekM3RzdLLTJJU1RqamRFM3h2TEplZXFnQU9uTkVzMGs3aHphZEtNSUZVanN0dzhjSExEd0dhREI4YkRSQ2JkQlFQbEVLV1NCeUp1QW5vUEtKUnMwakk?oc=5"" target=""_blank"">Atul Ltd Clarifies Volume Movement to Stock Exchanges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-12-15 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQT1ZaTWpMR01nRXV6VVhSc2tBcEF5NkNFaUVrVkFqalh3cVFON1ZqVWpVUjhBSHZIRkhyYS1QMzNsRTJPdnh0S2ZGSmEteFVmMnFQNEk0VVdibnlBZUk0bTN4ZmZlUG1NVXB4Q3A0ekM3RzdLLTJJU1RqamRFM3h2TEplZXFnQU9uTkVzMGs3aHphZEtNSUZVanN0dzhjSExEd0dhREI4YkRSQ2JkQlFQbEVLV1NCeUp1QW5vUEtKUnMwakk?oc=5
ATUL,Atul Limited,"Atul Ltd Q2 Results: Net profit jumps 31% to ₹179 crore, revenue up 11% - CNBC TV18","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxNNW56Slo1dnk5OXFNNDFSQWlTTkdLYnFKdUMtaXBGN1FyeklhUWVRRTc5aXhuVFNLVC1CUlNxY3ZydkhiZGs0bVpvMHhLTXIyV0t1ZWpoSkc2RE5UYno1OWdZZTF0aGFVRXY5X25VTTY5aWFFb3NDeGYtWG5SQVlocndLNzJfVHBISjlrTWZZaTlCMDhlSjlNT3VrT1k2eE5IRXB1OUE0RVpyQjZmaHZMQ2liR0Q4Y0Z0dWsw0gHAAUFVX3lxTE56bzBPdDZKQm5idXNrdFdnWmo3ZkdUMmJwbHgyTk1Ub3VqaFNjNnJzMU45NjZzQW83UGs3ejRrOXJ5MWhaelhTWm5HbWRkcDdnd2F2d1M0QVUydUNHOEF2RV81WlBSbEN4WmpQS0dPR0tkXzgwS0ZwcWZ0OHFCS2l1OTNPdXI1dXpDY0N1UGtQRUFod1pJdkFqZHRPOHJHRWZZYXJLTkdzSmJaenUxdlphc1ktc2NjajB6bzJ1RVB3eQ?oc=5"" target=""_blank"">Atul Ltd Q2 Results: Net profit jumps 31% to ₹179 crore, revenue up 11%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2025-10-17 07:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNNW56Slo1dnk5OXFNNDFSQWlTTkdLYnFKdUMtaXBGN1FyeklhUWVRRTc5aXhuVFNLVC1CUlNxY3ZydkhiZGs0bVpvMHhLTXIyV0t1ZWpoSkc2RE5UYno1OWdZZTF0aGFVRXY5X25VTTY5aWFFb3NDeGYtWG5SQVlocndLNzJfVHBISjlrTWZZaTlCMDhlSjlNT3VrT1k2eE5IRXB1OUE0RVpyQjZmaHZMQ2liR0Q4Y0Z0dWsw0gHAAUFVX3lxTE56bzBPdDZKQm5idXNrdFdnWmo3ZkdUMmJwbHgyTk1Ub3VqaFNjNnJzMU45NjZzQW83UGs3ejRrOXJ5MWhaelhTWm5HbWRkcDdnd2F2d1M0QVUydUNHOEF2RV81WlBSbEN4WmpQS0dPR0tkXzgwS0ZwcWZ0OHFCS2l1OTNPdXI1dXpDY0N1UGtQRUFod1pJdkFqZHRPOHJHRWZZYXJLTkdzSmJaenUxdlphc1ktc2NjajB6bzJ1RVB3eQ?oc=5
ATUL,Atul Limited,Atul Ltd net profit nearly doubles in Q4FY25 at ₹130 crore; shares rally nearly 3% - Upstox,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNdlc5VjNweG5DR2E1eGZKN3Uxc1dQR2RQWllaWUpuQktKa2tXM3BEaS1CR1g5Z1h4Snc2YkZXZjZmUm54V1NOQV9QWjNhd083OGk0TGRzdDgwS3JfakY2WW9jbGtGR0xRd2ZEX1ZVSTViNzRIY2F6WHFaTnVpOVJyVHRMMlpEaFpjY3hqWFNNRmpDVC1hakpNWVI3blFzUVc5UlI5YmZSWkl2eFVVM1Y4WTE3YTBycG1hX19tWnlnalhPdTlTRmlCWlRKVF9qMXN4YUcxUkRuQQ?oc=5"" target=""_blank"">Atul Ltd net profit nearly doubles in Q4FY25 at ₹130 crore; shares rally nearly 3%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-04-25 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNdlc5VjNweG5DR2E1eGZKN3Uxc1dQR2RQWllaWUpuQktKa2tXM3BEaS1CR1g5Z1h4Snc2YkZXZjZmUm54V1NOQV9QWjNhd083OGk0TGRzdDgwS3JfakY2WW9jbGtGR0xRd2ZEX1ZVSTViNzRIY2F6WHFaTnVpOVJyVHRMMlpEaFpjY3hqWFNNRmpDVC1hakpNWVI3blFzUVc5UlI5YmZSWkl2eFVVM1Y4WTE3YTBycG1hX19tWnlnalhPdTlTRmlCWlRKVF9qMXN4YUcxUkRuQQ?oc=5
ATUL,Atul Limited,Atul Ltd. Technical Momentum Shifts Amid Mixed Indicator Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxQRlh4Q1JLQWRQZHFzV2l2Q3lmT1JJcERoalpTUXpnVzBOQTgtOWpsQ1Bxdm8tcVMybTQwLXlBUHdmSFFPMnlQZkMxZmprMkJiVjRQMGdjcFQ3TjVRbTNUYk9PMGpjTWlXQldsbXg5cGVDek9hRkk2UlBNRFFWdkhRQnJQUklFdGdYU1JreDRMZFM1WEtaNzhjM2pxSURpcmJxVFJ2dFp5X3BQMjNQZEN6VlBJak55c1g0alJDODJn?oc=5"" target=""_blank"">Atul Ltd. Technical Momentum Shifts Amid Mixed Indicator Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-23 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMivgFBVV95cUxQRlh4Q1JLQWRQZHFzV2l2Q3lmT1JJcERoalpTUXpnVzBOQTgtOWpsQ1Bxdm8tcVMybTQwLXlBUHdmSFFPMnlQZkMxZmprMkJiVjRQMGdjcFQ3TjVRbTNUYk9PMGpjTWlXQldsbXg5cGVDek9hRkk2UlBNRFFWdkhRQnJQUklFdGdYU1JreDRMZFM1WEtaNzhjM2pxSURpcmJxVFJ2dFp5X3BQMjNQZEN6VlBJak55c1g0alJDODJn?oc=5
ATUL,Atul Limited,ATUL Limited Posts 47% Growth in Q3 Consolidated Net Profit to ₹1.60 Billion - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxPYTJkN1U4cG90bGRSQ1lNdWNsdS1nOHRLcFFEcTUtQWFFd1pNMFB4WGc2amczX2JEekpMQTBuRVpzeHNjM2EyWDA1azI2Vl9IczFaNl9VeklybjdNX1d4dEQ1N1R1MDM4ZlJQOVVpelpLLVdOX2czUHNoMVFiQmZ5bEhsMk5PNFlhakN5QTdvSFFkd3lvdlJ4NUkxSzRhc3ZyM0JmajJEMmRHMmZTNS13UFBoWVNPVzdDUHNfMG54b21GeWE1aGUtSHRR?oc=5"" target=""_blank"">ATUL Limited Posts 47% Growth in Q3 Consolidated Net Profit to ₹1.60 Billion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-23 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiygFBVV95cUxPYTJkN1U4cG90bGRSQ1lNdWNsdS1nOHRLcFFEcTUtQWFFd1pNMFB4WGc2amczX2JEekpMQTBuRVpzeHNjM2EyWDA1azI2Vl9IczFaNl9VeklybjdNX1d4dEQ1N1R1MDM4ZlJQOVVpelpLLVdOX2czUHNoMVFiQmZ5bEhsMk5PNFlhakN5QTdvSFFkd3lvdlJ4NUkxSzRhc3ZyM0JmajJEMmRHMmZTNS13UFBoWVNPVzdDUHNfMG54b21GeWE1aGUtSHRR?oc=5
ATUL,Atul Limited,Atul Ltd (NSE:ATUL) surges 5.7%; private companies who own 43% shares profited along with institutions - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxOV0lla0REcTJsRUhFcFNzR2laNjZYLW16YTY3cjdWUUROdFVVLUJNZDJaU19jU0dYeWR5NGtNOW1RWGE5TmV6YXp6RmNnQTAxakxPQVJzQmxJNDYydDFhSW52NmxtZ0V1cTlhMzNCNU9uVkZpR2lrY1VmY3pMWFpNUDVxaXhfSXlHcGREdDRsZWk4dDhQWVJ2OFduNF9pNlhkeGxGX1ZkQlhJMzJ0ZFdZM0oydVBXRU1vaG9ENGNTb29McWRFNXE00gHMAUFVX3lxTE5SY2owZndRdHdwTjJTeVlvNGVkdmo0VWF5YVZPR0pLZDlibGRYRWtEay10eXVUTHNpeGZUZVgxNzNDVXIxb182QlVNcURvRFB0UUd3Ul9uUkZUSDNxY0tnaW5DbHloTnM0dnRFUmlzLUZfOXlQTFZIdjZUQjZhU25Pd3JuX0lrNC1pWFlhVHl0RmowUF9QcGVEOENqbzV4UTFUVm9fRXh0WjVVYmw2cmtZcmRxckhoQUNoVkhTUjRxbjFtMnpZOG81cHNZZQ?oc=5"" target=""_blank"">Atul Ltd (NSE:ATUL) surges 5.7%; private companies who own 43% shares profited along with institutions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-24 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMixwFBVV95cUxOV0lla0REcTJsRUhFcFNzR2laNjZYLW16YTY3cjdWUUROdFVVLUJNZDJaU19jU0dYeWR5NGtNOW1RWGE5TmV6YXp6RmNnQTAxakxPQVJzQmxJNDYydDFhSW52NmxtZ0V1cTlhMzNCNU9uVkZpR2lrY1VmY3pMWFpNUDVxaXhfSXlHcGREdDRsZWk4dDhQWVJ2OFduNF9pNlhkeGxGX1ZkQlhJMzJ0ZFdZM0oydVBXRU1vaG9ENGNTb29McWRFNXE00gHMAUFVX3lxTE5SY2owZndRdHdwTjJTeVlvNGVkdmo0VWF5YVZPR0pLZDlibGRYRWtEay10eXVUTHNpeGZUZVgxNzNDVXIxb182QlVNcURvRFB0UUd3Ul9uUkZUSDNxY0tnaW5DbHloTnM0dnRFUmlzLUZfOXlQTFZIdjZUQjZhU25Pd3JuX0lrNC1pWFlhVHl0RmowUF9QcGVEOENqbzV4UTFUVm9fRXh0WjVVYmw2cmtZcmRxckhoQUNoVkhTUjRxbjFtMnpZOG81cHNZZQ?oc=5
ATUL,Atul Limited,Atul Ltd. Upgraded to Hold by MarketsMOJO Amid Mixed Technical and Financial Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxOc0NYTWNPTlRkSkJKdmdoVDBMU1pYMlhHTWY0dm5WY2NueGxkQVpxeThmalVIRGUxV25DbjZ1RjFUQ0hTSVZWLVgzLWJuUGdhaWtXb2tKcGFUWkJINHc4Q1JUWV9iTVZJTE1wWTVybXBLREdqbUEzWUFVZmpHaUNJeWxuQWRfd3pJUVhaT0VGWTUtaUV3UlVkck5aS2NIUUtfZ1RTQXQ0RVM1TV9wWTBIcDJFbHlENTVfQk9IYTByTjNmeGdRVEJXMWdFSWxoSW9pVF9LVEFkYlFPaW5mTkE?oc=5"" target=""_blank"">Atul Ltd. Upgraded to Hold by MarketsMOJO Amid Mixed Technical and Financial Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-25 03:12:57,Markets Mojo,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOc0NYTWNPTlRkSkJKdmdoVDBMU1pYMlhHTWY0dm5WY2NueGxkQVpxeThmalVIRGUxV25DbjZ1RjFUQ0hTSVZWLVgzLWJuUGdhaWtXb2tKcGFUWkJINHc4Q1JUWV9iTVZJTE1wWTVybXBLREdqbUEzWUFVZmpHaUNJeWxuQWRfd3pJUVhaT0VGWTUtaUV3UlVkck5aS2NIUUtfZ1RTQXQ0RVM1TV9wWTBIcDJFbHlENTVfQk9IYTByTjNmeGdRVEJXMWdFSWxoSW9pVF9LVEFkYlFPaW5mTkE?oc=5
ATUL,Atul Limited,"Atul Limited Announces Board Meeting for Q3 FY26 Results on January 23, 2026 - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxPM2dyZWhRTW84eVUxMUpteUlTbC1OSkRNdFBlTmtZVGZQTnhRR0ZMVWVJdzFXd2lNNnlTaW1zbW1RLXhUanp5WjdMTmlOclNEN0hPd3R1cXMwajhIOTZXSGVDamRsV1k0T1JKeGtuNk9QX0JuUXdGWDJjTHJ3Rm1uOGRGb2tscno5MUh1ZTZrUlk0QmxkcGRzMkN5dEM5aVc4bmlJWnNLTWJTQkpLTlREMVhsdXdlZzlsNWFIQXltMHc4c29CelNySG1oOA?oc=5"" target=""_blank"">Atul Limited Announces Board Meeting for Q3 FY26 Results on January 23, 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-12-26 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiywFBVV95cUxPM2dyZWhRTW84eVUxMUpteUlTbC1OSkRNdFBlTmtZVGZQTnhRR0ZMVWVJdzFXd2lNNnlTaW1zbW1RLXhUanp5WjdMTmlOclNEN0hPd3R1cXMwajhIOTZXSGVDamRsV1k0T1JKeGtuNk9QX0JuUXdGWDJjTHJ3Rm1uOGRGb2tscno5MUh1ZTZrUlk0QmxkcGRzMkN5dEM5aVc4bmlJWnNLTWJTQkpLTlREMVhsdXdlZzlsNWFIQXltMHc4c29CelNySG1oOA?oc=5
