scrip,company,headline,summary,published_date,source,url
AUROPHARMA,Aurobindo Pharma Limited,Analysts Have Made A Financial Statement On Aurobindo Pharma Limited's (NSE:AUROPHARMA) Third-Quarter Report - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxPNFlpdlRIUkJtQllxeHBOMHN4N05FaHVxbEhWbVNlbHM0c2h1UFlaZlBzQWc4cTZzc0RMLWtXUmFpU1FpQ2Y0ZjEyZEs0MlVRUEJjNTZ1TDFxQXZtT0Nzb1FtaHdheTIwQzdWTmRjQW5UM2ZSdHQyVVVjOUFQOS1iRG15TURoU1B5TVBBc19hVjM4emMwemdmUVFfb0s0bUY4ZE1lVVpPN1BBX2pweXhVLXM5QU1HS3Z5YUxMYjg2elRub0ZQMUM1ZDJfREJfM0c1QnZSVlhsa2ZoOTFzRkJ3TXV2VUd6a3RsTks5RVFsT3VBdw?oc=5"" target=""_blank"">Analysts Have Made A Financial Statement On Aurobindo Pharma Limited's (NSE:AUROPHARMA) Third-Quarter Report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-12 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8gFBVV95cUxPNFlpdlRIUkJtQllxeHBOMHN4N05FaHVxbEhWbVNlbHM0c2h1UFlaZlBzQWc4cTZzc0RMLWtXUmFpU1FpQ2Y0ZjEyZEs0MlVRUEJjNTZ1TDFxQXZtT0Nzb1FtaHdheTIwQzdWTmRjQW5UM2ZSdHQyVVVjOUFQOS1iRG15TURoU1B5TVBBc19hVjM4emMwemdmUVFfb0s0bUY4ZE1lVVpPN1BBX2pweXhVLXM5QU1HS3Z5YUxMYjg2elRub0ZQMUM1ZDJfREJfM0c1QnZSVlhsa2ZoOTFzRkJ3TXV2VUd6a3RsTks5RVFsT3VBdw?oc=5
AUROPHARMA,Aurobindo Pharma Limited,Aurobindo Pharma Limited (NSE:AUROPHARMA) Shares Could Be 27% Above Their Intrinsic Value Estimate - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxOV0NfdkNCaUktOUpGaERvTlRleDhfVEg2eHFPSi11Vm5VR2xFMGJGdFBxSWhYZkZ1d0phQWZsa3VORmoyQVJWa0NSUjBJWHRmdnV6V2dQSEtUMmhralc1MWtoTjU5eExaM25QR0MyTDNLSFRVVXk3dFc4X2NFYXowU1ViT3AyTmplVm5pWGFOY0NXU3RIQWlabGtmU01id195Z0Q1U3RBSVBlazJqV2hIZXVydm5hRnNIQTNPT2tZaWJKVV9ZaldOVHpWMzRRMy04Y25BaWc1WTVFWVEyeEhidmUzM2hTR19sU2ZLTThTZlVOUQ?oc=5"" target=""_blank"">Aurobindo Pharma Limited (NSE:AUROPHARMA) Shares Could Be 27% Above Their Intrinsic Value Estimate</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-21 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8gFBVV95cUxOV0NfdkNCaUktOUpGaERvTlRleDhfVEg2eHFPSi11Vm5VR2xFMGJGdFBxSWhYZkZ1d0phQWZsa3VORmoyQVJWa0NSUjBJWHRmdnV6V2dQSEtUMmhralc1MWtoTjU5eExaM25QR0MyTDNLSFRVVXk3dFc4X2NFYXowU1ViT3AyTmplVm5pWGFOY0NXU3RIQWlabGtmU01id195Z0Q1U3RBSVBlazJqV2hIZXVydm5hRnNIQTNPT2tZaWJKVV9ZaldOVHpWMzRRMy04Y25BaWc1WTVFWVEyeEhidmUzM2hTR19sU2ZLTThTZlVOUQ?oc=5
AUROPHARMA,Aurobindo Pharma Limited,Aurobindo Pharma Subsidiary Buys 20% More in China JV - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxNbUdzcTZiWThRX2o0TVlYOHhpT0d1bFBncHMzeGxEWXhPa1o5Yks3N0hrcFNOZUVHVk5MSGVIeXVkWmpQZ21YMTl2V0RVNXA1WDFxTERSSWRTVlM1OFp3UVllbWh2WDlqMlUydHFMOW9Za1hhVi1UOU1IWmNtWWdDalUzbE9YOUw1alRMZlo5S2xvMkM2LUxldw?oc=5"" target=""_blank"">Aurobindo Pharma Subsidiary Buys 20% More in China JV</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-12-23 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMimAFBVV95cUxNbUdzcTZiWThRX2o0TVlYOHhpT0d1bFBncHMzeGxEWXhPa1o5Yks3N0hrcFNOZUVHVk5MSGVIeXVkWmpQZ21YMTl2V0RVNXA1WDFxTERSSWRTVlM1OFp3UVllbWh2WDlqMlUydHFMOW9Za1hhVi1UOU1IWmNtWWdDalUzbE9YOUw1alRMZlo5S2xvMkM2LUxldw?oc=5
AUROPHARMA,Aurobindo Pharma Limited,Investing in Aurobindo Pharma (NSE:AUROPHARMA) three years ago would have delivered you a 167% gain - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxNQmtaSkV0azIwVDFIMWtOVWFIQ0lTNVVkZENNUE5aQlJYbHh3Ykt3UUtYTkJmU3RLV3JmR0FTY1dOY0VlTjRkYUJMUDNFUFBWendRNEpEbldJc3k3dVREM2hjUjlteXNXUU9wSTdOQkE0UGRwQ0lHWDNZTVRLZkFRYVBGTmNTbXV3emUxV3RNYl9sREowVy12bGYtc3ZIaXpPbGk1SldqVXlETTVqbjNMZGJzM2pMX2FVNUhSM216VUx5bi12VjBBMWtTcVZGVkt0WkVsT0ZlV0F6ZkZaLTlQd0lYd2xDMDdpbUVXQ3NFVWI?oc=5"" target=""_blank"">Investing in Aurobindo Pharma (NSE:AUROPHARMA) three years ago would have delivered you a 167% gain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-13 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8AFBVV95cUxNQmtaSkV0azIwVDFIMWtOVWFIQ0lTNVVkZENNUE5aQlJYbHh3Ykt3UUtYTkJmU3RLV3JmR0FTY1dOY0VlTjRkYUJMUDNFUFBWendRNEpEbldJc3k3dVREM2hjUjlteXNXUU9wSTdOQkE0UGRwQ0lHWDNZTVRLZkFRYVBGTmNTbXV3emUxV3RNYl9sREowVy12bGYtc3ZIaXpPbGk1SldqVXlETTVqbjNMZGJzM2pMX2FVNUhSM216VUx5bi12VjBBMWtTcVZGVkt0WkVsT0ZlV0F6ZkZaLTlQd0lYd2xDMDdpbUVXQ3NFVWI?oc=5
AUROPHARMA,Aurobindo Pharma Limited,"Aurobindo Pharma arm Eugia gets USFDA nod for Dasatinib tablets, eyes $1.8 billion market - Business Today","<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxPN2t3UWp1dVkyWVMzLWFhVUZ2cXN6dHVCRE02Z0w4M2tmRmdFQ2Z0bkhvRk1ZMy01RGljbjlrS3owaVN3ZU5oMGhUZjJqSHRIUVJfZGpnMk9tM2FTcVAtbmlYSUlwdGlTNnpveFpkYVZzZ0g0WURweV96OVBnaDRxTDJob1RNNHdOU0FQR05KRjRpQ1FUSjI5YXM3Wk5fSDNqdDNJS2RrSzgtNmpTRWxid2x3ZWlqOHFFQ0k4cXBDZTlkTW1mVFJINGVQX0lvZXRJWVo3S1JZRXhhelBkOW5IbXRkWVBjZ3ViN3fSAe8BQVVfeXFMTkp1dW9RNjByVUhob0VPNHFCdGM1QVloMnY0ZW5Hc1NUUE9MRW5PTmhCNWFQVHVfQkZ0V1ZUeVc1bHBwMFd2WGZlVGI0TW9KMTJSVFVPN1BZUG9MRjBzQzF6d1JGYjB4TURXU1ZlY3ZvQm1ma0QxTklvejZIenZLRzlJMzBwYUkxWEdlM0hRbENjZFlnTnZzcU9fUXBVSThZeGZfcml6QjZtMWVmOENpMjNJdFVKR1JlOHc1T3h0N0tEc1BuLV9wM1N6dkZRcGpoSUkwd3RpQU40N1F6ak5WQmtYLVNoc3ZCaF9tcnhDRGM?oc=5"" target=""_blank"">Aurobindo Pharma arm Eugia gets USFDA nod for Dasatinib tablets, eyes $1.8 billion market</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-04-23 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPN2t3UWp1dVkyWVMzLWFhVUZ2cXN6dHVCRE02Z0w4M2tmRmdFQ2Z0bkhvRk1ZMy01RGljbjlrS3owaVN3ZU5oMGhUZjJqSHRIUVJfZGpnMk9tM2FTcVAtbmlYSUlwdGlTNnpveFpkYVZzZ0g0WURweV96OVBnaDRxTDJob1RNNHdOU0FQR05KRjRpQ1FUSjI5YXM3Wk5fSDNqdDNJS2RrSzgtNmpTRWxid2x3ZWlqOHFFQ0k4cXBDZTlkTW1mVFJINGVQX0lvZXRJWVo3S1JZRXhhelBkOW5IbXRkWVBjZ3ViN3fSAe8BQVVfeXFMTkp1dW9RNjByVUhob0VPNHFCdGM1QVloMnY0ZW5Hc1NUUE9MRW5PTmhCNWFQVHVfQkZ0V1ZUeVc1bHBwMFd2WGZlVGI0TW9KMTJSVFVPN1BZUG9MRjBzQzF6d1JGYjB4TURXU1ZlY3ZvQm1ma0QxTklvejZIenZLRzlJMzBwYUkxWEdlM0hRbENjZFlnTnZzcU9fUXBVSThZeGZfcml6QjZtMWVmOENpMjNJdFVKR1JlOHc1T3h0N0tEc1BuLV9wM1N6dkZRcGpoSUkwd3RpQU40N1F6ak5WQmtYLVNoc3ZCaF9tcnhDRGM?oc=5
AUROPHARMA,Aurobindo Pharma Limited,"Aurobindo Pharma shares fall post Q4; Should you buy, sell or hold? - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxNRHkxV3VKYllSVzM0RUhHem91UkFoaDVRZ04zUm5xRE92SXN1Tloxb0VENnVsUUlSR0NNc0Z6UlhMVllSSFdmZ3hDVWlMdzNFM0tZWW5fdHR5U0VlY2RzeThEZVo3Skw4d3N5M09uUUZwYXdpMUdHUlpkNkNKdnNVQmNPMXNYVjNDSFBncFZ5TmliemotODJ6d0NDbUlKd19Cd1FWeHFIdy1iYWEySmRseWJIWlZ2dEI3XzZ3S2FLNnJ2YnlLSlUyM9IBzgFBVV95cUxPRmFCbVpxRjVXZm0wOXNVTzd6X0h6YW13aGg5N3NoZm1Pd1FpSXdlYldkNlVYLU1tbElzNXBkaUFqdlh3c0hsOXgzRng5X1MyMVIxcmZoblpSZmNyZWhPMGpJS3hSMXlDUUZvd2U5VjltUkdaeDRQQXBmc2xJQnFmdkhXVnlucFg2eXJ5UXpQSEoybXNCTGRPclN4cXhSS2pMQldWenRrQ3psdjEwb0lmb2xCcDEteW8wMm9NU3lXcS1SamdzVW5RdGtsUl9CZw?oc=5"" target=""_blank"">Aurobindo Pharma shares fall post Q4; Should you buy, sell or hold?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-05-28 07:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNRHkxV3VKYllSVzM0RUhHem91UkFoaDVRZ04zUm5xRE92SXN1Tloxb0VENnVsUUlSR0NNc0Z6UlhMVllSSFdmZ3hDVWlMdzNFM0tZWW5fdHR5U0VlY2RzeThEZVo3Skw4d3N5M09uUUZwYXdpMUdHUlpkNkNKdnNVQmNPMXNYVjNDSFBncFZ5TmliemotODJ6d0NDbUlKd19Cd1FWeHFIdy1iYWEySmRseWJIWlZ2dEI3XzZ3S2FLNnJ2YnlLSlUyM9IBzgFBVV95cUxPRmFCbVpxRjVXZm0wOXNVTzd6X0h6YW13aGg5N3NoZm1Pd1FpSXdlYldkNlVYLU1tbElzNXBkaUFqdlh3c0hsOXgzRng5X1MyMVIxcmZoblpSZmNyZWhPMGpJS3hSMXlDUUZvd2U5VjltUkdaeDRQQXBmc2xJQnFmdkhXVnlucFg2eXJ5UXpQSEoybXNCTGRPclN4cXhSS2pMQldWenRrQ3psdjEwb0lmb2xCcDEteW8wMm9NU3lXcS1SamdzVW5RdGtsUl9CZw?oc=5
AUROPHARMA,Aurobindo Pharma Limited,Investors Don't See Light At End Of Aurobindo Pharma Limited's (NSE:AUROPHARMA) Tunnel - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxOZUdFMjE1RnpmQUFMdU9jV0Z2aTdLMEgwTkN0d29OanFZb3RVOFM2bU51eVJ0ZmZ3UTNmSzhHQXZHVWtZdmJhUG5kNExFdGpSSTVCWHkwcFRlbG9MV2tDSnRwTUhWbllqT0JkSjB4QXd6R3RXOEpXNXY3aE1lWmZQNTNMMUhiQzBqajRCQlF3czEzbGJDdE9aTFFsUkxtVDh2d0FITlB3V3lQYUVlSTlkY0dVSkZsTmxieC16Ykt3c2hQN01WWkhIcG45ODZNMnJ6YUJLTG1EbE91ZDRJNU9WY1VQN0U1b0oyd0lVSDJUeGFuZw?oc=5"" target=""_blank"">Investors Don't See Light At End Of Aurobindo Pharma Limited's (NSE:AUROPHARMA) Tunnel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-29 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8gFBVV95cUxOZUdFMjE1RnpmQUFMdU9jV0Z2aTdLMEgwTkN0d29OanFZb3RVOFM2bU51eVJ0ZmZ3UTNmSzhHQXZHVWtZdmJhUG5kNExFdGpSSTVCWHkwcFRlbG9MV2tDSnRwTUhWbllqT0JkSjB4QXd6R3RXOEpXNXY3aE1lWmZQNTNMMUhiQzBqajRCQlF3czEzbGJDdE9aTFFsUkxtVDh2d0FITlB3V3lQYUVlSTlkY0dVSkZsTmxieC16Ykt3c2hQN01WWkhIcG45ODZNMnJ6YUJLTG1EbE91ZDRJNU9WY1VQN0U1b0oyd0lVSDJUeGFuZw?oc=5
AUROPHARMA,Aurobindo Pharma Limited,Aurobindo Pharma shares decline up to 9.5% as USFDA issues five observations; here are the details - Upstox,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxNR1p4bVNuZFFDekExd3RBbkZEYjRFYmVZWE9Jc0F6N0dzWDluZlNlN2dNY09BVGlwei0zWjl0NXI3a0cwbTFFTnc1R1ZWSVdzOENheFEyQXd6LVZ3VzBuVnZmcUZsWTBRUXlKXzhJY1N0MUVZT09uX2N4Vm1hSkdiSzNkUERCYVRJRGY4QjBDTkFBdmhqTE91NW5IRWZPejVlWUt6RmY4QnFhcGRmRnFDNE9aaW5PQjI3eXZlYWRzMzlVMWl4RmNKQkY1U203MkFlMGtCbEdUSjlGcnhiMHVkcmFGanlveUN4?oc=5"" target=""_blank"">Aurobindo Pharma shares decline up to 9.5% as USFDA issues five observations; here are the details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-02-18 08:00:00,Upstox,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNR1p4bVNuZFFDekExd3RBbkZEYjRFYmVZWE9Jc0F6N0dzWDluZlNlN2dNY09BVGlwei0zWjl0NXI3a0cwbTFFTnc1R1ZWSVdzOENheFEyQXd6LVZ3VzBuVnZmcUZsWTBRUXlKXzhJY1N0MUVZT09uX2N4Vm1hSkdiSzNkUERCYVRJRGY4QjBDTkFBdmhqTE91NW5IRWZPejVlWUt6RmY4QnFhcGRmRnFDNE9aaW5PQjI3eXZlYWRzMzlVMWl4RmNKQkY1U203MkFlMGtCbEdUSjlGcnhiMHVkcmFGanlveUN4?oc=5
AUROPHARMA,Aurobindo Pharma Limited,Aurobindo Pharma Publishes Q3FY26 Results in Newspaper Advertisement - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxQRHpwemhGNFVkcnRBODdBWXppb3ZZWE9sN1ZGTmhUckt4Smg3YTh1eXZmT3gzTlc3RkhpbHJqNW1uQVd6SVdYY0JvSzAxYi1VY29oU2UtdU9mQXRlLUVZR2JYV1dRcWF6NDR4M2VOc0FyRnRQWFZYYXhvVzlTN0pCRVZKYS1LTGdfdWhCaWY2Mm1Bai1PYzRCaU1JcUFXTmRlUHlKNU5UYlJkMEF6TkNnbnVaS09RZGF3enJxUVJscHN4S0dlUVhDbnkzX2xMRlZNOEd6d0c3OVdlbkFUN1FSVUw4d0lNQQ?oc=5"" target=""_blank"">Aurobindo Pharma Publishes Q3FY26 Results in Newspaper Advertisement</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-09 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQRHpwemhGNFVkcnRBODdBWXppb3ZZWE9sN1ZGTmhUckt4Smg3YTh1eXZmT3gzTlc3RkhpbHJqNW1uQVd6SVdYY0JvSzAxYi1VY29oU2UtdU9mQXRlLUVZR2JYV1dRcWF6NDR4M2VOc0FyRnRQWFZYYXhvVzlTN0pCRVZKYS1LTGdfdWhCaWY2Mm1Bai1PYzRCaU1JcUFXTmRlUHlKNU5UYlJkMEF6TkNnbnVaS09RZGF3enJxUVJscHN4S0dlUVhDbnkzX2xMRlZNOEd6d0c3OVdlbkFUN1FSVUw4d0lNQQ?oc=5
AUROPHARMA,Aurobindo Pharma Limited,"Aurobindo Pharma, Tech Mahindra, APL Apollo Tubes: How to trade these 3 buzzing stocks - Business Today","<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNN2FURHpLMmFaSHlYcWFJV1UyM1JIaUQ4a0dkRlJjVXp3ckFLc3RNTkJKZ3dwWXdHZUVCazZEaFNsbkZ0REJOX3puRzBtSEJJblJ0X3c4bUtFZVBZaXB0M1d2YnU5QVhTZFd2MVNMZHdRS3hULXBCcUp4OW5mZDQ0LUxUWjRycTBwM2w2M3hPZmtuR3Y0OFlDN3l5bXNCbWh6bW1CX3dkcW03MmRKejhfTXVGaTdjb1VLLTQtWGxheTBOZmpDTWZUbkdhWmtwdFJqLUt3X0JycjBWbmdkajVyRTBDRkxTQdIB6wFBVV95cUxOUzZoOWpaLUhMcEJuMFl4eUtGWDlxWmFrNFU3SWNvSHM5cmpCaDZpLV83UnlVR3dFYzVaTlcwelFNWVdvWHU5UWF1TlozYzVydVI0YzNDdXpfVWl3dmhNVV9NeUhGUWY5QklEdHg0cVFpMU82bXQ0OGsxRURUbFBOakluLUpja1NUcE5IWmprOXhoWGJGMEFjZDJOT0RMbWE2QVpfb2ROeGdfNHprM0NuVDB1VEFTTEc0a1V1VFZPdTNEZXlXSk9RbXNtVWFfbXM0WWg1VmQyT2tJSGtqTk9XdUthdkVxZ29sUTR3?oc=5"" target=""_blank"">Aurobindo Pharma, Tech Mahindra, APL Apollo Tubes: How to trade these 3 buzzing stocks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-12-19 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNN2FURHpLMmFaSHlYcWFJV1UyM1JIaUQ4a0dkRlJjVXp3ckFLc3RNTkJKZ3dwWXdHZUVCazZEaFNsbkZ0REJOX3puRzBtSEJJblJ0X3c4bUtFZVBZaXB0M1d2YnU5QVhTZFd2MVNMZHdRS3hULXBCcUp4OW5mZDQ0LUxUWjRycTBwM2w2M3hPZmtuR3Y0OFlDN3l5bXNCbWh6bW1CX3dkcW03MmRKejhfTXVGaTdjb1VLLTQtWGxheTBOZmpDTWZUbkdhWmtwdFJqLUt3X0JycjBWbmdkajVyRTBDRkxTQdIB6wFBVV95cUxOUzZoOWpaLUhMcEJuMFl4eUtGWDlxWmFrNFU3SWNvSHM5cmpCaDZpLV83UnlVR3dFYzVaTlcwelFNWVdvWHU5UWF1TlozYzVydVI0YzNDdXpfVWl3dmhNVV9NeUhGUWY5QklEdHg0cVFpMU82bXQ0OGsxRURUbFBOakluLUpja1NUcE5IWmprOXhoWGJGMEFjZDJOT0RMbWE2QVpfb2ROeGdfNHprM0NuVDB1VEFTTEc0a1V1VFZPdTNEZXlXSk9RbXNtVWFfbXM0WWg1VmQyT2tJSGtqTk9XdUthdkVxZ29sUTR3?oc=5
