scrip,company,headline,summary,published_date,source,url
BANCOINDIA,Banco Products (I) Limited,Banco Products (India) Limited (NSE:BANCOINDIA) Will Pay A ₹7.00 Dividend In Two Days - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPY1l6WnFfTnk0UDFOMDNpcEtpcE9mWTY5ZG4wNlBQVXN6S1BfMk1LQnEwaUpwaWZhUEdZcFJkWmpIOXE1MDJ3dEtkcm9HOVFOR2N2WVR5S1NYYl9CQ1BDV053dmhUT05fNm5JaHNjSVJTSGp2a19WSy1ObHpTNWIzZEVybVE4X2ZrLUdLOUczSUR5VWM2NmFzOW5KaUU2T1FJeHZLaUZaSEVJdElwMWd4NVBlb0l0NmNnbUJDSEFPRHk2NExOQnF4dEswZ25OX3lPMkhIdnB3OGhUaUdvaHIxblFET2piZ3fSAewBQVVfeXFMTkVNUUN6YUVEUmkwem5sbTd4eFdraFVUTEs1dWo2NGVMX2pXQ1dTV1pLZk5tN1NjeTlGUklDWDRkRkZYdl9JTWV0RnJQRElacDJBXzNhSmVqZzMyakNoTGhSNlNxRzh2TlpMclBFRFhWaHEyenpRU3dfbGdtZndkTW5ZUFVmTWhvT3c5WFpmTDNyamgzTWxOaU1qengzUDdTYnYyQzB6eTJOMmJrSFJOWU8xNDhUYncxOHdXUHJoS2EtdUdFTVdjMThDQnVqYXowZHpWQWs2Z2V6MUlHMkxlRDY2T1JTLUpmRGJZekU?oc=5"" target=""_blank"">Banco Products (India) Limited (NSE:BANCOINDIA) Will Pay A ₹7.00 Dividend In Two Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-16 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPY1l6WnFfTnk0UDFOMDNpcEtpcE9mWTY5ZG4wNlBQVXN6S1BfMk1LQnEwaUpwaWZhUEdZcFJkWmpIOXE1MDJ3dEtkcm9HOVFOR2N2WVR5S1NYYl9CQ1BDV053dmhUT05fNm5JaHNjSVJTSGp2a19WSy1ObHpTNWIzZEVybVE4X2ZrLUdLOUczSUR5VWM2NmFzOW5KaUU2T1FJeHZLaUZaSEVJdElwMWd4NVBlb0l0NmNnbUJDSEFPRHk2NExOQnF4dEswZ25OX3lPMkhIdnB3OGhUaUdvaHIxblFET2piZ3fSAewBQVVfeXFMTkVNUUN6YUVEUmkwem5sbTd4eFdraFVUTEs1dWo2NGVMX2pXQ1dTV1pLZk5tN1NjeTlGUklDWDRkRkZYdl9JTWV0RnJQRElacDJBXzNhSmVqZzMyakNoTGhSNlNxRzh2TlpMclBFRFhWaHEyenpRU3dfbGdtZndkTW5ZUFVmTWhvT3c5WFpmTDNyamgzTWxOaU1qengzUDdTYnYyQzB6eTJOMmJrSFJOWU8xNDhUYncxOHdXUHJoS2EtdUdFTVdjMThDQnVqYXowZHpWQWs2Z2V6MUlHMkxlRDY2T1JTLUpmRGJZekU?oc=5
BANCOINDIA,Banco Products (I) Limited,"Banco Products Hits All‑Time High, Jumps 12.84% - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxQZXlRYVNLTUJvVXlXSFNZZ2xBQWlpaExQbDcyZk0teFVwWU4tbG1Sc0doaWsxTmMySXgtYm5ZMmJ6ekNzclpPclpuT2pyX2ExQ0VBY19WMjdnWTdkZWkzYjh6YXBMbm1EVkpGX0FOTzZ5dExZTWtCTkdkZ1FrT3dpUEVVdw?oc=5"" target=""_blank"">Banco Products Hits All‑Time High, Jumps 12.84%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-09-15 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMigwFBVV95cUxQZXlRYVNLTUJvVXlXSFNZZ2xBQWlpaExQbDcyZk0teFVwWU4tbG1Sc0doaWsxTmMySXgtYm5ZMmJ6ekNzclpPclpuT2pyX2ExQ0VBY19WMjdnWTdkZWkzYjh6YXBMbm1EVkpGX0FOTzZ5dExZTWtCTkdkZ1FrT3dpUEVVdw?oc=5
BANCOINDIA,Banco Products (I) Limited,Banco Products (India) Limited's (NSE:BANCOINDIA) Stock Is Going Strong: Is the Market Following Fundamentals? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxOTXlkZGwwYXY5VVVETzM0N0FfbkxUbXpzT0xTbW9FY3pBM2xvSHhyWV9xUktJOVNPWXlDQkpWUXhVRldBd2lfSktGME5JcTJMcE5mUXN3aXFCQ0hEYklSU0RBN2JkN2FnblpGNnJ6dEhjd3ByY3R4VUdxc0pFZy1SaVBsMTNLQ2lhaXAyRTlCV2xuZzd4dXBLX3VFb3ZBS2p1RU05TTFmMjJMQWxZSDcxUHBqdDBJUEVnd1F3Yi1xLVZtZzdFZmF1ME1rZVliakliMHpzcHZuZEtqU1VJX3FfLTA5S0VuNTJ3dmc?oc=5"" target=""_blank"">Banco Products (India) Limited's (NSE:BANCOINDIA) Stock Is Going Strong: Is the Market Following Fundamentals?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-05 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOTXlkZGwwYXY5VVVETzM0N0FfbkxUbXpzT0xTbW9FY3pBM2xvSHhyWV9xUktJOVNPWXlDQkpWUXhVRldBd2lfSktGME5JcTJMcE5mUXN3aXFCQ0hEYklSU0RBN2JkN2FnblpGNnJ6dEhjd3ByY3R4VUdxc0pFZy1SaVBsMTNLQ2lhaXAyRTlCV2xuZzd4dXBLX3VFb3ZBS2p1RU05TTFmMjJMQWxZSDcxUHBqdDBJUEVnd1F3Yi1xLVZtZzdFZmF1ME1rZVliakliMHpzcHZuZEtqU1VJX3FfLTA5S0VuNTJ3dmc?oc=5
BANCOINDIA,Banco Products (I) Limited,Banco Products (India) locked in 20% reporting over two-fold jump in Q4 consolidated net profit - Upstox,"<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTE1UQ2tSWkVwYllZdV9iNm41SlI4eF9Na3BLVmJzOU5oUGdGd1NSSG9YMUpsZ0lVbjE3bkxMWmpGQlF1VWVvWnJMTjhoUEZqWFZFZ0wwdWJwNUZ4MWJWWGV2S2xIdllWLWJFbzU0V3NSajVFQ3lFVm1KdldB?oc=5"" target=""_blank"">Banco Products (India) locked in 20% reporting over two-fold jump in Q4 consolidated net profit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-05-19 07:00:00,Upstox,https://news.google.com/rss/articles/CBMiekFVX3lxTE1UQ2tSWkVwYllZdV9iNm41SlI4eF9Na3BLVmJzOU5oUGdGd1NSSG9YMUpsZ0lVbjE3bkxMWmpGQlF1VWVvWnJMTjhoUEZqWFZFZ0wwdWJwNUZ4MWJWWGV2S2xIdllWLWJFbzU0V3NSajVFQ3lFVm1KdldB?oc=5
BANCOINDIA,Banco Products (I) Limited,Banco Products (India)'s (NSE:BANCOINDIA) five-year total shareholder returns outpace the underlying earnings growth - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxOYVE2TUN1LTkzWlgtMjdUX2dSUnFmb2lkWGpyMXptVWpFOWUtRUY5Z1RRYnFfMjRNOGdSSTZXSDBaSmctRU5RVW5icS1URUNvSUZEbWtEZ013dnlBMFFHTkhPTmhYM0ltZkQtTXBSQ1lCWnhBUEc2U3JKOWM1LU9Mb2dRT3o3SXM5RTFEX1JBNmdydmF3Mm9YS0U2NlRZejFITDlUSlRKZVNEWm5xZG9iamtKRExydmF1VldWNndPTXpqOE02QmFhc2xvbHplaHE5aXEwUktFbnU1VE8zWmtpMlU2UVFlVm_SAewBQVVfeXFMTlRSWWhRSmE2MVNLNi0yVzAyaDFUMm9INS1RM2xqTzFvcXY0SFF6UWZReWdYeDloR2VmeEZ2Q0ljR3hyeTdyYUZzNnVsS3hJeDdYQTVTOVhpTVpnM3I1SFVrSno0NlBXbzBMb05XbnVVa2I1TFBSaG9LZDNOejdNclhsQzJmTjM0SjNQOXdVWGFabjVBTnUzUEFnc1FfMXZLZll4Q1BROW15WU01ZlRLVGxSWDJnS29fM0E5cGpFclQydFdMVWRZRXIwZkNJVEk1em5vS2F2aV84Uy1iRTlielZXWHhnSlRscWNuaHY?oc=5"" target=""_blank"">Banco Products (India)'s (NSE:BANCOINDIA) five-year total shareholder returns outpace the underlying earnings growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-26 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOYVE2TUN1LTkzWlgtMjdUX2dSUnFmb2lkWGpyMXptVWpFOWUtRUY5Z1RRYnFfMjRNOGdSSTZXSDBaSmctRU5RVW5icS1URUNvSUZEbWtEZ013dnlBMFFHTkhPTmhYM0ltZkQtTXBSQ1lCWnhBUEc2U3JKOWM1LU9Mb2dRT3o3SXM5RTFEX1JBNmdydmF3Mm9YS0U2NlRZejFITDlUSlRKZVNEWm5xZG9iamtKRExydmF1VldWNndPTXpqOE02QmFhc2xvbHplaHE5aXEwUktFbnU1VE8zWmtpMlU2UVFlVm_SAewBQVVfeXFMTlRSWWhRSmE2MVNLNi0yVzAyaDFUMm9INS1RM2xqTzFvcXY0SFF6UWZReWdYeDloR2VmeEZ2Q0ljR3hyeTdyYUZzNnVsS3hJeDdYQTVTOVhpTVpnM3I1SFVrSno0NlBXbzBMb05XbnVVa2I1TFBSaG9LZDNOejdNclhsQzJmTjM0SjNQOXdVWGFabjVBTnUzUEFnc1FfMXZLZll4Q1BROW15WU01ZlRLVGxSWDJnS29fM0E5cGpFclQydFdMVWRZRXIwZkNJVEk1em5vS2F2aV84Uy1iRTlielZXWHhnSlRscWNuaHY?oc=5
BANCOINDIA,Banco Products (I) Limited,Why Banco Products Share Price is Falling - Equitymaster,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxNbGdiYzE1NU94QXUybWRRU2hoNkNPYjBOcmZDTGl5Wkx2Ylk0Z2lEUV9nZjJOYVBJVVdzSFU4a2dVZ0VYMzJOYjNReGRsZ1hOQmlOdnJtYU9Hd2JCNDhzM3VMeGpVSm1mT2VabUNyTmZjV1lqaHFPMW1OM0xXZXRuajF1NFQ3am9OWmEzV0lZNVBRYm9WZWxOVHE4VzM5am9EVW5OWjhhUkp6X083NEpudw?oc=5"" target=""_blank"">Why Banco Products Share Price is Falling</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitymaster</font>",2025-02-10 08:00:00,Equitymaster,https://news.google.com/rss/articles/CBMisAFBVV95cUxNbGdiYzE1NU94QXUybWRRU2hoNkNPYjBOcmZDTGl5Wkx2Ylk0Z2lEUV9nZjJOYVBJVVdzSFU4a2dVZ0VYMzJOYjNReGRsZ1hOQmlOdnJtYU9Hd2JCNDhzM3VMeGpVSm1mT2VabUNyTmZjV1lqaHFPMW1OM0xXZXRuajF1NFQ3am9OWmEzV0lZNVBRYm9WZWxOVHE4VzM5am9EVW5OWjhhUkp6X083NEpudw?oc=5
BANCOINDIA,Banco Products (I) Limited,Banco Products (India) Ltd (BANCOINDIA) Share Price - Business Today,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxQcXYtck1rcW9JeGlfRTJ5T0hta0NHa2FkeWJkTzhjS3czLTZqd09FcWRWUEdSN1l2ZUszR0h3UFdkODBoZlUxMFByUG5JckU5MHJlVkJKc0J2Nk5qUTF5UE9BUjlBc2tTcDgwampVbmk5UHNXMlFPM1J5SlNoZi16aXY0MlVvN1Y4MFBzUTZZVDNmLWV3?oc=5"" target=""_blank"">Banco Products (India) Ltd (BANCOINDIA) Share Price</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2023-01-31 08:51:01,Business Today,https://news.google.com/rss/articles/CBMilAFBVV95cUxQcXYtck1rcW9JeGlfRTJ5T0hta0NHa2FkeWJkTzhjS3czLTZqd09FcWRWUEdSN1l2ZUszR0h3UFdkODBoZlUxMFByUG5JckU5MHJlVkJKc0J2Nk5qUTF5UE9BUjlBc2tTcDgwampVbmk5UHNXMlFPM1J5SlNoZi16aXY0MlVvN1Y4MFBzUTZZVDNmLWV3?oc=5
BANCOINDIA,Banco Products (I) Limited,"Banco Products Reports Strong Q2 Results, Declares Rs. 7 Interim Dividend - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQSXJpM20tWEhiX3FLb0FnaWppV2I0UkNtSnJYQmdFY3o5bXo2cExsOTdTelpEamlqbXlYSU1lQXN3M3ZZUElTSnlaWFZsWm9sUzRwREZEZnYxWXc5MlVvdzA1OHFZVTJzZmplLTcwSWYybmJkTzZYV1dIMGlZeUJmcEdjdHVsZ2ZJV2M4LXBnOVZKUmd2SjdTYTR6ZGlBR1B3cldaTTJMMC1WYW9kdi13d1B5RThVcG90VnE0bDdWSWJXbFdkMHc?oc=5"" target=""_blank"">Banco Products Reports Strong Q2 Results, Declares Rs. 7 Interim Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-13 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMixgFBVV95cUxQSXJpM20tWEhiX3FLb0FnaWppV2I0UkNtSnJYQmdFY3o5bXo2cExsOTdTelpEamlqbXlYSU1lQXN3M3ZZUElTSnlaWFZsWm9sUzRwREZEZnYxWXc5MlVvdzA1OHFZVTJzZmplLTcwSWYybmJkTzZYV1dIMGlZeUJmcEdjdHVsZ2ZJV2M4LXBnOVZKUmd2SjdTYTR6ZGlBR1B3cldaTTJMMC1WYW9kdi13d1B5RThVcG90VnE0bDdWSWJXbFdkMHc?oc=5
BANCOINDIA,Banco Products (I) Limited,Banco Products shares to trade ex-bonus on Monday. Last day to buy - The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxOa3BUcE95ZERkZDBoSzJKYlVGTWZCcW82c05GOGFzQlMwSkdUeUhPVERaaFd3bnEwbUJUck9mVEs3ZFROS0kxcmZHNU9FNnlTRnh4cUFhWDhTajVISkpmREN6U0QwSTFUS1hfVXdaUHdYQUJMRmRSQzBhbjU2QzV4aHFvOVl4WExQTndpMGg2eXpjVEF0NG53RVh6V0l0YVBaa1dfQ2FzNGtpNlBsaEt3MVlIWWg5U25zTWFmYTVmRjNqRmV3U1FNVzBjOVo3bGdLQnlSUTJ30gHbAUFVX3lxTE04SkVVWFlXRTVxSF8zRnc4WVp0Z0J1S29ja2cxdkxRY1RXSUI0Ty1HQXVSdUNGdHVLZXhFMFNJRF9GMkVpemNnVC1heDZiWlh4b1d2VDZLUkM1Y1Rkem1Vb1F1cGlzVjlnazhCalF3UldYLWVjOVRMOXpURlhDNHpGaWJCR2ZsdDhyaFlnZnRVOE9Kc2VMcXdSSk9COE5xRElSRi15eENfaUE3ZkRpMmVMMlBaY0hJVDZxVnJ4T25NM2w1NDM4NUFkNmV6Q3BsZDJCZGFCY3VuRDUwdw?oc=5"" target=""_blank"">Banco Products shares to trade ex-bonus on Monday. Last day to buy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",2024-12-27 08:00:00,The Economic Times,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOa3BUcE95ZERkZDBoSzJKYlVGTWZCcW82c05GOGFzQlMwSkdUeUhPVERaaFd3bnEwbUJUck9mVEs3ZFROS0kxcmZHNU9FNnlTRnh4cUFhWDhTajVISkpmREN6U0QwSTFUS1hfVXdaUHdYQUJMRmRSQzBhbjU2QzV4aHFvOVl4WExQTndpMGg2eXpjVEF0NG53RVh6V0l0YVBaa1dfQ2FzNGtpNlBsaEt3MVlIWWg5U25zTWFmYTVmRjNqRmV3U1FNVzBjOVo3bGdLQnlSUTJ30gHbAUFVX3lxTE04SkVVWFlXRTVxSF8zRnc4WVp0Z0J1S29ja2cxdkxRY1RXSUI0Ty1HQXVSdUNGdHVLZXhFMFNJRF9GMkVpemNnVC1heDZiWlh4b1d2VDZLUkM1Y1Rkem1Vb1F1cGlzVjlnazhCalF3UldYLWVjOVRMOXpURlhDNHpGaWJCR2ZsdDhyaFlnZnRVOE9Kc2VMcXdSSk9COE5xRElSRi15eENfaUE3ZkRpMmVMMlBaY0hJVDZxVnJ4T25NM2w1NDM4NUFkNmV6Q3BsZDJCZGFCY3VuRDUwdw?oc=5
BANCOINDIA,Banco Products (I) Limited,Banco Products (India) (NSE:BANCOINDIA) Strong Profits May Be Masking Some Underlying Issues - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPamNLMk9Kek1zV3VvVmhJU2Q4Wk8zWjBpU0lhczlvVlYxTWdEdlZ4Y2lnUDI0R18xSlVUNmJnVmswb0QzNk5jMlhyenRsb1lkYW9ialFacnQtMUtZUEVIYWNaYVRQM0s3c1NQNHdNcTVyb2NHZWNPWnQ5V3RGbVZPVmNoblJrVk9PX3RVajV2QmpPS1BBaUtfb1dmcG1uRzV5V241YXE1djVpLW5mWmJCMFJzc0NFVXZKUDVOeHEwYzZ2Z3FVbkVsYXQzY09KSlZrMHAyZ2lSUnhMVFMtVFVTR0h3SllTUEk?oc=5"" target=""_blank"">Banco Products (India) (NSE:BANCOINDIA) Strong Profits May Be Masking Some Underlying Issues</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-24 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPamNLMk9Kek1zV3VvVmhJU2Q4Wk8zWjBpU0lhczlvVlYxTWdEdlZ4Y2lnUDI0R18xSlVUNmJnVmswb0QzNk5jMlhyenRsb1lkYW9ialFacnQtMUtZUEVIYWNaYVRQM0s3c1NQNHdNcTVyb2NHZWNPWnQ5V3RGbVZPVmNoblJrVk9PX3RVajV2QmpPS1BBaUtfb1dmcG1uRzV5V241YXE1djVpLW5mWmJCMFJzc0NFVXZKUDVOeHEwYzZ2Z3FVbkVsYXQzY09KSlZrMHAyZ2lSUnhMVFMtVFVTR0h3SllTUEk?oc=5
