scrip,company,headline,summary,published_date,source,url
BHARATFORG,Bharat Forge Limited,Bharat Forge (NSE:BHARATFORG) Will Pay A Smaller Dividend Than Last Year - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxNMThLaGVYWnpveDkyNW5yOUUySmp1TDlobHhLTmRSZTVoaGJ4NGwteEJWdFExM3pfb1hYSEhidzExdG9QSkY2OS14bkxDOExnU1RuNEhsLS1JbFRSZnN2T3k0a1BvTl9jYzlWMlZ3cW94M2RxWC1XeldtNGVFOTMzeUdmLTNfWHB4SGhTWUo0Q0F2dkRiWlVHNlJUNnNnRU9CSVpkUVJaSU5FVnpBYTJBNXluX0pFeE1Bd3FYaGstUTJCdkp0QkdVU3RYd19yVlBjQTlIWUZYU2hULVU?oc=5"" target=""_blank"">Bharat Forge (NSE:BHARATFORG) Will Pay A Smaller Dividend Than Last Year</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-15 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNMThLaGVYWnpveDkyNW5yOUUySmp1TDlobHhLTmRSZTVoaGJ4NGwteEJWdFExM3pfb1hYSEhidzExdG9QSkY2OS14bkxDOExnU1RuNEhsLS1JbFRSZnN2T3k0a1BvTl9jYzlWMlZ3cW94M2RxWC1XeldtNGVFOTMzeUdmLTNfWHB4SGhTWUo0Q0F2dkRiWlVHNlJUNnNnRU9CSVpkUVJaSU5FVnpBYTJBNXluX0pFeE1Bd3FYaGstUTJCdkp0QkdVU3RYd19yVlBjQTlIWUZYU2hULVU?oc=5
BHARATFORG,Bharat Forge Limited,Bharat Forge Rises 2.63% on Rolls-Royce Deal Expansion - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTE51UzE1dXBnd1JuRVNfTlhMa0h6Y2JWVkFWRjBRQVpKaUl3OE54UGVEMEdNTXZTS25QV0ZHekk1UmZkMVJBSG9FLXBtMWoyS3YycUttT2ZNSUtJUDNhc0xyZVZkZzg4TTRVWDdjTWowSQ?oc=5"" target=""_blank"">Bharat Forge Rises 2.63% on Rolls-Royce Deal Expansion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-16 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMib0FVX3lxTE51UzE1dXBnd1JuRVNfTlhMa0h6Y2JWVkFWRjBRQVpKaUl3OE54UGVEMEdNTXZTS25QV0ZHekk1UmZkMVJBSG9FLXBtMWoyS3YycUttT2ZNSUtJUDNhc0xyZVZkZzg4TTRVWDdjTWowSQ?oc=5
BHARATFORG,Bharat Forge Limited,Bharat Forge Limited Just Beat EPS By 22%: Here's What Analysts Think Will Happen Next - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxOVjJ0dXhuUmJ3OWo2Z2dGdUl2ZTBBWThzazJLYkpmNVhyU1pUY3BEWU5TN3JFTjFGVmdHMjhLdHVjbDV4aDRMTDFIWG92NXhDTWg0cFc1Z2ZHSDhpei1RS0EwdVI3YndJUldqRGlYY2RHQW13S0NOVnd5aEY4UFFnREVWZ1pYQlhkcnZkSklaYVQzWlNRV29mSXpyYlc0WU9rWUphc1ZPcFAtR01QZWg5ek9nSzRtcGlqNXFfMXNGZk8yTzNtY21EaExOcFVDU3prZnhBaVhNQVREV1l4?oc=5"" target=""_blank"">Bharat Forge Limited Just Beat EPS By 22%: Here's What Analysts Think Will Happen Next</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-16 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3AFBVV95cUxOVjJ0dXhuUmJ3OWo2Z2dGdUl2ZTBBWThzazJLYkpmNVhyU1pUY3BEWU5TN3JFTjFGVmdHMjhLdHVjbDV4aDRMTDFIWG92NXhDTWg0cFc1Z2ZHSDhpei1RS0EwdVI3YndJUldqRGlYY2RHQW13S0NOVnd5aEY4UFFnREVWZ1pYQlhkcnZkSklaYVQzWlNRV29mSXpyYlc0WU9rWUphc1ZPcFAtR01QZWg5ek9nSzRtcGlqNXFfMXNGZk8yTzNtY21EaExOcFVDU3prZnhBaVhNQVREV1l4?oc=5
BHARATFORG,Bharat Forge Limited,Bharat Forge shares surge 5% amid Indian Army order buzz; analysts see bullish momentum - Business Today,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxNbE5LdU5uRVdTMkN0ako2RkVURlB0U1M1YXV5amhuWHMzUEc3ZFRSNkZOYUpQdjVLOTZPWGg4SHRqbGY3aXVXV2VNMnV4cVpfSEhUbWtIcEFLcFVia2wyTkpOYmJGN0FYM3ZFbm83YlFuekkyRkd3OVYtR05OdUFQZFJzckFmdW45eDY3WmpGTkJaYkVSd2hRMzdzN18tdEV0c09tRG9vUGFOU3lVQVRUU1ZEZ2gxckJIY2RDUVRQem4xU1ZGOG9yNW5XaXJ1aVdtcUNBc3pqT3FpYWZ6Z2RGYndWeHhRQ1JS0gHuAUFVX3lxTE5sZ0lPb0FhSDdnTVVkcUNUSGdZNTJZeUpkZ3JlVVNkdXB6djV6ckxwZGR0SkQwZ2l3Qy1CUFNiWkJhWkl0NFVNNGZQTm5FR0ZveEczSmdmNVVSbzFrYW8wNERJektWTzBvVVZIVUFYc2FyaDZMeEdSY05RYWFVS3RZQi1ZemU3WG5KNzhKMUM3N0hmODRwemEyekRDYXB5U2ktZklHc2RKRXZiQk9mUEhNVFZ4YWFNMUwzaDZwYndkRW93TzU4WkhNc200eU9Kb3VnNy1aT0NWY3RKV2hlWWREeTI0UVVRUjVHdHI4elE?oc=5"" target=""_blank"">Bharat Forge shares surge 5% amid Indian Army order buzz; analysts see bullish momentum</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-10-23 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNbE5LdU5uRVdTMkN0ako2RkVURlB0U1M1YXV5amhuWHMzUEc3ZFRSNkZOYUpQdjVLOTZPWGg4SHRqbGY3aXVXV2VNMnV4cVpfSEhUbWtIcEFLcFVia2wyTkpOYmJGN0FYM3ZFbm83YlFuekkyRkd3OVYtR05OdUFQZFJzckFmdW45eDY3WmpGTkJaYkVSd2hRMzdzN18tdEV0c09tRG9vUGFOU3lVQVRUU1ZEZ2gxckJIY2RDUVRQem4xU1ZGOG9yNW5XaXJ1aVdtcUNBc3pqT3FpYWZ6Z2RGYndWeHhRQ1JS0gHuAUFVX3lxTE5sZ0lPb0FhSDdnTVVkcUNUSGdZNTJZeUpkZ3JlVVNkdXB6djV6ckxwZGR0SkQwZ2l3Qy1CUFNiWkJhWkl0NFVNNGZQTm5FR0ZveEczSmdmNVVSbzFrYW8wNERJektWTzBvVVZIVUFYc2FyaDZMeEdSY05RYWFVS3RZQi1ZemU3WG5KNzhKMUM3N0hmODRwemEyekRDYXB5U2ktZklHc2RKRXZiQk9mUEhNVFZ4YWFNMUwzaDZwYndkRW93TzU4WkhNc200eU9Kb3VnNy1aT0NWY3RKV2hlWWREeTI0UVVRUjVHdHI4elE?oc=5
BHARATFORG,Bharat Forge Limited,"Bharat Forge Wins ₹1,662 Cr Defence Carbine Deal - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxOWF9kYW5CMy1BVmdHMU9qcE92MHdvMmQ1aS1hNUhLc0w1aFNTYkVIQkF5bFBXWlJwcm5OWi1DYjM4Wk1VMzJfLU4yVS1kUHlqdTFXa1AwVWNrR3Yxdm9YR2JKa0M2M1lBa1hjVndBajAwWWhzTGNCNnliaFY5bTU0ekNMMGszOHRrVkRlVlUzaHhDZncwWEVwWWhyQ0JiQm5pZUIzV1RR?oc=5"" target=""_blank"">Bharat Forge Wins ₹1,662 Cr Defence Carbine Deal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2026-01-02 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMipgFBVV95cUxOWF9kYW5CMy1BVmdHMU9qcE92MHdvMmQ1aS1hNUhLc0w1aFNTYkVIQkF5bFBXWlJwcm5OWi1DYjM4Wk1VMzJfLU4yVS1kUHlqdTFXa1AwVWNrR3Yxdm9YR2JKa0M2M1lBa1hjVndBajAwWWhzTGNCNnliaFY5bTU0ekNMMGszOHRrVkRlVlUzaHhDZncwWEVwWWhyQ0JiQm5pZUIzV1RR?oc=5
BHARATFORG,Bharat Forge Limited,Bharat Forge's (NSE:BHARATFORG) five-year earnings growth trails the stellar shareholder returns - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxPLTVfaTMzTGRQeTBhNEhCVWlKdnl6cWIydEFzekx2b0pJcEhYS0lUR3NPZWx6Njh4eTdHbUEyLUFfV0dGZXY2RDBiNmFQblUtbVpHekg3TG9RSXFON1VWWUtEcy1jeFMxYW8wOE1BTm9FWUZ5R3JYcEQ5cUNpVTJJRldIZTdUQkJDcFZFQ2VtdDVaTmNMT3B1a25yWmRmbUg2ZWtCWmdsRU9lTGs0U3hhREd2cWNxZHBsc3FCMFAtX0w5OURXOFppMVV1X2E5Q19yT3lhblBweU1uY3Jm?oc=5"" target=""_blank"">Bharat Forge's (NSE:BHARATFORG) five-year earnings growth trails the stellar shareholder returns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-10-28 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPLTVfaTMzTGRQeTBhNEhCVWlKdnl6cWIydEFzekx2b0pJcEhYS0lUR3NPZWx6Njh4eTdHbUEyLUFfV0dGZXY2RDBiNmFQblUtbVpHekg3TG9RSXFON1VWWUtEcy1jeFMxYW8wOE1BTm9FWUZ5R3JYcEQ5cUNpVTJJRldIZTdUQkJDcFZFQ2VtdDVaTmNMT3B1a25yWmRmbUg2ZWtCWmdsRU9lTGs0U3hhREd2cWNxZHBsc3FCMFAtX0w5OURXOFppMVV1X2E5Q19yT3lhblBweU1uY3Jm?oc=5
BHARATFORG,Bharat Forge Limited,Bharat Forge shares jump over 6%: Here is what's driving the rally - Upstox,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxQOFZWcjBGVjY0eng4ek4wV1dGR3hFXy1PS1BYd1VOT3BPVFJOQVFQMmcxYkcxcjZKOFBRckZUTmhEdUs0V3p4eDM3REF4Zl8xMWoxcjBMMnd3M1VDMWpEaG5hb1VnOWJTTzlzU2otWE1lRnFpNEpRTDhEVnNicUsyYkh0cTdJQjNhQ1FMN2NON3hzVWRkYmhJdmthN0hzQkZOSHVsNzFXU09KZzJITFlGNHVTZ2pScjRYNGFIS19B?oc=5"" target=""_blank"">Bharat Forge shares jump over 6%: Here is what's driving the rally</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-09-08 07:00:00,Upstox,https://news.google.com/rss/articles/CBMivgFBVV95cUxQOFZWcjBGVjY0eng4ek4wV1dGR3hFXy1PS1BYd1VOT3BPVFJOQVFQMmcxYkcxcjZKOFBRckZUTmhEdUs0V3p4eDM3REF4Zl8xMWoxcjBMMnd3M1VDMWpEaG5hb1VnOWJTTzlzU2otWE1lRnFpNEpRTDhEVnNicUsyYkh0cTdJQjNhQ1FMN2NON3hzVWRkYmhJdmthN0hzQkZOSHVsNzFXU09KZzJITFlGNHVTZ2pScjRYNGFIS19B?oc=5
BHARATFORG,Bharat Forge Limited,"Bharat Forge shares at Rs 1,420? Likely in 8-9 weeks, says this stock broker - Business Today","<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxORFYzYmlYMXN3eUxQQlN6WTNpR1B3VnYzcHVKSmV5RUwxQmh5anJqRjRZRTlXSzdLQW5qN0JHMV9NdGhKeDY2Z3l1YkpaOHdOcktKcF9uRDVKNUR2aXd2M2NTOTN5aFpmZDNUcXoyYmVrdWtTVU53RnppVHNBQmhWSk1zSTRpYk1qN1BiWkNaZGJabUlzRU82azBqam85dFM0UFdfd2JFbzZBaFpzR29hWWRZQjZpNjJQTlFGR2w1MWQxY3Z5Z0NuX25wSnN3ZjR0aEdIUkVkekTSAd4BQVVfeXFMUHJPZnBSZDhhdlJtVlZMX29GOWJzLUtUc2NEbDhNcUtSejhQYTNjNFlPSXBDSzZ2dGh1Z0pKYnVaZmFOeDd4Wk5uTjN1YXdvVWtzOGhiYWxKQ3NLR2FzV3JtWWhvZEdhOC1UQm92MDVKd252cDNHV1puVWNtdkRaWkNiVnpQdXR3Q1FDZjdtdHNZMDUxX1dOQmIxNmw5SVlxaGFXZUhEVnlLM043OGFZTHFWdW9uZ1RzU0FIZzdpTzluSm1kd1dkam1EQngxX2pWTUEtV0FMbl9LSkJlU1Nn?oc=5"" target=""_blank"">Bharat Forge shares at Rs 1,420? Likely in 8-9 weeks, says this stock broker</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-05-14 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi2AFBVV95cUxORFYzYmlYMXN3eUxQQlN6WTNpR1B3VnYzcHVKSmV5RUwxQmh5anJqRjRZRTlXSzdLQW5qN0JHMV9NdGhKeDY2Z3l1YkpaOHdOcktKcF9uRDVKNUR2aXd2M2NTOTN5aFpmZDNUcXoyYmVrdWtTVU53RnppVHNBQmhWSk1zSTRpYk1qN1BiWkNaZGJabUlzRU82azBqam85dFM0UFdfd2JFbzZBaFpzR29hWWRZQjZpNjJQTlFGR2w1MWQxY3Z5Z0NuX25wSnN3ZjR0aEdIUkVkekTSAd4BQVVfeXFMUHJPZnBSZDhhdlJtVlZMX29GOWJzLUtUc2NEbDhNcUtSejhQYTNjNFlPSXBDSzZ2dGh1Z0pKYnVaZmFOeDd4Wk5uTjN1YXdvVWtzOGhiYWxKQ3NLR2FzV3JtWWhvZEdhOC1UQm92MDVKd252cDNHV1puVWNtdkRaWkNiVnpQdXR3Q1FDZjdtdHNZMDUxX1dOQmIxNmw5SVlxaGFXZUhEVnlLM043OGFZTHFWdW9uZ1RzU0FIZzdpTzluSm1kd1dkam1EQngxX2pWTUEtV0FMbl9LSkJlU1Nn?oc=5
BHARATFORG,Bharat Forge Limited,Bharat Forge Limited's (NSE:BHARATFORG) Stock Has Seen Strong Momentum: Does That Call For Deeper Study Of Its Financial Prospects? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNdkFWMjBsOG5WcVQxajBOcnVYVzJPZEEwdy1WMWRwekpUWHZiTGw5dTBjcHk4T0tOaldlWGtCTkVtdUEzbkM2dUtjdVVsV2dhcHBZZ0lrYWNhamxvZnpBZmhtYlBsV1pUYXRpMnFGOHU3SGRuWUdST0pFZm1sajQ1N09CYVM0TE02N29URzNLZFJxNnhyRHhPVklHYVRGVzFVWlI4bkNtdE5scG55eUFub1NlV1F3T2YyeC1PSHhINkJrZ3FZSVBxMDFTaFBuTUp2S2VBeFpNXzQ1aUwz?oc=5"" target=""_blank"">Bharat Forge Limited's (NSE:BHARATFORG) Stock Has Seen Strong Momentum: Does That Call For Deeper Study Of Its Financial Prospects?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-20 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNdkFWMjBsOG5WcVQxajBOcnVYVzJPZEEwdy1WMWRwekpUWHZiTGw5dTBjcHk4T0tOaldlWGtCTkVtdUEzbkM2dUtjdVVsV2dhcHBZZ0lrYWNhamxvZnpBZmhtYlBsV1pUYXRpMnFGOHU3SGRuWUdST0pFZm1sajQ1N09CYVM0TE02N29URzNLZFJxNnhyRHhPVklHYVRGVzFVWlI4bkNtdE5scG55eUFub1NlV1F3T2YyeC1PSHhINkJrZ3FZSVBxMDFTaFBuTUp2S2VBeFpNXzQ1aUwz?oc=5
BHARATFORG,Bharat Forge Limited,Bharat Forge shares rally over 6% in 5 sessions; two reasons why stock is in focus today - Upstox,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxNeUp4bGZPZXB5SW5yRXktWkNWM0RjQzVNbE51ZlRESDU0d1czT2EyUnJmeDUxaTBNNTYyaExiNWtkWFpuMEVJRDV1cUg4T1Jnek9kMnZoV0xHQjNmNG10N2NoM1hBWDBXRHBXMXJnc3FDM1I1eWpPRjNRNW1ZUVhJaWVsYzZSaS1mRWkwdXdPTDhuUUUxQW9UeGcyYmU5WVdRSFdZM2U1dDgwT000Tl92Nk9ueDdMSXhWQjFMU1ZDN3pNMTJzbzhST1pWRHNhXzQtYUJ0MDJycjgyT09xUUE?oc=5"" target=""_blank"">Bharat Forge shares rally over 6% in 5 sessions; two reasons why stock is in focus today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-09-12 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi3gFBVV95cUxNeUp4bGZPZXB5SW5yRXktWkNWM0RjQzVNbE51ZlRESDU0d1czT2EyUnJmeDUxaTBNNTYyaExiNWtkWFpuMEVJRDV1cUg4T1Jnek9kMnZoV0xHQjNmNG10N2NoM1hBWDBXRHBXMXJnc3FDM1I1eWpPRjNRNW1ZUVhJaWVsYzZSaS1mRWkwdXdPTDhuUUUxQW9UeGcyYmU5WVdRSFdZM2U1dDgwT000Tl92Nk9ueDdMSXhWQjFMU1ZDN3pNMTJzbzhST1pWRHNhXzQtYUJ0MDJycjgyT09xUUE?oc=5
