scrip,company,headline,summary,published_date,source,url
BIRLAMONEY,Aditya Birla Money Limited,Why Investors Shouldn't Be Surprised By Aditya Birla Money Limited's (NSE:BIRLAMONEY) Low P/E - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxNS3EzUEZiUjhpRTRmalg2MzdLczhwcHhzSlNBU3Rzclc3eVk4c1lSanBwTDBGQ3AyTXd0NnlfSFpxX0ZtMENFYktmclVxcWNpNFRvblE4QUROTm1ycDZ3Tm9HZDZYcXloeE1jVF93NVJrN3FfbmdLOXdZY2VkY1NBamQ5MnozOGRyYVV4RkIxNlVZSzkwTnZnRnk0Ulc2TGh2SlJQWXJJVHpzZ2tFNDk3Ry1rSWU0N2JXWXdJZWhjVUozbVJGeFczTXljdzlvcGZNLURNWDV4MzNLRVBJRG1STndfdk5weTZ5NlpENE5Ja3A4cnPSAfgBQVVfeXFMT0VsaTQtVXF0WUxHWVlNMGRuRmhlbC1KbDdHU2JFQkFkbHpIeVlHMUlUVTNlQV9DWEtVUzlnbWs3aVBfdUNheU1SQlRqZWcxdXFsSzhrcWxBVER6QmRzWHk1aWdUZmtyNUJvNzZPQ203bXJjYVBZd0RiQmRNVjVMcmlYNFpPX0l1dDJpWl93ZF9JdGR0MWZwdmdSWUpxVG5yTU1ENEZaZHFzOWdpTmJzLVRoeTNVT19rRmhXMjItekVOQXV3UHdWRTROZnlUY0xiWHRzUGtYajhPOU5jLTlLNWVvOFhHb0NMd21IOENIeFJ3RGEtRUtaYXk?oc=5"" target=""_blank"">Why Investors Shouldn't Be Surprised By Aditya Birla Money Limited's (NSE:BIRLAMONEY) Low P/E</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-10-16 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8wFBVV95cUxNS3EzUEZiUjhpRTRmalg2MzdLczhwcHhzSlNBU3Rzclc3eVk4c1lSanBwTDBGQ3AyTXd0NnlfSFpxX0ZtMENFYktmclVxcWNpNFRvblE4QUROTm1ycDZ3Tm9HZDZYcXloeE1jVF93NVJrN3FfbmdLOXdZY2VkY1NBamQ5MnozOGRyYVV4RkIxNlVZSzkwTnZnRnk0Ulc2TGh2SlJQWXJJVHpzZ2tFNDk3Ry1rSWU0N2JXWXdJZWhjVUozbVJGeFczTXljdzlvcGZNLURNWDV4MzNLRVBJRG1STndfdk5weTZ5NlpENE5Ja3A4cnPSAfgBQVVfeXFMT0VsaTQtVXF0WUxHWVlNMGRuRmhlbC1KbDdHU2JFQkFkbHpIeVlHMUlUVTNlQV9DWEtVUzlnbWs3aVBfdUNheU1SQlRqZWcxdXFsSzhrcWxBVER6QmRzWHk1aWdUZmtyNUJvNzZPQ203bXJjYVBZd0RiQmRNVjVMcmlYNFpPX0l1dDJpWl93ZF9JdGR0MWZwdmdSWUpxVG5yTU1ENEZaZHFzOWdpTmJzLVRoeTNVT19rRmhXMjItekVOQXV3UHdWRTROZnlUY0xiWHRzUGtYajhPOU5jLTlLNWVvOFhHb0NMd21IOENIeFJ3RGEtRUtaYXk?oc=5
BIRLAMONEY,Aditya Birla Money Limited,Aditya Birla Money Profit Plunges 62% in Q2FY26; Stock Falls 7.4% - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxQYjUzZ2FUdXJNQTJodk4ycERhTVo3am9qVTVzR1o1dUF2RnMwOWFPY0VKWl9RaVJjQVJ0TXhqaTZVQTUxa1otbG44Vks2UlFFT2lOWG5PYWpvMVJLTnlodkZjSnhuNE1vWFpheDNQeExvbG9IZlJuZFpxTDd0N2xBbzlCMVpGSzRsaUFDUTZlTWpmVGM?oc=5"" target=""_blank"">Aditya Birla Money Profit Plunges 62% in Q2FY26; Stock Falls 7.4%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-14 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMikwFBVV95cUxQYjUzZ2FUdXJNQTJodk4ycERhTVo3am9qVTVzR1o1dUF2RnMwOWFPY0VKWl9RaVJjQVJ0TXhqaTZVQTUxa1otbG44Vks2UlFFT2lOWG5PYWpvMVJLTnlodkZjSnhuNE1vWFpheDNQeExvbG9IZlJuZFpxTDd0N2xBbzlCMVpGSzRsaUFDUTZlTWpmVGM?oc=5
BIRLAMONEY,Aditya Birla Money Limited,Aditya Birla Money's (NSE:BIRLAMONEY) earnings growth rate lags the 23% CAGR delivered to shareholders - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxQelhfUmJwT096TjJVUU9wM0ZwU0xrTzJlNEtWR2hpWWlCSUx4RlNWVHBCZVRkQ1p3YlhLRkQ1WERQM3VqWjdaT0o0UUJBcFRnVG5PMGMwNDVzMjRodnZSTHNBUTh3c1JueVBuLTBqTC1rYTc4aF9KYTAyLU1YQlRmN2VXajk2bHczYWFaN1BZSjZ0YVpXVjlobXdRVHF4bk0xTk9UVWwxclNsRTNxdTl2bHFGcXhvNzY4MWN0Zk54cHBCdjhnTnB2SHEyVjVQaFotV2t2ZV95WTBEc0szQXpZMV9TUElReXdrbUo3V1V2SXlaZ9IB9wFBVV95cUxQbEhZeVNvbDJ6cnpKdHlWSlRRQ0o1eHEzcE5LUjFYMlZwZWczbndCN0RVNE1JZkI5Wkw4VmVnVERvLUJaYVAtM0F2LWhNa1VFWXRTVHN4NERCclZ1RHY5czE0SHFJVDZGY2NPUGJhM2llRkRRWXQwWVpZelJBQ3Z1a1Y3N1Z2V1ZfZ29LVmhORVNRUkdLYnN3a0JVSEZtUU9tV2N5dXc2cHlRRGtIM1ZFNzFabk5XVkFELWwzRENlS001Mi1qdE1Iemd4Mmt3UmY4eFVHWGFjS1ViX19sQzl6X3Q3d3B5SWh5V3NySktlTV8zdUpoT0lV?oc=5"" target=""_blank"">Aditya Birla Money's (NSE:BIRLAMONEY) earnings growth rate lags the 23% CAGR delivered to shareholders</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-21 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQelhfUmJwT096TjJVUU9wM0ZwU0xrTzJlNEtWR2hpWWlCSUx4RlNWVHBCZVRkQ1p3YlhLRkQ1WERQM3VqWjdaT0o0UUJBcFRnVG5PMGMwNDVzMjRodnZSTHNBUTh3c1JueVBuLTBqTC1rYTc4aF9KYTAyLU1YQlRmN2VXajk2bHczYWFaN1BZSjZ0YVpXVjlobXdRVHF4bk0xTk9UVWwxclNsRTNxdTl2bHFGcXhvNzY4MWN0Zk54cHBCdjhnTnB2SHEyVjVQaFotV2t2ZV95WTBEc0szQXpZMV9TUElReXdrbUo3V1V2SXlaZ9IB9wFBVV95cUxQbEhZeVNvbDJ6cnpKdHlWSlRRQ0o1eHEzcE5LUjFYMlZwZWczbndCN0RVNE1JZkI5Wkw4VmVnVERvLUJaYVAtM0F2LWhNa1VFWXRTVHN4NERCclZ1RHY5czE0SHFJVDZGY2NPUGJhM2llRkRRWXQwWVpZelJBQ3Z1a1Y3N1Z2V1ZfZ29LVmhORVNRUkdLYnN3a0JVSEZtUU9tV2N5dXc2cHlRRGtIM1ZFNzFabk5XVkFELWwzRENlS001Mi1qdE1Iemd4Mmt3UmY4eFVHWGFjS1ViX19sQzl6X3Q3d3B5SWh5V3NySktlTV8zdUpoT0lV?oc=5
BIRLAMONEY,Aditya Birla Money Limited,BIRLAMONEY Share Price | Aditya Birla Money Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE1RbGNYWHhyWFJ2NDFBOXhhUldfSmpocTFjS3lyMkx5WnVlMXFPS0F3SVFQZVByVG5jcVh1OVZwdXZwOU5BQzdCaWdxMUNLaWxNelEySHdyUzNneWF5OW9ZMG9FOU5QVnozamlEeXU0aVdtVFJkY3cw?oc=5"" target=""_blank"">BIRLAMONEY Share Price | Aditya Birla Money Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-06-12 10:07:47,Markets Mojo,https://news.google.com/rss/articles/CBMid0FVX3lxTE1RbGNYWHhyWFJ2NDFBOXhhUldfSmpocTFjS3lyMkx5WnVlMXFPS0F3SVFQZVByVG5jcVh1OVZwdXZwOU5BQzdCaWdxMUNLaWxNelEySHdyUzNneWF5OW9ZMG9FOU5QVnozamlEeXU0aVdtVFJkY3cw?oc=5
BIRLAMONEY,Aditya Birla Money Limited,Aditya Birla Money Limited Appoints Sethurathnam Ravi as An`Additional Director' in the Category of Non-Executive - Independent Director' - marketscreener.com,"<a href=""https://news.google.com/rss/articles/CBMimwJBVV95cUxNVGRIX0JmVUd0bVZwM2tqeUt0V3VKWHJnaUFQV25YLWlsNHRxUlIxUUpIZFBoUU10aUdhbnFBU29aZFpnVGg1a3VTSzdydkx1cGxQOU5fcWU3N3hUaW01bG1VTWdBVTFoSUo2eDR6VU5GRmU2R041VlRCamdyWlc1VXBhUzlKR2ZCU0VDMTZZSGNKbTBmSnFHcW13OE9BcHU5MVlqVS1yT0lXTUEzZzQ0a0VueGRVdGhEbkl4QzhxTGlZdEJDYXI1WDF0RVRCUTV6a3dVNWFhUk55anE5NXNWUk54b20zZ0lrVHE0VGk3TURRa1BIa29ScXpnOXFBWWY5XzI0eUhmd0x5eGZlX0RsQ28wM0d3QUF1UGVN?oc=5"" target=""_blank"">Aditya Birla Money Limited Appoints Sethurathnam Ravi as An`Additional Director' in the Category of Non-Executive - Independent Director'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketscreener.com</font>",2024-04-22 07:00:00,marketscreener.com,https://news.google.com/rss/articles/CBMimwJBVV95cUxNVGRIX0JmVUd0bVZwM2tqeUt0V3VKWHJnaUFQV25YLWlsNHRxUlIxUUpIZFBoUU10aUdhbnFBU29aZFpnVGg1a3VTSzdydkx1cGxQOU5fcWU3N3hUaW01bG1VTWdBVTFoSUo2eDR6VU5GRmU2R041VlRCamdyWlc1VXBhUzlKR2ZCU0VDMTZZSGNKbTBmSnFHcW13OE9BcHU5MVlqVS1yT0lXTUEzZzQ0a0VueGRVdGhEbkl4QzhxTGlZdEJDYXI1WDF0RVRCUTV6a3dVNWFhUk55anE5NXNWUk54b20zZ0lrVHE0VGk3TURRa1BIa29ScXpnOXFBWWY5XzI0eUhmd0x5eGZlX0RsQ28wM0d3QUF1UGVN?oc=5
BIRLAMONEY,Aditya Birla Money Limited,Aditya Birla Money Stock Price Forecast. Should You Buy BIRLAMONEY.NS? - StockInvest.us,"<a href=""https://news.google.com/rss/articles/CBMiVEFVX3lxTE1OUU1CbG51ZVlJNTh4cndJODV1TjItME81UXBmT1hhN3RYelhqYllQSG9pRXNoOEk5WUJOZjYzbXFkUmt3SnBMNWR1ZmZ5Si13akpPTg?oc=5"" target=""_blank"">Aditya Birla Money Stock Price Forecast. Should You Buy BIRLAMONEY.NS?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">StockInvest.us</font>",2020-12-07 17:50:00,StockInvest.us,https://news.google.com/rss/articles/CBMiVEFVX3lxTE1OUU1CbG51ZVlJNTh4cndJODV1TjItME81UXBmT1hhN3RYelhqYllQSG9pRXNoOEk5WUJOZjYzbXFkUmt3SnBMNWR1ZmZ5Si13akpPTg?oc=5
BIRLAMONEY,Aditya Birla Money Limited,Technical Analysis of Aditya Birla Money Limited (NSE:BIRLAMONEY) - TradingView,"<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTE5TNk9qdVp1Ukh0Uy1tSlhTQkpZOXV4V2tNUjlNNm9kZ2JpMWFndHpKaVdxMlkwVWxWV3pWNFhTN1NfY0llbnpzTDBaU09LOVZWNjZ4NTlsc1dKRjV4UHYwR0ZJZW9zUFdfSExTMUowTQ?oc=5"" target=""_blank"">Technical Analysis of Aditya Birla Money Limited (NSE:BIRLAMONEY)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2018-03-03 09:13:27,TradingView,https://news.google.com/rss/articles/CBMib0FVX3lxTE5TNk9qdVp1Ukh0Uy1tSlhTQkpZOXV4V2tNUjlNNm9kZ2JpMWFndHpKaVdxMlkwVWxWV3pWNFhTN1NfY0llbnpzTDBaU09LOVZWNjZ4NTlsc1dKRjV4UHYwR0ZJZW9zUFdfSExTMUowTQ?oc=5
BIRLAMONEY,Aditya Birla Money Limited,Why did this Aditya Birla group company's stock decline 5% in trade today? - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxQVWt5Wk9YN1RPSEhRdnBXRTA3UG55aHdWZFZ1TVF5MGJVME1KSWlLc2xJczZ6VktNQ0FhOEFaWm9MWHlEQ1RoV291bEpvWFJnNG9SV1BRT2JSR19WM0JrWXJRdUkzS3hkTmJ5VnVxQkwzSmFSaXJZOTQyckhQRHFuaHVjOWxSdHVZZTZlMUQzekcxY3QxU3Iya3V1blJtb3hjbnpoQnhDbEpRaDBzSEtGSU1XbGthRkxya3VVSDhUa1ZUZUkyMkFzZDd5bVluYk01eTJQdWhGc9IB3AFBVV95cUxNQWNhcWpYMmhuYXR5V0Z4NlBrb0hRWWxTLTFvT1YxMm9RX3c5TkNPeE9RVkEtUDU2aVoxQnVNcVNVckd5cHdnVWhncjltQjhFWlJHcllBZEJQV3ZaelZGZ3VIUzk3WWFxZmdIa0s3MjBHQmMxd2ZsTk92RGQ2aTBZOE5JVmtpNHJ4NXR1b2FQamMxSmxIcjBPYl9jTlEzSzBkejJNZXdkdUg2OXZCbGpsZ0p1Mm13Y0h0bEd0XzlhaGJwZVpSbFJNczlKUmhKY0haMDgtNG1wS3c3OU96?oc=5"" target=""_blank"">Why did this Aditya Birla group company's stock decline 5% in trade today?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-07-14 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQVWt5Wk9YN1RPSEhRdnBXRTA3UG55aHdWZFZ1TVF5MGJVME1KSWlLc2xJczZ6VktNQ0FhOEFaWm9MWHlEQ1RoV291bEpvWFJnNG9SV1BRT2JSR19WM0JrWXJRdUkzS3hkTmJ5VnVxQkwzSmFSaXJZOTQyckhQRHFuaHVjOWxSdHVZZTZlMUQzekcxY3QxU3Iya3V1blJtb3hjbnpoQnhDbEpRaDBzSEtGSU1XbGthRkxya3VVSDhUa1ZUZUkyMkFzZDd5bVluYk01eTJQdWhGc9IB3AFBVV95cUxNQWNhcWpYMmhuYXR5V0Z4NlBrb0hRWWxTLTFvT1YxMm9RX3c5TkNPeE9RVkEtUDU2aVoxQnVNcVNVckd5cHdnVWhncjltQjhFWlJHcllBZEJQV3ZaelZGZ3VIUzk3WWFxZmdIa0s3MjBHQmMxd2ZsTk92RGQ2aTBZOE5JVmtpNHJ4NXR1b2FQamMxSmxIcjBPYl9jTlEzSzBkejJNZXdkdUg2OXZCbGpsZ0p1Mm13Y0h0bEd0XzlhaGJwZVpSbFJNczlKUmhKY0haMDgtNG1wS3c3OU96?oc=5
BIRLAMONEY,Aditya Birla Money Limited,"Q1 results this week: TCS, Avenue Supermarts, Tata Elxsi, Aditya Birla Money, others to announce earnings; check list - Upstox","<a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxQd3BFVkV5dGlBR3JZT1ZoZ0tQR1JEeHpQMFZNU09pVjBHWHNJMm95RGFKdGxrVV9RQlNLdzVMcjc4RWFBcXRQV3JLaWpSYjBuQnhKeHNaalphbGRJTE1TRFV6YzZSS2t1TGVQNjZDZTltNXBzeTRDN29rb3BqLVo3N0pNWWdzZEgyejdhclhpVmZTdk9Bd1NQNzIwY3ZocUVSLW91aks2anFXeEtpR3daUmpJdnZZdF9TZ1pLX2RQazFERGVDWFVDSllFRk5HZUlhM2FpNlJPS3FTSUpFMkpVQTlZbW5tNVBoeEJsLWV6RlhrS001YVd0VC03N0x6TzlSeEE?oc=5"" target=""_blank"">Q1 results this week: TCS, Avenue Supermarts, Tata Elxsi, Aditya Birla Money, others to announce earnings; check list</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-07-06 07:00:00,Upstox,https://news.google.com/rss/articles/CBMiggJBVV95cUxQd3BFVkV5dGlBR3JZT1ZoZ0tQR1JEeHpQMFZNU09pVjBHWHNJMm95RGFKdGxrVV9RQlNLdzVMcjc4RWFBcXRQV3JLaWpSYjBuQnhKeHNaalphbGRJTE1TRFV6YzZSS2t1TGVQNjZDZTltNXBzeTRDN29rb3BqLVo3N0pNWWdzZEgyejdhclhpVmZTdk9Bd1NQNzIwY3ZocUVSLW91aks2anFXeEtpR3daUmpJdnZZdF9TZ1pLX2RQazFERGVDWFVDSllFRk5HZUlhM2FpNlJPS3FTSUpFMkpVQTlZbW5tNVBoeEJsLWV6RlhrS001YVd0VC03N0x6TzlSeEE?oc=5
BIRLAMONEY,Aditya Birla Money Limited,Sebi slaps Rs 1.02 crore fine on Aditya Birla Money for market norms violation - Moneycontrol.com,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPUHVtMGFLWHd5Um85N09hY05zQlhWN3VVVmMwcHBKc2tBTm1BUE5CZVRfanFuczBFakNGc3dhMno4OU1pNFNLd2k4ay1wTktMSXlVN3JGNVFlR2M0ZXVXbzVVRGEwWlV2UzBneXU1bmdJdDdMbUxhZ3ZkMkhKMEhCdHlPQzFqSzgzYVJYcnRrb0E1Mmk4UjhsbWQtdWp5eDFXVUdBQlNXYkZlWXJxNVlyM2JWUXp6WlZKR2VRUjNpQzRzdUZYcmxNZ3VUMW1tbXZhS1BnYmpRYVJxZ9IB3wFBVV95cUxNT1RXVVQtUjBtNDBlMWxydnFUVFhweUd6b0pvUFU3Y0R0T3J5NFpueEIxMFkwcDBjS2l6MXpRSHotbmFKckxnZFctbERNeW5fZFVobGtENzNlSTZMNXJrZURTeXRNVHBSb0VLVERMZUo4cFd1STF4UWdEbi1oejFZYXpBVUs4LWZQWDFEX1Y4b1NCdkhyTnptdTk0MG9kWkJRNm54Z2M1bVd2cEtKazhvaHlGQ0FJTFcwbVpwX29FYU5xam1ZdHBxY2NFUjFMQ09jdmpLdWRhUlAzSlFZN0hJ?oc=5"" target=""_blank"">Sebi slaps Rs 1.02 crore fine on Aditya Birla Money for market norms violation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2021-10-04 07:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPUHVtMGFLWHd5Um85N09hY05zQlhWN3VVVmMwcHBKc2tBTm1BUE5CZVRfanFuczBFakNGc3dhMno4OU1pNFNLd2k4ay1wTktMSXlVN3JGNVFlR2M0ZXVXbzVVRGEwWlV2UzBneXU1bmdJdDdMbUxhZ3ZkMkhKMEhCdHlPQzFqSzgzYVJYcnRrb0E1Mmk4UjhsbWQtdWp5eDFXVUdBQlNXYkZlWXJxNVlyM2JWUXp6WlZKR2VRUjNpQzRzdUZYcmxNZ3VUMW1tbXZhS1BnYmpRYVJxZ9IB3wFBVV95cUxNT1RXVVQtUjBtNDBlMWxydnFUVFhweUd6b0pvUFU3Y0R0T3J5NFpueEIxMFkwcDBjS2l6MXpRSHotbmFKckxnZFctbERNeW5fZFVobGtENzNlSTZMNXJrZURTeXRNVHBSb0VLVERMZUo4cFd1STF4UWdEbi1oejFZYXpBVUs4LWZQWDFEX1Y4b1NCdkhyTnptdTk0MG9kWkJRNm54Z2M1bVd2cEtKazhvaHlGQ0FJTFcwbVpwX29FYU5xam1ZdHBxY2NFUjFMQ09jdmpLdWRhUlAzSlFZN0hJ?oc=5
