scrip,company,headline,summary,published_date,source,url
BIRLATYRE,Birla Tyres Limited,Birla Tyre unveils new brand identity under Himadri-led consortium - ET Auto,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxPZkxhbTFkSFRDZmpmeWgwdWJCLW0wemtweThZTldIWWpiS01IQjVWSmxPQ2Z3U0lRdXRwQTg2WER1ektYVUlZTDdrVXgxX25hZlRpVHJVcElIbG5xSVR2U0JZV2xYYThESm13YklzN29meUxrVjlJelMtRk9KVE55aVFkeWpJUC1PS3lCdTFibnVCTC1sLW41clJiT3JhTGFCb2VCd2tLQ2g1ZkVCTW1OVnV1bkFlbGx4WXd3Z09jaENlZm85NDZLeNIBzgFBVV95cUxOR3I0R2NiUTE1VU9PV2RDMFMxVlliaURzWGRjTWNwV3dyaG5yS3V4LTBqazZzcm1ESm5tbWE2Vk5HU0lQTFEzQWc5T2cwaU50dUFVMGVORDZhQTQxMTRlUm05aUU5d010WGFQX0NMeTRCeFZUVUdTYzhpMG9FSGo0Rjg5UHdYZFJLSGNxN09vVV9wdDRPMGhVX1Z3UjRWa3FONjJXTFdlN2VpQzloVXQyVE5VTWUtdnczcnVnSXY2bWRaR1VWOG11allKWDRrdw?oc=5"" target=""_blank"">Birla Tyre unveils new brand identity under Himadri-led consortium</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ET Auto</font>",2025-06-19 07:00:00,ET Auto,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPZkxhbTFkSFRDZmpmeWgwdWJCLW0wemtweThZTldIWWpiS01IQjVWSmxPQ2Z3U0lRdXRwQTg2WER1ektYVUlZTDdrVXgxX25hZlRpVHJVcElIbG5xSVR2U0JZV2xYYThESm13YklzN29meUxrVjlJelMtRk9KVE55aVFkeWpJUC1PS3lCdTFibnVCTC1sLW41clJiT3JhTGFCb2VCd2tLQ2g1ZkVCTW1OVnV1bkFlbGx4WXd3Z09jaENlZm85NDZLeNIBzgFBVV95cUxOR3I0R2NiUTE1VU9PV2RDMFMxVlliaURzWGRjTWNwV3dyaG5yS3V4LTBqazZzcm1ESm5tbWE2Vk5HU0lQTFEzQWc5T2cwaU50dUFVMGVORDZhQTQxMTRlUm05aUU5d010WGFQX0NMeTRCeFZUVUdTYzhpMG9FSGo0Rjg5UHdYZFJLSGNxN09vVV9wdDRPMGhVX1Z3UjRWa3FONjJXTFdlN2VpQzloVXQyVE5VTWUtdnczcnVnSXY2bWRaR1VWOG11allKWDRrdw?oc=5
BIRLATYRE,Birla Tyres Limited,Board of HSCL approves conversion of OCDs of Himadri Birla Tyre Manufacturer - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxPV2NfTGRGcnB5NkpvZTJncWNJVUhvVVRLa3U2N0R1b0dubkY5VXNsQ3F0TGpWQ1pxdlY5dlNEbWZ4MkdBWUlKd0lnS3J0Q1NacnN0NDNNQjZqck9kNlFRTDBZRVg0XzFteHE4cWVWOTlCTm0xQ0YzWUFxRkVfYzJkTFFHQWxudWdvTmNVcnVQaW9NMkJfTzJkR2ZTRTNMQ1BBcDV0SVlUSThGSVhVM0xQWUg1TlRHRGRCYUtINmp2bVFFRmszTHBZVGpmNzBTSUdKUXk3eUlTNTRDeE1jenNCNTZ2aU9Od1IzbTVPY0kxY9IB9AFBVV95cUxQZF9EYU1TWnVtUTh0SktVZ1R3b1FOc2dJcHhsUmRwUEh5NWc0dzNrYUxvRktGSm9LRFZEWHN4b0NIb2RFZkFEWk81QmdGNm90ZFNmQlZ2QjVteWRQR2ZCclJYNm5LaU5IVGV5VnpYLU01REZXcGpUTmFTeWZIMW1jN0ZPS3JubVNlbVE2QjBpY2dUbXRuaXZqWUZhbk94M0VEVEZfd0d1dXlGZ3NYdFV1UDZ2aUJ1QWlId1dDbC1yVlpPb2hybEV6c3UwWEdDXzNNcXBkSGttUEU5bUhWZ1ZnQmdQbkxmYTZiR291VV9LM29weUVQ?oc=5"" target=""_blank"">Board of HSCL approves conversion of OCDs of Himadri Birla Tyre Manufacturer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-03-29 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi7wFBVV95cUxPV2NfTGRGcnB5NkpvZTJncWNJVUhvVVRLa3U2N0R1b0dubkY5VXNsQ3F0TGpWQ1pxdlY5dlNEbWZ4MkdBWUlKd0lnS3J0Q1NacnN0NDNNQjZqck9kNlFRTDBZRVg0XzFteHE4cWVWOTlCTm0xQ0YzWUFxRkVfYzJkTFFHQWxudWdvTmNVcnVQaW9NMkJfTzJkR2ZTRTNMQ1BBcDV0SVlUSThGSVhVM0xQWUg1TlRHRGRCYUtINmp2bVFFRmszTHBZVGpmNzBTSUdKUXk3eUlTNTRDeE1jenNCNTZ2aU9Od1IzbTVPY0kxY9IB9AFBVV95cUxQZF9EYU1TWnVtUTh0SktVZ1R3b1FOc2dJcHhsUmRwUEh5NWc0dzNrYUxvRktGSm9LRFZEWHN4b0NIb2RFZkFEWk81QmdGNm90ZFNmQlZ2QjVteWRQR2ZCclJYNm5LaU5IVGV5VnpYLU01REZXcGpUTmFTeWZIMW1jN0ZPS3JubVNlbVE2QjBpY2dUbXRuaXZqWUZhbk94M0VEVEZfd0d1dXlGZ3NYdFV1UDZ2aUJ1QWlId1dDbC1yVlpPb2hybEV6c3UwWEdDXzNNcXBkSGttUEU5bUhWZ1ZnQmdQbkxmYTZiR291VV9LM29weUVQ?oc=5
BIRLATYRE,Birla Tyres Limited,Birla Tyre Reveals New Logo with Tiger Mnemonic - SMEStreet,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxOQTNkZ3BuSzB2NXphRWFfVVhuOGlLTlNWUURnTGVCc0taNFV2ajRTRFB0WkhoQUJ4U2xXcjFwb3MwLWlOOGZzNkx6LTVaTl9qOGEwTEJVZGtVYnoyd0RFLXF6aXE4aEF2d3pFMDVteGdtXzBla0NFLXVGcWRyMzFKN2dpbEFQRGlnTmNlSdIBjAFBVV95cUxOQTNkZ3BuSzB2NXphRWFfVVhuOGlLTlNWUURnTGVCc0taNFV2ajRTRFB0WkhoQUJ4U2xXcjFwb3MwLWlOOGZzNkx6LTVaTl9qOGEwTEJVZGtVYnoyd0RFLXF6aXE4aEF2d3pFMDVteGdtXzBla0NFLXVGcWRyMzFKN2dpbEFQRGlnTmNlSQ?oc=5"" target=""_blank"">Birla Tyre Reveals New Logo with Tiger Mnemonic</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SMEStreet</font>",2025-06-20 07:00:00,SMEStreet,https://news.google.com/rss/articles/CBMijAFBVV95cUxOQTNkZ3BuSzB2NXphRWFfVVhuOGlLTlNWUURnTGVCc0taNFV2ajRTRFB0WkhoQUJ4U2xXcjFwb3MwLWlOOGZzNkx6LTVaTl9qOGEwTEJVZGtVYnoyd0RFLXF6aXE4aEF2d3pFMDVteGdtXzBla0NFLXVGcWRyMzFKN2dpbEFQRGlnTmNlSdIBjAFBVV95cUxOQTNkZ3BuSzB2NXphRWFfVVhuOGlLTlNWUURnTGVCc0taNFV2ajRTRFB0WkhoQUJ4U2xXcjFwb3MwLWlOOGZzNkx6LTVaTl9qOGEwTEJVZGtVYnoyd0RFLXF6aXE4aEF2d3pFMDVteGdtXzBla0NFLXVGcWRyMzFKN2dpbEFQRGlnTmNlSQ?oc=5
BIRLATYRE,Birla Tyres Limited,Himadri Speciality Chemical Ltd. Acquires 100% Stake in Birla Tyres - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNMW1wNEkycS10ZkVpUV8zRkl4UTVGemJFemxLaTlJU1VMSDE2NlVnb0Rqd2p0R0FLSXFZc2o4MHFQMU1iTmh1eko4UUQ2bC0zU2ZyTXVLemtxQXVRNmhjU1ZUTTduU3JfNzZqbldYaVhMRXpULW00a201RHVsNU54Q2tvNndJdFE5ODk4NWFjbl9JMElka1pDbk0waFpTM1pHMmNrZVhrZlFuYnJHUkpBa0RCOFU3Y2Q4?oc=5"" target=""_blank"">Himadri Speciality Chemical Ltd. Acquires 100% Stake in Birla Tyres</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2025-04-08 07:00:00,TipRanks,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNMW1wNEkycS10ZkVpUV8zRkl4UTVGemJFemxLaTlJU1VMSDE2NlVnb0Rqd2p0R0FLSXFZc2o4MHFQMU1iTmh1eko4UUQ2bC0zU2ZyTXVLemtxQXVRNmhjU1ZUTTduU3JfNzZqbldYaVhMRXpULW00a201RHVsNU54Q2tvNndJdFE5ODk4NWFjbl9JMElka1pDbk0waFpTM1pHMmNrZVhrZlFuYnJHUkpBa0RCOFU3Y2Q4?oc=5
BIRLATYRE,Birla Tyres Limited,New owners to relaunch Birla Tyres by 2025 - Tyrepress,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxPVHhBbkQ0eE14UVlQWTFOVzdHWTFKZVBQcEpOUEhPZ0kxd29sdWVYU2xIX2xKclVaN0czeS1yM3hzbldHcjRMbGJDdG5TUGlqN1ExSzN1RVJlMDFfcEc1VWlkdDg3YTNuejVqZ1NmejRaOVVwcDJoWnlQUTdVODRxN1FCSQ?oc=5"" target=""_blank"">New owners to relaunch Birla Tyres by 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tyrepress</font>",2024-07-18 07:00:00,Tyrepress,https://news.google.com/rss/articles/CBMigwFBVV95cUxPVHhBbkQ0eE14UVlQWTFOVzdHWTFKZVBQcEpOUEhPZ0kxd29sdWVYU2xIX2xKclVaN0czeS1yM3hzbldHcjRMbGJDdG5TUGlqN1ExSzN1RVJlMDFfcEc1VWlkdDg3YTNuejVqZ1NmejRaOVVwcDJoWnlQUTdVODRxN1FCSQ?oc=5
BIRLATYRE,Birla Tyres Limited,Birla Tyres shares to delist from exchanges after NCLT nod to resolution plan - The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNV2NCNC1LVE5jcDV0VllfYjJTZldxcWJ6V2FtRFUwNGx1UmlBTEQ0emZXZExyQjQ3em9GcldHNlZNcGEtSGhaUW5vc1pDazh3SXhVYWMtUlo4T2JrZTdLWloxWVBaZDRkQ0N2MjlrYUMyWHZaLUNYYVRWUzBBenRIRlRfX3MtamdfaHhfV2c1M0F2anVWUGFZand3NGdRWVVfN1hMenVmSWFUcGpQVTJ1YWpoR3ZZeHZPd0RMSndYdFZlazYyRGRzLUkwLTIyaS1EalVUOTFZaU0tUk1wVG12WEJrMk9Jd9IB6wFBVV95cUxPeGtlSXhuRU9peHF2MG9VRWVlVWdGbk9vbGZzRmZyZUU5TXRXOWxWbXpWamJ5b1R4a1JycHNiem9CSkhCcnBZSkpDdE9qOXhmOUxkQVJWaWJZZ01Hdy1qMzZRM25Nd2lnR0VCSUZLLUFHNUg5anBKWEYwNTRtVlI5X282VHBVX2V2ajFmbUctejlkQzk3ZUphOUF3Q0tyajJoVVBmem8zb0VkMTRDLUxZNlZNVGg5QXhmTmpsYmFFY1QzcGhXMEdyQTZJZnlLbGM2ZWM2aUIxVXlFbXZjWDVXSGpxSnBDN204YzFv?oc=5"" target=""_blank"">Birla Tyres shares to delist from exchanges after NCLT nod to resolution plan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",2023-10-20 07:00:00,The Economic Times,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNV2NCNC1LVE5jcDV0VllfYjJTZldxcWJ6V2FtRFUwNGx1UmlBTEQ0emZXZExyQjQ3em9GcldHNlZNcGEtSGhaUW5vc1pDazh3SXhVYWMtUlo4T2JrZTdLWloxWVBaZDRkQ0N2MjlrYUMyWHZaLUNYYVRWUzBBenRIRlRfX3MtamdfaHhfV2c1M0F2anVWUGFZand3NGdRWVVfN1hMenVmSWFUcGpQVTJ1YWpoR3ZZeHZPd0RMSndYdFZlazYyRGRzLUkwLTIyaS1EalVUOTFZaU0tUk1wVG12WEJrMk9Jd9IB6wFBVV95cUxPeGtlSXhuRU9peHF2MG9VRWVlVWdGbk9vbGZzRmZyZUU5TXRXOWxWbXpWamJ5b1R4a1JycHNiem9CSkhCcnBZSkpDdE9qOXhmOUxkQVJWaWJZZ01Hdy1qMzZRM25Nd2lnR0VCSUZLLUFHNUg5anBKWEYwNTRtVlI5X282VHBVX2V2ajFmbUctejlkQzk3ZUphOUF3Q0tyajJoVVBmem8zb0VkMTRDLUxZNlZNVGg5QXhmTmpsYmFFY1QzcGhXMEdyQTZJZnlLbGM2ZWM2aUIxVXlFbXZjWDVXSGpxSnBDN204YzFv?oc=5
BIRLATYRE,Birla Tyres Limited,Birla Tyre Unveils New Brand Identity and Logo Under New Ownership - Autocar Professional,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxOdW50Xzc1UGJoVGVMb2toVVhOdXRrZUp1QlRiY052T0c1UDBEUlR0bXQ0OXBsWUIweDBQbU44RDBIbmtXNEdSeEUwQ1prTFh4d1FvcUxyODJJQUhmcjZyajlMQkhxdFBiTC1ySVc5d21TeWxfaXVrZVlVV1NBY05mR2ZDMG8yTlp1SEhfc2xyUHlXLUVxSGt4TWRpcWtnUE5fMWtoOGxMQdIBrwFBVV95cUxObU1EUXhIaXl0d09TNkNrU295TzdxaUo4TXQ2NzVpU2VyOVRPQzc2Y2ZSVjZNQzdzeGpJV3F1WlEwYWlOUmZGbnlkc1RKMjJ6SWwyNmFKRUNSZm1wQWhTZFJqNDdDTGFOVVVXZ2FmdUF2bTBHMkZqTS1nNm5jQ3V3M29PUW5neWF6Z1FZQlZkVHpMNEZYcC15dVRkaGxxYWpndGk3dDR0d21VUjJWWTJZ?oc=5"" target=""_blank"">Birla Tyre Unveils New Brand Identity and Logo Under New Ownership</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Autocar Professional</font>",2025-06-18 07:00:00,Autocar Professional,https://news.google.com/rss/articles/CBMipwFBVV95cUxOdW50Xzc1UGJoVGVMb2toVVhOdXRrZUp1QlRiY052T0c1UDBEUlR0bXQ0OXBsWUIweDBQbU44RDBIbmtXNEdSeEUwQ1prTFh4d1FvcUxyODJJQUhmcjZyajlMQkhxdFBiTC1ySVc5d21TeWxfaXVrZVlVV1NBY05mR2ZDMG8yTlp1SEhfc2xyUHlXLUVxSGt4TWRpcWtnUE5fMWtoOGxMQdIBrwFBVV95cUxObU1EUXhIaXl0d09TNkNrU295TzdxaUo4TXQ2NzVpU2VyOVRPQzc2Y2ZSVjZNQzdzeGpJV3F1WlEwYWlOUmZGbnlkc1RKMjJ6SWwyNmFKRUNSZm1wQWhTZFJqNDdDTGFOVVVXZ2FmdUF2bTBHMkZqTS1nNm5jQ3V3M29PUW5neWF6Z1FZQlZkVHpMNEZYcC15dVRkaGxxYWpndGk3dDR0d21VUjJWWTJZ?oc=5
BIRLATYRE,Birla Tyres Limited,"Birla Tyres set to roll again, acquisition finalised by consortium of Himadri and Dalmia - Telegraph India","<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxQbzlvajVWVGk3RGVvU3VZYnFES29jQTgzdngwcnhkZFNCWGlqdWl3RXdEVlFSQ2txYlNlRnVrckJfVFdvdkUtVDBWa2dVTlIwUXhUTmp4SXZ1Tl91NHVYTndpbHVFSmJySG1iZnYweFV5ZDUwWEdpcWRUdTJRX3BXZXU3SGp0bDhTc0xkaFNST2luWEphcTBrcTBUZ0FEZlUyS0kxQ0xYZE1nb0hYNjJraTdxam9VcDA3M0Z6ZXNiVmQ0cjZkaFJwWDFBamtGQktIelM0TTRB0gHbAUFVX3lxTE9xbjVLWnRUdkVRTG13aU8zcjVyYUQtRklZaHdvbm40eWVWemZIZTNfM0VYcTlqNWEwc3JCcjF5ZmZpZGZQQ1FXd0dVcE53OUptSmZxdzdualdBQkJSaUdLUjhUZFZxYXdFVnVCYzUwcmJhbnBMOWFBc0Eza2NYUklTblRUQlNKYlQtYW9zSnRMN2lGbEYxMTVzcHJDeUtaMHJjaW1jclpQN19Vb3dpU1Q4RTlTZ2pmS2w2SG81V1pCcF9mX3NjYVdmVTQ2VndsX1N3VWlNMVFsM0F4SQ?oc=5"" target=""_blank"">Birla Tyres set to roll again, acquisition finalised by consortium of Himadri and Dalmia</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telegraph India</font>",2023-11-02 07:00:00,Telegraph India,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQbzlvajVWVGk3RGVvU3VZYnFES29jQTgzdngwcnhkZFNCWGlqdWl3RXdEVlFSQ2txYlNlRnVrckJfVFdvdkUtVDBWa2dVTlIwUXhUTmp4SXZ1Tl91NHVYTndpbHVFSmJySG1iZnYweFV5ZDUwWEdpcWRUdTJRX3BXZXU3SGp0bDhTc0xkaFNST2luWEphcTBrcTBUZ0FEZlUyS0kxQ0xYZE1nb0hYNjJraTdxam9VcDA3M0Z6ZXNiVmQ0cjZkaFJwWDFBamtGQktIelM0TTRB0gHbAUFVX3lxTE9xbjVLWnRUdkVRTG13aU8zcjVyYUQtRklZaHdvbm40eWVWemZIZTNfM0VYcTlqNWEwc3JCcjF5ZmZpZGZQQ1FXd0dVcE53OUptSmZxdzdualdBQkJSaUdLUjhUZFZxYXdFVnVCYzUwcmJhbnBMOWFBc0Eza2NYUklTblRUQlNKYlQtYW9zSnRMN2lGbEYxMTVzcHJDeUtaMHJjaW1jclpQN19Vb3dpU1Q4RTlTZ2pmS2w2SG81V1pCcF9mX3NjYVdmVTQ2VndsX1N3VWlNMVFsM0F4SQ?oc=5
BIRLATYRE,Birla Tyres Limited,Birla Tyres to re-enter mkt with new products in Q4 - The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOQm5BMXNKbjZvRm9UcFNnUi1HODR2U2paRlVXR3ZBNkE5X3BKOVVJUS0xM0UwUlhiMVJBNlR3WXY3YUNlTURCMTlnVkNIdzJYdTJpbEJvczNGMXliekQ1d3JIeVFMcXc2V0dwYW9zSkp0eDhZVkE3ZHpoS0pPZXVVd08wYk1CZFZkaXA3VkRKOEVMbDAyakZONHRGYVFwQW95eTUyanNTT0R1bmVxbnBUNnNCU3dFN2pZdmJCbFVWQnJXZG9qSW80cNIBzgFBVV95cUxNQVBqXy1kUlRTWG5KcHA0Tk1DbkxwSEdwMHVCMGY4SUMwdUMzeGV6RENjMlN0UnRPVU1JVkRVQXd5Z1BkampCQnc1YjBlQmtueFVWSVprR3l3ZjJGWVpzOFZKX2FaTWwxbnR6TzdkMTVXRjdtSzRzQm1SWExEby1nUmQ2V0ZEX04zRkFHSDVrZWRwY2hsa01PMHZsVGRDU3dhMVJVcXh3RTVsOURJMXA4V3VXSGpEMGpCWFRodVRNZFU1aUJLVGdjN3h5TXdvdw?oc=5"" target=""_blank"">Birla Tyres to re-enter mkt with new products in Q4</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",2024-07-17 07:00:00,The Times of India,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOQm5BMXNKbjZvRm9UcFNnUi1HODR2U2paRlVXR3ZBNkE5X3BKOVVJUS0xM0UwUlhiMVJBNlR3WXY3YUNlTURCMTlnVkNIdzJYdTJpbEJvczNGMXliekQ1d3JIeVFMcXc2V0dwYW9zSkp0eDhZVkE3ZHpoS0pPZXVVd08wYk1CZFZkaXA3VkRKOEVMbDAyakZONHRGYVFwQW95eTUyanNTT0R1bmVxbnBUNnNCU3dFN2pZdmJCbFVWQnJXZG9qSW80cNIBzgFBVV95cUxNQVBqXy1kUlRTWG5KcHA0Tk1DbkxwSEdwMHVCMGY4SUMwdUMzeGV6RENjMlN0UnRPVU1JVkRVQXd5Z1BkampCQnc1YjBlQmtueFVWSVprR3l3ZjJGWVpzOFZKX2FaTWwxbnR6TzdkMTVXRjdtSzRzQm1SWExEby1nUmQ2V0ZEX04zRkFHSDVrZWRwY2hsa01PMHZsVGRDU3dhMVJVcXh3RTVsOURJMXA4V3VXSGpEMGpCWFRodVRNZFU1aUJLVGdjN3h5TXdvdw?oc=5
BIRLATYRE,Birla Tyres Limited,Birla Tyres Becomes Official Tyre Partner of DP World Asia Cup 2025 - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxQRlM2WHhRZGRWaGt6OXdPOFZjcGE0elY4Z0YwdTlmencxSllLVjkxdGUyZ2pkWS1Hell2VGhxMnRxM2RIWE1vb29YSm5TWjVfUWQwNkxOUDBFTXR1V0JJNEZBTUpwcVR4bHRJaF9RSlJ3MllWTS1EbzhxSmVWYXFxamU1Nkhwd0Q5Wm82QXEtaS1ZUVFzNFFnVHBwa1RRa0NXdWs4S2VoeGlEUEtOcTFUS3VHdHZfXzF1cHFtWHQ5TllFeW14UEptZ2JwekZKaUx1QjZvUjlyemZYRFhyRm1pMzd30gHnAUFVX3lxTE1LM0NfLUFKNzRZTkFyeURMamZ1OTNrS056NVdDeVVFUjRZYjhvMHg3YnBudEVaSlN4N1phbUFCMDl6Ull3TGxFQlNXRkVPZFVGcWxPSlhobUF2TzBWVmx6bk5MSEh1VWQzUWQybXN2MGpkenZBTmlNaFVtUDVMNDRab2hWdG5zNy1EbGpxX3haUzNoUmh1clNzdjZ2WnpvZ2RzVXI2QkJBQktwMk4xS3V5V3RzdWNJQnlxTkJ4WWJHZDMxaHV2LVplRTFiSWItY3BzVl9lOHR2LUJFM3NVaTI2YkZCYU8zVQ?oc=5"" target=""_blank"">Birla Tyres Becomes Official Tyre Partner of DP World Asia Cup 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-09-11 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQRlM2WHhRZGRWaGt6OXdPOFZjcGE0elY4Z0YwdTlmencxSllLVjkxdGUyZ2pkWS1Hell2VGhxMnRxM2RIWE1vb29YSm5TWjVfUWQwNkxOUDBFTXR1V0JJNEZBTUpwcVR4bHRJaF9RSlJ3MllWTS1EbzhxSmVWYXFxamU1Nkhwd0Q5Wm82QXEtaS1ZUVFzNFFnVHBwa1RRa0NXdWs4S2VoeGlEUEtOcTFUS3VHdHZfXzF1cHFtWHQ5TllFeW14UEptZ2JwekZKaUx1QjZvUjlyemZYRFhyRm1pMzd30gHnAUFVX3lxTE1LM0NfLUFKNzRZTkFyeURMamZ1OTNrS056NVdDeVVFUjRZYjhvMHg3YnBudEVaSlN4N1phbUFCMDl6Ull3TGxFQlNXRkVPZFVGcWxPSlhobUF2TzBWVmx6bk5MSEh1VWQzUWQybXN2MGpkenZBTmlNaFVtUDVMNDRab2hWdG5zNy1EbGpxX3haUzNoUmh1clNzdjZ2WnpvZ2RzVXI2QkJBQktwMk4xS3V5V3RzdWNJQnlxTkJ4WWJHZDMxaHV2LVplRTFiSWItY3BzVl9lOHR2LUJFM3NVaTI2YkZCYU8zVQ?oc=5
