scrip,company,headline,summary,published_date,source,url
BLISSGVS,Bliss GVS Pharma Limited,Be Sure To Check Out Bliss GVS Pharma Limited (NSE:BLISSGVS) Before It Goes Ex-Dividend - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxObEY5VmFHVmNKUDZsRGFYU2N3b2dxeVhqbm9PeW5LaW9PT20tMkY4d3NUaTk2b05LUWx4LTRwTmdlaWNEdVZYNEIyRFlMdXlDcWozc2ZoX1JadW02Q3p3amRjV1ZJdHYweFZZUDIxOU43NFpneU5wY3N6QTkzT0dhUDBTeFJQUkIybEVVeU9lQnk1YXpTejR3RW9WSmJzbWFTVDlnbkZlLTVpcDZPckJxZXFZbDJOejd4a2xKY2J6UGlCZzBiZS0wenc2UkJPdVJfaW1hd1BJM1A1MElPQnF0YUl5WnNDMXZDSGdwVDBVZ9IB9AFBVV95cUxQUnZ5X3JTdk9VTHVOSEwwa0prcksxREY0bVVlcFBOeVJwd1VVZ3NiTXhGWF94aWRBTnNuZmZ2TmJKTG1WZHNXcHVXR2IxSXQ1SXJoS3pVQ1lJbWx6RGF2dnNOamhYSE8zMGpyd3JBMUZLMy16LTNvX0lIN0I5ZHkxdnh4TTIxbGpNNGpCa2R3TmZ0c0NRZER5azJQbzE5dzR0c0FlTk92UjZuX3BoTFJYYnJldU1uOWUzY3lYQTRkZVlGb3dZak80dGVRcGJ5QW4yOHF1SVh1emdtVEN3a3I3RGNzQnFwZzJjT29uNWk4NGRCTTFG?oc=5"" target=""_blank"">Be Sure To Check Out Bliss GVS Pharma Limited (NSE:BLISSGVS) Before It Goes Ex-Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-14 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7wFBVV95cUxObEY5VmFHVmNKUDZsRGFYU2N3b2dxeVhqbm9PeW5LaW9PT20tMkY4d3NUaTk2b05LUWx4LTRwTmdlaWNEdVZYNEIyRFlMdXlDcWozc2ZoX1JadW02Q3p3amRjV1ZJdHYweFZZUDIxOU43NFpneU5wY3N6QTkzT0dhUDBTeFJQUkIybEVVeU9lQnk1YXpTejR3RW9WSmJzbWFTVDlnbkZlLTVpcDZPckJxZXFZbDJOejd4a2xKY2J6UGlCZzBiZS0wenc2UkJPdVJfaW1hd1BJM1A1MElPQnF0YUl5WnNDMXZDSGdwVDBVZ9IB9AFBVV95cUxQUnZ5X3JTdk9VTHVOSEwwa0prcksxREY0bVVlcFBOeVJwd1VVZ3NiTXhGWF94aWRBTnNuZmZ2TmJKTG1WZHNXcHVXR2IxSXQ1SXJoS3pVQ1lJbWx6RGF2dnNOamhYSE8zMGpyd3JBMUZLMy16LTNvX0lIN0I5ZHkxdnh4TTIxbGpNNGpCa2R3TmZ0c0NRZER5azJQbzE5dzR0c0FlTk92UjZuX3BoTFJYYnJldU1uOWUzY3lYQTRkZVlGb3dZak80dGVRcGJ5QW4yOHF1SVh1emdtVEN3a3I3RGNzQnFwZzJjT29uNWk4NGRCTTFG?oc=5
BLISSGVS,Bliss GVS Pharma Limited,Calculating The Fair Value Of Bliss GVS Pharma Limited (NSE:BLISSGVS) - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxQRERSMkpWQmRTc2E1MmxvbTVrd0s4em9nLVEyaXV1UnBUQm9QOXhPSE85OThLUnA5S3FoV0hEUXhSOHEtTjllMTQ4MU5lWHIzZVJwUHZEYnZvQ042VXZIQkpES2ZKNXhzTXFKVVVXN0Q5S0IzeWtRVVFYYkhjaXR2WTlwN0V4c2VJcUlUZnlSaVBRRVpELUhIRFpHdTRzQ0V5OHlDMHhhMkdKY3FYajFqVExWREdQSGUycUFuQ2paT3BGSVBPdzZSVGJKNkxZbXZTS3M1RFFMcF9yZ2hlcnRTaEUxTnI1Nk5zSWNHN3lnd9IB9AFBVV95cUxQZmZ4c1ZLUlgtU1YtTUtHM0RKV3F2VDdCcF80WW9YazQ5cjhBeEVKaDlocXhSbnM5SEVpZmFvejB4Tl9SZDZFQjc2YTd2VTl2aHpFZ0tPVndxejlxZ2dUYmRtOVFfbGp6R2RCX3VVM0h4TTM0RGhWVDREcW0xLVYwS1lGaHZFNEhBbUxHeUFPblBKQ2VBaDI3TUtnTkJldkJvaTNBS1k1eHJPeVAwcDViQ2pvS3ZWVzZYVF9ub0lsSTcwTl9nQmZRYWlWU1psRFNtTEdPbGRtdWl1Rm53SjRxNHM4WHRQWm9OMnh4WkhlTWtwWGdW?oc=5"" target=""_blank"">Calculating The Fair Value Of Bliss GVS Pharma Limited (NSE:BLISSGVS)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-12 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQRERSMkpWQmRTc2E1MmxvbTVrd0s4em9nLVEyaXV1UnBUQm9QOXhPSE85OThLUnA5S3FoV0hEUXhSOHEtTjllMTQ4MU5lWHIzZVJwUHZEYnZvQ042VXZIQkpES2ZKNXhzTXFKVVVXN0Q5S0IzeWtRVVFYYkhjaXR2WTlwN0V4c2VJcUlUZnlSaVBRRVpELUhIRFpHdTRzQ0V5OHlDMHhhMkdKY3FYajFqVExWREdQSGUycUFuQ2paT3BGSVBPdzZSVGJKNkxZbXZTS3M1RFFMcF9yZ2hlcnRTaEUxTnI1Nk5zSWNHN3lnd9IB9AFBVV95cUxQZmZ4c1ZLUlgtU1YtTUtHM0RKV3F2VDdCcF80WW9YazQ5cjhBeEVKaDlocXhSbnM5SEVpZmFvejB4Tl9SZDZFQjc2YTd2VTl2aHpFZ0tPVndxejlxZ2dUYmRtOVFfbGp6R2RCX3VVM0h4TTM0RGhWVDREcW0xLVYwS1lGaHZFNEhBbUxHeUFPblBKQ2VBaDI3TUtnTkJldkJvaTNBS1k1eHJPeVAwcDViQ2pvS3ZWVzZYVF9ub0lsSTcwTl9nQmZRYWlWU1psRFNtTEdPbGRtdWl1Rm53SjRxNHM4WHRQWm9OMnh4WkhlTWtwWGdW?oc=5
BLISSGVS,Bliss GVS Pharma Limited,"Bliss GVS Pharma Issues 75,250 Equity Shares Under ESOP 2019 - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxQSW13RkZPZW5vVERhdWhZemNqbWR1ME92THVBVkpyelhWbDhkUG9hd0FwbzVzX01OY2dscXZlT2hkcm1idHFobTJOYWd0b1JsV3RCb2lUeXJicllxZjVNNkFfT19mYzFveFU1LVZyWVI2blZrTHRCb2U4cDRYRzdZeVF0TnRhdw?oc=5"" target=""_blank"">Bliss GVS Pharma Issues 75,250 Equity Shares Under ESOP 2019</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-06-06 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMihgFBVV95cUxQSW13RkZPZW5vVERhdWhZemNqbWR1ME92THVBVkpyelhWbDhkUG9hd0FwbzVzX01OY2dscXZlT2hkcm1idHFobTJOYWd0b1JsV3RCb2lUeXJicllxZjVNNkFfT19mYzFveFU1LVZyWVI2blZrTHRCb2U4cDRYRzdZeVF0TnRhdw?oc=5
BLISSGVS,Bliss GVS Pharma Limited,Bliss GVS Pharma Limited (NSE:BLISSGVS) Stock's Been Sliding But Fundamentals Look Decent: Will The Market Correct The Share Price In The Future? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxPS1Zaa2dTVGFQd21yZ3NNT2dZaFcyNmpWQl9NWUFydzkzTEZoOFhxM0E3SzNRSFJ6UDljVFBKdmZRZGZXUkFfUWRVWkk5RUg1aFA1TU85T25aRmRNemlzQlpIY0lLVXpxb1hXVWJhZzJJYTNWWGFtZndoR0dxX2M2SDlLcWV6LXV5WE9HenVCOWNSRWY3RVd3bC11b0h1X3U5UFlQMldRaEZKNnI1QTRTOUxmcGdfTWlBdU03S3BsVnRSN2VCNXZkekl4blc1eHJ1MWJVVkY0ZnFtazVWNTdBQkk2U3pDNlNwWWVrU1hkOA?oc=5"" target=""_blank"">Bliss GVS Pharma Limited (NSE:BLISSGVS) Stock's Been Sliding But Fundamentals Look Decent: Will The Market Correct The Share Price In The Future?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-16 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7wFBVV95cUxPS1Zaa2dTVGFQd21yZ3NNT2dZaFcyNmpWQl9NWUFydzkzTEZoOFhxM0E3SzNRSFJ6UDljVFBKdmZRZGZXUkFfUWRVWkk5RUg1aFA1TU85T25aRmRNemlzQlpIY0lLVXpxb1hXVWJhZzJJYTNWWGFtZndoR0dxX2M2SDlLcWV6LXV5WE9HenVCOWNSRWY3RVd3bC11b0h1X3U5UFlQMldRaEZKNnI1QTRTOUxmcGdfTWlBdU03S3BsVnRSN2VCNXZkekl4blc1eHJ1MWJVVkY0ZnFtazVWNTdBQkk2U3pDNlNwWWVrU1hkOA?oc=5
BLISSGVS,Bliss GVS Pharma Limited,Bliss GVS Pharma Clarifies Media Reports on Potential Anupam Rasayan Stake Acquisition - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNcE5DTHhKUkdETHpUUWlnMTJwY3pzMzVENHlsZ19IbFp5QUlKWTlZUDMwRE1pZ19VY0pmUm11ZGk2ZDdjQjlIOUdfWjNMNFRkd1hZU2lIc0hTVmFaOC1FNGd4eTJOQ1F1Y00zSjdidXg1el9rYVQ1eXRYTkVFNWt5bkJ0ZTNySHEycEhqeWdZQ1VVMVk0YWN1X29Ibi01V2l0ajJfTTNXWXZ2Q0J6dlVITnVoTDB1a2JNbHM3R1l3MHl5bGRBbUdvUFE0LUJ4T25vZU5GVGt3SQ?oc=5"" target=""_blank"">Bliss GVS Pharma Clarifies Media Reports on Potential Anupam Rasayan Stake Acquisition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-12 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNcE5DTHhKUkdETHpUUWlnMTJwY3pzMzVENHlsZ19IbFp5QUlKWTlZUDMwRE1pZ19VY0pmUm11ZGk2ZDdjQjlIOUdfWjNMNFRkd1hZU2lIc0hTVmFaOC1FNGd4eTJOQ1F1Y00zSjdidXg1el9rYVQ1eXRYTkVFNWt5bkJ0ZTNySHEycEhqeWdZQ1VVMVk0YWN1X29Ibi01V2l0ajJfTTNXWXZ2Q0J6dlVITnVoTDB1a2JNbHM3R1l3MHl5bGRBbUdvUFE0LUJ4T25vZU5GVGt3SQ?oc=5
BLISSGVS,Bliss GVS Pharma Limited,Bliss GVS Pharma's (NSE:BLISSGVS) 37% CAGR outpaced the company's earnings growth over the same three-year period - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxQR0thUDFpTlZJRURITm5lblVQa0ZHalJVdnk0TGo5U0dMdnlLdDBzZURDcktMR0ZMUGY0U1g1Sm50OVJianFBUE1GQkoxalk1Z2s1b3hUTGFrc0xyNzhKUmRiVkpuRTF3Qm9ZM3l5UTV0MThGMFhWbUhBbnI4ZVoxT1lKbjg1T0pJTEZESHVBWnA3QjNrWWduZlVRSUJ0aXZ4eFR0RDBjemNJdnBYM18teWNKRm5iX1l0Q1M4cmNVdklIck96UGRCOEItVzdNbXVkbkRQa25UUjdEaXZkck1YNHk1dGlyS2dleGtaVWN30gHzAUFVX3lxTE9QRGdmTWk3Rk9QVlVyYmRWSElaUnJmMDlUaG1ZcHljUWlOMFJET1JnaVFKN2d0RnFjc05uUTVGLXVFZlF6MzUxWXJRbUx1Z2tIdEp4aHNJSWNIWThyc0RlLUFKTFcxVjhUNXJYSDlnczhRVFZlWldkMEcxejRQMk5CemJTaE9aTkJoVzNZa2NxOVJMTFR1NVlrMG1sYjdjd2dIUEtUclVsUno3clJ6RHZzUlRSVTdyNVJoMk5uNlpZUEd6OFJlWS03UEFtMWFrX1UtZlFCZmJIeXk3X3dpeVpRMm1IaFlCSGdUQ05BcXkydVY4UQ?oc=5"" target=""_blank"">Bliss GVS Pharma's (NSE:BLISSGVS) 37% CAGR outpaced the company's earnings growth over the same three-year period</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-07 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQR0thUDFpTlZJRURITm5lblVQa0ZHalJVdnk0TGo5U0dMdnlLdDBzZURDcktMR0ZMUGY0U1g1Sm50OVJianFBUE1GQkoxalk1Z2s1b3hUTGFrc0xyNzhKUmRiVkpuRTF3Qm9ZM3l5UTV0MThGMFhWbUhBbnI4ZVoxT1lKbjg1T0pJTEZESHVBWnA3QjNrWWduZlVRSUJ0aXZ4eFR0RDBjemNJdnBYM18teWNKRm5iX1l0Q1M4cmNVdklIck96UGRCOEItVzdNbXVkbkRQa25UUjdEaXZkck1YNHk1dGlyS2dleGtaVWN30gHzAUFVX3lxTE9QRGdmTWk3Rk9QVlVyYmRWSElaUnJmMDlUaG1ZcHljUWlOMFJET1JnaVFKN2d0RnFjc05uUTVGLXVFZlF6MzUxWXJRbUx1Z2tIdEp4aHNJSWNIWThyc0RlLUFKTFcxVjhUNXJYSDlnczhRVFZlWldkMEcxejRQMk5CemJTaE9aTkJoVzNZa2NxOVJMTFR1NVlrMG1sYjdjd2dIUEtUclVsUno3clJ6RHZzUlRSVTdyNVJoMk5uNlpZUEd6OFJlWS03UEFtMWFrX1UtZlFCZmJIeXk3X3dpeVpRMm1IaFlCSGdUQ05BcXkydVY4UQ?oc=5
BLISSGVS,Bliss GVS Pharma Limited,BLISSGVS Share Price | Bliss GVS Pharma Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE12OFdueXpHcEhZdDFhSU5BaGxRalV0WDA2aFdQdGJHTU1HSEtiMVFJa0xXdmY0aUVydkh4ejFoVzBvMG9hTkNCeHJrMlE1UGJHMEV4LXZROUc2YjRfR3pja3FqcjA0VEthRGtyZzJ3WXZmbGUtZ0FSWQ?oc=5"" target=""_blank"">BLISSGVS Share Price | Bliss GVS Pharma Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-02-14 22:35:16,Markets Mojo,https://news.google.com/rss/articles/CBMieEFVX3lxTE12OFdueXpHcEhZdDFhSU5BaGxRalV0WDA2aFdQdGJHTU1HSEtiMVFJa0xXdmY0aUVydkh4ejFoVzBvMG9hTkNCeHJrMlE1UGJHMEV4LXZROUc2YjRfR3pja3FqcjA0VEthRGtyZzJ3WXZmbGUtZ0FSWQ?oc=5
BLISSGVS,Bliss GVS Pharma Limited,A Piece Of The Puzzle Missing From Bliss GVS Pharma Limited's (NSE:BLISSGVS) 29% Share Price Climb - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxNZXNhZHFGeVE4TWtoaks0UVpTSTF5SXRzV1Q0aTJtSkM5VDRDU0p0bHpiRWUxQXRlT2pXektvMVllaEx1Z29GTzY2eG04ODdLazZfS04xdmNZXzNrVXJmOUhzRTlmTWo3THByWVEzbm5RbHpWNDJReU80bEVUemhiNjBSV0gwdDh1cnVDQkVycWY0ck9iazNCSzBPbktGbHNUYVphZms5cWN3N05nM25ibGVjYUo0RzNMdWVvY3NIODJ6MFcweUlNbXRnZUFYRjIydTllUzluRkh3NTg3RmJOMXZmU2dmZXBXSmxyemZ3c9IB9AFBVV95cUxQRHNtcVBZYVBpRDY5OTJtRnN2VF9pWjNmQWs4djR5cnlNeUNlUzNjY21Na1JIZktyOU00c3VlbFpHbW00aW1uOHZxdVphWEsxWms1d05sRzhnYjl0VEZ3SzhVcVVGWi1sanVucS15Q2RKb0ZQN0tuRjgzTW8zbEFaYWRkV3I1Y29haVhQbjlBOGJ6R25GVkMzbUU0ck1jVENhbGxuNXJuTjRfdU53VWl4TV9kbTR3ZERBdW94N1RtZXZqQ1dtOE1UNWlhcV9aNXJHNWM2MmZhSUhaaWZMRFJEalpRbHVMUFdubU9QZjhZRnRTRnFz?oc=5"" target=""_blank"">A Piece Of The Puzzle Missing From Bliss GVS Pharma Limited's (NSE:BLISSGVS) 29% Share Price Climb</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-06-12 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNZXNhZHFGeVE4TWtoaks0UVpTSTF5SXRzV1Q0aTJtSkM5VDRDU0p0bHpiRWUxQXRlT2pXektvMVllaEx1Z29GTzY2eG04ODdLazZfS04xdmNZXzNrVXJmOUhzRTlmTWo3THByWVEzbm5RbHpWNDJReU80bEVUemhiNjBSV0gwdDh1cnVDQkVycWY0ck9iazNCSzBPbktGbHNUYVphZms5cWN3N05nM25ibGVjYUo0RzNMdWVvY3NIODJ6MFcweUlNbXRnZUFYRjIydTllUzluRkh3NTg3RmJOMXZmU2dmZXBXSmxyemZ3c9IB9AFBVV95cUxQRHNtcVBZYVBpRDY5OTJtRnN2VF9pWjNmQWs4djR5cnlNeUNlUzNjY21Na1JIZktyOU00c3VlbFpHbW00aW1uOHZxdVphWEsxWms1d05sRzhnYjl0VEZ3SzhVcVVGWi1sanVucS15Q2RKb0ZQN0tuRjgzTW8zbEFaYWRkV3I1Y29haVhQbjlBOGJ6R25GVkMzbUU0ck1jVENhbGxuNXJuTjRfdU53VWl4TV9kbTR3ZERBdW94N1RtZXZqQ1dtOE1UNWlhcV9aNXJHNWM2MmZhSUhaaWZMRFJEalpRbHVMUFdubU9QZjhZRnRTRnFz?oc=5
BLISSGVS,Bliss GVS Pharma Limited,Technical Analysis of Bliss GVS Pharma Limited (NSE:BLISSGVS) - TradingView,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE9Mdkw5a3lObG9FdEppS3FSVVFwTl9RbnpBMmwzNjVIMFR0YjhBVmtmaVQ1VFBzbEhhdHRxcnAyQ25rMTVPWWhDUXpuWmV2SHVmLXZSUDV1VWV6VjhSRjgtcTFwVkRrdndIUG1oZg?oc=5"" target=""_blank"">Technical Analysis of Bliss GVS Pharma Limited (NSE:BLISSGVS)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2018-03-09 17:01:23,TradingView,https://news.google.com/rss/articles/CBMibEFVX3lxTE9Mdkw5a3lObG9FdEppS3FSVVFwTl9RbnpBMmwzNjVIMFR0YjhBVmtmaVQ1VFBzbEhhdHRxcnAyQ25rMTVPWWhDUXpuWmV2SHVmLXZSUDV1VWV6VjhSRjgtcTFwVkRrdndIUG1oZg?oc=5
BLISSGVS,Bliss GVS Pharma Limited,Here's Why Shareholders Will Not Be Complaining About Bliss GVS Pharma Limited's (NSE:BLISSGVS) CEO Pay Packet - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxQTmdEQl9xRkIzbzlfRW9VM1pjVjlwaHJQUEJmQ1pSdHMya29ycDVvT2dWMVJrTnhtTG5WTjBjWWhyZjlwYXYwWnJidTEwQzhhNmlfQXRvb0kzWnhVR1NLMGt1dXV0clBkVnNIb1ZGbkplWVFFUTZaZlotek8tc0dNQzJxZ1RHUktvTlZseXU1RnQwZUpKakk2NnpBUk9WUmhhQjJ5SU9icHd4QnA0N3I3UmpwMlNtbzk3cWc2NHluc3J0VVNWeGgtcEVRVVpFSUlOV2RELWMzVFRvZml0R1UyVGpvNXdublczTGFSVXRKTdIB9AFBVV95cUxNcGNaYUdJVEh5eTBTVjR5OFl2N05MLWVxcXZsRVlLSElWeGpUWDZObUNUcHozWTJ6ZHk2MVl3WDFseE5PdWlCLTAwVWhkeDRoTFBsVEE2Vkk3SHQyeXp2NnZXVTltYVZxbW4yUDBlc1JSYVprb05PLVBQam1RQmwzRGFSdkJ3M0pHWG1SQzVQUXpadmcwMzZkU3RZcTdYU1pMaFY1SkhrUE45NUJtcS1tZVc5MndyU3ZDMHdDcTVGbExCeUhhRlhTd3dGV2diMGVFbWFEanlPLVF2N0l3TVlNZXNBVzJtNnFqcTAzVW1nRWVoX01l?oc=5"" target=""_blank"">Here's Why Shareholders Will Not Be Complaining About Bliss GVS Pharma Limited's (NSE:BLISSGVS) CEO Pay Packet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-25 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQTmdEQl9xRkIzbzlfRW9VM1pjVjlwaHJQUEJmQ1pSdHMya29ycDVvT2dWMVJrTnhtTG5WTjBjWWhyZjlwYXYwWnJidTEwQzhhNmlfQXRvb0kzWnhVR1NLMGt1dXV0clBkVnNIb1ZGbkplWVFFUTZaZlotek8tc0dNQzJxZ1RHUktvTlZseXU1RnQwZUpKakk2NnpBUk9WUmhhQjJ5SU9icHd4QnA0N3I3UmpwMlNtbzk3cWc2NHluc3J0VVNWeGgtcEVRVVpFSUlOV2RELWMzVFRvZml0R1UyVGpvNXdublczTGFSVXRKTdIB9AFBVV95cUxNcGNaYUdJVEh5eTBTVjR5OFl2N05MLWVxcXZsRVlLSElWeGpUWDZObUNUcHozWTJ6ZHk2MVl3WDFseE5PdWlCLTAwVWhkeDRoTFBsVEE2Vkk3SHQyeXp2NnZXVTltYVZxbW4yUDBlc1JSYVprb05PLVBQam1RQmwzRGFSdkJ3M0pHWG1SQzVQUXpadmcwMzZkU3RZcTdYU1pMaFY1SkhrUE45NUJtcS1tZVc5MndyU3ZDMHdDcTVGbExCeUhhRlhTd3dGV2diMGVFbWFEanlPLVF2N0l3TVlNZXNBVzJtNnFqcTAzVW1nRWVoX01l?oc=5
