scrip,company,headline,summary,published_date,source,url
BLUEDART,Blue Dart Express Limited,Blue Dart Express Limited's (NSE:BLUEDART) Stock Has Been Sliding But Fundamentals Look Strong: Is The Market Wrong? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQNnhsN0JpOW9lbm5qZTltZ3ZzNG9kd20xR1NuTkl5WUEzUlFQLXp1NUh4WWdXakhlTGE3T1M0eGR0T0ZSbGJwb1d3Q3lpMlBUUWJWbGtxNjM5Q01Uc25ZVDFBTzZEVzJ3QnM4YzdUbTNCVWg2RDNYLXl5Q2NKVE5BaG9YMy1FYjY2NGdfMXVMblU0R0ZLdXozalZoREk0VlBiU3RlYzNSdnhfUVJnSDQ2ZFYwaUxVS2ZrcXpiYlh0TWNRUk1nMGNrNHFmekNrTmJDR0JpVFJBWWRSWFZMcW94V3psSGjSAeoBQVVfeXFMT253dGV4bWZhTDI4NzdZOTJYRWI4c0dYMS1samZYN2tkMkRwV0xmczVrNXJyRFZqNU54WmFFbkk4U0puX2VmNWt6eFVQdUVNTzNkSVMwZlN2XzF6WktCcW44TUN2QnIyNnlrVHZKNm5JMkxneEVWUzZIbjdlcjBSbGM0aXFvQU9uODVLNVdiT2ttd3RINTRrU3hJdkRGSUV3RHZ2SjlmU2F1MFRpSGQ0dWp2RVUtVS1YVXRjSnlISThNeTJMRnRiUllPUDdMbTE2aGhUaWFwb3I1M19KMVRjbUh1VXp6STdFMWhn?oc=5"" target=""_blank"">Blue Dart Express Limited's (NSE:BLUEDART) Stock Has Been Sliding But Fundamentals Look Strong: Is The Market Wrong?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-10 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQNnhsN0JpOW9lbm5qZTltZ3ZzNG9kd20xR1NuTkl5WUEzUlFQLXp1NUh4WWdXakhlTGE3T1M0eGR0T0ZSbGJwb1d3Q3lpMlBUUWJWbGtxNjM5Q01Uc25ZVDFBTzZEVzJ3QnM4YzdUbTNCVWg2RDNYLXl5Q2NKVE5BaG9YMy1FYjY2NGdfMXVMblU0R0ZLdXozalZoREk0VlBiU3RlYzNSdnhfUVJnSDQ2ZFYwaUxVS2ZrcXpiYlh0TWNRUk1nMGNrNHFmekNrTmJDR0JpVFJBWWRSWFZMcW94V3psSGjSAeoBQVVfeXFMT253dGV4bWZhTDI4NzdZOTJYRWI4c0dYMS1samZYN2tkMkRwV0xmczVrNXJyRFZqNU54WmFFbkk4U0puX2VmNWt6eFVQdUVNTzNkSVMwZlN2XzF6WktCcW44TUN2QnIyNnlrVHZKNm5JMkxneEVWUzZIbjdlcjBSbGM0aXFvQU9uODVLNVdiT2ttd3RINTRrU3hJdkRGSUV3RHZ2SjlmU2F1MFRpSGQ0dWp2RVUtVS1YVXRjSnlISThNeTJMRnRiUllPUDdMbTE2aGhUaWFwb3I1M19KMVRjbUh1VXp6STdFMWhn?oc=5
BLUEDART,Blue Dart Express Limited,Blue Dart Express shares zoomed over 15% today; here is why - Business Today,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxPbWlLSTRtZWdfNG5EYjVRdlhsa09uWlhzVEsyU1o1NXlCSHVlWm8wR2k4SV9xR1g4SWNMQVBtNzJobUVKTUwtX1c3OV94eXJaOUVYT3JpYURGSTgyemg5SWdVNlRVWm9QS05GTDVjOV9CS3puZzJITEttNWtGcC1jUXFaMVREdEEzaXBKLXhjclVwd0VvRjBQVWo0U2dsMzJzTWk5R3MyZlZOellsSTNMTUlDeHRRTzlrYXA4UdIBwgFBVV95cUxNVG5wOFJseGZPZFUtTXM2em1JRW1zOWVVYmR1bFEtUFpEdkhubHA2NnRSNDZhXzI2SHhOVnlZVG5sVWdRMnFSZS1hNlgyZkluN1BxcTRPMGJhSk5VRGY3d2xyVWhVOE1CbWZUNVlzaC1xZFpyQm93Mm1EbkNMOGx1VmJEZW1ialZ5TEQ5TlRtUkFiajRVS1VzWUgzbE9NUXhpYTBRX1NPakNNZW1GMTBaRHFXZExZQ0dkVUdoYTVjTlVYZw?oc=5"" target=""_blank"">Blue Dart Express shares zoomed over 15% today; here is why</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-10-29 07:00:00,Business Today,https://news.google.com/rss/articles/CBMivAFBVV95cUxPbWlLSTRtZWdfNG5EYjVRdlhsa09uWlhzVEsyU1o1NXlCSHVlWm8wR2k4SV9xR1g4SWNMQVBtNzJobUVKTUwtX1c3OV94eXJaOUVYT3JpYURGSTgyemg5SWdVNlRVWm9QS05GTDVjOV9CS3puZzJITEttNWtGcC1jUXFaMVREdEEzaXBKLXhjclVwd0VvRjBQVWo0U2dsMzJzTWk5R3MyZlZOellsSTNMTUlDeHRRTzlrYXA4UdIBwgFBVV95cUxNVG5wOFJseGZPZFUtTXM2em1JRW1zOWVVYmR1bFEtUFpEdkhubHA2NnRSNDZhXzI2SHhOVnlZVG5sVWdRMnFSZS1hNlgyZkluN1BxcTRPMGJhSk5VRGY3d2xyVWhVOE1CbWZUNVlzaC1xZFpyQm93Mm1EbkNMOGx1VmJEZW1ialZ5TEQ5TlRtUkFiajRVS1VzWUgzbE9NUXhpYTBRX1NPakNNZW1GMTBaRHFXZExZQ0dkVUdoYTVjTlVYZw?oc=5
BLUEDART,Blue Dart Express Limited,Blue Dart Q2FY26 Profit Up 29.5%; Shares Rally 13.5% - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxOVnBKazM4U3psbm1iUkdMM1RCeGU0OWlJSzBYaVhZTG5hQWVTSnRacU1PNGhralY2ZG9iZjE4UTN0bXh0eHJCajF4RmFFMG5pVzBLZDBRdDJfdHZFUGNGYi1GZlJtOTZsRnRjOGVCX3RDUFJDWU9qZW8ybFFfU3duMw?oc=5"" target=""_blank"">Blue Dart Q2FY26 Profit Up 29.5%; Shares Rally 13.5%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-29 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMigAFBVV95cUxOVnBKazM4U3psbm1iUkdMM1RCeGU0OWlJSzBYaVhZTG5hQWVTSnRacU1PNGhralY2ZG9iZjE4UTN0bXh0eHJCajF4RmFFMG5pVzBLZDBRdDJfdHZFUGNGYi1GZlJtOTZsRnRjOGVCX3RDUFJDWU9qZW8ybFFfU3duMw?oc=5
BLUEDART,Blue Dart Express Limited,Calculating The Fair Value Of Blue Dart Express Limited (NSE:BLUEDART) - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxORVRRVGc5YXZrcGQxem5vcDA3RlBuX3h6Z3Izc3puWHhzQ1hHNzBnU2NNX1M4ZlJveXprYnN3aElaVktPQl93alh0ZVdkX1Qtckxsa2NDd0lrVGpvZ0NhSlNpU0s1ZVViLUhLdVVEZlNXay1hdUVFdkJUU3BwcDJTOUZNc0U4aTdNRTFiaDQxcTNyY2pPZXhpM3UzMGJpOXZkNEw4YWprSmtsamtKWDJCY0Q3ZGJrckdtajhyb0JDZUZEdGZGYVdVZkF5X3IwRWpZTTdfNjNEc2phVzVvOHR4TGh6Z0RnTk3SAewBQVVfeXFMTW9mbUxJa0kwZFh4dFB2clpUR1hjZl9UZFVNc3dldEFHNW54blo5bEQtdWJrLXlUaG5hSE1kOHB0X0ZWcE04S1dpZUVyRTV2SWRkTHROMHZjalFDU09mSm9OejZQcjV6VzJMWkZfOWxpUVRNaEdCaHUzLWE4QjNjN3B2M0hmUmRRN1dVdWJnNmw0cUxaakVpc2N6dzk3NWVjLXpWSkJlNEVBLXpKSTk3VDV6cmpmeHlDcTlieEZmelBYYkxmQ1FaRzNuLVljaXRwamdacmdaN2lOTkJLSEdkeko1VXVUVU5ZamdRR0U?oc=5"" target=""_blank"">Calculating The Fair Value Of Blue Dart Express Limited (NSE:BLUEDART)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-02 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxORVRRVGc5YXZrcGQxem5vcDA3RlBuX3h6Z3Izc3puWHhzQ1hHNzBnU2NNX1M4ZlJveXprYnN3aElaVktPQl93alh0ZVdkX1Qtckxsa2NDd0lrVGpvZ0NhSlNpU0s1ZVViLUhLdVVEZlNXay1hdUVFdkJUU3BwcDJTOUZNc0U4aTdNRTFiaDQxcTNyY2pPZXhpM3UzMGJpOXZkNEw4YWprSmtsamtKWDJCY0Q3ZGJrckdtajhyb0JDZUZEdGZGYVdVZkF5X3IwRWpZTTdfNjNEc2phVzVvOHR4TGh6Z0RnTk3SAewBQVVfeXFMTW9mbUxJa0kwZFh4dFB2clpUR1hjZl9UZFVNc3dldEFHNW54blo5bEQtdWJrLXlUaG5hSE1kOHB0X0ZWcE04S1dpZUVyRTV2SWRkTHROMHZjalFDU09mSm9OejZQcjV6VzJMWkZfOWxpUVRNaEdCaHUzLWE4QjNjN3B2M0hmUmRRN1dVdWJnNmw0cUxaakVpc2N6dzk3NWVjLXpWSkJlNEVBLXpKSTk3VDV6cmpmeHlDcTlieEZmelBYYkxmQ1FaRzNuLVljaXRwamdacmdaN2lOTkJLSEdkeko1VXVUVU5ZamdRR0U?oc=5
BLUEDART,Blue Dart Express Limited,Blue Dart Express Unveils 'Diwali Express' with Up to 60% Discount on Gift Shipments - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQU3piZVRfLWVGTU9oQ1dIYnRmZy1FMUZqMXlDbzktOFMxNC1ITXBSeFBHSEZMS0lHbHJiRER1TWoxTzZiNEVDSk0zaGNpOUpOR243OHItLTJUck83QmcyX0NLaV9hRkJzVHhxdkFsbU5idlNvZ014dnJVd2ZVNC1TblJxRlQxUTVuNVk1VkNXLWtDbGdmbGs1TUxSQ2hVZkdkem5rel9OcHJhdlR0OHNSZ0MtQlM1eXlEc2p0cXRGbTFnWmxCZU9BQzVpbFd5WmVF?oc=5"" target=""_blank"">Blue Dart Express Unveils 'Diwali Express' with Up to 60% Discount on Gift Shipments</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-09-23 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQU3piZVRfLWVGTU9oQ1dIYnRmZy1FMUZqMXlDbzktOFMxNC1ITXBSeFBHSEZMS0lHbHJiRER1TWoxTzZiNEVDSk0zaGNpOUpOR243OHItLTJUck83QmcyX0NLaV9hRkJzVHhxdkFsbU5idlNvZ014dnJVd2ZVNC1TblJxRlQxUTVuNVk1VkNXLWtDbGdmbGs1TUxSQ2hVZkdkem5rel9OcHJhdlR0OHNSZ0MtQlM1eXlEc2p0cXRGbTFnWmxCZU9BQzVpbFd5WmVF?oc=5
BLUEDART,Blue Dart Express Limited,"Blue Dart Q2FY26 Profit Jumps 29.5% to ₹81.4 Cr; Stock Closes at ₹6,597 - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPT3F0eURoUkx1d3dodFcxT28zVlZ5QkFYZUZPSjRxeVR3NDhNM2FZVEVuNDFCOEtjTXRUdDIyR01ROVFNTGJsRThRdzFMVTZBelVmNFFtMVRCVWpObVp3MkhiZGw3Nks4dzc3Q3Bxa3FacnJEM2kwNEZjcmJvOWpFMkVTUzZCMmFKVktPdnljcnFTRDAycl9leTlmRkNqd2YyXzZBbkJ0eW1YUFU?oc=5"" target=""_blank"">Blue Dart Q2FY26 Profit Jumps 29.5% to ₹81.4 Cr; Stock Closes at ₹6,597</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-30 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPT3F0eURoUkx1d3dodFcxT28zVlZ5QkFYZUZPSjRxeVR3NDhNM2FZVEVuNDFCOEtjTXRUdDIyR01ROVFNTGJsRThRdzFMVTZBelVmNFFtMVRCVWpObVp3MkhiZGw3Nks4dzc3Q3Bxa3FacnJEM2kwNEZjcmJvOWpFMkVTUzZCMmFKVktPdnljcnFTRDAycl9leTlmRkNqd2YyXzZBbkJ0eW1YUFU?oc=5
BLUEDART,Blue Dart Express Limited,Revenues Not Telling The Story For Blue Dart Express Limited (NSE:BLUEDART) - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQVk1OYkxSNFVRUS15MlVZdXdFQ3drbWdQamZpNE5hN1RSbEtsa3pEUVlXQ1dmemNOeWdZai03a29uYWhVYzBDa050aHJ4VnM5OV90RllCUlBGamVuNzhhQ29mQVJ0NktkeFdLU0xXRGhxck1DT1FuTjN4enJfaTQzQ3B6RVVFR0h4Ymt2Uk1EbzZYSllyRzNyUW9Kdm5GSHVZQVQ2dDA1WkFQaV8tQ1hubWgyYmZwRFNiN3UyT25NM3gwUlBhZm41VTEtN2U0MTEtN21KSWFuN3JMazI4Nld5LW9JWmzSAeoBQVVfeXFMTVphVnpUMldsQ00yQVpZbG15MFV6UjdpdFB4UzJSQldfTi1WVUZWN1FSR1BMb0VDV1BSYjN5akNkZFVMM19qcUtuRnFqdXhtMi00YWRCNGU4WmJXdmhpUHlkOGRIY1VxY2w1UFRsU2FRTk9BUTQtRVRYWThPTXU3dHFXMjJCX2twY2ZWY3hWVmJPY01SSkhxOXo4ZVh4dFFPWURoeTUzaG5wd2FLbS1tNnluUUNNN3BJa2xrM2NUdHZ2NDdSLWN5T3lfWVNucEhrX3RzNHZRUFdZVmdGVmJXUEdQdHE2UmxUVjBR?oc=5"" target=""_blank"">Revenues Not Telling The Story For Blue Dart Express Limited (NSE:BLUEDART)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-17 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQVk1OYkxSNFVRUS15MlVZdXdFQ3drbWdQamZpNE5hN1RSbEtsa3pEUVlXQ1dmemNOeWdZai03a29uYWhVYzBDa050aHJ4VnM5OV90RllCUlBGamVuNzhhQ29mQVJ0NktkeFdLU0xXRGhxck1DT1FuTjN4enJfaTQzQ3B6RVVFR0h4Ymt2Uk1EbzZYSllyRzNyUW9Kdm5GSHVZQVQ2dDA1WkFQaV8tQ1hubWgyYmZwRFNiN3UyT25NM3gwUlBhZm41VTEtN2U0MTEtN21KSWFuN3JMazI4Nld5LW9JWmzSAeoBQVVfeXFMTVphVnpUMldsQ00yQVpZbG15MFV6UjdpdFB4UzJSQldfTi1WVUZWN1FSR1BMb0VDV1BSYjN5akNkZFVMM19qcUtuRnFqdXhtMi00YWRCNGU4WmJXdmhpUHlkOGRIY1VxY2w1UFRsU2FRTk9BUTQtRVRYWThPTXU3dHFXMjJCX2twY2ZWY3hWVmJPY01SSkhxOXo4ZVh4dFFPWURoeTUzaG5wd2FLbS1tNnluUUNNN3BJa2xrM2NUdHZ2NDdSLWN5T3lfWVNucEhrX3RzNHZRUFdZVmdGVmJXUEdQdHE2UmxUVjBR?oc=5
BLUEDART,Blue Dart Express Limited,Blue Dart Express Revolutionizes Business Onboarding with 10-Minute Digital Account Opening - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxPbEx0QlJ2dUtFa3RqOXN4ZWxfYmpJVkdEbldPYUtybE1mNGp0Nko4UVEyNGRCOWtoZFUyNzNmUURXU2hObnRxUUJhREVsUTVVRW03cjNXYTRibmlpTTJKWEhRdzBVb1ZMWV9hYUk0OWUxdDI0RElTOElJMlVSRjQ3MWF3ZWswOUNVVEYwV3ZqbFk4NHV1bkJzMnpTMUtRUnM2OW9XTncwWHZILVBRS2pXdnBnbjNqQnhIS1JzWlROUGxFN0M0OTd5bHlldlhUNzZsalZpalR6LTJURHdRdnc?oc=5"" target=""_blank"">Blue Dart Express Revolutionizes Business Onboarding with 10-Minute Digital Account Opening</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-09 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPbEx0QlJ2dUtFa3RqOXN4ZWxfYmpJVkdEbldPYUtybE1mNGp0Nko4UVEyNGRCOWtoZFUyNzNmUURXU2hObnRxUUJhREVsUTVVRW03cjNXYTRibmlpTTJKWEhRdzBVb1ZMWV9hYUk0OWUxdDI0RElTOElJMlVSRjQ3MWF3ZWswOUNVVEYwV3ZqbFk4NHV1bkJzMnpTMUtRUnM2OW9XTncwWHZILVBRS2pXdnBnbjNqQnhIS1JzWlROUGxFN0M0OTd5bHlldlhUNzZsalZpalR6LTJURHdRdnc?oc=5
BLUEDART,Blue Dart Express Limited,"Blue Dart Express shares surge over 12%, emerges top gainer in NIFTY Smallcap 250 index, here is why - Upstox","<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxPMDJxX1NpS1NFeS1FdUtrUkZsUlBZRkx6eUtQZERlNGxnVEsyT2ljaldnLTFvMUpxWTJZajItQkNNTEZXZEpLX01fR0ZRdm54c2ZMV2F6dl83eEotUGRMVEJ5bWN6Y25ZLUEtZE1vTkpCaHJlODUzcXJaa0F3UnlCSHhzX3dYZnBORkQyazhCZm5ObEZGbGExdWJEUTk3Ql9NRlViSmY1aHFkY0d6eTl2eVM4WkpSYl9MaWtMSUpPUW84Q2JUdVVNR01PR19KUDdzekljWnNzNFMzR3ROZVVHM0lyMWEwU0E5dm8weA?oc=5"" target=""_blank"">Blue Dart Express shares surge over 12%, emerges top gainer in NIFTY Smallcap 250 index, here is why</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-10-28 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi7AFBVV95cUxPMDJxX1NpS1NFeS1FdUtrUkZsUlBZRkx6eUtQZERlNGxnVEsyT2ljaldnLTFvMUpxWTJZajItQkNNTEZXZEpLX01fR0ZRdm54c2ZMV2F6dl83eEotUGRMVEJ5bWN6Y25ZLUEtZE1vTkpCaHJlODUzcXJaa0F3UnlCSHhzX3dYZnBORkQyazhCZm5ObEZGbGExdWJEUTk3Ql9NRlViSmY1aHFkY0d6eTl2eVM4WkpSYl9MaWtMSUpPUW84Q2JUdVVNR01PR19KUDdzekljWnNzNFMzR3ROZVVHM0lyMWEwU0E5dm8weA?oc=5
BLUEDART,Blue Dart Express Limited,"Blue Dart Express (NSE:BLUEDART) surges 18% this week, taking five-year gains to 79% - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPWnhpbGZlTmQ4emZTTDE5cFNSX3JNdmxncHNienY4N3R3RlBnT2xXSmdHWDZMTXoyMXVtX2JsNXViUld1bU05ZDhlODI4ZklySzg5N0VNNUlBNjhDNXRmYlJYa2phNEZKWjFZbHA4MWdGTHotZ243OG9XVlF1c254V3MyQ2dBVDlEajFXTVczY1dSYUs0ZmxLa0g1eEw5NVFRTUxoTDJJakdhOEpQdXR2THpKYUpfY1dHOF85SGNJOENfYVhuWTV3c04xUWkwX291bnhDZGc2RnVPcWc4QzNuNEpBLWs?oc=5"" target=""_blank"">Blue Dart Express (NSE:BLUEDART) surges 18% this week, taking five-year gains to 79%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-10-30 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPWnhpbGZlTmQ4emZTTDE5cFNSX3JNdmxncHNienY4N3R3RlBnT2xXSmdHWDZMTXoyMXVtX2JsNXViUld1bU05ZDhlODI4ZklySzg5N0VNNUlBNjhDNXRmYlJYa2phNEZKWjFZbHA4MWdGTHotZ243OG9XVlF1c254V3MyQ2dBVDlEajFXTVczY1dSYUs0ZmxLa0g1eEw5NVFRTUxoTDJJakdhOEpQdXR2THpKYUpfY1dHOF85SGNJOENfYVhuWTV3c04xUWkwX291bnhDZGc2RnVPcWc4QzNuNEpBLWs?oc=5
