scrip,company,headline,summary,published_date,source,url
BOMDYEING,Bombay Dyeing & Mfg Company Limited,"Bombay Dyeing and Manufacturing (NSE:BOMDYEING) delivers shareholders favorable 21% CAGR over 3 years, surging 10% in the last week alone - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxNS2VaRl9nUndjb3kxUmZ2amNKQzAzSkRsX3VMdnNvdUZJb1FZeXVxdzlYN01BbWFhX3pBanAtN0QySW9BTHhweGU3X1p4ODBqdngwZHhiMUUwX1llUWpXZm9hNEdCY0otVlhyVjMzb0pCRjhvcXAya1ZWU0ZGd0FSdmV2NDFWcmdicS1XMnFqUnpUM05ITG40bG5pX1FSQVdZZ015UUo1SnBvT0JhYmRBSG1SMHM3VWJFZkwzN1Utb3prRmhjLVRRNHVvYjFsMFJ4SVVseFQzd0RNUlVkSzJic1JsY2IyWERiMi1QSmxibjZCUUZreVJxUVgzS0w?oc=5"" target=""_blank"">Bombay Dyeing and Manufacturing (NSE:BOMDYEING) delivers shareholders favorable 21% CAGR over 3 years, surging 10% in the last week alone</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-05 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi_AFBVV95cUxNS2VaRl9nUndjb3kxUmZ2amNKQzAzSkRsX3VMdnNvdUZJb1FZeXVxdzlYN01BbWFhX3pBanAtN0QySW9BTHhweGU3X1p4ODBqdngwZHhiMUUwX1llUWpXZm9hNEdCY0otVlhyVjMzb0pCRjhvcXAya1ZWU0ZGd0FSdmV2NDFWcmdicS1XMnFqUnpUM05ITG40bG5pX1FSQVdZZ015UUo1SnBvT0JhYmRBSG1SMHM3VWJFZkwzN1Utb3prRmhjLVRRNHVvYjFsMFJ4SVVseFQzd0RNUlVkSzJic1JsY2IyWERiMi1QSmxibjZCUUZreVJxUVgzS0w?oc=5
BOMDYEING,Bombay Dyeing & Mfg Company Limited,"BOMDYEING Consolidated September 2025 Net Sales at Rs 362.63 crore, down 4.73% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxNV2NPTUdZN09XMUQyMTNtTmIza0cxZzFDalhpQnVFcE14ejg3UTc1ZFhMTkNUakhmZFdaZnFzV1hQc2xUcjY2TXgzekdXcHltS2VtSkJHd0FYQTRmNGV4YmRHRHgxS1MtaFZveHAzd2xqZnFlWXB1a0ZQNlNoaWhhNnh1aVZqRXduTUhSNWh4YnNaWDNDeFhCMWdGSEFzNFg5U3NIZVhvUWxmdUxSYW5aWkRQc0hxMmozeEJRZEFybjA4dWctMmJteUlObDhWMEQ2V3UxbHU5N1N3dVBCOWdBLTZ30gHnAUFVX3lxTE9rWGg2dnpmb0FxUlRwc3pMVWRaWmVJcTNJNWxnajM3b3lST1I1ZGRrR2xVM3VuVnpYbE1Rek1sTjdfTTZCMDdIYnk1RkZ3UTB3c3FZVXBqWWN0b1paOWEwUnRQQnplLU9ianpGSG14MmR4UXR5SUF3TlAyLXBPclhOc2VOYnlodktqSnY1SHh1RmMtdkxoUW1KY1ZISXZRa0xWamN1RFNWMFc4X21tUVRvVFpvRTN1N1Z5RmVTTEltdkpwY2w1ajlteW9feGRrZ3V6MFAyZVZ3cF9lR1M5bHNmOEFvcTFKRQ?oc=5"" target=""_blank"">BOMDYEING Consolidated September 2025 Net Sales at Rs 362.63 crore, down 4.73% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-11-07 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNV2NPTUdZN09XMUQyMTNtTmIza0cxZzFDalhpQnVFcE14ejg3UTc1ZFhMTkNUakhmZFdaZnFzV1hQc2xUcjY2TXgzekdXcHltS2VtSkJHd0FYQTRmNGV4YmRHRHgxS1MtaFZveHAzd2xqZnFlWXB1a0ZQNlNoaWhhNnh1aVZqRXduTUhSNWh4YnNaWDNDeFhCMWdGSEFzNFg5U3NIZVhvUWxmdUxSYW5aWkRQc0hxMmozeEJRZEFybjA4dWctMmJteUlObDhWMEQ2V3UxbHU5N1N3dVBCOWdBLTZ30gHnAUFVX3lxTE9rWGg2dnpmb0FxUlRwc3pMVWRaWmVJcTNJNWxnajM3b3lST1I1ZGRrR2xVM3VuVnpYbE1Rek1sTjdfTTZCMDdIYnk1RkZ3UTB3c3FZVXBqWWN0b1paOWEwUnRQQnplLU9ianpGSG14MmR4UXR5SUF3TlAyLXBPclhOc2VOYnlodktqSnY1SHh1RmMtdkxoUW1KY1ZISXZRa0xWamN1RFNWMFc4X21tUVRvVFpvRTN1N1Z5RmVTTEltdkpwY2w1ajlteW9feGRrZ3V6MFAyZVZ3cF9lR1M5bHNmOEFvcTFKRQ?oc=5
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Bombay Dyeing shares zoom 16%; more upside ahead or time to book profits? - Business Today,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxPc2tQdFkxUGNUdWRSVTFGdnVVSmx1QWo1Q0F0NjNVdTlnNVdLaDRvSzdsTktrUWVFalhBNlVLV3BQLUN5V0RqdjIzTjBzNzBBdGNWcFloWDhOd2s3VEJ4dzlZdDN1OWpJTGM4MHBqZDk5cUx4VHJ1REZpendkRmhuN1cwLTcyODNiX0VHMkRDa21xVXg4aDlDUFhTWU93WlpHVWZ0dWw5c3pDVkItS0dZQkdSSGdnemo2bDl1X2ptWGJNbUxvUVZLTTVNY3haeW5IVDZDTdIB2gFBVV95cUxQRFJ2S0pwQWFURmgxZHprcVhodHBmZ0pKYURJWngybi02ME9YNU1YbFR3VG5xZUwtUDgyNndJc1JQNmx1NnZJQWFYclZ2Y2hPbmYzNEZzMWxmX0tNT2wzaGlYRzdTM2hWSmtJbVFucHVDYW1nNTZIaW80LVFFc18wLVZyOHBIbG92Wko2X0RrZGI4dTJBLTVJQVhRVTA3QS14WWhYUW9GckF5UzJxeERYLU5zdnlCaEs2TG1UV1VaOU1udHFGWXd4elJBWXl0REJvTlpSNkdlbzladw?oc=5"" target=""_blank"">Bombay Dyeing shares zoom 16%; more upside ahead or time to book profits?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-07-23 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPc2tQdFkxUGNUdWRSVTFGdnVVSmx1QWo1Q0F0NjNVdTlnNVdLaDRvSzdsTktrUWVFalhBNlVLV3BQLUN5V0RqdjIzTjBzNzBBdGNWcFloWDhOd2s3VEJ4dzlZdDN1OWpJTGM4MHBqZDk5cUx4VHJ1REZpendkRmhuN1cwLTcyODNiX0VHMkRDa21xVXg4aDlDUFhTWU93WlpHVWZ0dWw5c3pDVkItS0dZQkdSSGdnemo2bDl1X2ptWGJNbUxvUVZLTTVNY3haeW5IVDZDTdIB2gFBVV95cUxQRFJ2S0pwQWFURmgxZHprcVhodHBmZ0pKYURJWngybi02ME9YNU1YbFR3VG5xZUwtUDgyNndJc1JQNmx1NnZJQWFYclZ2Y2hPbmYzNEZzMWxmX0tNT2wzaGlYRzdTM2hWSmtJbVFucHVDYW1nNTZIaW80LVFFc18wLVZyOHBIbG92Wko2X0RrZGI4dTJBLTVJQVhRVTA3QS14WWhYUW9GckF5UzJxeERYLU5zdnlCaEs2TG1UV1VaOU1udHFGWXd4elJBWXl0REJvTlpSNkdlbzladw?oc=5
BOMDYEING,Bombay Dyeing & Mfg Company Limited,"The Bombay Dyeing and Manufacturing Company Limited Announces Resignation of Khiroda Jena as Chief Risk Officer and Key Managerial Personnel, Effective February 13, 2026 - marketscreener.com","<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxORnZBbUhqRk9oWGtQR0ZsMXNwUXhReVg3MWNRQkNnTl9oYTd3NHpyX3E3SWJpSzhaUWVwWUJmdkRVdkZGUlBmZkZjZzV1bmc4dHVBb1BmSXN5amJnRC1wRWE0VkwwX2NfT01sR2IwTGJEWG0wcFYyeDlyaVQ2TEdBNEtTbVBrUXo1T1FzRHMyZW85b2s0TmtIRjJBdnJmQW5DME0tMTh5dy1wRXhyLUVoclE2TzNvX2NIX29iRGtCRURGOFMyQ1dNWHdmOGo2Zk9hY3R5UjZneUI2TmYzQWpuMUxFN3Z6LWxp?oc=5"" target=""_blank"">The Bombay Dyeing and Manufacturing Company Limited Announces Resignation of Khiroda Jena as Chief Risk Officer and Key Managerial Personnel, Effective February 13, 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketscreener.com</font>",2026-02-11 08:00:00,marketscreener.com,https://news.google.com/rss/articles/CBMi6AFBVV95cUxORnZBbUhqRk9oWGtQR0ZsMXNwUXhReVg3MWNRQkNnTl9oYTd3NHpyX3E3SWJpSzhaUWVwWUJmdkRVdkZGUlBmZkZjZzV1bmc4dHVBb1BmSXN5amJnRC1wRWE0VkwwX2NfT01sR2IwTGJEWG0wcFYyeDlyaVQ2TEdBNEtTbVBrUXo1T1FzRHMyZW85b2s0TmtIRjJBdnJmQW5DME0tMTh5dy1wRXhyLUVoclE2TzNvX2NIX29iRGtCRURGOFMyQ1dNWHdmOGo2Zk9hY3R5UjZneUI2TmYzQWpuMUxFN3Z6LWxp?oc=5
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Subdued Growth No Barrier To The Bombay Dyeing and Manufacturing Company Limited (NSE:BOMDYEING) With Shares Advancing 28% - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxQcVFnUnAzUEdyUkxSb2J6ZzBtZTNUaVBpM09yMUhMbmt5eWhuOTJnaVFtcUsxWFpmTXZLR1dLTXRKaElvR1B5TmM1STd3bnR5Y0ItUDRiWDhrX0ZRUGV2NkxNUEJUTjZnYjVFOXV2QUhPV1c0dVkyamdwVk52eEwwTTNtdHBfQ0Rad3dOeDFhZ0FxaU1td2VYY0pHTzh0YzVQR1g2Zi1SdTQ5TUQ2amhnS1FmRXN3NHV4VW1aTWJidWNJcWRLRDUxNmJWb0I2enUzcGxOc3R6TjlVdG84V2FjbW03X1NNUm1NdTZQa0g2UEowVGZGX0FCWkFNVzg?oc=5"" target=""_blank"">Subdued Growth No Barrier To The Bombay Dyeing and Manufacturing Company Limited (NSE:BOMDYEING) With Shares Advancing 28%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-24 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi_AFBVV95cUxQcVFnUnAzUEdyUkxSb2J6ZzBtZTNUaVBpM09yMUhMbmt5eWhuOTJnaVFtcUsxWFpmTXZLR1dLTXRKaElvR1B5TmM1STd3bnR5Y0ItUDRiWDhrX0ZRUGV2NkxNUEJUTjZnYjVFOXV2QUhPV1c0dVkyamdwVk52eEwwTTNtdHBfQ0Rad3dOeDFhZ0FxaU1td2VYY0pHTzh0YzVQR1g2Zi1SdTQ5TUQ2amhnS1FmRXN3NHV4VW1aTWJidWNJcWRLRDUxNmJWb0I2enUzcGxOc3R6TjlVdG84V2FjbW03X1NNUm1NdTZQa0g2UEowVGZGX0FCWkFNVzg?oc=5
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Bombay Dyeing and Manufacturing (NSE:BOMDYEING) Will Pay A Dividend Of ₹1.20 - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxQQnVOb1Y0dV9FY0VCekNicVh1ZHNtd1NjLVBUSWFJRjQ2eE51c2E0c0xqblA2b3BQaWotbFQ4WUZEbmJjdU1aejVnTUszLWU1bHpzTHI5OHhveDVGUzNpaDkzVGhjdDR4b0J1Z1REODlMZC1ZQy1kMm1MSnlSVDliXzNoMU9GY0dKRldrYTd5VkwtMUVaWnVaSUVFZmpGc3hibUduT1VBZG5kajM5OGhwQVRLcWNsWnV3bnBQTUdqOHpWeWV3bV9GMEk2UENCX2M3bDNVa093OXVpNFN0bjkxOFRlRXh2bFZXeS1ibG1MNVJfYzFoMnlablgtNjPSAYICQVVfeXFMTi1sa3RtUzgyQjhqenJha1hJU1pGRTNnMzdKbENTWGk4MVVidXlGWUhNS3hSc3lTQ2RzUm5aM2tibEhRbHZ4NHk0OVY0R3FRdTV3dGVHWmRQUDdyVGJpNW5fWW5ralVDcnZCRkxtc3ZsQkJJT0tHUGhPaURHcGMzUnNjMkRUMVN5M1E3WTFkd2lHNERXS0RaWkdiZ2dqX1J6VTlRaTc0UTB3eEVKcGhKMkwxeml0T2lwLU1zNjBfOTU4WXpsYUt6OWhwUngwc1BncS1aOC1ENks5TDdEenE1OVdzb3ZGM3ZlbXotNFJVcFBjVGNzNFN2dGxtQjUyWDJBRnN3?oc=5"" target=""_blank"">Bombay Dyeing and Manufacturing (NSE:BOMDYEING) Will Pay A Dividend Of ₹1.20</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-30 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi_AFBVV95cUxQQnVOb1Y0dV9FY0VCekNicVh1ZHNtd1NjLVBUSWFJRjQ2eE51c2E0c0xqblA2b3BQaWotbFQ4WUZEbmJjdU1aejVnTUszLWU1bHpzTHI5OHhveDVGUzNpaDkzVGhjdDR4b0J1Z1REODlMZC1ZQy1kMm1MSnlSVDliXzNoMU9GY0dKRldrYTd5VkwtMUVaWnVaSUVFZmpGc3hibUduT1VBZG5kajM5OGhwQVRLcWNsWnV3bnBQTUdqOHpWeWV3bV9GMEk2UENCX2M3bDNVa093OXVpNFN0bjkxOFRlRXh2bFZXeS1ibG1MNVJfYzFoMnlablgtNjPSAYICQVVfeXFMTi1sa3RtUzgyQjhqenJha1hJU1pGRTNnMzdKbENTWGk4MVVidXlGWUhNS3hSc3lTQ2RzUm5aM2tibEhRbHZ4NHk0OVY0R3FRdTV3dGVHWmRQUDdyVGJpNW5fWW5ralVDcnZCRkxtc3ZsQkJJT0tHUGhPaURHcGMzUnNjMkRUMVN5M1E3WTFkd2lHNERXS0RaWkdiZ2dqX1J6VTlRaTc0UTB3eEVKcGhKMkwxeml0T2lwLU1zNjBfOTU4WXpsYUt6OWhwUngwc1BncS1aOC1ENks5TDdEenE1OVdzb3ZGM3ZlbXotNFJVcFBjVGNzNFN2dGxtQjUyWDJBRnN3?oc=5
BOMDYEING,Bombay Dyeing & Mfg Company Limited,"BOMDYEING Standalone June 2025 Net Sales at Rs 377.84 crore, down 16.22% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNLVBWcGN2a0FCaEVJTnYzcDNXcHl6SlN3NVRKaDltTVZOU1dzWGpQN19tdkZpUGJBTWxQNXMxZWJiaHZhMVg4MElNQVBpSVJQWk1mVTZaSDBxZkJwdE1WNGhfLTZWdmRmQ3hZSWdiVU1fQmduNlJtZG9IdHBjX0hnbF9CaVVUNzFwMFdXQTBneUJQR3YwQVFheURTVWhZNjhpaDFaaW1jVEhCaVpBUlYtTDFyS1NZcVRxZGdNaHZpZDZ3ckp6dkhPWG5DTXprbTd0RFpRQjF5dmdBQdIB3wFBVV95cUxOVjZsQ1ktRHh5SGFpOTBhQ2dBNC1HQzhxX3EtQkwydW5qVFU2SHRCOVF4M0ZHa1pFcHlVQlp6MzVOOE16M0p6WFYzdXd4MVlyR0luSlJxSTVTR3BWOHNITzRhNDJ1VmhGUFdjNDRodlg3cF9kTnZrR2xKMUtyX2dDei02cG9pUmsyQ1lqSVRicndQTFJFM0FkZDFIeUExc3J1LVRyQ3I0akk4emMybTRoYVZGS1c1UG5kLTJ0TzFnZ2RRc1g5WGFjazlDY1dEZW85VU04N3c0eVBVU1JYcXZV?oc=5"" target=""_blank"">BOMDYEING Standalone June 2025 Net Sales at Rs 377.84 crore, down 16.22% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-08-28 07:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNLVBWcGN2a0FCaEVJTnYzcDNXcHl6SlN3NVRKaDltTVZOU1dzWGpQN19tdkZpUGJBTWxQNXMxZWJiaHZhMVg4MElNQVBpSVJQWk1mVTZaSDBxZkJwdE1WNGhfLTZWdmRmQ3hZSWdiVU1fQmduNlJtZG9IdHBjX0hnbF9CaVVUNzFwMFdXQTBneUJQR3YwQVFheURTVWhZNjhpaDFaaW1jVEhCaVpBUlYtTDFyS1NZcVRxZGdNaHZpZDZ3ckp6dkhPWG5DTXprbTd0RFpRQjF5dmdBQdIB3wFBVV95cUxOVjZsQ1ktRHh5SGFpOTBhQ2dBNC1HQzhxX3EtQkwydW5qVFU2SHRCOVF4M0ZHa1pFcHlVQlp6MzVOOE16M0p6WFYzdXd4MVlyR0luSlJxSTVTR3BWOHNITzRhNDJ1VmhGUFdjNDRodlg3cF9kTnZrR2xKMUtyX2dDei02cG9pUmsyQ1lqSVRicndQTFJFM0FkZDFIeUExc3J1LVRyQ3I0akk4emMybTRoYVZGS1c1UG5kLTJ0TzFnZ2RRc1g5WGFjazlDY1dEZW85VU04N3c0eVBVU1JYcXZV?oc=5
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Bombay Dyeing share price surges 6% after Q3 results; more details here - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPZjZVc0ZkMThYcEpZRW0zVGJLTVBWbk90dDl6bURwWnMwNUZ1ZE9KYVFVWjdtX1ZibmprcXo1ZTlOQzBtbWh3b2UxSDA1LXNZNDQ1VXVOaUhHUV9aN05xeVRjZXZWaDZ3cXA0ejR2N09jZzZjbWVlNExrclVuOW1KQlFoaUdNaUtUUUE3amJ5a18zTGpPWEhMMHBkMFJDbHhiMHp3VF9HczFMeXdFUjRoZFQ5LWtVc1BKcUNsb2twVWlJRklwLXpzQ0t5N0xjUlFIVVHSAdcBQVVfeXFMT0RZeWxOemtsZERBRWhRYnl2ajByLXFhYndLWkhKQjFZczNxZzdWLVVTVTZKd1I4XzlVODg3TEk2TEE0bk1vZlFtN3FSaVIwU0hUUGFmdUI1S3doTndwT1UtRS0taXo3aW1OTE8zX1k5UmNYNG9DQm9zaDNRUklLb0cwM0s0R25DVDctMmNWZEwzdC05R1J4LVhkeExLbURCYVo5am92TkFCMzV6aGk3c3pxZnhuUm5KZlJHSEtscXJBMExuUHliSERicE8xeFdab1pOVmNJRHc?oc=5"" target=""_blank"">Bombay Dyeing share price surges 6% after Q3 results; more details here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-02-04 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPZjZVc0ZkMThYcEpZRW0zVGJLTVBWbk90dDl6bURwWnMwNUZ1ZE9KYVFVWjdtX1ZibmprcXo1ZTlOQzBtbWh3b2UxSDA1LXNZNDQ1VXVOaUhHUV9aN05xeVRjZXZWaDZ3cXA0ejR2N09jZzZjbWVlNExrclVuOW1KQlFoaUdNaUtUUUE3amJ5a18zTGpPWEhMMHBkMFJDbHhiMHp3VF9HczFMeXdFUjRoZFQ5LWtVc1BKcUNsb2twVWlJRklwLXpzQ0t5N0xjUlFIVVHSAdcBQVVfeXFMT0RZeWxOemtsZERBRWhRYnl2ajByLXFhYndLWkhKQjFZczNxZzdWLVVTVTZKd1I4XzlVODg3TEk2TEE0bk1vZlFtN3FSaVIwU0hUUGFmdUI1S3doTndwT1UtRS0taXo3aW1OTE8zX1k5UmNYNG9DQm9zaDNRUklLb0cwM0s0R25DVDctMmNWZEwzdC05R1J4LVhkeExLbURCYVo5am92TkFCMzV6aGk3c3pxZnhuUm5KZlJHSEtscXJBMExuUHliSERicE8xeFdab1pOVmNJRHc?oc=5
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Why Bombay Dyeing Share Price is Falling - Equitymaster,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxPLVpqZ0xHX0xMc2lJX1FKUTNadkpsaEF4cnUwNmVkazZZZGNmYmN0TEJyRnpRZWllMWw1bHA1aVRyV2pEeVZLUThuaktVNWVnYnhaTUdXcHVTQ0N2N1MwLTczak1lLXVlb0MyUi1lRnI3cUlOWk5mX1Zoc000bmM3UDlhU041Z0VGZnM3bC1ZSDBqWFBNVGdreloxcnVHVHhER2VxZ1FfNzl0eEZCOThV?oc=5"" target=""_blank"">Why Bombay Dyeing Share Price is Falling</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitymaster</font>",2025-05-07 07:00:00,Equitymaster,https://news.google.com/rss/articles/CBMirwFBVV95cUxPLVpqZ0xHX0xMc2lJX1FKUTNadkpsaEF4cnUwNmVkazZZZGNmYmN0TEJyRnpRZWllMWw1bHA1aVRyV2pEeVZLUThuaktVNWVnYnhaTUdXcHVTQ0N2N1MwLTczak1lLXVlb0MyUi1lRnI3cUlOWk5mX1Zoc000bmM3UDlhU041Z0VGZnM3bC1ZSDBqWFBNVGdreloxcnVHVHhER2VxZ1FfNzl0eEZCOThV?oc=5
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Bombay Dyeing and Manufacturing's (NSE:BOMDYEING) Shareholders Have More To Worry About Than Lackluster Earnings - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxOeWtKX292MTBsSHRRQ050aEgtUDd5TlhmamJ3Y1YtQlUtem8wX2Z4TzZMQ1RlY3JXZU51emNjRHRfV040bDBDVmJLNHRQeWM1aGZsakpxQlFxWDRXZnpuc1AzOGJDanliS3pPTVpmNXFGcHVWNm5oYVJ3NENfbS1nTEFiRGZZTWl3NHVsMzJZZGJNVm9WbDhlTzdhbkQtUm5TNWp3ejFSeFJ0eUZEQzJrQWhzUWpzMi1nV0tHMkc1c01QT2RJSDRxWHhXb2FnQndWeE9mNEc3eUtGX1JNN213c2pDWHlrOHp1dU9wTG1tZ1dxX2JyeFBaVWF0bVLSAYICQVVfeXFMUEZ0blhXMXJYV2JScTVNaE1hdFV2dTU5Y281OW9rZjdnakRSN0FndmVQcGxBanBUYURKdVhSNUp6bkxyVnlsY0tQU1lTaDE4dTY1ZmpyanZSekNHOXhHakJ1a3Q1aVhhaVR0MGE4dHJpRmFBYTVUQ240RHE1QllKeFAtV2NLc2ppS0Q0OU4xOUdkYmVwVzFXR01vdm5VX0dPZjQtMkVpeG83ci1LMkdCMGY5cG0taURtMndYUjVrY29GQTJHTWJmQVN3Q25vUFlmZ2k4UXg1ekdRcHFiVkIwZkdhUW1OOVp4dXFBTEVPMDkxTWd3SmlRZkR5VEdxZDNxVE1n?oc=5"" target=""_blank"">Bombay Dyeing and Manufacturing's (NSE:BOMDYEING) Shareholders Have More To Worry About Than Lackluster Earnings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-27 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi_AFBVV95cUxOeWtKX292MTBsSHRRQ050aEgtUDd5TlhmamJ3Y1YtQlUtem8wX2Z4TzZMQ1RlY3JXZU51emNjRHRfV040bDBDVmJLNHRQeWM1aGZsakpxQlFxWDRXZnpuc1AzOGJDanliS3pPTVpmNXFGcHVWNm5oYVJ3NENfbS1nTEFiRGZZTWl3NHVsMzJZZGJNVm9WbDhlTzdhbkQtUm5TNWp3ejFSeFJ0eUZEQzJrQWhzUWpzMi1nV0tHMkc1c01QT2RJSDRxWHhXb2FnQndWeE9mNEc3eUtGX1JNN213c2pDWHlrOHp1dU9wTG1tZ1dxX2JyeFBaVWF0bVLSAYICQVVfeXFMUEZ0blhXMXJYV2JScTVNaE1hdFV2dTU5Y281OW9rZjdnakRSN0FndmVQcGxBanBUYURKdVhSNUp6bkxyVnlsY0tQU1lTaDE4dTY1ZmpyanZSekNHOXhHakJ1a3Q1aVhhaVR0MGE4dHJpRmFBYTVUQ240RHE1QllKeFAtV2NLc2ppS0Q0OU4xOUdkYmVwVzFXR01vdm5VX0dPZjQtMkVpeG83ci1LMkdCMGY5cG0taURtMndYUjVrY29GQTJHTWJmQVN3Q25vUFlmZ2k4UXg1ekdRcHFiVkIwZkdhUW1OOVp4dXFBTEVPMDkxTWd3SmlRZkR5VEdxZDNxVE1n?oc=5
