scrip,company,headline,summary,published_date,source,url
BPL,BPL Limited,BPL Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxQVTcyZ1F4UUxZZ0R3aC11WFFNd3FRSENwbUsxN1ZKdXp5UlJvejJWcGYwcS1YbEV5WmZLOWw3NGJQb0hBd2NoS3RxczFTZ0F3SWUxd3piRGQxZkxqWWRCM3ZBaGg1Y0s3NFFvanZwU00tVGQyWjFWVW56MmQzR0M4elpyaDZxTUIxZ05tYzRHd2FVUDJY?oc=5"" target=""_blank"">BPL Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-03 11:08:18,Markets Mojo,https://news.google.com/rss/articles/CBMilAFBVV95cUxQVTcyZ1F4UUxZZ0R3aC11WFFNd3FRSENwbUsxN1ZKdXp5UlJvejJWcGYwcS1YbEV5WmZLOWw3NGJQb0hBd2NoS3RxczFTZ0F3SWUxd3piRGQxZkxqWWRCM3ZBaGg1Y0s3NFFvanZwU00tVGQyWjFWVW56MmQzR0M4elpyaDZxTUIxZ05tYzRHd2FVUDJY?oc=5
BPL,BPL Limited,Increases to BPL Limited's (NSE:BPL) CEO Compensation Might Cool off for now - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQTnFIOVZpSmpNbWFWTUpGOEFtQTJmMVhKSUNTV3hQcnhQLUx5ZVBNUlZOZ1FpMXNvVFA0WFJTNWFSNDdHVWF6VTRMU3Zaa2FLbERIWHZtb1haZHc3MG14QVBoTGpGMlpvMm9rMVRUbjJFTU5sdkw2STVOSF9hVVdpU0s4UklrbUtGOGk1Z1NaSFpXUU1vUXVtcUt6STUzeEV5RjFSS2hXTkZyRW8xWFlNUDVqdWZ1YkV6MmhCNkRudVFCSUNWaFUzT01DdXhOWGM?oc=5"" target=""_blank"">Increases to BPL Limited's (NSE:BPL) CEO Compensation Might Cool off for now</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-24 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMizwFBVV95cUxQTnFIOVZpSmpNbWFWTUpGOEFtQTJmMVhKSUNTV3hQcnhQLUx5ZVBNUlZOZ1FpMXNvVFA0WFJTNWFSNDdHVWF6VTRMU3Zaa2FLbERIWHZtb1haZHc3MG14QVBoTGpGMlpvMm9rMVRUbjJFTU5sdkw2STVOSF9hVVdpU0s4UklrbUtGOGk1Z1NaSFpXUU1vUXVtcUt6STUzeEV5RjFSS2hXTkZyRW8xWFlNUDVqdWZ1YkV6MmhCNkRudVFCSUNWaFUzT01DdXhOWGM?oc=5
BPL,BPL Limited,BPL Ltd leads losers in 'B' group - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxOcEVZajNxX3IzSGNmYXRMaWZxNWd5V1htaVhJVUxSNWlfZktacXFQTS1NYVN5eEVyTnRlcFMya3c5N3NxZE9pamdFNENtdVdCeWhoaWlDdnVNYUp1SU5HeVpQZXkzb2xTdHJsT0JCMnpubzNzS0RpN2xGRWd0MHlTNmJGdlZSNmR4c1J6WkFkTzhkZFdrRTZ1YWhCdVRSR1VScngyVE5mTzFZY2FLR1Q4NkxDY9IBuAFBVV95cUxQVm5oMnM1SF9TZGhoOHFZRlFXWHl3bmdUc1MtTXY0aHNIdmUxMjloeGZsYUhkbjQxSDlsR3dHNkRSN2RjS1FOaHh1TFNHSGFySEtiYU94eGlEdzNCTGFNTGNLZktadFNST1AxZm0yMXlWNkI3Y0U2WkVvWjdELUM5NmdLVTl6di1YbmZBaDRrOURXVzVKNE9SZzVJRXhJSU9iRF9mQnNMOTBQNHh6alVxLWlZWmlNdHpi?oc=5"" target=""_blank"">BPL Ltd leads losers in 'B' group</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-12-08 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMiswFBVV95cUxOcEVZajNxX3IzSGNmYXRMaWZxNWd5V1htaVhJVUxSNWlfZktacXFQTS1NYVN5eEVyTnRlcFMya3c5N3NxZE9pamdFNENtdVdCeWhoaWlDdnVNYUp1SU5HeVpQZXkzb2xTdHJsT0JCMnpubzNzS0RpN2xGRWd0MHlTNmJGdlZSNmR4c1J6WkFkTzhkZFdrRTZ1YWhCdVRSR1VScngyVE5mTzFZY2FLR1Q4NkxDY9IBuAFBVV95cUxQVm5oMnM1SF9TZGhoOHFZRlFXWHl3bmdUc1MtTXY0aHNIdmUxMjloeGZsYUhkbjQxSDlsR3dHNkRSN2RjS1FOaHh1TFNHSGFySEtiYU94eGlEdzNCTGFNTGNLZktadFNST1AxZm0yMXlWNkI3Y0U2WkVvWjdELUM5NmdLVTl6di1YbmZBaDRrOURXVzVKNE9SZzVJRXhJSU9iRF9mQnNMOTBQNHh6alVxLWlZWmlNdHpi?oc=5
BPL,BPL Limited,BPL Historical Data - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTE5uRmZXT3VtMUU5NmZ6MXB3SHF3eHdnUTlVLVJESTJYeTNxdGNGZmNENktLMVlfQ19WcklENlk0by1YZFI4bDVUZ0dSUW1zYVpjd2pkUGJkWnpIcExn?oc=5"" target=""_blank"">BPL Historical Data</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2025-12-22 23:23:01,Equitypandit,https://news.google.com/rss/articles/CBMiXEFVX3lxTE5uRmZXT3VtMUU5NmZ6MXB3SHF3eHdnUTlVLVJESTJYeTNxdGNGZmNENktLMVlfQ19WcklENlk0by1YZFI4bDVUZ0dSUW1zYVpjd2pkUGJkWnpIcExn?oc=5
BPL,BPL Limited,BPL Limited Faces Cash Flow Challenges Following Supreme Court Order - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQdXBNUGlnX3laX2tvMk5GdEtaQjUzcHIzUmNfUmVfOUxqVUIyYzdzOVpTMk4xYmR0Q0wtb2h5WmhUUGpoWFhsUTY5VHFTQlFqSFRzZDRXSjBZOVdUTldsa0NCMjhQb3diTWRsdHcwaWpsRVZNX2ZlY2hjTlBCRFBsaWtzUnZobW14Y0MydlFuSUFnSTU1NDdCNEM5Mkp1bTBGaU9HWlV1N1k5ampOOFhlY3JzeTY1RHVLeU5ubER3MA?oc=5"" target=""_blank"">BPL Limited Faces Cash Flow Challenges Following Supreme Court Order</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-12-05 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMivwFBVV95cUxQdXBNUGlnX3laX2tvMk5GdEtaQjUzcHIzUmNfUmVfOUxqVUIyYzdzOVpTMk4xYmR0Q0wtb2h5WmhUUGpoWFhsUTY5VHFTQlFqSFRzZDRXSjBZOVdUTldsa0NCMjhQb3diTWRsdHcwaWpsRVZNX2ZlY2hjTlBCRFBsaWtzUnZobW14Y0MydlFuSUFnSTU1NDdCNEM5Mkp1bTBGaU9HWlV1N1k5ampOOFhlY3JzeTY1RHVLeU5ubER3MA?oc=5
BPL,BPL Limited,BPL Ltd Downgraded to Strong Sell Amid Deteriorating Quality and Financial Trends - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxQQ3AtM01GRE9Pa0k5enlhbGFRRDdhUlRZMU04UXg3OUhlZ3RzaDhtbjBVWDN1a2RfS21yQ0FOWnhmS1FfM3RHYXVoLUdmdE1qMUU2V252QWpuNzN1VFZETHZ5ZThtbTZXNzgxcm5HUHlXRG1YNkRIaDJnMjNvZ2RBUlJGakFMbjhKXzlqbjV0SGt0V0hJYTVFLTNvd0dmMG5zUGhhcV93cXJKQi1jN0M1WnpCeWRpajlWUHFpWXFyVmVRZTdoWmJZVmNIVE1BQWRtR0lVeEF4ajl4Z1U?oc=5"" target=""_blank"">BPL Ltd Downgraded to Strong Sell Amid Deteriorating Quality and Financial Trends</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-17 04:02:38,Markets Mojo,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQQ3AtM01GRE9Pa0k5enlhbGFRRDdhUlRZMU04UXg3OUhlZ3RzaDhtbjBVWDN1a2RfS21yQ0FOWnhmS1FfM3RHYXVoLUdmdE1qMUU2V252QWpuNzN1VFZETHZ5ZThtbTZXNzgxcm5HUHlXRG1YNkRIaDJnMjNvZ2RBUlJGakFMbjhKXzlqbjV0SGt0V0hJYTVFLTNvd0dmMG5zUGhhcV93cXJKQi1jN0M1WnpCeWRpajlWUHFpWXFyVmVRZTdoWmJZVmNIVE1BQWRtR0lVeEF4ajl4Z1U?oc=5
BPL,BPL Limited,"BPL (NSE:BPL) delivers shareholders fantastic 43% CAGR over 5 years, surging 27% in the last week alone - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxON05oX0dXM1hmT1RaRmNfUC1sa2w3SVlHaW5jTXM0cUxiNHg3T3Fvd1hiaFBxLURQVFNRVEx3MjVSejBLN0x4Ymt2d211bTNFMEQwQ3lUeXFXQ3Y1NmowZ3FQVU1XTDdyX29ZWncycTlGS1lvNXFuZnVuSEVncHNuaW9lLUZhY2tzaFZMY2dnNTdUTHBuWTZLY284eXNtTzJvMVlNUXBoa05EVm1tc3JzdDM4Nmg2bVNheGRod2hOcVZjbDZ5RnpHRmNyY3lQSknSAdQBQVVfeXFMTmd1c1ZpamhIOG1mU212eWpoc041THhaaGgwVk5fYmhpaWozNHpFWTZxRzZoZnFjU0hvR1pMd3B0TUFKeUMtSkc2NXlPTnU2NVd5WnEyUEl1RXlRaGRPdWxSZDZvYlZCbHl0a3BjbmNKVDFLUjhpUl9Bam9aRWVlYzR0WkUtbTFrX1NMMGd1cHhEZDRvdlMyTWVOV0NHR0VzTXYwaENBZmZQYndRbGRqVEptX3NGb1MyZWZFbkxvMGl2b3RjYjdyQ2R1SWltckpLd2diMWg?oc=5"" target=""_blank"">BPL (NSE:BPL) delivers shareholders fantastic 43% CAGR over 5 years, surging 27% in the last week alone</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-17 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMizwFBVV95cUxON05oX0dXM1hmT1RaRmNfUC1sa2w3SVlHaW5jTXM0cUxiNHg3T3Fvd1hiaFBxLURQVFNRVEx3MjVSejBLN0x4Ymt2d211bTNFMEQwQ3lUeXFXQ3Y1NmowZ3FQVU1XTDdyX29ZWncycTlGS1lvNXFuZnVuSEVncHNuaW9lLUZhY2tzaFZMY2dnNTdUTHBuWTZLY284eXNtTzJvMVlNUXBoa05EVm1tc3JzdDM4Nmg2bVNheGRod2hOcVZjbDZ5RnpHRmNyY3lQSknSAdQBQVVfeXFMTmd1c1ZpamhIOG1mU212eWpoc041THhaaGgwVk5fYmhpaWozNHpFWTZxRzZoZnFjU0hvR1pMd3B0TUFKeUMtSkc2NXlPTnU2NVd5WnEyUEl1RXlRaGRPdWxSZDZvYlZCbHl0a3BjbmNKVDFLUjhpUl9Bam9aRWVlYzR0WkUtbTFrX1NMMGd1cHhEZDRvdlMyTWVOV0NHR0VzTXYwaENBZmZQYndRbGRqVEptX3NGb1MyZWZFbkxvMGl2b3RjYjdyQ2R1SWltckpLd2diMWg?oc=5
BPL,BPL Limited,BPL Limited Seeks Shareholder Approval for Rs 116 Crore Related Party Transactions - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxOUEs1SmxyN0hGcUFfdnluSzducXdQbjN3eEhnc2JXNDJ4WG93TW85dTkwWnVIVWRWaUJoekVZSk1ZMHc2M19uQTNlaWJXSTVzeDMySE8zZWxLUmdPbThtS0JGVzJYejZ5ZzlmeHY1WVE3MGlxUDZhSC1zOXVoVFVEc3NKb1hKVTU4dk5UNUtNb28xTzFoX3Bmd01Ma0RUNlRYX2JxZHFlSDFIQTFRSkVQZlVFNm54TE5EM0Z0cGprV3l4VmgzVC1OMkVub0laaUdVUlE?oc=5"" target=""_blank"">BPL Limited Seeks Shareholder Approval for Rs 116 Crore Related Party Transactions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-16 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOUEs1SmxyN0hGcUFfdnluSzducXdQbjN3eEhnc2JXNDJ4WG93TW85dTkwWnVIVWRWaUJoekVZSk1ZMHc2M19uQTNlaWJXSTVzeDMySE8zZWxLUmdPbThtS0JGVzJYejZ5ZzlmeHY1WVE3MGlxUDZhSC1zOXVoVFVEc3NKb1hKVTU4dk5UNUtNb28xTzFoX3Bmd01Ma0RUNlRYX2JxZHFlSDFIQTFRSkVQZlVFNm54TE5EM0Z0cGprV3l4VmgzVC1OMkVub0laaUdVUlE?oc=5
BPL,BPL Limited,Micromax founder Rahul Sharma’s BPL eyes electronics component venture by year-end - Mint,"<a href=""https://news.google.com/rss/articles/CBMi_gFBVV95cUxOcVlGNnNKdlZaV21keWlOaTNQeXJneENyR2lJSkdSWnQ4bHFyTU9ZeUJkTy1nM1RUeXo3OWRxNnNnd1NxSXIxQlhkWlk0bm9EWEJTanc2OVctREJkeV81T2xIXzR6N1l6ZmxVTUZSTFQxZGktUVp5UEVCbEdLMERXMUtRWEJ2a3BlMkxOUTVZSnNaUHZmQ3l6d0x6NkpnZ2xLd0F6YlMtQWZNbHNISEhsSXlxaUNrdmNkWm1HTXdhOGNZbTVqbE82UUVXR0dfWTJZSHJaZFprQk1haVpqNHMtZmVhX083TmN3QVZ2SzZETHpwWElWb1B2eDBTMEp1UQ?oc=5"" target=""_blank"">Micromax founder Rahul Sharma’s BPL eyes electronics component venture by year-end</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2025-08-27 07:00:00,Mint,https://news.google.com/rss/articles/CBMi_gFBVV95cUxOcVlGNnNKdlZaV21keWlOaTNQeXJneENyR2lJSkdSWnQ4bHFyTU9ZeUJkTy1nM1RUeXo3OWRxNnNnd1NxSXIxQlhkWlk0bm9EWEJTanc2OVctREJkeV81T2xIXzR6N1l6ZmxVTUZSTFQxZGktUVp5UEVCbEdLMERXMUtRWEJ2a3BlMkxOUTVZSnNaUHZmQ3l6d0x6NkpnZ2xLd0F6YlMtQWZNbHNISEhsSXlxaUNrdmNkWm1HTXdhOGNZbTVqbE82UUVXR0dfWTJZSHJaZFprQk1haVpqNHMtZmVhX083TmN3QVZ2SzZETHpwWElWb1B2eDBTMEp1UQ?oc=5
BPL,BPL Limited,BPL shares gain 6% on ₹100 crore fundraise announcement; details here - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxOTXpPaUgzcHEwZTU5Wjk4d2JEMm51YkpCbnRwc1d2WE9MSFRqaEFrSC04VUNlSTR4ZHpuR2R0dWdyNmQzb0UtMFJwVDZnaHVGczJQejFKMFpKdkVyUDRoaFNGNGRvdEZwX2JGU25DYWQyVk1rckp0T3JjZVRTOE5HQW1BRXhMZlFvbWViUVU2R2tydlQyN2ZWMmZGeFNHR0JGb0ZnOC1DejdSaDJ3SXFvZERYTGozRlByX0N5Nmd6LUhLME1vTHpxQVhUUGRKWkhLV2wyc3dR0gHbAUFVX3lxTE9Ka1FVNE1HQ2R4MzY3cGlVc1pNOHctUkJEWTgyMWRNeW9UeXFsNlNJUl9mNG5HN3A5U1VTWkxfRGU1aExOWnFzMnRsX3pFaVd0bjdCODFWRGs2T1VsTUlwWnphRUtkQnV2UngzQ3RsOHViYkxPNUk2MFBfLU9ISUZMdzIyZU1ZSm5MYnpRWjY5bmNBbVJobWRqcENoelNEeFdLN2pfeUxkYWlFZXc4bWhpRnlOZkhYQWp4V3Jwb2tvWGFEelYzdjg3VXE3V0V5TnRPcVN6YnBCdF9LSQ?oc=5"" target=""_blank"">BPL shares gain 6% on ₹100 crore fundraise announcement; details here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-09-15 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOTXpPaUgzcHEwZTU5Wjk4d2JEMm51YkpCbnRwc1d2WE9MSFRqaEFrSC04VUNlSTR4ZHpuR2R0dWdyNmQzb0UtMFJwVDZnaHVGczJQejFKMFpKdkVyUDRoaFNGNGRvdEZwX2JGU25DYWQyVk1rckp0T3JjZVRTOE5HQW1BRXhMZlFvbWViUVU2R2tydlQyN2ZWMmZGeFNHR0JGb0ZnOC1DejdSaDJ3SXFvZERYTGozRlByX0N5Nmd6LUhLME1vTHpxQVhUUGRKWkhLV2wyc3dR0gHbAUFVX3lxTE9Ka1FVNE1HQ2R4MzY3cGlVc1pNOHctUkJEWTgyMWRNeW9UeXFsNlNJUl9mNG5HN3A5U1VTWkxfRGU1aExOWnFzMnRsX3pFaVd0bjdCODFWRGs2T1VsTUlwWnphRUtkQnV2UngzQ3RsOHViYkxPNUk2MFBfLU9ISUZMdzIyZU1ZSm5MYnpRWjY5bmNBbVJobWRqcENoelNEeFdLN2pfeUxkYWlFZXc4bWhpRnlOZkhYQWp4V3Jwb2tvWGFEelYzdjg3VXE3V0V5TnRPcVN6YnBCdF9LSQ?oc=5
