scrip,company,headline,summary,published_date,source,url
CAMLINFINE,Camlin Fine Sciences Limited,"Camlin Fine Sciences Limited's (NSE:CAMLINFINE) market cap up ₹5.7b last week, benefiting both retail investors who own 35% as well as insiders - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNSHlHUjhQNFVyTDgzRXJZMk55cEJYdThXQ0NHZXMxVEtid1ItU1pDSnExUGxmNWtpX3BpcHJjV2tPWGtscUVHZFZNbW1VYlM2QnlkcW1ORzhYVHI3WXJtdHpTOVRyd3BFdDVrQnV6ME1vZXNQU2g5eUhXUnJleXcwRW1wZE1IenJVS3d4Ymk3a2JZS1J6aUNqN0o3dkk2Z2tUM2VjMC1pR3FJQUNiSlpNdXJMNzhpYjZOeHY1WnIyTWVTN0g0Mkp4ZGdxU1dBcjdFNUg1UzRYRzY0UVltN004MnJORGw?oc=5"" target=""_blank"">Camlin Fine Sciences Limited's (NSE:CAMLINFINE) market cap up ₹5.7b last week, benefiting both retail investors who own 35% as well as insiders</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-04 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNSHlHUjhQNFVyTDgzRXJZMk55cEJYdThXQ0NHZXMxVEtid1ItU1pDSnExUGxmNWtpX3BpcHJjV2tPWGtscUVHZFZNbW1VYlM2QnlkcW1ORzhYVHI3WXJtdHpTOVRyd3BFdDVrQnV6ME1vZXNQU2g5eUhXUnJleXcwRW1wZE1IenJVS3d4Ymk3a2JZS1J6aUNqN0o3dkk2Z2tUM2VjMC1pR3FJQUNiSlpNdXJMNzhpYjZOeHY1WnIyTWVTN0g0Mkp4ZGdxU1dBcjdFNUg1UzRYRzY0UVltN004MnJORGw?oc=5
CAMLINFINE,Camlin Fine Sciences Limited,Is The Market Rewarding Camlin Fine Sciences Limited (NSE:CAMLINFINE) With A Negative Sentiment As A Result Of Its Mixed Fundamentals? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQWDhXalRIVlZLNS1GMVBTOFFnTzdSYmNnd2dSZGszX0MwelhpajFpRmVEaDRaZVpXcmk4N0dkS3N2Wk5fbFJ6eE8ycU9lUVR4bXJ0bGVYbGhob1ZPaXZ1MnVoT2MzZXI1NHBEVXBBb1ZHTERQVkRZWElJOTBGSzlZbXE4Yk1vMnBsSzNHd2IydVhjWlFsRWhRdVVMYlBMS0djSGFTR3VZSzYtdzExTU1sVXhxMVlDSzRZWXRYSm1XTV94enUwdTJER3c0X0JNcnRVSW93QWdSOWFOS0I0TXA1cUc1UUo?oc=5"" target=""_blank"">Is The Market Rewarding Camlin Fine Sciences Limited (NSE:CAMLINFINE) With A Negative Sentiment As A Result Of Its Mixed Fundamentals?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-12 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQWDhXalRIVlZLNS1GMVBTOFFnTzdSYmNnd2dSZGszX0MwelhpajFpRmVEaDRaZVpXcmk4N0dkS3N2Wk5fbFJ6eE8ycU9lUVR4bXJ0bGVYbGhob1ZPaXZ1MnVoT2MzZXI1NHBEVXBBb1ZHTERQVkRZWElJOTBGSzlZbXE4Yk1vMnBsSzNHd2IydVhjWlFsRWhRdVVMYlBMS0djSGFTR3VZSzYtdzExTU1sVXhxMVlDSzRZWXRYSm1XTV94enUwdTJER3c0X0JNcnRVSW93QWdSOWFOS0I0TXA1cUc1UUo?oc=5
CAMLINFINE,Camlin Fine Sciences Limited,Camlin Fine Sciences Stock Struggles: Analyzing the Recent Decline on BSE - Meyka,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQRFBtTXcxSTU0eVpIZGtrSzkxbDhGTnFHU1dEM0tyZXBCQU5YVDUtVENMYktDQUhIZUhRV3RadU44bTNvY2pqVzBQbEszQjd5RGp5U2hBa080X2lPZTRPdm5lV1ZyOFBfemh5eFpPX1BWQUdHT3NmVldMNWIzek1PZUVuYl82ZUxnVy1YeXR1QXlYNEFMWW8zWGZLTE1zVmtodEkw?oc=5"" target=""_blank"">Camlin Fine Sciences Stock Struggles: Analyzing the Recent Decline on BSE</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2025-12-06 08:00:00,Meyka,https://news.google.com/rss/articles/CBMiowFBVV95cUxQRFBtTXcxSTU0eVpIZGtrSzkxbDhGTnFHU1dEM0tyZXBCQU5YVDUtVENMYktDQUhIZUhRV3RadU44bTNvY2pqVzBQbEszQjd5RGp5U2hBa080X2lPZTRPdm5lV1ZyOFBfemh5eFpPX1BWQUdHT3NmVldMNWIzek1PZUVuYl82ZUxnVy1YeXR1QXlYNEFMWW8zWGZLTE1zVmtodEkw?oc=5
CAMLINFINE,Camlin Fine Sciences Limited,It's Down 26% But Camlin Fine Sciences Limited (NSE:CAMLINFINE) Could Be Riskier Than It Looks - webull.com,"<a href=""https://news.google.com/rss/articles/CBMiWEFVX3lxTFBNT0llMzJjWm1mYS1EcXJqRVVGeU4ydE54MGRYbVVkM3pVUzZhZGxrNkZET1hEWldGeFpUWllRQzV5MjEtQXNDYW9USllaMFpGV0lJbjJLTFA?oc=5"" target=""_blank"">It's Down 26% But Camlin Fine Sciences Limited (NSE:CAMLINFINE) Could Be Riskier Than It Looks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">webull.com</font>",2025-12-08 08:00:00,webull.com,https://news.google.com/rss/articles/CBMiWEFVX3lxTFBNT0llMzJjWm1mYS1EcXJqRVVGeU4ydE54MGRYbVVkM3pVUzZhZGxrNkZET1hEWldGeFpUWllRQzV5MjEtQXNDYW9USllaMFpGV0lJbjJLTFA?oc=5
CAMLINFINE,Camlin Fine Sciences Limited,CAMLINFINE Share Price | Camlin Fine Sciences Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMickFVX3lxTE0xVWc1M2pERHVSTzliMGlGd3N1SWs0bzN4clZ2d3RFU0pyVDZlM3U5bzByN3dLQXZTSHZMc1dDcWkwQmdyaHF2MjFDeWxWdV9XYVd3VEFpYXJ3WWtBS0ZpdFZwQ0FyM2NKVUxTR1g4djA0Zw?oc=5"" target=""_blank"">CAMLINFINE Share Price | Camlin Fine Sciences Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-05-17 00:17:48,Markets Mojo,https://news.google.com/rss/articles/CBMickFVX3lxTE0xVWc1M2pERHVSTzliMGlGd3N1SWs0bzN4clZ2d3RFU0pyVDZlM3U5bzByN3dLQXZTSHZMc1dDcWkwQmdyaHF2MjFDeWxWdV9XYVd3VEFpYXJ3WWtBS0ZpdFZwQ0FyM2NKVUxTR1g4djA0Zw?oc=5
CAMLINFINE,Camlin Fine Sciences Limited,CAMLINFINE.NS up 19.99% pre-market to INR 168.85: watch volume and earnings catalyst - Meyka,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxOSUhZY0poVzFvSDM0OXhOQWZDd1BReWt0MEtJZnhlZHVDR2xiUE04enRZbUc2d2ZHTWpGOWhwWDFhVDUzVUFaQ0NkaVNRZUNMbFItb3ZoVEVGeVhyZXhqQ0dlZUJlQTltcnZ3d1B4SS04bGtpQmpPUUplZDRha3B0RU4wMzg5ZG9ENWRsSC1tZlZHMGdPdFN5TUtCbXFwZHltRnNqQ1pOblBXWXBX?oc=5"" target=""_blank"">CAMLINFINE.NS up 19.99% pre-market to INR 168.85: watch volume and earnings catalyst</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2026-02-04 08:00:00,Meyka,https://news.google.com/rss/articles/CBMirAFBVV95cUxOSUhZY0poVzFvSDM0OXhOQWZDd1BReWt0MEtJZnhlZHVDR2xiUE04enRZbUc2d2ZHTWpGOWhwWDFhVDUzVUFaQ0NkaVNRZUNMbFItb3ZoVEVGeVhyZXhqQ0dlZUJlQTltcnZ3d1B4SS04bGtpQmpPUUplZDRha3B0RU4wMzg5ZG9ENWRsSC1tZlZHMGdPdFN5TUtCbXFwZHltRnNqQ1pOblBXWXBX?oc=5
CAMLINFINE,Camlin Fine Sciences Limited,Camlin Fine Sciences' (NSE:CAMLINFINE) earnings growth rate lags the 19% CAGR delivered to shareholders - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNbFRQaXBSaFlZZXEySnlhWWMxa3BJVjBKTVFnWl84RldLVUdXSFE0eEpwTnVCeWJLaEk0M1AtSGs0cVdYa0x2SFFsbDJGV011SzZ3bXFDbjJwSHEyWFZFUWkwdkVNcDJFMFVjMmlhRDV0UzZ6ZU5ucjZaVTZ0ZUdZNlFwWEdWTzI4eXEwSU9NbzFpSGVEdUJiQ01KOXVqdmtIVnpYZHMzRDJES2pHczNqRjZsNVpvaEd3di13TEIwNUpBeVY3NFhrVzdQUHV5M1QtSHViNzNfTk95d2M2TTNrckUyR3Q?oc=5"" target=""_blank"">Camlin Fine Sciences' (NSE:CAMLINFINE) earnings growth rate lags the 19% CAGR delivered to shareholders</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-02 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNbFRQaXBSaFlZZXEySnlhWWMxa3BJVjBKTVFnWl84RldLVUdXSFE0eEpwTnVCeWJLaEk0M1AtSGs0cVdYa0x2SFFsbDJGV011SzZ3bXFDbjJwSHEyWFZFUWkwdkVNcDJFMFVjMmlhRDV0UzZ6ZU5ucjZaVTZ0ZUdZNlFwWEdWTzI4eXEwSU9NbzFpSGVEdUJiQ01KOXVqdmtIVnpYZHMzRDJES2pHczNqRjZsNVpvaEd3di13TEIwNUpBeVY3NFhrVzdQUHV5M1QtSHViNzNfTk95d2M2TTNrckUyR3Q?oc=5
CAMLINFINE,Camlin Fine Sciences Limited,Is It The Right Time To Buy Camlin Fine Sciences Limited (NSE:CAMLINFINE)? - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxOamwzVkF4ZzZVcWNZcU5iVGxDa1MwTVd5WS1JYk1ZOGN2amctRjVBZEd3clYyTEtOU093TDJaZ1VDam5GSDl0MzNkal9nMzBrbWJ0YkZ2SnJ5ek9PbkY1U2ZMeVJDLWhNR3gzWnRLQ0tpR2JFVjllZW5kUTNKQjF1VQ?oc=5"" target=""_blank"">Is It The Right Time To Buy Camlin Fine Sciences Limited (NSE:CAMLINFINE)?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",2018-03-02 08:00:00,Yahoo Finance,https://news.google.com/rss/articles/CBMigAFBVV95cUxOamwzVkF4ZzZVcWNZcU5iVGxDa1MwTVd5WS1JYk1ZOGN2amctRjVBZEd3clYyTEtOU093TDJaZ1VDam5GSDl0MzNkal9nMzBrbWJ0YkZ2SnJ5ek9PbkY1U2ZMeVJDLWhNR3gzWnRLQ0tpR2JFVjllZW5kUTNKQjF1VQ?oc=5
CAMLINFINE,Camlin Fine Sciences Limited,Investors Shouldn't Be Too Comfortable With Camlin Fine Sciences' (NSE:CAMLINFINE) Earnings - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxOa3NRdGFtOWY3ejNpRG51NE85WVZJSUJoZC1za2FMQXhxcHhPem4zVnpLME9ILUxUalJnRVgweFpudFJ4OFJzTXBuTFVnbzhKM190dHpOUlRyaUg1VUhUTmF5NHlseXJnOTdHdzlCNl8zMlpMMnVQUUhINkV6WVVVUjB4UFNMRlhLSFhfa3B2bUtmTVZ5OVlKVzJOaEdlNEk5Vm5ZUGNlcXQ1cWc4RlA2ZGtoMlpESVNkb1VzcFp0aUJiek1LcGROUk1zVTc3UVpXbVgtTUllNHB3dDUzT0J4VXFHWHXSAeoBQVVfeXFMUFlvVDFXVHNYX0w1SHp5OHBwOUl3elNOVmNkWFZHUUxaUC05Z2gxQ0pSUWZ3YXlObTFBMkcxLWd5aS1iNHlLUVZYX1V6aWhITWcySGxkd1JpYVYwcl9EVmVGMEM0ZGZodUNwNTBlN1NuWnVFUWk1bjZLWXlGUmwxWTlNQ29CYjZ5dUoyUW83bVZLbUpyU3hYdXhydllSUTU3WVc0QmdWVkg3dC0xd2V6V3EtZTQwSElDaHh2MzkzYkU4cVZsVHo1Rk1HNWo2Sk4tc29QRW5MSzBJSW1lQ0phWWpZRVpkcko3bFNR?oc=5"" target=""_blank"">Investors Shouldn't Be Too Comfortable With Camlin Fine Sciences' (NSE:CAMLINFINE) Earnings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-31 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOa3NRdGFtOWY3ejNpRG51NE85WVZJSUJoZC1za2FMQXhxcHhPem4zVnpLME9ILUxUalJnRVgweFpudFJ4OFJzTXBuTFVnbzhKM190dHpOUlRyaUg1VUhUTmF5NHlseXJnOTdHdzlCNl8zMlpMMnVQUUhINkV6WVVVUjB4UFNMRlhLSFhfa3B2bUtmTVZ5OVlKVzJOaEdlNEk5Vm5ZUGNlcXQ1cWc4RlA2ZGtoMlpESVNkb1VzcFp0aUJiek1LcGROUk1zVTc3UVpXbVgtTUllNHB3dDUzT0J4VXFHWHXSAeoBQVVfeXFMUFlvVDFXVHNYX0w1SHp5OHBwOUl3elNOVmNkWFZHUUxaUC05Z2gxQ0pSUWZ3YXlObTFBMkcxLWd5aS1iNHlLUVZYX1V6aWhITWcySGxkd1JpYVYwcl9EVmVGMEM0ZGZodUNwNTBlN1NuWnVFUWk1bjZLWXlGUmwxWTlNQ29CYjZ5dUoyUW83bVZLbUpyU3hYdXhydllSUTU3WVc0QmdWVkg3dC0xd2V6V3EtZTQwSElDaHh2MzkzYkU4cVZsVHo1Rk1HNWo2Sk4tc29QRW5MSzBJSW1lQ0phWWpZRVpkcko3bFNR?oc=5
CAMLINFINE,Camlin Fine Sciences Limited,CAMLINFINE Forecast — Price Target — Prediction for 2027 - TradingView,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE9RU2ZHQnl5ZDF3b1hFSXdRVlhjbkw0dHl6QmdpVURDckpNUHVzX2RsOTJOa0hpSGUySnNpX0JnWnhzWHExQkVPYVRpaF90M3pUN0kwXzBmVzBjM1pyaXJlcWdtbms2bmRseE9KMQ?oc=5"" target=""_blank"">CAMLINFINE Forecast — Price Target — Prediction for 2027</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2022-08-28 06:33:11,TradingView,https://news.google.com/rss/articles/CBMibEFVX3lxTE9RU2ZHQnl5ZDF3b1hFSXdRVlhjbkw0dHl6QmdpVURDckpNUHVzX2RsOTJOa0hpSGUySnNpX0JnWnhzWHExQkVPYVRpaF90M3pUN0kwXzBmVzBjM1pyaXJlcWdtbms2bmRseE9KMQ?oc=5
