scrip,company,headline,summary,published_date,source,url
CANFINHOME,Can Fin Homes Limited,Can Fin Homes Limited (NSE:CANFINHOME) Looks Inexpensive But Perhaps Not Attractive Enough - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxPRzJEMGJjNzA5bE9FQUJYLU9FV1BRR0wxek1HbTB2clpHMG40ekRGNU9ZaFBGSmhXeHcyOGZPU21lVWhXNzdmQ3JGZmhxN0lYemdCOElycTNSN1VTTFc1b1N0dnl4dG5Lc1FESDFWOXR6MW9KTHlBVVgwVDBpV2M3amJaVVl3T19IakplMFI3RDV3YV9hbFg5Rzh6V2dfLV9fRUNwWWNjMUZXalBQdExSdUQ2MXpPYkU4MHVwMkFEREpjbW9RSEhlNmZtNGhPdUdnVVZrQXloWE9Wa0xIamVVNGpvSjA0MlhUQ2llUw?oc=5"" target=""_blank"">Can Fin Homes Limited (NSE:CANFINHOME) Looks Inexpensive But Perhaps Not Attractive Enough</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-04 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7AFBVV95cUxPRzJEMGJjNzA5bE9FQUJYLU9FV1BRR0wxek1HbTB2clpHMG40ekRGNU9ZaFBGSmhXeHcyOGZPU21lVWhXNzdmQ3JGZmhxN0lYemdCOElycTNSN1VTTFc1b1N0dnl4dG5Lc1FESDFWOXR6MW9KTHlBVVgwVDBpV2M3amJaVVl3T19IakplMFI3RDV3YV9hbFg5Rzh6V2dfLV9fRUNwWWNjMUZXalBQdExSdUQ2MXpPYkU4MHVwMkFEREpjbW9RSEhlNmZtNGhPdUdnVVZrQXloWE9Wa0xIamVVNGpvSjA0MlhUQ2llUw?oc=5
CANFINHOME,Can Fin Homes Limited,Can Fin Homes Board Meets Today on Interim Dividend Payment - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTE92RXVIX3RZYVRsZ3lkMGFIZG9XcHN1MDZVRWc1SFNhLXZScWRaNmNiazlZZkNTR29LRXRZTkw0MGZndTZvZDZWVEl1S00zQ0I3Si1ib3pfc241RlZxVjJUcUhES3hNVmpySktyNGxJb29ydVRy?oc=5"" target=""_blank"">Can Fin Homes Board Meets Today on Interim Dividend Payment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-12-15 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMidEFVX3lxTE92RXVIX3RZYVRsZ3lkMGFIZG9XcHN1MDZVRWc1SFNhLXZScWRaNmNiazlZZkNTR29LRXRZTkw0MGZndTZvZDZWVEl1S00zQ0I3Si1ib3pfc241RlZxVjJUcUhES3hNVmpySktyNGxJb29ydVRy?oc=5
CANFINHOME,Can Fin Homes Limited,Dehradun Administration seizes CanFin Homes Property following harassment of widow - Garhwal Post,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxPRXB0dXh5OEhQMUZ3dHVnRkxDNTVOYmFFb0lqMTRFb2VXYkdUMThlSXVRZTJNZUdkMGxSejJzbW9QM3hFSVRJT2VSZV9mTWFwMlJia2NvYUFNa0NzanZVWVdwQWc5SnVOOFJ5UmIwczZycHBJTXVmeDNEZFhTa3kyc0REMEJrelBZaTBuWDhITVoyT09oLXcyMnV1TXhocjNMNW15clc5MlJjdw?oc=5"" target=""_blank"">Dehradun Administration seizes CanFin Homes Property following harassment of widow</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Garhwal Post</font>",2025-08-23 07:00:00,Garhwal Post,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPRXB0dXh5OEhQMUZ3dHVnRkxDNTVOYmFFb0lqMTRFb2VXYkdUMThlSXVRZTJNZUdkMGxSejJzbW9QM3hFSVRJT2VSZV9mTWFwMlJia2NvYUFNa0NzanZVWVdwQWc5SnVOOFJ5UmIwczZycHBJTXVmeDNEZFhTa3kyc0REMEJrelBZaTBuWDhITVoyT09oLXcyMnV1TXhocjNMNW15clc5MlJjdw?oc=5
CANFINHOME,Can Fin Homes Limited,Can Fin Homes Limited's (NSE:CANFINHOME) institutional investors lost 4.3% over the past week but have profited from longer-term gains - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxNZy1oWEc0SEJ1azktVXJxcTNzWmN5THFUZkNHTV8teHJFdDhhR1JIMklvdm1KcHBZX0VDMFBuZnhDT19CM2NaNDNWVFI2MmxNUWFLSTJRdkEtcVY0RTRWdGlGS3VpUGZEaTR4a0NkVmd3cDBqWkVKRHR1aHo3MjRmUDBPdEs3ZVVlVjFTVGNXNXEtNnY1YVRHUjRZcExPdUY4WElIbHp6NGJFeGhXWW9HVTFJTXVaSlRjZkZVRy1waENJcTctc3FORjJ1cDNLYTBUUWhjNFNhLXRwOUM0R0x6YmZzRk9zUkFvRmw0S9IB8gFBVV95cUxNRVlDLWlCRWtZeGE4SmlHSnNNV1RnSHF2XzVpZjdSUTB3OEpDa1JVRm9ZdlhUWjlVU2R1TTU0MDI3X3ZMTWJqM3FZb2tQcXdlUEZBUHNlbmdYOUZmVEs0QkpzdjctSUl6eHhUMVljS3dOS0lBdjlndTA3YkNoZHI1ODBDdGVHX1pYT3pmemw1dFpDWkM5czdmWVo3WlBBazluVlE1LTNydXF4cUlrQXBxRTF0TWpDTnhFUVJzMmFTbGtMc3BSejVKcEJPRHFtRFNqNGNWZHZVWldPeHc2bURjZkxpWUFjaTBFU2QtZUlCLXNGQQ?oc=5"" target=""_blank"">Can Fin Homes Limited's (NSE:CANFINHOME) institutional investors lost 4.3% over the past week but have profited from longer-term gains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-30 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNZy1oWEc0SEJ1azktVXJxcTNzWmN5THFUZkNHTV8teHJFdDhhR1JIMklvdm1KcHBZX0VDMFBuZnhDT19CM2NaNDNWVFI2MmxNUWFLSTJRdkEtcVY0RTRWdGlGS3VpUGZEaTR4a0NkVmd3cDBqWkVKRHR1aHo3MjRmUDBPdEs3ZVVlVjFTVGNXNXEtNnY1YVRHUjRZcExPdUY4WElIbHp6NGJFeGhXWW9HVTFJTXVaSlRjZkZVRy1waENJcTctc3FORjJ1cDNLYTBUUWhjNFNhLXRwOUM0R0x6YmZzRk9zUkFvRmw0S9IB8gFBVV95cUxNRVlDLWlCRWtZeGE4SmlHSnNNV1RnSHF2XzVpZjdSUTB3OEpDa1JVRm9ZdlhUWjlVU2R1TTU0MDI3X3ZMTWJqM3FZb2tQcXdlUEZBUHNlbmdYOUZmVEs0QkpzdjctSUl6eHhUMVljS3dOS0lBdjlndTA3YkNoZHI1ODBDdGVHX1pYT3pmemw1dFpDWkM5czdmWVo3WlBBazluVlE1LTNydXF4cUlrQXBxRTF0TWpDTnhFUVJzMmFTbGtMc3BSejVKcEJPRHFtRFNqNGNWZHZVWldPeHc2bURjZkxpWUFjaTBFU2QtZUlCLXNGQQ?oc=5
CANFINHOME,Can Fin Homes Limited,Can Fin Homes Declares Interim Dividend and Re-appoints CEO - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxNVk5ldDE1Um41c3FFUmFuQThvNVVIM0FBbEVFSkc3OWJuNUpSYUs0ZjJlQVdZdkw4WnRudjZsU2hOYkwweEZxMG9xb2FsMmVkdHRkOWp3aWZHdkZ1aVB1ZXhZVUV3UFZwMnNzYzgxTGZlQUdnVEg2LWhsQTFSbjdqU1JyZjNrcGtjdjVjR1IwdjQ1UFRCdy1RWFR6MzNLTnlRcVZYMU5pYW1mM2xSOFB0Y1o2VQ?oc=5"" target=""_blank"">Can Fin Homes Declares Interim Dividend and Re-appoints CEO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2025-12-15 08:00:00,TipRanks,https://news.google.com/rss/articles/CBMiswFBVV95cUxNVk5ldDE1Um41c3FFUmFuQThvNVVIM0FBbEVFSkc3OWJuNUpSYUs0ZjJlQVdZdkw4WnRudjZsU2hOYkwweEZxMG9xb2FsMmVkdHRkOWp3aWZHdkZ1aVB1ZXhZVUV3UFZwMnNzYzgxTGZlQUdnVEg2LWhsQTFSbjdqU1JyZjNrcGtjdjVjR1IwdjQ1UFRCdy1RWFR6MzNLTnlRcVZYMU5pYW1mM2xSOFB0Y1o2VQ?oc=5
CANFINHOME,Can Fin Homes Limited,Can Fin Homes Share Price Rises As Morgan Stanley Hikes Target Price Post Q2 Results - NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxOZ1lKMDZ3eWpGVkJ4MUFnN3IzdDdDT0trRzl6RFVqU1ppVDloN0RPVTNEenNHU1I3LU0xdWpDbzRHVHVkSFdTRnZvcFlwdXhEcEFpWC1tQXNTT0ZiVmwyMS1CQUI2WjJTUVU5M1lucW0wMEZ5WGlLQkI3alZPQk9SS0o0anFNTVJmRFR6TGtsRkZCajY4aXdFQWJKWEFHbXpEeS1NUjhLU05Kc3FvR2hmRE10T2ljT0lkMV9PRUJ0Znl5SHlnY0HSAc4BQVVfeXFMT0FZZFVqdDhtSWc2OG9MQ25mV0hLc2wteUZaODhsUm92YWoyUFloUzMzeklYLVdZbzZvbHdONlJvOElTUkxsb2h5aXd2alRZOUpfUXhRQU0yNm5sdXJwQko4Sy1wdHRWNzVDaGdQUmRqUlhOOXN5elJkMzVfeGNJcE51RW1pZlRVV1hMUzJzZm1GdTJRZWFpT2FaV1NjM19TSko0X1hES01yYzRWOXNPSnBOaEVTNWEyWjhzb3JWYm1vYTZMTk1SQkVaODgxWnc?oc=5"" target=""_blank"">Can Fin Homes Share Price Rises As Morgan Stanley Hikes Target Price Post Q2 Results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",2025-10-21 07:00:00,NDTV Profit,https://news.google.com/rss/articles/CBMixgFBVV95cUxOZ1lKMDZ3eWpGVkJ4MUFnN3IzdDdDT0trRzl6RFVqU1ppVDloN0RPVTNEenNHU1I3LU0xdWpDbzRHVHVkSFdTRnZvcFlwdXhEcEFpWC1tQXNTT0ZiVmwyMS1CQUI2WjJTUVU5M1lucW0wMEZ5WGlLQkI3alZPQk9SS0o0anFNTVJmRFR6TGtsRkZCajY4aXdFQWJKWEFHbXpEeS1NUjhLU05Kc3FvR2hmRE10T2ljT0lkMV9PRUJ0Znl5SHlnY0HSAc4BQVVfeXFMT0FZZFVqdDhtSWc2OG9MQ25mV0hLc2wteUZaODhsUm92YWoyUFloUzMzeklYLVdZbzZvbHdONlJvOElTUkxsb2h5aXd2alRZOUpfUXhRQU0yNm5sdXJwQko4Sy1wdHRWNzVDaGdQUmRqUlhOOXN5elJkMzVfeGNJcE51RW1pZlRVV1hMUzJzZm1GdTJRZWFpT2FaV1NjM19TSko0X1hES01yYzRWOXNPSnBOaEVTNWEyWjhzb3JWYm1vYTZMTk1SQkVaODgxWnc?oc=5
CANFINHOME,Can Fin Homes Limited,"Can Fin Homes shares: Axis Direct retains 'Buy' tag, raises target price to Rs 985 - Business Today","<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxNaEJjam1uYjJyUUZpaFk4TkFFR0lRY3p2OUZvRklnNDVkX19WeUsxdkx1QzVJN05LNFVtY25fQ19RN2lWZExDWUJ3Nk1SWmlEM1VMbmJjM1VDUFoxUlZCaFUxUmg3ei1UMGpmcnNCTE5IRHY3VmdXUV9TdFhZeWVQS3RzOHlWVTFBZlFTS1RzWnIwUGRaQ0t2bWdsQ3NsWHhZYnlNamtiX3VjWWU4RHRyNU1iaVBTYXNpYnpHSmVuSC1BcmlxZnBjU2pjYm9ZZTk1SXBXX0ZLYVc2MWNOcktF0gHkAUFVX3lxTE9fUG9SY01CMVg1VVVDVWF3QlJzTjJjaHJVZjEtdVRnYnJYU24zenpKWXd1Q1hGNnhDdGhkclNrckMtUEZNbHJuUDNWMmhmNzloeWFxWjk2VTNmRDBpRHdPRnc3cGlZYjVsbVpPT1NSSkF1MW1rRkNVb00xSFlmSHV5TmNfTkNFeFFXaXpWcldfS2d1aEZQOTdJR0I1ejlJN0pwX3RNWUNBWG02cnpXdFVtemJCakZHa0Y0a1FrWDVRQ2VYOHVya3A0NUx1QnZvOWRydUpGNl9EQmpqNWVFZk5Ub3padw?oc=5"" target=""_blank"">Can Fin Homes shares: Axis Direct retains 'Buy' tag, raises target price to Rs 985</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-10-23 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi3wFBVV95cUxNaEJjam1uYjJyUUZpaFk4TkFFR0lRY3p2OUZvRklnNDVkX19WeUsxdkx1QzVJN05LNFVtY25fQ19RN2lWZExDWUJ3Nk1SWmlEM1VMbmJjM1VDUFoxUlZCaFUxUmg3ei1UMGpmcnNCTE5IRHY3VmdXUV9TdFhZeWVQS3RzOHlWVTFBZlFTS1RzWnIwUGRaQ0t2bWdsQ3NsWHhZYnlNamtiX3VjWWU4RHRyNU1iaVBTYXNpYnpHSmVuSC1BcmlxZnBjU2pjYm9ZZTk1SXBXX0ZLYVc2MWNOcktF0gHkAUFVX3lxTE9fUG9SY01CMVg1VVVDVWF3QlJzTjJjaHJVZjEtdVRnYnJYU24zenpKWXd1Q1hGNnhDdGhkclNrckMtUEZNbHJuUDNWMmhmNzloeWFxWjk2VTNmRDBpRHdPRnc3cGlZYjVsbVpPT1NSSkF1MW1rRkNVb00xSFlmSHV5TmNfTkNFeFFXaXpWcldfS2d1aEZQOTdJR0I1ejlJN0pwX3RNWUNBWG02cnpXdFVtemJCakZHa0Y0a1FrWDVRQ2VYOHVya3A0NUx1QnZvOWRydUpGNl9EQmpqNWVFZk5Ub3padw?oc=5
CANFINHOME,Can Fin Homes Limited,"Can Fin Homes Ltd Share Price Target, Forecast for Long Term Equity. - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxNVUdtV2FPNnRiRWZWeG5JYmlOc1VwTkVxZUVibklNMmdob3ZLM2k5N3FIeGFVYkU0bkktUnItejNWQkdaRVdOY19kV0JBQ1ZCQjZ0SEVEbVJ2czNHalAySnJvX3VDN2M2eEhwQXJIQi1ZOWF4eENPSDdsc2ZtbTdmdVdnYzFkTk1wMGc?oc=5"" target=""_blank"">Can Fin Homes Ltd Share Price Target, Forecast for Long Term Equity.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-11-18 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiigFBVV95cUxNVUdtV2FPNnRiRWZWeG5JYmlOc1VwTkVxZUVibklNMmdob3ZLM2k5N3FIeGFVYkU0bkktUnItejNWQkdaRVdOY19kV0JBQ1ZCQjZ0SEVEbVJ2czNHalAySnJvX3VDN2M2eEhwQXJIQi1ZOWF4eENPSDdsc2ZtbTdmdVdnYzFkTk1wMGc?oc=5
CANFINHOME,Can Fin Homes Limited,Why are Can Fin Homes shares down 3% after Q4 results? All you need to know - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxOVUJaSzg2VUNjcXh3emZuRkk3WkZ0SWZCS3ZpLTBHbU5ZWktra1NrS0tGcnlwYkhWRUk4MEsxZVEzaWY3ck9ySXJpMENjdGdTaDN1d1BxUXd4VGFQWVFTSUV4RDRac3E5M3J5LWM3M01mQzdwNWlPbEJiX3lzZWlIZmdxVHJ5cmk2RHZybUlXNkpKLUx6SzUyWi15WmtUelBCME1raEZqbzNPdXpicXlFLXRvZm1CTGZaVGxUZ0k1dDJpWnhjUGcyUjJkVVdPMUVpcUtlWV9HY9IB3AFBVV95cUxPVjBTQzZxN24teEhyWUt6RHBSZ0FIT3pYMWRWdFczNFlUMU1FMVlobG10SlFGdnI1eVI3WVJ4NXVGLWNOTTVyblZtdGFWM0lPT1kwNi00T2NsbExVaUxOQVRFQ1dObkxLNVgzQ0tLSHlSOVBONmc5RHZTTjU0QXpYOVZ6SDlDWjhTNjNLMTgzUzJCb25jUFp3eVo3LUp6SUQ4T25YTGY3UlQ2ZXllU1FHMkhLeUxrc2xic09Ja2NKNHVaakdSRFZjbGptQVd2WE9WYkp4SmFlMjZCV2pv?oc=5"" target=""_blank"">Why are Can Fin Homes shares down 3% after Q4 results? All you need to know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-04-24 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOVUJaSzg2VUNjcXh3emZuRkk3WkZ0SWZCS3ZpLTBHbU5ZWktra1NrS0tGcnlwYkhWRUk4MEsxZVEzaWY3ck9ySXJpMENjdGdTaDN1d1BxUXd4VGFQWVFTSUV4RDRac3E5M3J5LWM3M01mQzdwNWlPbEJiX3lzZWlIZmdxVHJ5cmk2RHZybUlXNkpKLUx6SzUyWi15WmtUelBCME1raEZqbzNPdXpicXlFLXRvZm1CTGZaVGxUZ0k1dDJpWnhjUGcyUjJkVVdPMUVpcUtlWV9HY9IB3AFBVV95cUxPVjBTQzZxN24teEhyWUt6RHBSZ0FIT3pYMWRWdFczNFlUMU1FMVlobG10SlFGdnI1eVI3WVJ4NXVGLWNOTTVyblZtdGFWM0lPT1kwNi00T2NsbExVaUxOQVRFQ1dObkxLNVgzQ0tLSHlSOVBONmc5RHZTTjU0QXpYOVZ6SDlDWjhTNjNLMTgzUzJCb25jUFp3eVo3LUp6SUQ4T25YTGY3UlQ2ZXllU1FHMkhLeUxrc2xic09Ja2NKNHVaakdSRFZjbGptQVd2WE9WYkp4SmFlMjZCV2pv?oc=5
CANFINHOME,Can Fin Homes Limited,Can Fin Homes (NSE:CANFINHOME) stock performs better than its underlying earnings growth over last five years - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxNak9heXBmU1VpbHZxUUQtMGFvZkRwVTJzbHFQeU15R2VOZzNkcFhQN2JicW9hM21jTUR5NXdtb2NrYkhSOWJCY2MyM1k3QlR5Y2Ywb1g0XzFyd28tRVQwWGwyMGdBdWF0Ri1JS0lmMGE3cFNsUmJNZ2IwWFBoUkp6aUdBeGdfREg3YzZVb1ctdU1lTF84S0Y0d3ZYY3lYVlQ4NGl3T2FFOWFCRGZJbi02YmQxLTd5NjY2Ty1CUEZacGdySWNpSE9BTWxSR3pHVHMydEZIMmJPTUh2d2tzWDVrSGJfb2p6RXpwcHVhT3huZw?oc=5"" target=""_blank"">Can Fin Homes (NSE:CANFINHOME) stock performs better than its underlying earnings growth over last five years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-12 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNak9heXBmU1VpbHZxUUQtMGFvZkRwVTJzbHFQeU15R2VOZzNkcFhQN2JicW9hM21jTUR5NXdtb2NrYkhSOWJCY2MyM1k3QlR5Y2Ywb1g0XzFyd28tRVQwWGwyMGdBdWF0Ri1JS0lmMGE3cFNsUmJNZ2IwWFBoUkp6aUdBeGdfREg3YzZVb1ctdU1lTF84S0Y0d3ZYY3lYVlQ4NGl3T2FFOWFCRGZJbi02YmQxLTd5NjY2Ty1CUEZacGdySWNpSE9BTWxSR3pHVHMydEZIMmJPTUh2d2tzWDVrSGJfb2p6RXpwcHVhT3huZw?oc=5
