scrip,company,headline,summary,published_date,source,url
CENTRUM,Centrum Capital Limited,Centrum Capital Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxNWVRUZmNQemEtbF91NG9vQl9xQkVUSnpoQVVSdFl1aFIwd09sVTRWZURHRmQzNTFsakNEbFF5a0wzQmYxQmRVQ1ZrLWwtVldlUmdqVllhZDZBQk1jcy14bVBaYUROZGdwWnN2NHVBdmtTWThnM1RraDJQMndJYzBSb3NfcDljV0VoNzRHZ2Ztd29rWjN0aDR6cjQ1LTY4b1FWd2dQUQ?oc=5"" target=""_blank"">Centrum Capital Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-03 07:04:33,Markets Mojo,https://news.google.com/rss/articles/CBMipAFBVV95cUxNWVRUZmNQemEtbF91NG9vQl9xQkVUSnpoQVVSdFl1aFIwd09sVTRWZURHRmQzNTFsakNEbFF5a0wzQmYxQmRVQ1ZrLWwtVldlUmdqVllhZDZBQk1jcy14bVBaYUROZGdwWnN2NHVBdmtTWThnM1RraDJQMndJYzBSb3NfcDljV0VoNzRHZ2Ztd29rWjN0aDR6cjQ1LTY4b1FWd2dQUQ?oc=5
CENTRUM,Centrum Capital Limited,Centrum Capital Issues ₹35 Crore Corporate Guarantee for Subsidiary Loan from Suryoday Small Finance Bank - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNdUJNUGxlenpDaEJtd1Y2Q2tsLVY1NVNVWTdONGF1YU1nbU1GQ19PS2FISFRNTmJkODBLeWt0T0pKekRXYlE0eTdQZi04cWY2VnVVbXpTbEV3dlZHVzhQSk14QTFVY203eHBtNGpwVUpUcDVXYW9PektCQ2pPaXUyMVdpdF9SR1lnVWdUQmNIWWJWSkVMY3AtN1JRUnhLaVpkSGRoSENJVGhweVJscGxoTTdxenU1YXA1RVRiai1BbnVOa2ZITFJ3aUdyU2M?oc=5"" target=""_blank"">Centrum Capital Issues ₹35 Crore Corporate Guarantee for Subsidiary Loan from Suryoday Small Finance Bank</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2026-02-19 09:53:29,HDFC Sky,https://news.google.com/rss/articles/CBMizAFBVV95cUxNdUJNUGxlenpDaEJtd1Y2Q2tsLVY1NVNVWTdONGF1YU1nbU1GQ19PS2FISFRNTmJkODBLeWt0T0pKekRXYlE0eTdQZi04cWY2VnVVbXpTbEV3dlZHVzhQSk14QTFVY203eHBtNGpwVUpUcDVXYW9PektCQ2pPaXUyMVdpdF9SR1lnVWdUQmNIWWJWSkVMY3AtN1JRUnhLaVpkSGRoSENJVGhweVJscGxoTTdxenU1YXA1RVRiai1BbnVOa2ZITFJ3aUdyU2M?oc=5
CENTRUM,Centrum Capital Limited,Business Match Services Creates Additional Pledge on Centrum Capital Shares Worth ₹4.60 Lakh - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxONF9xSEMxMi1fUGoyRkNBQnl3MmdWcW8zSWxrTmFLMXRQR2hXUnVRUHltMm5OSTRaYWNzek1NVTRobWNyYmt4N2ZLd2NPbTFEaHotXzZwQlpNZjZwWEhFSklTZUctZE9Rc2gtVWlUTWZQOTRhbUVJMVVtRFc2U0hVRWN4aUlJckltUlU2SS1NM18zeGo3bDc2dlNobVd6YnpCLUNZMzBGT0pMb25iQmp0UHdENEhaX1luQTFjMG00cElnVGdrLWVVZGxHNy1NUWE5YXdscUhIMUJPVl9HTUtUWGV6SVVEYlZNakw0Zw?oc=5"" target=""_blank"">Business Match Services Creates Additional Pledge on Centrum Capital Shares Worth ₹4.60 Lakh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-23 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi7AFBVV95cUxONF9xSEMxMi1fUGoyRkNBQnl3MmdWcW8zSWxrTmFLMXRQR2hXUnVRUHltMm5OSTRaYWNzek1NVTRobWNyYmt4N2ZLd2NPbTFEaHotXzZwQlpNZjZwWEhFSklTZUctZE9Rc2gtVWlUTWZQOTRhbUVJMVVtRFc2U0hVRWN4aUlJckltUlU2SS1NM18zeGo3bDc2dlNobVd6YnpCLUNZMzBGT0pMb25iQmp0UHdENEhaX1luQTFjMG00cElnVGdrLWVVZGxHNy1NUWE5YXdscUhIMUJPVl9HTUtUWGV6SVVEYlZNakw0Zw?oc=5
CENTRUM,Centrum Capital Limited,Private companies are Centrum Capital Limited's (NSE:CENTRUM) biggest owners and were rewarded after market cap rose by ₹1.7b last week - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxNTXM1NUM1VDZYVzc3OU8zeHBvZm9EdGVMTzhzenZNY3I3bHY4bURCRGZBbkNPNnhvWjIxSENsR002ZnEza0U1VXN5NzlSRDJzRlRPSHlaZXoxUTY2cTVCaGF4WmlIVm5ueG0tY3RrMWJhbDlNdE9tcXBkWmxUdVVZWUR0Ym9hSTRmTjk2QU9SdFVucDFSSjA3bHJNaHdqVGlrUjh1MEpra1JxREFtTnE4RnFNOUtUcjQ1R3FEVVY4RkVkQ3gyaklxRVJLbE43akZQeEJkNnJTNUkzQUFsMk1PaEJOc1FzNE52RlA40gHwAUFVX3lxTE9XaF9pV1I1bEF5Q2hzVEVzMXZCMHFGVkt5b1dtLVgtd2R2eFlKUkNfU3pMSWZRMXNxb1d1ZXYtRlBDR2tjeEc5T09KWEtNb1R5UzJIT3Z1dXhwTVM0WTdIT3BmZHZldlhLckdXYjhncE5vS051azc3ckNhVHJJUXlHZ0FucGR6TmxwTVR2OFQ5LTNWVDFid24xRkxMVnJuZGFLeWVqUWREbVdyWjFyZENTazRqUFhHQUJlUHZhZG0wTVc4cGJPenY0NUhwS3RpbXNVY1R4VlpmUF9PUlpyVjRkbFJGdzdsSmI0N0ZCa2tLRw?oc=5"" target=""_blank"">Private companies are Centrum Capital Limited's (NSE:CENTRUM) biggest owners and were rewarded after market cap rose by ₹1.7b last week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-13 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNTXM1NUM1VDZYVzc3OU8zeHBvZm9EdGVMTzhzenZNY3I3bHY4bURCRGZBbkNPNnhvWjIxSENsR002ZnEza0U1VXN5NzlSRDJzRlRPSHlaZXoxUTY2cTVCaGF4WmlIVm5ueG0tY3RrMWJhbDlNdE9tcXBkWmxUdVVZWUR0Ym9hSTRmTjk2QU9SdFVucDFSSjA3bHJNaHdqVGlrUjh1MEpra1JxREFtTnE4RnFNOUtUcjQ1R3FEVVY4RkVkQ3gyaklxRVJLbE43akZQeEJkNnJTNUkzQUFsMk1PaEJOc1FzNE52RlA40gHwAUFVX3lxTE9XaF9pV1I1bEF5Q2hzVEVzMXZCMHFGVkt5b1dtLVgtd2R2eFlKUkNfU3pMSWZRMXNxb1d1ZXYtRlBDR2tjeEc5T09KWEtNb1R5UzJIT3Z1dXhwTVM0WTdIT3BmZHZldlhLckdXYjhncE5vS051azc3ckNhVHJJUXlHZ0FucGR6TmxwTVR2OFQ5LTNWVDFid24xRkxMVnJuZGFLeWVqUWREbVdyWjFyZENTazRqUFhHQUJlUHZhZG0wTVc4cGJPenY0NUhwS3RpbXNVY1R4VlpmUF9PUlpyVjRkbFJGdzdsSmI0N0ZCa2tLRw?oc=5
CENTRUM,Centrum Capital Limited,Centrum Capital Ltd - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiYkFVX3lxTE5FRkZoNVJaQ1AzUWpzejlhV3FQSWVNak5UeTRqTnpScUZrLUoyUjViS2JBU0FqYXN4MFU5QTg4SmtFSlZUdklOYW83Nk11UFhlZ0RpVmtBV2xQaFJTVXJOcXJ3?oc=5"" target=""_blank"">Centrum Capital Ltd</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2025-09-24 01:02:29,Equitypandit,https://news.google.com/rss/articles/CBMiYkFVX3lxTE5FRkZoNVJaQ1AzUWpzejlhV3FQSWVNak5UeTRqTnpScUZrLUoyUjViS2JBU0FqYXN4MFU5QTg4SmtFSlZUdklOYW83Nk11UFhlZ0RpVmtBV2xQaFJTVXJOcXJ3?oc=5
CENTRUM,Centrum Capital Limited,Centrum Capital Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxOZi1HQkhyZmluY0FnMkEzWGgzY1B6ZmRNYUcwMTJ2Zm1lRVlKR1BuS0VhYk5TWUJrc3pmeEM2c2tNam1zaU96c3hsUVVsRmx1d0NXRUkyTEoxaXZva01mSUs2RU0zUDNlMXpBLXc0aW1VWVZuSC1oQjFJVUpTSkVpbFg1dmR0LTNqbUJBdm9YZy0tXzgzZkZ2UFBBZFFuamxOZzVrdw?oc=5"" target=""_blank"">Centrum Capital Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-20 06:19:26,Markets Mojo,https://news.google.com/rss/articles/CBMipAFBVV95cUxOZi1HQkhyZmluY0FnMkEzWGgzY1B6ZmRNYUcwMTJ2Zm1lRVlKR1BuS0VhYk5TWUJrc3pmeEM2c2tNam1zaU96c3hsUVVsRmx1d0NXRUkyTEoxaXZva01mSUs2RU0zUDNlMXpBLXc0aW1VWVZuSC1oQjFJVUpTSkVpbFg1dmR0LTNqbUJBdm9YZy0tXzgzZkZ2UFBBZFFuamxOZzVrdw?oc=5
CENTRUM,Centrum Capital Limited,Centrum Capital Issues Rs. 35.00 Crore Corporate Guarantee for Subsidiary's Credit Facilities - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxOOVUzV3dUTXJQQ3lYb1daUHZZUHEtdGhJQW1sdjFQVndseDdnTi1fQUxUX2I2U2Y5YVJKVUtweVFMVkR6eXYwZ1RIZmFfOVJVMFVldjlEWnRtdkJFU1RkbDNPQnk1LTU2NjBnaThFRjdZLWZaU2dOWmlSRnlHdDZJWXRrUEg4YkRRRm1rRmpKM183aFpHcERkVkEzYjRPbTYzenJtc3FqMnl2V1hhNzljdlozc2Y2MDlzLWs4dm5tMWZCYXZjMFhaQzNfMTRvWHhEdmpnWHRaMi11ZWw2NWRFSkhxQU1SUnVPRGFCSk9B?oc=5"" target=""_blank"">Centrum Capital Issues Rs. 35.00 Crore Corporate Guarantee for Subsidiary's Credit Facilities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-18 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi7gFBVV95cUxOOVUzV3dUTXJQQ3lYb1daUHZZUHEtdGhJQW1sdjFQVndseDdnTi1fQUxUX2I2U2Y5YVJKVUtweVFMVkR6eXYwZ1RIZmFfOVJVMFVldjlEWnRtdkJFU1RkbDNPQnk1LTU2NjBnaThFRjdZLWZaU2dOWmlSRnlHdDZJWXRrUEg4YkRRRm1rRmpKM183aFpHcERkVkEzYjRPbTYzenJtc3FqMnl2V1hhNzljdlozc2Y2MDlzLWs4dm5tMWZCYXZjMFhaQzNfMTRvWHhEdmpnWHRaMi11ZWw2NWRFSkhxQU1SUnVPRGFCSk9B?oc=5
CENTRUM,Centrum Capital Limited,Business Match Services Creates Additional Pledges on Centrum Capital Shares Worth ₹6.40 Lakh - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxQajdmZkdmRmplZWdNRTRpak9NblB3QjdSZENPLUV3bm1BV1pmVE5Lc3FYR05WeGVLN3k2TjBkZ2FITGZCeS02eE9zOUlDeUdHemFEU1dqNHZxejYxLVJEZmh5NWJJNkxWbDc4UjRyRDR2WUlXUExYc2RyZjdjeFltSzNHUE81NVluT3NOMk5CTWoxNlJ5LXg4RUVwcGNPYmRCVEJEUkw1M09yRkJZbElhOHlmeHFvNXJuRlBCa3BJMk5pYTV4b0YyMDBZcmJJU1RYYnRiR0d0blZ0YWdqOXlxMmhEd0N6Y0JNOU8taUlR?oc=5"" target=""_blank"">Business Match Services Creates Additional Pledges on Centrum Capital Shares Worth ₹6.40 Lakh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-09 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQajdmZkdmRmplZWdNRTRpak9NblB3QjdSZENPLUV3bm1BV1pmVE5Lc3FYR05WeGVLN3k2TjBkZ2FITGZCeS02eE9zOUlDeUdHemFEU1dqNHZxejYxLVJEZmh5NWJJNkxWbDc4UjRyRDR2WUlXUExYc2RyZjdjeFltSzNHUE81NVluT3NOMk5CTWoxNlJ5LXg4RUVwcGNPYmRCVEJEUkw1M09yRkJZbElhOHlmeHFvNXJuRlBCa3BJMk5pYTV4b0YyMDBZcmJJU1RYYnRiR0d0blZ0YWdqOXlxMmhEd0N6Y0JNOU8taUlR?oc=5
CENTRUM,Centrum Capital Limited,Centrum Capital Ltd Technical Momentum Shifts Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxQTDZmYVlLZHdJamNlLWV3cW1yWHBMNU4tVmE0UEVNSmpteUZOdGIzZzUyMUF2VHpub0VWVlczTDJiN2ZtbDU5VWhLU1dKQm1mdVQ1SEQwNjk4azZYMHF2M0MzRHJsN2ZoRG93UU1GemxYM1pSaDJpd25vZ1o3cm5lelNmdV9kbFlVQWltMHVUUzNEWGFjRF9kTEpyN0lYSVRuYUl3UENLak91UDE0dEtYSUh0WU1kRklUajl6UWQ4VW8xOUhoQWFtdQ?oc=5"" target=""_blank"">Centrum Capital Ltd Technical Momentum Shifts Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-12 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQTDZmYVlLZHdJamNlLWV3cW1yWHBMNU4tVmE0UEVNSmpteUZOdGIzZzUyMUF2VHpub0VWVlczTDJiN2ZtbDU5VWhLU1dKQm1mdVQ1SEQwNjk4azZYMHF2M0MzRHJsN2ZoRG93UU1GemxYM1pSaDJpd25vZ1o3cm5lelNmdV9kbFlVQWltMHVUUzNEWGFjRF9kTEpyN0lYSVRuYUl3UENLak91UDE0dEtYSUh0WU1kRklUajl6UWQ4VW8xOUhoQWFtdQ?oc=5
CENTRUM,Centrum Capital Limited,Centrum Capital Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxNLVdoR201TFdSQXpyQ2FMS21wUk4yQVRZN2t6Vy1TR1M4bDZ1SXBoQjVzbG84cDVSQU9rc2Zwb1QzcDFocFZVVUdzbTZNOGxPcmJQb2lYbjI4Vldra1BzNWlObHBXQjRQUEd4N3FJTmttWFI1TUs1c0lUQUs2UjhhTDU1cmRsak00ekpWWXlKc2Z1T1Q3QzVLajF0REhsQkY2QzhmUQ?oc=5"" target=""_blank"">Centrum Capital Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-09 07:11:22,Markets Mojo,https://news.google.com/rss/articles/CBMipAFBVV95cUxNLVdoR201TFdSQXpyQ2FMS21wUk4yQVRZN2t6Vy1TR1M4bDZ1SXBoQjVzbG84cDVSQU9rc2Zwb1QzcDFocFZVVUdzbTZNOGxPcmJQb2lYbjI4Vldra1BzNWlObHBXQjRQUEd4N3FJTmttWFI1TUs1c0lUQUs2UjhhTDU1cmRsak00ekpWWXlKc2Z1T1Q3QzVLajF0REhsQkY2QzhmUQ?oc=5
