scrip,company,headline,summary,published_date,source,url
DABUR,Dabur India Limited,Dabur India Ltd. Technical Momentum Shifts Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxQd3JVdnpIS2R1QWNkZXkzd182TnBnS0RqSm9yeHhQTGNDNzFuc1VaVEx1ZTI0eEotTWdsU0VnbUxYcmdLRWNUNGhuTUxOQ2hQRmdsLUhEcXgwaExpZkY1QjU0eTBBaXdtZU5KNTdUcGtkTUFnQWhvRHE3X1ZkeVlhWW9ZWVNVdHlXSUg5MnNZVTN5aDJjRjFwTk1WZHQ5WXR0UEt6dWtLZHl1bWUyZXBDNWNYM1dYMHBaTHBabjF5WGwwUDg?oc=5"" target=""_blank"">Dabur India Ltd. Technical Momentum Shifts Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-04 02:31:34,Markets Mojo,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQd3JVdnpIS2R1QWNkZXkzd182TnBnS0RqSm9yeHhQTGNDNzFuc1VaVEx1ZTI0eEotTWdsU0VnbUxYcmdLRWNUNGhuTUxOQ2hQRmdsLUhEcXgwaExpZkY1QjU0eTBBaXdtZU5KNTdUcGtkTUFnQWhvRHE3X1ZkeVlhWW9ZWVNVdHlXSUg5MnNZVTN5aDJjRjFwTk1WZHQ5WXR0UEt6dWtLZHl1bWUyZXBDNWNYM1dYMHBaTHBabjF5WGwwUDg?oc=5
DABUR,Dabur India Limited,"DABUR Outlook for the Week (March 02, 2026 – March 06, 2026) - Equitypandit","<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9IRG5XNVBKMWF5RHhmS3N6anp2NjE3Wk8zZi1SbUdaQkhoTEI3M0ZQVkI2ejE2a2pGYmZmalBISlp0NEJsb0d1N1JrY3hRWVZlUG1LMFlEWXY4QzFodW1oTktsZWZmMU0?oc=5"" target=""_blank"">DABUR Outlook for the Week (March 02, 2026 – March 06, 2026)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2026-02-27 08:00:00,Equitypandit,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9IRG5XNVBKMWF5RHhmS3N6anp2NjE3Wk8zZi1SbUdaQkhoTEI3M0ZQVkI2ejE2a2pGYmZmalBISlp0NEJsb0d1N1JrY3hRWVZlUG1LMFlEWXY4QzFodW1oTktsZWZmMU0?oc=5
DABUR,Dabur India Limited,Dabur India Invests Rs 60 Crore in Luxury Skincare Brand RAS Beauty - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxPYWVhN1VURXdUREotcDZWMDV3Y25kc3k0b3pZa1JJNjdNLXpPMERYLTJ2V1E3VFNHWHJXWjAwZmZFcHRfS3dHc2s2eVZGQW1JSTdyMTkxSFR1ZTZJOGxxYWQ3YXU1bEEwRVVnVE1VcnhpWkh0Snp1ZGVWcHdXRzJUcEpnd2NkVzV4bUV6LWZFcVpGQjlZQ2RxUUI2a1BaX0d6NnFoZVd3Ylk2dzJsN3ZTVjY0d0hxaVB0U29fdzJRN2tiSmgyRkE?oc=5"" target=""_blank"">Dabur India Invests Rs 60 Crore in Luxury Skincare Brand RAS Beauty</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-03-02 14:05:26,scanx.trade,https://news.google.com/rss/articles/CBMixgFBVV95cUxPYWVhN1VURXdUREotcDZWMDV3Y25kc3k0b3pZa1JJNjdNLXpPMERYLTJ2V1E3VFNHWHJXWjAwZmZFcHRfS3dHc2s2eVZGQW1JSTdyMTkxSFR1ZTZJOGxxYWQ3YXU1bEEwRVVnVE1VcnhpWkh0Snp1ZGVWcHdXRzJUcEpnd2NkVzV4bUV6LWZFcVpGQjlZQ2RxUUI2a1BaX0d6NnFoZVd3Ylk2dzJsN3ZTVjY0d0hxaVB0U29fdzJRN2tiSmgyRkE?oc=5
DABUR,Dabur India Limited,Dabur India Limited's (NSE:DABUR) Business Is Yet to Catch Up With Its Share Price - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPb1JTN2NyWWRjNXZjUnp6bmt6bWR3UjJYd1lvOVFfQjZoS2lmUE1reDZ2MlFONmRwVjFYcnNxY1JyVnIydGc2ZWxRM1JpeERsbnNTYjY5MHRkTUJ0SEkwaUxLMVFXUEVlRi05eE1FbHk3Rm9TcXpkRGk0V3Mwb19lczhzbng5RGZYbGVPZmJuM1ZHSjdZY2JLY0dZZ2dJeVE5Wnk4a0NqU2NhTllXUHM3OUpLNXJGQkNFUlo3b0wwN1RQVUxCT05ySzNVRHBNQ21keEE?oc=5"" target=""_blank"">Dabur India Limited's (NSE:DABUR) Business Is Yet to Catch Up With Its Share Price</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-26 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPb1JTN2NyWWRjNXZjUnp6bmt6bWR3UjJYd1lvOVFfQjZoS2lmUE1reDZ2MlFONmRwVjFYcnNxY1JyVnIydGc2ZWxRM1JpeERsbnNTYjY5MHRkTUJ0SEkwaUxLMVFXUEVlRi05eE1FbHk3Rm9TcXpkRGk0V3Mwb19lczhzbng5RGZYbGVPZmJuM1ZHSjdZY2JLY0dZZ2dJeVE5Wnk4a0NqU2NhTllXUHM3OUpLNXJGQkNFUlo3b0wwN1RQVUxCT05ySzNVRHBNQ21keEE?oc=5
DABUR,Dabur India Limited,"Dabur share price falls nearly 2% on CEO reshuffle; Bhalla to lead, Malhotra elevated to global role - Upstox","<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxNWW5RQ25MUXZfTy1KalQyMlBlV2pPZEY1QUFQa2xmRDFZdUVNTldPRHktX01DN1NIQUg0SnNTVGRrdGpoeDN2aWN6UThJUmdZYzVDeTRDdkN0aUxoUnpvZzh2U0M2TC1mSEFiMG5tWl9EaXRSOFFqeHE0Z1R2ZEcxbjhaUkp0QTZwSldZbVhvcjVkU3JzdW80VlBLZzZTT3h5QzhmSUt3RUl5NlNHYklOMzc4cnU4b0NVSHUzWlRLbE1Ya2VKN095ZW5sVEtiR21QVFRZWHdDYl9IRFFZRnVRdmJJV0tqWF80RGxuUg?oc=5"" target=""_blank"">Dabur share price falls nearly 2% on CEO reshuffle; Bhalla to lead, Malhotra elevated to global role</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2026-02-17 08:00:00,Upstox,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNWW5RQ25MUXZfTy1KalQyMlBlV2pPZEY1QUFQa2xmRDFZdUVNTldPRHktX01DN1NIQUg0SnNTVGRrdGpoeDN2aWN6UThJUmdZYzVDeTRDdkN0aUxoUnpvZzh2U0M2TC1mSEFiMG5tWl9EaXRSOFFqeHE0Z1R2ZEcxbjhaUkp0QTZwSldZbVhvcjVkU3JzdW80VlBLZzZTT3h5QzhmSUt3RUl5NlNHYklOMzc4cnU4b0NVSHUzWlRLbE1Ya2VKN095ZW5sVEtiR21QVFRZWHdDYl9IRFFZRnVRdmJJV0tqWF80RGxuUg?oc=5
DABUR,Dabur India Limited,"Dabur India Ltd spurts 0.45%, rises for fifth straight session - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPR3JQU1VWYXZRV2ZYVnMzYmZZaGNIRDhiRnVfUURVclZ3SVBlSW53bFI3UjZVVm0zWDhhTmxUWFdPVksza3YyY3JwWEk5QXlGdm02TjJNSVYwazFjMW50WEpfbFd6WjFtOGpIcGt5R1hrZVBsVERtRlJzaTY0NDJDWDBoZlJTZFFBU3dQbldqbUV2SnhQVk5NR3hzSnlMMldIdmZJVlJGVEhreElMeHBLODVDY25IRVdTMGFlYjlhUFo2NkxrMmxPUkdQeV9abWJtVDZzU2UxeDBjQdIB3wFBVV95cUxPZ1I2cFRtblc2bFlqak84azJfQ01tT0tBckw4cG5YZS1Lek5CeEVOUVRiSmNtMzdUdF9BLTQwV2FxdVFIUU9iN1BXNkFWRkk4Y05fakkzbVFVSUg0dk4zWG5lVnNiQ0VKaG1sWjlRSWlwWFpENTlpTXkzWHNfdnhLZk44eElPVGlQaE14Tk42TERrWDdhTjRjMFlGd0Q4dkUzLUVQSi1TOG5XS3ROT01MRHgtU3VwZ2tBRnRMdF9ZWDZrV2lKUlJXSXNnOHlZREt4RFFKWEFRS2FlWnRYWk5v?oc=5"" target=""_blank"">Dabur India Ltd spurts 0.45%, rises for fifth straight session</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2026-02-26 07:46:55,Business Standard,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPR3JQU1VWYXZRV2ZYVnMzYmZZaGNIRDhiRnVfUURVclZ3SVBlSW53bFI3UjZVVm0zWDhhTmxUWFdPVksza3YyY3JwWEk5QXlGdm02TjJNSVYwazFjMW50WEpfbFd6WjFtOGpIcGt5R1hrZVBsVERtRlJzaTY0NDJDWDBoZlJTZFFBU3dQbldqbUV2SnhQVk5NR3hzSnlMMldIdmZJVlJGVEhreElMeHBLODVDY25IRVdTMGFlYjlhUFo2NkxrMmxPUkdQeV9abWJtVDZzU2UxeDBjQdIB3wFBVV95cUxPZ1I2cFRtblc2bFlqak84azJfQ01tT0tBckw4cG5YZS1Lek5CeEVOUVRiSmNtMzdUdF9BLTQwV2FxdVFIUU9iN1BXNkFWRkk4Y05fakkzbVFVSUg0dk4zWG5lVnNiQ0VKaG1sWjlRSWlwWFpENTlpTXkzWHNfdnhLZk44eElPVGlQaE14Tk42TERrWDdhTjRjMFlGd0Q4dkUzLUVQSi1TOG5XS3ROT01MRHgtU3VwZ2tBRnRMdF9ZWDZrV2lKUlJXSXNnOHlZREt4RFFKWEFRS2FlWnRYWk5v?oc=5
DABUR,Dabur India Limited,Dabur shares fall after top-level management rejig - CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPXzg0cGFhN3VJTHh3Q2xTWEsxa1h2dG5aLUlzZEQwUkVFdkkyWXRuSFdxR255NzRjbGtKbUJZeVdHM1NydlZiWmczOFQ2a3V3TDRIakY2RTNRS1owZnRMTGhrNjJudGtSX1pFbGdkekN0WUJQb3l4UjMtZ2xneC1fblFIdTlicUc2ODM3bUd3dUNyNGkycmwwSkVZcmdXRXp2X0kwQi1jMG04bFVyZkJtOGtKTmhmM1pYMmJtX3BNYmF4Q1VLOGZoQlZMWU1xdlN4ZFp4WTRJRnNFdFFTc3RwWmw4U3fSAeoBQVVfeXFMT3BHWU56RE81d1ZRN0UtVnduY082VlNsLU8yVW1qdG03S1RabGxqalVNVGs5eHpnRUl5OTZaNTJEMGkwQzdpNC1GeFNYNXI4V29qalRIUm1QaVQ5VlFmQW82Tk83OHY0RF9LVldnUzhQOVNtRE5DQnN2S2Z4blQ2Z0RLTzlWcGZKbWFwZ2ZrTTBLWEc1eEVISUYyQ0t6Y2hQRnVsM1hPX3piMFp0aDcwSVlhV3ZIM0RIbUpUOEpUb2o4N2U5cHk3a1ZmNXJtUXhfMUlsdXBBWl9uMVJWdWs2Tm9HanFzWEdMOXRB?oc=5"" target=""_blank"">Dabur shares fall after top-level management rejig</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2026-02-18 08:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPXzg0cGFhN3VJTHh3Q2xTWEsxa1h2dG5aLUlzZEQwUkVFdkkyWXRuSFdxR255NzRjbGtKbUJZeVdHM1NydlZiWmczOFQ2a3V3TDRIakY2RTNRS1owZnRMTGhrNjJudGtSX1pFbGdkekN0WUJQb3l4UjMtZ2xneC1fblFIdTlicUc2ODM3bUd3dUNyNGkycmwwSkVZcmdXRXp2X0kwQi1jMG04bFVyZkJtOGtKTmhmM1pYMmJtX3BNYmF4Q1VLOGZoQlZMWU1xdlN4ZFp4WTRJRnNFdFFTc3RwWmw4U3fSAeoBQVVfeXFMT3BHWU56RE81d1ZRN0UtVnduY082VlNsLU8yVW1qdG03S1RabGxqalVNVGs5eHpnRUl5OTZaNTJEMGkwQzdpNC1GeFNYNXI4V29qalRIUm1QaVQ5VlFmQW82Tk83OHY0RF9LVldnUzhQOVNtRE5DQnN2S2Z4blQ2Z0RLTzlWcGZKbWFwZ2ZrTTBLWEc1eEVISUYyQ0t6Y2hQRnVsM1hPX3piMFp0aDcwSVlhV3ZIM0RIbUpUOEpUb2o4N2U5cHk3a1ZmNXJtUXhfMUlsdXBBWl9uMVJWdWs2Tm9HanFzWEdMOXRB?oc=5
DABUR,Dabur India Limited,Dabur India Ltd. Opens with Significant Gap Down Amid Market Concerns - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxNd0MtVy1nUnFaSklyTzB3T0hLLUhVc3hBNUNYYW9MNFNzWkxKTTZqWjBkSjd5WC1zOFN0R05zaEZKVEhwOXlVR2FYdlZzcXYxbW5JYW8tZVpDWHEwTTYwRFp4NHhSNFdZcFFXSDhWcE9fdFM5OGZDOXNBQ2dCN3h1TkNOYllfcm1uclI5Yjk3TXN5Y2YxVjFLV3JFZmZET1FUbURGODJMUWZDR1BaaDAyanZBWkRELVlhcDVkS2FhVXIxRENz?oc=5"" target=""_blank"">Dabur India Ltd. Opens with Significant Gap Down Amid Market Concerns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-02 09:10:58,Markets Mojo,https://news.google.com/rss/articles/CBMixAFBVV95cUxNd0MtVy1nUnFaSklyTzB3T0hLLUhVc3hBNUNYYW9MNFNzWkxKTTZqWjBkSjd5WC1zOFN0R05zaEZKVEhwOXlVR2FYdlZzcXYxbW5JYW8tZVpDWHEwTTYwRFp4NHhSNFdZcFFXSDhWcE9fdFM5OGZDOXNBQ2dCN3h1TkNOYllfcm1uclI5Yjk3TXN5Y2YxVjFLV3JFZmZET1FUbURGODJMUWZDR1BaaDAyanZBWkRELVlhcDVkS2FhVXIxRENz?oc=5
DABUR,Dabur India Limited,Dabur India Limited (NSE:DABUR) Stock's Been Sliding But Fundamentals Look Decent: Will The Market Correct The Share Price In The Future? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxPSldzNDNzQjNxcHdIRm5SWVRJSU5yRnd4eVg3aUVPVFN5ZWkxVDE0bi1Eak9LR1M2aXpiczUyR2lyTFQ2UGt0OHBTUWxadUl2WExBdXdOTTFhTnd3LURJTUJNTC1SUEdfTks1V1dQNWp0b3BxSi1rQktPMWdFNVVFSjZyQ0FiTlRzV3hib19RSFJIQngzdkJ4aUZ6RnBHa1hmYWplcmVNdzV6c1dRTkR2Y01veDBDc3JQT1RtN2lWUmg3WEZPZjdHM2tLX2dxZjFHdFRRTw?oc=5"" target=""_blank"">Dabur India Limited (NSE:DABUR) Stock's Been Sliding But Fundamentals Look Decent: Will The Market Correct The Share Price In The Future?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-18 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPSldzNDNzQjNxcHdIRm5SWVRJSU5yRnd4eVg3aUVPVFN5ZWkxVDE0bi1Eak9LR1M2aXpiczUyR2lyTFQ2UGt0OHBTUWxadUl2WExBdXdOTTFhTnd3LURJTUJNTC1SUEdfTks1V1dQNWp0b3BxSi1rQktPMWdFNVVFSjZyQ0FiTlRzV3hib19RSFJIQngzdkJ4aUZ6RnBHa1hmYWplcmVNdzV6c1dRTkR2Y01veDBDc3JQT1RtN2lWUmg3WEZPZjdHM2tLX2dxZjFHdFRRTw?oc=5
DABUR,Dabur India Limited,Dabur India Wins Tax Appeal as Appellate Authority Sets Aside Rs 3.12 Crore Demand - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQOGRPUmxOOTNtMEIxZEZnX0U4V1BFTk5PLUpvc2hWRF85YUx6c0Ffa3ZNV2FqMko0d0wyOUdrV2FHM2JCTVJaOFYwa1RYV2l4VC1XNHcwRXRGWW1PVThZbFJUTEhQZ3JmSmdGdzNPdmVnVEJ6NTdlcGhfU2JMVF8ybllYcWd4UFBqd3VxVW5ZX1NWN1gySkd6bjBrOEdFYmhjbmpMYkNLMUEwZmxoQVdzRkU3VlFRLU1PeFZ4MElpRkV1VFh6V1JON2JiSmQ0QlpUSEE?oc=5"" target=""_blank"">Dabur India Wins Tax Appeal as Appellate Authority Sets Aside Rs 3.12 Crore Demand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-27 12:55:47,scanx.trade,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQOGRPUmxOOTNtMEIxZEZnX0U4V1BFTk5PLUpvc2hWRF85YUx6c0Ffa3ZNV2FqMko0d0wyOUdrV2FHM2JCTVJaOFYwa1RYV2l4VC1XNHcwRXRGWW1PVThZbFJUTEhQZ3JmSmdGdzNPdmVnVEJ6NTdlcGhfU2JMVF8ybllYcWd4UFBqd3VxVW5ZX1NWN1gySkd6bjBrOEdFYmhjbmpMYkNLMUEwZmxoQVdzRkU3VlFRLU1PeFZ4MElpRkV1VFh6V1JON2JiSmQ0QlpUSEE?oc=5
