scrip,company,headline,summary,published_date,source,url
DEN,Den Networks Limited,DEN Networks Secures Approval for Reclassification of Access Equity Private Limited - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxQWGJ4eHVwOEg5NEpSN3I0eEdoRVQzQjJweW91UzFjSm9aTDliTF9hYjROcUhZYTdZcU8yeUloNmRVUkxHRzE0eHVhZElIR05maG83YXZianpyVXUxVTNaTHBBRlFqdHFlMTZ1OXZCak95cXhLSFE4OUg3cFh0aTgzU3NOLWY1Y0dFenhrRk5mek9OWWZucDM5MHdKRXk1Qm9GWWpfaUhnWk1COEZ1UVZ0dDNxT2Y1X09IVmYtXzhxWmtIUlRsR3lBMXgxLWRiSDJMWTdZMUxUZ1k4Mlljd1M5d2dn?oc=5"" target=""_blank"">DEN Networks Secures Approval for Reclassification of Access Equity Private Limited</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-28 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQWGJ4eHVwOEg5NEpSN3I0eEdoRVQzQjJweW91UzFjSm9aTDliTF9hYjROcUhZYTdZcU8yeUloNmRVUkxHRzE0eHVhZElIR05maG83YXZianpyVXUxVTNaTHBBRlFqdHFlMTZ1OXZCak95cXhLSFE4OUg3cFh0aTgzU3NOLWY1Y0dFenhrRk5mek9OWWZucDM5MHdKRXk1Qm9GWWpfaUhnWk1COEZ1UVZ0dDNxT2Y1X09IVmYtXzhxWmtIUlRsR3lBMXgxLWRiSDJMWTdZMUxUZ1k4Mlljd1M5d2dn?oc=5
DEN,Den Networks Limited,Den Networks Ltd - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTFBha0lmYmVBdkdLVUFZLUEzb1l3MnhLdjBCd1B6TVk2eUpwdlp4cE9jY0FSaXVvTW55ajI3MXNtbVl5T0ZEdkNMRGVqOUpjUG5WV1haWFBXU2RMV1E1?oc=5"" target=""_blank"">Den Networks Ltd</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2025-09-29 08:39:50,Equitypandit,https://news.google.com/rss/articles/CBMiXEFVX3lxTFBha0lmYmVBdkdLVUFZLUEzb1l3MnhLdjBCd1B6TVk2eUpwdlp4cE9jY0FSaXVvTW55ajI3MXNtbVl5T0ZEdkNMRGVqOUpjUG5WV1haWFBXU2RMV1E1?oc=5
DEN,Den Networks Limited,Den Networks gains as Q1 PAT jumps 24% YoY to Rs 54 cr - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNMWM0YUhGVlhOZ0F1dkFZYzZ3YnFNeHBQQ05BRmFXeHY4U2R5Nlp5RF8ybDNKcV9RSVdHRDlLNGZiZGw4cVRLVTZDQXRQSHE3VzRXTXpydlRyOENtLXR2X0h5bzJRYTR6ZjhWYzZ6czRpMUVCeDZYQmNCZTBJQkdqUlBuaWc2YkhPaWxrZmRKWlRvbmVPa1lGYWd3TC1nN3hlQ2JpNnc0c3dMRFpvVkk0YXpEeVNZM1lKcGc3YnNiTnd2ZU1yT19KTlk0RmhKYzhh0gHWAUFVX3lxTE85UUdwdjZLejdDcC11ZnpaRUR3eWtLM0owaUt4Q0F1U0wyMk9Sdm1Bb0VmM1hMLXBzWk9PRERKQkptcEg0Nk1PQTVkMjFZMWpCNU01dWhfa05kQ3ZyVVlZQ3RNN2pYSDVXaUd6ckNQTEoydnFJZWR1MDU2MjhVQk0tMS11aDRpZ1U5UGNoUjlvcnJvWmlWTS0yV21oZGFjbGVFd0FVdVZ1VS01a0FHa0xORGNXXzMzd0YwQk5SRjMzRXFDMHBGeWZCRWZOQVIxMnpKWDMzNGc?oc=5"" target=""_blank"">Den Networks gains as Q1 PAT jumps 24% YoY to Rs 54 cr</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-07-15 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNMWM0YUhGVlhOZ0F1dkFZYzZ3YnFNeHBQQ05BRmFXeHY4U2R5Nlp5RF8ybDNKcV9RSVdHRDlLNGZiZGw4cVRLVTZDQXRQSHE3VzRXTXpydlRyOENtLXR2X0h5bzJRYTR6ZjhWYzZ6czRpMUVCeDZYQmNCZTBJQkdqUlBuaWc2YkhPaWxrZmRKWlRvbmVPa1lGYWd3TC1nN3hlQ2JpNnc0c3dMRFpvVkk0YXpEeVNZM1lKcGc3YnNiTnd2ZU1yT19KTlk0RmhKYzhh0gHWAUFVX3lxTE85UUdwdjZLejdDcC11ZnpaRUR3eWtLM0owaUt4Q0F1U0wyMk9Sdm1Bb0VmM1hMLXBzWk9PRERKQkptcEg0Nk1PQTVkMjFZMWpCNU01dWhfa05kQ3ZyVVlZQ3RNN2pYSDVXaUd6ckNQTEoydnFJZWR1MDU2MjhVQk0tMS11aDRpZ1U5UGNoUjlvcnJvWmlWTS0yV21oZGFjbGVFd0FVdVZ1VS01a0FHa0xORGNXXzMzd0YwQk5SRjMzRXFDMHBGeWZCRWZOQVIxMnpKWDMzNGc?oc=5
DEN,Den Networks Limited,DEN Networks (NSE:DEN) Has Debt But No Earnings; Should You Worry? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNWkxJcGFxeERwYl84cUNZVjlXcXJQdHg5MENQVGplNjZkemRwMmtHZC1HdGEwMWxMblNxM0E3OXN2QVRJNHE3eWFjOUpIRXZxWi1HNzdRM29kQ3hMMWhyRk5UeF9ONTNkSlpPYmZnaUdlcTNvMEFabjlyWHo0ZjlsU0JvaTVycVNqXzdYRFRfb1B3RThWZzZwMjNjQ2FVNFg4Q2ZPVXJQTDNqMEp2dUZlX190a2M0OGhORkE0R1JkaXRYeFNocEtCeHZ0QQ?oc=5"" target=""_blank"">DEN Networks (NSE:DEN) Has Debt But No Earnings; Should You Worry?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-03-25 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMiywFBVV95cUxNWkxJcGFxeERwYl84cUNZVjlXcXJQdHg5MENQVGplNjZkemRwMmtHZC1HdGEwMWxMblNxM0E3OXN2QVRJNHE3eWFjOUpIRXZxWi1HNzdRM29kQ3hMMWhyRk5UeF9ONTNkSlpPYmZnaUdlcTNvMEFabjlyWHo0ZjlsU0JvaTVycVNqXzdYRFRfb1B3RThWZzZwMjNjQ2FVNFg4Q2ZPVXJQTDNqMEp2dUZlX190a2M0OGhORkE0R1JkaXRYeFNocEtCeHZ0QQ?oc=5
DEN,Den Networks Limited,DEN Networks Limited (DEN.NS) Stock Forecast & Price Predictions - Meyka,"<a href=""https://news.google.com/rss/articles/CBMiVkFVX3lxTE5LMlB4cTg4cndMalpCR1lOZG1aZVZvN0ExTzd3SDhUSDA2MlE2TDhONENoOGdvMTNIWS04OFRoUTY3NDYxcWJxNWprc2l1cnYySEpoX3VB?oc=5"" target=""_blank"">DEN Networks Limited (DEN.NS) Stock Forecast & Price Predictions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2026-02-24 13:22:50,Meyka,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5LMlB4cTg4cndMalpCR1lOZG1aZVZvN0ExTzd3SDhUSDA2MlE2TDhONENoOGdvMTNIWS04OFRoUTY3NDYxcWJxNWprc2l1cnYySEpoX3VB?oc=5
DEN,Den Networks Limited,"Den Networks Standalone September 2025 Net Sales at Rs 248.02 crore, up 1.35% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxNS3RodlNGaDMxZk1seVpaYmhYdFMxRUh3NzJfLUwtUWlLZHktX2JITVhueXFTLVpBUXhyaTE1bzN6aU5mWkFSd2ItbGJ5bVhuMVM2bnpLblhIX3pXOEM0SHVZWHgxNlRtVG1VNUJpS3RoT2VwUHFDSXB2LVZrei00bzlyRk83aUtQMVdYNU5jUF9KZ0lLd0xFWmc5cUVhUlFKb2d3ODZRV2Y0OGJKaTVzS2xOb0hyZG1SQ3lkU09XLVVzcWtIcWV2MkpVV2M2R0o0WGNPR3FqMEU3UmdEWUpyedIB5gFBVV95cUxQUjdUaEZRZEU0YmgtRlU3bGhPYXdERlFrS1pQSmFYYzhRc1JxLXdBU01VNFVraTNJWDFSZkZ3ZzBGbU1DbEhjWmw2T1RwdDBoOHZzX1l6c1JaSGRHcnFPekFnVXd4UEZiR3hlZVBhZk05TFRKLW96YS1jM29mc3F5dFZyalBMcVYzNkRlWEhiTXZtbjdwbFk0S0dTVURWb0pyeHhaMXFfWTNzUUJfMkNEc1I4WldVTjhiZXRXYi1Ld3R0V1kxa0NlbkNLMy1qbnd5bDI4T2R2SUkyYk5PS1RmRkQ1clR0QQ?oc=5"" target=""_blank"">Den Networks Standalone September 2025 Net Sales at Rs 248.02 crore, up 1.35% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-10-14 07:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNS3RodlNGaDMxZk1seVpaYmhYdFMxRUh3NzJfLUwtUWlLZHktX2JITVhueXFTLVpBUXhyaTE1bzN6aU5mWkFSd2ItbGJ5bVhuMVM2bnpLblhIX3pXOEM0SHVZWHgxNlRtVG1VNUJpS3RoT2VwUHFDSXB2LVZrei00bzlyRk83aUtQMVdYNU5jUF9KZ0lLd0xFWmc5cUVhUlFKb2d3ODZRV2Y0OGJKaTVzS2xOb0hyZG1SQ3lkU09XLVVzcWtIcWV2MkpVV2M2R0o0WGNPR3FqMEU3UmdEWUpyedIB5gFBVV95cUxQUjdUaEZRZEU0YmgtRlU3bGhPYXdERlFrS1pQSmFYYzhRc1JxLXdBU01VNFVraTNJWDFSZkZ3ZzBGbU1DbEhjWmw2T1RwdDBoOHZzX1l6c1JaSGRHcnFPekFnVXd4UEZiR3hlZVBhZk05TFRKLW96YS1jM29mc3F5dFZyalBMcVYzNkRlWEhiTXZtbjdwbFk0S0dTVURWb0pyeHhaMXFfWTNzUUJfMkNEc1I4WldVTjhiZXRXYi1Ld3R0V1kxa0NlbkNLMy1qbnd5bDI4T2R2SUkyYk5PS1RmRkQ1clR0QQ?oc=5
DEN,Den Networks Limited,Den Networks Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxOX3ZPMDRWbzQwYTY3eC1pRC05ZlI2SW1vYXB3eVdpQlV4amxhNTF5eWxWRTJyTlJ6Wkh3STE2S1Q0aGVYb0hBSmhnM0JibE9iUXhwWGNvYm9CNlJucDJWOFZ4VjNGT3Q4VzBmMXpScS1vLV9XOExSVjBUOFdYM3JmbUctWkUzbkRCbV81RF9ZNHNYSG9qSUZ2UExucndrdGdq?oc=5"" target=""_blank"">Den Networks Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-25 05:38:24,Markets Mojo,https://news.google.com/rss/articles/CBMioAFBVV95cUxOX3ZPMDRWbzQwYTY3eC1pRC05ZlI2SW1vYXB3eVdpQlV4amxhNTF5eWxWRTJyTlJ6Wkh3STE2S1Q0aGVYb0hBSmhnM0JibE9iUXhwWGNvYm9CNlJucDJWOFZ4VjNGT3Q4VzBmMXpScS1vLV9XOExSVjBUOFdYM3JmbUctWkUzbkRCbV81RF9ZNHNYSG9qSUZ2UExucndrdGdq?oc=5
DEN,Den Networks Limited,DEN Networks Approves Reclassification of Access Equity Private Limited from Promoter Group to Public Category - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxPZFBSUXRkSDR6M251Uk9QRkdhUXFkdWxUSG9EbXV1NmVZalBXWlhQNW9GY0xfbG9ZMkw2UzFJd09SeUgzZTc1c2hTdGNqQzVxQkRFcGxCNVEwbE1hLWpaYlRfbHpXX0JvU2xERFZJYi0tb09wOVdxcjlTeDQybWVvYXJLM3k0em82QmduSXVsU1FYdlE1ZmJCNHo5OWNtTDBkTTE5TndRRkxvSnMwSWNoS280UGJVVTZYQjBzRmt5UlQzTjM0UFM0TWhneVByQXZyZVJDbjY5OTBBSl9jczBNeUpxdmtEYnlraWhVNXlEbzAzMXF2MTZj?oc=5"" target=""_blank"">DEN Networks Approves Reclassification of Access Equity Private Limited from Promoter Group to Public Category</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-13 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi9wFBVV95cUxPZFBSUXRkSDR6M251Uk9QRkdhUXFkdWxUSG9EbXV1NmVZalBXWlhQNW9GY0xfbG9ZMkw2UzFJd09SeUgzZTc1c2hTdGNqQzVxQkRFcGxCNVEwbE1hLWpaYlRfbHpXX0JvU2xERFZJYi0tb09wOVdxcjlTeDQybWVvYXJLM3k0em82QmduSXVsU1FYdlE1ZmJCNHo5OWNtTDBkTTE5TndRRkxvSnMwSWNoS280UGJVVTZYQjBzRmt5UlQzTjM0UFM0TWhneVByQXZyZVJDbjY5OTBBSl9jczBNeUpxdmtEYnlraWhVNXlEbzAzMXF2MTZj?oc=5
DEN,Den Networks Limited,"Den Networks Reports ₹888 Crore Profit, Eyes Digital Expansion with ₹3,254 Crore Cash Reserves - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxNbVhlY09PMWxTMG0weVl2QWZnNmUtVGg3LXdxbE9XN3ZfRFNsLUZJaHN5T2ZmR3BHWGU1WlJtZUd3cW9FeC1KTGduN2NLSVVSaGE5Uy1XMHNhTEZNVjZYeGcxaVJaVk5PdGtLb3NVSDlJbmt5UEJWTnhsY3Z2LS1kdE9Kb1ExaVZ3X3UteEd1WmxIeXBEVVpXS1E0RV92OFdhR1VvZXBPS0ozR083TTJSUERFbllBU20zVnFiQnNCbVlUWEt3MEd0SEFOMlB4UkZ6M2stOEpwVDRZUFZtcEU4NA?oc=5"" target=""_blank"">Den Networks Reports ₹888 Crore Profit, Eyes Digital Expansion with ₹3,254 Crore Cash Reserves</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-13 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNbVhlY09PMWxTMG0weVl2QWZnNmUtVGg3LXdxbE9XN3ZfRFNsLUZJaHN5T2ZmR3BHWGU1WlJtZUd3cW9FeC1KTGduN2NLSVVSaGE5Uy1XMHNhTEZNVjZYeGcxaVJaVk5PdGtLb3NVSDlJbmt5UEJWTnhsY3Z2LS1kdE9Kb1ExaVZ3X3UteEd1WmxIeXBEVVpXS1E0RV92OFdhR1VvZXBPS0ozR083TTJSUERFbllBU20zVnFiQnNCbVlUWEt3MEd0SEFOMlB4UkZ6M2stOEpwVDRZUFZtcEU4NA?oc=5
DEN,Den Networks Limited,DEN Networks Divests Stakes in Three Non-Operating Subsidiaries for Nominal Sum - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxOM3FKYzh2dlRCWDhyTGY3cXFUYUVWQURzZl9MTzYzMGRVd1lidXRKc1JINU5lSkZENFhVSGtvd0tlYVg0OUc4TEZBVGpZdVdiN2dOLTlQTTEwanNjOHE2T0MtU1F6akhnWWNhWG5PdHlIYUt4aThoRVNGOC1DN3dBX1NkVDAtTEJpbkJxdU5kd1V6QjJlYzNIcURKNW1kc0pIbEkwakNaZ1IwLUxZTVQ3RXBtSkFhYmtaOV84TWJJVUJ3RUY2ZlVSZmxRT1dsbmNHZ3VsbzNXeUpQZGp2?oc=5"" target=""_blank"">DEN Networks Divests Stakes in Three Non-Operating Subsidiaries for Nominal Sum</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-26 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi3AFBVV95cUxOM3FKYzh2dlRCWDhyTGY3cXFUYUVWQURzZl9MTzYzMGRVd1lidXRKc1JINU5lSkZENFhVSGtvd0tlYVg0OUc4TEZBVGpZdVdiN2dOLTlQTTEwanNjOHE2T0MtU1F6akhnWWNhWG5PdHlIYUt4aThoRVNGOC1DN3dBX1NkVDAtTEJpbkJxdU5kd1V6QjJlYzNIcURKNW1kc0pIbEkwakNaZ1IwLUxZTVQ3RXBtSkFhYmtaOV84TWJJVUJ3RUY2ZlVSZmxRT1dsbmNHZ3VsbzNXeUpQZGp2?oc=5
