scrip,company,headline,summary,published_date,source,url
DHANUKA,Dhanuka Agritech Limited,Dhanuka Agritech Limited Just Missed Revenue By 14%: Here's What Analysts Think Will Happen Next - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxOZUNWUUN4Q2lPcmJPTnQ5V2J1dkF4ZXpJT0FLcTdvblkwX0lUcXB0MW0yc1pVQ0VlY1o4azNLa2dfTE9iX2Rnczk4TGhhY3haZWs2RF9jMlBuTGw1VjE1U0FkMVZ6Tm5tUFVrelVmZE5UNXpzaEk0RmhTOGhJS05zbHo0UVh4R3RMY3hGWW1ncHJwMHdYM1pZNmM3N29DTjhIb21fNjNJdUlNZXozRnBnSk5xTHV4Yzk5SHRsNE1CV0ZoWXZsbzRSeUlVUklfNTdKMW9OTlBHNXBuOVnSAeABQVVfeXFMUENXa3NMa3luZlF2U0VBRF9LMXlSa3oxYU9iSGg3MmFYMHVFYXR1M2g4N0ptaklhZlVnbkh5T201SnNjM2luTkMyajFsbUJ2YUM3R0ZtNEhlcldhalJ5aWN4WXFvMWxRckhaVTdZcVdraFJqcm52S214VEFKc1lyRGRxeUxVZHJ5VzYzWnpweDZQTzJjTUtXWVhkM015Mm5pOTVpN2RKVjNjbHVKVnczRkZyQm5KSVBoNTFhY2R3N2tMNzladGZwYVNJY2drQmRRLXRSWmNjSWJ0bmhLVHlLZGM?oc=5"" target=""_blank"">Dhanuka Agritech Limited Just Missed Revenue By 14%: Here's What Analysts Think Will Happen Next</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-08 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOZUNWUUN4Q2lPcmJPTnQ5V2J1dkF4ZXpJT0FLcTdvblkwX0lUcXB0MW0yc1pVQ0VlY1o4azNLa2dfTE9iX2Rnczk4TGhhY3haZWs2RF9jMlBuTGw1VjE1U0FkMVZ6Tm5tUFVrelVmZE5UNXpzaEk0RmhTOGhJS05zbHo0UVh4R3RMY3hGWW1ncHJwMHdYM1pZNmM3N29DTjhIb21fNjNJdUlNZXozRnBnSk5xTHV4Yzk5SHRsNE1CV0ZoWXZsbzRSeUlVUklfNTdKMW9OTlBHNXBuOVnSAeABQVVfeXFMUENXa3NMa3luZlF2U0VBRF9LMXlSa3oxYU9iSGg3MmFYMHVFYXR1M2g4N0ptaklhZlVnbkh5T201SnNjM2luTkMyajFsbUJ2YUM3R0ZtNEhlcldhalJ5aWN4WXFvMWxRckhaVTdZcVdraFJqcm52S214VEFKc1lyRGRxeUxVZHJ5VzYzWnpweDZQTzJjTUtXWVhkM015Mm5pOTVpN2RKVjNjbHVKVnczRkZyQm5KSVBoNTFhY2R3N2tMNzladGZwYVNJY2drQmRRLXRSWmNjSWJ0bmhLVHlLZGM?oc=5
DHANUKA,Dhanuka Agritech Limited,Dhanuka Agritech Ltd Faces Bearish Momentum Amid Technical Parameter Shift - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQQ2d5NDR3MmYtVDdLdEtsM18yRHQ5WjByX1UwSkYza19OVk1sVXN6WGpHM0pvZFJIeWtUU2pBQlQ0d2dvbkt5emF3R2RvbndocXU0Nm04VHRIdDJuTHFaSXNBUmZhbGZyQ1NFQjYzRENDekRmaEI5LWlBTHVIWC1mbERBUHhwb1hnUHpGaDR4V0xYOEFvRm5yWmNaNTEyX2pNX29JWXJQWEhjdmViS2JxN2RxekdPeTFuRUZsc0ZfNEpqdXJLYS1CV1VQVVg?oc=5"" target=""_blank"">Dhanuka Agritech Ltd Faces Bearish Momentum Amid Technical Parameter Shift</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-02 03:15:20,Markets Mojo,https://news.google.com/rss/articles/CBMizAFBVV95cUxQQ2d5NDR3MmYtVDdLdEtsM18yRHQ5WjByX1UwSkYza19OVk1sVXN6WGpHM0pvZFJIeWtUU2pBQlQ0d2dvbkt5emF3R2RvbndocXU0Nm04VHRIdDJuTHFaSXNBUmZhbGZyQ1NFQjYzRENDekRmaEI5LWlBTHVIWC1mbERBUHhwb1hnUHpGaDR4V0xYOEFvRm5yWmNaNTEyX2pNX29JWXJQWEhjdmViS2JxN2RxekdPeTFuRUZsc0ZfNEpqdXJLYS1CV1VQVVg?oc=5
DHANUKA,Dhanuka Agritech Limited,DSP Trustee Private Limited Increases Stake in Dhanuka Agritech to 9.36% - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOdkdPeW1EcmNUUFN1WVJVUDc4aDQxbG0wNTVoSkt4LUNMRGJWSnlwMGlEX0JXZ0w5cWRsLXFmNXhVRkRlU3FOS3ZYQnNUalJNcXcwREdqTmgzSnM3bWR2eFhDOEhiZjctRHowcEw0QU4yckZIbnZ1d3VOOGRxbGVQX3hHU2U1UEw3d1h1VEVrdUdfMUFLZ0JUWmhTYy0waEZlM2EwTW5tcURiQ1NNYWlGS3ZXWVJqamRfR1lYX2Nva3d0b3BhazVkZzBiRQ?oc=5"" target=""_blank"">DSP Trustee Private Limited Increases Stake in Dhanuka Agritech to 9.36%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-18 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiywFBVV95cUxOdkdPeW1EcmNUUFN1WVJVUDc4aDQxbG0wNTVoSkt4LUNMRGJWSnlwMGlEX0JXZ0w5cWRsLXFmNXhVRkRlU3FOS3ZYQnNUalJNcXcwREdqTmgzSnM3bWR2eFhDOEhiZjctRHowcEw0QU4yckZIbnZ1d3VOOGRxbGVQX3hHU2U1UEw3d1h1VEVrdUdfMUFLZ0JUWmhTYy0waEZlM2EwTW5tcURiQ1NNYWlGS3ZXWVJqamRfR1lYX2Nva3d0b3BhazVkZzBiRQ?oc=5
DHANUKA,Dhanuka Agritech Limited,Dhanuka Agritech Shares Dip 3.18% After Q2FY26 Profit Falls 20% YoY - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxQdFV2R1gxbGFvMDIyZ1Ficzh2NzFFZHQ5SWpBbTFJU1dzc2UyQTUwOUQ5TWwyT0daaFcwb1RQZ01KaW9VNEpoRENrcFBWaUhLa2tWOGI2OVRpYy05b2FoNUc2MXlucFBWRl8zdjgyUHR4LUFNZnUzckZfTEh0ajloWFZVWHpCdkFwV2ljbVg1YXdCRU5oQWpqeDdpMA?oc=5"" target=""_blank"">Dhanuka Agritech Shares Dip 3.18% After Q2FY26 Profit Falls 20% YoY</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-31 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMimwFBVV95cUxQdFV2R1gxbGFvMDIyZ1Ficzh2NzFFZHQ5SWpBbTFJU1dzc2UyQTUwOUQ5TWwyT0daaFcwb1RQZ01KaW9VNEpoRENrcFBWaUhLa2tWOGI2OVRpYy05b2FoNUc2MXlucFBWRl8zdjgyUHR4LUFNZnUzckZfTEh0ajloWFZVWHpCdkFwV2ljbVg1YXdCRU5oQWpqeDdpMA?oc=5
DHANUKA,Dhanuka Agritech Limited,"Dhanuka Agri Q2 Results: Stock falls after decline in revenue, profit; margin narrows - CNBC TV18","<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxPVW1QXzlKS3hlN0VndUY5LWlIZWRfMlE3a0lmTmQ4dGhSbGpRekdZaXJlc18zZzl6SExxb0pGTjlMeU5CdGhubmNlV2d0V3BwaHRGTzNOdHNFRld2YVROX3BzTUtZWGxfT0RwdUZmYXYxZWkzZ0g3OHRIMjd3OTAtamJtLWhoNUtucEtJN25nYU5mVkJpR2xmWHRrdmhfdU8wSVdjOEl3cGxyOFNySVhJUmtDdE9LLVY1aTNidVB4QUxYT2xiRUN0aXoxbU1kR2PSAdQBQVVfeXFMUGQwN1I4Nk04QjFqZGo3TlhvZ291VzJPNG41WnJsU2VjTHlvWkl3M0Nlbi1qSzBUMlA3SGdFSkVhS2NaMDZ3RExvMkVVWWIzcjdXREtQU2x6UVd0bE9aaTREUFFNQWdJOFlTUkdpeEQ4QkdiTFhpcC1xTUpOaTRXNlNaSXJkejBmcFlVUmhqVC1GUlRYVWxpdUlzLWctVXBrcHZheDUzcVg1QkVMbW45WmJxZVdVNDNNczN0bHBJTHU1WThWX3ZqUElmMEZXdHdRSERQRjk?oc=5"" target=""_blank"">Dhanuka Agri Q2 Results: Stock falls after decline in revenue, profit; margin narrows</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2025-10-31 07:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMizwFBVV95cUxPVW1QXzlKS3hlN0VndUY5LWlIZWRfMlE3a0lmTmQ4dGhSbGpRekdZaXJlc18zZzl6SExxb0pGTjlMeU5CdGhubmNlV2d0V3BwaHRGTzNOdHNFRld2YVROX3BzTUtZWGxfT0RwdUZmYXYxZWkzZ0g3OHRIMjd3OTAtamJtLWhoNUtucEtJN25nYU5mVkJpR2xmWHRrdmhfdU8wSVdjOEl3cGxyOFNySVhJUmtDdE9LLVY1aTNidVB4QUxYT2xiRUN0aXoxbU1kR2PSAdQBQVVfeXFMUGQwN1I4Nk04QjFqZGo3TlhvZ291VzJPNG41WnJsU2VjTHlvWkl3M0Nlbi1qSzBUMlA3SGdFSkVhS2NaMDZ3RExvMkVVWWIzcjdXREtQU2x6UVd0bE9aaTREUFFNQWdJOFlTUkdpeEQ4QkdiTFhpcC1xTUpOaTRXNlNaSXJkejBmcFlVUmhqVC1GUlRYVWxpdUlzLWctVXBrcHZheDUzcVg1QkVMbW45WmJxZVdVNDNNczN0bHBJTHU1WThWX3ZqUElmMEZXdHdRSERQRjk?oc=5
DHANUKA,Dhanuka Agritech Limited,A Look At The Fair Value Of Dhanuka Agritech Limited (NSE:DHANUKA) - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPdExXVnlTaGRNSDB6WlZ6aUtmNS13X0RIODdEVjdjU1FsNWNJa1ZlUmFnQ3FJdF8yWjd0ZFpiM0ZMZGE3WHRKSFhwYnMzREZuRjNxZldtY0NSRTFiWmdIU1dmcnNYYTNuckhWeHJxQUNOd1JualRrMm0wYzJBdkE5c2R5LXNud0Zubzc5Zkt0TDJxN3BvOGFScEI2cmw4U0dnMjJtRXdhR1YwUm1EbzI3cmtSR3FaU2Z3T3NWLTE2ejBjdktMQ3RZU09lUm1pbmpSOHQzaGpuM2RJTGfSAeABQVVfeXFMTWp3WTBLbXpKdUF3a2ZqMlVEcklfdE9zZkZFMDhUcUJGMHhJck5zZFRuUWJsZExOX24zcVBSZzVtZGVmeFc0SUxocWRUampYdXdwOXlXZFNIT1Z4YWR1TlA3ZFlPSUxLTVJEMVZ0UTRBMkE2T0ZodVZwcTBmMkhGekdnTE1tUE1jNDJqMjRPc3NReEhFS0Y0eENreEFNeE5pSmFJUkNsdWcycGxfNWRpUnhIOFVaaVhRZk5uOS1yRmVlT25WWkJnM1ktN0V5eWhUV3VvbWR3OHRKdk9xeEtOalA?oc=5"" target=""_blank"">A Look At The Fair Value Of Dhanuka Agritech Limited (NSE:DHANUKA)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-10-15 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPdExXVnlTaGRNSDB6WlZ6aUtmNS13X0RIODdEVjdjU1FsNWNJa1ZlUmFnQ3FJdF8yWjd0ZFpiM0ZMZGE3WHRKSFhwYnMzREZuRjNxZldtY0NSRTFiWmdIU1dmcnNYYTNuckhWeHJxQUNOd1JualRrMm0wYzJBdkE5c2R5LXNud0Zubzc5Zkt0TDJxN3BvOGFScEI2cmw4U0dnMjJtRXdhR1YwUm1EbzI3cmtSR3FaU2Z3T3NWLTE2ejBjdktMQ3RZU09lUm1pbmpSOHQzaGpuM2RJTGfSAeABQVVfeXFMTWp3WTBLbXpKdUF3a2ZqMlVEcklfdE9zZkZFMDhUcUJGMHhJck5zZFRuUWJsZExOX24zcVBSZzVtZGVmeFc0SUxocWRUampYdXdwOXlXZFNIT1Z4YWR1TlA3ZFlPSUxLTVJEMVZ0UTRBMkE2T0ZodVZwcTBmMkhGekdnTE1tUE1jNDJqMjRPc3NReEhFS0Y0eENreEFNeE5pSmFJUkNsdWcycGxfNWRpUnhIOFVaaVhRZk5uOS1yRmVlT25WWkJnM1ktN0V5eWhUV3VvbWR3OHRKdk9xeEtOalA?oc=5
DHANUKA,Dhanuka Agritech Limited,Dhanuka Agritech Plans Expansion Amid Q2 Financial Headwinds - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxNUzZCeENhYmtvMHExV3lhRkVSdmRMTGgzZ3JjTXNrS1N5d2NRUmY0cFlNV1JKLVJiSEZWSEt2aXZuV1VFOTc5dkJLNlBEU0hGZ0FtcFhwTU05c0tJa3dyalJWZVE2OFBVNnkybGs0R1ZKMVJmdnhQSXdNNVlmM2tGNGp2dkxlOXhhN2NYM0Y3Wkc3WmJsdFAzX2VtR2JmWExaWGxoS3VhZWt4U0NWWXNtNFl0bnZKcGlJMG45ajJmbmo3NmM?oc=5"" target=""_blank"">Dhanuka Agritech Plans Expansion Amid Q2 Financial Headwinds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-31 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNUzZCeENhYmtvMHExV3lhRkVSdmRMTGgzZ3JjTXNrS1N5d2NRUmY0cFlNV1JKLVJiSEZWSEt2aXZuV1VFOTc5dkJLNlBEU0hGZ0FtcFhwTU05c0tJa3dyalJWZVE2OFBVNnkybGs0R1ZKMVJmdnhQSXdNNVlmM2tGNGp2dkxlOXhhN2NYM0Y3Wkc3WmJsdFAzX2VtR2JmWExaWGxoS3VhZWt4U0NWWXNtNFl0bnZKcGlJMG45ajJmbmo3NmM?oc=5
DHANUKA,Dhanuka Agritech Limited,Is It Smart To Buy Dhanuka Agritech Limited (NSE:DHANUKA) Before It Goes Ex-Dividend? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxNRDY2UG5feGhVZHJGaUZma3NmRC11MW1ac2F5c01jbkhYVjlGb09wZ1NQUnJENG8wSHhqeEtzbFEwRFlEa194cUdtNVhhS2gyOENYZTh6bTI3Y3lCWXlzYmpqZG01bDZlMzlvQWZlRjNJamNlUTVqbGdFdWJYbG9kcjE3OUdXa1RkS2tMRHlmcmJYMTFoekstcTQwUXE4WENxTFdFUEJpTlZsTV9IbUwwRlBuRUZJc01TTWhKa1ZvbTktaXd6Z2oxd3pOZmVELTBNOW9TaW9EMVEwZknSAeABQVVfeXFMTUNZU2YzZW1scjhHdFJvWFB3SE01Wmo0WW9BX01WTXpCN19KSnE4T1Q5X09fcGl6OE1MYW5ldG5NVlp0RlZRd2RhdGpNb3VtRldjNkhPOHZHOXlObFl4WWozM1pyTDNPWExWVWRrbHByT3F5NGhTck1uU2RMV2pvTHAxTEc1d19UM0RXdTAtTE1acjQ3NkZfTnAzbUw3MnpJMVk4V0RUSFN5Q3pkdE5mcmlNd1J2TlRaOVZxZWRsVGtmZHdWMHRxd1E1Q2MtcVdhb2UtNzE0QmxBVlN1a2ZRUHE?oc=5"" target=""_blank"">Is It Smart To Buy Dhanuka Agritech Limited (NSE:DHANUKA) Before It Goes Ex-Dividend?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-14 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNRDY2UG5feGhVZHJGaUZma3NmRC11MW1ac2F5c01jbkhYVjlGb09wZ1NQUnJENG8wSHhqeEtzbFEwRFlEa194cUdtNVhhS2gyOENYZTh6bTI3Y3lCWXlzYmpqZG01bDZlMzlvQWZlRjNJamNlUTVqbGdFdWJYbG9kcjE3OUdXa1RkS2tMRHlmcmJYMTFoekstcTQwUXE4WENxTFdFUEJpTlZsTV9IbUwwRlBuRUZJc01TTWhKa1ZvbTktaXd6Z2oxd3pOZmVELTBNOW9TaW9EMVEwZknSAeABQVVfeXFMTUNZU2YzZW1scjhHdFJvWFB3SE01Wmo0WW9BX01WTXpCN19KSnE4T1Q5X09fcGl6OE1MYW5ldG5NVlp0RlZRd2RhdGpNb3VtRldjNkhPOHZHOXlObFl4WWozM1pyTDNPWExWVWRrbHByT3F5NGhTck1uU2RMV2pvTHAxTEc1d19UM0RXdTAtTE1acjQ3NkZfTnAzbUw3MnpJMVk4V0RUSFN5Q3pkdE5mcmlNd1J2TlRaOVZxZWRsVGtmZHdWMHRxd1E1Q2MtcVdhb2UtNzE0QmxBVlN1a2ZRUHE?oc=5
DHANUKA,Dhanuka Agritech Limited,Dhanuka Agritech Q2 FY26 Revenue Dips 8.6% Amid Weather Challenges - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNUjdfTkhYS1J2cVhhaEN2eGhETjhiTDVsaW1WQ3Vfdk1faFEydFVfcjQ4cU1tdnBFRHRhZGhPNHRJcFlJY1M5QjU2bWkwelBhMTFOZG5IWnhHQUtib0dLQ1dvVE1JNnhWR2JZal9jSk80MXR3NEJwZENjcFdTTVFrdTR2Rlh5QkYzdmMxSTlWNnpLaEI2VWlNTldFUFpGNEVSTUJGZWw0ZE1qVlMtdnlMRnF1dDlzdTFhUjZSQ0d3?oc=5"" target=""_blank"">Dhanuka Agritech Q2 FY26 Revenue Dips 8.6% Amid Weather Challenges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-04 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMivgFBVV95cUxNUjdfTkhYS1J2cVhhaEN2eGhETjhiTDVsaW1WQ3Vfdk1faFEydFVfcjQ4cU1tdnBFRHRhZGhPNHRJcFlJY1M5QjU2bWkwelBhMTFOZG5IWnhHQUtib0dLQ1dvVE1JNnhWR2JZal9jSk80MXR3NEJwZENjcFdTTVFrdTR2Rlh5QkYzdmMxSTlWNnpLaEI2VWlNTldFUFpGNEVSTUJGZWw0ZE1qVlMtdnlMRnF1dDlzdTFhUjZSQ0d3?oc=5
DHANUKA,Dhanuka Agritech Limited,Is Dhanuka Agritech (NSE:DHANUKA) Using Too Much Debt? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPNEdpbW5jYVFZdDRUcFU3WnhFUDZfN1VXeGFRLXJpbUVqbXlsQkp4bTJla2dlblpxNXpoSDNzc2JwZjJ5b0xoM1lQekdfVG9VVmdvSnNlMV9TZFBxT3RfcS1lNVhwR3pyZ3dOQzhJM3dMeFE1cFZKLUxHN3RGRzRjS1lRM25yeXI4TURZdmZaUF9LWmtJdmRPcWVnbjd6eWdGcFlSSUR5UkdQVTJOa002aVh0MGxfTjQxSHVVckliYTkyQ3NRQ2tRYUhzdFpoQdIB0wFBVV95cUxOMnV1S0Izc25jWlRMZk5aZDUtdWFrbUVraFFfeFBvLU1mQ1BwS2JGY0ptS0dBeWFjSFRld3g5MFRzRGg2QlFqcXY4ZjdmLUNLcUZVdlJtaDNiZzV3cmctaTdhZXh4MUlXaHhldWhOVzczaFRpRFZZT3VaNzhnNFNUSlpHVXdvbHkwSUNSTEJxaVBOejlITUZqQnlXajBvVGx6VWIwTWNDZXB3Y3l3MFM1ZThVZ3dJUE9jM3V4R1htN2FWUWZ4TUNTTFJNNUIydjVHVFE4?oc=5"" target=""_blank"">Is Dhanuka Agritech (NSE:DHANUKA) Using Too Much Debt?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-31 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMizgFBVV95cUxPNEdpbW5jYVFZdDRUcFU3WnhFUDZfN1VXeGFRLXJpbUVqbXlsQkp4bTJla2dlblpxNXpoSDNzc2JwZjJ5b0xoM1lQekdfVG9VVmdvSnNlMV9TZFBxT3RfcS1lNVhwR3pyZ3dOQzhJM3dMeFE1cFZKLUxHN3RGRzRjS1lRM25yeXI4TURZdmZaUF9LWmtJdmRPcWVnbjd6eWdGcFlSSUR5UkdQVTJOa002aVh0MGxfTjQxSHVVckliYTkyQ3NRQ2tRYUhzdFpoQdIB0wFBVV95cUxOMnV1S0Izc25jWlRMZk5aZDUtdWFrbUVraFFfeFBvLU1mQ1BwS2JGY0ptS0dBeWFjSFRld3g5MFRzRGg2QlFqcXY4ZjdmLUNLcUZVdlJtaDNiZzV3cmctaTdhZXh4MUlXaHhldWhOVzczaFRpRFZZT3VaNzhnNFNUSlpHVXdvbHkwSUNSTEJxaVBOejlITUZqQnlXajBvVGx6VWIwTWNDZXB3Y3l3MFM1ZThVZ3dJUE9jM3V4R1htN2FWUWZ4TUNTTFJNNUIydjVHVFE4?oc=5
