scrip,company,headline,summary,published_date,source,url
DVL,Dhunseri Ventures Limited,"Despite shrinking by ₹2.0b in the past week, Dhunseri Ventures (NSE:DVL) shareholders are still up 454% over 5 years - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxNMTJtMTNJZExPQTA3RUwxcXhCX2g3N2xaZ3o1RHZZQW9MVlFYa3lYMHplLUhQYUJobTRHTTl1SU9iV1pqUUc2a3RTMk4wa05Vb2xoWDRXTFVfeWRhcXFqZzhzWVVEM0dMUEQ4bVpFTzZMNnJTbEJyeDZJN3pOQVFIQkhTMFRLVGlqQW5qN1d6V01kMkNvc2lYdGFiTDM2QlBwUVZhRmFRMFowZXQ5WWxDaWNtM1M3bEtpZUMyemZoTFZvS3dtQzdpOWNoSG56YkxUTm93Zm1hSnQ3OFdaV3pITWszZDczZU0?oc=5"" target=""_blank"">Despite shrinking by ₹2.0b in the past week, Dhunseri Ventures (NSE:DVL) shareholders are still up 454% over 5 years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-10-18 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxNMTJtMTNJZExPQTA3RUwxcXhCX2g3N2xaZ3o1RHZZQW9MVlFYa3lYMHplLUhQYUJobTRHTTl1SU9iV1pqUUc2a3RTMk4wa05Vb2xoWDRXTFVfeWRhcXFqZzhzWVVEM0dMUEQ4bVpFTzZMNnJTbEJyeDZJN3pOQVFIQkhTMFRLVGlqQW5qN1d6V01kMkNvc2lYdGFiTDM2QlBwUVZhRmFRMFowZXQ5WWxDaWNtM1M3bEtpZUMyemZoTFZvS3dtQzdpOWNoSG56YkxUTm93Zm1hSnQ3OFdaV3pITWszZDczZU0?oc=5
DVL,Dhunseri Ventures Limited,DVL Share Price | Dhunseri Ventures Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTE1aRGM1SDBKblFhTV81VVQ5ZVotYWdrVEFvdGpPU0FENUdxTGs1TTBldDJpeS1rRkhUVEVSWEw0MUVBYzM3SGEzcDk4djNsQVdnQ1ZrTW1Ha1hkNUtzelNyTlRTdVBralhrNXFaSEV4blVCMjZZ?oc=5"" target=""_blank"">DVL Share Price | Dhunseri Ventures Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-06-12 13:33:50,Markets Mojo,https://news.google.com/rss/articles/CBMidEFVX3lxTE1aRGM1SDBKblFhTV81VVQ5ZVotYWdrVEFvdGpPU0FENUdxTGs1TTBldDJpeS1rRkhUVEVSWEw0MUVBYzM3SGEzcDk4djNsQVdnQ1ZrTW1Ha1hkNUtzelNyTlRTdVBralhrNXFaSEV4blVCMjZZ?oc=5
DVL,Dhunseri Ventures Limited,Dhunseri Ventures Begins Polymer Films Manufacturing in Kathua - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxPNE1zQ0RwWnFVdUpQUGVVTnBXRmt2RTN4NlIyWWlZUElBN2JlUklWMW1VNjJ1VWRXNTlEaUx4Yk9BMm90d25zUVhUOW5iWEhZN3phRVd4VWY4eHF4RlBZaFdsdlhxaXNJN3R1WGJqMi1zbWRPbTAzRVRPRHZVQVZZUnZkY1FOazZETHpN?oc=5"" target=""_blank"">Dhunseri Ventures Begins Polymer Films Manufacturing in Kathua</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-06-09 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPNE1zQ0RwWnFVdUpQUGVVTnBXRmt2RTN4NlIyWWlZUElBN2JlUklWMW1VNjJ1VWRXNTlEaUx4Yk9BMm90d25zUVhUOW5iWEhZN3phRVd4VWY4eHF4RlBZaFdsdlhxaXNJN3R1WGJqMi1zbWRPbTAzRVRPRHZVQVZZUnZkY1FOazZETHpN?oc=5
DVL,Dhunseri Ventures Limited,Dhunseri Ventures Ltd leads losers in 'B' group - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxOZnJpcDZlZHYzUURlNjdsNU9kX3NnTS1TQkZIM25jQkcxQTdUNUZsWG9rTm5SSmplTjRUeURIY1h0ZjJzX0ZCZG9ncmhKcG9DeUxnTmhkeTJOSGs2VmZlQ3FfS05kdDBWbExCVkVUSkVIaUpXZzNMYlBSekxILTk4LWlCdnhQaEo1cmdvR19tbDl5eEhPRHNTTGdRbjBqUExuS2ltWVJUNVkzOWEtVkMzOHNObDZvUXdBNFdTdXJfb1djMFJzalHSAcsBQVVfeXFMT19WZnotdkNjeTVrdC1UNVNlOHNMREM3RTBQNkprdmliTXpVUjZLbkQ5ckpSZnlvT0RUUzBXcC1SQU94SDNoUVkzWFJJNUxtOHF5UUNyZFRBb2hZV0g5YzFhRkN2bmU2eEExQ1A1S2ZVc3U1aVVReUw0S1M1eE56cVR5WXV2VXVBcV80cGdmazl5QXR1d3kxODVlQlQ3Q0RuMktTWmhZLUtvZlN1OVJuUzh0NDlfRWtDeU5nMnFjdnYyMTVVdkdibWFLbHM?oc=5"" target=""_blank"">Dhunseri Ventures Ltd leads losers in 'B' group</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-10-17 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMixgFBVV95cUxOZnJpcDZlZHYzUURlNjdsNU9kX3NnTS1TQkZIM25jQkcxQTdUNUZsWG9rTm5SSmplTjRUeURIY1h0ZjJzX0ZCZG9ncmhKcG9DeUxnTmhkeTJOSGs2VmZlQ3FfS05kdDBWbExCVkVUSkVIaUpXZzNMYlBSekxILTk4LWlCdnhQaEo1cmdvR19tbDl5eEhPRHNTTGdRbjBqUExuS2ltWVJUNVkzOWEtVkMzOHNObDZvUXdBNFdTdXJfb1djMFJzalHSAcsBQVVfeXFMT19WZnotdkNjeTVrdC1UNVNlOHNMREM3RTBQNkprdmliTXpVUjZLbkQ5ckpSZnlvT0RUUzBXcC1SQU94SDNoUVkzWFJJNUxtOHF5UUNyZFRBb2hZV0g5YzFhRkN2bmU2eEExQ1A1S2ZVc3U1aVVReUw0S1M1eE56cVR5WXV2VXVBcV80cGdmazl5QXR1d3kxODVlQlQ3Q0RuMktTWmhZLUtvZlN1OVJuUzh0NDlfRWtDeU5nMnFjdnYyMTVVdkdibWFLbHM?oc=5
DVL,Dhunseri Ventures Limited,"Dhunseri Ventures Ltd Faces Selling Pressure, Stock Declines 19.99% Amid Ongoing Losses - Markets Mojo","<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNZG1VaUhQRXVINWREUllqaE9QRHJ6bVdoaG5QTzRXeFptVy1OS2dscnhwS2J6ZkVHY240VE56TnhtRHBzUFpvWmFWRG5Ya3lKb2hUUzV0aEsxajE5TmVOLVhTTkszVU5qektSdU9vdFhybzhZUXI0NHVYSmZabk1FQ2NHNXJadWhTVkFDVG51OEJFN2VIX0tJLU5mcHFEdjRuU2NrLXlJd3l5Mk9NUXJyLW5FU1Mwczk3M29GUEFuTDF4U01CMnBEVUpmVkRVMl9ENWFUQUtaTE5Kdw?oc=5"" target=""_blank"">Dhunseri Ventures Ltd Faces Selling Pressure, Stock Declines 19.99% Amid Ongoing Losses</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-10-17 09:14:42,Markets Mojo,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNZG1VaUhQRXVINWREUllqaE9QRHJ6bVdoaG5QTzRXeFptVy1OS2dscnhwS2J6ZkVHY240VE56TnhtRHBzUFpvWmFWRG5Ya3lKb2hUUzV0aEsxajE5TmVOLVhTTkszVU5qektSdU9vdFhybzhZUXI0NHVYSmZabk1FQ2NHNXJadWhTVkFDVG51OEJFN2VIX0tJLU5mcHFEdjRuU2NrLXlJd3l5Mk9NUXJyLW5FU1Mwczk3M29GUEFuTDF4U01CMnBEVUpmVkRVMl9ENWFUQUtaTE5Kdw?oc=5
DVL,Dhunseri Ventures Limited,"Dhunseri Ventures Limited Declares Interim Dividend for the Financial Year Ending March 31, 2026, Payable on or Before March 6, 2026 - marketscreener.com","<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxPZXpkOVp6VG5VRnkyQk1zQjJYM043TG1SM285M09XSXIzaFplejh0cXVtaUtRTjVManExT3hKM2xPYmtRQ3BvM1ZLbU1GQVQxZFViZ0YzT1kyR21rZDQ2U1BERldOMHZMU2pmbkI4NV9pOG9Vd0VRbjRNU2xaTUkyb194SmJxN3pMMTFwWlFaZDNOZF9uZFZzSTg0MmFTa0FGRTNQekFkdnVhV1I2dnFabVdKYlB5YjFIYVJDejVXWUJ2b29TWUVVaGdrQi1WWVhFTkpWcDBNV0MtRmZUejB5RFF4ZWhHZw?oc=5"" target=""_blank"">Dhunseri Ventures Limited Declares Interim Dividend for the Financial Year Ending March 31, 2026, Payable on or Before March 6, 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketscreener.com</font>",2026-02-20 08:00:00,marketscreener.com,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPZXpkOVp6VG5VRnkyQk1zQjJYM043TG1SM285M09XSXIzaFplejh0cXVtaUtRTjVManExT3hKM2xPYmtRQ3BvM1ZLbU1GQVQxZFViZ0YzT1kyR21rZDQ2U1BERldOMHZMU2pmbkI4NV9pOG9Vd0VRbjRNU2xaTUkyb194SmJxN3pMMTFwWlFaZDNOZF9uZFZzSTg0MmFTa0FGRTNQekFkdnVhV1I2dnFabVdKYlB5YjFIYVJDejVXWUJ2b29TWUVVaGdrQi1WWVhFTkpWcDBNV0MtRmZUejB5RFF4ZWhHZw?oc=5
DVL,Dhunseri Ventures Limited,Dhunseri Ventures declared interim dividend of 3.5 rupees per share - marketscreener.com,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNSG5zYko3aXVBdHQyT2Fuem1JYmotenJGTmpKVnRjU2NsM1hLaHVjWlFqczFiNHIzNzI5OVAtWFBXLXk5SUpTcm9ZS3VCQ0hGVjRvM0JvSnF5REI5aEdyLVNZNEoxRTdTTktSYTcyMGNRSmdCZEczaVUtTTJRTFBtVEFQVm9wMGo0UjV2OW9NOXVzMzl6X2ZlaEhmYmxMYnROamlpVkRHSDQ4Zl9PVTE3V0ptY1ptel9hYnRjcw?oc=5"" target=""_blank"">Dhunseri Ventures declared interim dividend of 3.5 rupees per share</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketscreener.com</font>",2026-02-20 08:00:00,marketscreener.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxNSG5zYko3aXVBdHQyT2Fuem1JYmotenJGTmpKVnRjU2NsM1hLaHVjWlFqczFiNHIzNzI5OVAtWFBXLXk5SUpTcm9ZS3VCQ0hGVjRvM0JvSnF5REI5aEdyLVNZNEoxRTdTTktSYTcyMGNRSmdCZEczaVUtTTJRTFBtVEFQVm9wMGo0UjV2OW9NOXVzMzl6X2ZlaEhmYmxMYnROamlpVkRHSDQ4Zl9PVTE3V0ptY1ptel9hYnRjcw?oc=5
DVL,Dhunseri Ventures Limited,Does Dhunseri Ventures Limited (NSE:DVL) Have A Place In Your Dividend Stock Portfolio? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxQUkUxUmFFNzBqbTFWRDdoc3pnVHBsa2VOM3BEVDE2eGxLUHRoQ3AyZkY1dXBrUnB6TVh6VmtLZTVER0FDUXNIX2UzY0YxRW9Dd2VlcjhVYXdKdmFoOXZ2VnRGZDhtZzRIalVfX1VqaV9ZanNTeXE4N1k1Ymo3bml6ZnBuWmdqUUdRXzhIN3A0bHZnVFlCczM0ZnRuMXgyNTBHdDAtbDEydmhWbVV6Uld5bnhXYlVGWjI1YzE5UFhrY1dXZHFqckxoa0JTSTYwd180RXJCRzhhZmZZSFl6RldyWkFEY2stczE1UGRHcHczQVl3aGc3eWwtOUhhNNIB-wFBVV95cUxQUkUxUmFFNzBqbTFWRDdoc3pnVHBsa2VOM3BEVDE2eGxLUHRoQ3AyZkY1dXBrUnB6TVh6VmtLZTVER0FDUXNIX2UzY0YxRW9Dd2VlcjhVYXdKdmFoOXZ2VnRGZDhtZzRIalVfX1VqaV9ZanNTeXE4N1k1Ymo3bml6ZnBuWmdqUUdRXzhIN3A0bHZnVFlCczM0ZnRuMXgyNTBHdDAtbDEydmhWbVV6Uld5bnhXYlVGWjI1YzE5UFhrY1dXZHFqckxoa0JTSTYwd180RXJCRzhhZmZZSFl6RldyWkFEY2stczE1UGRHcHczQVl3aGc3eWwtOUhhNA?oc=5"" target=""_blank"">Does Dhunseri Ventures Limited (NSE:DVL) Have A Place In Your Dividend Stock Portfolio?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2020-02-22 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi-wFBVV95cUxQUkUxUmFFNzBqbTFWRDdoc3pnVHBsa2VOM3BEVDE2eGxLUHRoQ3AyZkY1dXBrUnB6TVh6VmtLZTVER0FDUXNIX2UzY0YxRW9Dd2VlcjhVYXdKdmFoOXZ2VnRGZDhtZzRIalVfX1VqaV9ZanNTeXE4N1k1Ymo3bml6ZnBuWmdqUUdRXzhIN3A0bHZnVFlCczM0ZnRuMXgyNTBHdDAtbDEydmhWbVV6Uld5bnhXYlVGWjI1YzE5UFhrY1dXZHFqckxoa0JTSTYwd180RXJCRzhhZmZZSFl6RldyWkFEY2stczE1UGRHcHczQVl3aGc3eWwtOUhhNNIB-wFBVV95cUxQUkUxUmFFNzBqbTFWRDdoc3pnVHBsa2VOM3BEVDE2eGxLUHRoQ3AyZkY1dXBrUnB6TVh6VmtLZTVER0FDUXNIX2UzY0YxRW9Dd2VlcjhVYXdKdmFoOXZ2VnRGZDhtZzRIalVfX1VqaV9ZanNTeXE4N1k1Ymo3bml6ZnBuWmdqUUdRXzhIN3A0bHZnVFlCczM0ZnRuMXgyNTBHdDAtbDEydmhWbVV6Uld5bnhXYlVGWjI1YzE5UFhrY1dXZHFqckxoa0JTSTYwd180RXJCRzhhZmZZSFl6RldyWkFEY2stczE1UGRHcHczQVl3aGc3eWwtOUhhNA?oc=5
DVL,Dhunseri Ventures Limited,Dhunseri Ventures Fixes February 27 Record Date For ₹3.5 Interim Dividend - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPVWpEMW5nMGItX1dXNWQ1em9EbUQwRk1lclZTQlRVU2tPVmVhYUNfRm5DWTk4NklYR18tSEdXOW5paFU5Q2tHWHVkRFJ4S0tkSW0tNlJkaVZFUXl1MGJuVDAydlc3TEtMYjFFWXpQb1pOZE5XZ3ZzZzRCVE14MGhsMlRGMUtpVXlxWE9sUzluVmdZWXRScXhqUFA2ZWxqQlFEeUE?oc=5"" target=""_blank"">Dhunseri Ventures Fixes February 27 Record Date For ₹3.5 Interim Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2026-02-20 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiogFBVV95cUxPVWpEMW5nMGItX1dXNWQ1em9EbUQwRk1lclZTQlRVU2tPVmVhYUNfRm5DWTk4NklYR18tSEdXOW5paFU5Q2tHWHVkRFJ4S0tkSW0tNlJkaVZFUXl1MGJuVDAydlc3TEtMYjFFWXpQb1pOZE5XZ3ZzZzRCVE14MGhsMlRGMUtpVXlxWE9sUzluVmdZWXRScXhqUFA2ZWxqQlFEeUE?oc=5
DVL,Dhunseri Ventures Limited,"Dhunseri Ventures Declares ₹5 Dividend, Approves FY25 Results - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxQQWs1V1JwT1M0NFNfcFo2MUVVbk0wbGZINENvWWczVktMR1RCTUY1VW5taHlFQ0hlSmdYdC04SmtLTkdneUVhVW9jNGhwb3JndEtydWJlMzVnaU1OTVpCVmlNT1NXZzJuR2lJMVExUFR2UW9pWFo1cDdRS3pXWEpoc0xlVE15OERxZ09VWUR1aVpIRTBVYkhvRUx3UEtzQklDZXIxZGdOM0NoRUZ5LVI2MS1iY2dfSGpQdUZtWGRYX0RQS1YtejZHQlpYaGVYaE1peUtJYtIB2gFBVV95cUxORU9YT3ZrdGcyQm5ueTBCZnNZWWtCLUJkeWZTNHdVNEJEbmtPa1NtQjEwOHVuNW9xdUpLNDE1U1plQkJNZ3dDVWtkdmIyLWoxSy13QWNNdjlRbFQ2TnJ0bnRBNGdRM2J1OTF5ZjFmTkQtckEzTzNVSnpQNGxhMXViTHRhOTJoT2lBa1ExaXJnZ0R2Y283S0w1QUxBbHNNUWlsb0FreW16Q2dhWDRqeXpqWVN4WlBwakNQMVV5YTBrSGwwcldneWFDMjZOODd2V0ZsQXRUQmx0dG93QQ?oc=5"" target=""_blank"">Dhunseri Ventures Declares ₹5 Dividend, Approves FY25 Results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-08-08 07:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQQWs1V1JwT1M0NFNfcFo2MUVVbk0wbGZINENvWWczVktMR1RCTUY1VW5taHlFQ0hlSmdYdC04SmtLTkdneUVhVW9jNGhwb3JndEtydWJlMzVnaU1OTVpCVmlNT1NXZzJuR2lJMVExUFR2UW9pWFo1cDdRS3pXWEpoc0xlVE15OERxZ09VWUR1aVpIRTBVYkhvRUx3UEtzQklDZXIxZGdOM0NoRUZ5LVI2MS1iY2dfSGpQdUZtWGRYX0RQS1YtejZHQlpYaGVYaE1peUtJYtIB2gFBVV95cUxORU9YT3ZrdGcyQm5ueTBCZnNZWWtCLUJkeWZTNHdVNEJEbmtPa1NtQjEwOHVuNW9xdUpLNDE1U1plQkJNZ3dDVWtkdmIyLWoxSy13QWNNdjlRbFQ2TnJ0bnRBNGdRM2J1OTF5ZjFmTkQtckEzTzNVSnpQNGxhMXViTHRhOTJoT2lBa1ExaXJnZ0R2Y283S0w1QUxBbHNNUWlsb0FreW16Q2dhWDRqeXpqWVN4WlBwakNQMVV5YTBrSGwwcldneWFDMjZOODd2V0ZsQXRUQmx0dG93QQ?oc=5
