scrip,company,headline,summary,published_date,source,url
EKC,Everest Kanto Cylinder Limited,Everest Kanto Cylinder Limited's (NSE:EKC) CEO Compensation Looks Acceptable To Us And Here's Why - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxNV0dGOWlzMmxrLUJIVzRZUC1PZmpwVkFtcEE2ZUs5SzhQejRpRVhtcWc4RTZGeXZiMVpTVlJlMlJwN1VuU2lUTzNFcUZKejUzWXJCVUg1TnFuUlpjNXNKVDRzaHAwcVp4VWRRV1VqLTJwYWVpME9XVU9NY3NBM3VzeGUzRWtwYXhuQUlIdG56b3oxSzVla29NZ2lsTzZ3VVdKQ0lPVmJQZkI5NjJPR0oyeVVOdXJqMi1KOFA4WVYxUk1xcmNsRktqVWRkNlJzb3VpLThmcXR0bFVYMl9PUWRCc9IB5gFBVV95cUxPc0loRXR2VlJ2V01kTFV3QmZvZTVPVWNQZkx4ZHpoaHJMS3RTSmpUV2MyUUZ2MERWR1V1QmdHZ1lJUkwxOXd3cUFjbVZ2Q0JKOGFyeFRBclI2NXlUM3o4QmtwVEhOZ25IRHBEOERiMVZTVmY3TkFSNE5hUmxTOXN6REJzU3YwdldoMUpUYU5WTkhLbGoyNmh4US0zNGg1Z0hFeG1nZEY3NFNPR3dTX3RqWGVqbHlrS0l5ZHE3M21nREpzR3dsRlZGZDBLRHp2RE9ZV1Rha3ZfSTA4d3BXNHZHSzVqLXFkZw?oc=5"" target=""_blank"">Everest Kanto Cylinder Limited's (NSE:EKC) CEO Compensation Looks Acceptable To Us And Here's Why</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-16 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNV0dGOWlzMmxrLUJIVzRZUC1PZmpwVkFtcEE2ZUs5SzhQejRpRVhtcWc4RTZGeXZiMVpTVlJlMlJwN1VuU2lUTzNFcUZKejUzWXJCVUg1TnFuUlpjNXNKVDRzaHAwcVp4VWRRV1VqLTJwYWVpME9XVU9NY3NBM3VzeGUzRWtwYXhuQUlIdG56b3oxSzVla29NZ2lsTzZ3VVdKQ0lPVmJQZkI5NjJPR0oyeVVOdXJqMi1KOFA4WVYxUk1xcmNsRktqVWRkNlJzb3VpLThmcXR0bFVYMl9PUWRCc9IB5gFBVV95cUxPc0loRXR2VlJ2V01kTFV3QmZvZTVPVWNQZkx4ZHpoaHJMS3RTSmpUV2MyUUZ2MERWR1V1QmdHZ1lJUkwxOXd3cUFjbVZ2Q0JKOGFyeFRBclI2NXlUM3o4QmtwVEhOZ25IRHBEOERiMVZTVmY3TkFSNE5hUmxTOXN6REJzU3YwdldoMUpUYU5WTkhLbGoyNmh4US0zNGg1Z0hFeG1nZEY3NFNPR3dTX3RqWGVqbHlrS0l5ZHE3M21nREpzR3dsRlZGZDBLRHp2RE9ZV1Rha3ZfSTA4d3BXNHZHSzVqLXFkZw?oc=5
EKC,Everest Kanto Cylinder Limited,Everest Kanto Cylinder Faces ₹11.29 Crore Penalty for Net Foreign Exchange Shortfall - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQQ2Mwbk9HYURObGczN2Q5MnVzWGVvUEhoeERlZG9wQXBkMUFSS3YtcnU0ZzlUX0pfSnJtdU1xaGlGT2VCVTRQOC1yTGlPZEtWc1pJRnI2M1BldFJnV2RHajlRWE93ZTd6ajNlQ1QyVEJwdmdzekdzUzBaTGp4a2FqM09EQWkwbnJvTnA2Y1dXRGZpUWNMLXhXRGl1OGlMOXY2X1hHSGJSNGRkRENHMVBhMmx3U2dIRmxzcHM4aVR4YUU1WVRVQTFZdkd3d0plUjdIOVNF?oc=5"" target=""_blank"">Everest Kanto Cylinder Faces ₹11.29 Crore Penalty for Net Foreign Exchange Shortfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-30 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQQ2Mwbk9HYURObGczN2Q5MnVzWGVvUEhoeERlZG9wQXBkMUFSS3YtcnU0ZzlUX0pfSnJtdU1xaGlGT2VCVTRQOC1yTGlPZEtWc1pJRnI2M1BldFJnV2RHajlRWE93ZTd6ajNlQ1QyVEJwdmdzekdzUzBaTGp4a2FqM09EQWkwbnJvTnA2Y1dXRGZpUWNMLXhXRGl1OGlMOXY2X1hHSGJSNGRkRENHMVBhMmx3U2dIRmxzcHM4aVR4YUU1WVRVQTFZdkd3d0plUjdIOVNF?oc=5
EKC,Everest Kanto Cylinder Limited,Everest Kanto Cylinder Ltd Sees Exceptional Volume Surge Amid Strong Sell Rating - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNTVBEOEp1X3oxLWhRZ1RRS0VIVjhfRmVOc3ZGZ2lraWJkblRUUXFJc1Y5SnFCVmhWQUdWbmVNQk1KX3oyWnhmTkFXTmhyd2Y0SHJIZXpQaGxYMG5rbWNCMjBSNXM4cnBSUlduZnFFOVJ1amVWMDVzWW93RGhhMFYzSnlmMXhoX2tYb2pxWUxkRTFaZUFEaEtFUGFybEpVZnJxSkd0UUN0Z1lQSXhOU3dNbWo0TEh6MVg4bG9JdzJFdkhYSE4tUTItRGFaV1ZQTjRMekg4UQ?oc=5"" target=""_blank"">Everest Kanto Cylinder Ltd Sees Exceptional Volume Surge Amid Strong Sell Rating</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-01-23 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNTVBEOEp1X3oxLWhRZ1RRS0VIVjhfRmVOc3ZGZ2lraWJkblRUUXFJc1Y5SnFCVmhWQUdWbmVNQk1KX3oyWnhmTkFXTmhyd2Y0SHJIZXpQaGxYMG5rbWNCMjBSNXM4cnBSUlduZnFFOVJ1amVWMDVzWW93RGhhMFYzSnlmMXhoX2tYb2pxWUxkRTFaZUFEaEtFUGFybEpVZnJxSkd0UUN0Z1lQSXhOU3dNbWo0TEh6MVg4bG9JdzJFdkhYSE4tUTItRGFaV1ZQTjRMekg4UQ?oc=5
EKC,Everest Kanto Cylinder Limited,Everest Kanto Exits Hungary JV for €96K Amid Geopolitical Risks - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxQX1pzZjVlZWJsVkh3dVBRX1IxWVQ3aWYxUEdGM0FZZ1ZFX2d2NmV1Q0tvRVMxV2cwWTBoUXNYZ2g4SmttNTN0Q19obzExZVAzX1ZoRG9mV1NKSmEzVlJXSXN6dmZXdHRTM3N5WmNDSzRSZi0yYUNYc0RYcnRfWERfUTk2UUItNGhtVnFIZQ?oc=5"" target=""_blank"">Everest Kanto Exits Hungary JV for €96K Amid Geopolitical Risks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-07-16 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMijAFBVV95cUxQX1pzZjVlZWJsVkh3dVBRX1IxWVQ3aWYxUEdGM0FZZ1ZFX2d2NmV1Q0tvRVMxV2cwWTBoUXNYZ2g4SmttNTN0Q19obzExZVAzX1ZoRG9mV1NKSmEzVlJXSXN6dmZXdHRTM3N5WmNDSzRSZi0yYUNYc0RYcnRfWERfUTk2UUItNGhtVnFIZQ?oc=5
EKC,Everest Kanto Cylinder Limited,Everest Kanto Cylinder announces EKC FZE's exit from Hungary project - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPbXBwY1UtTm4zaFVURUlrM2RsVmQxaGtBcTUwalRIU0drZ18td1YxNFpNQTVySFBkTHRNTkNBUlY3VUFuYms2OEdISXpSbXM3cEZ2ZC1yTnlWWWZkdXNka1VBbHZfc2k0UU9JLWYxRUtzTm0zaFpuNjVLbmRDUVpVYUNSTkxjZzIydEpwNXVjc0tfOF9EdTVmc3Mtd1VMUkI4aXZYeF8weUw2ZmxWb0F0b0EzbUlqZzQxV0JZSU9UWHQ1YVhaNGdjbV9panhBMU1ZSmdaMWpkQlRTcVRBcjFGcWtMRFnSAeoBQVVfeXFMUG5uT3VNZnB6eHBSZmhZZjNCUWZ6VEVnR0tmYWJCaHY1emM0V1hOWGUwTldFRlQ1dEM4dGl6S1gxSHJzSFZSMXpFX1hWQzVfN2RiNld4QkF1N0VhQ1d1ZGZySGZCb01NY0lzYVhXc3ZOTWo4ZlIzcmNDM1dfWW16MURFV2dVM18zYzlRUHU5Q0JaVWNLNGZ5M1dzX2tvRHZNQ2Vrb3F5cVlGa3AxWHFCLVN2TUpENVZFNVktQzIwek5Nb3ZYdnpEYy13WG4zS2pkLTc2eDdIZ3k2WFE5bkhvaW5xNEtUYTVBV193?oc=5"" target=""_blank"">Everest Kanto Cylinder announces EKC FZE's exit from Hungary project</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-07-16 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPbXBwY1UtTm4zaFVURUlrM2RsVmQxaGtBcTUwalRIU0drZ18td1YxNFpNQTVySFBkTHRNTkNBUlY3VUFuYms2OEdISXpSbXM3cEZ2ZC1yTnlWWWZkdXNka1VBbHZfc2k0UU9JLWYxRUtzTm0zaFpuNjVLbmRDUVpVYUNSTkxjZzIydEpwNXVjc0tfOF9EdTVmc3Mtd1VMUkI4aXZYeF8weUw2ZmxWb0F0b0EzbUlqZzQxV0JZSU9UWHQ1YVhaNGdjbV9panhBMU1ZSmdaMWpkQlRTcVRBcjFGcWtMRFnSAeoBQVVfeXFMUG5uT3VNZnB6eHBSZmhZZjNCUWZ6VEVnR0tmYWJCaHY1emM0V1hOWGUwTldFRlQ1dEM4dGl6S1gxSHJzSFZSMXpFX1hWQzVfN2RiNld4QkF1N0VhQ1d1ZGZySGZCb01NY0lzYVhXc3ZOTWo4ZlIzcmNDM1dfWW16MURFV2dVM18zYzlRUHU5Q0JaVWNLNGZ5M1dzX2tvRHZNQ2Vrb3F5cVlGa3AxWHFCLVN2TUpENVZFNVktQzIwek5Nb3ZYdnpEYy13WG4zS2pkLTc2eDdIZ3k2WFE5bkhvaW5xNEtUYTVBV193?oc=5
EKC,Everest Kanto Cylinder Limited,"Everest Kanto Cylinder Reports Q2FY26 Results: Revenue at ₹360.4 Cr, Eyes Egypt Plant Launch - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxQV2Fjd1ZWVWtlQTZTX2dhVUlsYjVZQ2Rvb09SN1J0OFpHamx5a0pSSGVhOWlWVERTZ2hRZ0ZOXzJ1NFFGSWtaNllrbUdtbko4eVpnMU4zYTJLekNQYnk4cVZpMlNyMmYtUzFRdWxqa1pNeE1oWGRiTUFCeDhDX1V6YVByWXRiaFMxcXpkZ2U1cDU5d0pZeUc2ZFNtZ04tMGhyeGRodlR5dGRNeGtxNzlDUGROWnlBemZwek9jWTFUQ2p2ZkNZVFdLWldncjZhdW51MlMxTE4yQzV5cnNVSXc?oc=5"" target=""_blank"">Everest Kanto Cylinder Reports Q2FY26 Results: Revenue at ₹360.4 Cr, Eyes Egypt Plant Launch</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-21 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQV2Fjd1ZWVWtlQTZTX2dhVUlsYjVZQ2Rvb09SN1J0OFpHamx5a0pSSGVhOWlWVERTZ2hRZ0ZOXzJ1NFFGSWtaNllrbUdtbko4eVpnMU4zYTJLekNQYnk4cVZpMlNyMmYtUzFRdWxqa1pNeE1oWGRiTUFCeDhDX1V6YVByWXRiaFMxcXpkZ2U1cDU5d0pZeUc2ZFNtZ04tMGhyeGRodlR5dGRNeGtxNzlDUGROWnlBemZwek9jWTFUQ2p2ZkNZVFdLWldncjZhdW51MlMxTE4yQzV5cnNVSXc?oc=5
EKC,Everest Kanto Cylinder Limited,Insiders the biggest winners as Everest Kanto Cylinder Limited's (NSE:EKC) market cap rises to ₹14b - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxQZ2JzYUowR1hXT1ZsbE8weTdBS3VwNnlhYTN1eW9famJ5YThHNDRIUF8yM0ZNV1R2dHE2MFFHOWllZTBKNEZaRXgteXFkR1MwMkNnWEJ3N1lIb24wVnczUzdxUFdhS2ZEOVZud21jMVJmY2FKekxobEhxVlJTXzlua1Q2aWtKaXVhcTNCdE9EZms4dU1ZMWFLeW5XVzFTWVFDdGdxRi1SZ0h4SWNtcWVtMWpLYVo5OV9KalZ2cHZ4ZWhqbnhJTndyNS16akZQR3hKTHVab1VwRVRWVlNPaVHSAeMBQVVfeXFMTm02QlZtOGs0ekUza1JwaW0tMV83am9BRXpmeXIyQUEwOUVsdFQyZU1Xc1VSamJKN1dOVVRFQXgyTzZJX0NncGZHRUdHRzJVZnFqTjFpYS0zdU5lMVhIbmhYajU0emQtSEVHQ3VlaEVKRGlKRUJROXpkQmoyQS1VM2xXQ3FsMnhjRlJGQ215TWhtY20tdGNFanJHT2NFRG0xb2NLNG5CSU1hNW9WOEVPWDh4TkFaM2VVVDM4MTNsSmVtMmdMc3VKNWtiNDViYm5FSmpNOVhROEZ5enJyUEItV2x5REk?oc=5"" target=""_blank"">Insiders the biggest winners as Everest Kanto Cylinder Limited's (NSE:EKC) market cap rises to ₹14b</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-04-22 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQZ2JzYUowR1hXT1ZsbE8weTdBS3VwNnlhYTN1eW9famJ5YThHNDRIUF8yM0ZNV1R2dHE2MFFHOWllZTBKNEZaRXgteXFkR1MwMkNnWEJ3N1lIb24wVnczUzdxUFdhS2ZEOVZud21jMVJmY2FKekxobEhxVlJTXzlua1Q2aWtKaXVhcTNCdE9EZms4dU1ZMWFLeW5XVzFTWVFDdGdxRi1SZ0h4SWNtcWVtMWpLYVo5OV9KalZ2cHZ4ZWhqbnhJTndyNS16akZQR3hKTHVab1VwRVRWVlNPaVHSAeMBQVVfeXFMTm02QlZtOGs0ekUza1JwaW0tMV83am9BRXpmeXIyQUEwOUVsdFQyZU1Xc1VSamJKN1dOVVRFQXgyTzZJX0NncGZHRUdHRzJVZnFqTjFpYS0zdU5lMVhIbmhYajU0emQtSEVHQ3VlaEVKRGlKRUJROXpkQmoyQS1VM2xXQ3FsMnhjRlJGQ215TWhtY20tdGNFanJHT2NFRG0xb2NLNG5CSU1hNW9WOEVPWDh4TkFaM2VVVDM4MTNsSmVtMmdMc3VKNWtiNDViYm5FSmpNOVhROEZ5enJyUEItV2x5REk?oc=5
EKC,Everest Kanto Cylinder Limited,Everest Kanto Cylinder Reports Mixed Q2FY26 Results Amid Temporary CNG Demand Impact - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxQZkZFSXhENUlRYXVJUTBoaU5qWDZoNEh0M1F4N3FZY09IR1MyelNMaXlNU1JmdDBaNERYQkM1ekc2dUdfQnNabkNubi1IZ0hTZXJ6QVo1MzZVR0oxU3dtUzl6WnA5MGU1cFpIY0FVNmExNjFsd1dVZFIwY1NGN2NjQ1Z4SUlTRjR2M0tSV0ZsVzFhb2IzRml4NEI4VUV1WEI3cUtsZWVxeFNjWVVXaGJZUHpUeUlOTzlYU2tOV3BPelFIbVRDVnNwdTNLd1RJNUN6UVdOcVh6bw?oc=5"" target=""_blank"">Everest Kanto Cylinder Reports Mixed Q2FY26 Results Amid Temporary CNG Demand Impact</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-15 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQZkZFSXhENUlRYXVJUTBoaU5qWDZoNEh0M1F4N3FZY09IR1MyelNMaXlNU1JmdDBaNERYQkM1ekc2dUdfQnNabkNubi1IZ0hTZXJ6QVo1MzZVR0oxU3dtUzl6WnA5MGU1cFpIY0FVNmExNjFsd1dVZFIwY1NGN2NjQ1Z4SUlTRjR2M0tSV0ZsVzFhb2IzRml4NEI4VUV1WEI3cUtsZWVxeFNjWVVXaGJZUHpUeUlOTzlYU2tOV3BPelFIbVRDVnNwdTNLd1RJNUN6UVdOcVh6bw?oc=5
EKC,Everest Kanto Cylinder Limited,It's Down 26% But Everest Kanto Cylinder Limited (NSE:EKC) Could Be Riskier Than It Looks - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxPWXFVaFZaVl9IMmZ4NEFMZjdhVWwyTi1yZHNzcHRzeFRId1hVYUw1RzhtUDBDaHE5UEZ6NTNaczhidFAxTF9aZ25YQzZ2eWIweWpqNG9hc1M4SlYzOFBtQTJkdS1BZ080MTRVUG5WU3pXQUVMUVBxVGt0aXJ1cmJfbVNHbTEyeV9sdVpCTW1DeXBFbUo2WFlCc2ZFQW5zWFc0cXNEZnRQclVMcU9kY3RqZWF6b0VZMWdhcFU4VzhmZ0xDeVl0ZzZtY0ZWdzVfQlVha2oxdFR5UlBpVmVD0gHiAUFVX3lxTE4wa3d2dktrWlZvUHY4RWMwV0pzejI2TnFVaDUycno0R19XUDlYTVVkY3lxUXR6RV8yZkxWMGNXcGdOSXlBSHREMC1GSjN6NzZMU3lJak54VExNLWl5dk9hUjBSLVJJdHRkblZNY1JVMDNJYXZ4OEdPOEFZYVFucFZaRklCdnZFUTJNOEhBZ0xjSnQ4d1JmRWtZbVhuM3NRTE9xb0NxcUpUMGxUSmF2ckJQdG9rclRETjA5ZDhKQUl5bmlYNWthZDFydmU4U290WjVQczNEZWZfMUJMM3VLOE1rZ1E?oc=5"" target=""_blank"">It's Down 26% But Everest Kanto Cylinder Limited (NSE:EKC) Could Be Riskier Than It Looks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-03-12 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPWXFVaFZaVl9IMmZ4NEFMZjdhVWwyTi1yZHNzcHRzeFRId1hVYUw1RzhtUDBDaHE5UEZ6NTNaczhidFAxTF9aZ25YQzZ2eWIweWpqNG9hc1M4SlYzOFBtQTJkdS1BZ080MTRVUG5WU3pXQUVMUVBxVGt0aXJ1cmJfbVNHbTEyeV9sdVpCTW1DeXBFbUo2WFlCc2ZFQW5zWFc0cXNEZnRQclVMcU9kY3RqZWF6b0VZMWdhcFU4VzhmZ0xDeVl0ZzZtY0ZWdzVfQlVha2oxdFR5UlBpVmVD0gHiAUFVX3lxTE4wa3d2dktrWlZvUHY4RWMwV0pzejI2TnFVaDUycno0R19XUDlYTVVkY3lxUXR6RV8yZkxWMGNXcGdOSXlBSHREMC1GSjN6NzZMU3lJak54VExNLWl5dk9hUjBSLVJJdHRkblZNY1JVMDNJYXZ4OEdPOEFZYVFucFZaRklCdnZFUTJNOEhBZ0xjSnQ4d1JmRWtZbVhuM3NRTE9xb0NxcUpUMGxUSmF2ckJQdG9rclRETjA5ZDhKQUl5bmlYNWthZDFydmU4U290WjVQczNEZWZfMUJMM3VLOE1rZ1E?oc=5
EKC,Everest Kanto Cylinder Limited,Everest Kanto Cylinder Reports Robust Q1 Performance with 12.9% Revenue Growth and 47.8% EBITDA Surge - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxQV2w2MEJlYklXM0ptR1pjSjRMbS1RX3lsQk4tQTA0YmZEZWZ5bDNPcWM5dDFkQnU2SWdWZEtrUU9qX0NBY1BoS2h6dC0zOXhWd0hmeWw4eWVHNHNCV3ZGcGtPMHA3d2tfLThQVWR1NndmVVpPYUllRzNMeDJTWjE0OHlXN2JiSzlySDlPVjRicWU2QVBneE5HUEt6blR0a2hyd2g3cjFmNldWakJ4QmRTZHF3MGxBZVhtUEFsbWItdTFMXzl5VENGeERTdkJZOWQ5U1hGVnZfeng1bnFpUldpQXJfNkc5XzFTdGpV?oc=5"" target=""_blank"">Everest Kanto Cylinder Reports Robust Q1 Performance with 12.9% Revenue Growth and 47.8% EBITDA Surge</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-08-25 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi6wFBVV95cUxQV2w2MEJlYklXM0ptR1pjSjRMbS1RX3lsQk4tQTA0YmZEZWZ5bDNPcWM5dDFkQnU2SWdWZEtrUU9qX0NBY1BoS2h6dC0zOXhWd0hmeWw4eWVHNHNCV3ZGcGtPMHA3d2tfLThQVWR1NndmVVpPYUllRzNMeDJTWjE0OHlXN2JiSzlySDlPVjRicWU2QVBneE5HUEt6blR0a2hyd2g3cjFmNldWakJ4QmRTZHF3MGxBZVhtUEFsbWItdTFMXzl5VENGeERTdkJZOWQ5U1hGVnZfeng1bnFpUldpQXJfNkc5XzFTdGpV?oc=5
