scrip,company,headline,summary,published_date,source,url
ELGIEQUIP,Elgi Equipments Limited,Is Elgi Equipments Limited's (NSE:ELGIEQUIP) Recent Stock Performance Tethered To Its Strong Fundamentals? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPN0hnQXZhNFFEaTZfUWc0YXpuSlpQQWc4R2t6ajBTS2E2d09JZVplVEp4T3FocHRKU0RKTDZRLXNocHdYM082R1E0X0hBaW1pZF9PeEMtdDhxZ0FzNzVlZkdTY1RYQk04cGhnSnZnQW9uM1pXYU9YN1NMYTh4b1NuTk1XMUZJUzZaVUJleWRjcGRwaFhmcUdSSmpzR2s1RDZKc3JaVWFkUVMwUExmbUVwV0c1UHJyOHgxeFBmQTBJdHFTWGh2ejlnQW8teVNoeUhnMFVRSW4wV0xuNnJVLXE2bDVLTjfSAeoBQVVfeXFMTkF4SEY4OEo4M2MwZ2NyTE9mUWdRcERNRWc0MEhtak5qTkdWUThhOGJxQjNsbXNCTHh0X1RTNl82NHdGZ0ZJcS1KLUs3eHNSOW5fZzVzNHFzOWgweXJ0bEYyTC1XU1RDdEFBT1NHbzdWQjgyVy1DdW9FanJjRGJnNlBEMWVTSk51d1VWTE01d3BnamNieW9XME9FNzMzbF9kR051VWdkZzJXZHZwQnFrT1ppTkhwTTFqSnVpbUFIbTdnNG9oSEoycHg2QXEzSFBoclFSRXZvbkpLamU0alJNbkJ1UV9MQmVVaE5n?oc=5"" target=""_blank"">Is Elgi Equipments Limited's (NSE:ELGIEQUIP) Recent Stock Performance Tethered To Its Strong Fundamentals?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-04 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPN0hnQXZhNFFEaTZfUWc0YXpuSlpQQWc4R2t6ajBTS2E2d09JZVplVEp4T3FocHRKU0RKTDZRLXNocHdYM082R1E0X0hBaW1pZF9PeEMtdDhxZ0FzNzVlZkdTY1RYQk04cGhnSnZnQW9uM1pXYU9YN1NMYTh4b1NuTk1XMUZJUzZaVUJleWRjcGRwaFhmcUdSSmpzR2s1RDZKc3JaVWFkUVMwUExmbUVwV0c1UHJyOHgxeFBmQTBJdHFTWGh2ejlnQW8teVNoeUhnMFVRSW4wV0xuNnJVLXE2bDVLTjfSAeoBQVVfeXFMTkF4SEY4OEo4M2MwZ2NyTE9mUWdRcERNRWc0MEhtak5qTkdWUThhOGJxQjNsbXNCTHh0X1RTNl82NHdGZ0ZJcS1KLUs3eHNSOW5fZzVzNHFzOWgweXJ0bEYyTC1XU1RDdEFBT1NHbzdWQjgyVy1DdW9FanJjRGJnNlBEMWVTSk51d1VWTE01d3BnamNieW9XME9FNzMzbF9kR051VWdkZzJXZHZwQnFrT1ppTkhwTTFqSnVpbUFIbTdnNG9oSEoycHg2QXEzSFBoclFSRXZvbkpLamU0alJNbkJ1UV9MQmVVaE5n?oc=5
ELGIEQUIP,Elgi Equipments Limited,"Individual investors who hold 34% of Elgi Equipments Limited (NSE:ELGIEQUIP) gained 5.3%, institutions profited as well - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxNVDJLVm1zbjI2SnBFeEFfaEh6QVkwMVFTVG5KZHItWXROVW1CazNLMUVZVXFxbjlXSkFvT09CdUMtQjFYRnVsY0hseVUwV2pXS1V1TUxfNG9UcjJmUEpUczBhX1o0WHZQckhzOHgzcFlkeGVXYVRETmoyN0poLWpkOHljWkNXMFVPWnN4WFNMYjMzVnhHaGNBellkSThXVmlGcGMyNkZZOVJvUERZVnh0ZHRZVnFfbXlTNF9KNW5vd0ExWW1RY25nZGVsWFMyUUt2OEdadDRudnV6T21MTW1qbw?oc=5"" target=""_blank"">Individual investors who hold 34% of Elgi Equipments Limited (NSE:ELGIEQUIP) gained 5.3%, institutions profited as well</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-18 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNVDJLVm1zbjI2SnBFeEFfaEh6QVkwMVFTVG5KZHItWXROVW1CazNLMUVZVXFxbjlXSkFvT09CdUMtQjFYRnVsY0hseVUwV2pXS1V1TUxfNG9UcjJmUEpUczBhX1o0WHZQckhzOHgzcFlkeGVXYVRETmoyN0poLWpkOHljWkNXMFVPWnN4WFNMYjMzVnhHaGNBellkSThXVmlGcGMyNkZZOVJvUERZVnh0ZHRZVnFfbXlTNF9KNW5vd0ExWW1RY25nZGVsWFMyUUt2OEdadDRudnV6T21MTW1qbw?oc=5
ELGIEQUIP,Elgi Equipments Limited,Elgi Equipments (NSE:ELGIEQUIP) shareholders have earned a 32% CAGR over the last five years - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxQWVdodWNNYS1JaDlPdDNfWk5BTmFFRzE2UjRzWFdySDhGS0FqcVBOUXJwZXlzR29saEFaOFlTbS14S2lMZzhBUXN1OFVsTDBDRGRMYTFtTDY3SWk2XzlMaktUcHVzTDByZmQ5VjZ1NHc1a2U5YTVNamYxWk12Rm5mS0U4YjhVOHZRYjB2c3VzdUJxS0dDLVNidk44NmxMOVp2QVowUGhleGR6MmdHMjczSWp1ekFGb0lsWHltOFBna0tITUduS1FMc0N6N3FSUFBKanZFUDlPTTZLTG14SWFGcE9n0gHnAUFVX3lxTE1EVl8zU3BKcW9saEkzNENtUFpQS2pyaTFhTWN3T2l4N1VUWVpBUmppWHpVbXd3NjIzejczNkwta25UUzZ1bG02SnpBck8xUEYxMlRYUm1ESzNjcmtVUmhTOUNoVksxV2V1LXBrQXpfWjk4dFBlQk5jWUFEdWRMTmhVS1JlbVpmcXlJX3BMTGJNWEFQMFc5bFlydEFsdWNOMmpPOXBIZkxWdzhEMFVhNEZLeFVWcmV5RnZDbWpJRFNtMGdVS3BGdkpyZkI0TEZBRkROT0F6bEJGVUpIRmowNkdZU0RZY2lxTQ?oc=5"" target=""_blank"">Elgi Equipments (NSE:ELGIEQUIP) shareholders have earned a 32% CAGR over the last five years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-05 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQWVdodWNNYS1JaDlPdDNfWk5BTmFFRzE2UjRzWFdySDhGS0FqcVBOUXJwZXlzR29saEFaOFlTbS14S2lMZzhBUXN1OFVsTDBDRGRMYTFtTDY3SWk2XzlMaktUcHVzTDByZmQ5VjZ1NHc1a2U5YTVNamYxWk12Rm5mS0U4YjhVOHZRYjB2c3VzdUJxS0dDLVNidk44NmxMOVp2QVowUGhleGR6MmdHMjczSWp1ekFGb0lsWHltOFBna0tITUduS1FMc0N6N3FSUFBKanZFUDlPTTZLTG14SWFGcE9n0gHnAUFVX3lxTE1EVl8zU3BKcW9saEkzNENtUFpQS2pyaTFhTWN3T2l4N1VUWVpBUmppWHpVbXd3NjIzejczNkwta25UUzZ1bG02SnpBck8xUEYxMlRYUm1ESzNjcmtVUmhTOUNoVksxV2V1LXBrQXpfWjk4dFBlQk5jWUFEdWRMTmhVS1JlbVpmcXlJX3BMTGJNWEFQMFc5bFlydEFsdWNOMmpPOXBIZkxWdzhEMFVhNEZLeFVWcmV5RnZDbWpJRFNtMGdVS3BGdkpyZkI0TEZBRkROT0F6bEJGVUpIRmowNkdZU0RZY2lxTQ?oc=5
ELGIEQUIP,Elgi Equipments Limited,Pinning Down Elgi Equipments Limited's (NSE:ELGIEQUIP) P/E Is Difficult Right Now - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQaU13N0xfNzVuU3RaSVJkMFAtdFh0ellKUVA5THZkWmRPQ21qd1NrNWFOdDRJbkwyVVhzY0NpdDE2dmVGYVducGhZX3JRLXB3MF9yd01HQkhJZ0hvblZkajg3WFdmV28tZUs5cTItUXg3YTRpbEZvd2JzS0hUcS1kTDktaUYyODRPNWJrT1NaeDVmeWcxNDk3akxGR2lCcFYzVlpZYWRrUzhyMGtrajlxYm10RnFaSzhsUXc1bjdEcmZOYWRhWGJmNmpWWTNqdzV6d3gxV3pDdkxONUY1UVN5UzMxN2M?oc=5"" target=""_blank"">Pinning Down Elgi Equipments Limited's (NSE:ELGIEQUIP) P/E Is Difficult Right Now</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-03 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQaU13N0xfNzVuU3RaSVJkMFAtdFh0ellKUVA5THZkWmRPQ21qd1NrNWFOdDRJbkwyVVhzY0NpdDE2dmVGYVducGhZX3JRLXB3MF9yd01HQkhJZ0hvblZkajg3WFdmV28tZUs5cTItUXg3YTRpbEZvd2JzS0hUcS1kTDktaUYyODRPNWJrT1NaeDVmeWcxNDk3akxGR2lCcFYzVlpZYWRrUzhyMGtrajlxYm10RnFaSzhsUXc1bjdEcmZOYWRhWGJmNmpWWTNqdzV6d3gxV3pDdkxONUY1UVN5UzMxN2M?oc=5
ELGIEQUIP,Elgi Equipments Limited,ELGIEQUIP Share Price | Elgi Equipments Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE9hdWtsZkQtSFh4Nk1qNGNzQXJEQS1paktTZ19XaFhoVkpPVVVYTDlYcWZ2cXFkZTFwNDNkX2ZWME5EUWhjZEhDZ0Z4Um9GS1FsRlgwQkYtSzQ3NWdHQmNvVGRtZGFsQmpGQ3dJajI0MzlLSEEtNEh3?oc=5"" target=""_blank"">ELGIEQUIP Share Price | Elgi Equipments Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-02-05 19:53:21,Markets Mojo,https://news.google.com/rss/articles/CBMid0FVX3lxTE9hdWtsZkQtSFh4Nk1qNGNzQXJEQS1paktTZ19XaFhoVkpPVVVYTDlYcWZ2cXFkZTFwNDNkX2ZWME5EUWhjZEhDZ0Z4Um9GS1FsRlgwQkYtSzQ3NWdHQmNvVGRtZGFsQmpGQ3dJajI0MzlLSEEtNEh3?oc=5
ELGIEQUIP,Elgi Equipments Limited,Here's What We Like About ELGI Equipments Limited (NSE:ELGIEQUIP)'s Upcoming Dividend - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxNMTdOanpJWDB4emRGNmU2cWp6eEtLdGQ0dUxTQkh5cVRWbnduOFpEWkZqVF9ySGlnMmxUcmd0RTdZRV81bnlBNWxRR1BoVEtTZVZiQm1PeTc3SC1lUDBhZmdnYWNuTEJfNTk4MzBTNU1pRGZnWUxWZ0VkOWhJbXRVUjdiQ3ZrUQ?oc=5"" target=""_blank"">Here's What We Like About ELGI Equipments Limited (NSE:ELGIEQUIP)'s Upcoming Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",2019-07-20 07:00:00,Yahoo Finance,https://news.google.com/rss/articles/CBMihgFBVV95cUxNMTdOanpJWDB4emRGNmU2cWp6eEtLdGQ0dUxTQkh5cVRWbnduOFpEWkZqVF9ySGlnMmxUcmd0RTdZRV81bnlBNWxRR1BoVEtTZVZiQm1PeTc3SC1lUDBhZmdnYWNuTEJfNTk4MzBTNU1pRGZnWUxWZ0VkOWhJbXRVUjdiQ3ZrUQ?oc=5
ELGIEQUIP,Elgi Equipments Limited,ELGIEQUIP Forecast — Price Target — Prediction for 2027 - TradingView,"<a href=""https://news.google.com/rss/articles/CBMia0FVX3lxTFBZdlRsZUxYbXZacF9OV2p0VVpTaUpYY1lCdDhDWjItY1d4MHJuQnZ5UGZzeFhPeHF1QUUxMHczUVl4YUFWN3A5eWl3OGpPZTlrakVZMXZMNnByRjFhQndLZlRiYUdDQzV4SEJB?oc=5"" target=""_blank"">ELGIEQUIP Forecast — Price Target — Prediction for 2027</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2022-10-10 17:42:53,TradingView,https://news.google.com/rss/articles/CBMia0FVX3lxTFBZdlRsZUxYbXZacF9OV2p0VVpTaUpYY1lCdDhDWjItY1d4MHJuQnZ5UGZzeFhPeHF1QUUxMHczUVl4YUFWN3A5eWl3OGpPZTlrakVZMXZMNnByRjFhQndLZlRiYUdDQzV4SEJB?oc=5
ELGIEQUIP,Elgi Equipments Limited,"Earnings Beat: Elgi Equipments Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Models - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxPYzVycXNvZEtGYm9tbG9ZcWxHei1IUWdLekdnbERnX205VUx6dnIyeFlkNy1qNHFsM2dDcTM1YWFYR1FnNEdrMHBuS0FsVHFuSjRISjlhY2tLUVJxaFBfZ01GNVhNVFRPek1vQWQwY0dsOHdtMy10U1ZRbkczcHo3emRMMXJ2N3daaVVVVWplYVJ0Q0NJWDdETFVHNXhWUk9IRGpYU3Rxbl9aMHJBYUJEaU1ISHBoNThtcUhFTWxRMkpBazVlR01sYWFjaXFOSXdjNHBTVzNxVHNBb29DakZaUkNR?oc=5"" target=""_blank"">Earnings Beat: Elgi Equipments Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Models</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-15 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPYzVycXNvZEtGYm9tbG9ZcWxHei1IUWdLekdnbERnX205VUx6dnIyeFlkNy1qNHFsM2dDcTM1YWFYR1FnNEdrMHBuS0FsVHFuSjRISjlhY2tLUVJxaFBfZ01GNVhNVFRPek1vQWQwY0dsOHdtMy10U1ZRbkczcHo3emRMMXJ2N3daaVVVVWplYVJ0Q0NJWDdETFVHNXhWUk9IRGpYU3Rxbl9aMHJBYUJEaU1ISHBoNThtcUhFTWxRMkpBazVlR01sYWFjaXFOSXdjNHBTVzNxVHNBb29DakZaUkNR?oc=5
ELGIEQUIP,Elgi Equipments Limited,Here's What We Like About Elgi Equipments' (NSE:ELGIEQUIP) Upcoming Dividend - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxOcnpxNjdiOElCLTRCSnItOS12Yk5UTE5qbXdGV1BwSnRibmJ6TE92b2ZBb3NnYkFHbTlsZ3o0UF90Q3B5UG5nOERjbzVJMjZlcmpJZkhHX25vbGJ3V1dlRlZod0hwZTA1cWM5MnltcjE2dWtFbWlFN2tpTlJSWUFlWUtzUUQtaThoc01FNmludEZCMVAwOEdFWFg1LVhuY1dZX1loRTlzY1lQM2tNZnBRNDNpa0xjQnVZdjRYWGJPam5LenNld0tKNWVoNXlYS2hnZmZtMXFYakhHRjhOTTJFSjdR0gHnAUFVX3lxTE9QTllFbE1fa1pDZG1QSzFFeHZxaF8xYjdJc1NxOWhKWjd6Z3RjV0VXRGFUa0wwOGMxMmxWWXkzQ0FhdFBXREszT2xNSTJWZUtKQ0hRUVRIRjR2ajUxNFlUWmF2NG5XMUQ1bFFMMkRBaUJ0R0JGYktIRl9YaDFPVnpvakRVVi1ubzZWc2VOYWRpVWR5VUROZHlTcno2MWpOXzVEM3FaZ2JTNkpsZ3RQazlYamxGN19kNjJZZ29kMmRqWnR0SFNNTzEtVXNUN194NnJzVE4wRGFIUFoxRWlUWndTYlNTZHZObw?oc=5"" target=""_blank"">Here's What We Like About Elgi Equipments' (NSE:ELGIEQUIP) Upcoming Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-16 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4gFBVV95cUxOcnpxNjdiOElCLTRCSnItOS12Yk5UTE5qbXdGV1BwSnRibmJ6TE92b2ZBb3NnYkFHbTlsZ3o0UF90Q3B5UG5nOERjbzVJMjZlcmpJZkhHX25vbGJ3V1dlRlZod0hwZTA1cWM5MnltcjE2dWtFbWlFN2tpTlJSWUFlWUtzUUQtaThoc01FNmludEZCMVAwOEdFWFg1LVhuY1dZX1loRTlzY1lQM2tNZnBRNDNpa0xjQnVZdjRYWGJPam5LenNld0tKNWVoNXlYS2hnZmZtMXFYakhHRjhOTTJFSjdR0gHnAUFVX3lxTE9QTllFbE1fa1pDZG1QSzFFeHZxaF8xYjdJc1NxOWhKWjd6Z3RjV0VXRGFUa0wwOGMxMmxWWXkzQ0FhdFBXREszT2xNSTJWZUtKQ0hRUVRIRjR2ajUxNFlUWmF2NG5XMUQ1bFFMMkRBaUJ0R0JGYktIRl9YaDFPVnpvakRVVi1ubzZWc2VOYWRpVWR5VUROZHlTcno2MWpOXzVEM3FaZ2JTNkpsZ3RQazlYamxGN19kNjJZZ29kMmRqWnR0SFNNTzEtVXNUN194NnJzVE4wRGFIUFoxRWlUWndTYlNTZHZObw?oc=5
ELGIEQUIP,Elgi Equipments Limited,Technical Analysis of ELGI Equipments Limited (NSE:ELGIEQUIP) - TradingView,"<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE1fRnFKNnN6eFBpVDA4Y3dibkxTYTNvTkRxTjFzUjFPaEl0YmNQR3NCdnNyTzZ5WHJZaHh3OGZWblZYWlkwVEUybF9vX3I4bzItZ1hUQzFid0NtcWtQTGxHM3lXXzdUTUtOVzVTZ0tB?oc=5"" target=""_blank"">Technical Analysis of ELGI Equipments Limited (NSE:ELGIEQUIP)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2018-03-01 22:48:19,TradingView,https://news.google.com/rss/articles/CBMibkFVX3lxTE1fRnFKNnN6eFBpVDA4Y3dibkxTYTNvTkRxTjFzUjFPaEl0YmNQR3NCdnNyTzZ5WHJZaHh3OGZWblZYWlkwVEUybF9vX3I4bzItZ1hUQzFid0NtcWtQTGxHM3lXXzdUTUtOVzVTZ0tB?oc=5
