scrip,company,headline,summary,published_date,source,url
FORCEMOT,FORCE MOTORS LTD,Subdued Growth No Barrier To Force Motors Limited (NSE:FORCEMOT) With Shares Advancing 26% - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxON1RubkVJbzVudHUyTjJwX0s2UGs1WE9VYVB2eFBlMVAtQ0FkdWxvVWJpaU4zRmpocnZBX3FxRGFsV2xPQ3MzUkhCRVRnWlRmdWdHaUhnNk54Q3hCUzZkTDdmUWlkR0VKdGQ0c0l3SUszS3NLc2lQTkwyYVI3T3RHZjZ5SG5nLUVOb2tqT0NpN2VKRkhPVEs1RUJITG5ocm00d3I4RmNGZDh1LTFoN0lYTm5abVpFZmZCaTdyamNXSlduSlo2WE9jc1daUmZNMWRocTVRS1dBemlucm5F?oc=5"" target=""_blank"">Subdued Growth No Barrier To Force Motors Limited (NSE:FORCEMOT) With Shares Advancing 26%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-11 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3AFBVV95cUxON1RubkVJbzVudHUyTjJwX0s2UGs1WE9VYVB2eFBlMVAtQ0FkdWxvVWJpaU4zRmpocnZBX3FxRGFsV2xPQ3MzUkhCRVRnWlRmdWdHaUhnNk54Q3hCUzZkTDdmUWlkR0VKdGQ0c0l3SUszS3NLc2lQTkwyYVI3T3RHZjZ5SG5nLUVOb2tqT0NpN2VKRkhPVEs1RUJITG5ocm00d3I4RmNGZDh1LTFoN0lYTm5abVpFZmZCaTdyamNXSlduSlo2WE9jc1daUmZNMWRocTVRS1dBemlucm5F?oc=5
FORCEMOT,FORCE MOTORS LTD,Force Motors Falls 5.3% as GST Cuts Miss Diesel Segment - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTFBJZWhCSEpHbG5YZXRCWkc4c0h0UExJc1dnUWNxZjRwcG1sREhjWWt1R0F3SE01dWVaZG1KZlhhSUdTTzY5dzREcGdKbkd4bVE1czlpQXBxTjhPR0VjQWpUUGVGaWlPUUVrSnFRNGJMSHFkNG1tOWEw?oc=5"" target=""_blank"">Force Motors Falls 5.3% as GST Cuts Miss Diesel Segment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-09-04 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMid0FVX3lxTFBJZWhCSEpHbG5YZXRCWkc4c0h0UExJc1dnUWNxZjRwcG1sREhjWWt1R0F3SE01dWVaZG1KZlhhSUdTTzY5dzREcGdKbkd4bVE1czlpQXBxTjhPR0VjQWpUUGVGaWlPUUVrSnFRNGJMSHFkNG1tOWEw?oc=5
FORCEMOT,FORCE MOTORS LTD,Force Motors (NSE:FORCEMOT) Is Achieving High Returns On Its Capital - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxOYURib2NDLWtIM0FyWnBweUxwTjJkUEtabzJQSGFKWE9ybl9TOFBaZHFuNUVIdmF5Vi1aeW1NTEhnWEhUZXEybUZ3MGwwTXdoQkFCazNtN3Y3WkJQZU5sbDdHZU1jVDdmQmczMUN1VkJmWDZPbmxKc2cyMlR2Z0QwQ0lrU1BmbmtGcktQSWZCeXUza2xxVG1sTy1PM1ZtNko2bW0weGgtY2Q3YjhER3RjX0paYk5KMm9VMUI5dWczZDVNekZJZGFFcThycDdUQllvSm4tcUEwZmxKU09Z0gHiAUFVX3lxTE9lSDFMLW9wdzZWRUZycXpDZEVJRUluZ0dNMU1NbzJYQVhZWURPNHItNWN5SlpfY1NvWm5kczNzVktyazYyRUkzTi1qeHN5eUxtTm5sNENPejJZZ2tianBnUlVPTUE0VzVDQWhEQVlWenRaZkoxNXo4YXlSMnprRWFURDEweExHaFYzM1o1a0pxZUZYWldxMUFzV0lUSjZnS1VYN0NacDRRTFlta0RjaXJDUHRTV2YyUVRCenlhWGV3UWRwbC1WcC03bTVFNkZpVVF2cTNqM1lrSjloOGltZ1Q1Qnc?oc=5"" target=""_blank"">Force Motors (NSE:FORCEMOT) Is Achieving High Returns On Its Capital</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-09 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3AFBVV95cUxOYURib2NDLWtIM0FyWnBweUxwTjJkUEtabzJQSGFKWE9ybl9TOFBaZHFuNUVIdmF5Vi1aeW1NTEhnWEhUZXEybUZ3MGwwTXdoQkFCazNtN3Y3WkJQZU5sbDdHZU1jVDdmQmczMUN1VkJmWDZPbmxKc2cyMlR2Z0QwQ0lrU1BmbmtGcktQSWZCeXUza2xxVG1sTy1PM1ZtNko2bW0weGgtY2Q3YjhER3RjX0paYk5KMm9VMUI5dWczZDVNekZJZGFFcThycDdUQllvSm4tcUEwZmxKU09Z0gHiAUFVX3lxTE9lSDFMLW9wdzZWRUZycXpDZEVJRUluZ0dNMU1NbzJYQVhZWURPNHItNWN5SlpfY1NvWm5kczNzVktyazYyRUkzTi1qeHN5eUxtTm5sNENPejJZZ2tianBnUlVPTUE0VzVDQWhEQVlWenRaZkoxNXo4YXlSMnprRWFURDEweExHaFYzM1o1a0pxZUZYWldxMUFzV0lUSjZnS1VYN0NacDRRTFlta0RjaXJDUHRTV2YyUVRCenlhWGV3UWRwbC1WcC03bTVFNkZpVVF2cTNqM1lrSjloOGltZ1Q1Qnc?oc=5
FORCEMOT,FORCE MOTORS LTD,Force Motors share price rises on posting robust Q2 earnings - TradingView,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxPMS14TjNscW1GZHluTjMxUmtFYUE4LXMyeXBKbU80ZGFCNVQtOTVSR3VZQjlOUVRMY1V6ZDBxc2w3U0E1RnJTUFVWX25xX1dReXY5bDJhZmxDUk9heDdWbi1idWlPcVZMalk5UmJ6LWFGaWc0dDJUbnZLZlVrSXFtejFiMnY0cWhiZ3R3RVNGRmlMUGZqdXAtMjVDVklIdlJxemhvOGRNSnVZRW11M2FjNlEyRjNUNlVQWU9vNUNIbkw?oc=5"" target=""_blank"">Force Motors share price rises on posting robust Q2 earnings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2025-11-09 08:00:00,TradingView,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPMS14TjNscW1GZHluTjMxUmtFYUE4LXMyeXBKbU80ZGFCNVQtOTVSR3VZQjlOUVRMY1V6ZDBxc2w3U0E1RnJTUFVWX25xX1dReXY5bDJhZmxDUk9heDdWbi1idWlPcVZMalk5UmJ6LWFGaWc0dDJUbnZLZlVrSXFtejFiMnY0cWhiZ3R3RVNGRmlMUGZqdXAtMjVDVklIdlJxemhvOGRNSnVZRW11M2FjNlEyRjNUNlVQWU9vNUNIbkw?oc=5
FORCEMOT,FORCE MOTORS LTD,Is It Smart To Buy Force Motors Limited (NSE:FORCEMOT) Before It Goes Ex-Dividend? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNNmNkUWs0RDN6ODNscHBfeUR6RDVMNmVuWldzUVBqNW5wa3V6QlRFLWtRS3NyYkZfMVd1T25jOURDNHllckZPMFRldklnV2ZqbU5zdVVvZGJKcGhCOWZkRDVmdEZ3S0x0cXRBbXB5Z0tFUWlQNzBvbmN0c0JMVFBxV3MtLU5ldlVHNl9VTHNyN2VMSnRpczJBLS1IU2xPdTNTU2RfcWZWeHk3eFR6b1kzd3RERVZsOXd4akF2MUh6NjV5cEE4dllYNTZOcEhZRldtTjZ5QlJHMnVvQXVQ?oc=5"" target=""_blank"">Is It Smart To Buy Force Motors Limited (NSE:FORCEMOT) Before It Goes Ex-Dividend?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-06 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNNmNkUWs0RDN6ODNscHBfeUR6RDVMNmVuWldzUVBqNW5wa3V6QlRFLWtRS3NyYkZfMVd1T25jOURDNHllckZPMFRldklnV2ZqbU5zdVVvZGJKcGhCOWZkRDVmdEZ3S0x0cXRBbXB5Z0tFUWlQNzBvbmN0c0JMVFBxV3MtLU5ldlVHNl9VTHNyN2VMSnRpczJBLS1IU2xPdTNTU2RfcWZWeHk3eFR6b1kzd3RERVZsOXd4akF2MUh6NjV5cEE4dllYNTZOcEhZRldtTjZ5QlJHMnVvQXVQ?oc=5
FORCEMOT,FORCE MOTORS LTD,"Force Motors Hits ₹20,500 High After 55% Profit Surge in Q1 - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTE9KS29ESDVJNVZOSF92S2gyMXR4VU9rd1J1NkU5R0FyckozS0VyNmRpWXBkT282YTA1MVQwWFVvSGdkLXY2YXVHZVE0dTNaQXMtTElBVUdNV3JVLXZkd3NLa3g0TXEwLXZWdTBqY2NGSFc2MEtH?oc=5"" target=""_blank"">Force Motors Hits ₹20,500 High After 55% Profit Surge in Q1</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-07-24 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMidEFVX3lxTE9KS29ESDVJNVZOSF92S2gyMXR4VU9rd1J1NkU5R0FyckozS0VyNmRpWXBkT282YTA1MVQwWFVvSGdkLXY2YXVHZVE0dTNaQXMtTElBVUdNV3JVLXZkd3NLa3g0TXEwLXZWdTBqY2NGSFc2MEtH?oc=5
FORCEMOT,FORCE MOTORS LTD,"Force Motors share price climbs over 7% on Indian Defence Forces order for 2,978 Gurkha light vehicles - Upstox","<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxOOWJ5eFlYcFVrTVhYaEJwMEtYZ3V5anhxczZfcFNSdzRCSWhMaXowMldoTm9NY3BEdVZhejh3WHBKVVB6LTJic1V2SW5iMHAzU1RMcFM3TU5lVEg2TGxncVpRTmFDejlIMDUtejhnTHUwLUY4dy1HTU9Ta280c3lrMEltejFXQWpKa3dfRlFTZTBnUTViQ0JXeUhQXzBRcWhGeFF5c3Zfc214ZXRBLWNpMFlabHl6VmstWkFmU3g4cGJ5YnlmSkN5MjRlcFZCTFJlUWdhX1Znb25JTlFLcGhXZlEtU1ZXMERVLVBHVUdubm8xZw?oc=5"" target=""_blank"">Force Motors share price climbs over 7% on Indian Defence Forces order for 2,978 Gurkha light vehicles</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-03-27 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi8gFBVV95cUxOOWJ5eFlYcFVrTVhYaEJwMEtYZ3V5anhxczZfcFNSdzRCSWhMaXowMldoTm9NY3BEdVZhejh3WHBKVVB6LTJic1V2SW5iMHAzU1RMcFM3TU5lVEg2TGxncVpRTmFDejlIMDUtejhnTHUwLUY4dy1HTU9Ta280c3lrMEltejFXQWpKa3dfRlFTZTBnUTViQ0JXeUhQXzBRcWhGeFF5c3Zfc214ZXRBLWNpMFlabHl6VmstWkFmU3g4cGJ5YnlmSkN5MjRlcFZCTFJlUWdhX1Znb25JTlFLcGhXZlEtU1ZXMERVLVBHVUdubm8xZw?oc=5
FORCEMOT,FORCE MOTORS LTD,FORCEMOT Share Price | Force Motors Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE5DanJQeE1fNnVOd1J6QlYycHNCQ1lDN2xLUUE2Tkt4ZzZ3SEozc2RLUTRVWVBobW1JTWotQ0tvMHAxVEE5cDVUWEY5c0xrdU5FV0RRNlA0R0Zqd3ByWDVqTzl5LU1UQVpXZHpsZmFoM0NxcW8?oc=5"" target=""_blank"">FORCEMOT Share Price | Force Motors Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-02-23 01:51:43,Markets Mojo,https://news.google.com/rss/articles/CBMic0FVX3lxTE5DanJQeE1fNnVOd1J6QlYycHNCQ1lDN2xLUUE2Tkt4ZzZ3SEozc2RLUTRVWVBobW1JTWotQ0tvMHAxVEE5cDVUWEY5c0xrdU5FV0RRNlA0R0Zqd3ByWDVqTzl5LU1UQVpXZHpsZmFoM0NxcW8?oc=5
FORCEMOT,FORCE MOTORS LTD,"Force Motors Limited Reports Earnings Results for the Third Quarter and Nine Months Ended December 31, 2025 - marketscreener.com","<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxOZ2RMWm1xTVhGTU5HVlJPWlB2NkI5dVpGZ19GQzdoTkpHbmhFam53R3IxWkcyU3FRRUpRWGhURXhRWmU5cWdyTnRtYlNLdENGZmt6aXhYbENFUXV4M1k4MnBJUmo5ZHpDbHBwN1NuMWVia0RHQ1Uzc1pmb1Y4LVA5Vlp1MXdvQkVLdGdiYUZzVDFjZ3NuOGhrMExVLTNqVjg3RjNZRWZMc2xUTUIwZkFXbkNoamxrYUUtZkw2ZzFLRTBTeFBtSG91b0JUZURidlhnU0NPSjhwbjhnMnNTV2xwS2xRNmNPdTUz?oc=5"" target=""_blank"">Force Motors Limited Reports Earnings Results for the Third Quarter and Nine Months Ended December 31, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketscreener.com</font>",2026-02-04 08:00:00,marketscreener.com,https://news.google.com/rss/articles/CBMi6AFBVV95cUxOZ2RMWm1xTVhGTU5HVlJPWlB2NkI5dVpGZ19GQzdoTkpHbmhFam53R3IxWkcyU3FRRUpRWGhURXhRWmU5cWdyTnRtYlNLdENGZmt6aXhYbENFUXV4M1k4MnBJUmo5ZHpDbHBwN1NuMWVia0RHQ1Uzc1pmb1Y4LVA5Vlp1MXdvQkVLdGdiYUZzVDFjZ3NuOGhrMExVLTNqVjg3RjNZRWZMc2xUTUIwZkFXbkNoamxrYUUtZkw2ZzFLRTBTeFBtSG91b0JUZURidlhnU0NPSjhwbjhnMnNTV2xwS2xRNmNPdTUz?oc=5
FORCEMOT,FORCE MOTORS LTD,Will Weakness in Force Motors Limited's (NSE:FORCEMOT) Stock Prove Temporary Given Strong Fundamentals? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQeVV4RUJJT285RnEtV2FjWDQzN3JKV0JpdVpmajBTR1JydFlvS1pvNFcyb25LTjR5V3RWQy1hQXUyM1oxdEV0UEZRMWpsV2lUSHducWZyWEtlb1pxQUFkbXd3d0FuQ2FvX3ZpV2ItTm05OThadVZOakhXVXVRWU03el9hbUV3T3pQR2FCWXluZkZRTjduT0doNnoyekF2RzRuTWdFWkRSMm9GUUM4WlAyUzZlYnhycXNhSnZLZkZrMFRhNEJKb3RwSklxTHpZVEV2dXVBZFNEelhWbTBH?oc=5"" target=""_blank"">Will Weakness in Force Motors Limited's (NSE:FORCEMOT) Stock Prove Temporary Given Strong Fundamentals?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-29 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQeVV4RUJJT285RnEtV2FjWDQzN3JKV0JpdVpmajBTR1JydFlvS1pvNFcyb25LTjR5V3RWQy1hQXUyM1oxdEV0UEZRMWpsV2lUSHducWZyWEtlb1pxQUFkbXd3d0FuQ2FvX3ZpV2ItTm05OThadVZOakhXVXVRWU03el9hbUV3T3pQR2FCWXluZkZRTjduT0doNnoyekF2RzRuTWdFWkRSMm9GUUM4WlAyUzZlYnhycXNhSnZLZkZrMFRhNEJKb3RwSklxTHpZVEV2dXVBZFNEelhWbTBH?oc=5
