scrip,company,headline,summary,published_date,source,url
FORTIS,Fortis Healthcare Limited,Fortis Healthcare Limited Just Missed Earnings - But Analysts Have Updated Their Models - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPVWhudlp4MENCSFZ4MmFxd29CTV9CWVMzZVppUENvbGxBM2RzODdZelZRYlJaRU5WN1ZjNkpTbXdidGpjVVVpOEJKdkU1Y2E2YWdycGROd0Y2LUplT2xySERCN1I0ZVdPR0tsZ1NDeDkxSUNpbTFJRlV3aFFObXU4aUF1ejZLeXN5Tl9nYk81SzJMMmZxUUVBMG5nQ3cyMlRZZEtJUVhLcEJQT2htcXZ1Ul91eXV1TTNLQmV1ZkJHR25NVjh0UXM2c1ROQWpBMS01N20taXBDWlBDY03SAeABQVVfeXFMTmtlV0MyOFpxY0lBdGliaWxqOUNJVzBpVUNGNzBGczZxR0FJMDc5RXZ1U0RPVl9Tcm45bDR6S216ckJ4NzEyNWZyZlU4azRxNGdsSll2NG0xV091U1pCdUFxa05PY0hWZ3c0QWt6M2JUNmNFS3VVQWZpNXowTDVWd0dhYnlacXBJUThuMWY1TG5aMDZEanh2ZEVjMFpWSEkxNkF5OHVCRnJMdTYzTjRuZDR6RjNOZmFGZ0kwUlV0WkhBRjJKckNiaFhRWGhnZFpuOGxlLVEyeU1fSkhLVFFOdUI?oc=5"" target=""_blank"">Fortis Healthcare Limited Just Missed Earnings - But Analysts Have Updated Their Models</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-18 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPVWhudlp4MENCSFZ4MmFxd29CTV9CWVMzZVppUENvbGxBM2RzODdZelZRYlJaRU5WN1ZjNkpTbXdidGpjVVVpOEJKdkU1Y2E2YWdycGROd0Y2LUplT2xySERCN1I0ZVdPR0tsZ1NDeDkxSUNpbTFJRlV3aFFObXU4aUF1ejZLeXN5Tl9nYk81SzJMMmZxUUVBMG5nQ3cyMlRZZEtJUVhLcEJQT2htcXZ1Ul91eXV1TTNLQmV1ZkJHR25NVjh0UXM2c1ROQWpBMS01N20taXBDWlBDY03SAeABQVVfeXFMTmtlV0MyOFpxY0lBdGliaWxqOUNJVzBpVUNGNzBGczZxR0FJMDc5RXZ1U0RPVl9Tcm45bDR6S216ckJ4NzEyNWZyZlU4azRxNGdsSll2NG0xV091U1pCdUFxa05PY0hWZ3c0QWt6M2JUNmNFS3VVQWZpNXowTDVWd0dhYnlacXBJUThuMWY1TG5aMDZEanh2ZEVjMFpWSEkxNkF5OHVCRnJMdTYzTjRuZDR6RjNOZmFGZ0kwUlV0WkhBRjJKckNiaFhRWGhnZFpuOGxlLVEyeU1fSkhLVFFOdUI?oc=5
FORTIS,Fortis Healthcare Limited,"Fortis Healthcare's Merger Scheme Involving Five Subsidiaries Becomes Effective March 1, 2026 - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQckVsc0huQTZGSHRBWThOcG9XWjE0RnZhM294M1k5TVRSNnJlNUpSYnRNVHdBSWlTZTZ3aVVLTzVqa0RkWDJYeW52QVpoSXdQeEw2dWRVaG85WG9TZlBNNVN0Y2VyajJCZ2tkYkN0X0ZmcnE1MUFPYUtIVmRSMnkwaGJjd1FDU0pJc2VXQzJSSHBxQkQxWnM4YmhCRWNyZnJaWDJPVmxwbWZMVGtoZkp5WHUwck9DTGcyM1didm40RVlBLTktUW96TXVFakxoa3paS3VFUm9rUWJxdkRnTXBBTXJsY2hNZkU?oc=5"" target=""_blank"">Fortis Healthcare's Merger Scheme Involving Five Subsidiaries Becomes Effective March 1, 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-03-01 20:31:18,scanx.trade,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQckVsc0huQTZGSHRBWThOcG9XWjE0RnZhM294M1k5TVRSNnJlNUpSYnRNVHdBSWlTZTZ3aVVLTzVqa0RkWDJYeW52QVpoSXdQeEw2dWRVaG85WG9TZlBNNVN0Y2VyajJCZ2tkYkN0X0ZmcnE1MUFPYUtIVmRSMnkwaGJjd1FDU0pJc2VXQzJSSHBxQkQxWnM4YmhCRWNyZnJaWDJPVmxwbWZMVGtoZkp5WHUwck9DTGcyM1didm40RVlBLTktUW96TXVFakxoa3paS3VFUm9rUWJxdkRnTXBBTXJsY2hNZkU?oc=5
FORTIS,Fortis Healthcare Limited,How Fortis Healthcare’s Merger with 4 Subsidiaries Benefits Investors? - Trade Brains,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxOX3A1MlN2N1BFYUxRZzdTUTg2NEZqMjZEcmppWWxtcEtya2VRdmtyaU5RdW52Mk9KaU42dHdJZ1BiNlNIUXlIdTliQk9KamJDWnA5WGgwZ0hiSk9ZWjk2b0lURHZOMVBMTDFMWFZSMlItajFLUUtZRGVYLXNHMTNnWm1EZXFYOGtDX2w5cHdJOUc3bzhVWjJR?oc=5"" target=""_blank"">How Fortis Healthcare’s Merger with 4 Subsidiaries Benefits Investors?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trade Brains</font>",2026-03-02 10:25:00,Trade Brains,https://news.google.com/rss/articles/CBMilwFBVV95cUxOX3A1MlN2N1BFYUxRZzdTUTg2NEZqMjZEcmppWWxtcEtya2VRdmtyaU5RdW52Mk9KaU42dHdJZ1BiNlNIUXlIdTliQk9KamJDWnA5WGgwZ0hiSk9ZWjk2b0lURHZOMVBMTDFMWFZSMlItajFLUUtZRGVYLXNHMTNnWm1EZXFYOGtDX2w5cHdJOUc3bzhVWjJR?oc=5
FORTIS,Fortis Healthcare Limited,Fortis Healthcare stock downgraded by Goldman Sachs on limited upside - Investing.com India,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxNc0NWeTZYYWhsNlNWb0VCWUl4dVRvcEhldUlhMnpkUUlaR0J6dFh4RkVqY1EzQWwzTjNoWURRUEFPS3g3WkxjU0twSWdpSTdfOUF6U0RVU3BkVllKRlFoa2RQdkpOdVRIMVFIQ2VtM25FcGJMbHRMdHgySXBUUXRmZHdtTGdNYllKcDNXenVXcVd1a3VxTWh4OWx5VEN1Nmlzc09nNGdiLXdrcEZkblJGVWdLUzdScE1kQXlzS0h6bmlhMk5zcEZB?oc=5"" target=""_blank"">Fortis Healthcare stock downgraded by Goldman Sachs on limited upside</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Investing.com India</font>",2025-12-07 08:00:00,Investing.com India,https://news.google.com/rss/articles/CBMixwFBVV95cUxNc0NWeTZYYWhsNlNWb0VCWUl4dVRvcEhldUlhMnpkUUlaR0J6dFh4RkVqY1EzQWwzTjNoWURRUEFPS3g3WkxjU0twSWdpSTdfOUF6U0RVU3BkVllKRlFoa2RQdkpOdVRIMVFIQ2VtM25FcGJMbHRMdHgySXBUUXRmZHdtTGdNYllKcDNXenVXcVd1a3VxTWh4OWx5VEN1Nmlzc09nNGdiLXdrcEZkblJGVWdLUzdScE1kQXlzS0h6bmlhMk5zcEZB?oc=5
FORTIS,Fortis Healthcare Limited,"SJVN, Fortis Healthcare stocks among top gainers on Nifty Midcap 150 today - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxPc2c2My11VThrd2NBc2pKQ21pWTAyaHFpaVIxTlRCaW5qdVhmdXBUdUtvQ2Q1cTg5cEdWcEZuYmZsN3lIR1VPdktxd1BIbElNdXZGSUk5bWNWbVoyQlk5Y1YxVDBRdmRNNmN1Uy1XeERhcU8tZnhQY0JKYm1sX2VyWUFXVXBHWXRPTG9FcDJtbmttVW5BYzk3eWlvMVJlNER3LTAyOG1OZUY2cG5UZHZ3VnQ0X1hXS3Q2M2xYVFBKT2RmMVhTUnNXQzVkWnFiZU9uSGU3TDJjYks1YnB6RjVOejM4bEdjd9IB6wFBVV95cUxOZjJzZV8wcndxZVN6Z0RFZzVuMHVyclhFSU12akNRYV95UEtzWVFTZ2Z2amR0U1gtVVdPUjJMd0hqa0FyNUxmYk53X3ZCekFjemVSdkhjQ3p0R3o4TUZzcVFfVWJPbjRVZFpWLV92SjRQNV9Uc2JtMldlU1pEWGZyYi1leWRXbEdiRTNLTHlOYW5ubU5zQXFqdkNtQUl1S2tzYW1NTG9tTmRQTzVkWnhhN3FxS19zOTlIS2JZYllLM0YtX01pcmZrMkFBbEdmWFlEZDhGZUdKazRFN0N2MEdPTzY2YzBBQlYxcTNr?oc=5"" target=""_blank"">SJVN, Fortis Healthcare stocks among top gainers on Nifty Midcap 150 today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-12 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPc2c2My11VThrd2NBc2pKQ21pWTAyaHFpaVIxTlRCaW5qdVhmdXBUdUtvQ2Q1cTg5cEdWcEZuYmZsN3lIR1VPdktxd1BIbElNdXZGSUk5bWNWbVoyQlk5Y1YxVDBRdmRNNmN1Uy1XeERhcU8tZnhQY0JKYm1sX2VyWUFXVXBHWXRPTG9FcDJtbmttVW5BYzk3eWlvMVJlNER3LTAyOG1OZUY2cG5UZHZ3VnQ0X1hXS3Q2M2xYVFBKT2RmMVhTUnNXQzVkWnFiZU9uSGU3TDJjYks1YnB6RjVOejM4bEdjd9IB6wFBVV95cUxOZjJzZV8wcndxZVN6Z0RFZzVuMHVyclhFSU12akNRYV95UEtzWVFTZ2Z2amR0U1gtVVdPUjJMd0hqa0FyNUxmYk53X3ZCekFjemVSdkhjQ3p0R3o4TUZzcVFfVWJPbjRVZFpWLV92SjRQNV9Uc2JtMldlU1pEWGZyYi1leWRXbEdiRTNLTHlOYW5ubU5zQXFqdkNtQUl1S2tzYW1NTG9tTmRQTzVkWnhhN3FxS19zOTlIS2JZYllLM0YtX01pcmZrMkFBbEdmWFlEZDhGZUdKazRFN0N2MEdPTzY2YzBBQlYxcTNr?oc=5
FORTIS,Fortis Healthcare Limited,Fortis Healthcare shares gain as analysts see up to 25% upside post solid Q3 - CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxPcUUzOHd3Zlpmd3ZZOUNkZkFOeEtfVHJrM0xlLW5ESjhCZlZuNUdfYzROYUcxTGFWRTZqN0x2OXUwYW9URTNYaGpGNlFlSWtjU25SU0VyemI4cy1MdTVKZjIzT2tpcDJ6aE1MSHNKSmxrUTVId2lySklpZG9YNzJvazF5cjdCd1YtQldrYXV0YU9zb2lBM3l2d1U1T2RUSzZNMGxWUE5jdDVYMXZ0Rm0tZGpYLWVBWTN6UzdMRWRYLURrdnpnUFB2bE1HQzl4ekNUMDRwczFmTG42SHYtYkHSAeMBQVVfeXFMUGVKNkRVelpQMjFxNC14RExNbHA0eWxOVDJoZ3VrTXd6aTdNd200LU81LW9GSHJWR29SZE5aVXhMWEhuZi1BOUFaOU01SzN4T3oxX3IzTWNVUm9FR0ZKV1dMeTlweEd3M1dQZnFyZHRpWlJaWWdwZW9xS2xacGNjM2NGLWFmcE9wLW8zRk1xUnF2dlVFUTNjeWdiNmpVazREMXprZVh4dGdvQmgtaHRLQmliS3lJdXgtUkg3N3QyYW15SmQ4ampuUlNsYW52bHpZeWZ6eUs4U1E2N0ptVGNDUVMzYkk?oc=5"" target=""_blank"">Fortis Healthcare shares gain as analysts see up to 25% upside post solid Q3</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2026-02-17 08:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPcUUzOHd3Zlpmd3ZZOUNkZkFOeEtfVHJrM0xlLW5ESjhCZlZuNUdfYzROYUcxTGFWRTZqN0x2OXUwYW9URTNYaGpGNlFlSWtjU25SU0VyemI4cy1MdTVKZjIzT2tpcDJ6aE1MSHNKSmxrUTVId2lySklpZG9YNzJvazF5cjdCd1YtQldrYXV0YU9zb2lBM3l2d1U1T2RUSzZNMGxWUE5jdDVYMXZ0Rm0tZGpYLWVBWTN6UzdMRWRYLURrdnpnUFB2bE1HQzl4ekNUMDRwczFmTG42SHYtYkHSAeMBQVVfeXFMUGVKNkRVelpQMjFxNC14RExNbHA0eWxOVDJoZ3VrTXd6aTdNd200LU81LW9GSHJWR29SZE5aVXhMWEhuZi1BOUFaOU01SzN4T3oxX3IzTWNVUm9FR0ZKV1dMeTlweEd3M1dQZnFyZHRpWlJaWWdwZW9xS2xacGNjM2NGLWFmcE9wLW8zRk1xUnF2dlVFUTNjeWdiNmpVazREMXprZVh4dGdvQmgtaHRLQmliS3lJdXgtUkg3N3QyYW15SmQ4ampuUlNsYW52bHpZeWZ6eUs4U1E2N0ptVGNDUVMzYkk?oc=5
FORTIS,Fortis Healthcare Limited,Fortis Healthcare Ltd Valuation Shifts to Very Expensive Amid Strong Price Gains - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxQT2R5Z2J5cGlCNTNrbHZvSWlnaU9lZHdqaGJraXp1dkFlMi1oS3owdnZSS0NpbV9qUHJiZWdmeGZwSzF6NWltRm9rRkExTzczdlo5RGdzT2diYTR1c19jemZ2YklKLWxsbGdjS3loS0pkM0NBQjNPRzBjTWh6eWh3dDdrT0pYMGUyeG80d0VFVXpNRW5mY21aanZxNlJCU015MEZXT09EMEpORXJ4VURnVi1YN25iT1BVWGx0NlJhZmV3bGRDbGNOYVViSU51aF80S0o0Tg?oc=5"" target=""_blank"">Fortis Healthcare Ltd Valuation Shifts to Very Expensive Amid Strong Price Gains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-12 03:34:06,Markets Mojo,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQT2R5Z2J5cGlCNTNrbHZvSWlnaU9lZHdqaGJraXp1dkFlMi1oS3owdnZSS0NpbV9qUHJiZWdmeGZwSzF6NWltRm9rRkExTzczdlo5RGdzT2diYTR1c19jemZ2YklKLWxsbGdjS3loS0pkM0NBQjNPRzBjTWh6eWh3dDdrT0pYMGUyeG80d0VFVXpNRW5mY21aanZxNlJCU015MEZXT09EMEpORXJ4VURnVi1YN25iT1BVWGx0NlJhZmV3bGRDbGNOYVViSU51aF80S0o0Tg?oc=5
FORTIS,Fortis Healthcare Limited,From Max Healthcare To Fortis: Top 4 Conviction Stock Picks For FY26 From Pharma & Hospitals Space - Goodreturns,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNU24tY3BVUkYyQ01sVjYySEZZb3ZCTjh1X21YZzRCYmNQMTI2T2ZVOXhNbmZyWkhaeWs0UE1hRldycjVydFBBNm5vbDFpb21YWVl6eUVob2oybVIzcUxkWlFxNUh0bGNONEp0QnByOHBkUDFBMmhVTmtzX0dlc2dhN3hlaVB3alVGa2MzOWxqUUsyNzhPT0dHU1ByWVhjZTlQdW1uMGNBVG9pLXRyZjJySDlsRnpteHlIaEo0eEFsbzQ4Sk5JZFR5d2NXOGRWZW5OZktqWUFxaw?oc=5"" target=""_blank"">From Max Healthcare To Fortis: Top 4 Conviction Stock Picks For FY26 From Pharma & Hospitals Space</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Goodreturns</font>",2026-02-20 08:00:00,Goodreturns,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNU24tY3BVUkYyQ01sVjYySEZZb3ZCTjh1X21YZzRCYmNQMTI2T2ZVOXhNbmZyWkhaeWs0UE1hRldycjVydFBBNm5vbDFpb21YWVl6eUVob2oybVIzcUxkWlFxNUh0bGNONEp0QnByOHBkUDFBMmhVTmtzX0dlc2dhN3hlaVB3alVGa2MzOWxqUUsyNzhPT0dHU1ByWVhjZTlQdW1uMGNBVG9pLXRyZjJySDlsRnpteHlIaEo0eEFsbzQ4Sk5JZFR5d2NXOGRWZW5OZktqWUFxaw?oc=5
FORTIS,Fortis Healthcare Limited,"Fortis Open Offer: IHH Healthcare Keeps Rs 170 Price, SEBI Clears Deal - OC Academy","<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxPMDl5UzNuY1ZfYUFYc0tNeVY3VmVxSk9QcEpxRlB5Zi1jeDlVYTdfZ3FFYWhCY29rZFNXaG5SVTVKbmJTQWhIempuR1dJalB5ZEJIczdQRjhqRDRPTWNPXy1VbUFOR3duYlpjN0dBbl9IRmQ2aWVNTmRKREpDVWk5d0tUZkVsQQ?oc=5"" target=""_blank"">Fortis Open Offer: IHH Healthcare Keeps Rs 170 Price, SEBI Clears Deal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OC Academy</font>",2025-10-10 07:00:00,OC Academy,https://news.google.com/rss/articles/CBMihgFBVV95cUxPMDl5UzNuY1ZfYUFYc0tNeVY3VmVxSk9QcEpxRlB5Zi1jeDlVYTdfZ3FFYWhCY29rZFNXaG5SVTVKbmJTQWhIempuR1dJalB5ZEJIczdQRjhqRDRPTWNPXy1VbUFOR3duYlpjN0dBbl9IRmQ2aWVNTmRKREpDVWk5d0tUZkVsQQ?oc=5
FORTIS,Fortis Healthcare Limited,"Fortis Healthcare Limited's (NSE:FORTIS) high institutional ownership speaks for itself as stock continues to impress, up 7.1% over last week - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQNHI3RUJGN3FxdzlqOFBSeDMzRzUwUUk4Zm41WGlxLWtZWDl1ZVNzdzlhdzlaRW1DZlJLZmZEUHpERVEyWUw5bk5MWE92RjJxOUYycExvY25WWS1zUmVnWWxMQmJlVHotX1AxdlNTRXBFT2J5eDlhWTNKR0FrcklheGdXWGlCczFUOW5PUXlnV3A0bktya0lwcC1VWWlXRnpCRlJ4N1kwUXVjOHB3d2hKOWJ2N0stWDFvZ1FkZzdtSVMyNGRkZncxWlYyZGVycGRfLXZMZElMdDA2Z1dT0gHiAUFVX3lxTE50bm0tNUx0djBGY0RFRjQzX2JGZUR6R2Z0b0RQWFVhX3BEME9xcTU2WExPNWJwNkhsLXRfeWM4X2YxdmJDRjVRVnhDc0FuUkgyTjcyZG9EbmhJYk9KRENBYjJ4SkQxSVhvUlYwcFhMamFDaHozOTVlLWFyRGg3aGpWUTVQOGFVRGZhc2RIVUlyYnd5SFg4MHplcng5M1AxdVRhRS1zNXhrN2NEVmFPN0Y1SVB6dGlETTlVenJYRDU5NGN4UzNGekFBMk9VLXlUMkpycm1lTkFzUEVFc0Z0R2ZKQ2c?oc=5"" target=""_blank"">Fortis Healthcare Limited's (NSE:FORTIS) high institutional ownership speaks for itself as stock continues to impress, up 7.1% over last week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-16 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQNHI3RUJGN3FxdzlqOFBSeDMzRzUwUUk4Zm41WGlxLWtZWDl1ZVNzdzlhdzlaRW1DZlJLZmZEUHpERVEyWUw5bk5MWE92RjJxOUYycExvY25WWS1zUmVnWWxMQmJlVHotX1AxdlNTRXBFT2J5eDlhWTNKR0FrcklheGdXWGlCczFUOW5PUXlnV3A0bktya0lwcC1VWWlXRnpCRlJ4N1kwUXVjOHB3d2hKOWJ2N0stWDFvZ1FkZzdtSVMyNGRkZncxWlYyZGVycGRfLXZMZElMdDA2Z1dT0gHiAUFVX3lxTE50bm0tNUx0djBGY0RFRjQzX2JGZUR6R2Z0b0RQWFVhX3BEME9xcTU2WExPNWJwNkhsLXRfeWM4X2YxdmJDRjVRVnhDc0FuUkgyTjcyZG9EbmhJYk9KRENBYjJ4SkQxSVhvUlYwcFhMamFDaHozOTVlLWFyRGg3aGpWUTVQOGFVRGZhc2RIVUlyYnd5SFg4MHplcng5M1AxdVRhRS1zNXhrN2NEVmFPN0Y1SVB6dGlETTlVenJYRDU5NGN4UzNGekFBMk9VLXlUMkpycm1lTkFzUEVFc0Z0R2ZKQ2c?oc=5
