scrip,company,headline,summary,published_date,source,url
GALAXYSURF,Galaxy Surfactants Limited,Unpleasant Surprises Could Be In Store For Galaxy Surfactants Limited's (NSE:GALAXYSURF) Shares - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxOMVlkcHlCdjRuWmJhNkd3ZHVmTzR4enN4RFI1QkJDenBtdFY3WXZuYXF4aGxJbml0ajg2eElUcWpsOUVBcDdaTXhDby03bkI2NnJ3M0VLVjlYWG4xVmNWempVVVpVMlRkSXVyN08tb2FhV21TOEdGX3dKaWtCb0drNzE0X25uRjB1RTFtOG9qMDZnelZKOFAzSXNqRjVZTWNiZ0REdlZVa1V6blFTUVVEMGlZdTJaVGVuT2FLbVlPV1pGbXN2YTRadExmdTB0WlY3T0ttRU1CS0NmMWN3TElRYmJ3?oc=5"" target=""_blank"">Unpleasant Surprises Could Be In Store For Galaxy Surfactants Limited's (NSE:GALAXYSURF) Shares</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-26 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4gFBVV95cUxOMVlkcHlCdjRuWmJhNkd3ZHVmTzR4enN4RFI1QkJDenBtdFY3WXZuYXF4aGxJbml0ajg2eElUcWpsOUVBcDdaTXhDby03bkI2NnJ3M0VLVjlYWG4xVmNWempVVVpVMlRkSXVyN08tb2FhV21TOEdGX3dKaWtCb0drNzE0X25uRjB1RTFtOG9qMDZnelZKOFAzSXNqRjVZTWNiZ0REdlZVa1V6blFTUVVEMGlZdTJaVGVuT2FLbVlPV1pGbXN2YTRadExmdTB0WlY3T0ttRU1CS0NmMWN3TElRYmJ3?oc=5
GALAXYSURF,Galaxy Surfactants Limited,Galaxy Surfactants Refreshes Corporate Logo with 'Chemistry Creates Care' Philosophy - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxOMldVX0djb05MazRsM0xkYThCNkpwdkFaaVA1V2s2dE1ieENqcW1KUW0wSzI3YWoya2Itd2FKcFI0VXdLa2dOSEs3b3lZSXdxNlQxeFNSa3pzZFVsdnNJVTlEWmFvd1NPeU1ZRjBMVGdZekRSU0paY0s0WUh6V09Lc0ZnVkRpYk1NNDYwV1hCUnJZdVdkYVBCbWEyNTdPdURKdjgwWnFPM1dyenhJTU56T1BiNGdHN2JtN01CdVRyMWdzVkhYOG8yOW9jV1NkUEdiR2c?oc=5"" target=""_blank"">Galaxy Surfactants Refreshes Corporate Logo with 'Chemistry Creates Care' Philosophy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-22 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOMldVX0djb05MazRsM0xkYThCNkpwdkFaaVA1V2s2dE1ieENqcW1KUW0wSzI3YWoya2Itd2FKcFI0VXdLa2dOSEs3b3lZSXdxNlQxeFNSa3pzZFVsdnNJVTlEWmFvd1NPeU1ZRjBMVGdZekRSU0paY0s0WUh6V09Lc0ZnVkRpYk1NNDYwV1hCUnJZdVdkYVBCbWEyNTdPdURKdjgwWnFPM1dyenhJTU56T1BiNGdHN2JtN01CdVRyMWdzVkhYOG8yOW9jV1NkUEdiR2c?oc=5
GALAXYSURF,Galaxy Surfactants Limited,Galaxy Surfactants Q2 Results 2026 - Find Galaxy Surfactants Q2 Earnings Result | GALAXYSURF Q2 results - Mint,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxQS0JralNCdko2cG1ocnp5MnNRSDRNUXZ3ZkxON3BYSFZITmdocmlGdGhuUl9sNUVmemtfczBFS2prc3pSQmVrazhyNXN5Q2xlSVk4WVpMaU4wYUhFeElka1Ffdlg3cmQtR0VOTktyZlgyNUtYbUFBaVJQTC13VkNNdVNHQnZsNWRFR0tn?oc=5"" target=""_blank"">Galaxy Surfactants Q2 Results 2026 - Find Galaxy Surfactants Q2 Earnings Result | GALAXYSURF Q2 results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2024-02-01 02:42:38,Mint,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQS0JralNCdko2cG1ocnp5MnNRSDRNUXZ3ZkxON3BYSFZITmdocmlGdGhuUl9sNUVmemtfczBFS2prc3pSQmVrazhyNXN5Q2xlSVk4WVpMaU4wYUhFeElka1Ffdlg3cmQtR0VOTktyZlgyNUtYbUFBaVJQTC13VkNNdVNHQnZsNWRFR0tn?oc=5
GALAXYSURF,Galaxy Surfactants Limited,Galaxy Surfactants Schedules Investor Conference Meetings for February 25 - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxPT0M2UmdJNzM5cHF2Q2hsUG5mR1pFeVJQRjBFaGZUUmVNMzlPbzlzUEZKV0FQTFNNTTd4ZVlDSXdsOHh3Ui16VjBJVk55YzhsMXN2MEpIMFo0dnI2LVVmcFFFT2QyWmFGRlJBLTQ2bWtxSTdLd1hsd1lhVHlacHIwVnZWdVBvTlNGM3VUaXJ0UXVEclFBN2hDeGY0a0dZTzRMdmtlTno4cW5tRDloQ1VYZ0dHSjVLS055SDl1OWV5bDByNWs?oc=5"" target=""_blank"">Galaxy Surfactants Schedules Investor Conference Meetings for February 25</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2026-02-20 08:00:00,TipRanks,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPT0M2UmdJNzM5cHF2Q2hsUG5mR1pFeVJQRjBFaGZUUmVNMzlPbzlzUEZKV0FQTFNNTTd4ZVlDSXdsOHh3Ui16VjBJVk55YzhsMXN2MEpIMFo0dnI2LVVmcFFFT2QyWmFGRlJBLTQ2bWtxSTdLd1hsd1lhVHlacHIwVnZWdVBvTlNGM3VUaXJ0UXVEclFBN2hDeGY0a0dZTzRMdmtlTno4cW5tRDloQ1VYZ0dHSjVLS055SDl1OWV5bDByNWs?oc=5
GALAXYSURF,Galaxy Surfactants Limited,"Galaxy Surfactants Schedules Q3 & 9MFY26 Earnings Call for February 16, 2026 - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxNZF9kZXhsUDZxTmxmbWUyMTc2b2tiNlliTlJxR1JPOVdQZ3lTUHpBSEtDd1kyQ0E4V3I0T2N1M0NNVldTWktMWnhtNUZPdGYtNFV2c2NUckhsN0NFeTlwYU52dzJvVVpBR1UzbnlyVU5HQWxKdkc1ZzQ4R2JYVXVMaFJMa2FWTlpZUWtPQ2g3WGhoTU8yY0dUM2FYcWhlTkFSQko5WF9PQzdZYk16ZmFmQWRfZHk2azlKVDU2R3hzQUJlRnBuX0E?oc=5"" target=""_blank"">Galaxy Surfactants Schedules Q3 & 9MFY26 Earnings Call for February 16, 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-05 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMixgFBVV95cUxNZF9kZXhsUDZxTmxmbWUyMTc2b2tiNlliTlJxR1JPOVdQZ3lTUHpBSEtDd1kyQ0E4V3I0T2N1M0NNVldTWktMWnhtNUZPdGYtNFV2c2NUckhsN0NFeTlwYU52dzJvVVpBR1UzbnlyVU5HQWxKdkc1ZzQ4R2JYVXVMaFJMa2FWTlpZUWtPQ2g3WGhoTU8yY0dUM2FYcWhlTkFSQko5WF9PQzdZYk16ZmFmQWRfZHk2azlKVDU2R3hzQUJlRnBuX0E?oc=5
GALAXYSURF,Galaxy Surfactants Limited,Does Galaxy Surfactants (NSE:GALAXYSURF) Have A Healthy Balance Sheet? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxObGhzbHJsWk82bnp5bVcwQ2xUV2hQbnZydHM0bnludzZNZXJCWHhvNl9ZLUZwall0ajU1UG9UQzZvbVRxTGFGS2pMcGhNSWZHMExpcjVoOXR4bXZJaTF3NlJib1FjMmt0R0lCN2VVRTVrRFZ5TlFtdUQtMFphU0RPMi1vaUQtSm1QR2pxZG9zVEZMVTF5SUdOTXhIVzB0RUN5bmlwWFVBNXdjSTREbU1kRXVYUzZvcnJVX3Y2YkVDbHdWdEpxN0hEdlYzOGg4R2xUZXRDOWtwbkVnTEw3SlBRcmNHeGswdEHSAecBQVVfeXFMTmxoc2xybFpPNm56eW1XMENsVFdoUG52cnRzNG55bnc2TWVyQlh4bzZfWS1GcGpZdGo1NVBvVEM2b21UcUxhRktqTHBoTUlmRzBMaXI1aDl0eG12SWkxdzZSYm9RYzJrdEdJQjdlVUU1a0RWeU5RbXVELTBaYVNETzItb2lELUptUEdqcWRvc1RGTFUxeUlHTk14SFcwdEVDeW5pcFhVQTV3Y0k0RG1NZEV1WFM2b3JyVV92NmJFQ2x3VnRKcTdIRHZWMzhoOEdsVGV0QzlrcG5FZ0xMN0pQUXJjR3hrMHRB?oc=5"" target=""_blank"">Does Galaxy Surfactants (NSE:GALAXYSURF) Have A Healthy Balance Sheet?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2022-09-08 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxObGhzbHJsWk82bnp5bVcwQ2xUV2hQbnZydHM0bnludzZNZXJCWHhvNl9ZLUZwall0ajU1UG9UQzZvbVRxTGFGS2pMcGhNSWZHMExpcjVoOXR4bXZJaTF3NlJib1FjMmt0R0lCN2VVRTVrRFZ5TlFtdUQtMFphU0RPMi1vaUQtSm1QR2pxZG9zVEZMVTF5SUdOTXhIVzB0RUN5bmlwWFVBNXdjSTREbU1kRXVYUzZvcnJVX3Y2YkVDbHdWdEpxN0hEdlYzOGg4R2xUZXRDOWtwbkVnTEw3SlBRcmNHeGswdEHSAecBQVVfeXFMTmxoc2xybFpPNm56eW1XMENsVFdoUG52cnRzNG55bnc2TWVyQlh4bzZfWS1GcGpZdGo1NVBvVEM2b21UcUxhRktqTHBoTUlmRzBMaXI1aDl0eG12SWkxdzZSYm9RYzJrdEdJQjdlVUU1a0RWeU5RbXVELTBaYVNETzItb2lELUptUEdqcWRvc1RGTFUxeUlHTk14SFcwdEVDeW5pcFhVQTV3Y0k0RG1NZEV1WFM2b3JyVV92NmJFQ2x3VnRKcTdIRHZWMzhoOEdsVGV0QzlrcG5FZ0xMN0pQUXJjR3hrMHRB?oc=5
GALAXYSURF,Galaxy Surfactants Limited,ICICI Prudential Mutual Fund Buys Additional Shares Of Galaxy Surfactants For Rs 124 Crore - NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQVEZpYVNYNWs4Nlo2VEl2MUp5dHhrdWFhZnNGLXcyQzF0ejI2dG83dzdST19jdEthM1dYUFZsdk1xS1hVb1UyV2tyNzd6aXRFd29KTzNrMUVVNlNWU0tvWFc4bkgxVDFoWXlkZlM1UkVfQ3hYM2tsUFlkb1YtSW5nN0h6al9sVjZQVUk2T01iQjc5QjFsaTh2RXdSdE96Rl9vYnhTUno4STJ6bHE1bUQ3QXp2OThLWUxRQ2VPUlJuRFVrc1BrSlhCUkNrZXg5QdIB1gFBVV95cUxNcEtEeFhVNHRoNXBwRmd2NUMzX0xJUWJlM0dFRlZTcEx3dnd0WnBxNzM3RUxISmN5WWVRRnN2M3JaWmdrNGw5NlhwYmE5WDFTV2FsWVVRdHVCYlVVdVYxU1NOZVBCMHAxNDlkNEkxSG9Vb0xMd0xuQjVLNnUtN0swd2hkUldyM1JieGV3aC14NVVHdHpWRUpwMFBrUDN3b0tCQXdjeEhDUm1hcnlCUTVHTVRXUS1ONWV1RDNhdUJZZ3B6M0NXc3A1RFZsS0NtQkVtTEJOcXlR?oc=5"" target=""_blank"">ICICI Prudential Mutual Fund Buys Additional Shares Of Galaxy Surfactants For Rs 124 Crore</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",2025-04-01 07:00:00,NDTV Profit,https://news.google.com/rss/articles/CBMizgFBVV95cUxQVEZpYVNYNWs4Nlo2VEl2MUp5dHhrdWFhZnNGLXcyQzF0ejI2dG83dzdST19jdEthM1dYUFZsdk1xS1hVb1UyV2tyNzd6aXRFd29KTzNrMUVVNlNWU0tvWFc4bkgxVDFoWXlkZlM1UkVfQ3hYM2tsUFlkb1YtSW5nN0h6al9sVjZQVUk2T01iQjc5QjFsaTh2RXdSdE96Rl9vYnhTUno4STJ6bHE1bUQ3QXp2OThLWUxRQ2VPUlJuRFVrc1BrSlhCUkNrZXg5QdIB1gFBVV95cUxNcEtEeFhVNHRoNXBwRmd2NUMzX0xJUWJlM0dFRlZTcEx3dnd0WnBxNzM3RUxISmN5WWVRRnN2M3JaWmdrNGw5NlhwYmE5WDFTV2FsWVVRdHVCYlVVdVYxU1NOZVBCMHAxNDlkNEkxSG9Vb0xMd0xuQjVLNnUtN0swd2hkUldyM1JieGV3aC14NVVHdHpWRUpwMFBrUDN3b0tCQXdjeEhDUm1hcnlCUTVHTVRXUS1ONWV1RDNhdUJZZ3B6M0NXc3A1RFZsS0NtQkVtTEJOcXlR?oc=5
GALAXYSURF,Galaxy Surfactants Limited,Here's why Galaxy Surfactants share price rallied 7% in trade on March 6 - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNM25iQXY0dHFueWE4aWpkbjlhOUtNcUp2QkF2cFBEX21QemFaVFJ6RnBmWmxGY0FtZ0oyOG56X1Z5Q3BWRDN5RmxseUNMaGZ2cWdCdG5nMWtJLTVqaEtUc01TdGVxblBpOWRjV21ZZ2xEbTI3c1lVRE1yeWEzOXFObVRnOElQb3gzalk1dzgtOXdiOFlfNzVmT0hSS2E4eUk3eVFLSUdNemtGNHRyZU4zRGYwUnJKMUFyUVNRaG9RLTcwb21hb05USTRhMG9FeUljcjZ0SdIB2gFBVV95cUxQYTRlRHM5NllRdkpPQWlsNkU5YU5HMEN5RG5PWDRkNW03WXZEU01hTzEzMTVfT01lUEUwV3NSNlU5eWRNNUptN1BXY2pYdk5NMmRPVUFxM2NmQlFuek85N3hvRER1MDFMeXd4TTVId3c3d3d6cVViMWN2eGEwOGxwb0tRelNZRDJQWG5aUGYwSDQ3SVJha3NTalVodjhHdW9yMml4Ql9qRjdKMkdpU1FEZzhmXzZaRnJ0dUdBdGpOWFNmWmZZejhjQWdmQlZzWTBUSmlNRE9KSmlTQQ?oc=5"" target=""_blank"">Here's why Galaxy Surfactants share price rallied 7% in trade on March 6</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-03-06 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNM25iQXY0dHFueWE4aWpkbjlhOUtNcUp2QkF2cFBEX21QemFaVFJ6RnBmWmxGY0FtZ0oyOG56X1Z5Q3BWRDN5RmxseUNMaGZ2cWdCdG5nMWtJLTVqaEtUc01TdGVxblBpOWRjV21ZZ2xEbTI3c1lVRE1yeWEzOXFObVRnOElQb3gzalk1dzgtOXdiOFlfNzVmT0hSS2E4eUk3eVFLSUdNemtGNHRyZU4zRGYwUnJKMUFyUVNRaG9RLTcwb21hb05USTRhMG9FeUljcjZ0SdIB2gFBVV95cUxQYTRlRHM5NllRdkpPQWlsNkU5YU5HMEN5RG5PWDRkNW03WXZEU01hTzEzMTVfT01lUEUwV3NSNlU5eWRNNUptN1BXY2pYdk5NMmRPVUFxM2NmQlFuek85N3hvRER1MDFMeXd4TTVId3c3d3d6cVViMWN2eGEwOGxwb0tRelNZRDJQWG5aUGYwSDQ3SVJha3NTalVodjhHdW9yMml4Ql9qRjdKMkdpU1FEZzhmXzZaRnJ0dUdBdGpOWFNmWmZZejhjQWdmQlZzWTBUSmlNRE9KSmlTQQ?oc=5
GALAXYSURF,Galaxy Surfactants Limited,Galaxy Surfactants Shares Surge 7% on Partnering Up with a Global Client - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxNcXptcjc1ZGFDZzBHTW9mRTRpS2ZXMDRZUmlQV2ZTamFaLW90ZkZFWnZ3ZW0tYkdnbDQtQmNUNXZfLTJaMDgzUU82cE1CYlBLbzdxTFBVcUNLSThyVzlLSXpxcnlkTm9mX2pWSEtuNnZyandJaktPVXJGSnhyOWlLWWZHWGctNHZtVnpTR1lsLW5ieEgxRmNXWXN5ZmxPc3ZNaVRz?oc=5"" target=""_blank"">Galaxy Surfactants Shares Surge 7% on Partnering Up with a Global Client</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2025-03-06 08:00:00,Equitypandit,https://news.google.com/rss/articles/CBMiowFBVV95cUxNcXptcjc1ZGFDZzBHTW9mRTRpS2ZXMDRZUmlQV2ZTamFaLW90ZkZFWnZ3ZW0tYkdnbDQtQmNUNXZfLTJaMDgzUU82cE1CYlBLbzdxTFBVcUNLSThyVzlLSXpxcnlkTm9mX2pWSEtuNnZyandJaktPVXJGSnhyOWlLWWZHWGctNHZtVnpTR1lsLW5ieEgxRmNXWXN5ZmxPc3ZNaVRz?oc=5
GALAXYSURF,Galaxy Surfactants Limited,Galaxy Surfactants shares rise 5% as firm partners with a global client for EPC services - Moneycontrol.com,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxQekptSVpGSTFySjdTZW9UUGVhLWFrNG1XOUVyc2VDU2VpZmxfejdtV0tMakVCZzBqaGtheEo3N3Q3Uk5BQkJlYlIyZGhScVljbG9fMU5nVmFlZXZGSGhOQVNJTXF2MC1IcjlBT3prOU0xQS16LUxnYTROeHptYi1CVEtqUWhGOENNOFBEX0VGUEZqQnlwbHR0MmRSNDlOd3B5QWZ6eXU3WEVWRmg3eGNCOXNEb0RTS3NtY05feVJscjEtMGhoNS0xNklVeFVDZzhoVDd3bGhTZG1IOUcycDdiVmR0RWw1UdIB6wFBVV95cUxQaE5zb1l3NzNaOWdDYWxZX3dlUkhQRE11ejNsX0V0bTZRZlA5T2U1anJIblJBVzI1ZDM3U20xaG8waGJKY0lmUmhqN3NqUFFMR3J4SzY4NUdGNDdoNDlyeDlYU3ZBV1dwWGFBa1RoQ1U5RU1ia0lnWER6WnV2LVFzTnlzR1JQTTFVR1JxT1VYWnQ5VWsta1NGVG5HeWpVbTF3ekN4YWVSYzdhbGhTTWtjOEZqeDRHWkZXdHloUE9RVlU2MFhVQkwzS2dyUmx6RmNoWEVFWC14VVdDSlNndFVkWnZtOHh5UzN3OEdz?oc=5"" target=""_blank"">Galaxy Surfactants shares rise 5% as firm partners with a global client for EPC services</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-03-06 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQekptSVpGSTFySjdTZW9UUGVhLWFrNG1XOUVyc2VDU2VpZmxfejdtV0tMakVCZzBqaGtheEo3N3Q3Uk5BQkJlYlIyZGhScVljbG9fMU5nVmFlZXZGSGhOQVNJTXF2MC1IcjlBT3prOU0xQS16LUxnYTROeHptYi1CVEtqUWhGOENNOFBEX0VGUEZqQnlwbHR0MmRSNDlOd3B5QWZ6eXU3WEVWRmg3eGNCOXNEb0RTS3NtY05feVJscjEtMGhoNS0xNklVeFVDZzhoVDd3bGhTZG1IOUcycDdiVmR0RWw1UdIB6wFBVV95cUxQaE5zb1l3NzNaOWdDYWxZX3dlUkhQRE11ejNsX0V0bTZRZlA5T2U1anJIblJBVzI1ZDM3U20xaG8waGJKY0lmUmhqN3NqUFFMR3J4SzY4NUdGNDdoNDlyeDlYU3ZBV1dwWGFBa1RoQ1U5RU1ia0lnWER6WnV2LVFzTnlzR1JQTTFVR1JxT1VYWnQ5VWsta1NGVG5HeWpVbTF3ekN4YWVSYzdhbGhTTWtjOEZqeDRHWkZXdHloUE9RVlU2MFhVQkwzS2dyUmx6RmNoWEVFWC14VVdDSlNndFVkWnZtOHh5UzN3OEdz?oc=5
