scrip,company,headline,summary,published_date,source,url
GARFIBRES,Garware Technical Fibres Limited,"Garware Technical Fibres Limited (NSE:GARFIBRES) Looks Like A Good Stock, And It's Going Ex-Dividend Soon - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxOU1pxLWc5dGlTelNoNEZEcU1UQkZBVjQzb0g2enJWenZLSldLTmgtSVB6c3dtaklmSmIwZDJyRDhDc0pqQkJ5YTQyYWNHZFRUWmN4LUs2cVRSaC1WRlZUZFlsM2k4Q3dERTZqOVgxS0NBUnlVdmNlSnh1RktCM1EyUkN4VnNrMUg5aTZuQTdCNW1hR1BJeERuRlFHSDBsS0lONEpxT1N5XzJ3OWNwY04xNjY5RkxLXzQtSlpmMG9lWFJUQ0plVXBxRHd5ODR5a2VQYTVNTzhsMGM0Nk14MnQ5aTVIV0V1c0Q5cW5BVHFWMVB4dE3SAfgBQVVfeXFMTV80WGtPX1hhSVRqMmdJbnk3Qk96TENuUVdxY3JRZkJobGpnTllRaFJ3T2tJRmhfbDRFckhwLVRHdW01VC16S0M3MjBSb1BzRkpXbW1ETlNDV0o0LUFValVobHZkVTRvdHB4UElJVWFCZUZIcFBrbGlwS2hzTVJFdnM0WGlJNE1mWDZEYnh2dEtBc0cwM3NlQUJ1anNIdjQ0b3VXem82ejJfdG5LSEJpeHE2QW9wWXZUQWxEcEdNQzNkVFpfLTNPX0VvWGZQNlY2cHRfOThWdGlEdWNnN0g3T0xpU0Y1XzNzSEUwOERHRkY2Y1B5d08zOGs?oc=5"" target=""_blank"">Garware Technical Fibres Limited (NSE:GARFIBRES) Looks Like A Good Stock, And It's Going Ex-Dividend Soon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-10 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8wFBVV95cUxOU1pxLWc5dGlTelNoNEZEcU1UQkZBVjQzb0g2enJWenZLSldLTmgtSVB6c3dtaklmSmIwZDJyRDhDc0pqQkJ5YTQyYWNHZFRUWmN4LUs2cVRSaC1WRlZUZFlsM2k4Q3dERTZqOVgxS0NBUnlVdmNlSnh1RktCM1EyUkN4VnNrMUg5aTZuQTdCNW1hR1BJeERuRlFHSDBsS0lONEpxT1N5XzJ3OWNwY04xNjY5RkxLXzQtSlpmMG9lWFJUQ0plVXBxRHd5ODR5a2VQYTVNTzhsMGM0Nk14MnQ5aTVIV0V1c0Q5cW5BVHFWMVB4dE3SAfgBQVVfeXFMTV80WGtPX1hhSVRqMmdJbnk3Qk96TENuUVdxY3JRZkJobGpnTllRaFJ3T2tJRmhfbDRFckhwLVRHdW01VC16S0M3MjBSb1BzRkpXbW1ETlNDV0o0LUFValVobHZkVTRvdHB4UElJVWFCZUZIcFBrbGlwS2hzTVJFdnM0WGlJNE1mWDZEYnh2dEtBc0cwM3NlQUJ1anNIdjQ0b3VXem82ejJfdG5LSEJpeHE2QW9wWXZUQWxEcEdNQzNkVFpfLTNPX0VvWGZQNlY2cHRfOThWdGlEdWNnN0g3T0xpU0Y1XzNzSEUwOERHRkY2Y1B5d08zOGs?oc=5
GARFIBRES,Garware Technical Fibres Limited,Garware Stock Jumps 5% on ₹110 Cr Norwegian Firm Acquisition - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTE96NTJ5VTVBR3JwQmJFS0FIdGE4S2RGekVQM1lCUU4wQXNsd3hBNnlwNHJUdUVhelNKZi05dVBZRHJnV1JpVDBDYXpHYW56SG9POWxxSVFvTjRrQUI0dUF6ck9OWjJ3ZjFvR3RiUWxfQVJXSHV6TC1pUkVvUQ?oc=5"" target=""_blank"">Garware Stock Jumps 5% on ₹110 Cr Norwegian Firm Acquisition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-06-24 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMie0FVX3lxTE96NTJ5VTVBR3JwQmJFS0FIdGE4S2RGekVQM1lCUU4wQXNsd3hBNnlwNHJUdUVhelNKZi05dVBZRHJnV1JpVDBDYXpHYW56SG9POWxxSVFvTjRrQUI0dUF6ck9OWjJ3ZjFvR3RiUWxfQVJXSHV6TC1pUkVvUQ?oc=5
GARFIBRES,Garware Technical Fibres Limited,GARFIBRES Share Price | Garware Technical Fibres Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE1ybEl2SzRud3hTVmQ3Z0ZOUjdwNTFGcmdyWGc4OEk4bE9jMG5pbFRDcndwLVZtUkw0X2JTT0M4Skwyc0RYSkhlQVY2dHFkM3pFYVF3YlY2TDNTXzVkTTdKTGNjNmdrTWRPYlNTZ2xEYUZMNW8?oc=5"" target=""_blank"">GARFIBRES Share Price | Garware Technical Fibres Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-06-12 10:08:04,Markets Mojo,https://news.google.com/rss/articles/CBMic0FVX3lxTE1ybEl2SzRud3hTVmQ3Z0ZOUjdwNTFGcmdyWGc4OEk4bE9jMG5pbFRDcndwLVZtUkw0X2JTT0M4Skwyc0RYSkhlQVY2dHFkM3pFYVF3YlY2TDNTXzVkTTdKTGNjNmdrTWRPYlNTZ2xEYUZMNW8?oc=5
GARFIBRES,Garware Technical Fibres Limited,Garware Technical Fibres' (NSE:GARFIBRES) five-year earnings growth trails the 11% YoY shareholder returns - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxOdGVjaVZHSmRLMFhNendsblF1S20tdFBodTdCMFFucDc1emtxYzdaMjJyQU1Tai10M1ZvOWVybUN5NUhjVzVBRGZmc0xZYlA0RTNCcFBIV2JzMlZaYlN6SmZkUUpLaE1SbUxJaGQzbVF0THpRV3IydXhmWjhiNEVRNTI1bE05bEZzM21sak1RQjlKYjd3REZjU09IR2laLUx6bEZJTkdNYWxST2o1dUd1RWZCMUpGbldCVFBJY1FCSHpFWDk0cmhWX3l0aHRnSHhINmRHX2Z6YlkxRHVGYmhaYUttWEVxVTBjaTNmenFfSm91dmM?oc=5"" target=""_blank"">Garware Technical Fibres' (NSE:GARFIBRES) five-year earnings growth trails the 11% YoY shareholder returns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-04 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8wFBVV95cUxOdGVjaVZHSmRLMFhNendsblF1S20tdFBodTdCMFFucDc1emtxYzdaMjJyQU1Tai10M1ZvOWVybUN5NUhjVzVBRGZmc0xZYlA0RTNCcFBIV2JzMlZaYlN6SmZkUUpLaE1SbUxJaGQzbVF0THpRV3IydXhmWjhiNEVRNTI1bE05bEZzM21sak1RQjlKYjd3REZjU09IR2laLUx6bEZJTkdNYWxST2o1dUd1RWZCMUpGbldCVFBJY1FCSHpFWDk0cmhWX3l0aHRnSHhINmRHX2Z6YlkxRHVGYmhaYUttWEVxVTBjaTNmenFfSm91dmM?oc=5
GARFIBRES,Garware Technical Fibres Limited,Garware Technical Fibres Limited's (NSE:GARFIBRES) Stock Is Going Strong: Is the Market Following Fundamentals? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxPR2hoVzdnSjA2RUpWektCWHcyN3oxZ0RteEhLX0tCS0t3dF9XSVhkUHNhZ0hQV2FlanJNeXZWbDkyQ1h4by1ONklUTnJKYURMeG5raERVMVdkTVZ6dUFkVkhqYjM1Z1F5V3pKbVNqal8xckphR29iTG1WcWl0VTVDY2pJVklzTTR5dG5heEFIRk9iWXdCd08yOEs2ZVJtMVlZV1prYU0zWnZLMHBYRHBlak9IQ0ZMZHg4VmpxYkVSOWtuVE9na2lkcGE1MlJhbnM4YTdvTHdoRzMtYV9Ka3c1aXJmTGVjbk4xbVd3dXNZM2ZkYU1YU1HSAfsBQVVfeXFMUF9FZGFxb1Z6R0FXSFVKSTdNQ050R1loNXNlaWx1NDBxV2s1dUd6Z1JOQzczZVJOZmtnYmkwSjVxWEt5TjRQX3BIWXFEX1Nyc1NLMjB0ZDVTcVhfdFUtdEpqcUQtLU9tSTNJSlRBNl9LQ0M0VUJzNG9Cb05QcEdINmkzaFM4OXpzdzRsZklxVlZwUzdWOHYtQ3l1MjZRYmwxT2VWVVZUWkpxa2U5Zk9zbFdIY2U4NHlqYXBnall5N0pOWlFiNXNoQU05c191WElnd2VPb3QwVC1UdldJM2JtSWFPeC04UkFqOE1HSE1kaUtuZG9BeUVwV2hFZW8?oc=5"" target=""_blank"">Garware Technical Fibres Limited's (NSE:GARFIBRES) Stock Is Going Strong: Is the Market Following Fundamentals?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-15 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi9gFBVV95cUxPR2hoVzdnSjA2RUpWektCWHcyN3oxZ0RteEhLX0tCS0t3dF9XSVhkUHNhZ0hQV2FlanJNeXZWbDkyQ1h4by1ONklUTnJKYURMeG5raERVMVdkTVZ6dUFkVkhqYjM1Z1F5V3pKbVNqal8xckphR29iTG1WcWl0VTVDY2pJVklzTTR5dG5heEFIRk9iWXdCd08yOEs2ZVJtMVlZV1prYU0zWnZLMHBYRHBlak9IQ0ZMZHg4VmpxYkVSOWtuVE9na2lkcGE1MlJhbnM4YTdvTHdoRzMtYV9Ka3c1aXJmTGVjbk4xbVd3dXNZM2ZkYU1YU1HSAfsBQVVfeXFMUF9FZGFxb1Z6R0FXSFVKSTdNQ050R1loNXNlaWx1NDBxV2s1dUd6Z1JOQzczZVJOZmtnYmkwSjVxWEt5TjRQX3BIWXFEX1Nyc1NLMjB0ZDVTcVhfdFUtdEpqcUQtLU9tSTNJSlRBNl9LQ0M0VUJzNG9Cb05QcEdINmkzaFM4OXpzdzRsZklxVlZwUzdWOHYtQ3l1MjZRYmwxT2VWVVZUWkpxa2U5Zk9zbFdIY2U4NHlqYXBnall5N0pOWlFiNXNoQU05c191WElnd2VPb3QwVC1UdldJM2JtSWFPeC04UkFqOE1HSE1kaUtuZG9BeUVwV2hFZW8?oc=5
GARFIBRES,Garware Technical Fibres Limited,Garware Technical Fibres Ltd (GARFIBRES) Share Price - Business Today,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxQUXR0bEllSWM1ZFk4bjY2TnNxUDRnNV8tLVZ3OUZqZmpuMkFzOUFRX21ETVhxRHVCeWV1cXZFWFJvRUJjQlBjWFRrQ1VOTjV0S0NDcnpNX1NScUlCM1BPM3Z5WmI2cER4b21IN3ZzbU92MndHa3dLTTZ0ZVpqUjNPR2FEbmxBRHl6emVaeTI2TEJGb0NOVjBtVg?oc=5"" target=""_blank"">Garware Technical Fibres Ltd (GARFIBRES) Share Price</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2023-01-23 17:10:48,Business Today,https://news.google.com/rss/articles/CBMimAFBVV95cUxQUXR0bEllSWM1ZFk4bjY2TnNxUDRnNV8tLVZ3OUZqZmpuMkFzOUFRX21ETVhxRHVCeWV1cXZFWFJvRUJjQlBjWFRrQ1VOTjV0S0NDcnpNX1NScUlCM1BPM3Z5WmI2cER4b21IN3ZzbU92MndHa3dLTTZ0ZVpqUjNPR2FEbmxBRHl6emVaeTI2TEJGb0NOVjBtVg?oc=5
GARFIBRES,Garware Technical Fibres Limited,Is Garware Technical Fibres Limited’s (NSE:GARFIBRES) CEO Paid Enough Relative To Peers? - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxPUE5QMl9RcVV3bkxWZWJhUEFuN25lNjhNLUtHdzgzTV9EWWJJSmtTVG1CeFVya3ByRlB2WnlHTmNqQ0MzZmhOZDZGV3Z0dFpTSkdiTmo1UG1vSzZHUEM2RV9VUGYxa2ZrdXVZS094ZDVibVoxRy1nMFVYUUM5c0I2RG1tSmsyLUtPZnc?oc=5"" target=""_blank"">Is Garware Technical Fibres Limited’s (NSE:GARFIBRES) CEO Paid Enough Relative To Peers?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",2018-12-02 08:00:00,Yahoo Finance,https://news.google.com/rss/articles/CBMiigFBVV95cUxPUE5QMl9RcVV3bkxWZWJhUEFuN25lNjhNLUtHdzgzTV9EWWJJSmtTVG1CeFVya3ByRlB2WnlHTmNqQ0MzZmhOZDZGV3Z0dFpTSkdiTmo1UG1vSzZHUEM2RV9VUGYxa2ZrdXVZS094ZDVibVoxRy1nMFVYUUM5c0I2RG1tSmsyLUtPZnc?oc=5
GARFIBRES,Garware Technical Fibres Limited,"KPI Green Energy, Garware Tech bonus shares, Redtape dividend, 2 stock splits to watch next week - Business Today","<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxOV3JzdFN6bTdMV0Q1aEd3cXRUVUpldUFKSEM3UkN6V3NySWJUcTBtOGZ0cmFmX2NpYTRCb0tySXB3VDNSTkZ3TEhUc2hldzhJMHRFRG5DWVhLY2pfQ2NXTGxnZjdIcDhpSG1PdHJMcUplSmJiSnB3NThEQ0pCZ0xHa3RZaE42WVlzUDl1RHRpSlBpVUIwRThhNTBnTXM3YjN3d3prSnZrS2I5VFlOdjVrRlNYZEdYTHVpX1A3Z1BONVFYX1dmSTAtWmlUNDV5aE13TGJfd0NJTHFJMDEwMVBYdzU3SU5oRlV4X041UEpDVEFWaEnSAfgBQVVfeXFMT05vQXA4dWpZbGVxME9vNGJQSGg3a3otTXNyaUlLYnhTbmxhYmJWMkQwXzVTZDdLRXRwbS1FQ3Uxc2hEYXVYU0JicXhxYVRuUDVVYV9GNnp1QnJQYnBmQ19oYmxoNkJ2RmlRVDZmWFRqUVR2VFVqblJEbFRzendETUpRNW5qRG5vX19HR0xWbW1wamZoV3hrVHlJSlBVVkJIdE4wRkx3V0NSTkVZT1ZIbGlCMHYwNDFiUEt2Y1hEQk1jeHZ5bUQyQTl2SjdzQ2o1cmtLUXRHbXRyYjlyWGRtd2JnWEZNenZmM0NjVlI1TXF2WXBnUkpDUGI?oc=5"" target=""_blank"">KPI Green Energy, Garware Tech bonus shares, Redtape dividend, 2 stock splits to watch next week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2024-12-29 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi8wFBVV95cUxOV3JzdFN6bTdMV0Q1aEd3cXRUVUpldUFKSEM3UkN6V3NySWJUcTBtOGZ0cmFmX2NpYTRCb0tySXB3VDNSTkZ3TEhUc2hldzhJMHRFRG5DWVhLY2pfQ2NXTGxnZjdIcDhpSG1PdHJMcUplSmJiSnB3NThEQ0pCZ0xHa3RZaE42WVlzUDl1RHRpSlBpVUIwRThhNTBnTXM3YjN3d3prSnZrS2I5VFlOdjVrRlNYZEdYTHVpX1A3Z1BONVFYX1dmSTAtWmlUNDV5aE13TGJfd0NJTHFJMDEwMVBYdzU3SU5oRlV4X041UEpDVEFWaEnSAfgBQVVfeXFMT05vQXA4dWpZbGVxME9vNGJQSGg3a3otTXNyaUlLYnhTbmxhYmJWMkQwXzVTZDdLRXRwbS1FQ3Uxc2hEYXVYU0JicXhxYVRuUDVVYV9GNnp1QnJQYnBmQ19oYmxoNkJ2RmlRVDZmWFRqUVR2VFVqblJEbFRzendETUpRNW5qRG5vX19HR0xWbW1wamZoV3hrVHlJSlBVVkJIdE4wRkx3V0NSTkVZT1ZIbGlCMHYwNDFiUEt2Y1hEQk1jeHZ5bUQyQTl2SjdzQ2o1cmtLUXRHbXRyYjlyWGRtd2JnWEZNenZmM0NjVlI1TXF2WXBnUkpDUGI?oc=5
GARFIBRES,Garware Technical Fibres Limited,Garware Technical Fibres net profit after tax increased by 17% in Q2 FY23 - Global Prime News,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxNSEJOQ0lMZXBJTW1CRHB4LXQ1Zm43VzNBckMwTTFvb1VTcEFOMzNfSzVpc1RHVlRQc05SQUFYcGYwaTJuN3hmaTJtUDBHZlQxYTdpbkR4TE5TT1VKVEEwNlNhZVkxcnB6U3NhalU2RDlkdVZzNUZzUEJER2dIWVM4MzBBdVVMb2QxaHQ0U3hmS3lzbkhHN0lFNGNrcHh5V2FmMEVPRmI0V0t1VjRoVFpnMkdB?oc=5"" target=""_blank"">Garware Technical Fibres net profit after tax increased by 17% in Q2 FY23</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Global Prime News</font>",2022-10-21 07:00:00,Global Prime News,https://news.google.com/rss/articles/CBMisgFBVV95cUxNSEJOQ0lMZXBJTW1CRHB4LXQ1Zm43VzNBckMwTTFvb1VTcEFOMzNfSzVpc1RHVlRQc05SQUFYcGYwaTJuN3hmaTJtUDBHZlQxYTdpbkR4TE5TT1VKVEEwNlNhZVkxcnB6U3NhalU2RDlkdVZzNUZzUEJER2dIWVM4MzBBdVVMb2QxaHQ0U3hmS3lzbkhHN0lFNGNrcHh5V2FmMEVPRmI0V0t1VjRoVFpnMkdB?oc=5
GARFIBRES,Garware Technical Fibres Limited,Garware Technical Fibres Receives Fine Waiver for Board Composition Non-Compliance - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxOTjBRTFh4QzFHcW1tMWgxS3lfak1RaXFMNVZCajB3dXVjcXZEb2FMRHJRR2ZZNkFMY3ZKMk9VOWlDU0l1dTRDVVRsY2wtdGtXaHVDcUtoOFUzREFZSDlVN2Z2MWF6NC1oX2c1MTNPMU9vWUJ5UEdOb1JjWmVtXzl3RnVESV9lbmRyYXQ0eDczMHRNSkg0M09Eb2pEV0ZnZ3hOZlJFX2g2RmMwaUh1ZDdrZmt0VEdPemxvT2VTMnZZeTF3ZV9pSm9PMFRiSHJJeWcwYXc?oc=5"" target=""_blank"">Garware Technical Fibres Receives Fine Waiver for Board Composition Non-Compliance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-28 12:38:13,scanx.trade,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOTjBRTFh4QzFHcW1tMWgxS3lfak1RaXFMNVZCajB3dXVjcXZEb2FMRHJRR2ZZNkFMY3ZKMk9VOWlDU0l1dTRDVVRsY2wtdGtXaHVDcUtoOFUzREFZSDlVN2Z2MWF6NC1oX2c1MTNPMU9vWUJ5UEdOb1JjWmVtXzl3RnVESV9lbmRyYXQ0eDczMHRNSkg0M09Eb2pEV0ZnZ3hOZlJFX2g2RmMwaUh1ZDdrZmt0VEdPemxvT2VTMnZZeTF3ZV9pSm9PMFRiSHJJeWcwYXc?oc=5
