scrip,company,headline,summary,published_date,source,url
HERITGFOOD,Heritage Foods Limited,Heritage Foods Limited's (NSE:HERITGFOOD) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxNa1U1TmxmVUxSUzZlWXUyaGpNWjZZdWNwUmU5R2tmOEt0dmNEQkZCenlVVGg5ODgzSGo0blhmeVFtQkkyNFNCUlBWSHlPTGUzVlEwQm1RV2ZGaktfdUxpYXBzbFJfV2FXX2tpdnNHUWhfeHdBakNmUlhpOW9iVlowNW42OXU3OUpYNlFybnJVTFFZdWhWQVdONmQyeVhFU1EzQjRNUXFYUkR2cTlQSWpYU1JnSFBSbDFTRXA5dUZyN2t6TGtPdGVsaFQ5bjBpdHdHUUxQMXBvWWotei14cTNNbzZ6cWczUmZaUi1oStIB8gFBVV95cUxPVER6OHdMWmE0SWYwSkZZSFBHZ2xXNHpJTlM5SzRrdDR3UkI2NjZjazFMQUZzWGMwMDBGOGlieWRkRzl6RXZDdzQ0SEt2V1Atd2JERXA1SnluZEhxbDExQS1RUE1XSkZFdHktZm40Y2owOU1FQXdHT3E3Y2VIa0VIaW8zZDlGQ2M2Q0p2VFFSbmduM1JsMkpSWjREZ3ZmOTdueVFoeXZjZGVDRlpfeXNKMFBpOTh3dFlwczVOY1phaV9JakFGODh5X3NXbm9BV0tVbXNhVW1wUG1rYUpOcFhOaGpoV1JuRTFaTUhTNW0wMXlzQQ?oc=5"" target=""_blank"">Heritage Foods Limited's (NSE:HERITGFOOD) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-30 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNa1U1TmxmVUxSUzZlWXUyaGpNWjZZdWNwUmU5R2tmOEt0dmNEQkZCenlVVGg5ODgzSGo0blhmeVFtQkkyNFNCUlBWSHlPTGUzVlEwQm1RV2ZGaktfdUxpYXBzbFJfV2FXX2tpdnNHUWhfeHdBakNmUlhpOW9iVlowNW42OXU3OUpYNlFybnJVTFFZdWhWQVdONmQyeVhFU1EzQjRNUXFYUkR2cTlQSWpYU1JnSFBSbDFTRXA5dUZyN2t6TGtPdGVsaFQ5bjBpdHdHUUxQMXBvWWotei14cTNNbzZ6cWczUmZaUi1oStIB8gFBVV95cUxPVER6OHdMWmE0SWYwSkZZSFBHZ2xXNHpJTlM5SzRrdDR3UkI2NjZjazFMQUZzWGMwMDBGOGlieWRkRzl6RXZDdzQ0SEt2V1Atd2JERXA1SnluZEhxbDExQS1RUE1XSkZFdHktZm40Y2owOU1FQXdHT3E3Y2VIa0VIaW8zZDlGQ2M2Q0p2VFFSbmduM1JsMkpSWjREZ3ZmOTdueVFoeXZjZGVDRlpfeXNKMFBpOTh3dFlwczVOY1phaV9JakFGODh5X3NXbm9BV0tVbXNhVW1wUG1rYUpOcFhOaGpoV1JuRTFaTUhTNW0wMXlzQQ?oc=5
HERITGFOOD,Heritage Foods Limited,"Heritage Foods Q2 Profit Up 26% QoQ, Dairy Drives Growth - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxQcTlnTUJkV3ZJUGc4TVByU2VfUTgwdWNFUWxLVzJlS294ck5tRTI1R3BnMnd3dzJuMDBUZmp2bmt5M09pSUVxbGZ4VVlYQS1PTzlLVlBKcVplUVBoQ2RFT1ZzWDBXbWdqbmRWVldKM3EyMmJXOWtEMTFWRlMtbExoVHl0aw?oc=5"" target=""_blank"">Heritage Foods Q2 Profit Up 26% QoQ, Dairy Drives Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-15 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMigwFBVV95cUxQcTlnTUJkV3ZJUGc4TVByU2VfUTgwdWNFUWxLVzJlS294ck5tRTI1R3BnMnd3dzJuMDBUZmp2bmt5M09pSUVxbGZ4VVlYQS1PTzlLVlBKcVplUVBoQ2RFT1ZzWDBXbWdqbmRWVldKM3EyMmJXOWtEMTFWRlMtbExoVHl0aw?oc=5
HERITGFOOD,Heritage Foods Limited,Heritage Foods Limited's (NSE:HERITGFOOD) Share Price Boosted 27% But Its Business Prospects Need A Lift Too - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxNSkxsSXVqcUpMSE03SnZpam9Gd3dWVEhqSmxpbnlMdTZTZkRNUVhSOFBpUmJha3p0NjJ2R1AxOFFZeG05Q2E4ZUVkSTJQdzRkYm5oR3hJNTJxR1RQY0tjMkhPYkRiYi1PWjVXWXBEdE92RG90Zmx5YmNDd0NsZlFUZEdLSWtJU3piUXlKMjVpenRQUEhoTFVldVpCSXVFNzBFVFNSRkpnd0xkcjBSZk5XQUxGNmNOZFpkSGJFalN3VzgwUzBFSTBUZWoyMVY3QjRPY1lCZlg1cThfaTNyeEdlSmtKdl9udnJtd08tYtIB8gFBVV95cUxONHhETkluODI1UE85ZUI4OUxaVWpnZkh2dWZocEJ0TjNWRWEwblFtaWhmN1hKWTRSTW90bHJQbmxFaG1RbDQxR2NmU1pha2F0S2pGR2dtN0JPOG5ialZDTGtVTlFJbG9HWmF1bm1KeDktVE53ZWZucVBnNjcyWFpJcFdaZTFSMHh0aFcwcjk2MW1XdlBIX1hPR3VSS0JHVzRiUm5EX3hNR2Q2cXlrSnA3bEJ2em1FNTYwOWNkWjgyQ2I4WFZPTmJFdmdGU1Y1TmRiTU5TcjVlVk41RHl3TGJwSnJmMDFFNHRveW5KY3prbTRSQQ?oc=5"" target=""_blank"">Heritage Foods Limited's (NSE:HERITGFOOD) Share Price Boosted 27% But Its Business Prospects Need A Lift Too</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-06-10 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNSkxsSXVqcUpMSE03SnZpam9Gd3dWVEhqSmxpbnlMdTZTZkRNUVhSOFBpUmJha3p0NjJ2R1AxOFFZeG05Q2E4ZUVkSTJQdzRkYm5oR3hJNTJxR1RQY0tjMkhPYkRiYi1PWjVXWXBEdE92RG90Zmx5YmNDd0NsZlFUZEdLSWtJU3piUXlKMjVpenRQUEhoTFVldVpCSXVFNzBFVFNSRkpnd0xkcjBSZk5XQUxGNmNOZFpkSGJFalN3VzgwUzBFSTBUZWoyMVY3QjRPY1lCZlg1cThfaTNyeEdlSmtKdl9udnJtd08tYtIB8gFBVV95cUxONHhETkluODI1UE85ZUI4OUxaVWpnZkh2dWZocEJ0TjNWRWEwblFtaWhmN1hKWTRSTW90bHJQbmxFaG1RbDQxR2NmU1pha2F0S2pGR2dtN0JPOG5ialZDTGtVTlFJbG9HWmF1bm1KeDktVE53ZWZucVBnNjcyWFpJcFdaZTFSMHh0aFcwcjk2MW1XdlBIX1hPR3VSS0JHVzRiUm5EX3hNR2Q2cXlrSnA3bEJ2em1FNTYwOWNkWjgyQ2I4WFZPTmJFdmdGU1Y1TmRiTU5TcjVlVk41RHl3TGJwSnJmMDFFNHRveW5KY3prbTRSQQ?oc=5
HERITGFOOD,Heritage Foods Limited,Heritage Foods shares jump nearly 11% as firm slashes prices of its products; paneer price cut by ₹25 per kg - Upstox,"<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxPYkRYcGVWcEt2TnJsMC1uYXdsSlhiUnNweXltcllzc1dUaHVGV3V5ZzQzWmZZN1BSNnF4YmZiYXhHX2xWOWJtRkMyRU9HYUpEdGttTURNOWo1aTZyRE44SzJOZmZMSVhVdjM1clp1cnBGQjBFVWtBenBhME52Mm40MWM3UHN3OW1ObzFVQnZGWFZaZjkyVmdpX3NYQTBFc2lkUGtJMThRTXozUjVGS2IxcEhfSGVTY3U2NG9odVB4THdXelAwWnlqdnVaUkN0eFBwMXVqWFJjdDZRUm55d0d2WjFHbXBJZ2dneUZ4dktldEVCaG1KU1Q4?oc=5"" target=""_blank"">Heritage Foods shares jump nearly 11% as firm slashes prices of its products; paneer price cut by ₹25 per kg</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-09-18 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi9wFBVV95cUxPYkRYcGVWcEt2TnJsMC1uYXdsSlhiUnNweXltcllzc1dUaHVGV3V5ZzQzWmZZN1BSNnF4YmZiYXhHX2xWOWJtRkMyRU9HYUpEdGttTURNOWo1aTZyRE44SzJOZmZMSVhVdjM1clp1cnBGQjBFVWtBenBhME52Mm40MWM3UHN3OW1ObzFVQnZGWFZaZjkyVmdpX3NYQTBFc2lkUGtJMThRTXozUjVGS2IxcEhfSGVTY3U2NG9odVB4THdXelAwWnlqdnVaUkN0eFBwMXVqWFJjdDZRUm55d0d2WjFHbXBJZ2dneUZ4dktldEVCaG1KU1Q4?oc=5
HERITGFOOD,Heritage Foods Limited,Heritage Foods Soars 7.9% After Slashing Dairy Prices - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxPV3VTc1FhTFhkSWUyYWdNVVV1UDhJQ3BUaGpaZHRqYjVQMGlicHNVeHZmbG9sNVd1WENiMTF4aFFudzlvd3NjQU82Rk44dWFJWHBhNlR4S1ZUSlVHMkVOQU5haGxJNzZ1Y21LZUkzZmpxRHlxcmJkS2t1NEJ1UFZLSWJHcV9VMGtoTm1xS0JWXzVoVnREVWdfWm4zcW5HRzA?oc=5"" target=""_blank"">Heritage Foods Soars 7.9% After Slashing Dairy Prices</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-09-18 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMinwFBVV95cUxPV3VTc1FhTFhkSWUyYWdNVVV1UDhJQ3BUaGpaZHRqYjVQMGlicHNVeHZmbG9sNVd1WENiMTF4aFFudzlvd3NjQU82Rk44dWFJWHBhNlR4S1ZUSlVHMkVOQU5haGxJNzZ1Y21LZUkzZmpxRHlxcmJkS2t1NEJ1UFZLSWJHcV9VMGtoTm1xS0JWXzVoVnREVWdfWm4zcW5HRzA?oc=5
HERITGFOOD,Heritage Foods Limited,Investors Met With Slowing Returns on Capital At Heritage Foods (NSE:HERITGFOOD) - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxOeUppNU13akxueEg3alVlQUF0YWdNU040Q2tFNGxYdWNNQk5uX2w2LU1LYmEyVkY2Mlp5Z3dMSHk5LVExT2VKeDlkWDJTNFFjRGljblh4eWhORU9CSk9QaV9WSzdkR1pSdDZsNU5ZTHlnSEVjWGVSclBtakRpYjZ2R2hfSDlaT3VUVkRMQTBRa05za19lRk5LNUNCRmtqeVM4UkhlQVpHU0VacU91czNMMzkwNVlDYlJMcnBReEJKVU82OXJuZmtEbFlEZHFuVTNiSC1SVDRlV3R6RmlPVGwzRG04eV9kdDNlaHFPZdIB8gFBVV95cUxPZmthcVlCTzNWMzFZRnE3WGhCb0xWM1dSWHF6N19ONTlqSE5SM2IyMjc5ZDF1bHlnMEtTcnkweTJJdkh1QTdNRmRWOThWc1RDWGVPaXNjczdNY3h4QlBmV0pHbDVfMUxKOFlfMVZuOEhDLW1TYnUxU3M2U3J6MEE2WGhSbUVUdEVkeWYyWDZBZTRRQzRDS0tHZU83UVFSRGNSdXdFcjBVTWZxSzZiaEJDbU8yaVBrVmluSlZncEdqX1JheWdueWYtcjVVa3hvNHJFcy02cV9JcUVKVjE1NndmMFNybWplODlWNjUwN2xmSWU5dw?oc=5"" target=""_blank"">Investors Met With Slowing Returns on Capital At Heritage Foods (NSE:HERITGFOOD)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-24 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7AFBVV95cUxOeUppNU13akxueEg3alVlQUF0YWdNU040Q2tFNGxYdWNNQk5uX2w2LU1LYmEyVkY2Mlp5Z3dMSHk5LVExT2VKeDlkWDJTNFFjRGljblh4eWhORU9CSk9QaV9WSzdkR1pSdDZsNU5ZTHlnSEVjWGVSclBtakRpYjZ2R2hfSDlaT3VUVkRMQTBRa05za19lRk5LNUNCRmtqeVM4UkhlQVpHU0VacU91czNMMzkwNVlDYlJMcnBReEJKVU82OXJuZmtEbFlEZHFuVTNiSC1SVDRlV3R6RmlPVGwzRG04eV9kdDNlaHFPZdIB8gFBVV95cUxPZmthcVlCTzNWMzFZRnE3WGhCb0xWM1dSWHF6N19ONTlqSE5SM2IyMjc5ZDF1bHlnMEtTcnkweTJJdkh1QTdNRmRWOThWc1RDWGVPaXNjczdNY3h4QlBmV0pHbDVfMUxKOFlfMVZuOEhDLW1TYnUxU3M2U3J6MEE2WGhSbUVUdEVkeWYyWDZBZTRRQzRDS0tHZU83UVFSRGNSdXdFcjBVTWZxSzZiaEJDbU8yaVBrVmluSlZncEdqX1JheWdueWYtcjVVa3hvNHJFcy02cV9JcUVKVjE1NndmMFNybWplODlWNjUwN2xmSWU5dw?oc=5
HERITGFOOD,Heritage Foods Limited,Heritage Foods Ltd (HERITGFOOD) Share Price - Business Today,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxPWWtWQXQ3czRaNlFsYmR0MjQyLUtxaEczYndRYnFNSDJUQWRocHlaVkNzREtZRWNYbmQyUlQtbHhzWUFxWHV2R0VwcEk3cHBsT3p5TThxaWJlandfenBSOC1yMDVPVHM4Ti1kcmlqY0xrWTc3R1lMVUtjazR2YjVnVGZmR005ckNaX3M2Ug?oc=5"" target=""_blank"">Heritage Foods Ltd (HERITGFOOD) Share Price</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2023-01-31 06:46:25,Business Today,https://news.google.com/rss/articles/CBMijAFBVV95cUxPWWtWQXQ3czRaNlFsYmR0MjQyLUtxaEczYndRYnFNSDJUQWRocHlaVkNzREtZRWNYbmQyUlQtbHhzWUFxWHV2R0VwcEk3cHBsT3p5TThxaWJlandfenBSOC1yMDVPVHM4Ti1kcmlqY0xrWTc3R1lMVUtjazR2YjVnVGZmR005ckNaX3M2Ug?oc=5
HERITGFOOD,Heritage Foods Limited,Earnings Miss: Heritage Foods Limited Missed EPS By 22% And Analysts Are Revising Their Forecasts - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxQYkNQTU5PUU5yaEM2cUE4SkVCMVlyTzVWc2MweW83X2NNRkh6ZlNGSXR1ZU8xQ2RPRk9GaFY4eTVkNUVoa285cDNoaGJqdy1UMzFDODJaZ2lnWFdtQ0FoVEVWd05YVHBJYWNUTnNnT1BzbEJvN2Y5dFBLTmQ5UkZoZHU3Ullyc3dQeFJvSDhQd3JCWjNhRGxyUkNPVUhLOUdPeDQwTjZKcmhlTUhLRk1zMjFfRGtXdjFCRjNhcXZHb0g5aXlUb0VWRlNXcVpWLXp3NGluU3JfVGtEcXFtWTJmQlpRTDNnSC1LM0tmRA?oc=5"" target=""_blank"">Earnings Miss: Heritage Foods Limited Missed EPS By 22% And Analysts Are Revising Their Forecasts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-01 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7AFBVV95cUxQYkNQTU5PUU5yaEM2cUE4SkVCMVlyTzVWc2MweW83X2NNRkh6ZlNGSXR1ZU8xQ2RPRk9GaFY4eTVkNUVoa285cDNoaGJqdy1UMzFDODJaZ2lnWFdtQ0FoVEVWd05YVHBJYWNUTnNnT1BzbEJvN2Y5dFBLTmQ5UkZoZHU3Ullyc3dQeFJvSDhQd3JCWjNhRGxyUkNPVUhLOUdPeDQwTjZKcmhlTUhLRk1zMjFfRGtXdjFCRjNhcXZHb0g5aXlUb0VWRlNXcVpWLXp3NGluU3JfVGtEcXFtWTJmQlpRTDNnSC1LM0tmRA?oc=5
HERITGFOOD,Heritage Foods Limited,HERITGFOOD Share Price | Heritage Foods Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTE02YnZ0UFFoRE1vOTdUTDZ5WmYwWWFhcnBmLUFhdmVxUFp3Zk9mRUIyNHd5Z0lqY2VLRXNiRWhHcWRTaTVySjJ0WVhuVm9iVURxSG9BZnJVaVdQNWZvNzJkdWEyTzNWUUtacGxsM29jSk9FQW9pNUE?oc=5"" target=""_blank"">HERITGFOOD Share Price | Heritage Foods Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-03-05 23:38:11,Markets Mojo,https://news.google.com/rss/articles/CBMidkFVX3lxTE02YnZ0UFFoRE1vOTdUTDZ5WmYwWWFhcnBmLUFhdmVxUFp3Zk9mRUIyNHd5Z0lqY2VLRXNiRWhHcWRTaTVySjJ0WVhuVm9iVURxSG9BZnJVaVdQNWZvNzJkdWEyTzNWUUtacGxsM29jSk9FQW9pNUE?oc=5
HERITGFOOD,Heritage Foods Limited,Heritage Foods' (NSE:HERITGFOOD) Solid Earnings May Rest On Weak Foundations - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxQZHItZ2ZWNjBuREFGS01oY3FUWUR6RUt6UWZFZVRjYmhUSlVXNWJDQWFFWlU2ODU2d1piUlRRVWNDd0FJdVRKRUNRSjYwS1I4eUdJa0VWOWoyZGxuVDQzclpQeGNNdjNtRlUzUzhiNU5udUNnT0xPTEVHVnByd0x1UnU2eVQwcFFjQlJlUDVGbkxQRlV5V0tteVN3Uk8tQkRoLW9wMEZKbFkxNndJd18tbTFDQl82Nzdwd241Z19jZWt4cnQxaEpsSGVXUDY0V0xHeVFmQ0N2eUZlSnlXYUdJLXpuWGwtLTBZZlpCMQ?oc=5"" target=""_blank"">Heritage Foods' (NSE:HERITGFOOD) Solid Earnings May Rest On Weak Foundations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-10-28 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7AFBVV95cUxQZHItZ2ZWNjBuREFGS01oY3FUWUR6RUt6UWZFZVRjYmhUSlVXNWJDQWFFWlU2ODU2d1piUlRRVWNDd0FJdVRKRUNRSjYwS1I4eUdJa0VWOWoyZGxuVDQzclpQeGNNdjNtRlUzUzhiNU5udUNnT0xPTEVHVnByd0x1UnU2eVQwcFFjQlJlUDVGbkxQRlV5V0tteVN3Uk8tQkRoLW9wMEZKbFkxNndJd18tbTFDQl82Nzdwd241Z19jZWt4cnQxaEpsSGVXUDY0V0xHeVFmQ0N2eUZlSnlXYUdJLXpuWGwtLTBZZlpCMQ?oc=5
