scrip,company,headline,summary,published_date,source,url
HITECHCORP,Hitech Corporation Limited,"Hitech Corp Standalone December 2025 Net Sales at Rs 131.54 crore, up 6.94% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxPN1pxT09wNUFueUYzdXlhTm9rUUFRTlRwN29XS1VzS0NFX2NSMENGYmJfY2JGM3dTVl9xMF9EU2o0TWt2QzBaMmRDQkRYcjBPWmdSR3lBRlY4UTR2TjV0a2V1Y2FSUkxiRlAwSWNLNlA3bm0yMGNzUGdZaWVWaHh2N3Q3QzQyc2hBNlRzT3VvalV6SVd1SkdMVEZMU2thNjY3X0ZBTDFuQUs4b2VqdXc1ODdyUDdCVFRuTWQtTEo2RTRiOUFDNmdPZ09KREF2YzFhQ1V3dnczb2loNVFiLUHSAeMBQVVfeXFMTWl6LVJOTDFXWlluM3p4MEFkT010eTZvRXhHR01IWjlBQ3BSXzdBSTAtSHZ1V0tyZFB4Q0tIVEEwOGJ6am4ydmNicHlyQk9ibkNvX19iTE02dnF3R3dOWE9YcXNSOWExaU1oNTNzR2xOUzFlcW5zS1FGcU9PeWhYR1hTUVJZTmV3N0Q5ZzFyLTgycVFybjJsckdMSXBBdFNRUkY4S2VLV2IwVjVnRzc3WVhpMTZwRjBfZzRvUl9fanJKZkNHTHU4bUJnMk5Ka295VkM4UzVzN1dKQ0Z5ZWM1SU00VWs?oc=5"" target=""_blank"">Hitech Corp Standalone December 2025 Net Sales at Rs 131.54 crore, up 6.94% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-25 06:41:10,Moneycontrol.com,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPN1pxT09wNUFueUYzdXlhTm9rUUFRTlRwN29XS1VzS0NFX2NSMENGYmJfY2JGM3dTVl9xMF9EU2o0TWt2QzBaMmRDQkRYcjBPWmdSR3lBRlY4UTR2TjV0a2V1Y2FSUkxiRlAwSWNLNlA3bm0yMGNzUGdZaWVWaHh2N3Q3QzQyc2hBNlRzT3VvalV6SVd1SkdMVEZMU2thNjY3X0ZBTDFuQUs4b2VqdXc1ODdyUDdCVFRuTWQtTEo2RTRiOUFDNmdPZ09KREF2YzFhQ1V3dnczb2loNVFiLUHSAeMBQVVfeXFMTWl6LVJOTDFXWlluM3p4MEFkT010eTZvRXhHR01IWjlBQ3BSXzdBSTAtSHZ1V0tyZFB4Q0tIVEEwOGJ6am4ydmNicHlyQk9ibkNvX19iTE02dnF3R3dOWE9YcXNSOWExaU1oNTNzR2xOUzFlcW5zS1FGcU9PeWhYR1hTUVJZTmV3N0Q5ZzFyLTgycVFybjJsckdMSXBBdFNRUkY4S2VLV2IwVjVnRzc3WVhpMTZwRjBfZzRvUl9fanJKZkNHTHU4bUJnMk5Ka295VkM4UzVzN1dKQ0Z5ZWM1SU00VWs?oc=5
HITECHCORP,Hitech Corporation Limited,"HITECHCORP.NS Hitech Corporation Limited (NSE) pre-market: earnings due 24 Feb 2026, key targets and outlook - Meyka","<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQSGNnTU50NlNYZHYzbFdOSktQWkpRdUE0X1pib0JhTHRtU1NyMlU4bnhKMG9iRS1Tbk51MUdfZnNIZ1dxbVg0MGZMX0QyM0NQVl9uUWt2bjhhOFdrQWxpMkU2TEtjMl9iVmtvbl9RLUdTZ0JhajNSdGYtZTZlY2ZSWjJraFBXTG9uc0JhX0tFMlZ4c3dZNlU5Z2dOWkcyN21zSWNLMUNOVmNJOTRyb1FWSjlfeWJnMHpXdG9jSllQbzY3YURNYlJ3MEV6b2M?oc=5"" target=""_blank"">HITECHCORP.NS Hitech Corporation Limited (NSE) pre-market: earnings due 24 Feb 2026, key targets and outlook</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2026-02-19 20:29:24,Meyka,https://news.google.com/rss/articles/CBMizAFBVV95cUxQSGNnTU50NlNYZHYzbFdOSktQWkpRdUE0X1pib0JhTHRtU1NyMlU4bnhKMG9iRS1Tbk51MUdfZnNIZ1dxbVg0MGZMX0QyM0NQVl9uUWt2bjhhOFdrQWxpMkU2TEtjMl9iVmtvbl9RLUdTZ0JhajNSdGYtZTZlY2ZSWjJraFBXTG9uc0JhX0tFMlZ4c3dZNlU5Z2dOWkcyN21zSWNLMUNOVmNJOTRyb1FWSjlfeWJnMHpXdG9jSllQbzY3YURNYlJ3MEV6b2M?oc=5
HITECHCORP,Hitech Corporation Limited,We Discuss Why Hitech Corporation Limited's (NSE:HITECHCORP) CEO Compensation May Be Closely Reviewed - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPTC1oT0N1SVNqemRPRHhJdVByQXF2dlZsWjRPZzFKTXVabnFSTGZ6UlU2UVZBRnRnSzRHbzRNc2xjcEJwcUNlMmFLYmxDb0VhdFY1Q2c2aDVsNzIxS21BemdnYTBfRGdXUDd1UWJHNjJwYmhUQ3ZXdUtuTi1BSkNrTGNqSk9PeXlvOVA4WVlIa1pKck84QWZ0S0t2c3VEdVRJenNweTI4bVNidnUxZmVCNUJJdlhMMGJNNzVQWnRfbTNTU3BzbjZKbkNyenpWYjYxYkHSAdcBQVVfeXFMTXZ4czRWWEtGdWJBaDJtQ0lvWWE1R0t3ei1SbFQtZC1TY2xFVHRXNEhYOEtFVWJhN1RYZlVHQklob25yWUppY21UckEtSUp1VlZnT2YyREpwS25HLTUzZFNOdEFJbUVYUVh0Q0tZakw4MjM1bU0tWERzQ0xxdG93YlBaWjdnZlh5eVZSRG9pMTM5NGYwSU83M1F6WC1mVU9tSTBpd1A4b1hZNmRDSHhDN3lkRG12djVHWl9ZaEZjTzFXUlJ3R0prNnNVb2JQbUliS1BfdDlqSW8?oc=5"" target=""_blank"">We Discuss Why Hitech Corporation Limited's (NSE:HITECHCORP) CEO Compensation May Be Closely Reviewed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-18 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPTC1oT0N1SVNqemRPRHhJdVByQXF2dlZsWjRPZzFKTXVabnFSTGZ6UlU2UVZBRnRnSzRHbzRNc2xjcEJwcUNlMmFLYmxDb0VhdFY1Q2c2aDVsNzIxS21BemdnYTBfRGdXUDd1UWJHNjJwYmhUQ3ZXdUtuTi1BSkNrTGNqSk9PeXlvOVA4WVlIa1pKck84QWZ0S0t2c3VEdVRJenNweTI4bVNidnUxZmVCNUJJdlhMMGJNNzVQWnRfbTNTU3BzbjZKbkNyenpWYjYxYkHSAdcBQVVfeXFMTXZ4czRWWEtGdWJBaDJtQ0lvWWE1R0t3ei1SbFQtZC1TY2xFVHRXNEhYOEtFVWJhN1RYZlVHQklob25yWUppY21UckEtSUp1VlZnT2YyREpwS25HLTUzZFNOdEFJbUVYUVh0Q0tZakw4MjM1bU0tWERzQ0xxdG93YlBaWjdnZlh5eVZSRG9pMTM5NGYwSU83M1F6WC1mVU9tSTBpd1A4b1hZNmRDSHhDN3lkRG12djVHWl9ZaEZjTzFXUlJ3R0prNnNVb2JQbUliS1BfdDlqSW8?oc=5
HITECHCORP,Hitech Corporation Limited,"HITECHCORP.BO stock at INR 151.55 pre-market: earnings due 24 Feb, model sees 28.40% upside - Meyka","<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNMldQNUtYX216anlmU05KbFBXMEZIZzdqeHVkeEY4dlh5d1EtXzBkdDRtUW5qOERkYnE0MEtOMm1UZkJrb2E2YVZ5SFZDTjNYTGRfMXJTM2pkcFNyYWhkbkUwTmV2WU1HSlR1Mm9FekZCYnhaVkFCUVpqek14VEVGcTBjZVNINXNyQ2tWUnN4ay1va09lSUw4YTl3aExtVjRYT2k2cnFDcXlVekdQdi16VW5lZWs?oc=5"" target=""_blank"">HITECHCORP.BO stock at INR 151.55 pre-market: earnings due 24 Feb, model sees 28.40% upside</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2026-02-20 08:00:00,Meyka,https://news.google.com/rss/articles/CBMitAFBVV95cUxNMldQNUtYX216anlmU05KbFBXMEZIZzdqeHVkeEY4dlh5d1EtXzBkdDRtUW5qOERkYnE0MEtOMm1UZkJrb2E2YVZ5SFZDTjNYTGRfMXJTM2pkcFNyYWhkbkUwTmV2WU1HSlR1Mm9FekZCYnhaVkFCUVpqek14VEVGcTBjZVNINXNyQ2tWUnN4ay1va09lSUw4YTl3aExtVjRYT2k2cnFDcXlVekdQdi16VW5lZWs?oc=5
HITECHCORP,Hitech Corporation Limited,"Hitech Corp Posts Q3 Loss, Profit Slides 80% for 9 Months - Whalesbook","<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQMmxuWnpRTFMwYjFsRUVuY0Yya1BXN2ZTSjM4V095U0NxZUFaaWlEVnN2WGZTNzh0Q3RjRE43Y3ozM3k4WXMzTDBDRC03LUswYUdMcjlWd3hSRFpXRjFJRjNMZmozazhRY19TZlVmcGtyT3BGZlMzOTNLWUl4cHg2VmlmdnBVWGE2ZlE3SFAxWDIwc1BQVzJHcnFhb1B3cmN1ZVVDd0RfNTJOeXlUTDVmR0VFVnRhVC1vNTRqeDk1Z3haVTVLbXpFd1dCWVRjcGxCZWZXNHdWWUM0dnROcFBjZHV6emtmMWs?oc=5"" target=""_blank"">Hitech Corp Posts Q3 Loss, Profit Slides 80% for 9 Months</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Whalesbook</font>",2026-02-10 08:00:00,Whalesbook,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQMmxuWnpRTFMwYjFsRUVuY0Yya1BXN2ZTSjM4V095U0NxZUFaaWlEVnN2WGZTNzh0Q3RjRE43Y3ozM3k4WXMzTDBDRC03LUswYUdMcjlWd3hSRFpXRjFJRjNMZmozazhRY19TZlVmcGtyT3BGZlMzOTNLWUl4cHg2VmlmdnBVWGE2ZlE3SFAxWDIwc1BQVzJHcnFhb1B3cmN1ZVVDd0RfNTJOeXlUTDVmR0VFVnRhVC1vNTRqeDk1Z3haVTVLbXpFd1dCWVRjcGxCZWZXNHdWWUM0dnROcFBjZHV6emtmMWs?oc=5
HITECHCORP,Hitech Corporation Limited,Hitech Corporation Limited Issues Postal Ballot Notice for Director Re-appointment - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxOTHNyZUlVY1pRSE1PaFZsNlUzWVQ4U1paQi1lMzRoNDg4VGtWODAzYkphYlVxYWM3NVFNeVpuVE1DMzhkZjhQeGZncTFJd0EwdUQ4SzI0b01YQ01nelNuM0ktQUJuZUhaWHRKdXFfTVdSaEMwalJ1NDF2V0w1aU1JNW1KY1c2ZEowdmxGTUljOU56TU9meE5mb2lieGRSLVlvY0tqRFlQVG1VZmtlRXJ3aXRmd21qZkxuQkM5TnVNaU1rcXlHckt3OTUzVVpRV1ZaM3c?oc=5"" target=""_blank"">Hitech Corporation Limited Issues Postal Ballot Notice for Director Re-appointment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-23 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOTHNyZUlVY1pRSE1PaFZsNlUzWVQ4U1paQi1lMzRoNDg4VGtWODAzYkphYlVxYWM3NVFNeVpuVE1DMzhkZjhQeGZncTFJd0EwdUQ4SzI0b01YQ01nelNuM0ktQUJuZUhaWHRKdXFfTVdSaEMwalJ1NDF2V0w1aU1JNW1KY1c2ZEowdmxGTUljOU56TU9meE5mb2lieGRSLVlvY0tqRFlQVG1VZmtlRXJ3aXRmd21qZkxuQkM5TnVNaU1rcXlHckt3OTUzVVpRV1ZaM3c?oc=5
HITECHCORP,Hitech Corporation Limited,"Hitech Corporation Limited Announces Retirement of Avan R. Chaina as Key Managerial Personnel, Effective February 11, 2026 - marketscreener.com","<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxQWmtNdXNBVWdKallzQmhldDI2OGFxVU5mWU5TMG11TkhaQTNxZVY2TWRlTzNoOWxrYWZoYmJQX3M5UTBYZ1BUZ3BCNGRpQ0txVHl2czVReEp4YWE4VVhtUW1FUXJQVVlhQ0lCc1Itb25NSDZTSTVnYTJYLVZiU3lYcGVYWWdEVFd6eGNsZ1lhb0JTZ2I1al85ZUNnTEgxQXZ1NXpoelVxaGh6dU82MkZsbzNBZDBzanVzSlVzalJtQnRGOE9QVkdrSEx4WlhwWDktTTVRT0VnOVBEWXNyMHFDYUYtVjhTUQ?oc=5"" target=""_blank"">Hitech Corporation Limited Announces Retirement of Avan R. Chaina as Key Managerial Personnel, Effective February 11, 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketscreener.com</font>",2026-02-10 08:00:00,marketscreener.com,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQWmtNdXNBVWdKallzQmhldDI2OGFxVU5mWU5TMG11TkhaQTNxZVY2TWRlTzNoOWxrYWZoYmJQX3M5UTBYZ1BUZ3BCNGRpQ0txVHl2czVReEp4YWE4VVhtUW1FUXJQVVlhQ0lCc1Itb25NSDZTSTVnYTJYLVZiU3lYcGVYWWdEVFd6eGNsZ1lhb0JTZ2I1al85ZUNnTEgxQXZ1NXpoelVxaGh6dU82MkZsbzNBZDBzanVzSlVzalJtQnRGOE9QVkdrSEx4WlhwWDktTTVRT0VnOVBEWXNyMHFDYUYtVjhTUQ?oc=5
HITECHCORP,Hitech Corporation Limited,The Market Doesn't Like What It Sees From Hitech Corporation Limited's (NSE:HITECHCORP) Earnings Yet As Shares Tumble 26% - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPbmpJSnBORldXTTVJc1ZNbFpDcE55bzJOeGg2YWxTZGFzR0lmaV9qNzdLS3JyTFlIa2YydHQ2cjd1R1RjelpDZnlsSkEyU2l3dHM1RkxZVVdFY3NqRUE5WGxpb19RSG9zdTcyejdiU0lnX01QMGVGaGxjZ0FObi14LVFBZWo1VzVNZEJJODNHVlZrMmY0U0JiRUl6VWZ2SlN1UDFYUzFuRG1WUXpock1Fa3VjOFZxSkpzVE5pUG9JUTVkU2F3TXNSbENpbTZwenRH0gHWAUFVX3lxTE1WZFl1VGM2a055eXBLckVsZGxFdEthT0RDOHQwa1prckswMUZSWmI4MW5xWGFRRFZxLVNPMWV0cG9UdFFvWExRMkV2QVV6dWtKRnQ5NEVsSXllcE9aZjJIanNmSEdQRDhnVWxfZE42SXF1Qy1ybS1UVDA5bzM2OEt0SWdBaEdldDlfVjliWW9TYUZhRFNBYlhxWjNEZWxoSmw0SUVXUHBnVncwVXpXRzF2RzJaUkdoS0FIYldGc2d3cnJCT2lHVjlLM1lJQ1JMZmtISXY2SVE?oc=5"" target=""_blank"">The Market Doesn't Like What It Sees From Hitech Corporation Limited's (NSE:HITECHCORP) Earnings Yet As Shares Tumble 26%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-03-01 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPbmpJSnBORldXTTVJc1ZNbFpDcE55bzJOeGg2YWxTZGFzR0lmaV9qNzdLS3JyTFlIa2YydHQ2cjd1R1RjelpDZnlsSkEyU2l3dHM1RkxZVVdFY3NqRUE5WGxpb19RSG9zdTcyejdiU0lnX01QMGVGaGxjZ0FObi14LVFBZWo1VzVNZEJJODNHVlZrMmY0U0JiRUl6VWZ2SlN1UDFYUzFuRG1WUXpock1Fa3VjOFZxSkpzVE5pUG9JUTVkU2F3TXNSbENpbTZwenRH0gHWAUFVX3lxTE1WZFl1VGM2a055eXBLckVsZGxFdEthT0RDOHQwa1prckswMUZSWmI4MW5xWGFRRFZxLVNPMWV0cG9UdFFvWExRMkV2QVV6dWtKRnQ5NEVsSXllcE9aZjJIanNmSEdQRDhnVWxfZE42SXF1Qy1ybS1UVDA5bzM2OEt0SWdBaEdldDlfVjliWW9TYUZhRFNBYlhxWjNEZWxoSmw0SUVXUHBnVncwVXpXRzF2RzJaUkdoS0FIYldGc2d3cnJCT2lHVjlLM1lJQ1JMZmtISXY2SVE?oc=5
HITECHCORP,Hitech Corporation Limited,Garware Hi-Tech Films Limited (NSE:GRWRHITECH) Stock Rockets 39% As Investors Are Less Pessimistic Than Expected - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxPRUJpNGp6NmxMbE45cnN4OHBudmZBZ08wa0ZST1h5Qm9ERkRxQndRaFQzdGdqVWpMWWRkRTl5Q3VCX3Bic2pPYlBMaGx2bzRYNld2U01BLUhJZUFsZ3FYVHJKdnVNTmx1UXlOQUFueHE1V1c4UDNmV2tDd0xmb0owSDB5S2tkLXAtLW43OWFRTE9XblByQjdNeWw5V0ptb1l5SWlFak1VdVo3bHBlU0V6X3VFcFpxSDZjZXFrZEV0Y19xeUF5UVYzckJKelA4Z2laQTdfQ3Q5bzdELVhBa0lxTFpOVVNZUQ?oc=5"" target=""_blank"">Garware Hi-Tech Films Limited (NSE:GRWRHITECH) Stock Rockets 39% As Investors Are Less Pessimistic Than Expected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-05 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPRUJpNGp6NmxMbE45cnN4OHBudmZBZ08wa0ZST1h5Qm9ERkRxQndRaFQzdGdqVWpMWWRkRTl5Q3VCX3Bic2pPYlBMaGx2bzRYNld2U01BLUhJZUFsZ3FYVHJKdnVNTmx1UXlOQUFueHE1V1c4UDNmV2tDd0xmb0owSDB5S2tkLXAtLW43OWFRTE9XblByQjdNeWw5V0ptb1l5SWlFak1VdVo3bHBlU0V6X3VFcFpxSDZjZXFrZEV0Y19xeUF5UVYzckJKelA4Z2laQTdfQ3Q5bzdELVhBa0lxTFpOVVNZUQ?oc=5
HITECHCORP,Hitech Corporation Limited,Is The Hi-Tech Gears Limited's (NSE:HITECHGEAR) Recent Stock Performance Influenced By Its Fundamentals In Any Way? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPYUNWTjg3a2FnNFAzZVVXYlhEWHVNS2lWV3BZV2oxN2NremZLXzRaM3UwVkpBeUpnQXg5MTdkeTZTeFBzNWZiVm5vbC02dWdHbFNVZVRDZ2ZjQWxZOGlkaC1Tbk9WWWVYdHhMM2dGYkgwd0J6azNBaHQ4dzZiYWx3dGt1U0Rxb0pVZVNiMTJ4TjVXZDlBSWozbnhfMTU5cElMRE1vZ2NpX21IX1RnY1BseFVzQUNNYUl6VFl1Yk5Ramg5ZVR0MVZ4NVlYbTJRT016T1VVSE1kRXp3REtEYkkzcQ?oc=5"" target=""_blank"">Is The Hi-Tech Gears Limited's (NSE:HITECHGEAR) Recent Stock Performance Influenced By Its Fundamentals In Any Way?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-06 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPYUNWTjg3a2FnNFAzZVVXYlhEWHVNS2lWV3BZV2oxN2NremZLXzRaM3UwVkpBeUpnQXg5MTdkeTZTeFBzNWZiVm5vbC02dWdHbFNVZVRDZ2ZjQWxZOGlkaC1Tbk9WWWVYdHhMM2dGYkgwd0J6azNBaHQ4dzZiYWx3dGt1U0Rxb0pVZVNiMTJ4TjVXZDlBSWozbnhfMTU5cElMRE1vZ2NpX21IX1RnY1BseFVzQUNNYUl6VFl1Yk5Ramg5ZVR0MVZ4NVlYbTJRT016T1VVSE1kRXp3REtEYkkzcQ?oc=5
