scrip,company,headline,summary,published_date,source,url
IFBAGRO,IFB Agro Industries Limited,IFB Agro Industries Limited (NSE:IFBAGRO) Held Back By Insufficient Growth Even After Shares Climb 30% - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxPVjZWNXB2Mmx6MDF1cnFPQ2JQNFdzaDBuT2ZIMzVKZ0VtbFp5dWpsZ0Jhcng3bWx2Ykc5QkVfcl9pTEVaSU1wTFMtelFSNDVCQTlJVUF1b2d3MmJpdnRMSFFjbWhHQmVuMVplOTdfU0FJMHRlX0pvS2VzX0FFRE00T0tXZ2RLalk2UWgxVjBRdGJ1bXFMNHU3VGczbGRwVmpSdmNwOHhmaktYM1huZGxPTEtfZ1JwSGRuOXF4NkpxWGZ6RndDSUtHMWhFd0xNeXBFTXhBR0IyOU1GcXF5eHBlQWNPWmlXdXZ0N0dRS0Nidw?oc=5"" target=""_blank"">IFB Agro Industries Limited (NSE:IFBAGRO) Held Back By Insufficient Growth Even After Shares Climb 30%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-10 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7wFBVV95cUxPVjZWNXB2Mmx6MDF1cnFPQ2JQNFdzaDBuT2ZIMzVKZ0VtbFp5dWpsZ0Jhcng3bWx2Ykc5QkVfcl9pTEVaSU1wTFMtelFSNDVCQTlJVUF1b2d3MmJpdnRMSFFjbWhHQmVuMVplOTdfU0FJMHRlX0pvS2VzX0FFRE00T0tXZ2RLalk2UWgxVjBRdGJ1bXFMNHU3VGczbGRwVmpSdmNwOHhmaktYM1huZGxPTEtfZ1JwSGRuOXF4NkpxWGZ6RndDSUtHMWhFd0xNeXBFTXhBR0IyOU1GcXF5eHBlQWNPWmlXdXZ0N0dRS0Nidw?oc=5
IFBAGRO,IFB Agro Industries Limited,IFBAGRO Share Price | IFB Agro Industries Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTE9EallBRC1zOUNVU2dLUEVWUHNkSFFzTVJpVEtuZ2xyTDZ3WTdjdzhkejdvZ0N5YlRmS1VJSlR5UkdWSGtmc2ZLYk1RcVp6N0x4N3Ntc1lzWk42VmNwSXIxaW1wby0tSTdGTmlMUGdDc0JrQ09D?oc=5"" target=""_blank"">IFBAGRO Share Price | IFB Agro Industries Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-09-22 12:47:21,Markets Mojo,https://news.google.com/rss/articles/CBMidEFVX3lxTE9EallBRC1zOUNVU2dLUEVWUHNkSFFzTVJpVEtuZ2xyTDZ3WTdjdzhkejdvZ0N5YlRmS1VJSlR5UkdWSGtmc2ZLYk1RcVp6N0x4N3Ntc1lzWk42VmNwSXIxaW1wby0tSTdGTmlMUGdDc0JrQ09D?oc=5
IFBAGRO,IFB Agro Industries Limited,IFB Agro Industries' (NSE:IFBAGRO) five-year total shareholder returns outpace the underlying earnings growth - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxQRHQ3aHJ0Nmh1SUlmd3dYZWJ0eUZrTlJZSTNDRHlVQUs3dEtXazdCa0tYNzBXNGdxbzZFVWVkZ2MyVjVYTUE5Rjc2OTJoOU5oMHkzVk5KQjBrQ0IzZWcwVEpaTi0xaWloX254aUUwU3dmMmFkNEttMEI0cW0tZ0hXWEhXOFZzSmxyWHJ6UzgtNWEyRzlDQ3RJMHNZdkota3BaVEZoM2psN2hDNks1LVFmbWZyemJUTGpoNElqY3JfaDBIR1lGZkFvZDFZcGUzWDFUN1lnWmVuakpNcWtEUHNsd2tKczZ2dHZVYnMteFdPYw?oc=5"" target=""_blank"">IFB Agro Industries' (NSE:IFBAGRO) five-year total shareholder returns outpace the underlying earnings growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-02 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQRHQ3aHJ0Nmh1SUlmd3dYZWJ0eUZrTlJZSTNDRHlVQUs3dEtXazdCa0tYNzBXNGdxbzZFVWVkZ2MyVjVYTUE5Rjc2OTJoOU5oMHkzVk5KQjBrQ0IzZWcwVEpaTi0xaWloX254aUUwU3dmMmFkNEttMEI0cW0tZ0hXWEhXOFZzSmxyWHJ6UzgtNWEyRzlDQ3RJMHNZdkota3BaVEZoM2psN2hDNks1LVFmbWZyemJUTGpoNElqY3JfaDBIR1lGZkFvZDFZcGUzWDFUN1lnWmVuakpNcWtEUHNsd2tKczZ2dHZVYnMteFdPYw?oc=5
IFBAGRO,IFB Agro Industries Limited,"India-EU trade deal: Why IFB Agro, Sula Vineyards, United Spirits & other brewery stocks declined - Business Today","<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxQRTFEY2tvM2hnQ3R6Znh0TE5NOVdOREw3bkdjSTVoMXAtclFLM1Y0T196UnVSR2kzdDkxX2NDTERhNnkxczZ3cGYyaFc0UEV6ZzJkR2tFdVYwQTVrTU5DV2J3TEs4WDkxZ3NVclZpaEhHcGhzdkF0ZU1PRWkxc3FtMEt6d1JJNGJkOHEtY25KbC04TFNzXzVDUGZwekdJVmlUUzJObEJ3ckZzM2JNUWozeDZBNHFBZWRuS19Ic2tDVFVvYk9NLWpZbHRBSnotellFMGFpMWVMME92U3dZb2oydkMtbEZQX3I5Y0JDZjc1Q25UZ9IB9wFBVV95cUxPYzhtSDFRWjNueWFuMkhLQWt3RFZkTjhfZEFwWEJYOFdOYXZHR3J1VV8xcldpVGkxbGE4a1J2RldubGJ6bDRwdnYtLXhmUE8zUDlhNnNTeUdEVFJEZWExZlNOVDJQdG5PVjZwakpFd19sTXFqeVVmM0VJRTlTOWE1Rnlaazk0cTJmdTMzMFdXR1lNTTNZOU9XMktHeGRkalVEcFdFM2hScmlMU0xEMkdpdDQ0SVFkeDlJWmYzWnp6OEJ5SHNoSXpnYXhPbTVmTE5Gbm5TZzBqejVaelluZFJUcWFxSHM2ZUJxVDU2YkFrZDZ6dHo2V1lz?oc=5"" target=""_blank"">India-EU trade deal: Why IFB Agro, Sula Vineyards, United Spirits & other brewery stocks declined</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2026-01-27 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQRTFEY2tvM2hnQ3R6Znh0TE5NOVdOREw3bkdjSTVoMXAtclFLM1Y0T196UnVSR2kzdDkxX2NDTERhNnkxczZ3cGYyaFc0UEV6ZzJkR2tFdVYwQTVrTU5DV2J3TEs4WDkxZ3NVclZpaEhHcGhzdkF0ZU1PRWkxc3FtMEt6d1JJNGJkOHEtY25KbC04TFNzXzVDUGZwekdJVmlUUzJObEJ3ckZzM2JNUWozeDZBNHFBZWRuS19Ic2tDVFVvYk9NLWpZbHRBSnotellFMGFpMWVMME92U3dZb2oydkMtbEZQX3I5Y0JDZjc1Q25UZ9IB9wFBVV95cUxPYzhtSDFRWjNueWFuMkhLQWt3RFZkTjhfZEFwWEJYOFdOYXZHR3J1VV8xcldpVGkxbGE4a1J2RldubGJ6bDRwdnYtLXhmUE8zUDlhNnNTeUdEVFJEZWExZlNOVDJQdG5PVjZwakpFd19sTXFqeVVmM0VJRTlTOWE1Rnlaazk0cTJmdTMzMFdXR1lNTTNZOU9XMktHeGRkalVEcFdFM2hScmlMU0xEMkdpdDQ0SVFkeDlJWmYzWnp6OEJ5SHNoSXpnYXhPbTVmTE5Gbm5TZzBqejVaelluZFJUcWFxSHM2ZUJxVDU2YkFrZDZ6dHo2V1lz?oc=5
IFBAGRO,IFB Agro Industries Limited,IFB Agro Shares Surge 12.48% on Strong Q2 FY26 Results - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE9TZjMwTnFBbHVpeklCNzlQRFRSYVFmU3JUYnVwY21sS0RDVWlGdVFoQkhGR09qTUY4ZmVEZ2c1M3A0a0ZlR2ZETzEwdUN5QnA5OHBBYmRYaWJBVDVIM2RER0plQklCU1ZUZE5ob0VvR3NWaWc?oc=5"" target=""_blank"">IFB Agro Shares Surge 12.48% on Strong Q2 FY26 Results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-11-03 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMic0FVX3lxTE9TZjMwTnFBbHVpeklCNzlQRFRSYVFmU3JUYnVwY21sS0RDVWlGdVFoQkhGR09qTUY4ZmVEZ2c1M3A0a0ZlR2ZETzEwdUN5QnA5OHBBYmRYaWJBVDVIM2RER0plQklCU1ZUZE5ob0VvR3NWaWc?oc=5
IFBAGRO,IFB Agro Industries Limited,IFB Agro Industries (NSE:IFBAGRO) Has A Pretty Healthy Balance Sheet - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxQcGM5VFByZUZtR2hQT0p6RGJYdnJ2eVkxcEpHakF2Ynp2Umo4VEx0Q3FLWl92SkpSeWNzbTBUc0RacGRreXlLZ1hXLXdtVjh5OEJPclVrcDFZdENnRzhmNGxBaXRuLXp4RnBzekw2WkVySW90RzhJd2dGSVpqcDR6a19zbw?oc=5"" target=""_blank"">IFB Agro Industries (NSE:IFBAGRO) Has A Pretty Healthy Balance Sheet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",2019-08-27 07:00:00,Yahoo Finance,https://news.google.com/rss/articles/CBMigwFBVV95cUxQcGM5VFByZUZtR2hQT0p6RGJYdnJ2eVkxcEpHakF2Ynp2Umo4VEx0Q3FLWl92SkpSeWNzbTBUc0RacGRreXlLZ1hXLXdtVjh5OEJPclVrcDFZdENnRzhmNGxBaXRuLXp4RnBzekw2WkVySW90RzhJd2dGSVpqcDR6a19zbw?oc=5
IFBAGRO,IFB Agro Industries Limited,"‘Excise trouble, goons’: IFB Agro approves Rs 40 cr poll bonds to ease doing business in Bengal - ThePrint","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPODJweGdFV2JsR1NHOUxKRjVPUzI4MEJrajdTRHpCcWN3QndFNVgwNndRX2lydHl0WFdCXzQ5NWVlc08wVUYyWjNyS2pGcGdfS051dWsyTHkxVkFyZ2dEZ3JzbDdHOTV4dTBibk9Ya1ZaSHZCdVJrU1ZnYUxEWlpjLTludFZWUTVXVG1XYnhmMzE5SmppdHJFZXFGb2lBUW9keU5uQ0VMeFlxWjNnSnRuVmF1WXgwYnZRMnBOSXY5VUdEVjBlcV9r0gHMAUFVX3lxTE5lLVFGODNaVzVnRHlQc3NHUEoyQWRXbUJvY2lDSXVCUUdkd1VBS29NNG9wYlNiUkFDdXUyRTlKb3RnSVBockZyMTNVako5Sm00R1lQcDNPZ29LYzMxQ1hrU3A3Y0xXUmgyUUJoYUo2SDE5Rm9BQ1NWRVd2MnFtTTNSMnBlYXY1bHNUbDFxUzBIa2Z2SEU0VTVtaldXX0ZZWHNnOHpoVHRjUGZmaEp1VXROanVHdkVDSUk2eDFPWDJaVHJrazQwTG43RkVsWQ?oc=5"" target=""_blank"">‘Excise trouble, goons’: IFB Agro approves Rs 40 cr poll bonds to ease doing business in Bengal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ThePrint</font>",2022-04-03 07:00:00,ThePrint,https://news.google.com/rss/articles/CBMixwFBVV95cUxPODJweGdFV2JsR1NHOUxKRjVPUzI4MEJrajdTRHpCcWN3QndFNVgwNndRX2lydHl0WFdCXzQ5NWVlc08wVUYyWjNyS2pGcGdfS051dWsyTHkxVkFyZ2dEZ3JzbDdHOTV4dTBibk9Ya1ZaSHZCdVJrU1ZnYUxEWlpjLTludFZWUTVXVG1XYnhmMzE5SmppdHJFZXFGb2lBUW9keU5uQ0VMeFlxWjNnSnRuVmF1WXgwYnZRMnBOSXY5VUdEVjBlcV9r0gHMAUFVX3lxTE5lLVFGODNaVzVnRHlQc3NHUEoyQWRXbUJvY2lDSXVCUUdkd1VBS29NNG9wYlNiUkFDdXUyRTlKb3RnSVBockZyMTNVako5Sm00R1lQcDNPZ29LYzMxQ1hrU3A3Y0xXUmgyUUJoYUo2SDE5Rm9BQ1NWRVd2MnFtTTNSMnBlYXY1bHNUbDFxUzBIa2Z2SEU0VTVtaldXX0ZZWHNnOHpoVHRjUGZmaEp1VXROanVHdkVDSUk2eDFPWDJaVHJrazQwTG43RkVsWQ?oc=5
IFBAGRO,IFB Agro Industries Limited,"IFB Agro Says it Has Paid Rs 40 Crore in Electoral Bonds This FY, Three Times its Profits After Tax - The Wire India","<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxPd3JmS3ROQ2toUW9yRnNEc2s0LUdJcU5zX254dG8wX2xpVll1bTJMWWNDa1NJZm0wUHMxUGhjODVRdm9YaW53N2s4a2JvQnYyS1NxSEdMTmF1Rkc3SXctRGs3TUYtODZibXNtbVdORkVXMUpWU19ySGRmc2Zxakg3SXM0bkVMczBiLTR0WU1ucGfSAYwBQVVfeXFMT0U4Smw3S25GLXRiSjd3b1lNbkwwRE9kZEhKbjlnM0J3ZHp6V3ZqdHdNRTJHbnNBcmJOQkJpbDRnRDhYa0VFMEJ6YmpTYWtSWGxXcTlQdGg4eTN5N2VIcFRNQXY1M1BPamdsUFVsUnU2bVh4Ymo1ODYyay1yNHpidlh5ZldLYmpPanRZQnQ?oc=5"" target=""_blank"">IFB Agro Says it Has Paid Rs 40 Crore in Electoral Bonds This FY, Three Times its Profits After Tax</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Wire India</font>",2024-02-29 08:00:00,The Wire India,https://news.google.com/rss/articles/CBMikAFBVV95cUxPd3JmS3ROQ2toUW9yRnNEc2s0LUdJcU5zX254dG8wX2xpVll1bTJMWWNDa1NJZm0wUHMxUGhjODVRdm9YaW53N2s4a2JvQnYyS1NxSEdMTmF1Rkc3SXctRGs3TUYtODZibXNtbVdORkVXMUpWU19ySGRmc2Zxakg3SXM0bkVMczBiLTR0WU1ucGfSAYwBQVVfeXFMT0U4Smw3S25GLXRiSjd3b1lNbkwwRE9kZEhKbjlnM0J3ZHp6V3ZqdHdNRTJHbnNBcmJOQkJpbDRnRDhYa0VFMEJ6YmpTYWtSWGxXcTlQdGg4eTN5N2VIcFRNQXY1M1BPamdsUFVsUnU2bVh4Ymo1ODYyay1yNHpidlh5ZldLYmpPanRZQnQ?oc=5
IFBAGRO,IFB Agro Industries Limited,IFB Agro Industries shares soar 3% after voluntary liquidation of UAE venture - Upstox,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNbnJHRW55djNRU1RLRDlmUTdxOG1wa3czWTVzdzdPbTVuMGMwTC1SRUFxWmF3UDJuaTNTUGZnR1lIQXBYUTJGR2hBZWl5MEMyTEJUYlFNUmQ4WVdUZUpuNG4taHIwR3lsZFA4Q0dGRk55V2N0SmtwTW44RDg2c2lPRUl4Mk10TVFKMmlfM19MTC1JaWFZY2FtQ1I2dWtYcFRZZXFkYnVHNGNrX25OYk9UUE5fSkdCNkZZQ1RmUE5zQzQ4amQyaVhNYUJXeU1WbHZy?oc=5"" target=""_blank"">IFB Agro Industries shares soar 3% after voluntary liquidation of UAE venture</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-10-03 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNbnJHRW55djNRU1RLRDlmUTdxOG1wa3czWTVzdzdPbTVuMGMwTC1SRUFxWmF3UDJuaTNTUGZnR1lIQXBYUTJGR2hBZWl5MEMyTEJUYlFNUmQ4WVdUZUpuNG4taHIwR3lsZFA4Q0dGRk55V2N0SmtwTW44RDg2c2lPRUl4Mk10TVFKMmlfM19MTC1JaWFZY2FtQ1I2dWtYcFRZZXFkYnVHNGNrX25OYk9UUE5fSkdCNkZZQ1RmUE5zQzQ4amQyaVhNYUJXeU1WbHZy?oc=5
IFBAGRO,IFB Agro Industries Limited,"IFB Agro Consolidated September 2025 Net Sales at Rs 401.98 crore, up 50.67% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxNUFIyZl9HZEhDR3pwSDl2YmF3MGxRYUR1MHhJRU8zdUtKQTBpbFBHbG9ocC03LVl1SjNyZ3A3R01UQVFNdE9xem4tZVhwNnY1WXIydjFsY3BtdHV3dWhVSGVtLWlyMnhPS0JTM0o5QVFheWM2NXA0clZKQkFEUWNGX1NQZGRHMVpmMkpBS0NWQnB2NVZFVVI5d1oxRU5IY3QzaEprMUtCNmY1MXdkSHROdFluOExROEd6ajMxZ1YyR1o2TkgwMDQzUHM0QVBxRjB5QkxSSVBCU0xFM2plaHFV0gHkAUFVX3lxTFB3X3BEdUU4aWRXUDAzUVJOTWJVS0tUQXpBZEd0VjNyZ1lYd3lDczVWUVlfRTRHeldTZ3JUZEp1ekY1bVFDdlRybXM2bjlDbE5sa0lXQUpaVUZzdDhrSkFFMEJjN1M0RTFadVBwQTFuenM2U3c3TlpPOVNwMmwtTWIzS2dVVFlxNmtNMUFEMDVpUHBpZmhoSjV5VVo5UzdXV0dBdFdYeC14UDJuTmxzNjBGRkxWME1veWNzdDFfNi15eEJQWFlMdUZtZWtaaWpESUozUk1UZFVSaExqcjV6bXNGU01Dcw?oc=5"" target=""_blank"">IFB Agro Consolidated September 2025 Net Sales at Rs 401.98 crore, up 50.67% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-11-03 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi3wFBVV95cUxNUFIyZl9HZEhDR3pwSDl2YmF3MGxRYUR1MHhJRU8zdUtKQTBpbFBHbG9ocC03LVl1SjNyZ3A3R01UQVFNdE9xem4tZVhwNnY1WXIydjFsY3BtdHV3dWhVSGVtLWlyMnhPS0JTM0o5QVFheWM2NXA0clZKQkFEUWNGX1NQZGRHMVpmMkpBS0NWQnB2NVZFVVI5d1oxRU5IY3QzaEprMUtCNmY1MXdkSHROdFluOExROEd6ajMxZ1YyR1o2TkgwMDQzUHM0QVBxRjB5QkxSSVBCU0xFM2plaHFV0gHkAUFVX3lxTFB3X3BEdUU4aWRXUDAzUVJOTWJVS0tUQXpBZEd0VjNyZ1lYd3lDczVWUVlfRTRHeldTZ3JUZEp1ekY1bVFDdlRybXM2bjlDbE5sa0lXQUpaVUZzdDhrSkFFMEJjN1M0RTFadVBwQTFuenM2U3c3TlpPOVNwMmwtTWIzS2dVVFlxNmtNMUFEMDVpUHBpZmhoSjV5VVo5UzdXV0dBdFdYeC14UDJuTmxzNjBGRkxWME1veWNzdDFfNi15eEJQWFlMdUZtZWtaaWpESUozUk1UZFVSaExqcjV6bXNGU01Dcw?oc=5
