scrip,company,headline,summary,published_date,source,url
INDOSTAR,IndoStar Capital Finance Limited,Indostar Capital Finance Ltd Opens with Significant Gap Down Amid Market Concerns - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNOXpMbXdzcWZ0WGhlZ041bURGMDdjLWpGVFBPUU9zMmJYdlFWdjAwaVBmMXBPQTIxQThoZGFfbXVMMjEtM2h4eF9CeTcwQnpnMFVNWVhWR1BWbmdCdndTWjJSSVMtcFlFRmFQakc0M04xTzdsVmZmWHVCYmNHdGFsbEVpU2cyak5EelpmVTg4eHBrSmQ5bkpIMmluZmF5OTJzOVNpajJZZ2hzWXFtWF96SV9GRDJQdVdZQ0RfSFMzRWlBTGNqeGNfdVZTQnU0SWZDWHVPNVNR?oc=5"" target=""_blank"">Indostar Capital Finance Ltd Opens with Significant Gap Down Amid Market Concerns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-04 04:36:59,Markets Mojo,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNOXpMbXdzcWZ0WGhlZ041bURGMDdjLWpGVFBPUU9zMmJYdlFWdjAwaVBmMXBPQTIxQThoZGFfbXVMMjEtM2h4eF9CeTcwQnpnMFVNWVhWR1BWbmdCdndTWjJSSVMtcFlFRmFQakc0M04xTzdsVmZmWHVCYmNHdGFsbEVpU2cyak5EelpmVTg4eHBrSmQ5bkpIMmluZmF5OTJzOVNpajJZZ2hzWXFtWF96SV9GRDJQdVdZQ0RfSFMzRWlBTGNqeGNfdVZTQnU0SWZDWHVPNVNR?oc=5
INDOSTAR,IndoStar Capital Finance Limited,The Market Doesn't Like What It Sees From IndoStar Capital Finance Limited's (NSE:INDOSTAR) Earnings Yet - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxNdUxDZDI2X1BITnpMenUwR21CRGFicUdTUFd4amY3dy1mVUt4OEY5MHExVmxuMXByUVVnaGlLaVNpTm5uVUpOUmJqY25PYTVxQ2xfdHZWQ3F4bl9USDdsNWRDVzdId2NIYlZ6N2Z4WUc3YWoyajBTd0ZudjRZUWd6RVBsUHBJTlpPWFVfSEcyNzJIZEZ1b1NJVVRTdnlHbXRmTnZMLVExUTR3WlNLSXRrUzV6bXpoZ09mWlZyMEczNzhLenpBc1pqN3Q3Y1Z4YTZJYTQxN1JwY1BvZF9mYTB0NjM5UkctVUp4QkxsQnNDWXBldWJFblVLNtIB_gFBVV95cUxPZDBPZWh2d0VlQkxMMEtZUGdxRDNXSGxNNy1idWFYbEg1b0I2Q1gwdzJydGMtcVNLLWF5RWduTTVoUWRLaVVkbHEyQm5RZm4yMy0wVVVyZjJqZjhzWWs2a2wzODQ1Z3lVTG9qYU9GRXZQbUVVTE9ybEltSTloLVY1SnJMeDI2aWJCekxRY1RpRnFNTnlRVTJHVUdfTzEtd2EtLW1SYWViVWdwbk9WZXBjclkzdHlDbGtWa28wTWR0UFp0VU1abF9SNk1OcnlGRjk2dWtOeERBVWVneVFZYjRUYmdBRlJiZjEyS2dCbXJKTms3VWtGbTdlNWFqT1NpZw?oc=5"" target=""_blank"">The Market Doesn't Like What It Sees From IndoStar Capital Finance Limited's (NSE:INDOSTAR) Earnings Yet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-13 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi-AFBVV95cUxNdUxDZDI2X1BITnpMenUwR21CRGFicUdTUFd4amY3dy1mVUt4OEY5MHExVmxuMXByUVVnaGlLaVNpTm5uVUpOUmJqY25PYTVxQ2xfdHZWQ3F4bl9USDdsNWRDVzdId2NIYlZ6N2Z4WUc3YWoyajBTd0ZudjRZUWd6RVBsUHBJTlpPWFVfSEcyNzJIZEZ1b1NJVVRTdnlHbXRmTnZMLVExUTR3WlNLSXRrUzV6bXpoZ09mWlZyMEczNzhLenpBc1pqN3Q3Y1Z4YTZJYTQxN1JwY1BvZF9mYTB0NjM5UkctVUp4QkxsQnNDWXBldWJFblVLNtIB_gFBVV95cUxPZDBPZWh2d0VlQkxMMEtZUGdxRDNXSGxNNy1idWFYbEg1b0I2Q1gwdzJydGMtcVNLLWF5RWduTTVoUWRLaVVkbHEyQm5RZm4yMy0wVVVyZjJqZjhzWWs2a2wzODQ1Z3lVTG9qYU9GRXZQbUVVTE9ybEltSTloLVY1SnJMeDI2aWJCekxRY1RpRnFNTnlRVTJHVUdfTzEtd2EtLW1SYWViVWdwbk9WZXBjclkzdHlDbGtWa28wTWR0UFp0VU1abF9SNk1OcnlGRjk2dWtOeERBVWVneVFZYjRUYmdBRlJiZjEyS2dCbXJKTms3VWtGbTdlNWFqT1NpZw?oc=5
INDOSTAR,IndoStar Capital Finance Limited,Indostar Capital Finance Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxNdUtJajFxOE5BekJicjNzRFo4RkIwSjR3bWY4cWRrcUY4MG9lMlBmYm9FWFRBY0ZpU1lFUTdQYlFFSG8zUkh5eVlsUHVMV2wwTGJUT2N1TFFNOW13N1FQeHZTN2FKWklqRFloY2FDTFdtWWgwOWstMUxyMExTUlNWUjV5TUlncno1bV9xekNJcnVNaVdZbEs2MmQ3WThfUGhFZVU4Y1VqREN4SnNsbUZfRQ?oc=5"" target=""_blank"">Indostar Capital Finance Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-03 13:05:40,Markets Mojo,https://news.google.com/rss/articles/CBMisAFBVV95cUxNdUtJajFxOE5BekJicjNzRFo4RkIwSjR3bWY4cWRrcUY4MG9lMlBmYm9FWFRBY0ZpU1lFUTdQYlFFSG8zUkh5eVlsUHVMV2wwTGJUT2N1TFFNOW13N1FQeHZTN2FKWklqRFloY2FDTFdtWWgwOWstMUxyMExTUlNWUjV5TUlncno1bV9xekNJcnVNaVdZbEs2MmQ3WThfUGhFZVU4Y1VqREN4SnNsbUZfRQ?oc=5
INDOSTAR,IndoStar Capital Finance Limited,Indostar Capital Finance Ltd - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiY0FVX3lxTE9yTG9rRkREVlBlV09jcWRaaFlFZ05Dcm9iNEdFZXhlaW5CczRNYUh5eUF2c1V5dE15eHJMUk9Ga2kzZUFuSDFmbGhMZXZXdzk5SXJpLVlXQ3QtaHRKVHRLQXppVQ?oc=5"" target=""_blank"">Indostar Capital Finance Ltd</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2025-12-12 17:50:09,Equitypandit,https://news.google.com/rss/articles/CBMiY0FVX3lxTE9yTG9rRkREVlBlV09jcWRaaFlFZ05Dcm9iNEdFZXhlaW5CczRNYUh5eUF2c1V5dE15eHJMUk9Ga2kzZUFuSDFmbGhMZXZXdzk5SXJpLVlXQ3QtaHRKVHRLQXppVQ?oc=5
INDOSTAR,IndoStar Capital Finance Limited,Buy Indostar Capital Finance; target of Rs 270: Motilal Oswal - Moneycontrol.com,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxNZWkyczNlXzRNaWF6ZjZmeG9UVUEtYl9nSlF4dWc2ZG5oQ1dWOUt1RTVya2dUNXNwMDNtNWdIYTNhUHE0c1gxcWt1WlYtZFJfejJDZ1pNM1hseGdnRWJUbVo5QTFlZFplVDV4SkFlY3NlLUI4RmkyTDdjOTFwaFZMMXVhay1taXE4NXFZMmRxV3huaFVjYmJpemRWXzhWUlFBblBpTnNhbjZ4ZFBkclZFcXRzMzlPLXPSAbwBQVVfeXFMTkNuSDVkSkUtUEFKRm0wSXlhQ1RFdFN4cWZteWhWNUs0R0tJMGJ4UXNtMFkwTmhRUUtpSFNBeDlReFo3SjNkWU9IUmR6WFJZN01QS0dZRXdWOXhDekVLNzUzNXU0SnIzYkNLckRtTWxiNENFNzNrUmEwdmZ0QTlLRVhkeDFEckRkazdneUlFVGN4TExzUkNXeFFGcU5LdFo1NW5KdVRfZ1RySUtGZnRaX3ExMDl6cFZBaXRSMFk?oc=5"" target=""_blank"">Buy Indostar Capital Finance; target of Rs 270: Motilal Oswal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-17 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMitwFBVV95cUxNZWkyczNlXzRNaWF6ZjZmeG9UVUEtYl9nSlF4dWc2ZG5oQ1dWOUt1RTVya2dUNXNwMDNtNWdIYTNhUHE0c1gxcWt1WlYtZFJfejJDZ1pNM1hseGdnRWJUbVo5QTFlZFplVDV4SkFlY3NlLUI4RmkyTDdjOTFwaFZMMXVhay1taXE4NXFZMmRxV3huaFVjYmJpemRWXzhWUlFBblBpTnNhbjZ4ZFBkclZFcXRzMzlPLXPSAbwBQVVfeXFMTkNuSDVkSkUtUEFKRm0wSXlhQ1RFdFN4cWZteWhWNUs0R0tJMGJ4UXNtMFkwTmhRUUtpSFNBeDlReFo3SjNkWU9IUmR6WFJZN01QS0dZRXdWOXhDekVLNzUzNXU0SnIzYkNLckRtTWxiNENFNzNrUmEwdmZ0QTlLRVhkeDFEckRkazdneUlFVGN4TExzUkNXeFFGcU5LdFo1NW5KdVRfZ1RySUtGZnRaX3ExMDl6cFZBaXRSMFk?oc=5
INDOSTAR,IndoStar Capital Finance Limited,DC Advisory advises Niwas Housing Finance (erstwhile Indostar Home Finance) and its shareholders on the sale of Niwas to EQT - DC Advisory,"<a href=""https://news.google.com/rss/articles/CBMimAJBVV95cUxNSGhiTnFwcmlaUTFMMlUzN2VOTldlRFAtQmlNZWRubEN0TkV5LXZYNU1uUE5LeVFZclA1RG5lRTFKNXkyZjVvR0JOSHhWOUU0bnhXcDBqV1RJYUJPNFhhWkNQU05kc3lycnFzS2l5Z2lwSnVTdXZZM1JfZmJST0lYM2tEcVI4XzhZQTc5SWhlVHNFZDVOVzd6WGl3a01pUV9tVVM0UklRUExRMWNKUUJ3UjlhTF95aUZyZVFJZnhpWk1taGdXbV9jVU0yRmtnU1F0LUUwYnEyaTRNOHVwby1LeHUzcHVQTDRudENhOFBsN3JBY2R3TzBBNlJwU24teHByVlNlRUp2V0d1YVV0TTliRW16YTZGUG43?oc=5"" target=""_blank"">DC Advisory advises Niwas Housing Finance (erstwhile Indostar Home Finance) and its shareholders on the sale of Niwas to EQT</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DC Advisory</font>",2025-07-21 07:00:00,DC Advisory,https://news.google.com/rss/articles/CBMimAJBVV95cUxNSGhiTnFwcmlaUTFMMlUzN2VOTldlRFAtQmlNZWRubEN0TkV5LXZYNU1uUE5LeVFZclA1RG5lRTFKNXkyZjVvR0JOSHhWOUU0bnhXcDBqV1RJYUJPNFhhWkNQU05kc3lycnFzS2l5Z2lwSnVTdXZZM1JfZmJST0lYM2tEcVI4XzhZQTc5SWhlVHNFZDVOVzd6WGl3a01pUV9tVVM0UklRUExRMWNKUUJ3UjlhTF95aUZyZVFJZnhpWk1taGdXbV9jVU0yRmtnU1F0LUUwYnEyaTRNOHVwby1LeHUzcHVQTDRudENhOFBsN3JBY2R3TzBBNlJwU24teHByVlNlRUp2V0d1YVV0TTliRW16YTZGUG43?oc=5
INDOSTAR,IndoStar Capital Finance Limited,IndoStar Capital Finance Reports Q3FY26 Results and Makes Conference Call Available - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxObXhsLVAzUjNUbFk2RjhIUGpLUFFzdU52SzBYY2lJSVhmSmdEY3V1aEFJbktMOW85Wlh1TnZ5SzRDMk5EeGlQbG1va3RRUXFMSUt6cGxnd3dFNWFUWEF3WVpEM1Z1Yjg4bG1JVnFvOGtaTFRJSXVtVmVPeFJ6NFZLR3lIWkpBdk5JN1dfa2JXVndmaENjSFQzZGpoT0EtUWNZQ0xPWU9uSFZ4ZHBSN195YmhUMm9UWmgyODczZHllRjhtWVdqXzNhYXZDVGNYT1V3?oc=5"" target=""_blank"">IndoStar Capital Finance Reports Q3FY26 Results and Makes Conference Call Available</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-09 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0AFBVV95cUxObXhsLVAzUjNUbFk2RjhIUGpLUFFzdU52SzBYY2lJSVhmSmdEY3V1aEFJbktMOW85Wlh1TnZ5SzRDMk5EeGlQbG1va3RRUXFMSUt6cGxnd3dFNWFUWEF3WVpEM1Z1Yjg4bG1JVnFvOGtaTFRJSXVtVmVPeFJ6NFZLR3lIWkpBdk5JN1dfa2JXVndmaENjSFQzZGpoT0EtUWNZQ0xPWU9uSFZ4ZHBSN195YmhUMm9UWmgyODczZHllRjhtWVdqXzNhYXZDVGNYT1V3?oc=5
INDOSTAR,IndoStar Capital Finance Limited,Indostar Capital Finance Ltd Technical Momentum Shifts Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNYm44NzU2eEFYUlBnWFhyU0N2VndfSnZwZzlqOUZERzRGUHh4TEY0ZUxkaVltX1VNRDI2UXFHWjU2MVZFN2Jhd2tDZmlkRVVMVnBxYVY0RjdFX3NpVHZOalpIc19pWm9iVHdpQkxhM3BYZG9tYnhBaENZLVNvc1VKaVZxWHB5TDc4UThtN1QyQ2NHQ1pUUkR1bkRpcnY2YUtVb2k2TXZYWTE3akh0QmtHbWx6Z1JNY0lQX3lVdnM2SHFSREc2TXdESEFUcXBXUndiM1Q5NQ?oc=5"" target=""_blank"">Indostar Capital Finance Ltd Technical Momentum Shifts Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-01 01:37:06,Markets Mojo,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNYm44NzU2eEFYUlBnWFhyU0N2VndfSnZwZzlqOUZERzRGUHh4TEY0ZUxkaVltX1VNRDI2UXFHWjU2MVZFN2Jhd2tDZmlkRVVMVnBxYVY0RjdFX3NpVHZOalpIc19pWm9iVHdpQkxhM3BYZG9tYnhBaENZLVNvc1VKaVZxWHB5TDc4UThtN1QyQ2NHQ1pUUkR1bkRpcnY2YUtVb2k2TXZYWTE3akh0QmtHbWx6Z1JNY0lQX3lVdnM2SHFSREc2TXdESEFUcXBXUndiM1Q5NQ?oc=5
INDOSTAR,IndoStar Capital Finance Limited,"IndoStar Capital Finance Allots 4,344 Equity Shares Under Employee Stock Option Plans - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNNmNVOTM3RGRKMFBQdkk2V2g5REZtaGt1TDljSVRkelUyVngydGxwQXktSDdmeWpYbEQybndSZVBBaF9URFpaNkpjc2FWYV91MTNQXzAzckp4b3pSZlNjNHBNWmtpM0JLdVJISDhmd3lkUjRvTF9ad2wxa1BxdlZXOUxrUFU4UGN6VUl3ekZUNExBUlY1djQwNWN0MVlKSTlldktqeTVVNjVXVVMwMHpGNmZENWFxaGwyUU9GamVGMnBLaFVqWldBNFkwbWduX3JTYVRJaHVDMTZJa28wcmZ6bGVEeDM?oc=5"" target=""_blank"">IndoStar Capital Finance Allots 4,344 Equity Shares Under Employee Stock Option Plans</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-11 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNNmNVOTM3RGRKMFBQdkk2V2g5REZtaGt1TDljSVRkelUyVngydGxwQXktSDdmeWpYbEQybndSZVBBaF9URFpaNkpjc2FWYV91MTNQXzAzckp4b3pSZlNjNHBNWmtpM0JLdVJISDhmd3lkUjRvTF9ad2wxa1BxdlZXOUxrUFU4UGN6VUl3ekZUNExBUlY1djQwNWN0MVlKSTlldktqeTVVNjVXVVMwMHpGNmZENWFxaGwyUU9GamVGMnBLaFVqWldBNFkwbWduX3JTYVRJaHVDMTZJa28wcmZ6bGVEeDM?oc=5
INDOSTAR,IndoStar Capital Finance Limited,"IndoStar Capital Finance Reports AUM of ₹7,564 Crore and Disbursements of ₹927 Crore in Q2FY26 - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxORVFXd3V5Y3k1eGZhNHNPMUNfRkN4LTNpVXFZME03c2pTbTdrLVMzWFVqNTViQUxCQ1NxVWJZT2hkR0VvdW1DY1lscUZfZ2QyMDBVa05UUHpsUmR4eVJ6Slh2Szl0em50R0JkY0dLbldzUmFRSUVxOFRLamN3U242Zjd6N29fbGIxTHR1SUJ2YktHQXIxdW83QnpkUV82NDZ6Y2k2cjFkaUJ3ZmJsUVVTR25lcnR6aEU?oc=5"" target=""_blank"">IndoStar Capital Finance Reports AUM of ₹7,564 Crore and Disbursements of ₹927 Crore in Q2FY26</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-30 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMitwFBVV95cUxORVFXd3V5Y3k1eGZhNHNPMUNfRkN4LTNpVXFZME03c2pTbTdrLVMzWFVqNTViQUxCQ1NxVWJZT2hkR0VvdW1DY1lscUZfZ2QyMDBVa05UUHpsUmR4eVJ6Slh2Szl0em50R0JkY0dLbldzUmFRSUVxOFRLamN3U242Zjd6N29fbGIxTHR1SUJ2YktHQXIxdW83QnpkUV82NDZ6Y2k2cjFkaUJ3ZmJsUVVTR25lcnR6aEU?oc=5
