scrip,company,headline,summary,published_date,source,url
IRB,IRB Infrastructure Developers Limited,IRB Infrastructure Developers Ltd Schedule Update for Investor Meetings - InvestyWise,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxPc0F3SzZaRWVwZzlFcEpsQU45Zlh6Zmd2Q1k5UGpLZ1pmLWNXVTJMQ21FWS14dW1KVlVLYjg4NVFSeEhrRGxiWkp3MVRlOWdYQTR2T0Vwd21mQWp3Zzdic2NNWVU2bk5Cbkd2T0YtX2s4bmFrZ19lRXNKN0VkejRnWFpmNmxqaGFUNmZuWg?oc=5"" target=""_blank"">IRB Infrastructure Developers Ltd Schedule Update for Investor Meetings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">InvestyWise</font>",2026-03-04 11:17:35,InvestyWise,https://news.google.com/rss/articles/CBMijAFBVV95cUxPc0F3SzZaRWVwZzlFcEpsQU45Zlh6Zmd2Q1k5UGpLZ1pmLWNXVTJMQ21FWS14dW1KVlVLYjg4NVFSeEhrRGxiWkp3MVRlOWdYQTR2T0Vwd21mQWp3Zzdic2NNWVU2bk5Cbkd2T0YtX2s4bmFrZ19lRXNKN0VkejRnWFpmNmxqaGFUNmZuWg?oc=5
IRB,IRB Infrastructure Developers Limited,IRB Infrastructure Developers Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxOTHRtVGhLMGVQTjlXUnhicjliUjVyMy1wQnM4Mkl4dFNfUUJabXVidGJ2OEpVeC1kbHN1Z3hGWmJ5dFJLdVpIdHU0RXR5TGUtc1BtZUl3Tlo5eE1xQW1rUUdQZHFBMTlnMEVMUERWcEk3M3JCM3pCQnRYUFpHUHBDVk1IV0tKbUhGSnNObktjajJvaGJIT3p6YWduZFlVR2R0WEZkVklPUGM1OVVhNWFSUFN1YkR1VTA?oc=5"" target=""_blank"">IRB Infrastructure Developers Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-03 13:52:23,Markets Mojo,https://news.google.com/rss/articles/CBMitwFBVV95cUxOTHRtVGhLMGVQTjlXUnhicjliUjVyMy1wQnM4Mkl4dFNfUUJabXVidGJ2OEpVeC1kbHN1Z3hGWmJ5dFJLdVpIdHU0RXR5TGUtc1BtZUl3Tlo5eE1xQW1rUUdQZHFBMTlnMEVMUERWcEk3M3JCM3pCQnRYUFpHUHBDVk1IV0tKbUhGSnNObktjajJvaGJIT3p6YWduZFlVR2R0WEZkVklPUGM1OVVhNWFSUFN1YkR1VTA?oc=5
IRB,IRB Infrastructure Developers Limited,IRB Holdings Acquires Additional 1.5 Million Shares in February - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNV1lyMExDZVNZZzFmcHpKQUlRNUlPTURnTHZSTTlobEJMdnVndGlkREFFOEZKMHM0R2NTV1BWZldVN3ZLYlQ2aTRvSW9IWkJRbTM2eC1RT2VKdkJFVzN1NFdLbWpRU1gybVBSOTU0SHZsdHRMSzB6YjlJc3F6TnF3Z1RXS0c2SC1IMnR2YkFkckFPcm80ZE1ZcGtPY2p5S3Bmb1JyX1liUzgxZGhyc0Nkd1JtNTZOZUZFV3JqT0VWSE8?oc=5"" target=""_blank"">IRB Holdings Acquires Additional 1.5 Million Shares in February</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-27 06:52:25,scanx.trade,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNV1lyMExDZVNZZzFmcHpKQUlRNUlPTURnTHZSTTlobEJMdnVndGlkREFFOEZKMHM0R2NTV1BWZldVN3ZLYlQ2aTRvSW9IWkJRbTM2eC1RT2VKdkJFVzN1NFdLbWpRU1gybVBSOTU0SHZsdHRMSzB6YjlJc3F6TnF3Z1RXS0c2SC1IMnR2YkFkckFPcm80ZE1ZcGtPY2p5S3Bmb1JyX1liUzgxZGhyc0Nkd1JtNTZOZUZFV3JqT0VWSE8?oc=5
IRB,IRB Infrastructure Developers Limited,IRB Infrastructure Developers Ltd Opens with Sharp Gap Down Amid Market Concerns - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxOS3JEbHpnRmFPdXBVSkRvZ3NzamlOR2lXTEw4d0dpX0F4SkZSWW03RmFSb3BUdk1LT2RzS21iajFCZHE1OEdsdEVaRlBxUHB6ZmQybl9IWW5LNXQ4US1RUHJPVkotQUQyWW44dXI0ak9kY2JEOF9Kam9qMS04b29aSGhDTVJBbS1ISGFpcWJBNVU1aG5VTFBiZEtNQlZBb2d2d3RpQ2hvRFZwZVc1Y3dudkxnenJ1WkRQTlBsdzMzQ2x6dGw2bDRmUmRTRUNxaFNlSFl1Tw?oc=5"" target=""_blank"">IRB Infrastructure Developers Ltd Opens with Sharp Gap Down Amid Market Concerns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-03 09:30:32,Markets Mojo,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOS3JEbHpnRmFPdXBVSkRvZ3NzamlOR2lXTEw4d0dpX0F4SkZSWW03RmFSb3BUdk1LT2RzS21iajFCZHE1OEdsdEVaRlBxUHB6ZmQybl9IWW5LNXQ4US1RUHJPVkotQUQyWW44dXI0ak9kY2JEOF9Kam9qMS04b29aSGhDTVJBbS1ISGFpcWJBNVU1aG5VTFBiZEtNQlZBb2d2d3RpQ2hvRFZwZVc1Y3dudkxnenJ1WkRQTlBsdzMzQ2x6dGw2bDRmUmRTRUNxaFNlSFl1Tw?oc=5
IRB,IRB Infrastructure Developers Limited,Is IRB Infrastructure Developers (NSE:IRB) Using Too Much Debt? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxNOW1sRVE3cXRoSWJXSS13UExBcDFNQklqTTBfN21SdlRtc1locEFPMnB0TjdGRW82UUtTTV9wM0F4Wm5nYW8tc0xCVEwzbm5zTXlESWVPNFhsbU5Rd3pySXNaRHNCOHpvenZlUVBaS3FkNkxqX2doTVloSXFicjdsVE5fQ254QU53Z1V0VGszdHdDQ3EtcVdyR0wya1Y0dXZRckZyREdyem5lejZQd3pyd2hjS1JQOEE0NDFvWDkxOXFQQ0hlQlkxamwxNklyRld3d1pQbWk3WjZRekU1TVVUWjNoY2FfM1hTS0l5clBB0gHzAUFVX3lxTE9mcHQ4WjZPLUItYXZreHdBTTdtRTcyRlpZY2J2bFBCUVJmVXItLXhfX2tyX0hsS3BuSU05cXp1TW9pM0F0SHJrTDB5dGx3S0JuSFJPRndvdXQ1eWZsWW5ZSEJKMzlOdkUxVUxUX09rUjc5bHd1VU1KdGJCb2xtczlaTDlMemxmcGVFRjJ6QTJqTGREcklFNGZaMElCNlY4T1hkeWxub2duUmd6ZVRJbXB0X2pVLVp3Und5MVNrbVlaeUxkcVhtb1pSNXZEZ0JzV3RBcUoyRHNyN3RuY3J1a1l5RElZYXBrMUMyYnBVOVhlb1l2NA?oc=5"" target=""_blank"">Is IRB Infrastructure Developers (NSE:IRB) Using Too Much Debt?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-08 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7gFBVV95cUxNOW1sRVE3cXRoSWJXSS13UExBcDFNQklqTTBfN21SdlRtc1locEFPMnB0TjdGRW82UUtTTV9wM0F4Wm5nYW8tc0xCVEwzbm5zTXlESWVPNFhsbU5Rd3pySXNaRHNCOHpvenZlUVBaS3FkNkxqX2doTVloSXFicjdsVE5fQ254QU53Z1V0VGszdHdDQ3EtcVdyR0wya1Y0dXZRckZyREdyem5lejZQd3pyd2hjS1JQOEE0NDFvWDkxOXFQQ0hlQlkxamwxNklyRld3d1pQbWk3WjZRekU1TVVUWjNoY2FfM1hTS0l5clBB0gHzAUFVX3lxTE9mcHQ4WjZPLUItYXZreHdBTTdtRTcyRlpZY2J2bFBCUVJmVXItLXhfX2tyX0hsS3BuSU05cXp1TW9pM0F0SHJrTDB5dGx3S0JuSFJPRndvdXQ1eWZsWW5ZSEJKMzlOdkUxVUxUX09rUjc5bHd1VU1KdGJCb2xtczlaTDlMemxmcGVFRjJ6QTJqTGREcklFNGZaMElCNlY4T1hkeWxub2duUmd6ZVRJbXB0X2pVLVp3Und5MVNrbVlaeUxkcVhtb1pSNXZEZ0JzV3RBcUoyRHNyN3RuY3J1a1l5RElZYXBrMUMyYnBVOVhlb1l2NA?oc=5
IRB,IRB Infrastructure Developers Limited,"IRB Infra Secures ₹9,270 Cr NHAI Project; Share Price Surge 4% - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPTzN6T2JBeVN4cVdWbEcxcERNZ1FpRER2WVp2Z3dZb0pJa2FlX2x4ZmhJYTkxUEZmSDdMWWc0akxrUy1DVUpUUlJ6UlhPcVFsOWh2U0NpOVdNbzAwVkV0R2FKQmpaZWxjTXRXZVFZM0JMRUFMbnpDWVM3c01kS0JIc2d2M285eUppUDhiZEJ5VGZGekpmd0QwRy1acw?oc=5"" target=""_blank"">IRB Infra Secures ₹9,270 Cr NHAI Project; Share Price Surge 4%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-11-17 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMimwFBVV95cUxPTzN6T2JBeVN4cVdWbEcxcERNZ1FpRER2WVp2Z3dZb0pJa2FlX2x4ZmhJYTkxUEZmSDdMWWc0akxrUy1DVUpUUlJ6UlhPcVFsOWh2U0NpOVdNbzAwVkV0R2FKQmpaZWxjTXRXZVFZM0JMRUFMbnpDWVM3c01kS0JIc2d2M285eUppUDhiZEJ5VGZGekpmd0QwRy1acw?oc=5
IRB,IRB Infrastructure Developers Limited,Double Bonanza For IRB Investors! 1:1 Bonus Issue & 3rd Interim Dividend Approved; Stock Ready To Rally? - Goodreturns,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxQZ3JKRmYtVEZLTkExNlpza1hXOGNDb09ub0Y1OG5NdHhULWItVlVRcTM4ak96ZGYzRkgyaWdnWWN2VmlCdHN1a2RWVjl0NzlrRTcwdjRLTHo3MTdlMG8zRlFJQWJpbnFSUGsxWC00blViaXRGaGRjcG1JV2QtcWdYUWJ3OHhtTG5OMGhQWkI0OTNXOEZFQnJQZ29sX3lRREphQzV4OU5hVmE3Um1PNkF4Sm5aWDNxUHliZ0QtY3lTVERxNVZ4RUsxaUJsbEhiRkVvb3Z2bWotcE0?oc=5"" target=""_blank"">Double Bonanza For IRB Investors! 1:1 Bonus Issue & 3rd Interim Dividend Approved; Stock Ready To Rally?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Goodreturns</font>",2026-02-17 08:00:00,Goodreturns,https://news.google.com/rss/articles/CBMi2AFBVV95cUxQZ3JKRmYtVEZLTkExNlpza1hXOGNDb09ub0Y1OG5NdHhULWItVlVRcTM4ak96ZGYzRkgyaWdnWWN2VmlCdHN1a2RWVjl0NzlrRTcwdjRLTHo3MTdlMG8zRlFJQWJpbnFSUGsxWC00blViaXRGaGRjcG1JV2QtcWdYUWJ3OHhtTG5OMGhQWkI0OTNXOEZFQnJQZ29sX3lRREphQzV4OU5hVmE3Um1PNkF4Sm5aWDNxUHliZ0QtY3lTVERxNVZ4RUsxaUJsbEhiRkVvb3Z2bWotcE0?oc=5
IRB,IRB Infrastructure Developers Limited,IRB Infrastructure Developers Makes Q3FY26 Earnings Call Recording Available - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOT04xU2JNWUp2TE9aZ0Rwd0p6UkNWTGFfSUdtSndvc0RmZzgxS3M2enNGazlIQ1QxdXBpSF83TkdITHI5SnZHc3VGZlN5QUFNRktpYUIyQ2NCTko3Wi11dXgzcFk5NVlrbXEzdVA5OWZkNWpTQUNKcmFzRk9HcWJnbnpHUU0zZ3N4dTU1TDB2czdwRjhOdUhQdV9tazdITlhseGUzNFg2c192QXlDcXBVYWtQaDFMcFVDV3Y5ZUFNalQwWW9ya0VZUWNjekM?oc=5"" target=""_blank"">IRB Infrastructure Developers Makes Q3FY26 Earnings Call Recording Available</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-16 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMizAFBVV95cUxOT04xU2JNWUp2TE9aZ0Rwd0p6UkNWTGFfSUdtSndvc0RmZzgxS3M2enNGazlIQ1QxdXBpSF83TkdITHI5SnZHc3VGZlN5QUFNRktpYUIyQ2NCTko3Wi11dXgzcFk5NVlrbXEzdVA5OWZkNWpTQUNKcmFzRk9HcWJnbnpHUU0zZ3N4dTU1TDB2czdwRjhOdUhQdV9tazdITlhseGUzNFg2c192QXlDcXBVYWtQaDFMcFVDV3Y5ZUFNalQwWW9ya0VZUWNjekM?oc=5
IRB,IRB Infrastructure Developers Limited,Getting In Cheap On IRB Infrastructure Developers Limited (NSE:IRB) Is Unlikely - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxQcWt2eG5sMlF5SGIyNE1CSW9zRXBKRU5xOUJMMFRoWGtGN0NXaDh3NEh6XzQwQVhpS2pqQXQyWmluaUJYUm52bU1PMmNWTjJwcXhOaVpVSWlqUmNjM3RKeVo2YzhPcm1vMEJTMUdYWXI1Y2xkUklHUkRFdkY3aERPaEZaZ3lMdlhVZWhvNDhNem9FcVpKZDVuWFZ2SHhoTVdqN2k1SVRPREttdGR1aFdjM3czOWw2X2lSWEV0OTROeDlSZmxqc3FQcGg5N18zNzNNQ0FuU1E2QTE4WWl4dWFibXUxdEt1dk9RMTdJTNIB8gFBVV95cUxOLS1YWG5zU2RvaTB0cVN3Z0w1NUhnbEs3UzdVWEZLYlpNd2VPVlVYSUQ0dGpTN2lJSWRPTGMxLUFNank1bDJ6UTQtSVBRU2JQNzluOGFaVHJNZ0tORC1PNDh5YUZCRlRzazJFanQ4endROTlDSk1IeHczYVMzNU9fck1jYWRnZVVjZVpfRTNRWS1JWTNoMjRuOFZITkprNWFuV3Z1ZEJhcnZuUnBkQnJiY2V0OG9hY1h0OUo4NFI5b2RST1dKZkNwTHpiWk1EQWR1MUNzb1FEX0FwMENGU0hEUEpzQWRYX1c3X2J0YWhmWUNEQQ?oc=5"" target=""_blank"">Getting In Cheap On IRB Infrastructure Developers Limited (NSE:IRB) Is Unlikely</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-11 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7AFBVV95cUxQcWt2eG5sMlF5SGIyNE1CSW9zRXBKRU5xOUJMMFRoWGtGN0NXaDh3NEh6XzQwQVhpS2pqQXQyWmluaUJYUm52bU1PMmNWTjJwcXhOaVpVSWlqUmNjM3RKeVo2YzhPcm1vMEJTMUdYWXI1Y2xkUklHUkRFdkY3aERPaEZaZ3lMdlhVZWhvNDhNem9FcVpKZDVuWFZ2SHhoTVdqN2k1SVRPREttdGR1aFdjM3czOWw2X2lSWEV0OTROeDlSZmxqc3FQcGg5N18zNzNNQ0FuU1E2QTE4WWl4dWFibXUxdEt1dk9RMTdJTNIB8gFBVV95cUxOLS1YWG5zU2RvaTB0cVN3Z0w1NUhnbEs3UzdVWEZLYlpNd2VPVlVYSUQ0dGpTN2lJSWRPTGMxLUFNank1bDJ6UTQtSVBRU2JQNzluOGFaVHJNZ0tORC1PNDh5YUZCRlRzazJFanQ4endROTlDSk1IeHczYVMzNU9fck1jYWRnZVVjZVpfRTNRWS1JWTNoMjRuOFZITkprNWFuV3Z1ZEJhcnZuUnBkQnJiY2V0OG9hY1h0OUo4NFI5b2RST1dKZkNwTHpiWk1EQWR1MUNzb1FEX0FwMENGU0hEUEpzQWRYX1c3X2J0YWhmWUNEQQ?oc=5
IRB,IRB Infrastructure Developers Limited,IRB Infrastructure Secures ₹273.54 Crore from Kaithal Tollway Arbitral Award - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxPUWF5SlJENmF1TExmUUdMVU5SVGFKX0w1c1hLUkpjS25XQ2tIMmFVNmdjcDFRYlhwODBzMFpuOE1ZTWlqWUNVMU1hYkEwclJ0SHpwb0haOUdvVVRQN2dobXNtRzYxRXk4ckVkUURlVk1FbTJ4aDZtOFhXcVBWUTFieDVzSm5vUWNSMWw2bVlFbTR5NkJCVHBBRjZ1eEV6dEVBSnJFOS1HOHdmc2FlLTVicWV1Tzk3WjdyclJUNF9EVXpjTF8tTUFPdnIzSV9RRGhCOXNRZW53?oc=5"" target=""_blank"">IRB Infrastructure Secures ₹273.54 Crore from Kaithal Tollway Arbitral Award</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-27 14:50:43,scanx.trade,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPUWF5SlJENmF1TExmUUdMVU5SVGFKX0w1c1hLUkpjS25XQ2tIMmFVNmdjcDFRYlhwODBzMFpuOE1ZTWlqWUNVMU1hYkEwclJ0SHpwb0haOUdvVVRQN2dobXNtRzYxRXk4ckVkUURlVk1FbTJ4aDZtOFhXcVBWUTFieDVzSm5vUWNSMWw2bVlFbTR5NkJCVHBBRjZ1eEV6dEVBSnJFOS1HOHdmc2FlLTVicWV1Tzk3WjdyclJUNF9EVXpjTF8tTUFPdnIzSV9RRGhCOXNRZW53?oc=5
