scrip,company,headline,summary,published_date,source,url
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Bosch Takes Majority Control of Johnson Controls-Hitachi Air Conditioning India - Entrepreneur,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxOV2JwekhYS2FmbDFaU3AyWWF2NDA2elA2bmZpMHRqZkVvRGltM0k1NWRfR0gzOW1iWWtkZWNxQVQ3UE1LXzltRkJDV2xpTTJHZ0hOTDAtbW1HSW9GQ3ZuWEVKeTd1M0tLWndQdkNzZnRCaHprcVBnM3hocDM5ZkZmTEZic1JWZHBraWU3c3JUM29ia3R3TnlZVkc1eFA2aUN3a29tbmx5ZkRsV0piUGtEUlB0MU4?oc=5"" target=""_blank"">Bosch Takes Majority Control of Johnson Controls-Hitachi Air Conditioning India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Entrepreneur</font>",2025-08-05 07:00:00,Entrepreneur,https://news.google.com/rss/articles/CBMitAFBVV95cUxOV2JwekhYS2FmbDFaU3AyWWF2NDA2elA2bmZpMHRqZkVvRGltM0k1NWRfR0gzOW1iWWtkZWNxQVQ3UE1LXzltRkJDV2xpTTJHZ0hOTDAtbW1HSW9GQ3ZuWEVKeTd1M0tLWndQdkNzZnRCaHprcVBnM3hocDM5ZkZmTEZic1JWZHBraWU3c3JUM29ia3R3TnlZVkc1eFA2aUN3a29tbmx5ZkRsV0piUGtEUlB0MU4?oc=5
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Johnson Controls-Hitachi Air Conditioning India Limited Rebrands as Bosch Home Comfort India Limited - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxORFNlWWJVUGlYVkRQdFNyVVFfcXhvazQ3QWs2Q2d5WHN6TThfNll1aGRGTmhXTVAta0ZKTlJjcWVsbVRzOXR5S3NUS1FWUVJXcjdHVEhDWFp3RUdaQUFfTk44MmtqWkJzdS1XNk5sX05jX2V4cnBhMWViSEk0djNtRUk5MWI1eWxjUjZCTGoyMVlTTk45WFluMW5CR096RHpfS1luRXJqblp6NVdzUUt3QUJuMjBKWU5sclJVTkRmSTdWZDFKOE1BSDZBREdUNF9PRHJERzFacERnekxBUVVrVU5mcV9qaEx1bWdJYUV3elg1U2pROU1VLQ?oc=5"" target=""_blank"">Johnson Controls-Hitachi Air Conditioning India Limited Rebrands as Bosch Home Comfort India Limited</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-04 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi-AFBVV95cUxORFNlWWJVUGlYVkRQdFNyVVFfcXhvazQ3QWs2Q2d5WHN6TThfNll1aGRGTmhXTVAta0ZKTlJjcWVsbVRzOXR5S3NUS1FWUVJXcjdHVEhDWFp3RUdaQUFfTk44MmtqWkJzdS1XNk5sX05jX2V4cnBhMWViSEk0djNtRUk5MWI1eWxjUjZCTGoyMVlTTk45WFluMW5CR096RHpfS1luRXJqblp6NVdzUUt3QUJuMjBKWU5sclJVTkRmSTdWZDFKOE1BSDZBREdUNF9PRHJERzFacERnekxBUVVrVU5mcV9qaEx1bWdJYUV3elg1U2pROU1VLQ?oc=5
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Bosch expands India footprint: German giant acquires 74.2% in Johnson Controls-Hitachi AC India; marks it - The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiuAJBVV95cUxQWExrQ09yOUhSeE5UUVJVWl9OZG1najJKaHQxUnZpTG9jYlgwQXowdUVoTzZWMlVUNERrOHRjVGxnUVowcGFBcU9BejlCcUVncDBvWG8wZkZFLTdjV2pLUURDMVdlSVRjVTR2U19uVERpem1nRUNHUnpWald3ci0ycXZRWEtiYzdRVGR1cElzX1QxSGJyQzJ6N2FNczRNZEdOeW1wR203ZlMtWWI2UGduUFUxSjA1QnZxbll5ZVE5U0JJcVBUMjJXd0FiVWpXaVhNdW5SdlNwbXFVaTJBM09MRVZCeEZseXpaYTFhYWZOWGdlWjBhenluWC1KWE1zWDlTRHR3UmM0NlRZcm1aQ3NtdFFzSmFOLUJSaklQNVRnTGtIbGFvRFpNLVRyYkRkWjZMOWFPR3BWbTDSAb4CQVVfeXFMUHdiSzA4SExlZU9XalpiMTRXVVpzRFdSTFlUOENUOVJBS2NONGs1T3VKaTBzeEluN3lkeno3SElVUUREeVhyMkZkdHJkNlVlWEFBWVk5TVN6QVJKYWowbUtBV3U3WG52dVFMdnZ4Q002UnY3QmdZWF9qNHI5bEV4UFJ0dVRVOVdkRDZoOUMyakZvQXBnU190OEdRWnVjVVdsNFVUNlV4Z3JETzN4U0NWWHNMbi1wWGt3eUF1ZFRkQzhRSHRyam00WElhUWY3bktzcG1ObnhiV1QyZ3pMWTEyLXJyNm1Zc3VsVllnblp5SE5UcXFLMVpCY1dOTHlnWHVwcjdkbE5ZQWN0NjR1STd4N1JfZUlnN2ZxMzdlVDd4LV9pYWI0d3Z0bFpEVzAxR2ZhLWFnWDNIbFhhOTF0OXp3?oc=5"" target=""_blank"">Bosch expands India footprint: German giant acquires 74.2% in Johnson Controls-Hitachi AC India; marks it</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",2025-08-05 07:00:00,The Times of India,https://news.google.com/rss/articles/CBMiuAJBVV95cUxQWExrQ09yOUhSeE5UUVJVWl9OZG1najJKaHQxUnZpTG9jYlgwQXowdUVoTzZWMlVUNERrOHRjVGxnUVowcGFBcU9BejlCcUVncDBvWG8wZkZFLTdjV2pLUURDMVdlSVRjVTR2U19uVERpem1nRUNHUnpWald3ci0ycXZRWEtiYzdRVGR1cElzX1QxSGJyQzJ6N2FNczRNZEdOeW1wR203ZlMtWWI2UGduUFUxSjA1QnZxbll5ZVE5U0JJcVBUMjJXd0FiVWpXaVhNdW5SdlNwbXFVaTJBM09MRVZCeEZseXpaYTFhYWZOWGdlWjBhenluWC1KWE1zWDlTRHR3UmM0NlRZcm1aQ3NtdFFzSmFOLUJSaklQNVRnTGtIbGFvRFpNLVRyYkRkWjZMOWFPR3BWbTDSAb4CQVVfeXFMUHdiSzA4SExlZU9XalpiMTRXVVpzRFdSTFlUOENUOVJBS2NONGs1T3VKaTBzeEluN3lkeno3SElVUUREeVhyMkZkdHJkNlVlWEFBWVk5TVN6QVJKYWowbUtBV3U3WG52dVFMdnZ4Q002UnY3QmdZWF9qNHI5bEV4UFJ0dVRVOVdkRDZoOUMyakZvQXBnU190OEdRWnVjVVdsNFVUNlV4Z3JETzN4U0NWWHNMbi1wWGt3eUF1ZFRkQzhRSHRyam00WElhUWY3bktzcG1ObnhiV1QyZ3pMWTEyLXJyNm1Zc3VsVllnblp5SE5UcXFLMVpCY1dOTHlnWHVwcjdkbE5ZQWN0NjR1STd4N1JfZUlnN2ZxMzdlVDd4LV9pYWI0d3Z0bFpEVzAxR2ZhLWFnWDNIbFhhOTF0OXp3?oc=5
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,JCHAC Declares ₹36 Interim Dividend; Record Date July 9 - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxNQVVHV2YzcVRQcl9zanh3dmF4aUNsOTBXdjVCNFR6aTIya2hGRTBPVk1DVF9sb0VMdkhORkdJUk5Ja0dEcnRUV2xFQXdCZ1NCbzN6TXM3TFJXcHB6R2VUY0h3SFhwSklZOEVNZG1xczVVMTRNY2JGWkc2THZCcnRJT3lxUExJcDkzazZwMlpXMXpSODFCallwdzRscUc0SXphRFE?oc=5"" target=""_blank"">JCHAC Declares ₹36 Interim Dividend; Record Date July 9</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-07-03 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiogFBVV95cUxNQVVHV2YzcVRQcl9zanh3dmF4aUNsOTBXdjVCNFR6aTIya2hGRTBPVk1DVF9sb0VMdkhORkdJUk5Ja0dEcnRUV2xFQXdCZ1NCbzN6TXM3TFJXcHB6R2VUY0h3SFhwSklZOEVNZG1xczVVMTRNY2JGWkc2THZCcnRJT3lxUExJcDkzazZwMlpXMXpSODFCallwdzRscUc0SXphRFE?oc=5
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Bosch acquires controlling stake in Johnson Controls-Hitachi AC India - bestmediainfo.com,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQMUhfM3k1cmN0Z2JLbUk0ZVRNanA1X0NFZmhaeFRhV3ZSRFhSbXZxb1NJdWpSc3NxQmxyODU1LVBCdTlkR0xNRjBqUGlGcmRpdGpENV8xUmMyRlNfMWN2VWQ1Y1ZEN01BY090b3Y1OHE2V0toc2RsaHNBWVNnd3RjbEU3MFU3NHlNVDcwdlpiS2tHX1g4cWtBSVFVdjFDZEZsWjRBR1ZsUWxFTHV3SUhybkktWGN5UmFMMjNaRC15S01PelFjRW9nS2ctR081QdIBzgFBVV95cUxQMUhfM3k1cmN0Z2JLbUk0ZVRNanA1X0NFZmhaeFRhV3ZSRFhSbXZxb1NJdWpSc3NxQmxyODU1LVBCdTlkR0xNRjBqUGlGcmRpdGpENV8xUmMyRlNfMWN2VWQ1Y1ZEN01BY090b3Y1OHE2V0toc2RsaHNBWVNnd3RjbEU3MFU3NHlNVDcwdlpiS2tHX1g4cWtBSVFVdjFDZEZsWjRBR1ZsUWxFTHV3SUhybkktWGN5UmFMMjNaRC15S01PelFjRW9nS2ctR081QQ?oc=5"" target=""_blank"">Bosch acquires controlling stake in Johnson Controls-Hitachi AC India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">bestmediainfo.com</font>",2025-08-06 07:00:00,bestmediainfo.com,https://news.google.com/rss/articles/CBMizgFBVV95cUxQMUhfM3k1cmN0Z2JLbUk0ZVRNanA1X0NFZmhaeFRhV3ZSRFhSbXZxb1NJdWpSc3NxQmxyODU1LVBCdTlkR0xNRjBqUGlGcmRpdGpENV8xUmMyRlNfMWN2VWQ1Y1ZEN01BY090b3Y1OHE2V0toc2RsaHNBWVNnd3RjbEU3MFU3NHlNVDcwdlpiS2tHX1g4cWtBSVFVdjFDZEZsWjRBR1ZsUWxFTHV3SUhybkktWGN5UmFMMjNaRC15S01PelFjRW9nS2ctR081QdIBzgFBVV95cUxQMUhfM3k1cmN0Z2JLbUk0ZVRNanA1X0NFZmhaeFRhV3ZSRFhSbXZxb1NJdWpSc3NxQmxyODU1LVBCdTlkR0xNRjBqUGlGcmRpdGpENV8xUmMyRlNfMWN2VWQ1Y1ZEN01BY090b3Y1OHE2V0toc2RsaHNBWVNnd3RjbEU3MFU3NHlNVDcwdlpiS2tHX1g4cWtBSVFVdjFDZEZsWjRBR1ZsUWxFTHV3SUhybkktWGN5UmFMMjNaRC15S01PelFjRW9nS2ctR081QQ?oc=5
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Bosch Acquires 74.2% Holding in Johnson Controls-Hitachi India - ET Manufacturing,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQc1BuS3BraHZHeUp1ZnIzb1JtTG9CQzNRVThnaVNWSXZhZlFOTXJRUkZmNmNEeHZRTGNza2kydll6V2JSTjBQR0wwZ1BrakV2ZnhxWHJ6aDF5QUNQV2w4N2lfYWFwTEUyVnNLOWRRRWk2N3NMSzhkS2JsazdrNy1BNTF5TndVNjRYeFNkQUxqbEZuYjRuaVJTQndaN1ozUWxIUFQ5SFZ2cUVKUEVHaDZjeHVSa2h3RGp1N05xUUFVYmNxZGFlc1dadDhGcE9wN1ZG0gHWAUFVX3lxTE9HZGxIVWJlcUpRQmlHd0cxWEhVNlBjWEl6cFBsblBPcnVNbzh0RzBqclZZUnZ0YzA1WmxOWGFxTkJmSzlqRVBuRFlVZ2NvempTclM5UnczcWJyRk85bk04TlFhOFZaMTJodzlDWUpobmFPY1o2dTA2ank3SUxxdHFfUDM0MUdkOWZpUU93Y182a1FoWFBXOVhvTXBQMTdoWHZCWFVfQlY5ellzZWpsdzZKVmxyMnZTNHFpNTg1VENOc3d4bzNsbXlfOWFMeDVRU0Nwdy1yUVE?oc=5"" target=""_blank"">Bosch Acquires 74.2% Holding in Johnson Controls-Hitachi India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ET Manufacturing</font>",2025-08-05 07:00:00,ET Manufacturing,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQc1BuS3BraHZHeUp1ZnIzb1JtTG9CQzNRVThnaVNWSXZhZlFOTXJRUkZmNmNEeHZRTGNza2kydll6V2JSTjBQR0wwZ1BrakV2ZnhxWHJ6aDF5QUNQV2w4N2lfYWFwTEUyVnNLOWRRRWk2N3NMSzhkS2JsazdrNy1BNTF5TndVNjRYeFNkQUxqbEZuYjRuaVJTQndaN1ozUWxIUFQ5SFZ2cUVKUEVHaDZjeHVSa2h3RGp1N05xUUFVYmNxZGFlc1dadDhGcE9wN1ZG0gHWAUFVX3lxTE9HZGxIVWJlcUpRQmlHd0cxWEhVNlBjWEl6cFBsblBPcnVNbzh0RzBqclZZUnZ0YzA1WmxOWGFxTkJmSzlqRVBuRFlVZ2NvempTclM5UnczcWJyRk85bk04TlFhOFZaMTJodzlDWUpobmFPY1o2dTA2ank3SUxxdHFfUDM0MUdkOWZpUU93Y182a1FoWFBXOVhvTXBQMTdoWHZCWFVfQlY5ellzZWpsdzZKVmxyMnZTNHFpNTg1VENOc3d4bzNsbXlfOWFMeDVRU0Nwdy1yUVE?oc=5
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Bosch expands India footprint: German giant acquires 74.2% in Johnson Controls-Hitachi AC India; marks its biggest global acquisition - MSN,"<a href=""https://news.google.com/rss/articles/CBMiigJBVV95cUxON1NfcnQtcG5SUGdVa2UwdDhhc1pEd251YjF4ZTUybFV6NEpNMTR6LXNRSHBKdWl4YTFuTmRnWUk4OFBWV0t1WTNiVU1IdEdTdW9SZ1NYaVJCN2w4NmZobDE5dFRFSVFUUXhTXzk3TTRmYVhhSXhqYWVQUXZpS0d1RzFPUjkwUGNRS1hjMTR2RjJmcWxROXE1V2YybGN3RHhlUF9aejFlRlNSVi12Z0pxOUgtOVQtM0Z1M0RYYlk5MFJKSm9ZN2Ezc2lRTHE2RUFvQmMzbF9aVXpkYWJ1SjZrYlhWSTVuV20xVDBuZ1U1eW1LdVVKeHFNZW54amMwc3VSV1RYbkJ5TFlBUQ?oc=5"" target=""_blank"">Bosch expands India footprint: German giant acquires 74.2% in Johnson Controls-Hitachi AC India; marks its biggest global acquisition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",2025-08-07 05:12:09,MSN,https://news.google.com/rss/articles/CBMiigJBVV95cUxON1NfcnQtcG5SUGdVa2UwdDhhc1pEd251YjF4ZTUybFV6NEpNMTR6LXNRSHBKdWl4YTFuTmRnWUk4OFBWV0t1WTNiVU1IdEdTdW9SZ1NYaVJCN2w4NmZobDE5dFRFSVFUUXhTXzk3TTRmYVhhSXhqYWVQUXZpS0d1RzFPUjkwUGNRS1hjMTR2RjJmcWxROXE1V2YybGN3RHhlUF9aejFlRlNSVi12Z0pxOUgtOVQtM0Z1M0RYYlk5MFJKSm9ZN2Ezc2lRTHE2RUFvQmMzbF9aVXpkYWJ1SjZrYlhWSTVuV20xVDBuZ1U1eW1LdVVKeHFNZW54amMwc3VSV1RYbkJ5TFlBUQ?oc=5
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Johnson Controls-Hitachi Air Condition. India Ltd (JCHAC) Soars 7.01% in Latest Stock Market Performance - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxQWlMyNUtuUDlfS29JT3c1X284bi1mbDVOYTR3RFJ0MktTY3A5U2VxcGRWVW9jVHJESG5HaGctbVA3Y1VIdWxPZVNYRmtzYUZaNENHZEhEcWZ4MGJmQ3dBZ3ExNncyR1RzVHdOa2dscERZekxyYzEyWGFaV0hJM09vYjBXTTBEOGtwTW1tSlFydlc0a2FpbzNTUHBpeDZmOTQxZlN4UEhTSHVCb0d5ZkVVLUtLek91S0lsb0ZqQWN6eTVvYzJMeGQ4eXFwd0Rta0JmeW8tV3hlQTd3XzQ2U0d0bkstQWRNdkNENEhvWl93?oc=5"" target=""_blank"">Johnson Controls-Hitachi Air Condition. India Ltd (JCHAC) Soars 7.01% in Latest Stock Market Performance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-05-29 07:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQWlMyNUtuUDlfS29JT3c1X284bi1mbDVOYTR3RFJ0MktTY3A5U2VxcGRWVW9jVHJESG5HaGctbVA3Y1VIdWxPZVNYRmtzYUZaNENHZEhEcWZ4MGJmQ3dBZ3ExNncyR1RzVHdOa2dscERZekxyYzEyWGFaV0hJM09vYjBXTTBEOGtwTW1tSlFydlc0a2FpbzNTUHBpeDZmOTQxZlN4UEhTSHVCb0d5ZkVVLUtLek91S0lsb0ZqQWN6eTVvYzJMeGQ4eXFwd0Rta0JmeW8tV3hlQTd3XzQ2U0d0bkstQWRNdkNENEhvWl93?oc=5
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Here’s why stock of Johnson Controls Hitachi Air Conditioning India surged by 6% on Wednesday - CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPNUl2WTl1V3gtYTZFcm1BdVdnYVl5bnRlajVjbXFvdmptblp2Y2tnSVRSdTFNc3llV190RlJLNFNmc1RUNld4U1I4U0JhNzEyVmZBWjRFSFZQLVRtM0ZiM1ZNWmdEWWRFTDZFcUh3NXUwdmFhVmY3UF95ZXBITWpUbUh1Ym0xZW9MNUN6X1NOUE1nWWhWZUNLMldhOW9UdE9vRnNzUUY5YnlidDFJUkl4Z1IyaDJrLUEt0gG-AUFVX3lxTE1ZMExGUkxESlFwYk5WZDFsd0d6d3JyRWhPVkVEYTU4d283TjVKbmVHc2lnOEZqZVgycldWZS1ZTnRJWnhseFlsa25OYUJXU281N2VzR3BiTzFyTUtRZ3dWUExsVVlzdG1JUGdWS3FqbVhVM1p4NTRwY2xEc1RrRzg3cmpzV2RWdVlFdFdxVUJmblRJT1kxRkc1VjNSRzNwQ042clBHVlc2YWdTNzNJWjFBUVVlcW9KQUtLTU52Q1E?oc=5"" target=""_blank"">Here’s why stock of Johnson Controls Hitachi Air Conditioning India surged by 6% on Wednesday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2024-07-24 07:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPNUl2WTl1V3gtYTZFcm1BdVdnYVl5bnRlajVjbXFvdmptblp2Y2tnSVRSdTFNc3llV190RlJLNFNmc1RUNld4U1I4U0JhNzEyVmZBWjRFSFZQLVRtM0ZiM1ZNWmdEWWRFTDZFcUh3NXUwdmFhVmY3UF95ZXBITWpUbUh1Ym0xZW9MNUN6X1NOUE1nWWhWZUNLMldhOW9UdE9vRnNzUUY5YnlidDFJUkl4Z1IyaDJrLUEt0gG-AUFVX3lxTE1ZMExGUkxESlFwYk5WZDFsd0d6d3JyRWhPVkVEYTU4d283TjVKbmVHc2lnOEZqZVgycldWZS1ZTnRJWnhseFlsa25OYUJXU281N2VzR3BiTzFyTUtRZ3dWUExsVVlzdG1JUGdWS3FqbVhVM1p4NTRwY2xEc1RrRzg3cmpzV2RWdVlFdFdxVUJmblRJT1kxRkc1VjNSRzNwQ042clBHVlc2YWdTNzNJWjFBUVVlcW9KQUtLTU52Q1E?oc=5
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Here's What Johnson Controls-Hitachi Air Conditioning India Limited's (NSE:JCHAC) P/E Is Telling Us - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMiwgJBVV95cUxOQVVmMUNMRHFEWlVENU83SHB0bGhDU0VSMWo0b0VTaDB2bkNHdmRmcmROUldpb3UxUElSV0NORmlaYm1mMHE1SFdzX1l3cnZ5WjZVYmtQbkJHVUZMWnpUTHQwOTVCQjdGOTQ1cnhmdkhiMUhPQkF3MU4tTWQtZ1NMRElxUUZ4YTA3bWxwcmduMmQ5LVRkNy1WZmRONHUyam5vUmdWNlhFQldaX09vczJ3am5rZTYxbWhVUGN2ekN1eDFGeWYwc25iRWl1UUVVVGZLTHlxZTVjLUk3TVVReWY0X2JwM3NNUGdEU3U3Vlc2bzlGZmE1YVh3cUZ2c2d5M096RjdpSzQ5U3BqTEtmdU5qMWtVT2FhaVNpNllsNHpmdWx3TUNrYVFqMzlNaHdjT1NWS0ZnaDFQRjE0U0tMUk0zWF9B0gHCAkFVX3lxTE5BVWYxQ0xEcURaVUQ1TzdIcHRsaENTRVIxajRvRVNoMHZuQ0d2ZGZyZE5SV2lvdTFQSVJXQ05GaVpibWYwcTVIV3NfWXdydnlaNlVia1BuQkdVRkxaelRMdDA5NUJCN0Y5NDVyeGZ2SGIxSE9CQXcxTi1NZC1nU0xESXFRRnhhMDdtbHByZ24yZDktVGQ3LVZmZE40dTJqbm9SZ1Y2WEVCV1pfT29zMndqbmtlNjFtaFVQY3Z6Q3V4MUZ5ZjBzbmJFaXVRRVVUZktMeXFlNWMtSTdNVVF5ZjRfYnAzc01QZ0RTdTdWVzZvOUZmYTVhWHdxRnZzZ3kzT3pGN2lLNDlTcGpMS2Z1Tmoxa1VPYWFpU2k2WWw0emZ1bHdNQ2thUWozOU1od2NPU1ZLRmdoMVBGMTRTS0xSTTNYX0E?oc=5"" target=""_blank"">Here's What Johnson Controls-Hitachi Air Conditioning India Limited's (NSE:JCHAC) P/E Is Telling Us</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2020-02-01 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMiwgJBVV95cUxOQVVmMUNMRHFEWlVENU83SHB0bGhDU0VSMWo0b0VTaDB2bkNHdmRmcmROUldpb3UxUElSV0NORmlaYm1mMHE1SFdzX1l3cnZ5WjZVYmtQbkJHVUZMWnpUTHQwOTVCQjdGOTQ1cnhmdkhiMUhPQkF3MU4tTWQtZ1NMRElxUUZ4YTA3bWxwcmduMmQ5LVRkNy1WZmRONHUyam5vUmdWNlhFQldaX09vczJ3am5rZTYxbWhVUGN2ekN1eDFGeWYwc25iRWl1UUVVVGZLTHlxZTVjLUk3TVVReWY0X2JwM3NNUGdEU3U3Vlc2bzlGZmE1YVh3cUZ2c2d5M096RjdpSzQ5U3BqTEtmdU5qMWtVT2FhaVNpNllsNHpmdWx3TUNrYVFqMzlNaHdjT1NWS0ZnaDFQRjE0U0tMUk0zWF9B0gHCAkFVX3lxTE5BVWYxQ0xEcURaVUQ1TzdIcHRsaENTRVIxajRvRVNoMHZuQ0d2ZGZyZE5SV2lvdTFQSVJXQ05GaVpibWYwcTVIV3NfWXdydnlaNlVia1BuQkdVRkxaelRMdDA5NUJCN0Y5NDVyeGZ2SGIxSE9CQXcxTi1NZC1nU0xESXFRRnhhMDdtbHByZ24yZDktVGQ3LVZmZE40dTJqbm9SZ1Y2WEVCV1pfT29zMndqbmtlNjFtaFVQY3Z6Q3V4MUZ5ZjBzbmJFaXVRRVVUZktMeXFlNWMtSTdNVVF5ZjRfYnAzc01QZ0RTdTdWVzZvOUZmYTVhWHdxRnZzZ3kzT3pGN2lLNDlTcGpMS2Z1Tmoxa1VPYWFpU2k2WWw0emZ1bHdNQ2thUWozOU1od2NPU1ZLRmdoMVBGMTRTS0xSTTNYX0E?oc=5
