scrip,company,headline,summary,published_date,source,url
JHS,JHS Svendgaard Laboratories Limited,JHS Svendgaard Laboratories Limited's (NSE:JHS) Low P/S No Reason For Excitement - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPNlh0X2hqTVN0Njl6VE5xQjJRMElGelNIOHUxem1odnRZV1E5TF90THliQWk2SDZDanc4S0hINVhRNjlHNGdVaWYxRDFOV2N0VzVLVFJKZDhFX01xYVRHNjBHdXVUY0N4aFdDdFBRVWVaUkFGZm1DTEU1LXVkMVRWNDh2NWQ5MVV2Y1l1ZEVUMkZ0NlVGMnNzVENmaWpxWUtCWFhEXzBkQ01EZ3J1RVZKRVRFVURIZk5sR0FzbnhNVWd0bFpGUkFoNllnYlQ2ckhJNDd6NURzdlpsSnBIUEEwdG1WdXTSAeoBQVVfeXFMT3dXQlQxRW5JRHZORC14OWJGTVhtYVNVa2RwRG9TWjRPZmxzbDdHR0l1eW5GRGJxUDBtVVhpNFdaUTVzVUVISTFHSEJ1UUFRazdtd1Y3MUpCdEVNMXFOUXhhemJFSkxmOGtkRzcyVjFlMVdiZ01qVlZTSFM4SUxiRzdtcEp0THpyT0ZWTUdPLWtyb2o5UXZiY2hJQmZkaGtNVV9FOVVuelpoeFlkRVhaaUNBM3EzNnRJR3dSbVN3YVdqd0w2Yk1iUWI1MVJVdVhXaVNqRWhwcjQ4VzltSUVXZUczdW9oOHFEYWVn?oc=5"" target=""_blank"">JHS Svendgaard Laboratories Limited's (NSE:JHS) Low P/S No Reason For Excitement</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-08 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPNlh0X2hqTVN0Njl6VE5xQjJRMElGelNIOHUxem1odnRZV1E5TF90THliQWk2SDZDanc4S0hINVhRNjlHNGdVaWYxRDFOV2N0VzVLVFJKZDhFX01xYVRHNjBHdXVUY0N4aFdDdFBRVWVaUkFGZm1DTEU1LXVkMVRWNDh2NWQ5MVV2Y1l1ZEVUMkZ0NlVGMnNzVENmaWpxWUtCWFhEXzBkQ01EZ3J1RVZKRVRFVURIZk5sR0FzbnhNVWd0bFpGUkFoNllnYlQ2ckhJNDd6NURzdlpsSnBIUEEwdG1WdXTSAeoBQVVfeXFMT3dXQlQxRW5JRHZORC14OWJGTVhtYVNVa2RwRG9TWjRPZmxzbDdHR0l1eW5GRGJxUDBtVVhpNFdaUTVzVUVISTFHSEJ1UUFRazdtd1Y3MUpCdEVNMXFOUXhhemJFSkxmOGtkRzcyVjFlMVdiZ01qVlZTSFM4SUxiRzdtcEp0THpyT0ZWTUdPLWtyb2o5UXZiY2hJQmZkaGtNVV9FOVVuelpoeFlkRVhaaUNBM3EzNnRJR3dSbVN3YVdqd0w2Yk1iUWI1MVJVdVhXaVNqRWhwcjQ4VzltSUVXZUczdW9oOHFEYWVn?oc=5
JHS,JHS Svendgaard Laboratories Limited,JHS Svendgaard Laboratories Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxPcmUzLWZpcEp4bmEzbFR2akhCclpwUktYNHZJakVQdi1vc0ZxSzhmOXFtdndCZmJvOUFsM2FKaVp1T1F1UWxaNWhkYW1ZTk9oUTBTajcwcVpZZW5yeFMyZkFXemtvTks0UUxvWjlFQjFpQ1VnQ3FfOW01R0hLUUVFUHllZnVhMVlZRXhuYmkzNmo1blpQN0RBd0RtaEF0Um1KWHJnc1pMdmx3MlNNV0tuUkxYNXg?oc=5"" target=""_blank"">JHS Svendgaard Laboratories Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-10 07:09:11,Markets Mojo,https://news.google.com/rss/articles/CBMitAFBVV95cUxPcmUzLWZpcEp4bmEzbFR2akhCclpwUktYNHZJakVQdi1vc0ZxSzhmOXFtdndCZmJvOUFsM2FKaVp1T1F1UWxaNWhkYW1ZTk9oUTBTajcwcVpZZW5yeFMyZkFXemtvTks0UUxvWjlFQjFpQ1VnQ3FfOW01R0hLUUVFUHllZnVhMVlZRXhuYmkzNmo1blpQN0RBd0RtaEF0Um1KWHJnc1pMdmx3MlNNV0tuUkxYNXg?oc=5
JHS,JHS Svendgaard Laboratories Limited,"JHS Svendgaard Laboratories Completes Warrant Conversion, Allots 18.02 Lakh Equity Shares - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQeXFua2o2VThMV01PbUZFQnprQUVYMmwySndCMVdkU2p1UGxVbEhZdjdfREcycUJLdEZmYjBxZkJsdmlRVjNhZWdHLWRNQk9DQnZxcHlRakZMU0RXZjl3TVhFNnpFRC10N015Snl1UmlpNlp5UjlEWlBSMkVDdmFwcVVzS2ZWWFdhX0dvU3hWN0pselZVaEJzZkhvUzdVbDR6UDlmVjJQVldkdU9KYWRKbHpybG5WUUVWWmRUWDk2aU1odnI1RVhqME5RZHlMVE1zOTU1S19QSHBpTGhwNWk2MFN6RlpDZVRw?oc=5"" target=""_blank"">JHS Svendgaard Laboratories Completes Warrant Conversion, Allots 18.02 Lakh Equity Shares</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-31 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQeXFua2o2VThMV01PbUZFQnprQUVYMmwySndCMVdkU2p1UGxVbEhZdjdfREcycUJLdEZmYjBxZkJsdmlRVjNhZWdHLWRNQk9DQnZxcHlRakZMU0RXZjl3TVhFNnpFRC10N015Snl1UmlpNlp5UjlEWlBSMkVDdmFwcVVzS2ZWWFdhX0dvU3hWN0pselZVaEJzZkhvUzdVbDR6UDlmVjJQVldkdU9KYWRKbHpybG5WUUVWWmRUWDk2aU1odnI1RVhqME5RZHlMVE1zOTU1S19QSHBpTGhwNWk2MFN6RlpDZVRw?oc=5
JHS,JHS Svendgaard Laboratories Limited,JHS.BO News Today: Stay Updated with the Latest JHS Svendgaard Laboratories Limited News in Real Time - Meyka,"<a href=""https://news.google.com/rss/articles/CBMiTEFVX3lxTE1TOTFNdHk2UUdkd2RidEUtajNqRGZ6Z3ZOcFJLNjVPV2ZBSHdMMWJVc29Hd1NjTXZra1NGMGNrWnp0N1R2cHlpWkxManQ?oc=5"" target=""_blank"">JHS.BO News Today: Stay Updated with the Latest JHS Svendgaard Laboratories Limited News in Real Time</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2026-02-24 11:17:58,Meyka,https://news.google.com/rss/articles/CBMiTEFVX3lxTE1TOTFNdHk2UUdkd2RidEUtajNqRGZ6Z3ZOcFJLNjVPV2ZBSHdMMWJVc29Hd1NjTXZra1NGMGNrWnp0N1R2cHlpWkxManQ?oc=5
JHS,JHS Svendgaard Laboratories Limited,"“No shortcut, only perseverance”: JHS Svendgaard’s growth story - Manufacturing Today India","<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE9qeEtoVXNzYi1sRmpaWnYwcklYdUJUX014blFFWGRJZTdGR3lCQjlsVm1BbTEwV051OUR6TjZ3UTNodkt4MHNSaXJXckFXZXhHT3dOMHlyLUUzWEVUQ2VCQ21nT2NweUdaU3lHUXAzekFFcFJhb3lB?oc=5"" target=""_blank"">“No shortcut, only perseverance”: JHS Svendgaard’s growth story</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Manufacturing Today India</font>",2025-11-24 08:00:00,Manufacturing Today India,https://news.google.com/rss/articles/CBMid0FVX3lxTE9qeEtoVXNzYi1sRmpaWnYwcklYdUJUX014blFFWGRJZTdGR3lCQjlsVm1BbTEwV051OUR6TjZ3UTNodkt4MHNSaXJXckFXZXhHT3dOMHlyLUUzWEVUQ2VCQ21nT2NweUdaU3lHUXAzekFFcFJhb3lB?oc=5
JHS,JHS Svendgaard Laboratories Limited,JHS Svendgaard Laboratories Approves 31.30 Lakh Employee Stock Options Under New ESOP Scheme - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxPcFd6S0ZtWGltTnptSktubHNueUt3UmRua0djS05Nc2JucEQ3UjZGU0F4cUs1MjEyTldyX083MDIyQ0ZwX09PcGRNR0lVZFRURGRaNlVvZXBYRGJ3eTZXQUdFUEpsalI4YmpsYm5XSUcydThvNl9NWC1Xa2N6V2R0VHBMMkR5dDNpa2JaYURuS1ZwVUxSTzVDQlhnZWJRZkhXRTRoTFdGV1czeUV6Y3ozTUhDbW5Ldi1yMlRtR1BMME9VeGpEM240d1FFQzR4cDFhdjQtc3QweFc4LUlOalFfakoxVnYzeG5nSDZZZGRB?oc=5"" target=""_blank"">JHS Svendgaard Laboratories Approves 31.30 Lakh Employee Stock Options Under New ESOP Scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-14 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPcFd6S0ZtWGltTnptSktubHNueUt3UmRua0djS05Nc2JucEQ3UjZGU0F4cUs1MjEyTldyX083MDIyQ0ZwX09PcGRNR0lVZFRURGRaNlVvZXBYRGJ3eTZXQUdFUEpsalI4YmpsYm5XSUcydThvNl9NWC1Xa2N6V2R0VHBMMkR5dDNpa2JaYURuS1ZwVUxSTzVDQlhnZWJRZkhXRTRoTFdGV1czeUV6Y3ozTUhDbW5Ldi1yMlRtR1BMME9VeGpEM240d1FFQzR4cDFhdjQtc3QweFc4LUlOalFfakoxVnYzeG5nSDZZZGRB?oc=5
JHS,JHS Svendgaard Laboratories Limited,"JHS Svendgaard Grants 250,000 Stock Options Under 2025 ESOP - TipRanks","<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNYnhkSzg3UWkzdVpwNE1LTmxXT2ZDRklJVHpnaUt3eDZCaVRBVnZXNlFRWERSM0dUczhEQVdNa1o0RTFsbFZ0MXZhU1JwaXMxcFNPVkxfd0lzTEVSOGFDS2tPV0JZdGEyT2c5YU5meUdMdjE5VjV6Qm1Tc1pzMUVXV2Y5ZDBVLS1hRkM0ODZGUzZaN3pVbE1UNXdlTXVpWmI1QXl1S0ZHYm40dGtlVHMw?oc=5"" target=""_blank"">JHS Svendgaard Grants 250,000 Stock Options Under 2025 ESOP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2026-02-10 08:00:00,TipRanks,https://news.google.com/rss/articles/CBMirwFBVV95cUxNYnhkSzg3UWkzdVpwNE1LTmxXT2ZDRklJVHpnaUt3eDZCaVRBVnZXNlFRWERSM0dUczhEQVdNa1o0RTFsbFZ0MXZhU1JwaXMxcFNPVkxfd0lzTEVSOGFDS2tPV0JZdGEyT2c5YU5meUdMdjE5VjV6Qm1Tc1pzMUVXV2Y5ZDBVLS1hRkM0ODZGUzZaN3pVbE1UNXdlTXVpWmI1QXl1S0ZHYm40dGtlVHMw?oc=5
JHS,JHS Svendgaard Laboratories Limited,"JHS Svendgaard acquires land in J&K for expansion, shares plummet - BusinessLine","<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPczFYZF9TcF9hTnZwWFQtZTZaX1dnWFU2bnFxVzltWW14cUkwY0phX2xJSlRUWUVQNGdvWmlLMVV2dEV5RG1IQlNLRzZsZm5Ed084VXhNSUpOcWk0T0VQVGRSbG1TZ09keFVEcmxIVERjU19sb09uY21zQkJTWHg3UTMxbHdiWVRsclRuVEtWbUtna2lBV2VWOW40TXoxS3NsOS11dkl2b0VlZzVlbUlSTTZldjdIMV9KYVhIWXBPZWJ1THEtTmcwMUxlYm1Kb3FpU3RrXzIzSW82UdIB4AFBVV95cUxQMzZhX1JYSVp0eXIwclNWbTVTNHVheGRFWDliLWF0R2NNbERQRHI3aG1jMldpbzRUOXI4WDM3MVhpdzJTeXVpeUhWY25MYUoxV3lvNm9JbE53ZURtNGFzNTRnRjl5Q2hRSnlXT3NpYUM0Nkc0eXRmbzhuS2VCZl9oNjdMSlhlM0RLUFNOc0hQd0NoMHFhUHM1TjE2bmptTlEtNU9nc2RaNnR5WE8xU1pPUXJOWDRpXzR1bmY2QTdON2s5LTdwa2JtVUU3WkRpZy1BOUhaUTVzYjVxWTFJUUxuWg?oc=5"" target=""_blank"">JHS Svendgaard acquires land in J&amp;K for expansion, shares plummet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BusinessLine</font>",2024-09-19 07:00:00,BusinessLine,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPczFYZF9TcF9hTnZwWFQtZTZaX1dnWFU2bnFxVzltWW14cUkwY0phX2xJSlRUWUVQNGdvWmlLMVV2dEV5RG1IQlNLRzZsZm5Ed084VXhNSUpOcWk0T0VQVGRSbG1TZ09keFVEcmxIVERjU19sb09uY21zQkJTWHg3UTMxbHdiWVRsclRuVEtWbUtna2lBV2VWOW40TXoxS3NsOS11dkl2b0VlZzVlbUlSTTZldjdIMV9KYVhIWXBPZWJ1THEtTmcwMUxlYm1Kb3FpU3RrXzIzSW82UdIB4AFBVV95cUxQMzZhX1JYSVp0eXIwclNWbTVTNHVheGRFWDliLWF0R2NNbERQRHI3aG1jMldpbzRUOXI4WDM3MVhpdzJTeXVpeUhWY25MYUoxV3lvNm9JbE53ZURtNGFzNTRnRjl5Q2hRSnlXT3NpYUM0Nkc0eXRmbzhuS2VCZl9oNjdMSlhlM0RLUFNOc0hQd0NoMHFhUHM1TjE2bmptTlEtNU9nc2RaNnR5WE8xU1pPUXJOWDRpXzR1bmY2QTdON2s5LTdwa2JtVUU3WkRpZy1BOUhaUTVzYjVxWTFJUUxuWg?oc=5
JHS,JHS Svendgaard Laboratories Limited,"JHS Svendgaard Laboratories Reappoints Nikhil Nanda as Managing Director, Approves Key Appointments - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQcWZFTjFnSjN2NWZtcUhqbHNLYkJ4TFJVZnVqYUp0RmpQcUFjeVkxTzh6YnlpTlpwVWJSb21tcURhVFI4aUNBQjNLZklxTFB1SVRZaTQwN2VtZ24xV0d6a1hkY0M5a0Z6cmpUN3FJRFIxODFWM1BvTUN6WFFacThQQU1vNGRDQ0pWWEVqdzY4aU9jejNSU0kwRVE3Y3k0N0lKbFVDTzFjSTJIS28xOXNhaGNVS3NzTlVoQTdHTFJsYTAxdWR0Zk5WNTdCVE02TUxzVzhCaFRWZHhZaWV4aXYxSV9UclJ5Zjg?oc=5"" target=""_blank"">JHS Svendgaard Laboratories Reappoints Nikhil Nanda as Managing Director, Approves Key Appointments</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-09-22 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQcWZFTjFnSjN2NWZtcUhqbHNLYkJ4TFJVZnVqYUp0RmpQcUFjeVkxTzh6YnlpTlpwVWJSb21tcURhVFI4aUNBQjNLZklxTFB1SVRZaTQwN2VtZ24xV0d6a1hkY0M5a0Z6cmpUN3FJRFIxODFWM1BvTUN6WFFacThQQU1vNGRDQ0pWWEVqdzY4aU9jejNSU0kwRVE3Y3k0N0lKbFVDTzFjSTJIS28xOXNhaGNVS3NzTlVoQTdHTFJsYTAxdWR0Zk5WNTdCVE02TUxzVzhCaFRWZHhZaWV4aXYxSV9UclJ5Zjg?oc=5
JHS,JHS Svendgaard Laboratories Limited,JHS Svendgaard Laboratories Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxPUVZFbGpnRUIxSm4tck96bVpObVV3OVF2WjQyYjJWU1ZlUWRBWEdNZ0pBTDlvTjJacFp5b211dXNJWm9ZbEhHck9xR0QzSm5Kb3NDVHUzdTgzeEhILVdacDB4aUdXTWNmYWF1WEhYRkJPLWltOU5qRTZKR09HcjFmc0Q4bVc2bk1INENfcG1QRlVjekVWWDV0N1NlTWU1cXk0SW9QSjZLYm94azlFSmdLQzVNNUE?oc=5"" target=""_blank"">JHS Svendgaard Laboratories Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-01-30 07:14:06,Markets Mojo,https://news.google.com/rss/articles/CBMitAFBVV95cUxPUVZFbGpnRUIxSm4tck96bVpObVV3OVF2WjQyYjJWU1ZlUWRBWEdNZ0pBTDlvTjJacFp5b211dXNJWm9ZbEhHck9xR0QzSm5Kb3NDVHUzdTgzeEhILVdacDB4aUdXTWNmYWF1WEhYRkJPLWltOU5qRTZKR09HcjFmc0Q4bVc2bk1INENfcG1QRlVjekVWWDV0N1NlTWU1cXk0SW9QSjZLYm94azlFSmdLQzVNNUE?oc=5
