scrip,company,headline,summary,published_date,source,url
JUBLINGREA,Jubilant Ingrevia Limited,Investors Still Waiting For A Pull Back In Jubilant Ingrevia Limited (NSE:JUBLINGREA) - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxOdEJqcWlUbDBfMUx0NGVac09LQmI3OW5kajczYldsUVc5M2V4TXNQUkMwQUNhUHZqOE5qckptRXJYbzN2UkVWeE1nUzJxNUx5U19xMDJuY3hHR0NUcDlZSXV1YVFyZHlDMlNrd0lYbVB3eDE1SFQ1MmQwZW93U3dGU2g4YUlJVTJZRmNWUmtrYm5pLWlxV3RyeUdxYUZxdUlmV2VpNURlUzZlVlRfcDJ1NGxoNW40RlBDN1Z1ZjFCWllHbmRSQ0l6SXoza3BKdFhTU2w3M2l4TzdJN0N5ajV4cQ?oc=5"" target=""_blank"">Investors Still Waiting For A Pull Back In Jubilant Ingrevia Limited (NSE:JUBLINGREA)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-04 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOdEJqcWlUbDBfMUx0NGVac09LQmI3OW5kajczYldsUVc5M2V4TXNQUkMwQUNhUHZqOE5qckptRXJYbzN2UkVWeE1nUzJxNUx5U19xMDJuY3hHR0NUcDlZSXV1YVFyZHlDMlNrd0lYbVB3eDE1SFQ1MmQwZW93U3dGU2g4YUlJVTJZRmNWUmtrYm5pLWlxV3RyeUdxYUZxdUlmV2VpNURlUzZlVlRfcDJ1NGxoNW40RlBDN1Z1ZjFCWllHbmRSQ0l6SXoza3BKdFhTU2w3M2l4TzdJN0N5ajV4cQ?oc=5
JUBLINGREA,Jubilant Ingrevia Limited,Jubilant Ingrevia Q2 Profit Up 18% to ₹70 Cr - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE5WMi00c1JaVXZiZXlqMG9vR0NLSjgtUDFoNzRzcGlTbk56RWxWeWJMaHdRZl9PUFBWMXF3NS1zODAwcmFhVlJucjE1VzdXVG1qRnBmSlF5SmhpazY0Z3Y3UHdJcTdyQWFVSGU1Y1N0a3FLYTc3bUdRNVNwOXFuODg?oc=5"" target=""_blank"">Jubilant Ingrevia Q2 Profit Up 18% to ₹70 Cr</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-27 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMif0FVX3lxTE5WMi00c1JaVXZiZXlqMG9vR0NLSjgtUDFoNzRzcGlTbk56RWxWeWJMaHdRZl9PUFBWMXF3NS1zODAwcmFhVlJucjE1VzdXVG1qRnBmSlF5SmhpazY0Z3Y3UHdJcTdyQWFVSGU1Y1N0a3FLYTc3bUdRNVNwOXFuODg?oc=5
JUBLINGREA,Jubilant Ingrevia Limited,Jubilant Ingrevia Reports Robust Q2FY26 Performance with 8% EBITDA Growth - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxNc1dzN2dscXlvWDl0S1haUWNrSkZRNVRfSGVQVDZ5dFpwV01WVGRmdDBveUhncjB6bkYyMHNoR3BCdWktbWduQ0NmLTBhUWZadERUNnZnUVMzZHhxbm1zY3J5VTZlckdpb1pwN0RET0ZVTjJRNmtXN3EwX1VIbm5EcjY0Slo3eTVjWTlGTnlrSkJSLUV1WVgxa09UX0gxdE52dnRkYVJITFVrY3hEbEp2V254ZC1jTGY2UXBvMEJvakJDa1JCTGtZ?oc=5"" target=""_blank"">Jubilant Ingrevia Reports Robust Q2FY26 Performance with 8% EBITDA Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-09 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMixwFBVV95cUxNc1dzN2dscXlvWDl0S1haUWNrSkZRNVRfSGVQVDZ5dFpwV01WVGRmdDBveUhncjB6bkYyMHNoR3BCdWktbWduQ0NmLTBhUWZadERUNnZnUVMzZHhxbm1zY3J5VTZlckdpb1pwN0RET0ZVTjJRNmtXN3EwX1VIbm5EcjY0Slo3eTVjWTlGTnlrSkJSLUV1WVgxa09UX0gxdE52dnRkYVJITFVrY3hEbEp2V254ZC1jTGY2UXBvMEJvakJDa1JCTGtZ?oc=5
JUBLINGREA,Jubilant Ingrevia Limited,Earnings Miss: Jubilant Ingrevia Limited Missed EPS By 17% And Analysts Are Revising Their Forecasts - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPZXVYZ1ZVUU5YMXZPYzAydmxDV2NpWEZYZktORHRyTk1hZVpoMmRIY1gzTTAtSGh6LUotdkF5eXJTcVh4bFBtaFNqUS1QNTQ2S3Zod0dzSTNPNGtaSk9NOGhlN3ZfQ2xzaFZKbWlVNXhqRjVQRW5TemFUWGVWeVJjNEw3d0NWYXhUZU9EdDJlREptMzd1YUNjQVNRZ0tzZEVHS2E1U3IxZkJkUTZUUEgtS0ZKR1hWbndPOWVoRGhzSFEzcXRBTDhQSlhRQ0xiYWQyQXR2YnFQS0VvSnJhRFRXS9IB5gFBVV95cUxOMTVaOU9Tb25nRzI5bDhvaktnVjlVUVdqRGd6Z0RRT01kUHVKNkFHNEpRU3B5X2FtSU9DT1F4TmtLblFwaWNaTEZxT3k4bUxZZlhCdkJuLTU1UVFhTVk1bEdZY01qMFA4OW54bGhLZ3lZcl91QjZjX19CZU5HTHdCUlFrbDEzWWZ4aVM2X2FjU2h1ejl1SUx3cnZMVUN0d0VtckRpWTBnNzNQMUdVaXE4V1QxVXBkeTcwWlZFaEdPQWhXXzl5UkM4cGZXMHFBc2VmUkVwYU81Ml92MzIwSEpaUmpiTUlsUQ?oc=5"" target=""_blank"">Earnings Miss: Jubilant Ingrevia Limited Missed EPS By 17% And Analysts Are Revising Their Forecasts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-07 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPZXVYZ1ZVUU5YMXZPYzAydmxDV2NpWEZYZktORHRyTk1hZVpoMmRIY1gzTTAtSGh6LUotdkF5eXJTcVh4bFBtaFNqUS1QNTQ2S3Zod0dzSTNPNGtaSk9NOGhlN3ZfQ2xzaFZKbWlVNXhqRjVQRW5TemFUWGVWeVJjNEw3d0NWYXhUZU9EdDJlREptMzd1YUNjQVNRZ0tzZEVHS2E1U3IxZkJkUTZUUEgtS0ZKR1hWbndPOWVoRGhzSFEzcXRBTDhQSlhRQ0xiYWQyQXR2YnFQS0VvSnJhRFRXS9IB5gFBVV95cUxOMTVaOU9Tb25nRzI5bDhvaktnVjlVUVdqRGd6Z0RRT01kUHVKNkFHNEpRU3B5X2FtSU9DT1F4TmtLblFwaWNaTEZxT3k4bUxZZlhCdkJuLTU1UVFhTVk1bEdZY01qMFA4OW54bGhLZ3lZcl91QjZjX19CZU5HTHdCUlFrbDEzWWZ4aVM2X2FjU2h1ejl1SUx3cnZMVUN0d0VtckRpWTBnNzNQMUdVaXE4V1QxVXBkeTcwWlZFaEdPQWhXXzl5UkM4cGZXMHFBc2VmUkVwYU81Ml92MzIwSEpaUmpiTUlsUQ?oc=5
JUBLINGREA,Jubilant Ingrevia Limited,"Block deals, June 13: Jubilant Ingrevia jumps 8%, Jubilant Food up 1% after large transactions; check details - Upstox","<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxNMnlGaW54NzZMRlU5ZE1ZS0ctLTJwNm95d1BBejFEYkltN1Y3YU1xMlRtRXJJMkdjRElpeE9uUmdPZGtwb0Jzd3FHS1FwRmc0SGJKbzJvZ2c1ZUhlcDFVY0lTLXJlX25KUno5ZklkWEhUTTcyWGlIOHN0eWwtTm1lckFYOV8tTDkxaS1IdjAwUEhhYi1Ba2pJQS1uM05oMTkxc3N1M2JGQnFJeGpyV3dVcy1iWk9rV2xoTDFvUFI5aXhldVkzWkN1ZEo0V1ZYV0QwalNjMFdVSFlNWlZQZms1dUxvQ2g3a3Vkdk1wTlFoeTE0NFV2UWsyN3pHTjI?oc=5"" target=""_blank"">Block deals, June 13: Jubilant Ingrevia jumps 8%, Jubilant Food up 1% after large transactions; check details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-06-12 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi_AFBVV95cUxNMnlGaW54NzZMRlU5ZE1ZS0ctLTJwNm95d1BBejFEYkltN1Y3YU1xMlRtRXJJMkdjRElpeE9uUmdPZGtwb0Jzd3FHS1FwRmc0SGJKbzJvZ2c1ZUhlcDFVY0lTLXJlX25KUno5ZklkWEhUTTcyWGlIOHN0eWwtTm1lckFYOV8tTDkxaS1IdjAwUEhhYi1Ba2pJQS1uM05oMTkxc3N1M2JGQnFJeGpyV3dVcy1iWk9rV2xoTDFvUFI5aXhldVkzWkN1ZEo0V1ZYV0QwalNjMFdVSFlNWlZQZms1dUxvQ2g3a3Vkdk1wTlFoeTE0NFV2UWsyN3pHTjI?oc=5
JUBLINGREA,Jubilant Ingrevia Limited,Jubilant Ingrevia Profit Surges 54% in Q1FY26 Results - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxPZDVjZFhoUkp3SU92MGQ1TU15SjFvbDRHT1Q1UlN1VW8xaUhTc3NPTlp5U2JTbUF2OUdvbjJDZEhkUGY2OFh2WF84ZUp0NHRSYlBsc3Bra2pUNE0tQ3U5eVBya25wcTJqQWE5Y0VXbkQzX3ZYU2VUZzVvT0VxZ09kWmtNZmNuRTB3dFlZNkd3SzRJdDBFaHR1bUtYaTdUTU1lWDhjaHhvNFU?oc=5"" target=""_blank"">Jubilant Ingrevia Profit Surges 54% in Q1FY26 Results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-07-31 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPZDVjZFhoUkp3SU92MGQ1TU15SjFvbDRHT1Q1UlN1VW8xaUhTc3NPTlp5U2JTbUF2OUdvbjJDZEhkUGY2OFh2WF84ZUp0NHRSYlBsc3Bra2pUNE0tQ3U5eVBya25wcTJqQWE5Y0VXbkQzX3ZYU2VUZzVvT0VxZ09kWmtNZmNuRTB3dFlZNkd3SzRJdDBFaHR1bUtYaTdUTU1lWDhjaHhvNFU?oc=5
JUBLINGREA,Jubilant Ingrevia Limited,Are Investors Undervaluing Jubilant Ingrevia Limited (NSE:JUBLINGREA) By 38%? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxOTC1LaFVWZER6WTFSQkhVdXRPQ2Z6bDVlNVcwa3N5emUzNUFpTWdOYS1oajRLb2NZX3JmN2tkQWkxYXlWanNDeXpJdmJvQXRoVjdjLTdNQkNQT3RxZUQ0a0xvUzR1My1Qb1Q0VWN4aDF1MzBDUExXZUljMVFkNmllbmpLMWZTTzMwUGY2ODVrcmJXbjdUaTc4UUVWdVFRSVdRYXVpX2pIRnJBdDJpbVpDOXFBa3V0MU1JQnB5TWJQclAzMWxSRGNySC1GVGpjSTNyczRYZjk0LVh1ZVpiaGVJSdIB5gFBVV95cUxQNGVCUm9yRnY5ekNTZ0l6bnFHc3dUZTAyVGZrRnN6al9FUXZqbEtsOENBVFhwSHh4QWRMOVZMNG9GZzNzeUtIcWVSOXRtT3FMZF85b1ZYTk5ER1NLOVFQdWFqMWdxTy1xUDR6aG93NGtMRHljSlc3MG81aFhOUUZpRlJSNHFGVnJNOGtpN2wxTU0xaVRTVlNhNWdUOFJDeUdrWUxuN3FaRVdfTlpRMkdyTm9wYXhaVmdnb1pOaXdZUGRENGhwbFhLMDJBZzVsTDFXWnFWZHZaYkF2aXpiMFNvd2ZLY3d1QQ?oc=5"" target=""_blank"">Are Investors Undervaluing Jubilant Ingrevia Limited (NSE:JUBLINGREA) By 38%?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-10-17 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOTC1LaFVWZER6WTFSQkhVdXRPQ2Z6bDVlNVcwa3N5emUzNUFpTWdOYS1oajRLb2NZX3JmN2tkQWkxYXlWanNDeXpJdmJvQXRoVjdjLTdNQkNQT3RxZUQ0a0xvUzR1My1Qb1Q0VWN4aDF1MzBDUExXZUljMVFkNmllbmpLMWZTTzMwUGY2ODVrcmJXbjdUaTc4UUVWdVFRSVdRYXVpX2pIRnJBdDJpbVpDOXFBa3V0MU1JQnB5TWJQclAzMWxSRGNySC1GVGpjSTNyczRYZjk0LVh1ZVpiaGVJSdIB5gFBVV95cUxQNGVCUm9yRnY5ekNTZ0l6bnFHc3dUZTAyVGZrRnN6al9FUXZqbEtsOENBVFhwSHh4QWRMOVZMNG9GZzNzeUtIcWVSOXRtT3FMZF85b1ZYTk5ER1NLOVFQdWFqMWdxTy1xUDR6aG93NGtMRHljSlc3MG81aFhOUUZpRlJSNHFGVnJNOGtpN2wxTU0xaVRTVlNhNWdUOFJDeUdrWUxuN3FaRVdfTlpRMkdyTm9wYXhaVmdnb1pOaXdZUGRENGhwbFhLMDJBZzVsTDFXWnFWZHZaYkF2aXpiMFNvd2ZLY3d1QQ?oc=5
JUBLINGREA,Jubilant Ingrevia Limited,"Jubilant Group Shares in Spotlight, June 13: Promoters Launch Rs. 2,165 Cr Block Deal Across Three Companies - Goodreturns","<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxONFMycndjM2xnWVotS2VWdlhBMlJUWk5hcXRvdktXWjFuQlFQSk13ME9hUjVfVTZ1eXF2eTBBcVFyWkxpUDBYZEtMTTNoMGdIZWZBUnFpdXlXTl9LN1VfMlBxV2JHc1FEQV9MN3lUeXo0ZWFYSVpvd2FKTDk0d2tyYjVZU19PZnA4bi00ZlQxOVNyam1UbEh5ZnBBU1lpbW5TWkYyZFJ5a1Z5Xy1LbDJUTDh3bGhrbDMzVG5lUEFkNi0xajFjUWNLd1JPNFZ6R0VXX1BYdlZxZHFhQ2Vm?oc=5"" target=""_blank"">Jubilant Group Shares in Spotlight, June 13: Promoters Launch Rs. 2,165 Cr Block Deal Across Three Companies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Goodreturns</font>",2025-06-13 07:00:00,Goodreturns,https://news.google.com/rss/articles/CBMi3AFBVV95cUxONFMycndjM2xnWVotS2VWdlhBMlJUWk5hcXRvdktXWjFuQlFQSk13ME9hUjVfVTZ1eXF2eTBBcVFyWkxpUDBYZEtMTTNoMGdIZWZBUnFpdXlXTl9LN1VfMlBxV2JHc1FEQV9MN3lUeXo0ZWFYSVpvd2FKTDk0d2tyYjVZU19PZnA4bi00ZlQxOVNyam1UbEh5ZnBBU1lpbW5TWkYyZFJ5a1Z5Xy1LbDJUTDh3bGhrbDMzVG5lUEFkNi0xajFjUWNLd1JPNFZ6R0VXX1BYdlZxZHFhQ2Vm?oc=5
JUBLINGREA,Jubilant Ingrevia Limited,Jubilant Ingrevia Declares Interim Dividend of Rs.2.50 Per Share for FY 2025-26 - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNSFZoUXN5aktRUVpiNEp5dzFRSlRlR0R0VDFxeXhiOUFkLUd2d2R3MDhyR0ZhQjdwcG1rT3hYeEE0b1Z5XzV3RVo3TWpkZjVEZnVxZGRPbWZxWUdqQUE5S1g0RFJUVnVuSUE3dEcteXFmOFM2UGJvRkdQT1Z0bFI2eDBMRHVnRlpMckxoX1dpMWNNYnFDYlVaSTFtTXd0cGRPMldVZzR6Qnd3RW5KdmoxS1JvYUdWTC1kZFJhYU81UU15OEUyaUpQVF9jdjlsTDhhOWRpNWlrX25VT0ZK?oc=5"" target=""_blank"">Jubilant Ingrevia Declares Interim Dividend of Rs.2.50 Per Share for FY 2025-26</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-04 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNSFZoUXN5aktRUVpiNEp5dzFRSlRlR0R0VDFxeXhiOUFkLUd2d2R3MDhyR0ZhQjdwcG1rT3hYeEE0b1Z5XzV3RVo3TWpkZjVEZnVxZGRPbWZxWUdqQUE5S1g0RFJUVnVuSUE3dEcteXFmOFM2UGJvRkdQT1Z0bFI2eDBMRHVnRlpMckxoX1dpMWNNYnFDYlVaSTFtTXd0cGRPMldVZzR6Qnd3RW5KdmoxS1JvYUdWTC1kZFJhYU81UU15OEUyaUpQVF9jdjlsTDhhOWRpNWlrX25VT0ZK?oc=5
JUBLINGREA,Jubilant Ingrevia Limited,Jubilant Ingrevia Issues ₹500 Million in Commercial Papers - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQMDFRaDJveVFBYTZzSFhFMHBpd0hTU05oZVJ4NWFsYURpbWt1SHdRelo4VG5MaEhuSzBlWmVWX1FjVHF4YmZueHZ6NHJBVzRpMnNKWjVHVjZMUWxFYWFoVVNaaThZOVR3d09LSFVSb0RWT2ZQNTdLcFRXTmdRZHJZeFlQMFlzWnpuZjFVdDRQd1VlSDREUUdIa2dhNlBzVGsyMzRhMlpOTm9GMkJhRW95UzBrZEpfWmlpQXJOLXBVNA?oc=5"" target=""_blank"">Jubilant Ingrevia Issues ₹500 Million in Commercial Papers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-08-11 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMivwFBVV95cUxQMDFRaDJveVFBYTZzSFhFMHBpd0hTU05oZVJ4NWFsYURpbWt1SHdRelo4VG5MaEhuSzBlWmVWX1FjVHF4YmZueHZ6NHJBVzRpMnNKWjVHVjZMUWxFYWFoVVNaaThZOVR3d09LSFVSb0RWT2ZQNTdLcFRXTmdRZHJZeFlQMFlzWnpuZjFVdDRQd1VlSDREUUdIa2dhNlBzVGsyMzRhMlpOTm9GMkJhRW95UzBrZEpfWmlpQXJOLXBVNA?oc=5
