scrip,company,headline,summary,published_date,source,url
KALYANI,Kalyani Commercials Limited,"Kalyani Comm Standalone December 2025 Net Sales at Rs 181.21 crore, up 32.37% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPM2VnYjZMaTVqamQxSzR6cFV6VktwQU5kcUhfRTh6ZWpwSjh3blNxeVBvdUtaUVZKcXNUNG5LLU9kdURXQmNNOGxYaVV3WnQtczJ6NEgxOWlZN09fbGlITG56Z2Vxc014RFBYN1cwMERLY1dCbmVYWWNMekw1QXc0cXh0NFN6bk90czJTN2FvdUt5RXdJdnRFZDhyeUo0ZHZ4NjUwZHZKV2JfamVFb1VzV242bzB6QncyWDd1VldhSlhCaGx3OThnSklIYU51dnJtVGs5NGdDbkhYU25rd01QZtIB5gFBVV95cUxOMmxCOXFDTGJQTm5JeDA5b2l6aFVxVzUyTHdXS1JRa2tLeDd0eXpMTHVfcjAtc0U4YmJIVzJXOXlfNV9aVlBrVS0zSVFKVUFCdldDSDA0Q1lSWWt5cVJ3RXdzOXlLa1AzSEtPQWUyamd3SER4RjZpRnEyeThndk8wY29lTGw0QjJNWXFfRUxfUlVtRjhOU0pQSjI0SXVFVk5ib0ZSQ09rank5RXNBVXhNc3NIcnlsZVdZdHgzc2Vra3RHS1NCOXJVUTBUSE5Sem5Nc1JNdVBJT05sdzZ1VXBfY1pJN3EzZw?oc=5"" target=""_blank"">Kalyani Comm Standalone December 2025 Net Sales at Rs 181.21 crore, up 32.37% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-24 09:03:01,Moneycontrol.com,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPM2VnYjZMaTVqamQxSzR6cFV6VktwQU5kcUhfRTh6ZWpwSjh3blNxeVBvdUtaUVZKcXNUNG5LLU9kdURXQmNNOGxYaVV3WnQtczJ6NEgxOWlZN09fbGlITG56Z2Vxc014RFBYN1cwMERLY1dCbmVYWWNMekw1QXc0cXh0NFN6bk90czJTN2FvdUt5RXdJdnRFZDhyeUo0ZHZ4NjUwZHZKV2JfamVFb1VzV242bzB6QncyWDd1VldhSlhCaGx3OThnSklIYU51dnJtVGs5NGdDbkhYU25rd01QZtIB5gFBVV95cUxOMmxCOXFDTGJQTm5JeDA5b2l6aFVxVzUyTHdXS1JRa2tLeDd0eXpMTHVfcjAtc0U4YmJIVzJXOXlfNV9aVlBrVS0zSVFKVUFCdldDSDA0Q1lSWWt5cVJ3RXdzOXlLa1AzSEtPQWUyamd3SER4RjZpRnEyeThndk8wY29lTGw0QjJNWXFfRUxfUlVtRjhOU0pQSjI0SXVFVk5ib0ZSQ09rank5RXNBVXhNc3NIcnlsZVdZdHgzc2Vra3RHS1NCOXJVUTBUSE5Sem5Nc1JNdVBJT05sdzZ1VXBfY1pJN3EzZw?oc=5
KALYANI,Kalyani Commercials Limited,"Kalyani Cast Tech Reports 33% Revenue Growth in H1 FY26, Expands into Wagon Manufacturing - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxNalpyZjFBd2VnNzliaW12akMySm5WTlRBV0FFcUppNVhRY0VTa2EzZUNxVDFWd0diWDlMNm5SQkJ6QmV2dm9HTEptQVJONXE3UVZCZjFtbkE3dWJWaTBPWnBXZ3dxaE1nejc0cTgyMndlRTRlM2hPclYtcl9LeElkVExZbmlvUWZYLXp5OVYtZnE4S19rVWEtVkZiOVdjclVkQ3Z1TmZxcFVtLUZnSzN6bWdGamdKZHhvZ1hnZVpPUjlvb2pFUk9Xd0Z0dW9Pbl9MZ1VaRi14ZWdsQ3M?oc=5"" target=""_blank"">Kalyani Cast Tech Reports 33% Revenue Growth in H1 FY26, Expands into Wagon Manufacturing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-19 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNalpyZjFBd2VnNzliaW12akMySm5WTlRBV0FFcUppNVhRY0VTa2EzZUNxVDFWd0diWDlMNm5SQkJ6QmV2dm9HTEptQVJONXE3UVZCZjFtbkE3dWJWaTBPWnBXZ3dxaE1nejc0cTgyMndlRTRlM2hPclYtcl9LeElkVExZbmlvUWZYLXp5OVYtZnE4S19rVWEtVkZiOVdjclVkQ3Z1TmZxcFVtLUZnSzN6bWdGamdKZHhvZ1hnZVpPUjlvb2pFUk9Xd0Z0dW9Pbl9MZ1VaRi14ZWdsQ3M?oc=5
KALYANI,Kalyani Commercials Limited,Bharat Forge transfers defence business worth ₹500 crore to Kalyani Strategic Systems - CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNY21XOW8zUzZoT1FkeXhBem81QXpkMzZoWG5XRms3ZU5DWDFETVhuTDY2bDRKQ0pZZVJTcWl5cWcyVzFPVlVUYlRKVmhhS3A2bVhYQVU0alJ1Z09wTkdZTDlQTk9qQ0FLTUJWMzRaNzFldVVkUnM5OUFGcG5QRURLLTZ2eG1ocHg1ZGRWSUdORGl2M3VId3MzcURmazk0ajFrUy0ySjFBbk10ajkxWjlnVDRPT1dvaE1jTmtfUE1xVGZMVUp2ZWJRN09TcDh5WERhdDViMmpYRDdFRlBsSkVDZEQ4bkdiQdIB6wFBVV95cUxPbjRnUV9JNDFpQ3FqZG5MZ1VaVzBpdGtkMlJCX1JqS0ZXX1NKQkFWS3RmU0xOR0hHWGR2OHBYRDdoUFoybXNtMGYtQnZ5WXNBNUFMT0MySHFsUmhQenFZNDF0QkRnalBWcUxaMEJVcEJ3M2dQTFRNSUJzaXJfZ0pUZmYtTE96aS1zQnNVZUxnc2szdnJlbHdEOUxHeUJKWm5DbFNKejdRX1dFNHhBRE5JOGlxZG80STJJNkx5UnBYNzdadVpCUlIwZ1hzSmN1Zk5fdjhDc0ZUTHVwRjdjNGJ2ck1ZZVdjNngtVnJr?oc=5"" target=""_blank"">Bharat Forge transfers defence business worth ₹500 crore to Kalyani Strategic Systems</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2025-06-30 07:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNY21XOW8zUzZoT1FkeXhBem81QXpkMzZoWG5XRms3ZU5DWDFETVhuTDY2bDRKQ0pZZVJTcWl5cWcyVzFPVlVUYlRKVmhhS3A2bVhYQVU0alJ1Z09wTkdZTDlQTk9qQ0FLTUJWMzRaNzFldVVkUnM5OUFGcG5QRURLLTZ2eG1ocHg1ZGRWSUdORGl2M3VId3MzcURmazk0ajFrUy0ySjFBbk10ajkxWjlnVDRPT1dvaE1jTmtfUE1xVGZMVUp2ZWJRN09TcDh5WERhdDViMmpYRDdFRlBsSkVDZEQ4bkdiQdIB6wFBVV95cUxPbjRnUV9JNDFpQ3FqZG5MZ1VaVzBpdGtkMlJCX1JqS0ZXX1NKQkFWS3RmU0xOR0hHWGR2OHBYRDdoUFoybXNtMGYtQnZ5WXNBNUFMT0MySHFsUmhQenFZNDF0QkRnalBWcUxaMEJVcEJ3M2dQTFRNSUJzaXJfZ0pUZmYtTE96aS1zQnNVZUxnc2szdnJlbHdEOUxHeUJKWm5DbFNKejdRX1dFNHhBRE5JOGlxZG80STJJNkx5UnBYNzdadVpCUlIwZ1hzSmN1Zk5fdjhDc0ZUTHVwRjdjNGJ2ck1ZZVdjNngtVnJr?oc=5
KALYANI,Kalyani Commercials Limited,"Kalyani Steels Completes Acquisition of DGM Realities, Making it Wholly Owned Subsidiary - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPY0x6U2ljRGtjQW1uVkx3WlVGd1BPWUxHY3dyamFfSzRPMFA1RFVDNTNqX3IwS0t4S2EwZFhOUk9pa0M3RDkyVnVnLVpudG5WbGFuRFgwWHB4VEdENHcwVUd4eHlPUTJ4dTlOdldBNV80TDZZNVRiQ3hEQWpSSmItaThES1dqN0wwU3ZhS1p0b1BjMFRBUV92Q0pRdGdyYy1mUUtnTXk1cWUxNmZhckVGXy04LUhweFY0Y0xRYTRDRnlHUDFzTjhmTjc5RFJ0UjhQbWJqOW10Z3ZFNjZYc3NNQg?oc=5"" target=""_blank"">Kalyani Steels Completes Acquisition of DGM Realities, Making it Wholly Owned Subsidiary</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-13 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPY0x6U2ljRGtjQW1uVkx3WlVGd1BPWUxHY3dyamFfSzRPMFA1RFVDNTNqX3IwS0t4S2EwZFhOUk9pa0M3RDkyVnVnLVpudG5WbGFuRFgwWHB4VEdENHcwVUd4eHlPUTJ4dTlOdldBNV80TDZZNVRiQ3hEQWpSSmItaThES1dqN0wwU3ZhS1p0b1BjMFRBUV92Q0pRdGdyYy1mUUtnTXk1cWUxNmZhckVGXy04LUhweFY0Y0xRYTRDRnlHUDFzTjhmTjc5RFJ0UjhQbWJqOW10Z3ZFNjZYc3NNQg?oc=5
KALYANI,Kalyani Commercials Limited,Care Ratings Reaffirms Kalyani Steels' Credit Ratings Across All Facilities - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQZUR4emJjeF9vOTROdVBnTFNxVEhnZkNPNnQzT01rMzJQM285TEVUVmN5UVdYUklPVVNwaXAtWUtXSkhqSnNralp6THJhZjAySWV5SlNOaVJ4S3VsMlo4dENyZWF0Q2JsLTZnYnZBTXVJeWI2VUFVRGxlWFBoNXpRVVA2X2J4TnpTcHN4Y091TnFjV2lSWHRIVGd5VG1TeDJjUnNGMmJyV1YzTXZRbTMwMTJZdFJ3akYzcHlZbWVROWlnVDgxZS13?oc=5"" target=""_blank"">Care Ratings Reaffirms Kalyani Steels' Credit Ratings Across All Facilities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-12-26 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMixwFBVV95cUxQZUR4emJjeF9vOTROdVBnTFNxVEhnZkNPNnQzT01rMzJQM285TEVUVmN5UVdYUklPVVNwaXAtWUtXSkhqSnNralp6THJhZjAySWV5SlNOaVJ4S3VsMlo4dENyZWF0Q2JsLTZnYnZBTXVJeWI2VUFVRGxlWFBoNXpRVVA2X2J4TnpTcHN4Y091TnFjV2lSWHRIVGd5VG1TeDJjUnNGMmJyV1YzTXZRbTMwMTJZdFJ3akYzcHlZbWVROWlnVDgxZS13?oc=5
KALYANI,Kalyani Commercials Limited,kalyani strategic systems limited a subsidiary of bharat forge unveiled the revolutionary marg 45 - ICICI Direct,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxPc2l5c0lrc2JUQzE1LU9XNmNjYWVHVmF0QlVSeDFFSFFkMWRiQ1IxeWE4bVJTeUNCMndhRkpxVUZfVTZDdWNLbFNyRGNqNGRiUHRac255ZVhweTZ5eUNmME10RWxGSzROekg4bUhXQjdLN0pwckh1QWtZZ251ODVaWWs5eXJ2STRpMURwS2pId2wtVWZBSmxXczQwWFpmUV9sWU9aakcxOU1UazFNT0tDdkk0RGM1QnZaRGdXTVRjbzdJdWlnZTZPSU0wT3MxN29DUDB0TGJWUWNCZXZNbzhCblN4Uzc1ZXRRYTk0?oc=5"" target=""_blank"">kalyani strategic systems limited a subsidiary of bharat forge unveiled the revolutionary marg 45</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ICICI Direct</font>",2025-02-18 04:10:54,ICICI Direct,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPc2l5c0lrc2JUQzE1LU9XNmNjYWVHVmF0QlVSeDFFSFFkMWRiQ1IxeWE4bVJTeUNCMndhRkpxVUZfVTZDdWNLbFNyRGNqNGRiUHRac255ZVhweTZ5eUNmME10RWxGSzROekg4bUhXQjdLN0pwckh1QWtZZ251ODVaWWs5eXJ2STRpMURwS2pId2wtVWZBSmxXczQwWFpmUV9sWU9aakcxOU1UazFNT0tDdkk0RGM1QnZaRGdXTVRjbzdJdWlnZTZPSU0wT3MxN29DUDB0TGJWUWNCZXZNbzhCblN4Uzc1ZXRRYTk0?oc=5
KALYANI,Kalyani Commercials Limited,KALYANIFRG Share Price | Kalyani Forge Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTFA5eTFuV1pmejd4SDRwSmdTUW5mMEthZjNneVBOa0dlUnZEcTNrVnJaNzdIaldhSDZleU5vMzA1RTNDbXBxQnJCVHNaWjNhSXVrZnRTbFAtbE5SVmpRMnRhN1p3RjFKOE42LXVCT2tubDU2S1Et?oc=5"" target=""_blank"">KALYANIFRG Share Price | Kalyani Forge Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-03-06 23:27:36,Markets Mojo,https://news.google.com/rss/articles/CBMidEFVX3lxTFA5eTFuV1pmejd4SDRwSmdTUW5mMEthZjNneVBOa0dlUnZEcTNrVnJaNzdIaldhSDZleU5vMzA1RTNDbXBxQnJCVHNaWjNhSXVrZnRTbFAtbE5SVmpRMnRhN1p3RjFKOE42LXVCT2tubDU2S1Et?oc=5
KALYANI,Kalyani Commercials Limited,Kalyani Developers: Redefining modern urban living with unmatched amenities and sustainability - The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMilgJBVV95cUxPRk84UHhscEdQUEFIWVZGY0E3MVpXY3pseTN6XzNBemRMWk9kWG9oSWJRUTdUMEI0MmZ4MmF4YkJfZzNDdlIzbkFXVkdIWm1nbE5sY2ROdXVaSk1PTGdnemJnOXVDWndzZ2dhelM3MUIyNllYWXV4MmUwRWVvN1dSSXpySkpUcGRjdUZrX2l4M2RTS1VGZ1hsSEMxTTB3ZUhZWFBLQTNkam0wNkhUcEFKbEVKS1VUUzRqREZyeVJicmI4czJJQU56SzFlWDJBN2VldVZCZi13RW1mdlVBS0ZFZGd2VVEzYUFTTVBCNDlFcUtKX1poQ0JUTVVYRTZkQU95MHhReUsyZmdFX3o5SEhkdWNMUmxVQdIBmwJBVV95cUxNbDMzdk9NazQtQ1JMN2ViVUdzZDVtdmU5Xy1HMUpxbkxKZ2NKU1VpV2NjT3psdHNhMzVEVG8xQVZSMW4xVVVGMUZhNUM0NnRBM0M5NlNWalg5UWFEUktoYk1PZ2owZlZTOXBMaXZ0dkp5NmxhTzh0eGJjX29UczZVeUJ2M3RJenlQdnM5SUJnem1sNElhLUNvWE9oaURBcXN1ZllrQ0x5dnJnaVViRDRIUHlUYWd6Q292ODdWSmMybzNDYS1JYjZpd203ak5tZ0Y1OThkSkFweWlrMUtrenNxVm90LUZ2SXROdHdUSy1YUndvaGZNSEJBcU9BQmVWMXEzbkdiVkhha3VWVWp4dmYyM0FRZExZdWdYNGJV?oc=5"" target=""_blank"">Kalyani Developers: Redefining modern urban living with unmatched amenities and sustainability</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",2024-11-28 08:00:00,The Economic Times,https://news.google.com/rss/articles/CBMilgJBVV95cUxPRk84UHhscEdQUEFIWVZGY0E3MVpXY3pseTN6XzNBemRMWk9kWG9oSWJRUTdUMEI0MmZ4MmF4YkJfZzNDdlIzbkFXVkdIWm1nbE5sY2ROdXVaSk1PTGdnemJnOXVDWndzZ2dhelM3MUIyNllYWXV4MmUwRWVvN1dSSXpySkpUcGRjdUZrX2l4M2RTS1VGZ1hsSEMxTTB3ZUhZWFBLQTNkam0wNkhUcEFKbEVKS1VUUzRqREZyeVJicmI4czJJQU56SzFlWDJBN2VldVZCZi13RW1mdlVBS0ZFZGd2VVEzYUFTTVBCNDlFcUtKX1poQ0JUTVVYRTZkQU95MHhReUsyZmdFX3o5SEhkdWNMUmxVQdIBmwJBVV95cUxNbDMzdk9NazQtQ1JMN2ViVUdzZDVtdmU5Xy1HMUpxbkxKZ2NKU1VpV2NjT3psdHNhMzVEVG8xQVZSMW4xVVVGMUZhNUM0NnRBM0M5NlNWalg5UWFEUktoYk1PZ2owZlZTOXBMaXZ0dkp5NmxhTzh0eGJjX29UczZVeUJ2M3RJenlQdnM5SUJnem1sNElhLUNvWE9oaURBcXN1ZllrQ0x5dnJnaVViRDRIUHlUYWd6Q292ODdWSmMybzNDYS1JYjZpd203ak5tZ0Y1OThkSkFweWlrMUtrenNxVm90LUZ2SXROdHdUSy1YUndvaGZNSEJBcU9BQmVWMXEzbkdiVkhha3VWVWp4dmYyM0FRZExZdWdYNGJV?oc=5
KALYANI,Kalyani Commercials Limited,"Kalyani Comm Consolidated December 2021 Net Sales at Rs 63.27 crore, down 28.81% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxNM1BFUDUxaUpSRERsSDFmZ3piMUZfYTNrNHJQdjRmZnA1UUVjVVM4TG9Vbl9JUlV3bUVpNWFKamxiSjhHckFlX2RTbzFzd2VmckY4d2lmelN5YUZadVJpczFsS1pncUU2Z1dkSkg4VzQ0U21Oa1hhS3VoUURlYXlJRU45S0laRW9teHo5YmlVVkdPemh6NEE4RVhmWGtDVVJQRG9DZlcySTM2VHhMY09fNnZ0QkpHQUhLNENiMndWRVBqQVRYVXpZQkdUbVJXVUxGQ2VweHVIVXhycUVJdXhyRGxaMNIB6AFBVV95cUxPeXJtdXl5c01pUkYtS0plTWdtU21hNmNWOE1FcjlOa3VwSWFYd2czUE4wNXdVYXBPM0hMVzRKTFY3SnZzRUhYOXdIcXU3WHE4OHhRMzFnaFdCc2t1RXJjeU1kNnZOU0hiUmtPSXI3UjdKX1FHQmxoR1pLTmNNRUl6bFlET0w2S3hWbFcxNDFvR0V4SEhiaDk2WFBtSzFfaEdRRUM4UkVxSGtEdHNIMHRSQjBfaTU1WjVmNUJZcExFSHVObGFPc05YdjNDVHN2S1MwX3N4RS1KSUdZM1dPNzNGT1RlUUl5UVFC?oc=5"" target=""_blank"">Kalyani Comm Consolidated December 2021 Net Sales at Rs 63.27 crore, down 28.81% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2022-02-21 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi4wFBVV95cUxNM1BFUDUxaUpSRERsSDFmZ3piMUZfYTNrNHJQdjRmZnA1UUVjVVM4TG9Vbl9JUlV3bUVpNWFKamxiSjhHckFlX2RTbzFzd2VmckY4d2lmelN5YUZadVJpczFsS1pncUU2Z1dkSkg4VzQ0U21Oa1hhS3VoUURlYXlJRU45S0laRW9teHo5YmlVVkdPemh6NEE4RVhmWGtDVVJQRG9DZlcySTM2VHhMY09fNnZ0QkpHQUhLNENiMndWRVBqQVRYVXpZQkdUbVJXVUxGQ2VweHVIVXhycUVJdXhyRGxaMNIB6AFBVV95cUxPeXJtdXl5c01pUkYtS0plTWdtU21hNmNWOE1FcjlOa3VwSWFYd2czUE4wNXdVYXBPM0hMVzRKTFY3SnZzRUhYOXdIcXU3WHE4OHhRMzFnaFdCc2t1RXJjeU1kNnZOU0hiUmtPSXI3UjdKX1FHQmxoR1pLTmNNRUl6bFlET0w2S3hWbFcxNDFvR0V4SEhiaDk2WFBtSzFfaEdRRUM4UkVxSGtEdHNIMHRSQjBfaTU1WjVmNUJZcExFSHVObGFPc05YdjNDVHN2S1MwX3N4RS1KSUdZM1dPNzNGT1RlUUl5UVFC?oc=5
KALYANI,Kalyani Commercials Limited,"Kalyani Cast Tech IPO Day 3: Issue subscribed over 195 times so far; check latest GMP, other key things to know - Mint","<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxNRXQwNEQ1M0FjQTJ0WjRMb1BBMDV2STByM1FkaFpjQTZWVm9iZWpKU2htM3ZSSm1vQURLelNpa1Z5SkowSzQ2NVhDRTR4MnN5d1Fhc3d3SW96bzU2eS0wel9mc3NGWEgtTHkwUlRyanlLTUxVdGRFdUtSQmZmdDJVUzItYmNRN2NISzE5V3FER2FUWkx2Tkg5dGhfbl9YRjUtSnhUWmVQb3F5NmNqbUJZSnFzRGduNjF1TGx5V2pwbVJ3OWNCYzBTV1VsWml2TEw4MFIwcTVpT3FIQ3NSM1dFR2NzVXpJYTNSaThj0gHwAUFVX3lxTE9yN09vdDVjZjRMTl9jd21DdWhJaFNZdTA4ay1aQkZDM1pYRkdpRUVEdktqaFJLM0c3X1F2Z1dYVzlPOFNTa1BFSWlUZkU2dnAzekdKUjh1aG1MbzJGSlFVLVprWHRodDFZZE1yZmh1S2RQcDc4QVptaXUzRDlWVEY3OW1ZdTFjSkZjbU1yd1VoajFnLVpaNzF0eUNVQ1FYTXR2NFJoS0tDY2VRcWx1WG10azJ2OTlidTZmR0kyU2E2d00ySkxjSzBZYzd2NFliYXFiZkdHUHVVdjJOekJ1TnBwRTAxMThsc094OXMtbkpVbw?oc=5"" target=""_blank"">Kalyani Cast Tech IPO Day 3: Issue subscribed over 195 times so far; check latest GMP, other key things to know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2023-11-10 08:00:00,Mint,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNRXQwNEQ1M0FjQTJ0WjRMb1BBMDV2STByM1FkaFpjQTZWVm9iZWpKU2htM3ZSSm1vQURLelNpa1Z5SkowSzQ2NVhDRTR4MnN5d1Fhc3d3SW96bzU2eS0wel9mc3NGWEgtTHkwUlRyanlLTUxVdGRFdUtSQmZmdDJVUzItYmNRN2NISzE5V3FER2FUWkx2Tkg5dGhfbl9YRjUtSnhUWmVQb3F5NmNqbUJZSnFzRGduNjF1TGx5V2pwbVJ3OWNCYzBTV1VsWml2TEw4MFIwcTVpT3FIQ3NSM1dFR2NzVXpJYTNSaThj0gHwAUFVX3lxTE9yN09vdDVjZjRMTl9jd21DdWhJaFNZdTA4ay1aQkZDM1pYRkdpRUVEdktqaFJLM0c3X1F2Z1dYVzlPOFNTa1BFSWlUZkU2dnAzekdKUjh1aG1MbzJGSlFVLVprWHRodDFZZE1yZmh1S2RQcDc4QVptaXUzRDlWVEY3OW1ZdTFjSkZjbU1yd1VoajFnLVpaNzF0eUNVQ1FYTXR2NFJoS0tDY2VRcWx1WG10azJ2OTlidTZmR0kyU2E2d00ySkxjSzBZYzd2NFliYXFiZkdHUHVVdjJOekJ1TnBwRTAxMThsc094OXMtbkpVbw?oc=5
