scrip,company,headline,summary,published_date,source,url
LXCHEM,Laxmi Organic Industries Limited,Laxmi Organic Industries Limited (NSE:LXCHEM) Not Lagging Market On Growth Or Pricing - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxOWXAyVlI2Y0dwMkNWUFBucUo0QW02cDBxNmJCNzJaTGlwazQ0ZERTbnBkbmtUWTBZSloxVG5vR01xZHVlWG9nQWJkSGx6YjVfUHNXQ0RORW4xUW5MWTJsdGNoWmFuM2d2RW0yaHNuaXFvUXF5d2xXYkgzUl9HWHNzc1A4ZjZDQk93UTdBMWVGbGNGVjYyd0VralhVYkpkVXlWeDE5cVYyX04tOEdkTV9uTm1Wc0R0S0dPckRmNHItRW92QzI0NW00UzI1TVpVcGFrQzN3bmYxMTNQM19wLWRiY3dVOHTSAeoBQVVfeXFMUEFWZzhxY0hEQnI5ZzVLVWRxOVhWN0ZQSVJycktPMnQ5bU5UckdsQ0FaNXd5LXIwSk5CdGdDWTB4M0dPTXlzS2lkUHFldEtjV3UxZ2QtY0JHczdWTUpieXdyb0xZSDRpaGw4WVE3M2pQQmcyTVRiZ1haekpSTWZqRDVfQm4xRU42ZzZEZ1JZSHJMeUdYUFhuQk1lcHd2RG9HRWhxUVNxS2E5SWdyWjdtcDBhbTdVMEE5OEY3YmRBOTZYMkhjSDhHQk96QVA0aG1TRnUtVkVyREZWLXpzU1pIUWRhZWZxdEJpWFN3?oc=5"" target=""_blank"">Laxmi Organic Industries Limited (NSE:LXCHEM) Not Lagging Market On Growth Or Pricing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-11 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOWXAyVlI2Y0dwMkNWUFBucUo0QW02cDBxNmJCNzJaTGlwazQ0ZERTbnBkbmtUWTBZSloxVG5vR01xZHVlWG9nQWJkSGx6YjVfUHNXQ0RORW4xUW5MWTJsdGNoWmFuM2d2RW0yaHNuaXFvUXF5d2xXYkgzUl9HWHNzc1A4ZjZDQk93UTdBMWVGbGNGVjYyd0VralhVYkpkVXlWeDE5cVYyX04tOEdkTV9uTm1Wc0R0S0dPckRmNHItRW92QzI0NW00UzI1TVpVcGFrQzN3bmYxMTNQM19wLWRiY3dVOHTSAeoBQVVfeXFMUEFWZzhxY0hEQnI5ZzVLVWRxOVhWN0ZQSVJycktPMnQ5bU5UckdsQ0FaNXd5LXIwSk5CdGdDWTB4M0dPTXlzS2lkUHFldEtjV3UxZ2QtY0JHczdWTUpieXdyb0xZSDRpaGw4WVE3M2pQQmcyTVRiZ1haekpSTWZqRDVfQm4xRU42ZzZEZ1JZSHJMeUdYUFhuQk1lcHd2RG9HRWhxUVNxS2E5SWdyWjdtcDBhbTdVMEE5OEY3YmRBOTZYMkhjSDhHQk96QVA0aG1TRnUtVkVyREZWLXpzU1pIUWRhZWZxdEJpWFN3?oc=5
LXCHEM,Laxmi Organic Industries Limited,Laxmi Organic Declares ₹0.50 Dividend | AGM Set for July 31 - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxOc3NaSEJVUGFMWFdVZ1F5RFBNYXc3dE5BRDd2dldoMUlPQkdra2l5YVRTWEpjREtvNld0T3ZWTENLZ0FZWURfZ0pGclpCcjM4RjczVDlwXzk5QXhuY0x3dWFfWjBlY2NBakRVdHFOdHlqZU56WGxkdDBVUkg0OXpQeS16YXFVUQ?oc=5"" target=""_blank"">Laxmi Organic Declares ₹0.50 Dividend | AGM Set for July 31</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-06-17 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMihgFBVV95cUxOc3NaSEJVUGFMWFdVZ1F5RFBNYXc3dE5BRDd2dldoMUlPQkdra2l5YVRTWEpjREtvNld0T3ZWTENLZ0FZWURfZ0pGclpCcjM4RjczVDlwXzk5QXhuY0x3dWFfWjBlY2NBakRVdHFOdHlqZU56WGxkdDBVUkg0OXpQeS16YXFVUQ?oc=5
LXCHEM,Laxmi Organic Industries Limited,Laxmi Organic Industries Limited Recorded A 8.2% Miss On Revenue: Analysts Are Revisiting Their Models - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQQjd2a2RhR1J0dXZlNFNUWmF2bGl6b3RkTklGc3JTeDRlLUFhY1h5ODBjejVwZ2pZYThNbEVEdU1ub2RUVGp0S3pYTEV3ckxFd0t0YjZvVUtuWDNDdGZ1a3pRNVJVcjdhd096a2otR25XNkY2Q09HbUo3M3VubUNSZHNUS2dxUU9sMkQ5LXBRdERIRF9rekpsb1VEVmJRbzZ1QjRHOG9hblVBcllfcEdVRjBYcGlWbkQ1dTZ1bEYyVThhZkduZkNYVFJuYlB0d3NuMjhxSlRHeTlCR0w2SUptUnlMZzQ?oc=5"" target=""_blank"">Laxmi Organic Industries Limited Recorded A 8.2% Miss On Revenue: Analysts Are Revisiting Their Models</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-03 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQQjd2a2RhR1J0dXZlNFNUWmF2bGl6b3RkTklGc3JTeDRlLUFhY1h5ODBjejVwZ2pZYThNbEVEdU1ub2RUVGp0S3pYTEV3ckxFd0t0YjZvVUtuWDNDdGZ1a3pRNVJVcjdhd096a2otR25XNkY2Q09HbUo3M3VubUNSZHNUS2dxUU9sMkQ5LXBRdERIRF9rekpsb1VEVmJRbzZ1QjRHOG9hblVBcllfcEdVRjBYcGlWbkQ1dTZ1bEYyVThhZkduZkNYVFJuYlB0d3NuMjhxSlRHeTlCR0w2SUptUnlMZzQ?oc=5
LXCHEM,Laxmi Organic Industries Limited,LXCHEM Share Price | Laxmi Organic Industries Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTE1wYlZmSW40Mnp3NUNWTlRrWGJCV2thTmp4OTZvckp4OUpSZUpXT2I1Z0pmdGVDNW9UbW1yVHJvZkRaZndjbE9oc0VBdUNDWjlEb1g2bk1DbXA5TDVpbXlORl9qWk13SmlWTjFLQktOcGJKN2VnWmc?oc=5"" target=""_blank"">LXCHEM Share Price | Laxmi Organic Industries Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-06-21 01:37:23,Markets Mojo,https://news.google.com/rss/articles/CBMidkFVX3lxTE1wYlZmSW40Mnp3NUNWTlRrWGJCV2thTmp4OTZvckp4OUpSZUpXT2I1Z0pmdGVDNW9UbW1yVHJvZkRaZndjbE9oc0VBdUNDWjlEb1g2bk1DbXA5TDVpbXlORl9qWk13SmlWTjFLQktOcGJKN2VnWmc?oc=5
LXCHEM,Laxmi Organic Industries Limited,Laxmi Organic Industries Limited (NSE:LXCHEM) Is Going Strong But Fundamentals Appear To Be Mixed : Is There A Clear Direction For The Stock? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPN3JPNlFBcEYtNnVXNDVCRHFGeVNCUlQwSG45eGZTQTVjbGNGTi1TelVySXdBY3Vzbnp5RjZGZHFpQmZ1Qm1TbUJfMVp0eFBYLV9Fa2pEcHU0Q3k1ZHdfT1VpRmM0cV9fRTQyZHozckFpdEhXakNpcVZSWkZJTTBtQ1N5RnZmRWFmeUpMS1B5YWl4TjNTelJRVDl6SndYQnhhVXM1RDV4TUh1bjRfWHJpS0dxV2t4bDZYN2Jvb3pSeFV1c2lya1d4TzZPOWw0M1ZNOEpWdF9PZ2ZYbDZpeFY5X0xocFU?oc=5"" target=""_blank"">Laxmi Organic Industries Limited (NSE:LXCHEM) Is Going Strong But Fundamentals Appear To Be Mixed : Is There A Clear Direction For The Stock?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-16 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPN3JPNlFBcEYtNnVXNDVCRHFGeVNCUlQwSG45eGZTQTVjbGNGTi1TelVySXdBY3Vzbnp5RjZGZHFpQmZ1Qm1TbUJfMVp0eFBYLV9Fa2pEcHU0Q3k1ZHdfT1VpRmM0cV9fRTQyZHozckFpdEhXakNpcVZSWkZJTTBtQ1N5RnZmRWFmeUpMS1B5YWl4TjNTelJRVDl6SndYQnhhVXM1RDV4TUh1bjRfWHJpS0dxV2t4bDZYN2Jvb3pSeFV1c2lya1d4TzZPOWw0M1ZNOEpWdF9PZ2ZYbDZpeFY5X0xocFU?oc=5
LXCHEM,Laxmi Organic Industries Limited,LXCHEM Forecast — Price Target — Prediction for 2027 - TradingView,"<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE4wakdXOF9pbkdfTl9XR0E4N3BPaTAzZW8zV2VZUE1YZjZhdmxnVjI0R3F2V1lnYTJpeXRON29YQUJyZTZ1MENuMkd1bm05ZEJwZEZZbFdtTWZmSnNLVUx3NnhySU5YZHc?oc=5"" target=""_blank"">LXCHEM Forecast — Price Target — Prediction for 2027</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2022-09-01 03:03:09,TradingView,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE4wakdXOF9pbkdfTl9XR0E4N3BPaTAzZW8zV2VZUE1YZjZhdmxnVjI0R3F2V1lnYTJpeXRON29YQUJyZTZ1MENuMkd1bm05ZEJwZEZZbFdtTWZmSnNLVUx3NnhySU5YZHc?oc=5
LXCHEM,Laxmi Organic Industries Limited,Laxmi Organic Industries (NSE:LXCHEM) Has Announced That Its Dividend Will Be Reduced To ₹0.50 - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxOTzJRNlk3bUhDMzEtOEFHSWVYWkVLNHEzNXF4d3ZoSW4xUnQ5SlYtRUY2Z3JZamtBUVRpWktva2U4amgzOG5jYlRzVzVXMWY1RUd3VVo5ZjZmUjJMSnk1MUJoRHNzQXNUMU9wR3FJSGJ2ZmdYVTRRcXBBYkV5QXQ4V1EtRktLZE40M29nMGN6VnNIQnFOWTRiVkZkdTdNRG55SVFmeWRQMnBVdGVhTUtBY0JJRXFrWV8waVVRTldNSElBM1E2aE9aY0dYcWp2MXdhbExQcTBJbmNfdzBCaVNzY3diZWQ?oc=5"" target=""_blank"">Laxmi Organic Industries (NSE:LXCHEM) Has Announced That Its Dividend Will Be Reduced To ₹0.50</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-11 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOTzJRNlk3bUhDMzEtOEFHSWVYWkVLNHEzNXF4d3ZoSW4xUnQ5SlYtRUY2Z3JZamtBUVRpWktva2U4amgzOG5jYlRzVzVXMWY1RUd3VVo5ZjZmUjJMSnk1MUJoRHNzQXNUMU9wR3FJSGJ2ZmdYVTRRcXBBYkV5QXQ4V1EtRktLZE40M29nMGN6VnNIQnFOWTRiVkZkdTdNRG55SVFmeWRQMnBVdGVhTUtBY0JJRXFrWV8waVVRTldNSElBM1E2aE9aY0dYcWp2MXdhbExQcTBJbmNfdzBCaVNzY3diZWQ?oc=5
LXCHEM,Laxmi Organic Industries Limited,Laxmi Organic Industries shares soar 13% as company raises Rs 259 crore via QIP - Business Today,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxNWnowMVdEZjJWM1JwYW96QWFXeFVGeFFsVXNPejljR2tBZWNNLUNjNlNuVm5Qb05RZzdPWmJ3V0J1c3ZiX2lnNVVYRU0zbjlXNzdOdTVlSG9WMjZmdldiV2VvMF9YdnEycmF2SGZTNWhqVU9CVG85VHNuNUxmYWlnRXlSV1p0MVN4Z0NJMi1xY0NhTlVpdUJoYXZhUVE0UzJQYkpPYTRYdE92N3BGdEJnWDNWLVBWOTI2ekNiWHBxWXdlSFFPRXItaTJhc2k4STRkNGVaNWExc0FSWVd1cXl0UThMeVVIZzNX0gHuAUFVX3lxTE44b1lBaGp0aFlyMVRuclg4SW43VXhETVlCdXNHVDNEREl6a3hTQW1ENG5hSjlyemRBaElmQkI3MFdfQ2piSU5GRVBSeWdwdXJhSlFaM2tEQklRc0J5Q3Fua0pYU1E4Qk5DVU9EbzE0bjNPNjA4c01EMGpkSWJMcXFwb2Z4ZDhKMktjYXBfNURrZXNpQUx0QVl2dy1fb2VTV0J2ZUFVbmp0T05BTDVNMHAwODQ4RHltcWdLbmJMNVZ2SzFqY20xaHRhYXdUM1pQSVZrZnJCbjVEMEI2SWdmdjdfdFc1U1l4cmlIQm5GdUE?oc=5"" target=""_blank"">Laxmi Organic Industries shares soar 13% as company raises Rs 259 crore via QIP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2023-10-11 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNWnowMVdEZjJWM1JwYW96QWFXeFVGeFFsVXNPejljR2tBZWNNLUNjNlNuVm5Qb05RZzdPWmJ3V0J1c3ZiX2lnNVVYRU0zbjlXNzdOdTVlSG9WMjZmdldiV2VvMF9YdnEycmF2SGZTNWhqVU9CVG85VHNuNUxmYWlnRXlSV1p0MVN4Z0NJMi1xY0NhTlVpdUJoYXZhUVE0UzJQYkpPYTRYdE92N3BGdEJnWDNWLVBWOTI2ekNiWHBxWXdlSFFPRXItaTJhc2k4STRkNGVaNWExc0FSWVd1cXl0UThMeVVIZzNX0gHuAUFVX3lxTE44b1lBaGp0aFlyMVRuclg4SW43VXhETVlCdXNHVDNEREl6a3hTQW1ENG5hSjlyemRBaElmQkI3MFdfQ2piSU5GRVBSeWdwdXJhSlFaM2tEQklRc0J5Q3Fua0pYU1E4Qk5DVU9EbzE0bjNPNjA4c01EMGpkSWJMcXFwb2Z4ZDhKMktjYXBfNURrZXNpQUx0QVl2dy1fb2VTV0J2ZUFVbmp0T05BTDVNMHAwODQ4RHltcWdLbmJMNVZ2SzFqY20xaHRhYXdUM1pQSVZrZnJCbjVEMEI2SWdmdjdfdFc1U1l4cmlIQm5GdUE?oc=5
LXCHEM,Laxmi Organic Industries Limited,Laxmi Organic Industries' (NSE:LXCHEM) Weak Earnings May Only Reveal A Part Of The Whole Picture - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQZWg5SThQR2dKS0dJTGhrQjNUWVMza19SV0R2emlya0NkUTRSS0J4V3drWkFHbGdBUHhkR29jb213Y1lTRDNpa3daYkRPd3FJUnJPSVM5djhBVmlDajI2RHdUSE1OUkU0RDNhZmt4Qk9TOVZZNkJuRjNNczJMX0NPMEo1ZjAzSExtaEdrTE10cmFvdEFxR3ItaWVJUWhqR1UybkgtU1k0b2w1M25Ody01QWt6QTk0SVpNQXQzbEkxWVZxcmFvYTVmRi1RMTR3UUFxQVFtT3JxSzBFOXE1dG1Ea3hTUEzSAeoBQVVfeXFMTU9MckpQX0xwU012eS1UMWs0dG9MeGp6WktaUl9PcGowNFNmOWExLUZ5SExnN0c0dU9OUzFWb2Zfb2NQalY2Wld3Vmk2M2lMTnFicW4xM3lsQk5tdDVJZ180LUpNOGpVSm9IQ2lmSHl3YUl1Y0N2R3FpMUVZcUlzYWdJMzNVV3JCRUNRSVNMTGV4QXh1cFFuOVJ5SnJoNVlyeFdhcWdYV1BiYWRtX2Zidk1nZUEydTBFaGQ5Y0V3ZVVFWFh4VDN1OVQwVGJucjh1d1oxUVdpTERHdFVLNktZRzZWVmJiU2FKbVhn?oc=5"" target=""_blank"">Laxmi Organic Industries' (NSE:LXCHEM) Weak Earnings May Only Reveal A Part Of The Whole Picture</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-28 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQZWg5SThQR2dKS0dJTGhrQjNUWVMza19SV0R2emlya0NkUTRSS0J4V3drWkFHbGdBUHhkR29jb213Y1lTRDNpa3daYkRPd3FJUnJPSVM5djhBVmlDajI2RHdUSE1OUkU0RDNhZmt4Qk9TOVZZNkJuRjNNczJMX0NPMEo1ZjAzSExtaEdrTE10cmFvdEFxR3ItaWVJUWhqR1UybkgtU1k0b2w1M25Ody01QWt6QTk0SVpNQXQzbEkxWVZxcmFvYTVmRi1RMTR3UUFxQVFtT3JxSzBFOXE1dG1Ea3hTUEzSAeoBQVVfeXFMTU9MckpQX0xwU012eS1UMWs0dG9MeGp6WktaUl9PcGowNFNmOWExLUZ5SExnN0c0dU9OUzFWb2Zfb2NQalY2Wld3Vmk2M2lMTnFicW4xM3lsQk5tdDVJZ180LUpNOGpVSm9IQ2lmSHl3YUl1Y0N2R3FpMUVZcUlzYWdJMzNVV3JCRUNRSVNMTGV4QXh1cFFuOVJ5SnJoNVlyeFdhcWdYV1BiYWRtX2Zidk1nZUEydTBFaGQ5Y0V3ZVVFWFh4VDN1OVQwVGJucjh1d1oxUVdpTERHdFVLNktZRzZWVmJiU2FKbVhn?oc=5
LXCHEM,Laxmi Organic Industries Limited,Laxmi Organic surges 5% on healthy Q3 show; operating profit zooms 59% YoY - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxPLWFBZDdaUmdzS094TllVS21iNnZJNV9DMFBjUFdTTjdXR2RMZFdMVDVsbzRaYVZVQnlZbFF2RDBDZnZDM2tETVI0NmV5bDhzc2VDVklOMVp5dGkxT2hyY0ZJQjJiYkkxVDlhRDhQY05uSlhOMThRd2preGsyNTZtMnhvWVl6dmVVMGdUVUx6WG9iRng0VjVnaThBdk1EbGtWdEU4ZWt5RVgzVXVvTlVwdXV1dzhKdGxKYmw0TTJ6Uzg2ZUY4OGViaDQ4Ml9ITUd3YTVzcNIB2gFBVV95cUxQTWdhbmZVa2UtbHpZQ2g5U294M3pXcUNCazVSQTV6RTVPaHo2WlJ1ZEoyOXRaYUJNYkVtMHpYU05Nek45YktUeEQ5THUtaEh0Mk5OX0RWQ2tFd2NkM0ZvbHlfc0F3NVBaZ1E2UzhEdzV6TFdWZzFNbzZ3Zlk5Wjd0WS1iYkVrWE1Ybm5FQWZ0bERuNV9sSWhRdXU2eWtDZ1J0WHRsXzRURUJydHJRODlUZ2FZRURoeFpHbU5tYjliOG9DUzZHZG5mZjZFMjR2UnA4eVkzTVJYaU1KZw?oc=5"" target=""_blank"">Laxmi Organic surges 5% on healthy Q3 show; operating profit zooms 59% YoY</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-01-23 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPLWFBZDdaUmdzS094TllVS21iNnZJNV9DMFBjUFdTTjdXR2RMZFdMVDVsbzRaYVZVQnlZbFF2RDBDZnZDM2tETVI0NmV5bDhzc2VDVklOMVp5dGkxT2hyY0ZJQjJiYkkxVDlhRDhQY05uSlhOMThRd2preGsyNTZtMnhvWVl6dmVVMGdUVUx6WG9iRng0VjVnaThBdk1EbGtWdEU4ZWt5RVgzVXVvTlVwdXV1dzhKdGxKYmw0TTJ6Uzg2ZUY4OGViaDQ4Ml9ITUd3YTVzcNIB2gFBVV95cUxQTWdhbmZVa2UtbHpZQ2g5U294M3pXcUNCazVSQTV6RTVPaHo2WlJ1ZEoyOXRaYUJNYkVtMHpYU05Nek45YktUeEQ5THUtaEh0Mk5OX0RWQ2tFd2NkM0ZvbHlfc0F3NVBaZ1E2UzhEdzV6TFdWZzFNbzZ3Zlk5Wjd0WS1iYkVrWE1Ybm5FQWZ0bERuNV9sSWhRdXU2eWtDZ1J0WHRsXzRURUJydHJRODlUZ2FZRURoeFpHbU5tYjliOG9DUzZHZG5mZjZFMjR2UnA4eVkzTVJYaU1KZw?oc=5
