scrip,company,headline,summary,published_date,source,url
LYKALABS,Lyka Labs Limited,Are Lyka Labs Limited's (NSE:LYKALABS) Fundamentals Good Enough to Warrant Buying Given The Stock's Recent Weakness? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNdC1UaHlFQlo4NmgxTmdVWTdwMllEQzVYX29Kc0hBYWFwNEk5SG16aHhQbEIxTy1BUUV2Ri12d2t2aXZ6dkV0MmJBNVI1X0toNE9GRFFlaGdtZldJRC1WbnMzZ1FwMlU1N1h0ZzdsX1F0SThKa0l5Q3haVm05UlVVN1EwZHJjcURJbWF4SUFndjllazR3U0wzMVdnbEVkelowUWdLLUZQXzVCNWxpRDA2NTFINnF4MHZfS0ZFdW5HU1VZNnkxamVaTkpYcjM3VXdRNG0zX1dZb0UtaVd0R3FHS2VCSVE?oc=5"" target=""_blank"">Are Lyka Labs Limited's (NSE:LYKALABS) Fundamentals Good Enough to Warrant Buying Given The Stock's Recent Weakness?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-19 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNdC1UaHlFQlo4NmgxTmdVWTdwMllEQzVYX29Kc0hBYWFwNEk5SG16aHhQbEIxTy1BUUV2Ri12d2t2aXZ6dkV0MmJBNVI1X0toNE9GRFFlaGdtZldJRC1WbnMzZ1FwMlU1N1h0ZzdsX1F0SThKa0l5Q3haVm05UlVVN1EwZHJjcURJbWF4SUFndjllazR3U0wzMVdnbEVkelowUWdLLUZQXzVCNWxpRDA2NTFINnF4MHZfS0ZFdW5HU1VZNnkxamVaTkpYcjM3VXdRNG0zX1dZb0UtaVd0R3FHS2VCSVE?oc=5
LYKALABS,Lyka Labs Limited,Lyka Labs Reports Net Loss of Rs 362.68 Lakhs in Q2 FY26 - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxNUk9CVklTWTM5ZklZNGtPUE0zTEYwd3M2RzRsM1NkWnJZU3VUVnp5Q1FNbVdnaFZGaW8yWWYwU2oyd0pJRUJhNVA3cGtiRzJqRVUwUFh5RDBZVGxKRHdOUExqb2VXOGdvaXpTVDJTeTRvWmFsZDJmcmswamJlM1Y4N3JPc0t2RkRFMHc5b0ZQYjcya0tsUklfak1neFNzUFFVYnhZeTNwYkVwbTEzVnA4QV9B?oc=5"" target=""_blank"">Lyka Labs Reports Net Loss of Rs 362.68 Lakhs in Q2 FY26</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-12 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMisgFBVV95cUxNUk9CVklTWTM5ZklZNGtPUE0zTEYwd3M2RzRsM1NkWnJZU3VUVnp5Q1FNbVdnaFZGaW8yWWYwU2oyd0pJRUJhNVA3cGtiRzJqRVUwUFh5RDBZVGxKRHdOUExqb2VXOGdvaXpTVDJTeTRvWmFsZDJmcmswamJlM1Y4N3JPc0t2RkRFMHc5b0ZQYjcya0tsUklfak1neFNzUFFVYnhZeTNwYkVwbTEzVnA4QV9B?oc=5
LYKALABS,Lyka Labs Limited,"NCLT Reserves Order on Lyka Labs-Lyka Exports Merger, Signals No Objection - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNc1llMGRMOXJEdjhmTFRBUXpSRTNsdlVuMFJSQ1dBV1hGVlJ0ck52NDZfWlpTeTJoV25NRVRKYlNXeDdrT01rR2k1Q1d4ZmxBaVpyX3VPTUpDZGhSLVREbVFRQi03cDVQN3dabmFrTEgxR0VDTzYtWHVmaF8wdkVCeVdycUhHcnRtYkwtb1haa0VyUXlvUG0weEZMSHJlTnNXNl9Xd3RYYUdWaEdpNWRpQWNzSnMwVmY1NnJjZUpQdm9WY3MtR3BsN2VQOFp0LTEyM1lXSg?oc=5"" target=""_blank"">NCLT Reserves Order on Lyka Labs-Lyka Exports Merger, Signals No Objection</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-08-08 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNc1llMGRMOXJEdjhmTFRBUXpSRTNsdlVuMFJSQ1dBV1hGVlJ0ck52NDZfWlpTeTJoV25NRVRKYlNXeDdrT01rR2k1Q1d4ZmxBaVpyX3VPTUpDZGhSLVREbVFRQi03cDVQN3dabmFrTEgxR0VDTzYtWHVmaF8wdkVCeVdycUhHcnRtYkwtb1haa0VyUXlvUG0weEZMSHJlTnNXNl9Xd3RYYUdWaEdpNWRpQWNzSnMwVmY1NnJjZUpQdm9WY3MtR3BsN2VQOFp0LTEyM1lXSg?oc=5
LYKALABS,Lyka Labs Limited,LYKALABS Share Price | Lyka Labs Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTE13dVd0ZEtyTWZHQ3pheHFVZ1B4ckNvQzgtZnd2cGROTFJlbzRiX2w0YUJqSm5lSVBrYVVwYVBkQ0g4bUpkVUhNczcyRWR5SmRtMkRZZGZ0QW85TUxKYUFjekxOUXo0ZmVMRHVhRGNUbw?oc=5"" target=""_blank"">LYKALABS Share Price | Lyka Labs Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-02-16 11:33:11,Markets Mojo,https://news.google.com/rss/articles/CBMib0FVX3lxTE13dVd0ZEtyTWZHQ3pheHFVZ1B4ckNvQzgtZnd2cGROTFJlbzRiX2w0YUJqSm5lSVBrYVVwYVBkQ0g4bUpkVUhNczcyRWR5SmRtMkRZZGZ0QW85TUxKYUFjekxOUXo0ZmVMRHVhRGNUbw?oc=5
LYKALABS,Lyka Labs Limited,NCLT Reserves Order on Lyka Labs Amalgamation Case After Income Tax Department Clearance - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxOY0hnR0NXU3ljeExHUUNadFR0bm1EVHU2Z01ERkFjX1NEbG1SYjNPbmdkZjJnQkN4SkxPTF9Zc1k5bVNVTkpWbi1kTjNIWGZIZFUyb1J3S3Q4T0IwdkpHLWxzaWV3ZVhDU0lpTmpqN1ZaaUhzUEhpZHA2N1dyOFRRUFpWczdWQ2RKQmVmdjZNVENzbnNDYk5SanMzSWl5MTNzNGJFaDNBUVlFWnp6ZmtaSWtXdkduc2JzbWwzMXVFeVRIb09qMXk0Y192STBoRUVuT1RCd2o4RThZdTRabWd6bmJJVzc?oc=5"" target=""_blank"">NCLT Reserves Order on Lyka Labs Amalgamation Case After Income Tax Department Clearance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-08 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOY0hnR0NXU3ljeExHUUNadFR0bm1EVHU2Z01ERkFjX1NEbG1SYjNPbmdkZjJnQkN4SkxPTF9Zc1k5bVNVTkpWbi1kTjNIWGZIZFUyb1J3S3Q4T0IwdkpHLWxzaWV3ZVhDU0lpTmpqN1ZaaUhzUEhpZHA2N1dyOFRRUFpWczdWQ2RKQmVmdjZNVENzbnNDYk5SanMzSWl5MTNzNGJFaDNBUVlFWnp6ZmtaSWtXdkduc2JzbWwzMXVFeVRIb09qMXk0Y192STBoRUVuT1RCd2o4RThZdTRabWd6bmJJVzc?oc=5
LYKALABS,Lyka Labs Limited,Lyka Labs Says NCLT Reserves Order on Amalgamation Scheme After FEMA Compliance Filing - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxPRy1IWl8tdW9PUnBlTGJQQ1hHZjl5V1RvNklzajhSWTdSRjBIN253T3ktaFVzdTYzQnA5Q3E5RS1yZTZIU2ktWnNSc1dVQmhPRFBRNGxKbUQ2TlE4MnJpUDYzTFJJaE83REttN1l4MU1EV1dJVDZ1NzBkemg5TWVSQnhBVDJhdVpfUlNjWG5zeXUtcXhROWViLU9FY21obDFVbXF0SUFxVWVpei1fQjY1QzJNdkllbHlNalNpcGZhNDlLUTdzaXg1REU2bVBLVFZwMDZNNg?oc=5"" target=""_blank"">Lyka Labs Says NCLT Reserves Order on Amalgamation Scheme After FEMA Compliance Filing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2026-02-20 08:00:00,TipRanks,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPRy1IWl8tdW9PUnBlTGJQQ1hHZjl5V1RvNklzajhSWTdSRjBIN253T3ktaFVzdTYzQnA5Q3E5RS1yZTZIU2ktWnNSc1dVQmhPRFBRNGxKbUQ2TlE4MnJpUDYzTFJJaE83REttN1l4MU1EV1dJVDZ1NzBkemg5TWVSQnhBVDJhdVpfUlNjWG5zeXUtcXhROWViLU9FY21obDFVbXF0SUFxVWVpei1fQjY1QzJNdkllbHlNalNpcGZhNDlLUTdzaXg1REU2bVBLVFZwMDZNNg?oc=5
LYKALABS,Lyka Labs Limited,Lyka Labs' Amalgamation with Lyka Exports Faces Delay as NCLT Seeks Income Tax Report - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPaHp1Wnlid25BX0ctWXN4bjlLbnBkdGt5RUhURTczMExLZG40eEZiVmppdzF6a2pQYXNBbmQ0TVQ5cTZKRWJZVm1jMHRqVFRlRTROaXdyNFpESDNORkUxWjNVd0VNS3JBYzhJV1FCM0xRLVRoUEh3VVR6dUVBYkM3bHlfUkVPalZYcGIxc2JRaF9Kak5RRWpCMEx0QkFKVm1LNnZGbG5kUk1uRmVpd2x0MTViRWpvUWxoZ0d1Rm93aEotTnpENG1qaWl3RzdPamdFQW9WMlY2UUNzT2hmQnVIcFhBVQ?oc=5"" target=""_blank"">Lyka Labs' Amalgamation with Lyka Exports Faces Delay as NCLT Seeks Income Tax Report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-09-18 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPaHp1Wnlid25BX0ctWXN4bjlLbnBkdGt5RUhURTczMExLZG40eEZiVmppdzF6a2pQYXNBbmQ0TVQ5cTZKRWJZVm1jMHRqVFRlRTROaXdyNFpESDNORkUxWjNVd0VNS3JBYzhJV1FCM0xRLVRoUEh3VVR6dUVBYkM3bHlfUkVPalZYcGIxc2JRaF9Kak5RRWpCMEx0QkFKVm1LNnZGbG5kUk1uRmVpd2x0MTViRWpvUWxoZ0d1Rm93aEotTnpENG1qaWl3RzdPamdFQW9WMlY2UUNzT2hmQnVIcFhBVQ?oc=5
LYKALABS,Lyka Labs Limited,Lyka Labs' Amalgamation Case: Income Tax Department Granted 15-Day Extension for Reply - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxNSVJvazJYQ2Y3bFBPZ082ZmY1LW5jVFNGODh4dlFiYmd5SHd6RmdBb0hFUXZsNUZsVG1MXzNtSkNqWlBPVHV3RkdUdUVFbTJOS2p0Smh1TDkyaTJDQkFaM0xMb3pzN2hQLXhoRVpQMTA4VDdFZ1lteEJ6Y2RLWlJUc3NhUkVqZGRDYUhNbENsY0RoUjJRWUh3QUFXRk1xYWw0dmFRT1BMZnBhTmk1Z1d4cGdOVjhBYzVnRVI0WlV4d1V3SjdzaTVHbWc0YjJOQUZqR2pyNmh3aHppbndkdWtaT3A0SQ?oc=5"" target=""_blank"">Lyka Labs' Amalgamation Case: Income Tax Department Granted 15-Day Extension for Reply</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-11 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi4wFBVV95cUxNSVJvazJYQ2Y3bFBPZ082ZmY1LW5jVFNGODh4dlFiYmd5SHd6RmdBb0hFUXZsNUZsVG1MXzNtSkNqWlBPVHV3RkdUdUVFbTJOS2p0Smh1TDkyaTJDQkFaM0xMb3pzN2hQLXhoRVpQMTA4VDdFZ1lteEJ6Y2RLWlJUc3NhUkVqZGRDYUhNbENsY0RoUjJRWUh3QUFXRk1xYWw0dmFRT1BMZnBhTmk1Z1d4cGdOVjhBYzVnRVI0WlV4d1V3SjdzaTVHbWc0YjJOQUZqR2pyNmh3aHppbndkdWtaT3A0SQ?oc=5
LYKALABS,Lyka Labs Limited,Kunal Gandhi Boosts Stake in Lyka Labs Through 4.08% Share Acquisition - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNWnEwaXJBZ050YzRSYWd3b21Zc3RfaDdQUTJCeE92aC10ZXh3X3NzelB3X2hwb0N0R2phNW9kVWN2bDhBUVpFcC1rWmplTzBtcnBMTm53eDdmZ2YxcVdhU1hxWnpEU2J4RmJJZHpOVy1keFFCaVAtRldEcFUwZlQ3dGYtT092VFNMV1ZtMGo3dFFiNVNwVmNCc1AwWnlEUDlCM0ZBOXd5eUxOT1JMVi1PTXA0S3hKZkZJQWIyd1pfYmg?oc=5"" target=""_blank"">Kunal Gandhi Boosts Stake in Lyka Labs Through 4.08% Share Acquisition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-29 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNWnEwaXJBZ050YzRSYWd3b21Zc3RfaDdQUTJCeE92aC10ZXh3X3NzelB3X2hwb0N0R2phNW9kVWN2bDhBUVpFcC1rWmplTzBtcnBMTm53eDdmZ2YxcVdhU1hxWnpEU2J4RmJJZHpOVy1keFFCaVAtRldEcFUwZlQ3dGYtT092VFNMV1ZtMGo3dFFiNVNwVmNCc1AwWnlEUDlCM0ZBOXd5eUxOT1JMVi1PTXA0S3hKZkZJQWIyd1pfYmg?oc=5
LYKALABS,Lyka Labs Limited,Lyka Labs Shares Soar 7% on CDSCO Approval for Drug - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxNUFowYUl1SmViV005T3drd19majEwb29ObkUtLUdfR3BQTUdDWks0NlhCalA5WHAzdW5Eb2VnM1Bvc0tCdlI4RG5DbGFrYTNGa0RvMWpnWHJnMGdOaXNIaTcwaHZNSFMydzJRemlkWW9HM0h1SE15Q2dQWUtWR0cwQThQU0ZlQk0?oc=5"" target=""_blank"">Lyka Labs Shares Soar 7% on CDSCO Approval for Drug</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2024-10-15 07:00:00,Equitypandit,https://news.google.com/rss/articles/CBMihwFBVV95cUxNUFowYUl1SmViV005T3drd19majEwb29ObkUtLUdfR3BQTUdDWks0NlhCalA5WHAzdW5Eb2VnM1Bvc0tCdlI4RG5DbGFrYTNGa0RvMWpnWHJnMGdOaXNIaTcwaHZNSFMydzJRemlkWW9HM0h1SE15Q2dQWUtWR0cwQThQU0ZlQk0?oc=5
