scrip,company,headline,summary,published_date,source,url
MAHABANK,Bank of Maharashtra,"Bank of Maharashtra (NSE:MAHABANK) most popular amongst state or government who own 74% of the shares, institutions hold 16% - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPNXlLek1uWUs4NnZDekw5NV9FSnJDUlZ1bW1qazU0WDBHWWFWeDhwNGc5UFRMNnR5a2lJTEMwN2Q5a2VjNFcweGZ6WXMwWFdTVGg4RjlwTG16WDlDa0lwS3VGWm91RXZ6MzRuWExWQlppbE9obzZEMVl0dzctWllIUmVmSGdzdms3MnpSX2VZZ1BjYWx0S3IxUnVSMkM2QTlkbXpSbzk1WjlidDVwRmlBQUVIaGF3RTlNbTVndDZwWmNVb2EzU2NnWmlWYWxCUEI5bUFqdnFoMGZQNUnSAeABQVVfeXFMUHVZOHNRWTZURU5BT1NkZF9GbS0zNkJxRHpUNlJoa21vdXJzTjRBRkJVem1fWUNYUGpTeHVkTkZxZlNhOFJCZ2hVSmtwZTBJMlU5aDkydXJSQmVOYjJCRlNacE81enpsRTZhZEtubkg5WVJ6U040Mnlyc3BVem1VZE1MMDFsMnpYc0xGZG5YVGh3MVVac3k0YUQ0TWVPT3lXOFZHdWtIcHNPMEVwdFhRWEt1SG9lMWJDa0JVLUlXM09MODFxS2c3TVVnTF9NYTdfTkhFc3hrekR5MG1YeUY0czU?oc=5"" target=""_blank"">Bank of Maharashtra (NSE:MAHABANK) most popular amongst state or government who own 74% of the shares, institutions hold 16%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-13 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPNXlLek1uWUs4NnZDekw5NV9FSnJDUlZ1bW1qazU0WDBHWWFWeDhwNGc5UFRMNnR5a2lJTEMwN2Q5a2VjNFcweGZ6WXMwWFdTVGg4RjlwTG16WDlDa0lwS3VGWm91RXZ6MzRuWExWQlppbE9obzZEMVl0dzctWllIUmVmSGdzdms3MnpSX2VZZ1BjYWx0S3IxUnVSMkM2QTlkbXpSbzk1WjlidDVwRmlBQUVIaGF3RTlNbTVndDZwWmNVb2EzU2NnWmlWYWxCUEI5bUFqdnFoMGZQNUnSAeABQVVfeXFMUHVZOHNRWTZURU5BT1NkZF9GbS0zNkJxRHpUNlJoa21vdXJzTjRBRkJVem1fWUNYUGpTeHVkTkZxZlNhOFJCZ2hVSmtwZTBJMlU5aDkydXJSQmVOYjJCRlNacE81enpsRTZhZEtubkg5WVJ6U040Mnlyc3BVem1VZE1MMDFsMnpYc0xGZG5YVGh3MVVac3k0YUQ0TWVPT3lXOFZHdWtIcHNPMEVwdFhRWEt1SG9lMWJDa0JVLUlXM09MODFxS2c3TVVnTF9NYTdfTkhFc3hrekR5MG1YeUY0czU?oc=5
MAHABANK,Bank of Maharashtra,Is Bank of Maharashtra a good PSU bank stock to buy? YES Securities answers - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxOd0pNdUppVExLUjExWWQ1ODkyN2ZjdllIczczSWR2LW5ERGx6d1BHdjNMeXN2ZXdCOXYzaFg5eXc2NEl4RXBTQkJTSkpmSTVxMmYxdWJaMHQ2TUVxYmE4b2xINU9CSy0zRER2OVJqZTMza0VmSl9PRHpmWVRKU3VIcTd4U0NGeWVob3ZBS1QzTk1JT3cyWktkRXlRcUFtSU5tUk43a2ZtNkpsQUZDQ1gtOXJTZU5wTzlwSGZ4b0NUVXNQZlJsR1U5NG1DalNObHJzeGN3ZmNZaznSAd4BQVVfeXFMUG0tZDB2OHpPZ1lFcGFkalMxS3JuMTlUaFJObUdVbkd0TlFXU2E3X2FJaTZiTE5qZ2FRM2kwbnNkeGhkYVh3V0hpaW5MbFhVd2dOMmRjeFRBX0J0WmZFTU43Z3R5dE9ybVNqdkVtMnpkdE14Sy1xN0RITmxzRlFIWjFVOG9sZ2hHLV9yRTRzWVlHUktlYUxLU0ZkaFZRM05OU3o1TmdlY0RtbUNkWUtIVktlVEhlelJQMlFTMmtab1VIWGoxLXFXYmpreGNZR2xwZVZpNWdaaXZhMXdqNlJB?oc=5"" target=""_blank"">Is Bank of Maharashtra a good PSU bank stock to buy? YES Securities answers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-12-03 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOd0pNdUppVExLUjExWWQ1ODkyN2ZjdllIczczSWR2LW5ERGx6d1BHdjNMeXN2ZXdCOXYzaFg5eXc2NEl4RXBTQkJTSkpmSTVxMmYxdWJaMHQ2TUVxYmE4b2xINU9CSy0zRER2OVJqZTMza0VmSl9PRHpmWVRKU3VIcTd4U0NGeWVob3ZBS1QzTk1JT3cyWktkRXlRcUFtSU5tUk43a2ZtNkpsQUZDQ1gtOXJTZU5wTzlwSGZ4b0NUVXNQZlJsR1U5NG1DalNObHJzeGN3ZmNZaznSAd4BQVVfeXFMUG0tZDB2OHpPZ1lFcGFkalMxS3JuMTlUaFJObUdVbkd0TlFXU2E3X2FJaTZiTE5qZ2FRM2kwbnNkeGhkYVh3V0hpaW5MbFhVd2dOMmRjeFRBX0J0WmZFTU43Z3R5dE9ybVNqdkVtMnpkdE14Sy1xN0RITmxzRlFIWjFVOG9sZ2hHLV9yRTRzWVlHUktlYUxLU0ZkaFZRM05OU3o1TmdlY0RtbUNkWUtIVktlVEhlelJQMlFTMmtab1VIWGoxLXFXYmpreGNZR2xwZVZpNWdaaXZhMXdqNlJB?oc=5
MAHABANK,Bank of Maharashtra,Bank of Maharashtra Profit Rises 23%; Stock Falls 4.8% - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPYTcxbjhreDZudFpNM2RWSXZBeUhzRVlaRTdVZTVKZGVpS0ZvS01FUkRTQUd2bUI1RFhfWTdqWVJXdHlfQ252aEVrM0Z5Mno0eS1GV0pVN0F0SXZweEdKLU91eVVPcnhZTVJybWdOa0J2cmxYQU5oYkx0SUpzeVNSMlo5MDFqeXhNSDRib2FoQnM1ejVOb0tIM256RDktWDlxY0E?oc=5"" target=""_blank"">Bank of Maharashtra Profit Rises 23%; Stock Falls 4.8%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-14 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiogFBVV95cUxPYTcxbjhreDZudFpNM2RWSXZBeUhzRVlaRTdVZTVKZGVpS0ZvS01FUkRTQUd2bUI1RFhfWTdqWVJXdHlfQ252aEVrM0Z5Mno0eS1GV0pVN0F0SXZweEdKLU91eVVPcnhZTVJybWdOa0J2cmxYQU5oYkx0SUpzeVNSMlo5MDFqeXhNSDRib2FoQnM1ejVOb0tIM256RDktWDlxY0E?oc=5
MAHABANK,Bank of Maharashtra,"Bank of Maharashtra shares trade over 1% lower ahead of Q2 numbers; check earnings call time, stock price trend and other details - Upstox","<a href=""https://news.google.com/rss/articles/CBMikwJBVV95cUxPYmVseVN6cHZaaXpJQ0g3Y2Q0ZjBER3YwczRxM3diTWViRWUxemdqRnJaYm9qdUZ1WkNaNU43M1puOEFWMTBILWFZRjg1UDVQRV9zY21wb2Q4cjRBWVEtUkp4WklfX0tIM3lmd0FCSjJqR1laRFg3eExoNl9CWlptcHBPeWdUU3UxdEhRV0VfdUZNWjJWakZhOWIwQjBubDZQS2tjelM0bEJBSExPYTJhMF9IbUwwbkJkUDRYdU1iMlljdGgtOWVBWXFZNEtxYy1YczU3V29CVGgwRnNRX2pPLVloNUZCaWptcTE1U3NyUjduS0hyTlg0dTJudENMVDJJdUhKUGptNTJheURXX0JQSzcxMA?oc=5"" target=""_blank"">Bank of Maharashtra shares trade over 1% lower ahead of Q2 numbers; check earnings call time, stock price trend and other details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-10-13 07:00:00,Upstox,https://news.google.com/rss/articles/CBMikwJBVV95cUxPYmVseVN6cHZaaXpJQ0g3Y2Q0ZjBER3YwczRxM3diTWViRWUxemdqRnJaYm9qdUZ1WkNaNU43M1puOEFWMTBILWFZRjg1UDVQRV9zY21wb2Q4cjRBWVEtUkp4WklfX0tIM3lmd0FCSjJqR1laRFg3eExoNl9CWlptcHBPeWdUU3UxdEhRV0VfdUZNWjJWakZhOWIwQjBubDZQS2tjelM0bEJBSExPYTJhMF9IbUwwbkJkUDRYdU1iMlljdGgtOWVBWXFZNEtxYy1YczU3V29CVGgwRnNRX2pPLVloNUZCaWptcTE1U3NyUjduS0hyTlg0dTJudENMVDJJdUhKUGptNTJheURXX0JQSzcxMA?oc=5
MAHABANK,Bank of Maharashtra,"Bank of Maharashtra shares rise ahead of Q3 results; dividend in focus, check target price - Business Today","<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxPZlpTVktrQ2tHYThjOG5NMWF6UUp5cWNieXM5M2JiNlltNTZsUll3NVg1LVFBSkQ1Q3hzeTJQWDJFU3ZvZ2tzZV9zdFprdGRGYjRqS3dTYjRZc1h6cjlxdWMwbUN6amFEbjd5Vk9Wb2FNV2tfU1F0RFZsUUFIRWJCMExQMlFUVGN0X241V3UyLU1lWlhveW84WXFHdlhYT1dtSjd1WlBYNWdHRkh1NTJrTGdJWWp3T0hLekpiYUM2c3VqbmdKdGwwVVkzLXRyMVFRUEZZNjlvNzZUaWZMSGNteGlVVHRlN1FGbnF4bdIB8gFBVV95cUxQbGxSRkFOYkk3a2liVEFENkdRdXdGanlTblVPMEp5d2pTWFJXa0dlWVhyYTlwWldTZWZLSWNlM25McXpDUUdUazFtZmo5UDBoZ0lqVXBTZVQxNUZ0VnVzZVBkRnBxQmdQLXQ2Y0RvTU1OSlllVmlLSUF3dEVES1ltZjlTTXZHY3NXLS1sWVFEOVJjbzZrWVAxU1pNSmd3a2RWLXk3Yjh1WGQyQjh0akFIY2tnTmhyV185aVdqNXpGMDlIV2p6ZlJuLVRPaXVweVBoaS1Ka1dYR1JWQTJwTHBveVZXbzROc09xYmlzdkQwbDJBdw?oc=5"" target=""_blank"">Bank of Maharashtra shares rise ahead of Q3 results; dividend in focus, check target price</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2026-01-13 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi7AFBVV95cUxPZlpTVktrQ2tHYThjOG5NMWF6UUp5cWNieXM5M2JiNlltNTZsUll3NVg1LVFBSkQ1Q3hzeTJQWDJFU3ZvZ2tzZV9zdFprdGRGYjRqS3dTYjRZc1h6cjlxdWMwbUN6amFEbjd5Vk9Wb2FNV2tfU1F0RFZsUUFIRWJCMExQMlFUVGN0X241V3UyLU1lWlhveW84WXFHdlhYT1dtSjd1WlBYNWdHRkh1NTJrTGdJWWp3T0hLekpiYUM2c3VqbmdKdGwwVVkzLXRyMVFRUEZZNjlvNzZUaWZMSGNteGlVVHRlN1FGbnF4bdIB8gFBVV95cUxQbGxSRkFOYkk3a2liVEFENkdRdXdGanlTblVPMEp5d2pTWFJXa0dlWVhyYTlwWldTZWZLSWNlM25McXpDUUdUazFtZmo5UDBoZ0lqVXBTZVQxNUZ0VnVzZVBkRnBxQmdQLXQ2Y0RvTU1OSlllVmlLSUF3dEVES1ltZjlTTXZHY3NXLS1sWVFEOVJjbzZrWVAxU1pNSmd3a2RWLXk3Yjh1WGQyQjh0akFIY2tnTmhyV185aVdqNXpGMDlIV2p6ZlJuLVRPaXVweVBoaS1Ka1dYR1JWQTJwTHBveVZXbzROc09xYmlzdkQwbDJBdw?oc=5
MAHABANK,Bank of Maharashtra,"Bank of Maharashtra share price in focus as govt plans 6% stake sale worth Rs 2,492 crore - Meyka","<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxNNkIxV3pNanBjbGUzSzd0bHlCcEsxdk9ZR3lqVE9kU202aVl3V3NaZ05XejQ1TjU0SmpNaHV2X0M3VGZvdm9rNGdtbERQR1c3U2Y2TnBVclNKSHN1Q09jV0hVQ2FVX1JjY2lwZDlYUUVoN3E0RzlQTENsR1JfYzdhWTA5TS1fUDB1QjFoVU4xSG93Q040TjFoUlkyR0dsVXNMZGVuclVGNVFDSE1rUkd6Wlh6Mk11OFk?oc=5"" target=""_blank"">Bank of Maharashtra share price in focus as govt plans 6% stake sale worth Rs 2,492 crore</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2025-12-03 08:00:00,Meyka,https://news.google.com/rss/articles/CBMitwFBVV95cUxNNkIxV3pNanBjbGUzSzd0bHlCcEsxdk9ZR3lqVE9kU202aVl3V3NaZ05XejQ1TjU0SmpNaHV2X0M3VGZvdm9rNGdtbERQR1c3U2Y2TnBVclNKSHN1Q09jV0hVQ2FVX1JjY2lwZDlYUUVoN3E0RzlQTENsR1JfYzdhWTA5TS1fUDB1QjFoVU4xSG93Q040TjFoUlkyR0dsVXNMZGVuclVGNVFDSE1rUkd6Wlh6Mk11OFk?oc=5
MAHABANK,Bank of Maharashtra,"Bank of Maharashtra OFS opens today. Floor price, size, other details - Mint","<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPdGJFUVgtd2VOalVRZFdXeGRXcERZdmowVG95V1U0bUloRmt2ZHFkSHdISkd4d0o3QUdzcHc3Xzg0c3pWZHY4WlM3VGo3MkRfREJSM3o3cFFLdlFPamZKUWIyTzEtVmhTS3A4SWNMNkxfZGhtTlZzWjJubi16MzNYWEZ1OEJWbHJCU19OdlEzYk1yWUI0OUtjdWRNTFp5OGs4aEhCakFiUjFWdkhmaUw4eE01V1BDYThvcElfS2NLTW8yc3FzbXU1aGJqeG1aZm02cXfSAdcBQVVfeXFMUFJDYVZXTVlFV3VoSElRdFM0Y05UWk5iZ3FNZ2pLdl9IVGtaWWpScGxHUHlnYnMxU1lBSmFrN3VBQ1M0V2ZUOUEwRXFQMkJaTnJ6Q29vVEQyUjdVZDNkeFhpbnZyMzlRT3VyQ2ZkWWlMeWhJaXNGblBXT21BNGptSFpxWkhveUdzWldaSnVQV1JfaFp3bmp2QU0zQmx5aE1WRkNic0pfR3VON2pLTmxpVFFsSF9aUlV1dm9UNTN6d19xMFNPMUF3d2N4Y2FTdG11U3h5V1FpUlU?oc=5"" target=""_blank"">Bank of Maharashtra OFS opens today. Floor price, size, other details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2025-12-02 08:00:00,Mint,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPdGJFUVgtd2VOalVRZFdXeGRXcERZdmowVG95V1U0bUloRmt2ZHFkSHdISkd4d0o3QUdzcHc3Xzg0c3pWZHY4WlM3VGo3MkRfREJSM3o3cFFLdlFPamZKUWIyTzEtVmhTS3A4SWNMNkxfZGhtTlZzWjJubi16MzNYWEZ1OEJWbHJCU19OdlEzYk1yWUI0OUtjdWRNTFp5OGs4aEhCakFiUjFWdkhmaUw4eE01V1BDYThvcElfS2NLTW8yc3FzbXU1aGJqeG1aZm02cXfSAdcBQVVfeXFMUFJDYVZXTVlFV3VoSElRdFM0Y05UWk5iZ3FNZ2pLdl9IVGtaWWpScGxHUHlnYnMxU1lBSmFrN3VBQ1M0V2ZUOUEwRXFQMkJaTnJ6Q29vVEQyUjdVZDNkeFhpbnZyMzlRT3VyQ2ZkWWlMeWhJaXNGblBXT21BNGptSFpxWkhveUdzWldaSnVQV1JfaFp3bmp2QU0zQmx5aE1WRkNic0pfR3VON2pLTmxpVFFsSF9aUlV1dm9UNTN6d19xMFNPMUF3d2N4Y2FTdG11U3h5V1FpUlU?oc=5
MAHABANK,Bank of Maharashtra,Bank Of Maharashtra Shares Decline As OFS Opens For Retail Investors - NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPN2E5ZlZRSVdtdWJQM2RiSTlOVEg4Q0lIY1dpMFFiUG9EM04wTDg3Sjg1N1VFNGs5OEVaTXJzNXhzbXVoemRMSHd5d3FrTUtfa0l4MkExaEtuUHB3ME1TVWhJUzI0V3ZaaGpFSlI3U3ZtTWtJRGQ1aGdzS0tKckZ3ZXFRMlREUU5xWlAwbjIxVFZ6OTZ1YVphQzJqT0k0VWpwWVMwYkJIOXg3azV2b21FSNIBuAFBVV95cUxPdmp4T1pnNXQ5MjIzaWJneFMzcks3S3FmaDcxbGRUNVp0VzZRUkRyUkZxNThSZlJvNEVFT2dGcFVoU1pvdmktTnBSTXVWMHBoUnU2X0ZPbm43ZC0tRGtPeUw5Tkk0VTk4R1hlVE1oclQ4aTVyMWhfb2dTbHh5MHhZUTE2Qzh5UjJ0OGdDUDdmQ2lLcjI2eGN4YkJfYVh3V2F1dDBaYTJoRktwZDVsSmFrZVh2NHFUTzNk?oc=5"" target=""_blank"">Bank Of Maharashtra Shares Decline As OFS Opens For Retail Investors</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",2025-12-03 08:00:00,NDTV Profit,https://news.google.com/rss/articles/CBMisAFBVV95cUxPN2E5ZlZRSVdtdWJQM2RiSTlOVEg4Q0lIY1dpMFFiUG9EM04wTDg3Sjg1N1VFNGs5OEVaTXJzNXhzbXVoemRMSHd5d3FrTUtfa0l4MkExaEtuUHB3ME1TVWhJUzI0V3ZaaGpFSlI3U3ZtTWtJRGQ1aGdzS0tKckZ3ZXFRMlREUU5xWlAwbjIxVFZ6OTZ1YVphQzJqT0k0VWpwWVMwYkJIOXg3azV2b21FSNIBuAFBVV95cUxPdmp4T1pnNXQ5MjIzaWJneFMzcks3S3FmaDcxbGRUNVp0VzZRUkRyUkZxNThSZlJvNEVFT2dGcFVoU1pvdmktTnBSTXVWMHBoUnU2X0ZPbm43ZC0tRGtPeUw5Tkk0VTk4R1hlVE1oclQ4aTVyMWhfb2dTbHh5MHhZUTE2Qzh5UjJ0OGdDUDdmQ2lLcjI2eGN4YkJfYVh3V2F1dDBaYTJoRktwZDVsSmFrZVh2NHFUTzNk?oc=5
MAHABANK,Bank of Maharashtra,"Bank of Maharashtra Q3 results: Net profit rises 27% to ₹1,779 crore, bank declares interim dividend for FY26 - Upstox","<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxNMk9CbTRYeWNVTUgxTDRUcm93WWpPWDB3QXRBRHFKQmFDN1dxa2hZZ2FZWHdzUGVvWXdkaC03TEoxSUNrRXZna0RQVFRQOVQyZE5IQkxqckVEUEQtaGFwYlFUWW5hb0hUX29WdHE5Z1VxZXpCWVQwWTBMVW1jSXRKVFNYQnlWTG9wZDlYUno3YWNxOEp0TUNVTHBxMG5rcHhmdG9RMDRRLXdNYTdpaGJIRS13LXFrbzJYTzB6UEs2TmFHYkV0UVpXcTBZX085amItTWxoOVRqaDd2S19Pbm9TLXBHbUZDbklBTkNBMnFMQ3JhVFJrNVdMcDZfSQ?oc=5"" target=""_blank"">Bank of Maharashtra Q3 results: Net profit rises 27% to ₹1,779 crore, bank declares interim dividend for FY26</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2026-01-13 08:00:00,Upstox,https://news.google.com/rss/articles/CBMi-wFBVV95cUxNMk9CbTRYeWNVTUgxTDRUcm93WWpPWDB3QXRBRHFKQmFDN1dxa2hZZ2FZWHdzUGVvWXdkaC03TEoxSUNrRXZna0RQVFRQOVQyZE5IQkxqckVEUEQtaGFwYlFUWW5hb0hUX29WdHE5Z1VxZXpCWVQwWTBMVW1jSXRKVFNYQnlWTG9wZDlYUno3YWNxOEp0TUNVTHBxMG5rcHhmdG9RMDRRLXdNYTdpaGJIRS13LXFrbzJYTzB6UEs2TmFHYkV0UVpXcTBZX085amItTWxoOVRqaDd2S19Pbm9TLXBHbUZDbklBTkNBMnFMQ3JhVFJrNVdMcDZfSQ?oc=5
MAHABANK,Bank of Maharashtra,Bank of Maharashtra Declares 10% Interim Dividend for FY26 - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxQbjMwT3UyT09OT000UGZZcjNNUXFvbTVROG5iSndacVJWaXNCdHRzUThrMnczdklMdk5FNWZ1bjNzUkZJYkkzSFMtYVJnS2ZXd0I0TFJJbVJ1RUphdjd1WWEwM1lVdnRKQ2xJYnFqQXRsTzNsNW14cklPVElhaHhwR0R0T2p2MzVCYlJEN0FmN2EwdW1RQ0VOcUliZVk?oc=5"" target=""_blank"">Bank of Maharashtra Declares 10% Interim Dividend for FY26</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2026-01-20 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMinAFBVV95cUxQbjMwT3UyT09OT000UGZZcjNNUXFvbTVROG5iSndacVJWaXNCdHRzUThrMnczdklMdk5FNWZ1bjNzUkZJYkkzSFMtYVJnS2ZXd0I0TFJJbVJ1RUphdjd1WWEwM1lVdnRKQ2xJYnFqQXRsTzNsNW14cklPVElhaHhwR0R0T2p2MzVCYlJEN0FmN2EwdW1RQ0VOcUliZVk?oc=5
