scrip,company,headline,summary,published_date,source,url
MANAKSTEEL,Manaksia Steels Limited,Here's What To Make Of Manaksia Steels' (NSE:MANAKSTEEL) Decelerating Rates Of Return - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxQMzRXNld6Y05BREpNOHdGaXY5THpoZkJqVDQ0UlpUY1ZJV093bFBCcnJzV1RBWnZ6VjBHekVtdm8yYUdwM1NzMDdlS2c3Q2J6a2FjalJRUDdvQ1dVODY0WGNjcUJtSEotWl9jVzlGZUdvS0loeVdtYmhCUWNsNTVFQThMZXNnTVJ5YkZpMTRleVQ5dGUyMGRGRC15ZHlFR3FyUnh1U09HTDlrSy1QSUJzZWEweTRXb0hVNlRCNWhZaGQyNTY0VkcwT09SNko3OTMtcjcxZG9GNWk0VU9RV3c?oc=5"" target=""_blank"">Here's What To Make Of Manaksia Steels' (NSE:MANAKSTEEL) Decelerating Rates Of Return</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-20 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQMzRXNld6Y05BREpNOHdGaXY5THpoZkJqVDQ0UlpUY1ZJV093bFBCcnJzV1RBWnZ6VjBHekVtdm8yYUdwM1NzMDdlS2c3Q2J6a2FjalJRUDdvQ1dVODY0WGNjcUJtSEotWl9jVzlGZUdvS0loeVdtYmhCUWNsNTVFQThMZXNnTVJ5YkZpMTRleVQ5dGUyMGRGRC15ZHlFR3FyUnh1U09HTDlrSy1QSUJzZWEweTRXb0hVNlRCNWhZaGQyNTY0VkcwT09SNko3OTMtcjcxZG9GNWk0VU9RV3c?oc=5
MANAKSTEEL,Manaksia Steels Limited,Manaksia Steels Board Approves Q3FY26 Results with 111.50% Revenue Growth - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxQZXI3Nm5aNWpoTUxvQ0VJd2FUam1JbllGNVFTakx0OFM3eVRwS01TNDF3Q2dSSlZQTGJGQksycXdFUnMwX09qaGlUX1VwMlBWaDlUaGlrSk9ia1pKdzdra2M1Y3prRFNiRV8yZmh2SjNjSkVGLTdwdnNCTXNXaVltb2hMMFEySXZWbER2RE1Hck11WlN4TmRfS08yVkNSYUY3VDR5b3hjWDZuOWstMXVsSnlBWi1nN3BOQy1jbWRodlVPcWZrNDh0VHFfVmpjQWFtMjczWVhDNWJEa09nTjNQQ3RB?oc=5"" target=""_blank"">Manaksia Steels Board Approves Q3FY26 Results with 111.50% Revenue Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-31 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQZXI3Nm5aNWpoTUxvQ0VJd2FUam1JbllGNVFTakx0OFM3eVRwS01TNDF3Q2dSSlZQTGJGQksycXdFUnMwX09qaGlUX1VwMlBWaDlUaGlrSk9ia1pKdzdra2M1Y3prRFNiRV8yZmh2SjNjSkVGLTdwdnNCTXNXaVltb2hMMFEySXZWbER2RE1Hck11WlN4TmRfS08yVkNSYUY3VDR5b3hjWDZuOWstMXVsSnlBWi1nN3BOQy1jbWRodlVPcWZrNDh0VHFfVmpjQWFtMjczWVhDNWJEa09nTjNQQ3RB?oc=5
MANAKSTEEL,Manaksia Steels Limited,Manaksia Steels Ltd Hits Lower Circuit Amid Heavy Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNdC1DZlYtLWNKMXIyeWExVFJqVFBGNC14NXJKT1o4eGd5azN4RHJEeUlSVVdxWklwUGhPUTNkQ2JCalRFNHVHMmRkX25raGNyMFZNV1NySHJPMlhsMzdTOEdqaFB6X2JkSUViV2MwaVRGaEpidHJqQjlXbVNjLTRZUVNVWmxiQVRMM2FKdU5WQVVzWk5YQUs5ZkdYSEZTMTg4ZDBRX094bjEwRkFnS3BWZ1ByV3M5NDg5ZElXaXNHc1Njdw?oc=5"" target=""_blank"">Manaksia Steels Ltd Hits Lower Circuit Amid Heavy Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-12-30 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNdC1DZlYtLWNKMXIyeWExVFJqVFBGNC14NXJKT1o4eGd5azN4RHJEeUlSVVdxWklwUGhPUTNkQ2JCalRFNHVHMmRkX25raGNyMFZNV1NySHJPMlhsMzdTOEdqaFB6X2JkSUViV2MwaVRGaEpidHJqQjlXbVNjLTRZUVNVWmxiQVRMM2FKdU5WQVVzWk5YQUs5ZkdYSEZTMTg4ZDBRX094bjEwRkFnS3BWZ1ByV3M5NDg5ZElXaXNHc1Njdw?oc=5
MANAKSTEEL,Manaksia Steels Limited,Manaksia Steels Limited Announces Postal Ballot Process for Special Business Resolutions - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxPSmMyWmVyWmc3UVhlN0pTVUxnSFUxRE1WWnRFRU9qeHgzcEFuSllPVnJTbk4xVHdRMm82R0tRNS1fSmtfbk1EVjRHRkp2RnIyRk1LSHMzOVVfV0NRdU83azdwdmxaN1BtVVlGN1I1VmVFOGhTQW05MDJ5NHlGRDRCX0NCY2luRUhJa1QxTmZPOHFDVlVFcVhKR1NQQXhJaFhDaFFCNXYtT2s3bE1YQXpPNjZwSkpJdDMyd194TFdPRjNrTUZOS0h4SGlwTmk4dkJTM011RC1oOHBCYnhj?oc=5"" target=""_blank"">Manaksia Steels Limited Announces Postal Ballot Process for Special Business Resolutions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-12 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPSmMyWmVyWmc3UVhlN0pTVUxnSFUxRE1WWnRFRU9qeHgzcEFuSllPVnJTbk4xVHdRMm82R0tRNS1fSmtfbk1EVjRHRkp2RnIyRk1LSHMzOVVfV0NRdU83azdwdmxaN1BtVVlGN1I1VmVFOGhTQW05MDJ5NHlGRDRCX0NCY2luRUhJa1QxTmZPOHFDVlVFcVhKR1NQQXhJaFhDaFFCNXYtT2s3bE1YQXpPNjZwSkpJdDMyd194TFdPRjNrTUZOS0h4SGlwTmk4dkJTM011RC1oOHBCYnhj?oc=5
MANAKSTEEL,Manaksia Steels Limited,Here's What To Make Of Manaksia Steels' (NSE:MANAKSTEEL) Decelerating Rates Of Return - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxQMzRXNld6Y05BREpNOHdGaXY5THpoZkJqVDQ0UlpUY1ZJV093bFBCcnJzV1RBWnZ6VjBHekVtdm8yYUdwM1NzMDdlS2c3Q2J6a2FjalJRUDdvQ1dVODY0WGNjcUJtSEotWl9jVzlGZUdvS0loeVdtYmhCUWNsNTVFQThMZXNnTVJ5YkZpMTRleVQ5dGUyMGRGRC15ZHlFR3FyUnh1U09HTDlrSy1QSUJzZWEweTRXb0hVNlRCNWhZaGQyNTY0VkcwT09SNko3OTMtcjcxZG9GNWk0VU9RV3fSAeMBQVVfeXFMUDV6UWd1OUo3RW5NSkczS0VEVlE5UzdyTExFbDliX0pueHlQWkxoendvTzFNeTVPbnhmMjlpZ0FmRmhiRjN3S2FRc2s2Wjk3Z1A3eE5KUC1hZ21GWUM1eXUxM3FBMHJDbXJLMjlOdGwyUFMzUll0aGRpX0VsOV81MzE2YjRsOVdKdGNpRDJQd0RjMFZoc3lmdnpUc1VhWElGU256Q1FnckhVcDJhWGhMdW5PN3BTZFBkQUZ0SjdMeW9rM2V6VXE0V2hEdktTa2gtTk0xMGNkckx5cTZiLTVmdVE0Uk0?oc=5"" target=""_blank"">Here's What To Make Of Manaksia Steels' (NSE:MANAKSTEEL) Decelerating Rates Of Return</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-20 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQMzRXNld6Y05BREpNOHdGaXY5THpoZkJqVDQ0UlpUY1ZJV093bFBCcnJzV1RBWnZ6VjBHekVtdm8yYUdwM1NzMDdlS2c3Q2J6a2FjalJRUDdvQ1dVODY0WGNjcUJtSEotWl9jVzlGZUdvS0loeVdtYmhCUWNsNTVFQThMZXNnTVJ5YkZpMTRleVQ5dGUyMGRGRC15ZHlFR3FyUnh1U09HTDlrSy1QSUJzZWEweTRXb0hVNlRCNWhZaGQyNTY0VkcwT09SNko3OTMtcjcxZG9GNWk0VU9RV3fSAeMBQVVfeXFMUDV6UWd1OUo3RW5NSkczS0VEVlE5UzdyTExFbDliX0pueHlQWkxoendvTzFNeTVPbnhmMjlpZ0FmRmhiRjN3S2FRc2s2Wjk3Z1A3eE5KUC1hZ21GWUM1eXUxM3FBMHJDbXJLMjlOdGwyUFMzUll0aGRpX0VsOV81MzE2YjRsOVdKdGNpRDJQd0RjMFZoc3lmdnpUc1VhWElGU256Q1FnckhVcDJhWGhMdW5PN3BTZFBkQUZ0SjdMeW9rM2V6VXE0V2hEdktTa2gtTk0xMGNkckx5cTZiLTVmdVE0Uk0?oc=5
MANAKSTEEL,Manaksia Steels Limited,"Manaksia Steels Standalone December 2025 Net Sales at Rs 298.34 crore, up 109.66% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxQUzEyVThDbkVRaVcxZnItZVgtZEllVjZVel9vOWN2NFpPQ2RZd3gtSjNhbzdBLXE4Vm9aUi1fcWs1STVVcGtPbFZIUjFRZy1QUkF6QjZGeGVmel9zVjFtM0h0Vk1UTVRTcEs2YWIxU2F6SWxFZy05MkltSnU3YTlvajhXd0ZHUS13NlYxTXoycFRiU0JBZERQbFl4aUJYcVZHbGhQRU05UFM2WHlwZ0JwU1FJSDRWZTFITExFTHgzZGJlLWdQUFA3b05HZjhtNUxyN194WEtJbm9hWXRYWTFjRFJNd3UyUdIB6wFBVV95cUxOQmEzLWpyWDE3ZWJjMGotQTBHT0Myek4teEJZNC0yaGtXNi1ra0IwS1ZRaE80NjFpdF92ZnpwbV9fVzdFV3FleUYyUHJmbG1iVnhWNmFQTHUyaFNsTmR3bXNvZTY4aVZYNTZaWWZHNVZkYzY2Z0dDYUFjUHZITjB3Qmk5czhDNFhCSFFyQVdwUThscUhLXzZTTzhRTC1SZkxWcHNEQjl1UWpPWWlacExoWGVnbGY4bk80ZmFReVFybU15bWt6d1pJaktGRmtVajhNVXpQVFd3NWZXaU1jWkVhM01zTGthRUJnVzFZ?oc=5"" target=""_blank"">Manaksia Steels Standalone December 2025 Net Sales at Rs 298.34 crore, up 109.66% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-03 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQUzEyVThDbkVRaVcxZnItZVgtZEllVjZVel9vOWN2NFpPQ2RZd3gtSjNhbzdBLXE4Vm9aUi1fcWs1STVVcGtPbFZIUjFRZy1QUkF6QjZGeGVmel9zVjFtM0h0Vk1UTVRTcEs2YWIxU2F6SWxFZy05MkltSnU3YTlvajhXd0ZHUS13NlYxTXoycFRiU0JBZERQbFl4aUJYcVZHbGhQRU05UFM2WHlwZ0JwU1FJSDRWZTFITExFTHgzZGJlLWdQUFA3b05HZjhtNUxyN194WEtJbm9hWXRYWTFjRFJNd3UyUdIB6wFBVV95cUxOQmEzLWpyWDE3ZWJjMGotQTBHT0Myek4teEJZNC0yaGtXNi1ra0IwS1ZRaE80NjFpdF92ZnpwbV9fVzdFV3FleUYyUHJmbG1iVnhWNmFQTHUyaFNsTmR3bXNvZTY4aVZYNTZaWWZHNVZkYzY2Z0dDYUFjUHZITjB3Qmk5czhDNFhCSFFyQVdwUThscUhLXzZTTzhRTC1SZkxWcHNEQjl1UWpPWWlacExoWGVnbGY4bk80ZmFReVFybU15bWt6d1pJaktGRmtVajhNVXpQVFd3NWZXaU1jWkVhM01zTGthRUJnVzFZ?oc=5
MANAKSTEEL,Manaksia Steels Limited,Manaksia Limited (NSE:MANAKSIA) Stock Is Going Strong But Fundamentals Look Uncertain: What Lies Ahead ? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPNWh1ZjN4X3dYMmFpTmFCeUxCaDJ5SW5kMHVtRVBmNFQ3SXFMWEE4ajJFMFd1S1dkQzU3YWF6MmhFMzV5NEktOVBSLWFVMkJIR2ZwTDRGUEUwMjdoNjVEVzFCaXFhaHpVcEpyV2ktZmpSYUp6ZExvOFpvOE5LbXlDTGVzRURnV0FEWTUtZ2duUm4tdDNPS3UwUGtzaWRmd2NyLVUybFlkcVdSNVN6U0ZHWTJVYjRCTmE4N3duSWZ3NG1XeXJORHkydkN0NVJyRFA5eVHSAdcBQVVfeXFMTVZiTG1sYW12U19LUF9PM3BxdE5OclVfd3AtTEpxSkFiMWZidFRacU9RbU8zdkE1N0hGemY3V1hqbUM3OWs0MEg5bUhQVEFoN09zQXMtd2dqMURubzg3NFNvLVpQSkc1cXpPZzJfZ3BRQzh4TUg0bFVGZDNqdDhMTzhuNXFud1RUOHh0VnZ5Sm5MTy05elJ4cGZ5YWpXUEZXQW1WbjJkbVE0SUJ0WnBlR3RSQ3JPU19fODc5Z25qeFJCeXUwWEF2RnNLcThjX3dMbTN4UXZlbnc?oc=5"" target=""_blank"">Manaksia Limited (NSE:MANAKSIA) Stock Is Going Strong But Fundamentals Look Uncertain: What Lies Ahead ?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-24 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPNWh1ZjN4X3dYMmFpTmFCeUxCaDJ5SW5kMHVtRVBmNFQ3SXFMWEE4ajJFMFd1S1dkQzU3YWF6MmhFMzV5NEktOVBSLWFVMkJIR2ZwTDRGUEUwMjdoNjVEVzFCaXFhaHpVcEpyV2ktZmpSYUp6ZExvOFpvOE5LbXlDTGVzRURnV0FEWTUtZ2duUm4tdDNPS3UwUGtzaWRmd2NyLVUybFlkcVdSNVN6U0ZHWTJVYjRCTmE4N3duSWZ3NG1XeXJORHkydkN0NVJyRFA5eVHSAdcBQVVfeXFMTVZiTG1sYW12U19LUF9PM3BxdE5OclVfd3AtTEpxSkFiMWZidFRacU9RbU8zdkE1N0hGemY3V1hqbUM3OWs0MEg5bUhQVEFoN09zQXMtd2dqMURubzg3NFNvLVpQSkc1cXpPZzJfZ3BRQzh4TUg0bFVGZDNqdDhMTzhuNXFud1RUOHh0VnZ5Sm5MTy05elJ4cGZ5YWpXUEZXQW1WbjJkbVE0SUJ0WnBlR3RSQ3JPU19fODc5Z25qeFJCeXUwWEF2RnNLcThjX3dMbTN4UXZlbnc?oc=5
MANAKSTEEL,Manaksia Steels Limited,Manaksia Coated Metals Successfully Commissions Alu-Zinc Technology Upgrade - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPU0pJTkJjQVkzNzZSV0p2WUFZbWQ5MEExZjBNbmZ2LUJKeUF2REZmUU9Kc0RuUEhlN3JlNjNiek9RRFZWYkhpZDNMNlpZWWEtQlhqZFBpVEpLUFBvVlJnVDRMOFdpb1VGa2taTzhEYWxUNi1acmQ1RHNFa09JZk9xSUZMa2ptMm82akNma1BfVzlJTjM5UzN6X09Fck5sZFVFUkJjZi1LX2hoOWthZi1WLTNRYzZCWjBwMzE2NXo3ZjBGY0xQWnBnMU5YQkRLeEx5MFhvcEg4Nk5BaFBVamUwUA?oc=5"" target=""_blank"">Manaksia Coated Metals Successfully Commissions Alu-Zinc Technology Upgrade</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-06 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPU0pJTkJjQVkzNzZSV0p2WUFZbWQ5MEExZjBNbmZ2LUJKeUF2REZmUU9Kc0RuUEhlN3JlNjNiek9RRFZWYkhpZDNMNlpZWWEtQlhqZFBpVEpLUFBvVlJnVDRMOFdpb1VGa2taTzhEYWxUNi1acmQ1RHNFa09JZk9xSUZMa2ptMm82akNma1BfVzlJTjM5UzN6X09Fck5sZFVFUkJjZi1LX2hoOWthZi1WLTNRYzZCWjBwMzE2NXo3ZjBGY0xQWnBnMU5YQkRLeEx5MFhvcEg4Nk5BaFBVamUwUA?oc=5
MANAKSTEEL,Manaksia Steels Limited,Manaksia Steels Ltd Hits Lower Circuit Amid Heavy Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPWlRUaURPaXFLdThZYWlibmxZTC1kZGxuVEY2amZLbGNzek1kcWpJXzZyamVmS1dxUlY5REh1anhzYl9HSHYyZmpHWWZscWFtSjl5WEJLRnFIekItdFk3SmsxbVVmTlpKcHBFYWZKM2w0aXdwamU2b2d4Wi1sTElFWFljWlRBaUpVWnBXR0I0QWJqaE1xMy14Uzk4ckl2elhOSjFJaE1ZaDJJRFVJeHVxWWNmd1ZQbzBrNkctMHJFMVMxUQ?oc=5"" target=""_blank"">Manaksia Steels Ltd Hits Lower Circuit Amid Heavy Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-01-08 08:45:21,Markets Mojo,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPWlRUaURPaXFLdThZYWlibmxZTC1kZGxuVEY2amZLbGNzek1kcWpJXzZyamVmS1dxUlY5REh1anhzYl9HSHYyZmpHWWZscWFtSjl5WEJLRnFIekItdFk3SmsxbVVmTlpKcHBFYWZKM2w0aXdwamU2b2d4Wi1sTElFWFljWlRBaUpVWnBXR0I0QWJqaE1xMy14Uzk4ckl2elhOSjFJaE1ZaDJJRFVJeHVxWWNmd1ZQbzBrNkctMHJFMVMxUQ?oc=5
MANAKSTEEL,Manaksia Steels Limited,Lacklustre Performance Is Driving Manaksia Limited's (NSE:MANAKSIA) Low P/E - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPZjE4Q1JIWkdOYWphUWdVeTFWTnJjaTRqaFhNUDVlX0Zna1ZpdXVhRlpfWDhCZDhLZk1JNGVlTmdBS0dnejFLOU1lV0RHbGxicGNQdm8zdWVXVnduWXczNnB4U2VUOEFjdTBBVlhOT0V4RV9ucDhpdm9XNlBDUmxQUWtxd0gtS2tuYTlfeWJ6ZE9fVThEOUNLdWNNZW9KbWlPRmxkNHBRc2V2UXRKNExOMXRnUkF6UUxyVEU0S0Z1a3M2YzhLYVVFRHBjSEk2eWhDZ3fSAdcBQVVfeXFMTVFmbjZSdDFpU2tMVHZMbW9LLUNVY0RkNjF4WFJpSFlTeW1PV0dveHNkRjROa21iZGpsTXNzWkl2UUgxcGFaZkJjM2k3TkhScmxnNnctMHFGOHpBTTlNWjhyVGRiSEd4dEZDNTBZZnUySUc1NEdEd3BlWFRXdGN2MUtrUlhEbEJ5ek50SG1LZTlVcEJVMi1heXNWS3lpZ0lDSnBkNEg5TW5BOVlzOFFoVFdCWVhCMjRrblBvWnZHZ0hKUEdyQzhYUndJbVNBS2VaMFNWdU9PRlU?oc=5"" target=""_blank"">Lacklustre Performance Is Driving Manaksia Limited's (NSE:MANAKSIA) Low P/E</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-04-23 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPZjE4Q1JIWkdOYWphUWdVeTFWTnJjaTRqaFhNUDVlX0Zna1ZpdXVhRlpfWDhCZDhLZk1JNGVlTmdBS0dnejFLOU1lV0RHbGxicGNQdm8zdWVXVnduWXczNnB4U2VUOEFjdTBBVlhOT0V4RV9ucDhpdm9XNlBDUmxQUWtxd0gtS2tuYTlfeWJ6ZE9fVThEOUNLdWNNZW9KbWlPRmxkNHBRc2V2UXRKNExOMXRnUkF6UUxyVEU0S0Z1a3M2YzhLYVVFRHBjSEk2eWhDZ3fSAdcBQVVfeXFMTVFmbjZSdDFpU2tMVHZMbW9LLUNVY0RkNjF4WFJpSFlTeW1PV0dveHNkRjROa21iZGpsTXNzWkl2UUgxcGFaZkJjM2k3TkhScmxnNnctMHFGOHpBTTlNWjhyVGRiSEd4dEZDNTBZZnUySUc1NEdEd3BlWFRXdGN2MUtrUlhEbEJ5ek50SG1LZTlVcEJVMi1heXNWS3lpZ0lDSnBkNEg5TW5BOVlzOFFoVFdCWVhCMjRrblBvWnZHZ0hKUEdyQzhYUndJbVNBS2VaMFNWdU9PRlU?oc=5
