scrip,company,headline,summary,published_date,source,url
MANUGRAPH,Manugraph India Limited,Manugraph India Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxPTHlKQUpkWENVbmtVYlNieHpRcHB2S1hlX0lBbzNpLWZEaVByakQ1RTNoTF9PT1h6U25TamNDWGpoY2c4cmp2a1FMbkU0cDkwT2FaSWk1bTcteGRkUEVNZ1FJR2dJM3VmWXg3aVdPQjRwV3BLVklydGNrQV9uUldZMXphTlpLN1gxeHhhUFdVREd3bzJyQ3k1NHBGdmRRY2ItaG51Ng?oc=5"" target=""_blank"">Manugraph India Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-09 04:55:33,Markets Mojo,https://news.google.com/rss/articles/CBMipAFBVV95cUxPTHlKQUpkWENVbmtVYlNieHpRcHB2S1hlX0lBbzNpLWZEaVByakQ1RTNoTF9PT1h6U25TamNDWGpoY2c4cmp2a1FMbkU0cDkwT2FaSWk1bTcteGRkUEVNZ1FJR2dJM3VmWXg3aVdPQjRwV3BLVklydGNrQV9uUldZMXphTlpLN1gxeHhhUFdVREd3bzJyQ3k1NHBGdmRRY2ItaG51Ng?oc=5
MANUGRAPH,Manugraph India Limited,Manugraph India Ltd Upgraded to Sell as Financial and Valuation Metrics Improve - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxNOGQwWVlaaW9CcjZfMzVOVDlvZXRNRGVFN2hyUHJ4cTUxcXc2WTNnSUdlT1Vjc3NRMGszalZybHFINF9uYmUzV1Q5SUIxSHBvRk1NdkNRc0JDUThFclNValZxQjZRQ295dVJzX3daV0pNU0pnUmlCNnFEMmZnTW5fbWZsYUhuVnhmdmhpVEFQWDFuaGdvd1Z0ZktIQ0Z4T0ZmTGdqUlhSQXd2TmE0WG5hVHpHMXZ6NWdRUGt3LVFmeWhxa1BRelNpdG1OeEFxcmdJZVRRanpqRjI?oc=5"" target=""_blank"">Manugraph India Ltd Upgraded to Sell as Financial and Valuation Metrics Improve</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-12 03:58:50,Markets Mojo,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNOGQwWVlaaW9CcjZfMzVOVDlvZXRNRGVFN2hyUHJ4cTUxcXc2WTNnSUdlT1Vjc3NRMGszalZybHFINF9uYmUzV1Q5SUIxSHBvRk1NdkNRc0JDUThFclNValZxQjZRQ295dVJzX3daV0pNU0pnUmlCNnFEMmZnTW5fbWZsYUhuVnhmdmhpVEFQWDFuaGdvd1Z0ZktIQ0Z4T0ZmTGdqUlhSQXd2TmE0WG5hVHpHMXZ6NWdRUGt3LVFmeWhxa1BRelNpdG1OeEFxcmdJZVRRanpqRjI?oc=5
MANUGRAPH,Manugraph India Limited,Manugraph India Ltd Surges to Upper Circuit on Robust Buying Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxPanFZMlRJc1dfbDhPd1JobE1ieHlMblZWbnp3X29icEVrWS1QeEdiZUJ0QWJxSkdfNkFYdGJDR2NOREJHTU5heVU5WlJqeElsU1R6QnFlZHBrOUo0Zk5jaEhjUEFZRVdxV0I3ZGU5cHVuMjUyN3J6RlN5ekctMkgxVzJndS03ZXpJTHlqcHlfLUVnTm1JUkt0a1hLY1FMckh6SU1JN215djdla2dGMmc2bERCVWhnb0tNcnpyZzlJa2pTUDBwTmc?oc=5"" target=""_blank"">Manugraph India Ltd Surges to Upper Circuit on Robust Buying Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-10 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMixgFBVV95cUxPanFZMlRJc1dfbDhPd1JobE1ieHlMblZWbnp3X29icEVrWS1QeEdiZUJ0QWJxSkdfNkFYdGJDR2NOREJHTU5heVU5WlJqeElsU1R6QnFlZHBrOUo0Zk5jaEhjUEFZRVdxV0I3ZGU5cHVuMjUyN3J6RlN5ekctMkgxVzJndS03ZXpJTHlqcHlfLUVnTm1JUkt0a1hLY1FMckh6SU1JN215djdla2dGMmc2bERCVWhnb0tNcnpyZzlJa2pTUDBwTmc?oc=5
MANUGRAPH,Manugraph India Limited,"Manugraph Ind Standalone December 2025 Net Sales at Rs 17.69 crore, up 176.11% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxNZnNOVTBOak0tLW1KTlZEVU9NTG1qTTNxZlNJQmpGNlh2WW5qaC0yMkVfWTE3bXlCTjJWUWRsazk5R2tQVjJOVFZiNHNQeTVMMmlJSUVNbWtuS1BObU5NZTFqQVJPRDgyLU1GS0pYZ1FGd2FmUk03TDNma3JCNkJUZG9UVkZqS2Q0TWprcGkyRHczX19BSnV3WV9zbG1CUkFKMVJzUERROHB3dEp5eGljWWR5anhMTDZUVWZkMVNyNEZpMkxmMHJaZUlzdEJMYWVLbkkySWVoclJQT2NKWUp6OWpB0gHnAUFVX3lxTE95RzM5SEtPOFk1cjQybEdWejlVRnZpcnB2QjNjNDBVbGJ0UktXSl9XTzhtalExTDREdFNxTDdmVjNHMzFMWlZjZlQ1UUhUMUJibVdMOHlkOGN4UHg4dzVuR2lMRkRWSlU3N2VOTU5hVmg3VUdoMk1EakZyaVl3NDFFTS1MU3h4NlVtV0NSTDJWZHJPMHZnSnVld0NLb3VMNXNFZ2U5dU9jT1pXYWFYYXIzdEJTSDhHdjQwX3NiYnBqVnVuZXFNajJSY0tBamxSUEdpRmpWeHhFYmRmQ19BeTJyRWc0UEdwOA?oc=5"" target=""_blank"">Manugraph Ind Standalone December 2025 Net Sales at Rs 17.69 crore, up 176.11% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-25 05:41:27,Moneycontrol.com,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNZnNOVTBOak0tLW1KTlZEVU9NTG1qTTNxZlNJQmpGNlh2WW5qaC0yMkVfWTE3bXlCTjJWUWRsazk5R2tQVjJOVFZiNHNQeTVMMmlJSUVNbWtuS1BObU5NZTFqQVJPRDgyLU1GS0pYZ1FGd2FmUk03TDNma3JCNkJUZG9UVkZqS2Q0TWprcGkyRHczX19BSnV3WV9zbG1CUkFKMVJzUERROHB3dEp5eGljWWR5anhMTDZUVWZkMVNyNEZpMkxmMHJaZUlzdEJMYWVLbkkySWVoclJQT2NKWUp6OWpB0gHnAUFVX3lxTE95RzM5SEtPOFk1cjQybEdWejlVRnZpcnB2QjNjNDBVbGJ0UktXSl9XTzhtalExTDREdFNxTDdmVjNHMzFMWlZjZlQ1UUhUMUJibVdMOHlkOGN4UHg4dzVuR2lMRkRWSlU3N2VOTU5hVmg3VUdoMk1EakZyaVl3NDFFTS1MU3h4NlVtV0NSTDJWZHJPMHZnSnVld0NLb3VMNXNFZ2U5dU9jT1pXYWFYYXIzdEJTSDhHdjQwX3NiYnBqVnVuZXFNajJSY0tBamxSUEdpRmpWeHhFYmRmQ19BeTJyRWc0UEdwOA?oc=5
MANUGRAPH,Manugraph India Limited,"Manugraph India Posts Quarterly Loss Amidst Revenue Surge, 9-Month Profit Turns Around - Whalesbook","<a href=""https://news.google.com/rss/articles/CBMihgJBVV95cUxNTmZHU09neXRJZVl5Nm0zUVlpemlUWHd6ZTlZdzlIcEp4Y3NUWnhUSXlqQlJwamI2bV9ucjZEdDVHMV9oTkpPaWh4Q0I2YzBUVWkxNjQ5Qms4a0NrMWplb29sV3lDV0FlcE10bGVmaTgyc0xBSjRzcWZuVlRrUS1LT3RSWVU3aEdmTU1DdnVRdmM1MHdUUkg2aTk1U3hEYUd3aFBCMzhKbEVJM2FzUVNOam9VQ3lmT0FrSWpIakExd0tBY1RxaGpOQ3ZvRGpFbW10b1dsTWwtdXctWkhodUlkeHJkYTFpVThNR3kyN3pnbTZXdDNpTHNVWjBLaEhsczRXRkN1NUdR?oc=5"" target=""_blank"">Manugraph India Posts Quarterly Loss Amidst Revenue Surge, 9-Month Profit Turns Around</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Whalesbook</font>",2026-02-10 08:00:00,Whalesbook,https://news.google.com/rss/articles/CBMihgJBVV95cUxNTmZHU09neXRJZVl5Nm0zUVlpemlUWHd6ZTlZdzlIcEp4Y3NUWnhUSXlqQlJwamI2bV9ucjZEdDVHMV9oTkpPaWh4Q0I2YzBUVWkxNjQ5Qms4a0NrMWplb29sV3lDV0FlcE10bGVmaTgyc0xBSjRzcWZuVlRrUS1LT3RSWVU3aEdmTU1DdnVRdmM1MHdUUkg2aTk1U3hEYUd3aFBCMzhKbEVJM2FzUVNOam9VQ3lmT0FrSWpIakExd0tBY1RxaGpOQ3ZvRGpFbW10b1dsTWwtdXctWkhodUlkeHJkYTFpVThNR3kyN3pnbTZXdDNpTHNVWjBLaEhsczRXRkN1NUdR?oc=5
MANUGRAPH,Manugraph India Limited,Manugraph India Ltd Valuation Shifts to Very Attractive Amid Mixed Market Returns - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxOaWdJVW9BSlBWUnRvMXlxS1UxNFlRNVA2RGxWUlF5QWxLOFhaa0dRbTNCV1N6UXZoT3dMLVcyUEI2WEMwOUMyLXd3ZlRKSzg3TjhMV0JjSE5MbFBlcVBDV0V6SXQwOXhFOElaMnNMeExWZEFtdW10RklMV1NKWkxWWGZQMFNRMVYwNF9BMmYxQ0NXUHV1eTI2WmhHSy1jeE1qQUNIM2I4QmRBQlh3NUt0ZkhwOTNVNXRRSWl0aWJDUTF6LXlTWWVpYzNzZlNhbDZFRnNIUkN3?oc=5"" target=""_blank"">Manugraph India Ltd Valuation Shifts to Very Attractive Amid Mixed Market Returns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-12 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOaWdJVW9BSlBWUnRvMXlxS1UxNFlRNVA2RGxWUlF5QWxLOFhaa0dRbTNCV1N6UXZoT3dMLVcyUEI2WEMwOUMyLXd3ZlRKSzg3TjhMV0JjSE5MbFBlcVBDV0V6SXQwOXhFOElaMnNMeExWZEFtdW10RklMV1NKWkxWWGZQMFNRMVYwNF9BMmYxQ0NXUHV1eTI2WmhHSy1jeE1qQUNIM2I4QmRBQlh3NUt0ZkhwOTNVNXRRSWl0aWJDUTF6LXlTWWVpYzNzZlNhbDZFRnNIUkN3?oc=5
MANUGRAPH,Manugraph India Limited,"Men behind the web offset machines: Pradeep Shah, managing director, Manugraph India   - PrintWeekIndia","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQM2hoNlctM1BGSjktbTc4ZEdxSmZvT3A2aGFneGlXWWxhV25iQmdoOC1VREdiQy0zR0xMRzhDMDI1QndzVm1veFBSWnIxZUxhTUh0Z1ljdGVPNER1a3ZkbFRKMTBjdVRIR213OG92alRuVHJrZkZyaVVlRXNYTlRYUmxiN1FmNUpLV3hPbFMzMlpEZUdidi0wa1RROG1vUFpxdG1TXzNWT0NvQdIBsgFBVV95cUxOUnJ2S25BU1drYnNTMXEwWHR4V2ROSVJGTXpDUngxeEJDZTVJUUVXT0JSbWo1NldBRWdILVIxeHo3MHNxVncxUm1hZWRLcU1YQkJrRTkxNzJGTUJPdVljb2U4MEZjX00wTlJZRE5BN2xfbHpxaDJTZlNMSGJjYjB1RFV0Q3Y5enZxeHlmZTc4X1VZTnJFMDhsWXlRNlFwbWx0ZDJNSVdFOWg3cnlNeTBLWFVR?oc=5"" target=""_blank"">Men behind the web offset machines: Pradeep Shah, managing director, Manugraph India  </a>&nbsp;&nbsp;<font color=""#6f6f6f"">PrintWeekIndia</font>",2019-06-13 05:00:54,PrintWeekIndia,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQM2hoNlctM1BGSjktbTc4ZEdxSmZvT3A2aGFneGlXWWxhV25iQmdoOC1VREdiQy0zR0xMRzhDMDI1QndzVm1veFBSWnIxZUxhTUh0Z1ljdGVPNER1a3ZkbFRKMTBjdVRIR213OG92alRuVHJrZkZyaVVlRXNYTlRYUmxiN1FmNUpLV3hPbFMzMlpEZUdidi0wa1RROG1vUFpxdG1TXzNWT0NvQdIBsgFBVV95cUxOUnJ2S25BU1drYnNTMXEwWHR4V2ROSVJGTXpDUngxeEJDZTVJUUVXT0JSbWo1NldBRWdILVIxeHo3MHNxVncxUm1hZWRLcU1YQkJrRTkxNzJGTUJPdVljb2U4MEZjX00wTlJZRE5BN2xfbHpxaDJTZlNMSGJjYjB1RFV0Q3Y5enZxeHlmZTc4X1VZTnJFMDhsWXlRNlFwbWx0ZDJNSVdFOWg3cnlNeTBLWFVR?oc=5
MANUGRAPH,Manugraph India Limited,Manugraph launches India-made CI flexo press at IndiaPlast 2019 - THE PACKMAN - the packman,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxNbmREZFNib2Q3TDFwUEtWS0h3elZITjREM0drWElVMEZNdTk2dkJ4QndSU0xSVWYtMVBWWmhkWGZPdjBpbFpUZUtsSjB0dGc3a2xmMEd3RVNZbWw1bTYwa2VySjF1QTFRdnMzVExjX2R6ZkZHNlEyOGk5a3BHbVh3VGFsLUF6LXREd0t1SW9Sa9IBlAFBVV95cUxQT08tSURhSUNIU01ROUhlLU1laER3S25MWGxDc0JSbVMyZTZTaVRWU3NEYmNCT0t4UjVKWS1nTUhmOHVoNzBDbjBOTXdObzh3WW01LVUwelptcHZicF9jWnZSaVFfTUJvbjVOQXQ5bzdJZ0FjSG1GbzBzZzktdmxmZ1Fmei0xdUZORHZnOEFmWUx6ekZv?oc=5"" target=""_blank"">Manugraph launches India-made CI flexo press at IndiaPlast 2019 - THE PACKMAN</a>&nbsp;&nbsp;<font color=""#6f6f6f"">the packman</font>",2019-03-01 08:00:00,the packman,https://news.google.com/rss/articles/CBMijwFBVV95cUxNbmREZFNib2Q3TDFwUEtWS0h3elZITjREM0drWElVMEZNdTk2dkJ4QndSU0xSVWYtMVBWWmhkWGZPdjBpbFpUZUtsSjB0dGc3a2xmMEd3RVNZbWw1bTYwa2VySjF1QTFRdnMzVExjX2R6ZkZHNlEyOGk5a3BHbVh3VGFsLUF6LXREd0t1SW9Sa9IBlAFBVV95cUxQT08tSURhSUNIU01ROUhlLU1laER3S25MWGxDc0JSbVMyZTZTaVRWU3NEYmNCT0t4UjVKWS1nTUhmOHVoNzBDbjBOTXdObzh3WW01LVUwelptcHZicF9jWnZSaVFfTUJvbjVOQXQ5bzdJZ0FjSG1GbzBzZzktdmxmZ1Fmei0xdUZORHZnOEFmWUx6ekZv?oc=5
MANUGRAPH,Manugraph India Limited,Manugraph and C&C Flexo to manufacture CI press in India - Packaging South Asia,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxQbkw1R0U1VW1kYVJpZkhIUndSdmxHckNQTWtlWFcyTmpGVnNBZ1RuSzU3OUZ0UGJGYzdjeEV6NE0wSWQtdkwxaVNxSkVJNjJUYTZ5NlVvZVpXNkNKMFpKWndsTDE5SG9HT1NzSnRfX2QxaVZiYWRMTVotMHc2YVprOEJTY1F0bmtMMXVYdkxwT0FVOHppcklna2phYTZkYXc0TUxyUXk2RmtROE5RVlVJLTNrWWVqazZVNG1QVnlnLW9scVlT?oc=5"" target=""_blank"">Manugraph and C&amp;C Flexo to manufacture CI press in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Packaging South Asia</font>",2017-07-27 07:00:00,Packaging South Asia,https://news.google.com/rss/articles/CBMixAFBVV95cUxQbkw1R0U1VW1kYVJpZkhIUndSdmxHckNQTWtlWFcyTmpGVnNBZ1RuSzU3OUZ0UGJGYzdjeEV6NE0wSWQtdkwxaVNxSkVJNjJUYTZ5NlVvZVpXNkNKMFpKWndsTDE5SG9HT1NzSnRfX2QxaVZiYWRMTVotMHc2YVprOEJTY1F0bmtMMXVYdkxwT0FVOHppcklna2phYTZkYXc0TUxyUXk2RmtROE5RVlVJLTNrWWVqazZVNG1QVnlnLW9scVlT?oc=5
MANUGRAPH,Manugraph India Limited,Manugraph India Ltd Reports Strong Quarterly Growth Amid Mixed Long-Term Returns - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxOd2p1YlJ4cjB6UGxZb2Jtakt2SXdyZTVJbWRkQXZTZExJb2w5T24wTHdkcVhoTDQ2UzBuMkVoOXcwNmFNa21SeU90WkoxZW1ta1Zld3Y5OU9GUXVKZWFrRWtGM3FWUUphcHF0SEttX2Jsa3pFVVZWRXFUNEgwSl9URGNUOVB3MUlOUUV0c2RkTUJmTElVNWRBTE00aW1RWWdFMkFpVmd1QWZ4U1QwU2FBdEozX1M1ektFczYwV1lNNTByYkxSM29BVlRHeFpQY0d5c0daZA?oc=5"" target=""_blank"">Manugraph India Ltd Reports Strong Quarterly Growth Amid Mixed Long-Term Returns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-11 02:49:07,Markets Mojo,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOd2p1YlJ4cjB6UGxZb2Jtakt2SXdyZTVJbWRkQXZTZExJb2w5T24wTHdkcVhoTDQ2UzBuMkVoOXcwNmFNa21SeU90WkoxZW1ta1Zld3Y5OU9GUXVKZWFrRWtGM3FWUUphcHF0SEttX2Jsa3pFVVZWRXFUNEgwSl9URGNUOVB3MUlOUUV0c2RkTUJmTElVNWRBTE00aW1RWWdFMkFpVmd1QWZ4U1QwU2FBdEozX1M1ektFczYwV1lNNTByYkxSM29BVlRHeFpQY0d5c0daZA?oc=5
