scrip,company,headline,summary,published_date,source,url
MARICO,Marico Limited,"Marico Limited Allots 17,077 Equity Shares Under ESOP 2016, Increases Paid-Up Share Capital - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxOUlZmaFlrU0c5V2RtV2I1bzdvRjl5LXd3TTZ6TnByOUV2RUdxM0pEaXlLMUhlTzZRb0lkZjRsTi0tY0lVTFVLbUpCZ2JfNlNvbzNhRUdPUkNVdHFJM3htNzNUQ2VkMlpMeXktYVROUzkzSXRvQVh3RkJHRThudFNkaDFiX1A5b3JJcUVTampBNjN4ajZ5d0VhYlM0QUhzdEFhSXlYaDhaRVFFSWIwSUx0bWlNajlDOEtNTzVodTQ2V2pMQ0E5QkRBcl8yRGxqSzR4eWhUbm14X2NxSW9TSUlnTEFGbzhjNG1XRVNv?oc=5"" target=""_blank"">Marico Limited Allots 17,077 Equity Shares Under ESOP 2016, Increases Paid-Up Share Capital</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-23 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi6wFBVV95cUxOUlZmaFlrU0c5V2RtV2I1bzdvRjl5LXd3TTZ6TnByOUV2RUdxM0pEaXlLMUhlTzZRb0lkZjRsTi0tY0lVTFVLbUpCZ2JfNlNvbzNhRUdPUkNVdHFJM3htNzNUQ2VkMlpMeXktYVROUzkzSXRvQVh3RkJHRThudFNkaDFiX1A5b3JJcUVTampBNjN4ajZ5d0VhYlM0QUhzdEFhSXlYaDhaRVFFSWIwSUx0bWlNajlDOEtNTzVodTQ2V2pMQ0E5QkRBcl8yRGxqSzR4eWhUbm14X2NxSW9TSUlnTEFGbzhjNG1XRVNv?oc=5
MARICO,Marico Limited,"Marico Share Price: Should You Buy, Sell, or Hold This FMCG Stock After Q3 Results? By Trade Brains - Investing.com India","<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNTUpiNWplVlVadFVYWklZcUp3ZFhacnRhMTU3dHhWMFVJbWk2anBBT3ZhcGo0MTFwQzNGWWk5dnFrQUY3UzM4REs1TnRiOW5iOG5LbUM1NTBIWkIxbzZJUTBmR3A1N011bS1ZeURhQzBpaEtXVTNOenlXQVZWano2Um92cThIYUVXYUZFNG1INkdXODBjcjZiaVkzRnlkaVgzNFVDdEZGa1Fvcm9RRDhrVUNNR1dkbE5DdEZVSkxhTE13LVFKV09lWDZJWHdIVDF6?oc=5"" target=""_blank"">Marico Share Price: Should You Buy, Sell, or Hold This FMCG Stock After Q3 Results? By Trade Brains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Investing.com India</font>",2026-01-28 08:00:00,Investing.com India,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNTUpiNWplVlVadFVYWklZcUp3ZFhacnRhMTU3dHhWMFVJbWk2anBBT3ZhcGo0MTFwQzNGWWk5dnFrQUY3UzM4REs1TnRiOW5iOG5LbUM1NTBIWkIxbzZJUTBmR3A1N011bS1ZeURhQzBpaEtXVTNOenlXQVZWano2Um92cThIYUVXYUZFNG1INkdXODBjcjZiaVkzRnlkaVgzNFVDdEZGa1Fvcm9RRDhrVUNNR1dkbE5DdEZVSkxhTE13LVFKV09lWDZJWHdIVDF6?oc=5
MARICO,Marico Limited,Marico Ltd. Stock Hits All-Time High at ₹782.8 on 18 Feb 2026 - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxOMFhnemxROEZuc1liMTVYcktpQWMzX2hJTkdVWHJTSkEyNklxQ0NzZ01VU3h4N3pGUDA4Q01JQk5nMHY1WF90MFBsS0xMSWY3c3dVVjRLZmRNWktxbW81NXcyRjBCZDlaZWZzUDN4TFBXT2dCYXZMcEo1SWRVcDR0TVNkbkVxZFlPVFFqMkJReHRjaVpMMzlBTTB0djZsdlhzb2RhaVdzZURwZldUZ0pod3dRQmZDTUE?oc=5"" target=""_blank"">Marico Ltd. Stock Hits All-Time High at ₹782.8 on 18 Feb 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-18 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMitwFBVV95cUxOMFhnemxROEZuc1liMTVYcktpQWMzX2hJTkdVWHJTSkEyNklxQ0NzZ01VU3h4N3pGUDA4Q01JQk5nMHY1WF90MFBsS0xMSWY3c3dVVjRLZmRNWktxbW81NXcyRjBCZDlaZWZzUDN4TFBXT2dCYXZMcEo1SWRVcDR0TVNkbkVxZFlPVFFqMkJReHRjaVpMMzlBTTB0djZsdlhzb2RhaVdzZURwZldUZ0pod3dRQmZDTUE?oc=5
MARICO,Marico Limited,"Premium portfolio, strong Q3 results boost outlook for Marico stock - Business Standard","<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPblhWekEzcGZueFVmVXdieXM0TFllazVpVzZtWC1Cel96b0Y2OXJoY21kQ0R6OE1aaDktRlFOV0o2RDg4ZU50dUxqb3lCYTZIZ2tFQ0x5QWZaZnlJY1lOYnpMMFc2X2lkOUVjVy1YMGVWZXlCMmhqSVU2QUtCV0dINWdzRFdzQXM0OG5CZk0weVNsVUt5bW1vakdqZzhJRDBZdjJRSW84bVo2YjJqMUk5aHhfVUFWdFAtRjJURnI0dEg1TWU3MThSbThlelVwd9IB0wFBVV95cUxPQzVKZ2d2ZVgzRmlxQ2RZUUI5S3RNVGoyWnhXa1ZmQ0hDZlBLNjkzejQxaWxlNUdtaVdqdXIxZkpxdEhxNjZQcFpBblQwbHQ3eVRNek1IUDFWM2hXckc4WXNpM29ta2c5WTFWZ3VCek1Qa2ZWQzZkOUkxdE9tYlp4Nm5jVXFveEVWQUJmUDZpVmxxS1FwODkzWWw5cjQ2UnB0T0hZVGdSekpmTkFxUG0wUEM0SFk1N04taUp2WUNmSVhFOUJJWjRJczZyOFBKZnFtYzBn?oc=5"" target=""_blank"">Premium portfolio, strong Q3 results boost outlook for Marico stock</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2026-02-20 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMizgFBVV95cUxPblhWekEzcGZueFVmVXdieXM0TFllazVpVzZtWC1Cel96b0Y2OXJoY21kQ0R6OE1aaDktRlFOV0o2RDg4ZU50dUxqb3lCYTZIZ2tFQ0x5QWZaZnlJY1lOYnpMMFc2X2lkOUVjVy1YMGVWZXlCMmhqSVU2QUtCV0dINWdzRFdzQXM0OG5CZk0weVNsVUt5bW1vakdqZzhJRDBZdjJRSW84bVo2YjJqMUk5aHhfVUFWdFAtRjJURnI0dEg1TWU3MThSbThlelVwd9IB0wFBVV95cUxPQzVKZ2d2ZVgzRmlxQ2RZUUI5S3RNVGoyWnhXa1ZmQ0hDZlBLNjkzejQxaWxlNUdtaVdqdXIxZkpxdEhxNjZQcFpBblQwbHQ3eVRNek1IUDFWM2hXckc4WXNpM29ta2c5WTFWZ3VCek1Qa2ZWQzZkOUkxdE9tYlp4Nm5jVXFveEVWQUJmUDZpVmxxS1FwODkzWWw5cjQ2UnB0T0hZVGdSekpmTkFxUG0wUEM0SFk1N04taUp2WUNmSVhFOUJJWjRJczZyOFBKZnFtYzBn?oc=5
MARICO,Marico Limited,Marico Limited's (NSE:MARICO) Stock Has Shown A Decent Performance: Have Financials A Role To Play? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQdTNsblN5b283MTNTSUtxLWt1ajFzd3pwNzJ1OVAyYkZIRUgxZHpvcGZ1cGtYMlB2ekJyRy1KbGtjbmlvZHpxTjVjNGxuck5oMVZHRFl5c1kxbkJjblo1WmRUWE9LbGFmTF8wT2lBNHJJYmxoQ1ZmOWhrS2lkMEJSM3BGc1pReGdIRUdXVkhpVVZpa25nR3Y0eUE4Ull2cEg1ZWZmajl1RjJLejJRQU5hblE3WHBIZ0h5RmgwS1RiRzVEd2hFZGNoSmhJU2ZoVThxdDJBdG5pbUVRa1Rf0gHiAUFVX3lxTFBwUW1EZURIMEtpRU1NZ0tyUkx0T3pCT3dBUEd4NFFJcDJqelhNZllmSGRrdmxCOGY0VTB0cUN1VFRRVzVDb09kdFJVWmJWTVcxVzhJQVlRVUdETHM5UXFxVXFER1NPMGdqbC1WQjZybkw0dGh0UmkzcFFHMlU1aUJ4dTRETDZrM2ZyYVJPVGVSQ3hTZjI4NFdIbU11OXhEUE1YNFZ6UHJ1bGxxX0NaNjZPS2hWVFQyUlY4c09STmFtTHlzMVVNc2lFMS1ucTBhS3NnVkk5c1dDWlBhX3pZOTFhMHc?oc=5"" target=""_blank"">Marico Limited's (NSE:MARICO) Stock Has Shown A Decent Performance: Have Financials A Role To Play?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-10-19 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQdTNsblN5b283MTNTSUtxLWt1ajFzd3pwNzJ1OVAyYkZIRUgxZHpvcGZ1cGtYMlB2ekJyRy1KbGtjbmlvZHpxTjVjNGxuck5oMVZHRFl5c1kxbkJjblo1WmRUWE9LbGFmTF8wT2lBNHJJYmxoQ1ZmOWhrS2lkMEJSM3BGc1pReGdIRUdXVkhpVVZpa25nR3Y0eUE4Ull2cEg1ZWZmajl1RjJLejJRQU5hblE3WHBIZ0h5RmgwS1RiRzVEd2hFZGNoSmhJU2ZoVThxdDJBdG5pbUVRa1Rf0gHiAUFVX3lxTFBwUW1EZURIMEtpRU1NZ0tyUkx0T3pCT3dBUEd4NFFJcDJqelhNZllmSGRrdmxCOGY0VTB0cUN1VFRRVzVDb09kdFJVWmJWTVcxVzhJQVlRVUdETHM5UXFxVXFER1NPMGdqbC1WQjZybkw0dGh0UmkzcFFHMlU1aUJ4dTRETDZrM2ZyYVJPVGVSQ3hTZjI4NFdIbU11OXhEUE1YNFZ6UHJ1bGxxX0NaNjZPS2hWVFQyUlY4c09STmFtTHlzMVVNc2lFMS1ucTBhS3NnVkk5c1dDWlBhX3pZOTFhMHc?oc=5
MARICO,Marico Limited,Marico shares in focus as arm acquires Vietnamese skincare company for Rs 262 crore - The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxQcVRCSTNrUXZaMEJwUGU1YXdxUkNxUDQxd0lGNEJ4M2txcVY0a0xzQUoyUnIwaW1ESFJJQXRQRzJobS1QNkhTd3BwM1o5ZkpEZEY5Y0Nka2xZWEVhZjdqdi1IVjNPVVVOajdNU00wZGlDOUt6VGNaX1lNbWxtTkxHLV9HckRXcVhoMHo2bDZ5ZHgzSnB0WkZmZU9IaG5xUjh3bEo0d3VyZDFobVpDY3dTa1Q5TzNHc0drZm1GRU00WUdubXhIMVZIVUoxN0hDdTRVRUJLMldoUzZDVDRCMVZvLWdNOXJkM1FDX1U3ZWdB0gHzAUFVX3lxTE1OQXlWN205U0I5UFlRd0xaWVROS1Q2NGE0ZXUxZVVpaUdLcy0tNW5NMlp1c29rUzBvb1JFd3FNYk9GZkRORGhBYVF6TXdfX0VRTFpwS1ZzMzcxMjZfMGtRckdmcjJSQ0ZqSU1kQjhmZlNkaDgyUFlzakNDNzlrS0FXNXRJQUMzNnc5TnhMRjBpNDdkM29LUjQxVk1ySFY1MndVM1hKZVdwd2RXMS1DQURWQ2RjbGR5VXR4Q1BhR3RTTEhQZHQwWkVuNGg2WFZWcU5lZXZWcTdiLXFvQlFtcEJHbElzb0xNam11VHZQbFhYVlNSZw?oc=5"" target=""_blank"">Marico shares in focus as arm acquires Vietnamese skincare company for Rs 262 crore</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",2026-02-10 08:00:00,The Economic Times,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQcVRCSTNrUXZaMEJwUGU1YXdxUkNxUDQxd0lGNEJ4M2txcVY0a0xzQUoyUnIwaW1ESFJJQXRQRzJobS1QNkhTd3BwM1o5ZkpEZEY5Y0Nka2xZWEVhZjdqdi1IVjNPVVVOajdNU00wZGlDOUt6VGNaX1lNbWxtTkxHLV9HckRXcVhoMHo2bDZ5ZHgzSnB0WkZmZU9IaG5xUjh3bEo0d3VyZDFobVpDY3dTa1Q5TzNHc0drZm1GRU00WUdubXhIMVZIVUoxN0hDdTRVRUJLMldoUzZDVDRCMVZvLWdNOXJkM1FDX1U3ZWdB0gHzAUFVX3lxTE1OQXlWN205U0I5UFlRd0xaWVROS1Q2NGE0ZXUxZVVpaUdLcy0tNW5NMlp1c29rUzBvb1JFd3FNYk9GZkRORGhBYVF6TXdfX0VRTFpwS1ZzMzcxMjZfMGtRckdmcjJSQ0ZqSU1kQjhmZlNkaDgyUFlzakNDNzlrS0FXNXRJQUMzNnc5TnhMRjBpNDdkM29LUjQxVk1ySFY1MndVM1hKZVdwd2RXMS1DQURWQ2RjbGR5VXR4Q1BhR3RTTEhQZHQwWkVuNGg2WFZWcU5lZXZWcTdiLXFvQlFtcEJHbElzb0xNam11VHZQbFhYVlNSZw?oc=5
MARICO,Marico Limited,"Marico shares gain after latest acquisition, ahead of Q3 results - CNBC TV18","<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPd2ZYUzdMdk9Qa1FGRUhBSkl2aWY4dG14NW1YbVE2cjRtRGUza2hQak54dnBNR1FnaDlMbUEydTBIUDdoclV6S1ZSLWVvYVQ2UTNzY291Y2ZISnNwLXB5UXlHLVI2MVpIYk1ZWDRfaDQwSTZobXFSTTFGenFaS0ZBQjgzTEdvWnBVVVhkczFMZ0NlVEFGeTVKcmg3UmZwN1FrdGdXYUZ6TFpGZmNDUlBvZkhoNEl3RjR0djlKR2dxU004NEJzZmFrTlhTV3daQdIB0wFBVV95cUxNQ0lBLUtpbXpZSWRQWi03Y2JvbkVWSm4xZkxVRWY3UHhDSFVjNkVPZzd4aVZuclBybW9JZWFGdnk4aUZBczk3N3hRaWtsX19GLU02WlkzSnhXRU1JUjZLcnNZbjZoNXI3d2pLZW9VSWxMRlNMSmJBMTcyREo4SjBBbklSb29ZelJHSEU3V2FlaUFaWFVxX3MtdUNIOVNsWjQ5YmkyLUd6Mnp0ZzRBeWEyemZLcWFQZWdyY25XSVNlaVliT2JIZi00Q2EzWDNSQ1pfZUdV?oc=5"" target=""_blank"">Marico shares gain after latest acquisition, ahead of Q3 results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2026-01-27 08:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMizgFBVV95cUxPd2ZYUzdMdk9Qa1FGRUhBSkl2aWY4dG14NW1YbVE2cjRtRGUza2hQak54dnBNR1FnaDlMbUEydTBIUDdoclV6S1ZSLWVvYVQ2UTNzY291Y2ZISnNwLXB5UXlHLVI2MVpIYk1ZWDRfaDQwSTZobXFSTTFGenFaS0ZBQjgzTEdvWnBVVVhkczFMZ0NlVEFGeTVKcmg3UmZwN1FrdGdXYUZ6TFpGZmNDUlBvZkhoNEl3RjR0djlKR2dxU004NEJzZmFrTlhTV3daQdIB0wFBVV95cUxNQ0lBLUtpbXpZSWRQWi03Y2JvbkVWSm4xZkxVRWY3UHhDSFVjNkVPZzd4aVZuclBybW9JZWFGdnk4aUZBczk3N3hRaWtsX19GLU02WlkzSnhXRU1JUjZLcnNZbjZoNXI3d2pLZW9VSWxMRlNMSmJBMTcyREo4SjBBbklSb29ZelJHSEU3V2FlaUFaWFVxX3MtdUNIOVNsWjQ5YmkyLUd6Mnp0ZzRBeWEyemZLcWFQZWdyY25XSVNlaVliT2JIZi00Q2EzWDNSQ1pfZUdV?oc=5
MARICO,Marico Limited,"Marico Ltd. Stock Hits All-Time High, Marking a Significant Milestone - Markets Mojo","<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxPWV93R0lLVGJQUDRxdmFwUWhtbHdkT3hVWWc2TXFaMXVRdk9zLVVlOXFPMThFb3dNX09SSUowVW5NLUFBSG5EOUprelF5NmtMQ2V0YmgyUVpKM0w3UWFQYTZvNjJ5WTFVUVZncWc5ZWpLRjlFTjFoSm9xdEJkVTY0U2FPRnR1VDAwRlMxRVU1aEF2eFhJTGg4a3MxNjJSeVpveldySmNLYW5DQWRmYm1rV245SUFGc0czMWRHRWFaN1lEaXM?oc=5"" target=""_blank"">Marico Ltd. Stock Hits All-Time High, Marking a Significant Milestone</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-23 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPWV93R0lLVGJQUDRxdmFwUWhtbHdkT3hVWWc2TXFaMXVRdk9zLVVlOXFPMThFb3dNX09SSUowVW5NLUFBSG5EOUprelF5NmtMQ2V0YmgyUVpKM0w3UWFQYTZvNjJ5WTFVUVZncWc5ZWpLRjlFTjFoSm9xdEJkVTY0U2FPRnR1VDAwRlMxRVU1aEF2eFhJTGg4a3MxNjJSeVpveldySmNLYW5DQWRmYm1rV245SUFGc0czMWRHRWFaN1lEaXM?oc=5
MARICO,Marico Limited,Risks To Shareholder Returns Are Elevated At These Prices For Marico Limited (NSE:MARICO) - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxObVRuNnNHRHQ4WjRMdDJhclY1LVNIcGROQ3VjUVVkNVVrZWU0d013M1BDTmxOaUV2bkdiVDh3VHVWcS1pMW93Q3FoTldCWkpaT0dXWG5qVU16a2o2djFXby02YlBxTW01YjNSdmVETUxwcXhGRjkzdWVfeDVIOGVsb1czOF9XWjZTcmVpMS1rU1ZyUWdPdF9ZX01YNnp4UWFzckpFWlZ3TUVtMktjWWpXTnBaSXp4bmFMVjdKZVNZRWxzWnVPbzB2czlYNXBVdXptWjJXVFVTVkZicFJRUmdTRHBn?oc=5"" target=""_blank"">Risks To Shareholder Returns Are Elevated At These Prices For Marico Limited (NSE:MARICO)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-05 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4gFBVV95cUxObVRuNnNHRHQ4WjRMdDJhclY1LVNIcGROQ3VjUVVkNVVrZWU0d013M1BDTmxOaUV2bkdiVDh3VHVWcS1pMW93Q3FoTldCWkpaT0dXWG5qVU16a2o2djFXby02YlBxTW01YjNSdmVETUxwcXhGRjkzdWVfeDVIOGVsb1czOF9XWjZTcmVpMS1rU1ZyUWdPdF9ZX01YNnp4UWFzckpFWlZ3TUVtMktjWWpXTnBaSXp4bmFMVjdKZVNZRWxzWnVPbzB2czlYNXBVdXptWjJXVFVTVkZicFJRUmdTRHBn?oc=5
MARICO,Marico Limited,Marico Limited Publishes Official Transcript of Strategic Investment Conference Call - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxPY1NfNWhjZ2JVSWJTYjFERFFvQjlUOUpNejhFdXVMdVhtSXM3SFFsTElNZG1ST09mdnhqWWRrUXB6bU1XMFhaemRBRlYyMTJpNGRiNU9SNEN5ZFMzYTJCNnl2b2VCZ0pISzJQWVpDOEFQQkRZeUNZN3Z2VENjOUJ2dXBaYjRLWWV3SEdHYUh1R21KXzktOU9rX3k1NUN3T3BCZUJSZUFmVUFZV0xDMXZHaFNMaVhfS2EyY3diZUhCVTdhTC1QbU1HYWdDVjIxUFZPVkJ0MmtHNmRYd25OSUE2ODJsNGg5Y05NNWRaWi0yWmVLVnBORUdSNWEweWJwa3JHc2c?oc=5"" target=""_blank"">Marico Limited Publishes Official Transcript of Strategic Investment Conference Call</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-13 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiggJBVV95cUxPY1NfNWhjZ2JVSWJTYjFERFFvQjlUOUpNejhFdXVMdVhtSXM3SFFsTElNZG1ST09mdnhqWWRrUXB6bU1XMFhaemRBRlYyMTJpNGRiNU9SNEN5ZFMzYTJCNnl2b2VCZ0pISzJQWVpDOEFQQkRZeUNZN3Z2VENjOUJ2dXBaYjRLWWV3SEdHYUh1R21KXzktOU9rX3k1NUN3T3BCZUJSZUFmVUFZV0xDMXZHaFNMaVhfS2EyY3diZUhCVTdhTC1QbU1HYWdDVjIxUFZPVkJ0MmtHNmRYd25OSUE2ODJsNGg5Y05NNWRaWi0yWmVLVnBORUdSNWEweWJwa3JHc2c?oc=5
