scrip,company,headline,summary,published_date,source,url
MIRCELECTR,MIRC Electronics Limited,MIRC Electronics Limited's (NSE:MIRCELECTR) 27% Price Boost Is Out Of Tune With Revenues - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxOTEZweGxjYzhjUkt3OUlOemxybkpZbjlKMlFyMVBZVDNwUXdvUm93azY2X0QwdFU4aE9CQzktT3p6cFEzNWZ3dGFodUZCTmpVSmFDYWlFUUlZR04tVF9VaFluN2RlQTdMMTNhZU1fMGQ2M1ZHQ1NFWjQ3LTBUR1ZXdlBkMlRWRWJUcm9uM2tiZXFWQU45emYtWlk2QVV5YU02alVNbjZtM2xfT1I4YU5zbktheUlsYlUySy16eFFSNEs0TEpTbDNHdHo5alp6b3lyYmxJT3NuLXhobmVNb2lUVTAtdXVOOWU3Z3fSAe8BQVVfeXFMT3c4U0hHSnowejZSeFl6MHlWWE9VTWt2bngwWVV6el9LY2kyUngzdkxFTnRYbXl1Vkt2S2h5Y1I0RldZdmlsaEdnc09LcndYVEJGUHNfTHg1RWdqdVNEM0lPSjV0a2lKUU9uVkN2TXdfRzg5UTZDQ3dhTndyQTZnTVBTTVVVRTdIZERBT28xSWpnNVFTb19KTjlCdHUtUENFOUtsaE0tRzZsYWVyQVJ3VEdiUEMwNTdRdk1RaENyMFBYNHF6OWotcHVyM21zVERCb0dqdGxHWkZkN0ZIR0dYMmJVUEJSQ2s3QThjM3B4a3M?oc=5"" target=""_blank"">MIRC Electronics Limited's (NSE:MIRCELECTR) 27% Price Boost Is Out Of Tune With Revenues</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-10 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOTEZweGxjYzhjUkt3OUlOemxybkpZbjlKMlFyMVBZVDNwUXdvUm93azY2X0QwdFU4aE9CQzktT3p6cFEzNWZ3dGFodUZCTmpVSmFDYWlFUUlZR04tVF9VaFluN2RlQTdMMTNhZU1fMGQ2M1ZHQ1NFWjQ3LTBUR1ZXdlBkMlRWRWJUcm9uM2tiZXFWQU45emYtWlk2QVV5YU02alVNbjZtM2xfT1I4YU5zbktheUlsYlUySy16eFFSNEs0TEpTbDNHdHo5alp6b3lyYmxJT3NuLXhobmVNb2lUVTAtdXVOOWU3Z3fSAe8BQVVfeXFMT3c4U0hHSnowejZSeFl6MHlWWE9VTWt2bngwWVV6el9LY2kyUngzdkxFTnRYbXl1Vkt2S2h5Y1I0RldZdmlsaEdnc09LcndYVEJGUHNfTHg1RWdqdVNEM0lPSjV0a2lKUU9uVkN2TXdfRzg5UTZDQ3dhTndyQTZnTVBTTVVVRTdIZERBT28xSWpnNVFTb19KTjlCdHUtUENFOUtsaE0tRzZsYWVyQVJ3VEdiUEMwNTdRdk1RaENyMFBYNHF6OWotcHVyM21zVERCb0dqdGxHWkZkN0ZIR0dYMmJVUEJSQ2s3QThjM3B4a3M?oc=5
MIRCELECTR,MIRC Electronics Limited,MIRC Electronics Jumps 5% on ₹149.5 Cr Preferential Issue - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxNM0xpb0tINXdWS1hnNWhhaXFNUXRpb2QxRHBpS0RPN2lzakYzLVNZNzFybDJQbTdWVDRob2J6Y3FPQS1lNlBaZnlmWVQ1eDB3cVVPT0hvVEx4SVlPZHowekFGcm1mRUtJYThkbHV0dEs0eDJTdnhKTzJLR09YSTJpTEdTeVF1Mzh1NUIwaEpLXzdjVjZkck5tMmJqWjZCTi13SEN6NEhvT04zbjNURlBPSW83TnUydkZUazhKWU1sWQ?oc=5"" target=""_blank"">MIRC Electronics Jumps 5% on ₹149.5 Cr Preferential Issue</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-10 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMivwFBVV95cUxNM0xpb0tINXdWS1hnNWhhaXFNUXRpb2QxRHBpS0RPN2lzakYzLVNZNzFybDJQbTdWVDRob2J6Y3FPQS1lNlBaZnlmWVQ1eDB3cVVPT0hvVEx4SVlPZHowekFGcm1mRUtJYThkbHV0dEs0eDJTdnhKTzJLR09YSTJpTEdTeVF1Mzh1NUIwaEpLXzdjVjZkck5tMmJqWjZCTi13SEN6NEhvT04zbjNURlBPSW83TnUydkZUazhKWU1sWQ?oc=5
MIRCELECTR,MIRC Electronics Limited,MIRC Electronics to Launch ₹49.5 Cr Rights Issue July 14 - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQaGI2c1pzZ0RXZ0JIUnpKdlJ1YlZQdWw4Z0FTelhyc1hPenh3djl2ckM1YnlWRldmcHFjWUVGeVB4eDhrM3hCNFVzMWIyV1N5enNvQ1FYU2gxNGhqYmhmRlBJdmxvazdLSzJNZHdMQ1RBaVpBeUtWLVVyNXVIM2pSZDRwZ0JpZ2ktNG1JRUZCMWZHWEJLbzdsRExSUGdSbms?oc=5"" target=""_blank"">MIRC Electronics to Launch ₹49.5 Cr Rights Issue July 14</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-06-25 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMinwFBVV95cUxQaGI2c1pzZ0RXZ0JIUnpKdlJ1YlZQdWw4Z0FTelhyc1hPenh3djl2ckM1YnlWRldmcHFjWUVGeVB4eDhrM3hCNFVzMWIyV1N5enNvQ1FYU2gxNGhqYmhmRlBJdmxvazdLSzJNZHdMQ1RBaVpBeUtWLVVyNXVIM2pSZDRwZ0JpZ2ktNG1JRUZCMWZHWEJLbzdsRExSUGdSbms?oc=5
MIRCELECTR,MIRC Electronics Limited,"MIRC Electronics Limited Announces Rights Issue Opening on July 14, 2025 - ThePrint","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOeDFCMjU2ZEdfWi1PaUthWGJKZTRudHJObl9WMkJlazlMME5SSjVhQ1NuaUpqd3c0eUpsT2NuNXNCSXhwMTEtMHRWS0c5RUdBVTN6RlZDaUtEcU40VXMwUEdjVzdYX0hzVVhGdlVKa2hqd2VQV1lCbndVWFB1NE9LUkRmdWgyZ1l3R2VvNDVWTks2empJY2UwdURjUEZUaVMwaEZ1M0pXcVZfMDE0a3dMSTNVdXdtU2NQU3Vn0gHAAUFVX3lxTE5DVnBXeWI5ZXlwWWdkRHNIWXA2TGZESEYwbEN4VHpaUGFlcVlGQmItTzB0d2dfaFFtUGZZVldqZ0VDU2wzZmdlOWxySms0aDM4OXZJeUtNUWM0Zm4zUGtlR0hLQjRqLUdLR3YwUEk1T0toWHZxcGllMjU1T0pMTlNROGt4STB6eF9CS0hqRlRGalFZZG9KdzU4Rnd2VFM5cXlxTjdxYkw4T0l4NkpYR3JXQ09kOEktckd6ZXlQUVVBdg?oc=5"" target=""_blank"">MIRC Electronics Limited Announces Rights Issue Opening on July 14, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ThePrint</font>",2025-07-15 07:00:00,ThePrint,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOeDFCMjU2ZEdfWi1PaUthWGJKZTRudHJObl9WMkJlazlMME5SSjVhQ1NuaUpqd3c0eUpsT2NuNXNCSXhwMTEtMHRWS0c5RUdBVTN6RlZDaUtEcU40VXMwUEdjVzdYX0hzVVhGdlVKa2hqd2VQV1lCbndVWFB1NE9LUkRmdWgyZ1l3R2VvNDVWTks2empJY2UwdURjUEZUaVMwaEZ1M0pXcVZfMDE0a3dMSTNVdXdtU2NQU3Vn0gHAAUFVX3lxTE5DVnBXeWI5ZXlwWWdkRHNIWXA2TGZESEYwbEN4VHpaUGFlcVlGQmItTzB0d2dfaFFtUGZZVldqZ0VDU2wzZmdlOWxySms0aDM4OXZJeUtNUWM0Zm4zUGtlR0hLQjRqLUdLR3YwUEk1T0toWHZxcGllMjU1T0pMTlNROGt4STB6eF9CS0hqRlRGalFZZG9KdzU4Rnd2VFM5cXlxTjdxYkw4T0l4NkpYR3JXQ09kOEktckd6ZXlQUVVBdg?oc=5
MIRCELECTR,MIRC Electronics Limited,MIRCELECTR Share Price | MIRC Electronics Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE16UTlyNWpEcUFHNkQ5MlhOT0xKVW5HSkRIaV9qUEZES2NRM19Sa3BkRlVrd0tqWXItM0dWZEE0aDhMRl8xZ3IwMkp2Q0hLbmZXZjJGUTFtbjJMQmtWMXhVb19OY3FUNmN1aGppMDd1X2RDS1F0bU42dQ?oc=5"" target=""_blank"">MIRCELECTR Share Price | MIRC Electronics Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-02-09 17:36:59,Markets Mojo,https://news.google.com/rss/articles/CBMieEFVX3lxTE16UTlyNWpEcUFHNkQ5MlhOT0xKVW5HSkRIaV9qUEZES2NRM19Sa3BkRlVrd0tqWXItM0dWZEE0aDhMRl8xZ3IwMkp2Q0hLbmZXZjJGUTFtbjJMQmtWMXhVb19OY3FUNmN1aGppMDd1X2RDS1F0bU42dQ?oc=5
MIRCELECTR,MIRC Electronics Limited,The Returns At MIRC Electronics (NSE:MIRCELECTR) Aren't Growing - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxPLXBDUmtBMHdvTWcxd3hVTW9pQWU4d2VwWUNVQXN0MHVCWmVRVVNJMEl4MlZDaXpwZE9IREdOTU56U1o0bC1nRmpHbXhHRGNreWRxRGdjNmZsWEVyUFZpcGVyZ3k1VjdlVGFMWE82SHFNQk55N3JnM1U3SjdzODJ5TFRWZmE1cFptbHNzbDJicnNJMFdFcWMzTHpRelRNRzFjMjYzYjVITUE5YlBLZDJrT2ZXenBUUVJGdkJtMnJCTzRuZ1lTa0VueE1kUEJwLWJXVF8tWHJPSDNObjZpaEZEYnN0Z0NwdFZX0gHuAUFVX3lxTE80LUx1ZEhBV1c1U3k3Z2ZLZWRyOXNveE9sVzVXSVJ4SE0tWW95Slp5UUFCcS1zRlJWQ2ZiUFc3d0NNdnRtbkdma2hPejdyeEZCZ2NXdjI2VFZCcmlxOVExTG9XTTgtZTBTVktHYXc0ekN6WVFGTVVfU2w0ekVvOWVZQTdYVkQxcWFUNzJmZnpSQzZNTGxuNHFEV3ZjMFZjQmYxMTh4RnNHMzB1NVdWcXNyNU5hZU1aUnBCc2ZrOW5odExXX29rZzlUNExnX0NmZFdxa04yVURLN3pJS01fUEYtS3NBTEVaRllBTTFFbXc?oc=5"" target=""_blank"">The Returns At MIRC Electronics (NSE:MIRCELECTR) Aren't Growing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-06-19 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6AFBVV95cUxPLXBDUmtBMHdvTWcxd3hVTW9pQWU4d2VwWUNVQXN0MHVCWmVRVVNJMEl4MlZDaXpwZE9IREdOTU56U1o0bC1nRmpHbXhHRGNreWRxRGdjNmZsWEVyUFZpcGVyZ3k1VjdlVGFMWE82SHFNQk55N3JnM1U3SjdzODJ5TFRWZmE1cFptbHNzbDJicnNJMFdFcWMzTHpRelRNRzFjMjYzYjVITUE5YlBLZDJrT2ZXenBUUVJGdkJtMnJCTzRuZ1lTa0VueE1kUEJwLWJXVF8tWHJPSDNObjZpaEZEYnN0Z0NwdFZX0gHuAUFVX3lxTE80LUx1ZEhBV1c1U3k3Z2ZLZWRyOXNveE9sVzVXSVJ4SE0tWW95Slp5UUFCcS1zRlJWQ2ZiUFc3d0NNdnRtbkdma2hPejdyeEZCZ2NXdjI2VFZCcmlxOVExTG9XTTgtZTBTVktHYXc0ekN6WVFGTVVfU2w0ekVvOWVZQTdYVkQxcWFUNzJmZnpSQzZNTGxuNHFEV3ZjMFZjQmYxMTh4RnNHMzB1NVdWcXNyNU5hZU1aUnBCc2ZrOW5odExXX29rZzlUNExnX0NmZFdxa04yVURLN3pJS01fUEYtS3NBTEVaRllBTTFFbXc?oc=5
MIRCELECTR,MIRC Electronics Limited,MIRC Electronics Opens Special Window for Legacy Physical Share Demat and Transfers - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOZ0QtY3JMblRoX0dGSjFXS19zLVR2R3h2Mk9UZlM2WjRBZ3BLOFpiakQ5dWdQaFl5MFdOVWVhNkg5SHZZcTVIbDIzSWFlQ0EwWWJpcC1WbUNSVDZFbkl4RXlUdG9WRVZ0QkpqMkhiYnlta2FVaF9ZYmM5Z2ozZXlzWDVUNk9QNEV0Rl93UjR3SFdYM01tWFFqLWd1R2RtaHF0Z1F5WkU1VnVyc2ZlaVB4U2MzeVA1UDVORGNQRjdZQ2RESWk4NnpYamJrdDJlTGFG?oc=5"" target=""_blank"">MIRC Electronics Opens Special Window for Legacy Physical Share Demat and Transfers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2026-02-26 09:24:43,TipRanks,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOZ0QtY3JMblRoX0dGSjFXS19zLVR2R3h2Mk9UZlM2WjRBZ3BLOFpiakQ5dWdQaFl5MFdOVWVhNkg5SHZZcTVIbDIzSWFlQ0EwWWJpcC1WbUNSVDZFbkl4RXlUdG9WRVZ0QkpqMkhiYnlta2FVaF9ZYmM5Z2ozZXlzWDVUNk9QNEV0Rl93UjR3SFdYM01tWFFqLWd1R2RtaHF0Z1F5WkU1VnVyc2ZlaVB4U2MzeVA1UDVORGNQRjdZQ2RESWk4NnpYamJrdDJlTGFG?oc=5
MIRCELECTR,MIRC Electronics Limited,Mirc Electronics Swings to Loss in Fiscal Q3 on Lower Revenue - marketscreener.com,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPUzNnWmtuWlBKMWg1cGFQZ2ptNkkySHBRT0dtdDctMm5HLS1ONXJRUVpMdkltSkU0M2ctOVRwb2pVZnRoUTBoTHFfenMxN3N6ZHJ1WEttUlRSNGx0a096dzduSVp6dXNtT0NudHFaOW5aWkR0ODRzeDVPcFJkSUVRNzI5ZWNkaTQwY3Z6dUkwSldmc05mMEJnUGVWdVpmbkVBQkZlOVpTZXFyaW9ubm1kWGJuZkFXY2wtbmNERlBUM2ZEcW9salY2aWJjNkExQjlGeUVPcU9PWUNiN1RmMkV2WlpzWjBJWmM?oc=5"" target=""_blank"">Mirc Electronics Swings to Loss in Fiscal Q3 on Lower Revenue</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketscreener.com</font>",2023-02-09 08:00:00,marketscreener.com,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPUzNnWmtuWlBKMWg1cGFQZ2ptNkkySHBRT0dtdDctMm5HLS1ONXJRUVpMdkltSkU0M2ctOVRwb2pVZnRoUTBoTHFfenMxN3N6ZHJ1WEttUlRSNGx0a096dzduSVp6dXNtT0NudHFaOW5aWkR0ODRzeDVPcFJkSUVRNzI5ZWNkaTQwY3Z6dUkwSldmc05mMEJnUGVWdVpmbkVBQkZlOVpTZXFyaW9ubm1kWGJuZkFXY2wtbmNERlBUM2ZEcW9salY2aWJjNkExQjlGeUVPcU9PWUNiN1RmMkV2WlpzWjBJWmM?oc=5
MIRCELECTR,MIRC Electronics Limited,Mirc Electronics Stock Price Forecast. Should You Buy MIRCELECTR.NS? - StockInvest.us,"<a href=""https://news.google.com/rss/articles/CBMiVEFVX3lxTE5IT1A3cUdTZUt3aVRlN2dSWkthRU9IRnU4RmVuVXY5MXhySHFlN3BvcTNhTm1iS3dKWFptZ1ZDUndSVVlTZ0JoNGtqSEdsU2FSUHJlTQ?oc=5"" target=""_blank"">Mirc Electronics Stock Price Forecast. Should You Buy MIRCELECTR.NS?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">StockInvest.us</font>",2020-12-24 14:09:51,StockInvest.us,https://news.google.com/rss/articles/CBMiVEFVX3lxTE5IT1A3cUdTZUt3aVRlN2dSWkthRU9IRnU4RmVuVXY5MXhySHFlN3BvcTNhTm1iS3dKWFptZ1ZDUndSVVlTZ0JoNGtqSEdsU2FSUHJlTQ?oc=5
MIRCELECTR,MIRC Electronics Limited,MIRC Electronics Ltd Surges to Upper Circuit Amid Strong Buying Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxNbFJoVlFDV2Q2X0l2b3AxSHNDMkFjcWh6c1ZjY3BOUDd2TlducXVVak9hTllDWC1FbFRyOU5ibUFBOFZRV3hnS1lVdW1IRFFMNUFKNTRoMnN4NFptUHdvNEdmeHhmNFAxd3h6OUNWMkRGOFZCaW9BdVVjTk5zc1ZJNTZNMm5sLXdtc2tYN1Nza2lqeGpOSHBUaEthMjh5aU8xVzFJV1hXQWVOZmVWTXJNMkpkcmRaWEoyb3MxbEpDMjNHNmJ5WFhPTmpR?oc=5"" target=""_blank"">MIRC Electronics Ltd Surges to Upper Circuit Amid Strong Buying Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-01 05:59:05,Markets Mojo,https://news.google.com/rss/articles/CBMiygFBVV95cUxNbFJoVlFDV2Q2X0l2b3AxSHNDMkFjcWh6c1ZjY3BOUDd2TlducXVVak9hTllDWC1FbFRyOU5ibUFBOFZRV3hnS1lVdW1IRFFMNUFKNTRoMnN4NFptUHdvNEdmeHhmNFAxd3h6OUNWMkRGOFZCaW9BdVVjTk5zc1ZJNTZNMm5sLXdtc2tYN1Nza2lqeGpOSHBUaEthMjh5aU8xVzFJV1hXQWVOZmVWTXJNMkpkcmRaWEoyb3MxbEpDMjNHNmJ5WFhPTmpR?oc=5
