scrip,company,headline,summary,published_date,source,url
MOREPENLAB,Morepen Laboratories Limited,"Pre-market most active: MOREPENLAB.NS Morepen Labs (NSE) INR 46.47, vol 84.44M watch breakout - Meyka","<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNMWhjT2g4NmNmakg0c1gwdWNRMnIwcFJvWHRFbFhfSl9jb3Z3RExuZmI3cWw5N0g2TmFVcW9GZkpWU3JkUDcyZG9XOVdHcFdFTnlYWGZBM00wYVlSNkNyblVZVDFfbERpd0JCTV9wSVBuc2xiNDBBVHg2VjFPOUZackpBdkRtZVBsc0VCZFZ2dS1LbUFkTDA4YlVzdkh6VTFkb3lPNlFiSllaUm1LRklub01hXzEwQQ?oc=5"" target=""_blank"">Pre-market most active: MOREPENLAB.NS Morepen Labs (NSE) INR 46.47, vol 84.44M watch breakout</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2026-02-26 20:00:22,Meyka,https://news.google.com/rss/articles/CBMitgFBVV95cUxNMWhjT2g4NmNmakg0c1gwdWNRMnIwcFJvWHRFbFhfSl9jb3Z3RExuZmI3cWw5N0g2TmFVcW9GZkpWU3JkUDcyZG9XOVdHcFdFTnlYWGZBM00wYVlSNkNyblVZVDFfbERpd0JCTV9wSVBuc2xiNDBBVHg2VjFPOUZackpBdkRtZVBsc0VCZFZ2dS1LbUFkTDA4YlVzdkh6VTFkb3lPNlFiSllaUm1LRklub01hXzEwQQ?oc=5
MOREPENLAB,Morepen Laboratories Limited,Morepen Lab Shares Skyrocket 19% on Getting a Rs 825 Crore Contract - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxQbUl6NUpFLW5BeFNnNmQ1eWExamZWT0JnYVBJeFRlaWRfM0Z5ZTBTaEl2MEc5bWtqZlNpMWdZSnBia1dkOFA4dENXbkphSXptQ3lTZTNHWEU2djI5VjhmTlFSRnlZcE1oNmVfLWF3ejlzSFQ4UHlZYzFrSmRmdkpMNGl6c2xpU2pla0loY0FldWpOY3FOaUNvMld2dlA?oc=5"" target=""_blank"">Morepen Lab Shares Skyrocket 19% on Getting a Rs 825 Crore Contract</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2026-02-23 07:56:00,Equitypandit,https://news.google.com/rss/articles/CBMinAFBVV95cUxQbUl6NUpFLW5BeFNnNmQ1eWExamZWT0JnYVBJeFRlaWRfM0Z5ZTBTaEl2MEc5bWtqZlNpMWdZSnBia1dkOFA4dENXbkphSXptQ3lTZTNHWEU2djI5VjhmTlFSRnlZcE1oNmVfLWF3ejlzSFQ4UHlZYzFrSmRmdkpMNGl6c2xpU2pla0loY0FldWpOY3FOaUNvMld2dlA?oc=5
MOREPENLAB,Morepen Laboratories Limited,Why Investors Shouldn't Be Surprised By Morepen Laboratories Limited's (NSE:MOREPENLAB) Low P/E - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxPS1dIcHVVMV82ZC12VTZsWHR5MkE0Vzd3WmFwSTlIVU83Zkhqd0FxYkItb1A4Q1hETlRLYmRrSTJwLWQ1ckkxLU5zOExJVjUyWDhhcHl0OHJGbjJvVVRlRE84bUJYeVk3OGh3VVJZbHh3eFpOZGp4VUs2dTh1a2JkUjBnMGV2SjhFU2xVTmlQWmtRU192ZlROZWV6QnIxZEloeWsyZWtmVG4weXR6WGhmeEQ1TkFxOVVkZ283UF9sZUdEb3IwYXJ2eTBteWZRTi1NaFNFQnlWMXZuV3F3TG1ETHp6Tzk5VDg0Qm4xQm13ODhRaEF2SkE?oc=5"" target=""_blank"">Why Investors Shouldn't Be Surprised By Morepen Laboratories Limited's (NSE:MOREPENLAB) Low P/E</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-04 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi9gFBVV95cUxPS1dIcHVVMV82ZC12VTZsWHR5MkE0Vzd3WmFwSTlIVU83Zkhqd0FxYkItb1A4Q1hETlRLYmRrSTJwLWQ1ckkxLU5zOExJVjUyWDhhcHl0OHJGbjJvVVRlRE84bUJYeVk3OGh3VVJZbHh3eFpOZGp4VUs2dTh1a2JkUjBnMGV2SjhFU2xVTmlQWmtRU192ZlROZWV6QnIxZEloeWsyZWtmVG4weXR6WGhmeEQ1TkFxOVVkZ283UF9sZUdEb3IwYXJ2eTBteWZRTi1NaFNFQnlWMXZuV3F3TG1ETHp6Tzk5VDg0Qm4xQm13ODhRaEF2SkE?oc=5
MOREPENLAB,Morepen Laboratories Limited,"Morepen Lab Consolidated December 2025 Net Sales at Rs 484.16 crore, up 6.93% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQRGhPQUFQVl92V3dBYnljOTZuNzdSVjY3ZTgwQUFuQUtYUl9nVmJqSENkT3p3Q3lTRE94aTRDdTF3aXJEVFFscmEySTZKT1loZGdSYjY5Nm1fNmJGQ19OajBVQVctZmlUaGo4RWFQUE81LUFINlQ1bWI2c3dWY3d1N1drYjVuclZ3aHRELWtCYTBKbW1saXQ5Y2lkbm43ODd6YWRJZWgzTFhrOE9uTWdhQ005ZHJQWnN4ODlVRmVPM0p6TUhleGVoNzdnWkZkOFpjd0p5VmVLRU11VlJNeDBHU9IB5gFBVV95cUxNVUM2LWRYSVRaYkpqU3h1WlV6LVdEb1VNWlZOeUhQV25CUmJsa0Vic1UxMHpyVFVtajNUZVlnNmhvLTgyMmpYaGcwdF8xVjVXMU9nWU9kT1MxU0hDbkpzOWdOOUJtaUl2dkxVTjNHc09NZ2pwUkpIclgtekFHWEpGMDJZQUtSZUFkT3AxVlVLR1BVNHh5VTJOSHQ0Rk9MUWw5WmJqX1FJOGtvM0p4VlBWMm1HT3B4T1gtdUNoUG1MRnFlNVlmM0x4SGU2My0zMTE4TjBwcVMxRmV4Smx2THZlaE5tMjdtZw?oc=5"" target=""_blank"">Morepen Lab Consolidated December 2025 Net Sales at Rs 484.16 crore, up 6.93% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-20 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQRGhPQUFQVl92V3dBYnljOTZuNzdSVjY3ZTgwQUFuQUtYUl9nVmJqSENkT3p3Q3lTRE94aTRDdTF3aXJEVFFscmEySTZKT1loZGdSYjY5Nm1fNmJGQ19OajBVQVctZmlUaGo4RWFQUE81LUFINlQ1bWI2c3dWY3d1N1drYjVuclZ3aHRELWtCYTBKbW1saXQ5Y2lkbm43ODd6YWRJZWgzTFhrOE9uTWdhQ005ZHJQWnN4ODlVRmVPM0p6TUhleGVoNzdnWkZkOFpjd0p5VmVLRU11VlJNeDBHU9IB5gFBVV95cUxNVUM2LWRYSVRaYkpqU3h1WlV6LVdEb1VNWlZOeUhQV25CUmJsa0Vic1UxMHpyVFVtajNUZVlnNmhvLTgyMmpYaGcwdF8xVjVXMU9nWU9kT1MxU0hDbkpzOWdOOUJtaUl2dkxVTjNHc09NZ2pwUkpIclgtekFHWEpGMDJZQUtSZUFkT3AxVlVLR1BVNHh5VTJOSHQ0Rk9MUWw5WmJqX1FJOGtvM0p4VlBWMm1HT3B4T1gtdUNoUG1MRnFlNVlmM0x4SGU2My0zMTE4TjBwcVMxRmV4Smx2THZlaE5tMjdtZw?oc=5
MOREPENLAB,Morepen Laboratories Limited,Morepen Lab secures multi-year order of Rs 825 cr under CDMO segment - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQemFvRmxzdnZ5NmlFVUhGRVlycW9yd3RNb2pVS1lHUXozUnpEZTlGaF84azJCVHppRUxDOVdQakFmamNoNVNsZzhaREJNTVpVWHBKREI0S0xIaHlnaWEwUV9UcjVvbWZVZzV5eHZSX0k2eWZmQUhKbnNRbkdNMDhtaF92VGlVSWdCd3NzNVFXekExUW9qNnFxcEF3ZFlDdmtVSlVSVHJlRUJsem11Tlg0a3E1b1laT0NkSmpuQ1U0c2RCWXhfc0lGdUs3MndCYVJPM0tVUzVlUnFiT0ZsRFBHWEJZQVPSAeoBQVVfeXFMTlFyZ1c1bGlFbWpGTTdlSlgzcVFWMlBRUkYzbEpucWJNS3lGR2NkX09RZVNzM1hMc2Z5V3loUHRUdGpvUldPT3VKbXJrcGFLaGgyMFViQWh2bG5JLW41WW9oTGgwU1VZWW5fRDR3ckhlNWtQenVIQ2pBaUxham1aeTRXUmxOY0FvWXkxNGFBektHcmpxczc5am82ZVNQbmdzSWZ1QWs2UDFhWm9ueTN2ZHFwU3c4eFhZdlRhVXdaVWRNdXFzTGxwQ204LUxVaE84cG9TeUNDQ2M1Wlc1TTNiZk55d3d6c1lqbnJn?oc=5"" target=""_blank"">Morepen Lab secures multi-year order of Rs 825 cr under CDMO segment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2026-02-23 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQemFvRmxzdnZ5NmlFVUhGRVlycW9yd3RNb2pVS1lHUXozUnpEZTlGaF84azJCVHppRUxDOVdQakFmamNoNVNsZzhaREJNTVpVWHBKREI0S0xIaHlnaWEwUV9UcjVvbWZVZzV5eHZSX0k2eWZmQUhKbnNRbkdNMDhtaF92VGlVSWdCd3NzNVFXekExUW9qNnFxcEF3ZFlDdmtVSlVSVHJlRUJsem11Tlg0a3E1b1laT0NkSmpuQ1U0c2RCWXhfc0lGdUs3MndCYVJPM0tVUzVlUnFiT0ZsRFBHWEJZQVPSAeoBQVVfeXFMTlFyZ1c1bGlFbWpGTTdlSlgzcVFWMlBRUkYzbEpucWJNS3lGR2NkX09RZVNzM1hMc2Z5V3loUHRUdGpvUldPT3VKbXJrcGFLaGgyMFViQWh2bG5JLW41WW9oTGgwU1VZWW5fRDR3ckhlNWtQenVIQ2pBaUxham1aeTRXUmxOY0FvWXkxNGFBektHcmpxczc5am82ZVNQbmdzSWZ1QWs2UDFhWm9ueTN2ZHFwU3c4eFhZdlRhVXdaVWRNdXFzTGxwQ204LUxVaE84cG9TeUNDQ2M1Wlc1TTNiZk55d3d6c1lqbnJn?oc=5
MOREPENLAB,Morepen Laboratories Limited,Why Morepen Laboratories Share Price is Falling - Equitymaster,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxQQXVYUm1nRXNFYnJWbXo2ZDF0SWxRdVRYUDluQ0UyZ2xZRzE0NmhLWW5tUW1EMHhwUURraVMxZUxabU1CNVJSTzFyS3I0dDJ1ZlQzT195Y0NMV3VrYnpVYl9tSExnSWh6TmhXamJPVjVSX3QwYlBXZFNhc3pFUDFYUng2SnY4VnJXYURaZC1yb1ozOTBmYTVERkF2OGM5QkI2VWpGb0dGVnE4bEVUeG1BWTJiVUl5VGNJ?oc=5"" target=""_blank"">Why Morepen Laboratories Share Price is Falling</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitymaster</font>",2025-08-07 07:00:00,Equitymaster,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQQXVYUm1nRXNFYnJWbXo2ZDF0SWxRdVRYUDluQ0UyZ2xZRzE0NmhLWW5tUW1EMHhwUURraVMxZUxabU1CNVJSTzFyS3I0dDJ1ZlQzT195Y0NMV3VrYnpVYl9tSExnSWh6TmhXamJPVjVSX3QwYlBXZFNhc3pFUDFYUng2SnY4VnJXYURaZC1yb1ozOTBmYTVERkF2OGM5QkI2VWpGb0dGVnE4bEVUeG1BWTJiVUl5VGNJ?oc=5
MOREPENLAB,Morepen Laboratories Limited,Morepen Laboratories Reports Status on Physical Share Transfer Re-lodgement Under SEBI Special Window - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxNSjQ4cEp4ay1JRk5ROWtTODc3TkF1bW01V0dzRnZEMzFtaWpKYkZVZUpSd3lfZ0FpUlhyWkJfUU9BRzlmbFlHN3NkWlNJTmVKRF9OREFNVW5rek5RZnhsblZwZVI1YzJLTWI3bzN3VUp4SnY4ZWZOUExFQ1JvdGk4V29NQTZnVEoxeVBZOTFHMXhaX0ZDS0hoNEpraVBZQUVSbzZUZHZRMk9xTGtWOExvRGMwN3hVZzBqc3RIVDVvYUhzWkw3cTZLajhuS3BPRmN1OEllSURycU5DWEIxWUZ2cUttOEpoZE9wcjNN?oc=5"" target=""_blank"">Morepen Laboratories Reports Status on Physical Share Transfer Re-lodgement Under SEBI Special Window</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-28 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNSjQ4cEp4ay1JRk5ROWtTODc3TkF1bW01V0dzRnZEMzFtaWpKYkZVZUpSd3lfZ0FpUlhyWkJfUU9BRzlmbFlHN3NkWlNJTmVKRF9OREFNVW5rek5RZnhsblZwZVI1YzJLTWI3bzN3VUp4SnY4ZWZOUExFQ1JvdGk4V29NQTZnVEoxeVBZOTFHMXhaX0ZDS0hoNEpraVBZQUVSbzZUZHZRMk9xTGtWOExvRGMwN3hVZzBqc3RIVDVvYUhzWkw3cTZLajhuS3BPRmN1OEllSURycU5DWEIxWUZ2cUttOEpoZE9wcjNN?oc=5
MOREPENLAB,Morepen Laboratories Limited,"Morepen Lab Standalone December 2025 Net Sales at Rs 457.57 crore, up 13.47% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxOelh4ZTJUeEJFLUJKZ2dHaW5lQl93LXJOMF9VbzJfdHhsV0xIcXR4RXBiLURSRVRnakpvblZsLU9RQTYzT2VVYkhuRDZlaGlCQ01Fd0wtbzVGaE1mV2VpMWRsYUd0SDJjbV91MjItcHd1eUw4UThaU1NucGJhTFJEOXNSbS05MVE2cEhDT3p1YUZIRFpmTkprUmpUYUtQRUdnTlBfcG9td3duMEljUnpiUXNjN3l1X19kQ3NsVi1XWnFRWS1mY2J4SjYyaWpDa0NOZFk3U3JLZGQxTVVhSXBV0gHkAUFVX3lxTFBzSzFVR1FNUGRHbU41MzlEbWoxeUlqOWdhUkUxRkRNaGdja2FFUE1UdzRzNWZ4TXZmM0dHV0ZmS2s0ZWVQSHhzS1QwdGx2TmNaUXZvMmNEb0pSeGcxV05NVXh6UzlDcG4wZ1h5V0hkMkpMN2UzckZ6VzhLb29EdXgwLUZWWnhTX1ZsWUFBOFZQYnR3dDVBV094RHdkUUE1ak81VW5wRURXeXpIS0RlT1FncFNHOG5lMkkxN3BOZ19ndTBBMHZKUjJrMTVoQXFKSUd5TnphQXRTQVhGNUpvSmY1SFJxTg?oc=5"" target=""_blank"">Morepen Lab Standalone December 2025 Net Sales at Rs 457.57 crore, up 13.47% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-19 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOelh4ZTJUeEJFLUJKZ2dHaW5lQl93LXJOMF9VbzJfdHhsV0xIcXR4RXBiLURSRVRnakpvblZsLU9RQTYzT2VVYkhuRDZlaGlCQ01Fd0wtbzVGaE1mV2VpMWRsYUd0SDJjbV91MjItcHd1eUw4UThaU1NucGJhTFJEOXNSbS05MVE2cEhDT3p1YUZIRFpmTkprUmpUYUtQRUdnTlBfcG9td3duMEljUnpiUXNjN3l1X19kQ3NsVi1XWnFRWS1mY2J4SjYyaWpDa0NOZFk3U3JLZGQxTVVhSXBV0gHkAUFVX3lxTFBzSzFVR1FNUGRHbU41MzlEbWoxeUlqOWdhUkUxRkRNaGdja2FFUE1UdzRzNWZ4TXZmM0dHV0ZmS2s0ZWVQSHhzS1QwdGx2TmNaUXZvMmNEb0pSeGcxV05NVXh6UzlDcG4wZ1h5V0hkMkpMN2UzckZ6VzhLb29EdXgwLUZWWnhTX1ZsWUFBOFZQYnR3dDVBV094RHdkUUE1ak81VW5wRURXeXpIS0RlT1FncFNHOG5lMkkxN3BOZ19ndTBBMHZKUjJrMTVoQXFKSUd5TnphQXRTQVhGNUpvSmY1SFJxTg?oc=5
MOREPENLAB,Morepen Laboratories Limited,MOREPENLAB.NS Morepen Laboratories NSE up 18.46% to ₹46.47 on 84.44M: Momentum watch - Meyka,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQY2R5Zmc4RXU3OTNIR1cwWHVBWWdxSnJ4cXN4UkFKc0ViX1Bqd3NfV1VVaU14MU1IbmVWVGlQemlxTTd4RnZQejloT0p3enhUaWlwd01PNkZncFlSTWo5SW96ZHJ1cDc4WVVrQThDYVR0WFpoTF9nVXpobkRHcmRtaUdvbWdlbi1tNlhGVlhXLWlCcE9EendXZUFhT2hQWkdmZHc1VF9TQV9ZUQ?oc=5"" target=""_blank"">MOREPENLAB.NS Morepen Laboratories NSE up 18.46% to ₹46.47 on 84.44M: Momentum watch</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2026-02-24 13:33:14,Meyka,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQY2R5Zmc4RXU3OTNIR1cwWHVBWWdxSnJ4cXN4UkFKc0ViX1Bqd3NfV1VVaU14MU1IbmVWVGlQemlxTTd4RnZQejloT0p3enhUaWlwd01PNkZncFlSTWo5SW96ZHJ1cDc4WVVrQThDYVR0WFpoTF9nVXpobkRHcmRtaUdvbWdlbi1tNlhGVlhXLWlCcE9EendXZUFhT2hQWkdmZHc1VF9TQV9ZUQ?oc=5
MOREPENLAB,Morepen Laboratories Limited,Why You Might Be Interested In Morepen Laboratories Limited (NSE:MOREPENLAB) For Its Upcoming Dividend - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxOOFRrbmVxZUdYUWtGRF9HeE9XQ09qZ3FPeU8zWEZXSkhTclAxMm81Nnhmb3lNY3BEZFBDbnROYnhyNmxYZTNmQXpmejV5M1JhcnNnNE12RkRJUkNKSDFjYjRjUmI5M3pkNFdoUXdJQ3hfeUc1cFhlOTJPeFd4VVIwS1FVV3VHVjUyQ0trRGdHNzFoQUV1UW9aVkoxN1J1T0VlQTFkT0k0bzVNa3QybGRoSmhtUE1sR2lheGpSbGhmWWNOLVlDb05XaFl3X2RQSzhWclhDdXRSVHAzWk5SUS1XOV9qSmJ5UVRNQ0owQkJBUHFLMjlMaXc?oc=5"" target=""_blank"">Why You Might Be Interested In Morepen Laboratories Limited (NSE:MOREPENLAB) For Its Upcoming Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-25 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi9gFBVV95cUxOOFRrbmVxZUdYUWtGRF9HeE9XQ09qZ3FPeU8zWEZXSkhTclAxMm81Nnhmb3lNY3BEZFBDbnROYnhyNmxYZTNmQXpmejV5M1JhcnNnNE12RkRJUkNKSDFjYjRjUmI5M3pkNFdoUXdJQ3hfeUc1cFhlOTJPeFd4VVIwS1FVV3VHVjUyQ0trRGdHNzFoQUV1UW9aVkoxN1J1T0VlQTFkT0k0bzVNa3QybGRoSmhtUE1sR2lheGpSbGhmWWNOLVlDb05XaFl3X2RQSzhWclhDdXRSVHAzWk5SUS1XOV9qSmJ5UVRNQ0owQkJBUHFLMjlMaXc?oc=5
