scrip,company,headline,summary,published_date,source,url
NILAINFRA,Nila Infrastructures Limited,Nila Infrastructures Limited's (NSE:NILAINFRA) Stock Has Shown Weakness Lately But Financial Prospects Look Decent: Is The Market Wrong? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxOZzMteWlSWXIzMVZQY3dyVHhVU0dwVlkzT3NpOXJvQWxtVnFCV1pybmQ2UmNoREc5ZHhBZHlSNk5JNHFIdDV3djhCbFRtTHN3bGhPR25ueG10aTByRC1EWERsZFoxcVlmc3E3RUpxM0xBemlpOU9sSUJVaHgyeHNnRVViYTBTamNCNGdMS2NpR3FvSWRyT3hnRWtrYU1JSTV5QThPZWRwdktuSUNlMjBuWnhVOFNXdFFIZHhvV3k2Z3hBZVFuYi1yLU9uSF8yV3VobUFrWjVIZmNOVEpIWUZqazBkWHdsWEdN?oc=5"" target=""_blank"">Nila Infrastructures Limited's (NSE:NILAINFRA) Stock Has Shown Weakness Lately But Financial Prospects Look Decent: Is The Market Wrong?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-03 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6AFBVV95cUxOZzMteWlSWXIzMVZQY3dyVHhVU0dwVlkzT3NpOXJvQWxtVnFCV1pybmQ2UmNoREc5ZHhBZHlSNk5JNHFIdDV3djhCbFRtTHN3bGhPR25ueG10aTByRC1EWERsZFoxcVlmc3E3RUpxM0xBemlpOU9sSUJVaHgyeHNnRVViYTBTamNCNGdMS2NpR3FvSWRyT3hnRWtrYU1JSTV5QThPZWRwdktuSUNlMjBuWnhVOFNXdFFIZHhvV3k2Z3hBZVFuYi1yLU9uSF8yV3VobUFrWjVIZmNOVEpIWUZqazBkWHdsWEdN?oc=5
NILAINFRA,Nila Infrastructures Limited,Nila Infrastructures Jumps 9.18% on ₹105 Cr Slum Redevelopment Deal - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxNcjJXcjFKdnEzMEQyNEd5RklBaDhpeEVoQW9oYy1Gb185TW00alVsNDNOTWg2bkQ4MW5rcWRrMDNjZTFzX0I1aXQ0cGxvVW9FWGxoYTloZnpmQXBEc0NRcldhZmtKVzU5Z2E2OUdQSFVoZUVRb0ZEdHpicWZIbFRDRzRMOG9aTG5vWTNFVllUY2lLeDAxUkYwTkFVMVAzVzFSSWc?oc=5"" target=""_blank"">Nila Infrastructures Jumps 9.18% on ₹105 Cr Slum Redevelopment Deal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-08 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiogFBVV95cUxNcjJXcjFKdnEzMEQyNEd5RklBaDhpeEVoQW9oYy1Gb185TW00alVsNDNOTWg2bkQ4MW5rcWRrMDNjZTFzX0I1aXQ0cGxvVW9FWGxoYTloZnpmQXBEc0NRcldhZmtKVzU5Z2E2OUdQSFVoZUVRb0ZEdHpicWZIbFRDRzRMOG9aTG5vWTNFVllUY2lLeDAxUkYwTkFVMVAzVzFSSWc?oc=5
NILAINFRA,Nila Infrastructures Limited,"Nila Infra Standalone September 2025 Net Sales at Rs 74.04 crore, up 89.19% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxPYUFobWhOOFk4bnlFaWdhY0xWanN2TjRyZDVBdXV6UV9RWnh3THZTWlF4Yzhia1ZUeFBUbHNuRVIzU0hjdmNscHlwaExwR3ZJeEI5T1RQbWdfdS14U242M291eWhZaWRGTm96YW1TVXFtQlJRWXdvNDZLWGxWSDNDZnBFOHZtQTdUM290dk03Sm9xOXFieFZpTjBOVEk1WldvVTdIbGN2b20yYjF2WjdtRE10TGdRcEpSNFVyNGRRSnliakRQS1F5UWR0OUpmelotbHF4Q0ZvTGpRNU5JTWfSAeMBQVVfeXFMUFN6VkYwUllCaXp1aE10MUZlSmZ5NlNoRHJ3cTFPWTVRVE1uSHV6bmNxTFkybjJjYkl2TlZzZUlob0JyaVl2dzJXeW9vZkxBM1Bwak1HY3lLdUlMU0Nub3BOZ19XZElVZDV5UXVTblQ2enBnbXRVZ0VDZ211MU9zbGcwUEdCZzEweU8zOWdXQkVnTk0xNnYxbjlGRHpGT3FBOXI2a3BnWUpaRFo0T2FUZ05DZ2JTSThpY1JpQV94MHpIUkV5VngzS1dJOERQX01KQkFTSzRWeUx1b3dpVjg4Qm9kVGs?oc=5"" target=""_blank"">Nila Infra Standalone September 2025 Net Sales at Rs 74.04 crore, up 89.19% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-11-12 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPYUFobWhOOFk4bnlFaWdhY0xWanN2TjRyZDVBdXV6UV9RWnh3THZTWlF4Yzhia1ZUeFBUbHNuRVIzU0hjdmNscHlwaExwR3ZJeEI5T1RQbWdfdS14U242M291eWhZaWRGTm96YW1TVXFtQlJRWXdvNDZLWGxWSDNDZnBFOHZtQTdUM290dk03Sm9xOXFieFZpTjBOVEk1WldvVTdIbGN2b20yYjF2WjdtRE10TGdRcEpSNFVyNGRRSnliakRQS1F5UWR0OUpmelotbHF4Q0ZvTGpRNU5JTWfSAeMBQVVfeXFMUFN6VkYwUllCaXp1aE10MUZlSmZ5NlNoRHJ3cTFPWTVRVE1uSHV6bmNxTFkybjJjYkl2TlZzZUlob0JyaVl2dzJXeW9vZkxBM1Bwak1HY3lLdUlMU0Nub3BOZ19XZElVZDV5UXVTblQ2enBnbXRVZ0VDZ211MU9zbGcwUEdCZzEweU8zOWdXQkVnTk0xNnYxbjlGRHpGT3FBOXI2a3BnWUpaRFo0T2FUZ05DZ2JTSThpY1JpQV94MHpIUkV5VngzS1dJOERQX01KQkFTSzRWeUx1b3dpVjg4Qm9kVGs?oc=5
NILAINFRA,Nila Infrastructures Limited,Nila Infra secures Rs 13-cr order from Mahesana Municipal Corporation - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNRmNmTTY4RmlmSHltZ2xacGlidkZjYWR0bDBSOG51WDFxOVh1ZUhjMzJGSnM1SmlMYjkwSHY1TXZ4X3A4alU0N2hMYmZRQlRFYU1vcFdvSF9QM3IxNlpTd3NpdWVjcURjcllRRmdlUFlhLURPbVFzM09qenVYdnItQzd4elVZSmhoeHVzZmJ5TzZKYVdJNWVyczJaSHY5eXFFVTJlSTduSm1TYTNBQ3dWTXpiQUdsaVVLOE45bHpwT3hVMkp2eGo5TnpKQU1IQTV2eWFrU3BpR2oyVkRSZWNDXzFPcXhfd9IB6wFBVV95cUxNRmhiQzFOTjVpRDBWY0oyWVJTU0hMd1h3aFF0RXo4SDRzcU01dVhTWG9UeTFrcmZKRzZURi1EQTlLb01lclgyOGl2ajZnc1FrSE9QN3pWS1ZweUl0bjB3SllOaUVYcGh2MVNMS0l6ZzA1Mm9lcmZSVHhPdUI4VzRsdVhaZ1Nsd3B2cjd5UnBpbVhtYzNqZi1ET0dvcjRsUmwzTzlGUkNPQzVRYWJPbFM1MGNzaWYwM2Zwemh3Y0FVWjdSWnk2T0JDOGFZcHpaaWZVYWl1bVByc2FTcldaNVBNTTdSdFV1amlYVURV?oc=5"" target=""_blank"">Nila Infra secures Rs 13-cr order from Mahesana Municipal Corporation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-09-10 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNRmNmTTY4RmlmSHltZ2xacGlidkZjYWR0bDBSOG51WDFxOVh1ZUhjMzJGSnM1SmlMYjkwSHY1TXZ4X3A4alU0N2hMYmZRQlRFYU1vcFdvSF9QM3IxNlpTd3NpdWVjcURjcllRRmdlUFlhLURPbVFzM09qenVYdnItQzd4elVZSmhoeHVzZmJ5TzZKYVdJNWVyczJaSHY5eXFFVTJlSTduSm1TYTNBQ3dWTXpiQUdsaVVLOE45bHpwT3hVMkp2eGo5TnpKQU1IQTV2eWFrU3BpR2oyVkRSZWNDXzFPcXhfd9IB6wFBVV95cUxNRmhiQzFOTjVpRDBWY0oyWVJTU0hMd1h3aFF0RXo4SDRzcU01dVhTWG9UeTFrcmZKRzZURi1EQTlLb01lclgyOGl2ajZnc1FrSE9QN3pWS1ZweUl0bjB3SllOaUVYcGh2MVNMS0l6ZzA1Mm9lcmZSVHhPdUI4VzRsdVhaZ1Nsd3B2cjd5UnBpbVhtYzNqZi1ET0dvcjRsUmwzTzlGUkNPQzVRYWJPbFM1MGNzaWYwM2Zwemh3Y0FVWjdSWnk2T0JDOGFZcHpaaWZVYWl1bVByc2FTcldaNVBNTTdSdFV1amlYVURV?oc=5
NILAINFRA,Nila Infrastructures Limited,NILAINFRA Share Price | Nila Infrastructures Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE1OUkR0LWFuZ2hiZlNxMGxQTVdQS0hDY1A5U1d4MFZCZVpid2cxMGh5MkVlOWlONV95Rnd6bEhrU3ZnU1JvRjZiTDRPZ2ZxVW10WmxwQl9oRFpFWFVnVC1ZVVNFNG9WSlpzMHVPbW5hQlA4eDRtWExqMQ?oc=5"" target=""_blank"">NILAINFRA Share Price | Nila Infrastructures Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-06-12 10:48:26,Markets Mojo,https://news.google.com/rss/articles/CBMieEFVX3lxTE1OUkR0LWFuZ2hiZlNxMGxQTVdQS0hDY1A5U1d4MFZCZVpid2cxMGh5MkVlOWlONV95Rnd6bEhrU3ZnU1JvRjZiTDRPZ2ZxVW10WmxwQl9oRFpFWFVnVC1ZVVNFNG9WSlpzMHVPbW5hQlA4eDRtWExqMQ?oc=5
NILAINFRA,Nila Infrastructures Limited,We Think Nila Infrastructures' (NSE:NILAINFRA) Profit Is Only A Baseline For What They Can Achieve - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPVExpdVI4em5VSW03TnFCSjVBRVhLSEdNWGQxY2l1WmJhT1NNVDdiS0I2TzVlYmdlYjY1SkVGSzVtYTVGNVhJZEE4SWtJVjJDQ3poMjl6TkVoWEw4LW8zd0g4SUdaR2tnNk5leFRueWNKRml6cm8wTktwS19VQW8tVVBnREt5M1RKeHVYRVZOcENxQmo1V0pjb0o1YTRjOHo1OEZqa2tzQlZpTnlTZnc2eDlzdXBMM3hwYkZJYmxnRFhPdHZHZlNEVHZ3WE90MFlVMzJUcDhIbUZQcDV4UTFKbnZ4cXVPbm8?oc=5"" target=""_blank"">We Think Nila Infrastructures' (NSE:NILAINFRA) Profit Is Only A Baseline For What They Can Achieve</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-13 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPVExpdVI4em5VSW03TnFCSjVBRVhLSEdNWGQxY2l1WmJhT1NNVDdiS0I2TzVlYmdlYjY1SkVGSzVtYTVGNVhJZEE4SWtJVjJDQ3poMjl6TkVoWEw4LW8zd0g4SUdaR2tnNk5leFRueWNKRml6cm8wTktwS19VQW8tVVBnREt5M1RKeHVYRVZOcENxQmo1V0pjb0o1YTRjOHo1OEZqa2tzQlZpTnlTZnc2eDlzdXBMM3hwYkZJYmxnRFhPdHZHZlNEVHZ3WE90MFlVMzJUcDhIbUZQcDV4UTFKbnZ4cXVPbm8?oc=5
NILAINFRA,Nila Infrastructures Limited,Nila Infra rallies after bagging Rs 105-cr slum rehabilitation project from AMC - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxQcWJmZ0xYa0sxVDVnSFN2SG1nYnhsTTRkRlloSWNrcWZDQjFUYUdKQmpqSjd3QVkybUNubS10c3dIMEc3ODQ2eS1WaC00a2VrQ3p2dkxlcXF6bGhCbjFjYmxqblBZdGZkZjk0a0FScC12WEdnRzZuUzZxblBvMTNSV2FmN01SNXVpUDQyaUZhLS0tNDFsQWZEdFlpMk4zOElZbUF1c1RRWlBtSGp2Z0JfMkxsc2FtNW0zRDNVV0RfMVFRRU9kRHR4ZUU2RHVrZVY1TXRhWlZCVW04NDJaTWoyc21HRzFDblY0ZFF2LWl5ZlR3M2fSAfgBQVVfeXFMTzN6TTlRSGw2RVBxV0RLWUVGVnZ6MmxRbWtDUXlXU3FjcTNOa0J4eVVRd1JxUUVJWkpUNEhuZEhZeXFkdkhpbTZGeGtKUFVRdGpqUnRnUzdPTVFabHN3dEdqZnpHY1lPVXdEaEF6blZhOWJQRTFlYUtXQXNhYlFGVFpGOGE5MEtEalpMSTFRSEZyTmZBOHJXbVJBRmxJZU90aDIzWV94SzRTbmtpLWdWN3IzTnIwWFJvcjR5MjNMcjFTTTZDcWdJRXpkcUMtY3ExYnV4aWxTQU5LSlVER0JwOTBUWlNvcF9KTVhweWk2UF95ZE9FbTVlUGM?oc=5"" target=""_blank"">Nila Infra rallies after bagging Rs 105-cr slum rehabilitation project from AMC</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-10-08 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi8wFBVV95cUxQcWJmZ0xYa0sxVDVnSFN2SG1nYnhsTTRkRlloSWNrcWZDQjFUYUdKQmpqSjd3QVkybUNubS10c3dIMEc3ODQ2eS1WaC00a2VrQ3p2dkxlcXF6bGhCbjFjYmxqblBZdGZkZjk0a0FScC12WEdnRzZuUzZxblBvMTNSV2FmN01SNXVpUDQyaUZhLS0tNDFsQWZEdFlpMk4zOElZbUF1c1RRWlBtSGp2Z0JfMkxsc2FtNW0zRDNVV0RfMVFRRU9kRHR4ZUU2RHVrZVY1TXRhWlZCVW04NDJaTWoyc21HRzFDblY0ZFF2LWl5ZlR3M2fSAfgBQVVfeXFMTzN6TTlRSGw2RVBxV0RLWUVGVnZ6MmxRbWtDUXlXU3FjcTNOa0J4eVVRd1JxUUVJWkpUNEhuZEhZeXFkdkhpbTZGeGtKUFVRdGpqUnRnUzdPTVFabHN3dEdqZnpHY1lPVXdEaEF6blZhOWJQRTFlYUtXQXNhYlFGVFpGOGE5MEtEalpMSTFRSEZyTmZBOHJXbVJBRmxJZU90aDIzWV94SzRTbmtpLWdWN3IzTnIwWFJvcjR5MjNMcjFTTTZDcWdJRXpkcUMtY3ExYnV4aWxTQU5LSlVER0JwOTBUWlNvcF9KTVhweWk2UF95ZE9FbTVlUGM?oc=5
NILAINFRA,Nila Infrastructures Limited,"Saatvik Green Energy, Nila Infra Surge As New Contracts Spark Investor Optimism - Asianet Newsable","<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNRGZDazF2TkZZSXlpRmpMZkxOQ1pJLUZKWkJnUkJmMElMbk9Bb0JRSVNza1RKcHhvRkx1R3A1X0J5cHIzY2JnbGZDOUNoTVpwRnRqdUl4Q3Jkd2pIRVdLY2M1R2RRTEtpb1RDWUoydHhJbnpnWjU2MlVmUzlDSkwtQ1ZBRU9lcl9mRkJleXhjTVphNF9PUUMzbkZDb2JaQ3N3eGlXMXVDVXpLZ0x1aFV5dU9zc2Z0Vm9mNFI4dmlMZmtoY2JLSF9SRjZNU2dCMGhSX0RmRERn0gHbAUFVX3lxTE1lR0ZWUlBFZTJYdzlNOWdicEFKOEdWSVgzSTdoWmtkQkFoYUdJLUdjejBuOXREUTRLZ3BYYnlFNWNENHVaanZFUlVaUHBUNFQ2ZUg2TVRkanRwcTlhb00xZl92ekdCcTVnSGxVRXlLc01SZjdjQTg2bEtTdGJyUm9HSGFjUnBHMzhGd3JpU0l2a28zQkFsRkE0NmZWOUNNVmRIdGdVWnBPNTRwWmFqWmxlUG5HUS1wR0RRUVZjS3BwczJKWUZ6dmdRbldzYWFfUDVFMG9iVUVBa0hmMA?oc=5"" target=""_blank"">Saatvik Green Energy, Nila Infra Surge As New Contracts Spark Investor Optimism</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet Newsable</font>",2025-10-08 07:00:00,Asianet Newsable,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNRGZDazF2TkZZSXlpRmpMZkxOQ1pJLUZKWkJnUkJmMElMbk9Bb0JRSVNza1RKcHhvRkx1R3A1X0J5cHIzY2JnbGZDOUNoTVpwRnRqdUl4Q3Jkd2pIRVdLY2M1R2RRTEtpb1RDWUoydHhJbnpnWjU2MlVmUzlDSkwtQ1ZBRU9lcl9mRkJleXhjTVphNF9PUUMzbkZDb2JaQ3N3eGlXMXVDVXpLZ0x1aFV5dU9zc2Z0Vm9mNFI4dmlMZmtoY2JLSF9SRjZNU2dCMGhSX0RmRERn0gHbAUFVX3lxTE1lR0ZWUlBFZTJYdzlNOWdicEFKOEdWSVgzSTdoWmtkQkFoYUdJLUdjejBuOXREUTRLZ3BYYnlFNWNENHVaanZFUlVaUHBUNFQ2ZUg2TVRkanRwcTlhb00xZl92ekdCcTVnSGxVRXlLc01SZjdjQTg2bEtTdGJyUm9HSGFjUnBHMzhGd3JpU0l2a28zQkFsRkE0NmZWOUNNVmRIdGdVWnBPNTRwWmFqWmxlUG5HUS1wR0RRUVZjS3BwczJKWUZ6dmdRbldzYWFfUDVFMG9iVUVBa0hmMA?oc=5
NILAINFRA,Nila Infrastructures Limited,Nila Infra gains on bagging Rs 64-cr additional order from SIPL - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxQakFZVDAwLU9WNFQybmc3ZUdwenpsYUlEb2VyWS1VT19LSnlKXzhiMnFFbGhINGVMQmx5UVBVTm5xc01lcktZd0ZMMENkQUxLbEJiMzBwcFN1UjU3WVY2VHFhWmQyQ0dxZ1lHLU16bHA4N2R2VTVnVVp3NWFZVGxhekxuWExsSXRSc3p5UjV5LUx1LXFBalBaTEJQZ29OaGpkM05WSzNETEFxcTRGTVQ1c3UzcUJGTUllVC1NSFVwWm1yd3NMR3RjV1g0cG04ME1NUGppaG5DRmgyTHlHRkHSAeMBQVVfeXFMTWVTTm5oVFEtSXVnVzRPTVNab1FlSVRrVF9DWnBzU3poSmJNYTZuLVhyZkhMTlpQZG1MSHdhZDJFamZUc2haam4yQ3pjVEs2MWF6b1pMUTUtNjQ2S09RRzFkTWp2bWtIZWk5dHRVS1FBVEdMSWpNa1VGXzFVRWFWVmVRMUV2NHBsWmtBLTg4LUE5Mzc2SWRwdXZNSjBRU2E2Q05DMUdGYWxKLVc2NFpCWTJ5a0lXQml3WTRjZkc1b3VONnFiTkZ4Y2Iwd0pvWHNLUENhZndBVjNTRWJhMndJN05wWkE?oc=5"" target=""_blank"">Nila Infra gains on bagging Rs 64-cr additional order from SIPL</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-03-25 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQakFZVDAwLU9WNFQybmc3ZUdwenpsYUlEb2VyWS1VT19LSnlKXzhiMnFFbGhINGVMQmx5UVBVTm5xc01lcktZd0ZMMENkQUxLbEJiMzBwcFN1UjU3WVY2VHFhWmQyQ0dxZ1lHLU16bHA4N2R2VTVnVVp3NWFZVGxhekxuWExsSXRSc3p5UjV5LUx1LXFBalBaTEJQZ29OaGpkM05WSzNETEFxcTRGTVQ1c3UzcUJGTUllVC1NSFVwWm1yd3NMR3RjV1g0cG04ME1NUGppaG5DRmgyTHlHRkHSAeMBQVVfeXFMTWVTTm5oVFEtSXVnVzRPTVNab1FlSVRrVF9DWnBzU3poSmJNYTZuLVhyZkhMTlpQZG1MSHdhZDJFamZUc2haam4yQ3pjVEs2MWF6b1pMUTUtNjQ2S09RRzFkTWp2bWtIZWk5dHRVS1FBVEdMSWpNa1VGXzFVRWFWVmVRMUV2NHBsWmtBLTg4LUE5Mzc2SWRwdXZNSjBRU2E2Q05DMUdGYWxKLVc2NFpCWTJ5a0lXQml3WTRjZkc1b3VONnFiTkZ4Y2Iwd0pvWHNLUENhZndBVjNTRWJhMndJN05wWkE?oc=5
NILAINFRA,Nila Infrastructures Limited,Nila Infrastructures Limited Receives BWR BBB+ Credit Rating Assignment and Upgrade from Brickwork Ratings - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxNdWtWeXVCR254ZDRFeFhwV0hCZ2ozMF9zajlIQmM2MkNkZ0twN005bWpyWDlmSnVXeVM0VFFEaHpwd1dBalIzV29LWUFGd2pCSGZTR2Q0VGNfMDZmaFFTNl9RNDk2R3E0ZkxHdXJBM2xadzIyZ0lJQjN3ek1TbklHMHVRV3lsVndEdEhvMWpYS2xEbW0tWjVVVlBNNE9wSVNsdGJGRVpFVVRDVUtzbHUwSHhFWDl1WGxCa1RGOXJzemg1aGZsakZXV2lRa0NtaVpkU3JEMDZfTDdrUWJZUTJzdUVrTkFtVjg1NWExTUpuUW4?oc=5"" target=""_blank"">Nila Infrastructures Limited Receives BWR BBB+ Credit Rating Assignment and Upgrade from Brickwork Ratings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-26 13:25:10,scanx.trade,https://news.google.com/rss/articles/CBMi8AFBVV95cUxNdWtWeXVCR254ZDRFeFhwV0hCZ2ozMF9zajlIQmM2MkNkZ0twN005bWpyWDlmSnVXeVM0VFFEaHpwd1dBalIzV29LWUFGd2pCSGZTR2Q0VGNfMDZmaFFTNl9RNDk2R3E0ZkxHdXJBM2xadzIyZ0lJQjN3ek1TbklHMHVRV3lsVndEdEhvMWpYS2xEbW0tWjVVVlBNNE9wSVNsdGJGRVpFVVRDVUtzbHUwSHhFWDl1WGxCa1RGOXJzemg1aGZsakZXV2lRa0NtaVpkU3JEMDZfTDdrUWJZUTJzdUVrTkFtVjg1NWExTUpuUW4?oc=5
