scrip,company,headline,summary,published_date,source,url
NILKAMAL,Nilkamal Limited,NILKAMAL Historical Data - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiY0FVX3lxTE9XMDhwWGh4c1NkVmZMMjd1X1EyMFdzWGxQZFhJekp6dXJYMW9TLUtlNmdzUlRneGNXV0swS29zWU14RDhSbTQzWVBQSnpKT0x2UWxxNjN6VmZUWThDWC05OWFIaw?oc=5"" target=""_blank"">NILKAMAL Historical Data</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2026-02-20 09:03:54,Equitypandit,https://news.google.com/rss/articles/CBMiY0FVX3lxTE9XMDhwWGh4c1NkVmZMMjd1X1EyMFdzWGxQZFhJekp6dXJYMW9TLUtlNmdzUlRneGNXV0swS29zWU14RDhSbTQzWVBQSnpKT0x2UWxxNjN6VmZUWThDWC05OWFIaw?oc=5
NILKAMAL,Nilkamal Limited,Nilkamal Ltd is Rated Sell by MarketsMOJO - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNOWhOeGxMWVNEcHVuQnhORlh4OFBLdTRHOEVWT1dDUkF3TWtPOEh0VFE2amhRZExtWkpGdThIM05KMkRJckxzWTF5WkFLZWE3SFlvNnJpOHdtSHVyZmxmSHdyV0hzcEllV1MzaXlKckhyZjRoSlBDV0hZbUE0WnVLRUF6NnVCSER1QVVmMzNtWG5UbXBNbVV0Qi1MT3JFTkZOakx2ckVB?oc=5"" target=""_blank"">Nilkamal Ltd is Rated Sell by MarketsMOJO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-13 05:28:35,Markets Mojo,https://news.google.com/rss/articles/CBMipgFBVV95cUxNOWhOeGxMWVNEcHVuQnhORlh4OFBLdTRHOEVWT1dDUkF3TWtPOEh0VFE2amhRZExtWkpGdThIM05KMkRJckxzWTF5WkFLZWE3SFlvNnJpOHdtSHVyZmxmSHdyV0hzcEllV1MzaXlKckhyZjRoSlBDV0hZbUE0WnVLRUF6NnVCSER1QVVmMzNtWG5UbXBNbVV0Qi1MT3JFTkZOakx2ckVB?oc=5
NILKAMAL,Nilkamal Limited,Subdued Growth No Barrier To Nilkamal Limited's (NSE:NILKAMAL) Price - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQQUlYeGlHLVJreDNxTk1YcEVKQTNPSUJ5NVdDZUdMS20zNjIycVM3NmIwaDlyQVVINnZKaFRZQ1RITzFGYV9FbzBLTHd6dHBmamtxblBqM3FmaWNHT1V3Tm1yU1B2aHhvdEFiUW0xZFVka1ZGYlhGal8yLW5pMzN0LUhUS0VHcFFnU21QaWpfU2tka3BDdDVHamVXSEEwZ2d6M1VJM1B4amJwSnh4a1BKOFdPV21LT3hhcnptb3lUZnRrRVNLbnZMdGxjS2hpejdkYXfSAdcBQVVfeXFMTXBKbnVsOXVJVjVtQUJYTEN3VlZTNzlWZkY1Xy1obUtrSjJUOVFPc2I2dlhNaG1SMjNRdnhlWmV1U1pUYlZIb1N1S184YV9tMEMzWm5aTGJXdnI0OF9KVzBXZDFFa2NVQ2Rpc0sxYktWZ0x0OEFuVFpFLVh4alRmZ3EtT19vTVZpVE5EZjN0SDRnVzltLXlRR2p4c0JnbGp6WlNKUzNfNi1FdGluLTNTbTlfOUl5M1BWand2VXhuSndISWRFNExEMXNRaEZVemlnMEVHclJZbTQ?oc=5"" target=""_blank"">Subdued Growth No Barrier To Nilkamal Limited's (NSE:NILKAMAL) Price</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-16 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQQUlYeGlHLVJreDNxTk1YcEVKQTNPSUJ5NVdDZUdMS20zNjIycVM3NmIwaDlyQVVINnZKaFRZQ1RITzFGYV9FbzBLTHd6dHBmamtxblBqM3FmaWNHT1V3Tm1yU1B2aHhvdEFiUW0xZFVka1ZGYlhGal8yLW5pMzN0LUhUS0VHcFFnU21QaWpfU2tka3BDdDVHamVXSEEwZ2d6M1VJM1B4amJwSnh4a1BKOFdPV21LT3hhcnptb3lUZnRrRVNLbnZMdGxjS2hpejdkYXfSAdcBQVVfeXFMTXBKbnVsOXVJVjVtQUJYTEN3VlZTNzlWZkY1Xy1obUtrSjJUOVFPc2I2dlhNaG1SMjNRdnhlWmV1U1pUYlZIb1N1S184YV9tMEMzWm5aTGJXdnI0OF9KVzBXZDFFa2NVQ2Rpc0sxYktWZ0x0OEFuVFpFLVh4alRmZ3EtT19vTVZpVE5EZjN0SDRnVzltLXlRR2p4c0JnbGp6WlNKUzNfNi1FdGluLTNTbTlfOUl5M1BWand2VXhuSndISWRFNExEMXNRaEZVemlnMEVHclJZbTQ?oc=5
NILKAMAL,Nilkamal Limited,"Nilkamal Q2 Results: Profit, revenue grow 18% YoY boosted by B2B, e-comm segments - Mint","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxOMFpNbXlzbVJ4QnZ1ajJ6NXNNLXRSZERWRTUtV25UZWYzbHM0Mk9TdFY3ZGZueUxxcXllWm9PUWxhcktrelN1RWdTanpFV09yT19Bejl3WGNZUDZmUUtrYWRrSUlnWmN0dGJvajkwSnpzdGVhWEVaR1I2YlBCTTZWOFBWUFJKZVRKQjQ0WVNkemIzbmJTTFdjVGNXUzgzbG80MzRUVEJmMUVUOHJXY2ZXN1NBODhlanp1cFRkZ2lDSE9KZ3pad0R4QnhXT3ZXbVl0STgxRFhMblpDbW5WSmxvMNIB5gFBVV95cUxQdk4yVnpwNmxyNEdwM0xyb29ZV2wwWVZSa3c3Mk1NUlVBbVViWWlRZEVIVXl3U2hOaDVWc2U1UjlwZWN5V3RtaGVHc3BXbzE4NUVDUVRvblN3RmZZcXU5NTVydmtxY0xVSjNjMW1uSUxVcTlmYWotM3o0WTByeU9aOHVQVnFrdWNVc3VyZWYzVFh1dmZkSU1ZYlRpejVMdmRzMFl5NFYyWHNtQjBla1l0Q21kektyVlhBMi1NWnhHME0tZWRzNTJxTm1OQkZYQzVkdl9vRGdDVXVEcXhlZkNwZGJfd3Z6UQ?oc=5"" target=""_blank"">Nilkamal Q2 Results: Profit, revenue grow 18% YoY boosted by B2B, e-comm segments</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2025-11-06 08:00:00,Mint,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOMFpNbXlzbVJ4QnZ1ajJ6NXNNLXRSZERWRTUtV25UZWYzbHM0Mk9TdFY3ZGZueUxxcXllWm9PUWxhcktrelN1RWdTanpFV09yT19Bejl3WGNZUDZmUUtrYWRrSUlnWmN0dGJvajkwSnpzdGVhWEVaR1I2YlBCTTZWOFBWUFJKZVRKQjQ0WVNkemIzbmJTTFdjVGNXUzgzbG80MzRUVEJmMUVUOHJXY2ZXN1NBODhlanp1cFRkZ2lDSE9KZ3pad0R4QnhXT3ZXbVl0STgxRFhMblpDbW5WSmxvMNIB5gFBVV95cUxQdk4yVnpwNmxyNEdwM0xyb29ZV2wwWVZSa3c3Mk1NUlVBbVViWWlRZEVIVXl3U2hOaDVWc2U1UjlwZWN5V3RtaGVHc3BXbzE4NUVDUVRvblN3RmZZcXU5NTVydmtxY0xVSjNjMW1uSUxVcTlmYWotM3o0WTByeU9aOHVQVnFrdWNVc3VyZWYzVFh1dmZkSU1ZYlRpejVMdmRzMFl5NFYyWHNtQjBla1l0Q21kektyVlhBMi1NWnhHME0tZWRzNTJxTm1OQkZYQzVkdl9vRGdDVXVEcXhlZkNwZGJfd3Z6UQ?oc=5
NILKAMAL,Nilkamal Limited,Nilkamal Limited: Madanlal Jain Disposes Entire 5.46% Stake Through Gift Transfer - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNTzB3R1owYmxFSm0yRjFuNXQzNzczWXdBVW5sUWhiMFV0QUlUY2hWX3lVQW1OQm9QZGZNUEJRakw2UlFnd282M2d2aTFZM09QOTB2a0txNnZVRFlGM1FJSmRUOGpNYThNaXJSMGlhV09GTGhmX1FCMDU0NDk2MVpTYndQdHBWTXVwYjBDeGdLWlNDV3EzbmRZYXJPQm9kMnRpSWo1dnlQRV9Pb2QtcmhuVnFXa2RTRkhuOGtZRllMR1U2QUw5cjNOQUs0aHNyd3dOWXR4ZENn?oc=5"" target=""_blank"">Nilkamal Limited: Madanlal Jain Disposes Entire 5.46% Stake Through Gift Transfer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-12-22 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNTzB3R1owYmxFSm0yRjFuNXQzNzczWXdBVW5sUWhiMFV0QUlUY2hWX3lVQW1OQm9QZGZNUEJRakw2UlFnd282M2d2aTFZM09QOTB2a0txNnZVRFlGM1FJSmRUOGpNYThNaXJSMGlhV09GTGhmX1FCMDU0NDk2MVpTYndQdHBWTXVwYjBDeGdLWlNDV3EzbmRZYXJPQm9kMnRpSWo1dnlQRV9Pb2QtcmhuVnFXa2RTRkhuOGtZRllMR1U2QUw5cjNOQUs0aHNyd3dOWXR4ZENn?oc=5
NILKAMAL,Nilkamal Limited,Nilkamal Q2FY26 Profit Rises 18% to ₹33 Cr; Revenue ₹948 Cr - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxNUjl1QS1vb21LcE9hVlFDRkNBU0x0a1p5b1RCME5iVTFhWjhfOXE5RHhoQlViM24xd1lVZFo3ZDlpLUs4MlVma3ZGTGU3NWNWZEdXNWlvR3BlUGthenNHQllMZXBBLTRYeFVVSnJmblB0S2hQdHZaME1rYV9JaGs2djcwYXNjRjdYdm9Wanc0QQ?oc=5"" target=""_blank"">Nilkamal Q2FY26 Profit Rises 18% to ₹33 Cr; Revenue ₹948 Cr</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-11-06 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMijwFBVV95cUxNUjl1QS1vb21LcE9hVlFDRkNBU0x0a1p5b1RCME5iVTFhWjhfOXE5RHhoQlViM24xd1lVZFo3ZDlpLUs4MlVma3ZGTGU3NWNWZEdXNWlvR3BlUGthenNHQllMZXBBLTRYeFVVSnJmblB0S2hQdHZaME1rYV9JaGs2djcwYXNjRjdYdm9Wanc0QQ?oc=5
NILKAMAL,Nilkamal Limited,Nilkamal Ltd Technical Momentum Shifts Amid Mixed Market Signals - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQOHlYZGx5SndFZTBRbzFZdUFyTkZ5UWFPNXFCSHk0M3lwYXhweWFFU1RESmdvWUZ1d2hsY1RoREV6WGJGZmxuU2NJRVY4dVZXZ0dqSUNJQzRKQktHR182NDJ1Q2ZKUGxhY0VpbGt6aWMzb0lnTjF4QUR3ZWhwR3BMVXBJMFJJOXpuZ0lRMXZzS3ZYSndqdE80NVB5M1EwQ2YyUXZrZGNXZnBzbk94b2hoeDc0dUMxZDhBTmU4NHJwRQ?oc=5"" target=""_blank"">Nilkamal Ltd Technical Momentum Shifts Amid Mixed Market Signals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-03 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMivwFBVV95cUxQOHlYZGx5SndFZTBRbzFZdUFyTkZ5UWFPNXFCSHk0M3lwYXhweWFFU1RESmdvWUZ1d2hsY1RoREV6WGJGZmxuU2NJRVY4dVZXZ0dqSUNJQzRKQktHR182NDJ1Q2ZKUGxhY0VpbGt6aWMzb0lnTjF4QUR3ZWhwR3BMVXBJMFJJOXpuZ0lRMXZzS3ZYSndqdE80NVB5M1EwQ2YyUXZrZGNXZnBzbk94b2hoeDc0dUMxZDhBTmU4NHJwRQ?oc=5
NILKAMAL,Nilkamal Limited,Nilkamal's Furniture Division National Sales Manager Steps Down - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPMkxjaGZJdHlfdzRYc3lrN1dTTl9IYmQ3dHFSYTRtS1lYT2Z5Nk1uWU1rZVJFZGNxMnhwXy1iSTNnYklGdlZsYjR4NTRoUDBGVzFuODZNU3ZCa2dRUzJGWjlFUWw0TkFZbnBEV3FvUmNxaE1rZm5NRlNiTVlVV3gtM2p1ak5zSG9rcFRMLThkZ21yQ3FEVUxCZG9Pald1R05XX05sTUVQQ254MllNcy1uUEl4cGxlZXVW?oc=5"" target=""_blank"">Nilkamal's Furniture Division National Sales Manager Steps Down</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-07 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPMkxjaGZJdHlfdzRYc3lrN1dTTl9IYmQ3dHFSYTRtS1lYT2Z5Nk1uWU1rZVJFZGNxMnhwXy1iSTNnYklGdlZsYjR4NTRoUDBGVzFuODZNU3ZCa2dRUzJGWjlFUWw0TkFZbnBEV3FvUmNxaE1rZm5NRlNiTVlVV3gtM2p1ak5zSG9rcFRMLThkZ21yQ3FEVUxCZG9Pald1R05XX05sTUVQQ254MllNcy1uUEl4cGxlZXVW?oc=5
NILKAMAL,Nilkamal Limited,Nilkamal Expands into Healthcare Furniture with Strategic Acquisition - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNQ01NYmd2SnJvaW1QbXZ6eG9KYWo3aDRhSmd5a0MwckppalpILXJqanZhVmQ0ODRONjhxUjEtSjhGejBvejVTaWpVVzJqcGM3MzNuU0J1S3VMWFoyTkdxZkJILXU3b0JjV1RGUkVScFN6OGR4ODFnUHNhcUcwVU10MWNEbHUzVks4OHdWOWNGSUFfaGxXMVMtMEVRRTVwMjN0dlhPN000Zi00Rmo2a2VtN1c0cF82eTZGcUJjdDhZQ29iSHdMS1pyVTI2dHlrUVE?oc=5"" target=""_blank"">Nilkamal Expands into Healthcare Furniture with Strategic Acquisition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-07-14 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMizwFBVV95cUxNQ01NYmd2SnJvaW1QbXZ6eG9KYWo3aDRhSmd5a0MwckppalpILXJqanZhVmQ0ODRONjhxUjEtSjhGejBvejVTaWpVVzJqcGM3MzNuU0J1S3VMWFoyTkdxZkJILXU3b0JjV1RGUkVScFN6OGR4ODFnUHNhcUcwVU10MWNEbHUzVks4OHdWOWNGSUFfaGxXMVMtMEVRRTVwMjN0dlhPN000Zi00Rmo2a2VtN1c0cF82eTZGcUJjdDhZQ29iSHdMS1pyVTI2dHlrUVE?oc=5
NILKAMAL,Nilkamal Limited,Nilkamal Ltd Q3 FY26: Margin Pressure Weighs Despite Revenue Growth - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQaFZ2c1o2TzVYS3l0aGltM3gxNW9ZTEJsWXl6SWVRaUh0aDNjV3Y5OEdlVV9nd0c3RlN5dTROTU5sdk5WVnpTamtla2dnWlM3THYwWkVpQXFLMFVLYmUxM05qOE9qckc3WDBVa1FfcXl3cER6eHJydE5aMXVPdlZGLUdBTFdSb2dDNlpUOXdPVnY2by1mUWFFTmhRbVlXcDE1aU5GeFdveU9HRDI5T2h5RUd0U0VVamo0Y2ZjUWlMSDE?oc=5"" target=""_blank"">Nilkamal Ltd Q3 FY26: Margin Pressure Weighs Despite Revenue Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-05 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQaFZ2c1o2TzVYS3l0aGltM3gxNW9ZTEJsWXl6SWVRaUh0aDNjV3Y5OEdlVV9nd0c3RlN5dTROTU5sdk5WVnpTamtla2dnWlM3THYwWkVpQXFLMFVLYmUxM05qOE9qckc3WDBVa1FfcXl3cER6eHJydE5aMXVPdlZGLUdBTFdSb2dDNlpUOXdPVnY2by1mUWFFTmhRbVlXcDE1aU5GeFdveU9HRDI5T2h5RUd0U0VVamo0Y2ZjUWlMSDE?oc=5
