scrip,company,headline,summary,published_date,source,url
ORIENTELEC,Orient Electric Limited,Results: Orient Electric Limited Beat Earnings Expectations And Analysts Now Have New Forecasts - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQZWRyWUNRYkh4cEotOGVlamJ3MjFENTYxd2lJamlVSzdPR1lkNU41dGlMTWxLTEZyaTZocjRqeTBxX0ZwWUZpQy11OEs4c1VsRFprU1JjSkRGZG8yci1JejcwbzVKYzh5ZXg2MFBPMHNaQzYzYWhMRlpVc2hhMmY3UmZ6S3YwSElyN0x3N0g2M3RrSUVhWXhQaWw4UnlFM095ek91V2o2N3BjbkdJRlRETW12OVNYNU4weEtDT3NlbGZ1SlhfR194b3VVTTJmMEc1dGRob05yZU1kOFpfNmcyU3RYQ19BWjlD0gHuAUFVX3lxTE1RcUI5RVpvYTVFTEQ5REdZVTZpeDB1bUFlOGVSV2dPdjB5NnN6VUJZM3RIOF9yMG15RTJwOXBWdldpeTVCaWhQdTN5MWFNa3RFaGNwM1BKV09OY0JIdlJaNlJjYzhhWk1FTno3N0ZzREp1RzViMnN3VjlHR3Fxd0NISDJkSjA5ZW5ZclU3WDFld2UybTlKbUtNNEhTLWYzNEdINXEtYUZEOEZxMnEtYm9Wd01wQWhYYXdUZUYxaFVTaTQxc3ItM2J4bmlfSkVzdFJ4VVE1LXFvU3Jva1EwbFFoeFZyLTRacnNueFEtWFE?oc=5"" target=""_blank"">Results: Orient Electric Limited Beat Earnings Expectations And Analysts Now Have New Forecasts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-25 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQZWRyWUNRYkh4cEotOGVlamJ3MjFENTYxd2lJamlVSzdPR1lkNU41dGlMTWxLTEZyaTZocjRqeTBxX0ZwWUZpQy11OEs4c1VsRFprU1JjSkRGZG8yci1JejcwbzVKYzh5ZXg2MFBPMHNaQzYzYWhMRlpVc2hhMmY3UmZ6S3YwSElyN0x3N0g2M3RrSUVhWXhQaWw4UnlFM095ek91V2o2N3BjbkdJRlRETW12OVNYNU4weEtDT3NlbGZ1SlhfR194b3VVTTJmMEc1dGRob05yZU1kOFpfNmcyU3RYQ19BWjlD0gHuAUFVX3lxTE1RcUI5RVpvYTVFTEQ5REdZVTZpeDB1bUFlOGVSV2dPdjB5NnN6VUJZM3RIOF9yMG15RTJwOXBWdldpeTVCaWhQdTN5MWFNa3RFaGNwM1BKV09OY0JIdlJaNlJjYzhhWk1FTno3N0ZzREp1RzViMnN3VjlHR3Fxd0NISDJkSjA5ZW5ZclU3WDFld2UybTlKbUtNNEhTLWYzNEdINXEtYUZEOEZxMnEtYm9Wd01wQWhYYXdUZUYxaFVTaTQxc3ItM2J4bmlfSkVzdFJ4VVE1LXFvU3Jva1EwbFFoeFZyLTRacnNueFEtWFE?oc=5
ORIENTELEC,Orient Electric Limited,Orient Electric Share Price Slide Over 5% After Back-to-Back Bulk Deals - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxOQ00tazlHRDFubzl1V2U1clE0RFpIbmdKMVJ5V0NFZkhRejhrYkRZM3pCWEl5UVV0bjBTSFRDbFdsZ2hGY2JIWTc3XzRWSi1LaXpfRWMwM3d2TVY1SkpSUjBzUUdlUThrS1Nfa1ZLRW0yMExuRzM5elRWNHExUHp0TjlrUlNtOWJnTmhUdzAtdUdSdw?oc=5"" target=""_blank"">Orient Electric Share Price Slide Over 5% After Back-to-Back Bulk Deals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-11-26 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMikgFBVV95cUxOQ00tazlHRDFubzl1V2U1clE0RFpIbmdKMVJ5V0NFZkhRejhrYkRZM3pCWEl5UVV0bjBTSFRDbFdsZ2hGY2JIWTc3XzRWSi1LaXpfRWMwM3d2TVY1SkpSUjBzUUdlUThrS1Nfa1ZLRW0yMExuRzM5elRWNHExUHp0TjlrUlNtOWJnTmhUdzAtdUdSdw?oc=5
ORIENTELEC,Orient Electric Limited,Orient Electric shares zoom over 15% a day after BlackRock-backed ETF sells shares; check details - Upstox,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxNVUZiaFVGV0lDV0U1VjBWSXhzdmJyVEFvd0ROZDV5S0dVSEJnaEl4WFhULVhaOEo3TkJyNURQUmhybjVRb3NMUnJmNHBwTS1WOFQ4aEJUc0dxNVdwLXJoNHBZeENFbTBodUtiSV9VZkVLSjZvMW5SZzc4bUtBUVZkR2pmMzVpOFpna2tYTmRaVzZTMDdXc01oRkRSVUF0UURHaG9fTXdPanc1YmpGbXVibGg4R2M5QzZyUUU2dmQ0WFZNbnVHd3I5NVZLaDlMenE2STVsdkJwWGhMQ2dwZzVwSV9odDQtSFRPbHVlbUFkdXhsZngtcENHbG5hc08?oc=5"" target=""_blank"">Orient Electric shares zoom over 15% a day after BlackRock-backed ETF sells shares; check details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-11-24 08:00:00,Upstox,https://news.google.com/rss/articles/CBMi_AFBVV95cUxNVUZiaFVGV0lDV0U1VjBWSXhzdmJyVEFvd0ROZDV5S0dVSEJnaEl4WFhULVhaOEo3TkJyNURQUmhybjVRb3NMUnJmNHBwTS1WOFQ4aEJUc0dxNVdwLXJoNHBZeENFbTBodUtiSV9VZkVLSjZvMW5SZzc4bUtBUVZkR2pmMzVpOFpna2tYTmRaVzZTMDdXc01oRkRSVUF0UURHaG9fTXdPanc1YmpGbXVibGg4R2M5QzZyUUU2dmQ0WFZNbnVHd3I5NVZLaDlMenE2STVsdkJwWGhMQ2dwZzVwSV9odDQtSFRPbHVlbUFkdXhsZngtcENHbG5hc08?oc=5
ORIENTELEC,Orient Electric Limited,"Orient Electric Q1FY26 PAT Up 22%, Deloitte Hired - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxPNTBleTV6a3pFdnUyU3JGM0xIam9uVW9JaEJfUmxCZnFBQ21aMk1iQVBXZ3FPOEVoTlpBaUt0Q2NQT0hVY19XdFJ4bTNvUDBPOTU5OV9mSlF0Z3RibzUxSk13bWhJUU4wVVR2Q3lqNjBYbUZiYXM1NlZuUUkzRzZzVXdhX18tOXhqTmp2dG1uYmowMjVvTm9Qc0RxYlg?oc=5"" target=""_blank"">Orient Electric Q1FY26 PAT Up 22%, Deloitte Hired</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-07-25 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMinAFBVV95cUxPNTBleTV6a3pFdnUyU3JGM0xIam9uVW9JaEJfUmxCZnFBQ21aMk1iQVBXZ3FPOEVoTlpBaUt0Q2NQT0hVY19XdFJ4bTNvUDBPOTU5OV9mSlF0Z3RibzUxSk13bWhJUU4wVVR2Q3lqNjBYbUZiYXM1NlZuUUkzRzZzVXdhX18tOXhqTmp2dG1uYmowMjVvTm9Qc0RxYlg?oc=5
ORIENTELEC,Orient Electric Limited,Orient Electric Launches the Next-Gen BLDC Fan Range with 40+ Stylish Colour Options to Redefine Ceiling Aesthetics - Business Wire India,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxQQlJWNGFFeGlSd01IMGJuVVZCV0lXTE5WQTlnb0FWcl9vTVV0NDlBZnlRQTA3MmtHbXpVb2ZWYkttUnBKQVF4alNNZGFiMml1LVdSbXJVODRFR1JSV0M2YXdkakM2VVN5Y1R4U0VoSWFkbDlyTWdyc2lLVWFTVjRqMGpaQnNiY1NUUHJaUmRkTmhSYmo2Q25UOWNwWW84Q0o4UV9xWDVZN2Z2QlNRNzlIYnpxY040cEJKNFVsQWFvOVdKa3FDMDY2M3BtR2VaTVpqRGxjeml6d3VyaWtmLUdPN2RaM2NKYmZSN1VELUhHRVo?oc=5"" target=""_blank"">Orient Electric Launches the Next-Gen BLDC Fan Range with 40+ Stylish Colour Options to Redefine Ceiling Aesthetics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Wire India</font>",2025-07-25 07:00:00,Business Wire India,https://news.google.com/rss/articles/CBMi8AFBVV95cUxQQlJWNGFFeGlSd01IMGJuVVZCV0lXTE5WQTlnb0FWcl9vTVV0NDlBZnlRQTA3MmtHbXpVb2ZWYkttUnBKQVF4alNNZGFiMml1LVdSbXJVODRFR1JSV0M2YXdkakM2VVN5Y1R4U0VoSWFkbDlyTWdyc2lLVWFTVjRqMGpaQnNiY1NUUHJaUmRkTmhSYmo2Q25UOWNwWW84Q0o4UV9xWDVZN2Z2QlNRNzlIYnpxY040cEJKNFVsQWFvOVdKa3FDMDY2M3BtR2VaTVpqRGxjeml6d3VyaWtmLUdPN2RaM2NKYmZSN1VELUhHRVo?oc=5
ORIENTELEC,Orient Electric Limited,ORIENTELEC Share Price | Orient Electric Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE85a1RUc0w4ZTJVWDN1ejRpYnRfd2ZFejJsVE1lcnFtS2l1VU5hUUxRVkdNVV96OG9hVXc4aVhHZFB4V19MWXkzMDZQRFFrWnpHU3JPdnVsZEZONmRUWkpSTWIzS3lFdGhJNlVvNEdTZGQybmNFdERFNg?oc=5"" target=""_blank"">ORIENTELEC Share Price | Orient Electric Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-02-15 02:32:11,Markets Mojo,https://news.google.com/rss/articles/CBMieEFVX3lxTE85a1RUc0w4ZTJVWDN1ejRpYnRfd2ZFejJsVE1lcnFtS2l1VU5hUUxRVkdNVV96OG9hVXc4aVhHZFB4V19MWXkzMDZQRFFrWnpHU3JPdnVsZEZONmRUWkpSTWIzS3lFdGhJNlVvNEdTZGQybmNFdERFNg?oc=5
ORIENTELEC,Orient Electric Limited,ORIENTELEC Forecast — Price Target — Prediction for 2027 - TradingView,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE9xam9oLXBiTHFDcS1PTGxNcFRXYUdnbVR0N0dGalFRRjhxTTltajRpdkl3UlVObV9sLUJVSkEwNDRwb0lxUDA5a0pYNVdmUll6LUZwTUZQOFdrc3VFY1F4WTNYcXdBSFlxUHNtOA?oc=5"" target=""_blank"">ORIENTELEC Forecast — Price Target — Prediction for 2027</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2022-09-13 11:05:32,TradingView,https://news.google.com/rss/articles/CBMibEFVX3lxTE9xam9oLXBiTHFDcS1PTGxNcFRXYUdnbVR0N0dGalFRRjhxTTltajRpdkl3UlVObV9sLUJVSkEwNDRwb0lxUDA5a0pYNVdmUll6LUZwTUZQOFdrc3VFY1F4WTNYcXdBSFlxUHNtOA?oc=5
ORIENTELEC,Orient Electric Limited,Is Orient Electric Limited's (NSE:ORIENTELEC) High P/E Ratio A Problem For Investors? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMiiwJBVV95cUxNdHpYQW04NzBhd3ZveVVVcFg1RmVFa0lnYnViQi1VeTMtVDhQZ0hhZFp3SEJxMnFEYldpTlNEamhDTFBndHNWdnVJcDd4ODJjc3VZcDY3ckVhZ0lVZ0t0eEViY3lqcklzTGZjbm0xc29DWThZQVhuZ3hla2U5QjlDdXd3dlN2MGZsTl9wM3JoZzJCYkdfNC1OLWlvTzFsUUFUUFdyUXFjRlduYzc4MllndVlKcmRyZlFoSEVFRVNVSDhjSlM2WDQtX1VubjVYT1kyRTVrQy05cDFSbS16MEIyVlVsUnBPWm1HTzVzMGJxREp0ZlF2blZlTE5qU1I2aG0tMmRlWXdnMHEwUjjSAYsCQVVfeXFMTXR6WEFtODcwYXd2b3lVVXBYNUZlRWtJZ2J1YkItVXkzLVQ4UGdIYWRad0hCcTJxRGJXaU5TRGpoQ0xQZ3RzVnZ1SXA3eDgyY3N1WXA2N3JFYWdJVWdLdHhFYmN5anJJc0xmY25tMXNvQ1k4WUFYbmd4ZWtlOUI5Q3V3d3ZTdjBmbE5fcDNyaGcyQmJHXzQtTi1pb08xbFFBVFBXclFxY0ZXbmM3ODJZZ3VZSnJkcmZRaEhFRUVTVUg4Y0pTNlg0LV9Vbm41WE9ZMkU1a0MtOXAxUm0tejBCMlZVbFJwT1ptR081czBicURKdGZRdm5WZUxOalNSNmhtLTJkZVl3ZzBxMFI4?oc=5"" target=""_blank"">Is Orient Electric Limited's (NSE:ORIENTELEC) High P/E Ratio A Problem For Investors?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2019-07-02 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMiiwJBVV95cUxNdHpYQW04NzBhd3ZveVVVcFg1RmVFa0lnYnViQi1VeTMtVDhQZ0hhZFp3SEJxMnFEYldpTlNEamhDTFBndHNWdnVJcDd4ODJjc3VZcDY3ckVhZ0lVZ0t0eEViY3lqcklzTGZjbm0xc29DWThZQVhuZ3hla2U5QjlDdXd3dlN2MGZsTl9wM3JoZzJCYkdfNC1OLWlvTzFsUUFUUFdyUXFjRlduYzc4MllndVlKcmRyZlFoSEVFRVNVSDhjSlM2WDQtX1VubjVYT1kyRTVrQy05cDFSbS16MEIyVlVsUnBPWm1HTzVzMGJxREp0ZlF2blZlTE5qU1I2aG0tMmRlWXdnMHEwUjjSAYsCQVVfeXFMTXR6WEFtODcwYXd2b3lVVXBYNUZlRWtJZ2J1YkItVXkzLVQ4UGdIYWRad0hCcTJxRGJXaU5TRGpoQ0xQZ3RzVnZ1SXA3eDgyY3N1WXA2N3JFYWdJVWdLdHhFYmN5anJJc0xmY25tMXNvQ1k4WUFYbmd4ZWtlOUI5Q3V3d3ZTdjBmbE5fcDNyaGcyQmJHXzQtTi1pb08xbFFBVFBXclFxY0ZXbmM3ODJZZ3VZSnJkcmZRaEhFRUVTVUg4Y0pTNlg0LV9Vbm41WE9ZMkU1a0MtOXAxUm0tejBCMlZVbFJwT1ptR081czBicURKdGZRdm5WZUxOalNSNmhtLTJkZVl3ZzBxMFI4?oc=5
ORIENTELEC,Orient Electric Limited,Should We Be Delighted With Orient Electric Limited's (NSE:ORIENTELEC) ROE Of 25%? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxOdVB2a1Y5VFNCUEtGVFRsUmlsQzZ5aGFoSTMtVEFzRlNFSXlVRzV4UnB2QTVWUWk5MHFtM0dyTzE5QkxBQ2x2bmo2aHRkTXlfekhBZlhKNlNUaUpQVFdBa1I4TnY2V2FxZC05ZDZWYlhab21sWjZPMWNKd3NJUUxtM19tcmVPV2RVZnJoa2NmYVIxRDBIS2pZMmhzZ1lfV1hWU1Q2UXRVTnVKMXQ1bkZCSWtTVkY5dVdLVWFmUHMydGdxLWVOQlN4VUtMLUZDbWdmZ1ZURDBjRVJKUUpYaHdEdTI4YjQzSFFaWF9DZzJrWTlNU3huRGs1NUNsMmZmb0Y0aTdR0gGDAkFVX3lxTE51UHZrVjlUU0JQS0ZUVGxSaWxDNnloYWhJMy1UQXNGU0VJeVVHNXhScHZBNVZRaTkwcW0zR3JPMTlCTEFDbHZuajZodGRNeV96SEFmWEo2U1RpSlBUV0FrUjhOdjZXYXFkLTlkNlZiWFpvbWxaNk8xY0p3c0lRTG0zX21yZU9XZFVmcmhrY2ZhUjFEMEhLalkyaHNnWV9XWFZTVDZRdFVOdUoxdDVuRkJJa1NWRjl1V0tVYWZQczJ0Z3EtZU5CU3hVS0wtRkNtZ2ZnVlREMGNFUkpRSlhod0R1MjhiNDNIUVpYX0NnMmtZOU1TeG5EazU1Q2wyZmZvRjRpN1E?oc=5"" target=""_blank"">Should We Be Delighted With Orient Electric Limited's (NSE:ORIENTELEC) ROE Of 25%?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2019-08-04 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMigwJBVV95cUxOdVB2a1Y5VFNCUEtGVFRsUmlsQzZ5aGFoSTMtVEFzRlNFSXlVRzV4UnB2QTVWUWk5MHFtM0dyTzE5QkxBQ2x2bmo2aHRkTXlfekhBZlhKNlNUaUpQVFdBa1I4TnY2V2FxZC05ZDZWYlhab21sWjZPMWNKd3NJUUxtM19tcmVPV2RVZnJoa2NmYVIxRDBIS2pZMmhzZ1lfV1hWU1Q2UXRVTnVKMXQ1bkZCSWtTVkY5dVdLVWFmUHMydGdxLWVOQlN4VUtMLUZDbWdmZ1ZURDBjRVJKUUpYaHdEdTI4YjQzSFFaWF9DZzJrWTlNU3huRGs1NUNsMmZmb0Y0aTdR0gGDAkFVX3lxTE51UHZrVjlUU0JQS0ZUVGxSaWxDNnloYWhJMy1UQXNGU0VJeVVHNXhScHZBNVZRaTkwcW0zR3JPMTlCTEFDbHZuajZodGRNeV96SEFmWEo2U1RpSlBUV0FrUjhOdjZXYXFkLTlkNlZiWFpvbWxaNk8xY0p3c0lRTG0zX21yZU9XZFVmcmhrY2ZhUjFEMEhLalkyaHNnWV9XWFZTVDZRdFVOdUoxdDVuRkJJa1NWRjl1V0tVYWZQczJ0Z3EtZU5CU3hVS0wtRkNtZ2ZnVlREMGNFUkpRSlhod0R1MjhiNDNIUVpYX0NnMmtZOU1TeG5EazU1Q2wyZmZvRjRpN1E?oc=5
ORIENTELEC,Orient Electric Limited,"Orient Electric Standalone June 2025 Net Sales at Rs 769.08 crore, up 1.88% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxOQjYwZW9xbDRqMmFMV2VJbEJjR0dvNHc1NUxrX2IxYVpUN0NQcUV0ZmhyNmU4d3Qwa0VSMmlmdkw1c2lLTE9NbV9CdmhlX3lpNS0yNXNJU0ZiSUJNcEJOQU56SXR2NnRIektZUUR3eE52VGZEdVhCX1lKajVGdUgxeDNOSVRNLVRJd0lBRFNwS2gwWTk5Z1dzT1Z5d29URUFEUVgyZlVvWUoxRVlZNTVaUmJSYjNiRkJac0JhZm5lRERiS245eUJud2ZORzNveEJEWlRGajE4eWN4Tm9CbHfSAeMBQVVfeXFMTmQxZVdSWGd0YXZOQVZHeXNDYWhNTzhxbVpDa0wxZWI4Z0VtbE1aakRGeEEzVGQyV1c4RHNhTWlYZXRzM0pKbnB3ZjlnV3VzUjdvaEMyVFhCY3BsTFRnR0ZjcUhxSGlFQnhzaXBqUThSazNqOU9scU92Umg1dDZ1aFduSFVOS1pYOGM1ZWJzQXc4bzlGdlZ1dWZUN2p1ODJXdklfYllCczduaF9MWWdVMFZadFducmRmWldsaWMzeEMxa0tMRWYxaGhGX1JaSi00dElsUlMyUzh6NXNrQTJObll1NFE?oc=5"" target=""_blank"">Orient Electric Standalone June 2025 Net Sales at Rs 769.08 crore, up 1.88% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-07-25 07:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOQjYwZW9xbDRqMmFMV2VJbEJjR0dvNHc1NUxrX2IxYVpUN0NQcUV0ZmhyNmU4d3Qwa0VSMmlmdkw1c2lLTE9NbV9CdmhlX3lpNS0yNXNJU0ZiSUJNcEJOQU56SXR2NnRIektZUUR3eE52VGZEdVhCX1lKajVGdUgxeDNOSVRNLVRJd0lBRFNwS2gwWTk5Z1dzT1Z5d29URUFEUVgyZlVvWUoxRVlZNTVaUmJSYjNiRkJac0JhZm5lRERiS245eUJud2ZORzNveEJEWlRGajE4eWN4Tm9CbHfSAeMBQVVfeXFMTmQxZVdSWGd0YXZOQVZHeXNDYWhNTzhxbVpDa0wxZWI4Z0VtbE1aakRGeEEzVGQyV1c4RHNhTWlYZXRzM0pKbnB3ZjlnV3VzUjdvaEMyVFhCY3BsTFRnR0ZjcUhxSGlFQnhzaXBqUThSazNqOU9scU92Umg1dDZ1aFduSFVOS1pYOGM1ZWJzQXc4bzlGdlZ1dWZUN2p1ODJXdklfYllCczduaF9MWWdVMFZadFducmRmWldsaWMzeEMxa0tMRWYxaGhGX1JaSi00dElsUlMyUzh6NXNrQTJObll1NFE?oc=5
