scrip,company,headline,summary,published_date,source,url
ORIENTLTD,Orient Press Limited,Orient Press Limited's (NSE:ORIENTLTD) Shares Climb 27% But Its Business Is Yet to Catch Up - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxOOGVzTUVCUVd2QlV5TTRnb0phSEVOWFUxTHFRVHNka0FybXMzbUZYM19tZnByNnMtVU5mMUgxNHpORFZBcHlGcEJfS05wbkNKSk40SmtWTlBoZ0dVcXhLOW5MLVVsc0FDSUdjRG96bWZSTW1nYTFQSFlkUk93eVlfY2NpUHZsVWtES1BreDJKMGRjMUZrSDlpMHpnTnQ5VnZWMmtISFdFM2J5N3I1OG5IQlp0WU94MTM3SUl4SjJYekxJM255bV9EZkNwS1dfcHBKM2hFUlN5X03SAd4BQVVfeXFMT3JkcjdCTzB2aGc1TXZwRFZHWFNNZUZkNzFCOGEwdzh0QzdUeV9QSWxQWTI5TG5NTUNUZ2pCNVJCNkJGMTFGQUdUOUI5WjlPTjJJeVdIdE5qRDg1WDZPc29NWEFyQ2d4Wl9qbWVjRXlIWjNkMEMtN3RXd29nTUdacl9NOWc4QUhXV1ZycEFEZUdkWmJNMDA3dFBiSHlaUmtqUnhEV1V5elZFTVJQODlGU0RxVnJfOVJqUnVpb2hNMHpkZEpGZkVISDh5a3NYXzhVQTBmamRBdUtYdkhSUWJ3?oc=5"" target=""_blank"">Orient Press Limited's (NSE:ORIENTLTD) Shares Climb 27% But Its Business Is Yet to Catch Up</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-06-12 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOOGVzTUVCUVd2QlV5TTRnb0phSEVOWFUxTHFRVHNka0FybXMzbUZYM19tZnByNnMtVU5mMUgxNHpORFZBcHlGcEJfS05wbkNKSk40SmtWTlBoZ0dVcXhLOW5MLVVsc0FDSUdjRG96bWZSTW1nYTFQSFlkUk93eVlfY2NpUHZsVWtES1BreDJKMGRjMUZrSDlpMHpnTnQ5VnZWMmtISFdFM2J5N3I1OG5IQlp0WU94MTM3SUl4SjJYekxJM255bV9EZkNwS1dfcHBKM2hFUlN5X03SAd4BQVVfeXFMT3JkcjdCTzB2aGc1TXZwRFZHWFNNZUZkNzFCOGEwdzh0QzdUeV9QSWxQWTI5TG5NTUNUZ2pCNVJCNkJGMTFGQUdUOUI5WjlPTjJJeVdIdE5qRDg1WDZPc29NWEFyQ2d4Wl9qbWVjRXlIWjNkMEMtN3RXd29nTUdacl9NOWc4QUhXV1ZycEFEZUdkWmJNMDA3dFBiSHlaUmtqUnhEV1V5elZFTVJQODlGU0RxVnJfOVJqUnVpb2hNMHpkZEpGZkVISDh5a3NYXzhVQTBmamRBdUtYdkhSUWJ3?oc=5
ORIENTLTD,Orient Press Limited,Orient Press Limited Reports Q3FY26 Profit of ₹7.53 Lakhs After Previous Quarter Losses - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPZ2ZOQTJVcDZJUGtIcjJXZDVNZlM3M18tX0JNWEVwNE1BcWFwM1ZGejdXUDFIN0FoWFoyUW45VktZRUtySW55dkpfT013clNRa09KY2FfN2VzbEFzc3dQVGVVTGNpSkxZWDJ6Ql9tZHRzZVhadjNORWJlZ3ZzOEVjWVVLdTVNemNza1BQZHlmUl9Nb09BZjhJNjZZWXhleDVkYy0xb2JscnBfX0dWRzF0bUxDenhvdEJFX2pJcVFqMjV6ZmVNeGlxLWkxVUpFU1ZTUkQybTlIamlCdw?oc=5"" target=""_blank"">Orient Press Limited Reports Q3FY26 Profit of ₹7.53 Lakhs After Previous Quarter Losses</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-13 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPZ2ZOQTJVcDZJUGtIcjJXZDVNZlM3M18tX0JNWEVwNE1BcWFwM1ZGejdXUDFIN0FoWFoyUW45VktZRUtySW55dkpfT013clNRa09KY2FfN2VzbEFzc3dQVGVVTGNpSkxZWDJ6Ql9tZHRzZVhadjNORWJlZ3ZzOEVjWVVLdTVNemNza1BQZHlmUl9Nb09BZjhJNjZZWXhleDVkYy0xb2JscnBfX0dWRzF0bUxDenhvdEJFX2pJcVFqMjV6ZmVNeGlxLWkxVUpFU1ZTUkQybTlIamlCdw?oc=5
ORIENTLTD,Orient Press Limited,Orient Bell Limited (ORIENTBELL) stock news today: Live updates - Bitget,"<a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTE1rTC15RmZyb1RlVVRFTWlvSGFPcW1rZ0JXWUVkbWZ0aFdRQ00tMmtvazlIZFMzajdZTjdDQTBrTVlqMEpWbUowUHRua0xweWoyWXRFZEg5b2t6YzQ3?oc=5"" target=""_blank"">Orient Bell Limited (ORIENTBELL) stock news today: Live updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bitget</font>",2026-01-16 08:00:00,Bitget,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1rTC15RmZyb1RlVVRFTWlvSGFPcW1rZ0JXWUVkbWZ0aFdRQ00tMmtvazlIZFMzajdZTjdDQTBrTVlqMEpWbUowUHRua0xweWoyWXRFZEg5b2t6YzQ3?oc=5
ORIENTLTD,Orient Press Limited,Orient Technologies to Consider Acquisition of Three IT Companies in Upcoming Board Meeting - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxNQjVrVnNBc3lVUXgzVkdQMUZKdjJKdG5LS2pKQUNhVlVvNjJNdFFZRWQ2c0xaMjFuVXFqSkx3LUFzRjlFTzVZang0WndJQnZ4N3k0c1N2d1FaQmRlZ2gtT2pBTVB1YnFnOFVDanR5NTVlWGZ5ZGhtV0pjbWltNzJKaFhXMDJUeW80N2pER0VERmNwYW5JTTdLVktzWU9tQ1NfUnVOZ09BVml4YUQtdGppd0twTEliS3VUWTdxbXZnc0dyNkV6OHFGTWIwQ3hKQmh2cUM2bWdVSTMySHE5ZWtUNmRhckR6Ny1QRVhKYg?oc=5"" target=""_blank"">Orient Technologies to Consider Acquisition of Three IT Companies in Upcoming Board Meeting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-10 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNQjVrVnNBc3lVUXgzVkdQMUZKdjJKdG5LS2pKQUNhVlVvNjJNdFFZRWQ2c0xaMjFuVXFqSkx3LUFzRjlFTzVZang0WndJQnZ4N3k0c1N2d1FaQmRlZ2gtT2pBTVB1YnFnOFVDanR5NTVlWGZ5ZGhtV0pjbWltNzJKaFhXMDJUeW80N2pER0VERmNwYW5JTTdLVktzWU9tQ1NfUnVOZ09BVml4YUQtdGppd0twTEliS3VUWTdxbXZnc0dyNkV6OHFGTWIwQ3hKQmh2cUM2bWdVSTMySHE5ZWtUNmRhckR6Ny1QRVhKYg?oc=5
ORIENTLTD,Orient Press Limited,Orient Electric Share Price Slide Over 5% After Back-to-Back Bulk Deals - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxOQ00tazlHRDFubzl1V2U1clE0RFpIbmdKMVJ5V0NFZkhRejhrYkRZM3pCWEl5UVV0bjBTSFRDbFdsZ2hGY2JIWTc3XzRWSi1LaXpfRWMwM3d2TVY1SkpSUjBzUUdlUThrS1Nfa1ZLRW0yMExuRzM5elRWNHExUHp0TjlrUlNtOWJnTmhUdzAtdUdSdw?oc=5"" target=""_blank"">Orient Electric Share Price Slide Over 5% After Back-to-Back Bulk Deals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-11-26 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMikgFBVV95cUxOQ00tazlHRDFubzl1V2U1clE0RFpIbmdKMVJ5V0NFZkhRejhrYkRZM3pCWEl5UVV0bjBTSFRDbFdsZ2hGY2JIWTc3XzRWSi1LaXpfRWMwM3d2TVY1SkpSUjBzUUdlUThrS1Nfa1ZLRW0yMExuRzM5elRWNHExUHp0TjlrUlNtOWJnTmhUdzAtdUdSdw?oc=5
ORIENTLTD,Orient Press Limited,Why Orient Technologies Share Price is Rising - Equitymaster,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxQaUN5dTRJMDJuYnpsUEZkUWtWMFRhdk5Zdk1SVWwwOWMzQVVXVmlkNG5MdUtrRnJteWd6N01jS2xDZkJRdnpHMy01TklDdHRTUVJXazVzY2tzdVhVU1NqSlJsaWZKQWUwU2RKRWF2RUUzeDV2LTRQa2NHdnFjbzVGYnBpSkdjVDZsb2xzek0wU2JwQTI2c3VqcnE5WVhza182WkZ1WUFmYnpZMVVDTmtURHJmS2J2Zw?oc=5"" target=""_blank"">Why Orient Technologies Share Price is Rising</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitymaster</font>",2025-10-06 07:00:00,Equitymaster,https://news.google.com/rss/articles/CBMitgFBVV95cUxQaUN5dTRJMDJuYnpsUEZkUWtWMFRhdk5Zdk1SVWwwOWMzQVVXVmlkNG5MdUtrRnJteWd6N01jS2xDZkJRdnpHMy01TklDdHRTUVJXazVzY2tzdVhVU1NqSlJsaWZKQWUwU2RKRWF2RUUzeDV2LTRQa2NHdnFjbzVGYnBpSkdjVDZsb2xzek0wU2JwQTI2c3VqcnE5WVhza182WkZ1WUFmYnpZMVVDTmtURHJmS2J2Zw?oc=5
ORIENTLTD,Orient Press Limited,Technical Analysis of Orient Technologies Limited (NSE:ORIENTTECH) - TradingView,"<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTFA5ZUV6SENJZl9mOUJJV1o0Q3dUYUROem5FdlhrQ3ZEZE9IX1dzX1dGY0RSbGJaeno1dmQxVk1qOHREYktfdUw4bTFQZXgwbVNGU1JmLWl0eEU3SzYxZERyZ3hIT0dVdE9nVDNZOGtSbw?oc=5"" target=""_blank"">Technical Analysis of Orient Technologies Limited (NSE:ORIENTTECH)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2024-09-23 02:21:57,TradingView,https://news.google.com/rss/articles/CBMib0FVX3lxTFA5ZUV6SENJZl9mOUJJV1o0Q3dUYUROem5FdlhrQ3ZEZE9IX1dzX1dGY0RSbGJaeno1dmQxVk1qOHREYktfdUw4bTFQZXgwbVNGU1JmLWl0eEU3SzYxZERyZ3hIT0dVdE9nVDNZOGtSbw?oc=5
ORIENTLTD,Orient Press Limited,Orient Cement (NSE:ORIENTCEM) Has Announced That Its Dividend Will Be Reduced To ₹0.50 - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNQTh1cnQ4eDR4dlJsMmhINE5BSDRDQWtTakdqNEM1NF9ZdDBUV2pCODk4YkVsV1Q4dGNzYnVPcXVpbURzckNZblVERnZfbEpsR0N4VmNKeGRra0ljNWZ3Nl9razJ3WV85YmhGelB3aHQ2UjVTQmVRbmNaX0tMMElRY2MwTkhwSGNONUNHWGxKVXU5SmdMMlVXNldoekhQclp2UW9OaFRjZWQxZEpKb0pSZzZOM21jMVFnNy1HS01rMTFWUkczZXA4VkoyT01fTFVYSDVxU2dMQWhNd9IB3wFBVV95cUxPb3VMR2Z4d2pOY19LMUR2TmozX2k2b1JYcGdKenBvSFUzcFVXbnpGT1hWMUJzMDE3NnlnRFU2M0ZZZlBmd1NOb3UwWDdXRDRWX3Z0UmxLSGVRdE9HcFVIcXVPOWRaY0JoWnZqUDZMZXNvaFJXalZLNzFFcjZ6SkVBTEJGVFQ3aUZKdGk4NEo3Rkl2LVFfZXlDbkJfN0QxTHFrVWNqWGVMb0hFT0IydG1MczZBam5pd01ZSUVRZ1FyM1M5WEpMQUdSZWF5dWdHZDJkSEhBT3Rvc3djUS1LYnlB?oc=5"" target=""_blank"">Orient Cement (NSE:ORIENTCEM) Has Announced That Its Dividend Will Be Reduced To ₹0.50</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-06 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNQTh1cnQ4eDR4dlJsMmhINE5BSDRDQWtTakdqNEM1NF9ZdDBUV2pCODk4YkVsV1Q4dGNzYnVPcXVpbURzckNZblVERnZfbEpsR0N4VmNKeGRra0ljNWZ3Nl9razJ3WV85YmhGelB3aHQ2UjVTQmVRbmNaX0tMMElRY2MwTkhwSGNONUNHWGxKVXU5SmdMMlVXNldoekhQclp2UW9OaFRjZWQxZEpKb0pSZzZOM21jMVFnNy1HS01rMTFWUkczZXA4VkoyT01fTFVYSDVxU2dMQWhNd9IB3wFBVV95cUxPb3VMR2Z4d2pOY19LMUR2TmozX2k2b1JYcGdKenBvSFUzcFVXbnpGT1hWMUJzMDE3NnlnRFU2M0ZZZlBmd1NOb3UwWDdXRDRWX3Z0UmxLSGVRdE9HcFVIcXVPOWRaY0JoWnZqUDZMZXNvaFJXalZLNzFFcjZ6SkVBTEJGVFQ3aUZKdGk4NEo3Rkl2LVFfZXlDbkJfN0QxTHFrVWNqWGVMb0hFT0IydG1MczZBam5pd01ZSUVRZ1FyM1M5WEpMQUdSZWF5dWdHZDJkSEhBT3Rvc3djUS1LYnlB?oc=5
ORIENTLTD,Orient Press Limited,"Orient Green Q2 results: PAT jumps 22% to Rs 80.9 cr, revenue up 9% - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxNd2ZTMms4OXY4cUJ6aDZaUlpQMVNZRGdyR0VrTE5ZSlBCUEFpZ3Z1Q1hCdFVyd2NBeS1EejVfeEJ2VGJrUWlXYXVLcy1fMEFCdm9hMkxfeFRLUHZpN2ZtbzBQc2hWUTlYdHhZVS10eXZuLVdwNlAxeExJTFpiYmswVUhIMzVjdG04UDlSTDRaY1pkdkFwRWNNX256Skdfa1FkeDNtZ3g1Q3AxRUM1bzlXX3poNVdnR2FxZlI5cS01U3p4Z2Z1WXhXMjJacThvQ0stc282Z2tTMjBiXzU4dWfSAeMBQVVfeXFMTW5fS1BxY2RXcDhtYzRWMU1MNTJiOGVlZHhBY3V0Q0FhU0ZVcVBRTnJIU1R6V3FuTHcxc05RTnZRNk9nTE1kN3FWSzRheVctVE1yejM1bjhZM1lQYVV3WDFuN0NqNXlYbmwwbjR5eWR6RUhYSi04Nlg3X0ZtWlR6SkN3S0RIRnh1WmxheHFsRjhuMDdZNFgtWFpaSzNuc2pnSUlCa0VpZEpxMWcwSkNLNVpvMXFYX0ducUFfZ3l5dlA2d0t0ZURGemxvRVVCMXV1VEtwNWRXNGVNUW1VVE1YOFhRUXM?oc=5"" target=""_blank"">Orient Green Q2 results: PAT jumps 22% to Rs 80.9 cr, revenue up 9%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-11-05 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi3gFBVV95cUxNd2ZTMms4OXY4cUJ6aDZaUlpQMVNZRGdyR0VrTE5ZSlBCUEFpZ3Z1Q1hCdFVyd2NBeS1EejVfeEJ2VGJrUWlXYXVLcy1fMEFCdm9hMkxfeFRLUHZpN2ZtbzBQc2hWUTlYdHhZVS10eXZuLVdwNlAxeExJTFpiYmswVUhIMzVjdG04UDlSTDRaY1pkdkFwRWNNX256Skdfa1FkeDNtZ3g1Q3AxRUM1bzlXX3poNVdnR2FxZlI5cS01U3p4Z2Z1WXhXMjJacThvQ0stc282Z2tTMjBiXzU4dWfSAeMBQVVfeXFMTW5fS1BxY2RXcDhtYzRWMU1MNTJiOGVlZHhBY3V0Q0FhU0ZVcVBRTnJIU1R6V3FuTHcxc05RTnZRNk9nTE1kN3FWSzRheVctVE1yejM1bjhZM1lQYVV3WDFuN0NqNXlYbmwwbjR5eWR6RUhYSi04Nlg3X0ZtWlR6SkN3S0RIRnh1WmxheHFsRjhuMDdZNFgtWFpaSzNuc2pnSUlCa0VpZEpxMWcwSkNLNVpvMXFYX0ducUFfZ3l5dlA2d0t0ZURGemxvRVVCMXV1VEtwNWRXNGVNUW1VVE1YOFhRUXM?oc=5
ORIENTLTD,Orient Press Limited,"Orient Technologies IPO allotment expected today: Steps to check status on NSE, Link Intime - Upstox","<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxPZDJyZmRHckxPbW45V2prVXNTNGFiUFVyNUNYeW1pekdKVExTTExrNEVVTkQtQlNPaUtNQlN4TDRBczFrQV9TN0RLdXAwOXNGTHVPVlQ0OVNPMVhxTXh3V3dldW1OTHluUDVMaUU5SFZuVG1xcHZPX2R2NTVBaHpjWGRqU3J3QjdWWG9yVjRNOHVqakhQMVVtdkVIcWhhdjV5X2F5MTdJZUxPMkJFUjNsLVNjSHNPMHA1RkF0LUxwTVVZTldrd2pLTXZPTTY1bXdpM2hxd1JUM21YNU80X0E?oc=5"" target=""_blank"">Orient Technologies IPO allotment expected today: Steps to check status on NSE, Link Intime</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2024-08-25 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPZDJyZmRHckxPbW45V2prVXNTNGFiUFVyNUNYeW1pekdKVExTTExrNEVVTkQtQlNPaUtNQlN4TDRBczFrQV9TN0RLdXAwOXNGTHVPVlQ0OVNPMVhxTXh3V3dldW1OTHluUDVMaUU5SFZuVG1xcHZPX2R2NTVBaHpjWGRqU3J3QjdWWG9yVjRNOHVqakhQMVVtdkVIcWhhdjV5X2F5MTdJZUxPMkJFUjNsLVNjSHNPMHA1RkF0LUxwTVVZTldrd2pLTXZPTTY1bXdpM2hxd1JUM21YNU80X0E?oc=5
ORIENTLTD,Orient Press Limited,Orient Green Power Q2FY25 results: Net profit falls 11% to Rs 66.46 cr - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxQa1BEOE5OZm02RUVRS3lqZldJTkZvNE5ESG9rZjZZNzdJcGhnVF8xd3drQWw0by0tOG16NHJuNkZKTHBEUGxneFpNYlVRbTh6RkJNNnZBUzRLQU8zRkFlYU5SOHp6d1Q0cVdTb2FsVGhlWW9zemsyWndNQTBYYWFzdEZ2TVMySUN2a1h2NDBDZkU5NWRaY1c1RTBfSzFZb2NHbDMwZnZydWNuZWpRa1lkWGtDVTh1RnExNDVsR2MwdVdTQ3hfMC0yMjkwVlRvMlFnOHoyNHI5a9IB3AFBVV95cUxPclQ4MkFiZTlQQ3lDVlhycnIwRGRjZGw5VzlNQTBORjJWOTBRYzl4YXpNbHlGTUF1ZnNXU0pyOGtqc2NmaEp5dTJwdWlrZ3ZHdXNoaGZCR3YxTTJyNW1MSmZxb3lKczBIQW1RRFpnWEsyeDU2WjJmLW5VdU4zejZOdHQtZGZpd1dhS0E0QlRLYVJ6Wm1JTkF6LUdNc2lUbW1fUFNWUXFNaGlWWTFWeEdDRFhFTk9XZjkxZlNmTXNMc2pTTUpDZFJnNW1XS0pMdHZrX0pCT0paLU1Cb2xu?oc=5"" target=""_blank"">Orient Green Power Q2FY25 results: Net profit falls 11% to Rs 66.46 cr</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2024-11-11 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQa1BEOE5OZm02RUVRS3lqZldJTkZvNE5ESG9rZjZZNzdJcGhnVF8xd3drQWw0by0tOG16NHJuNkZKTHBEUGxneFpNYlVRbTh6RkJNNnZBUzRLQU8zRkFlYU5SOHp6d1Q0cVdTb2FsVGhlWW9zemsyWndNQTBYYWFzdEZ2TVMySUN2a1h2NDBDZkU5NWRaY1c1RTBfSzFZb2NHbDMwZnZydWNuZWpRa1lkWGtDVTh1RnExNDVsR2MwdVdTQ3hfMC0yMjkwVlRvMlFnOHoyNHI5a9IB3AFBVV95cUxPclQ4MkFiZTlQQ3lDVlhycnIwRGRjZGw5VzlNQTBORjJWOTBRYzl4YXpNbHlGTUF1ZnNXU0pyOGtqc2NmaEp5dTJwdWlrZ3ZHdXNoaGZCR3YxTTJyNW1MSmZxb3lKczBIQW1RRFpnWEsyeDU2WjJmLW5VdU4zejZOdHQtZGZpd1dhS0E0QlRLYVJ6Wm1JTkF6LUdNc2lUbW1fUFNWUXFNaGlWWTFWeEdDRFhFTk9XZjkxZlNmTXNMc2pTTUpDZFJnNW1XS0pMdHZrX0pCT0paLU1Cb2xu?oc=5
