scrip,company,headline,summary,published_date,source,url
PANACHE,Panache Digilife Limited,Panache Digilife Ltd Plunges to Lower Circuit Amid Heavy Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxPVllqUjhKcGdYcEc2YnJvRkNoMGdMWHZMeUNEMzRQMnEtZmFlTVAwZ09tdmZBUndhY201VEdHeW8tbDVuWlpvd1padTVDbnVoUUphYkdpcnJ0MnNLaTVQRE9PV1YwTTViRTlQdWlZc1poM1lEdGtMa1VpRHpIaUpEdURLd2RzSERnMFoxekVTb0IyZkdtVG92aEtsNS1MQ0p4VGxMemZBZDVLczBJSjNEYzdJbjhzQ2pMd2V0ME5KaDItNlFJdm5xLUFZbw?oc=5"" target=""_blank"">Panache Digilife Ltd Plunges to Lower Circuit Amid Heavy Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-03 10:43:04,Markets Mojo,https://news.google.com/rss/articles/CBMiywFBVV95cUxPVllqUjhKcGdYcEc2YnJvRkNoMGdMWHZMeUNEMzRQMnEtZmFlTVAwZ09tdmZBUndhY201VEdHeW8tbDVuWlpvd1padTVDbnVoUUphYkdpcnJ0MnNLaTVQRE9PV1YwTTViRTlQdWlZc1poM1lEdGtMa1VpRHpIaUpEdURLd2RzSERnMFoxekVTb0IyZkdtVG92aEtsNS1MQ0p4VGxMemZBZDVLczBJSjNEYzdJbjhzQ2pMd2V0ME5KaDItNlFJdm5xLUFZbw?oc=5
PANACHE,Panache Digilife Limited,Is Now The Time To Put Panache Digilife (NSE:PANACHE) On Your Watchlist? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNZmFBakNyeXg5M01hMGt1R05FRG0wX2lVVHM5bk9XOGxaT3EzQVo5R1gzNFZ2Y0p2N0lWVE9DNDgxQnNWY2t5UnM3Z1Jzd2J3bjJmNU0wOUcwOGZHbzZuLVVLeUdtNDhPRnF5Z3Y4eXAtOXJXR243Sld6MzJpYXhybllaN3JTSnJTaWpkYzV3dHp6UndJbkZOakVtbGJiSXB2b2x4UTBaNmktYV9HNE1uUzFESHc0Rlc5SVN5Nmt0RFB0UEl0V2JzaVpJUzZ6V2ZndXBXOQ?oc=5"" target=""_blank"">Is Now The Time To Put Panache Digilife (NSE:PANACHE) On Your Watchlist?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-03 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNZmFBakNyeXg5M01hMGt1R05FRG0wX2lVVHM5bk9XOGxaT3EzQVo5R1gzNFZ2Y0p2N0lWVE9DNDgxQnNWY2t5UnM3Z1Jzd2J3bjJmNU0wOUcwOGZHbzZuLVVLeUdtNDhPRnF5Z3Y4eXAtOXJXR243Sld6MzJpYXhybllaN3JTSnJTaWpkYzV3dHp6UndJbkZOakVtbGJiSXB2b2x4UTBaNmktYV9HNE1uUzFESHc0Rlc5SVN5Nmt0RFB0UEl0V2JzaVpJUzZ6V2ZndXBXOQ?oc=5
PANACHE,Panache Digilife Limited,Panache Digilife Ltd is Rated Hold - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxOX2pSQ0pRekd4empLS0xYMnhHWnc0cHg2M0RrNDlkTDdfbWFBU3UyeWRkYXhHTExWX0d2NGVDejFMd3ZBaXZFVnBrYWx6WHI1WkNHa1JYT1J2dmstaWNuV1g1Uk1wbVB1UDZ0U3FfUXp4SXJzMkllN2I5cERhZlZodVBsVDB3SFNZUHZRLUdvMFU3c3FqdUJhUkFhZWE?oc=5"" target=""_blank"">Panache Digilife Ltd is Rated Hold</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-26 07:07:05,Markets Mojo,https://news.google.com/rss/articles/CBMinAFBVV95cUxOX2pSQ0pRekd4empLS0xYMnhHWnc0cHg2M0RrNDlkTDdfbWFBU3UyeWRkYXhHTExWX0d2NGVDejFMd3ZBaXZFVnBrYWx6WHI1WkNHa1JYT1J2dmstaWNuV1g1Uk1wbVB1UDZ0U3FfUXp4SXJzMkllN2I5cERhZlZodVBsVDB3SFNZUHZRLUdvMFU3c3FqdUJhUkFhZWE?oc=5
PANACHE,Panache Digilife Limited,Panache Digilife's (NSE:PANACHE) 60% CAGR outpaced the company's earnings growth over the same five-year period - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNblFxQnVyVWFHVXpfM3lrdzE0ck1VMllGYTlac3RLU2dLdFQwRmMyRi1nZ3o5OVJmT055bDdTUGpYcWV3YllRZk9hN05QRTNpTTFhUThVdndaMkY5TE5oVHBrRTBSN2EzelNFSXpjMWtyZFJrYkVaYVIxRm9vYjlnU3pjUUtMaHh0MHVyd3JCd1p6bzRkbW9BSXBjZlh6Vm5TSnZoV1hoeWNwMjNXMmlXREt5b2hTOW8wZXFrN1d5aEgzU0x4NV9QXzJKYVgzaWZvV1c3Rg?oc=5"" target=""_blank"">Panache Digilife's (NSE:PANACHE) 60% CAGR outpaced the company's earnings growth over the same five-year period</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-04 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNblFxQnVyVWFHVXpfM3lrdzE0ck1VMllGYTlac3RLU2dLdFQwRmMyRi1nZ3o5OVJmT055bDdTUGpYcWV3YllRZk9hN05QRTNpTTFhUThVdndaMkY5TE5oVHBrRTBSN2EzelNFSXpjMWtyZFJrYkVaYVIxRm9vYjlnU3pjUUtMaHh0MHVyd3JCd1p6bzRkbW9BSXBjZlh6Vm5TSnZoV1hoeWNwMjNXMmlXREt5b2hTOW8wZXFrN1d5aEgzU0x4NV9QXzJKYVgzaWZvV1c3Rg?oc=5
PANACHE,Panache Digilife Limited,Panache Digilife Ltd Plunges to Lower Circuit Amid Heavy Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOMHFmeUdGakxTRGpVV0FjOUJISnlweGpmcm1DX1NMSzZ0enRhOGNUVFJqWGhFZ010QkVoUkNOcVZhUU5sajNibVVSc0xJRHNVUTlja19QcmxBRURGQWtkdEZsQURWdWx4YVpVRHdDU3pUTmVNUjQ4UEM3d0E4VlFadTZLWjQ3REh0OC1PLVNCSnE3eDZ5U3hpdmxzalRpQTJxYXZXTC1HNUxhZF9rVGxaV0NpLTlKT2NvZTN3YldqUExpLUp2QzcxbjN3TQ?oc=5"" target=""_blank"">Panache Digilife Ltd Plunges to Lower Circuit Amid Heavy Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-13 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMiywFBVV95cUxOMHFmeUdGakxTRGpVV0FjOUJISnlweGpmcm1DX1NMSzZ0enRhOGNUVFJqWGhFZ010QkVoUkNOcVZhUU5sajNibVVSc0xJRHNVUTlja19QcmxBRURGQWtkdEZsQURWdWx4YVpVRHdDU3pUTmVNUjQ4UEM3d0E4VlFadTZLWjQ3REh0OC1PLVNCSnE3eDZ5U3hpdmxzalRpQTJxYXZXTC1HNUxhZF9rVGxaV0NpLTlKT2NvZTN3YldqUExpLUp2QzcxbjN3TQ?oc=5
PANACHE,Panache Digilife Limited,Here's Why Panache Digilife (NSE:PANACHE) Can Manage Its Debt Responsibly - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxPamtsTFh0U2xxSXNMLXRBbmpmWGRXMV8tajdkMVVkRS10RG9ZVkN5dUUzRzR5cE8wUkhhc3AzQlRsUDRCeVhES3FzbUdXMlBBSVA5Q2J5QlJfaE93cU1vMG93YVlheGROX3BGYlFzejRwQktDbWVvWWNJMjk0bzhFd2tVb3NRVzJ3UWpxeXhWNDdzM2ptbXk0b2Y3elU2S0NlRmlxOUxQNllIeHQ3UUdsM0NNdTFIME4xcXJxU0lHUllhYkRtSzY0YmJoUm1zZUxPREpBNFNnQQ?oc=5"" target=""_blank"">Here's Why Panache Digilife (NSE:PANACHE) Can Manage Its Debt Responsibly</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-20 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPamtsTFh0U2xxSXNMLXRBbmpmWGRXMV8tajdkMVVkRS10RG9ZVkN5dUUzRzR5cE8wUkhhc3AzQlRsUDRCeVhES3FzbUdXMlBBSVA5Q2J5QlJfaE93cU1vMG93YVlheGROX3BGYlFzejRwQktDbWVvWWNJMjk0bzhFd2tVb3NRVzJ3UWpxeXhWNDdzM2ptbXk0b2Y3elU2S0NlRmlxOUxQNllIeHQ3UUdsM0NNdTFIME4xcXJxU0lHUllhYkRtSzY0YmJoUm1zZUxPREpBNFNnQQ?oc=5
PANACHE,Panache Digilife Limited,Panache Digilife Ltd Hits Upper Circuit Amid Strong Buying Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxQaFl5S1dHNzREblVsdXVSMVB4UWJnRnB1S0Vta05VVF9YV0Jxb1IzOTBta1FYLTlQOTh0dWNXYUxxTnlPYlBaSFRmdGdRV3R6RG5LalVoVWZISnRtUFYyVlhEb2xWUWFadTV1X3AwV2VxUG1ONmgxOTlHZWx2Q09McEpiM1Y3Y0lkU0I0UFJEZnVsNWFwSHVoSE1qZ2tILWhiMk1FRmthZW1lN1FZQTh1djZTRk5ZSXVKSmJRNXA0TkRya1U?oc=5"" target=""_blank"">Panache Digilife Ltd Hits Upper Circuit Amid Strong Buying Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-11 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQaFl5S1dHNzREblVsdXVSMVB4UWJnRnB1S0Vta05VVF9YV0Jxb1IzOTBta1FYLTlQOTh0dWNXYUxxTnlPYlBaSFRmdGdRV3R6RG5LalVoVWZISnRtUFYyVlhEb2xWUWFadTV1X3AwV2VxUG1ONmgxOTlHZWx2Q09McEpiM1Y3Y0lkU0I0UFJEZnVsNWFwSHVoSE1qZ2tILWhiMk1FRmthZW1lN1FZQTh1djZTRk5ZSXVKSmJRNXA0TkRya1U?oc=5
PANACHE,Panache Digilife Limited,Panache Digilife Ltd Reports Outstanding Quarterly Performance Amid Financial Trend Upgrade - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPblhoNnhqTElzcWFYUjlRZU9KRFNqVDZHRzlGU1ZSa0FNcVNoNndNYkFDbGdIczQwMkdXV3dMTTRXOF9ucGpWR3NueE1iOEFsaDAzTEpGMlpRX2ZoWmNRVnRMeDh5Z21TV1RDaGZROFdwMHBWREJHaFlKM0M2MkpPdGgxRmlZVURPdEZ5SXZDdG5DSnpGQUpVcVk1dlpDZjZQYjRzR1JPVTFHakJYRGIzbkhHZEt5dEczMkdtSmNjSE1sTHRBYnIxeDAxUm0yNUljRHRrN09pdWdiR1NXT0dfcU9CNA?oc=5"" target=""_blank"">Panache Digilife Ltd Reports Outstanding Quarterly Performance Amid Financial Trend Upgrade</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-13 06:06:49,Markets Mojo,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPblhoNnhqTElzcWFYUjlRZU9KRFNqVDZHRzlGU1ZSa0FNcVNoNndNYkFDbGdIczQwMkdXV3dMTTRXOF9ucGpWR3NueE1iOEFsaDAzTEpGMlpRX2ZoWmNRVnRMeDh5Z21TV1RDaGZROFdwMHBWREJHaFlKM0M2MkpPdGgxRmlZVURPdEZ5SXZDdG5DSnpGQUpVcVk1dlpDZjZQYjRzR1JPVTFHakJYRGIzbkhHZEt5dEczMkdtSmNjSE1sTHRBYnIxeDAxUm0yNUljRHRrN09pdWdiR1NXT0dfcU9CNA?oc=5
PANACHE,Panache Digilife Limited,Panache Digilife Ltd Hits Lower Circuit Amid Heavy Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxOTXF0cDhlei11dGNQOTVfRE1YSTh1dzN5ZWJJbVhSZnZRVUlPTGFuS3VhY1lsWmZDVW00NldlQ090WHVoSGxHR2lkcEw0VGFMZGl4U2N5cXRQOGxqNlpva0h5dlVYQ1FSRjRZalVzdGIybElOWHZKSDc3T3ZMZTkyQW05XzZiMm84bnNxU2RQemQxMU13ZVAxTnhyVnIzcUctekNsUXlJbzRzRk8tNDZPRERHVkM5UDRZaUVBQ3lLZlY2X0E?oc=5"" target=""_blank"">Panache Digilife Ltd Hits Lower Circuit Amid Heavy Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-06 06:37:34,Markets Mojo,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOTXF0cDhlei11dGNQOTVfRE1YSTh1dzN5ZWJJbVhSZnZRVUlPTGFuS3VhY1lsWmZDVW00NldlQ090WHVoSGxHR2lkcEw0VGFMZGl4U2N5cXRQOGxqNlpva0h5dlVYQ1FSRjRZalVzdGIybElOWHZKSDc3T3ZMZTkyQW05XzZiMm84bnNxU2RQemQxMU13ZVAxTnhyVnIzcUctekNsUXlJbzRzRk8tNDZPRERHVkM5UDRZaUVBQ3lLZlY2X0E?oc=5
PANACHE,Panache Digilife Limited,Panache Digilife Ltd Surges to Upper Circuit Amid Strong Buying Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQNFdqLUZPcjBIYmxSU292Q2tTUklDeVg0UTRXZVlaajdNbnNIYnpoSEFEdnNFYnRuOGtWbm5INXJXZmJtT09ITkdwOUxvQU1iWGkzVkswUEhlOGpXZHM3SUZyNG5LN202V3hfOE84OGF0V1FvMmNuSnpKYnpWUVJDVUR2YllSWjRITVpXLUlEZkg2TVVHXzl1dXRXcG03LWtncWpQTVhaMnpqNlA4WUZrTExpdTUtazNteWlUVzFncVRoQUxWOWlqcDB3?oc=5"" target=""_blank"">Panache Digilife Ltd Surges to Upper Circuit Amid Strong Buying Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-04 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMiygFBVV95cUxQNFdqLUZPcjBIYmxSU292Q2tTUklDeVg0UTRXZVlaajdNbnNIYnpoSEFEdnNFYnRuOGtWbm5INXJXZmJtT09ITkdwOUxvQU1iWGkzVkswUEhlOGpXZHM3SUZyNG5LN202V3hfOE84OGF0V1FvMmNuSnpKYnpWUVJDVUR2YllSWjRITVpXLUlEZkg2TVVHXzl1dXRXcG03LWtncWpQTVhaMnpqNlA4WUZrTExpdTUtazNteWlUVzFncVRoQUxWOWlqcDB3?oc=5
