scrip,company,headline,summary,published_date,source,url
PKTEA,The Peria Karamalai Tea & Produce Company Limited,The Peria Karamalai Tea and Produce Company Limited Stock Forecast Summary - Meyka,"<a href=""https://news.google.com/rss/articles/CBMiWEFVX3lxTFB5U25wcFpVQngyVG9MNDJvQXFqNldEem9JMUEzZHlJdF80em9Bc295VnROQXRJalBYYjl0SHhIN3NKQ0pYVDlOSFFqWEJmdWJYLUUzSzVPbzg?oc=5"" target=""_blank"">The Peria Karamalai Tea and Produce Company Limited Stock Forecast Summary</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2026-02-23 21:04:59,Meyka,https://news.google.com/rss/articles/CBMiWEFVX3lxTFB5U25wcFpVQngyVG9MNDJvQXFqNldEem9JMUEzZHlJdF80em9Bc295VnROQXRJalBYYjl0SHhIN3NKQ0pYVDlOSFFqWEJmdWJYLUUzSzVPbzg?oc=5
PKTEA,The Peria Karamalai Tea & Produce Company Limited,Why It Might Not Make Sense To Buy The Peria Karamalai Tea and Produce Company Limited (NSE:PKTEA) For Its Upcoming Dividend - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxQd3pCQkRwTDU3VHlXTGV5bWxXOHoweFdmZzB1Mlh6RFhhVTdkTDlwaG5wQmdkcFo2Mm4yRFV4bjlRLVpYVE5CckJvWW84T09KWDZ5eU5rTUxVSDhoUGJPSkwybVQ5OE1WRU82dV95b25qZWhQS2tfWndYVzBYdUR1RWRuem8yT012cjhQSFh6d3FxcDlmeXBvTXVEOG0wN0pKakN6Zk1WS0wwekhlTFJnUVBWTkdycnc4ZTZ4QXdEQ2JsMlYtLTdNTXgxRnFsSjZiNHNnSFNCZlMwZGZHbHRPTWpSSzc3ZVozMk93NGtvNlNsbnpzTXNtUEdMNWvSAYICQVVfeXFMTlFIZHRQRGtDc3ZiWEVFWkN0azRUNjVwcEJtZ1F5TkZ3ZWx5anJIamM5QW5RRzRjbWM1Q3FiNTNuZGF3MG1XZDMwNFgwbzF6T2dqNTZfeGRZbnRDaFpSemtqQU1rU2gxUVQtNWNqYWRVN0pfVnJKTFptM0N0bFl0VFI4cUg5bi1kLU9fQmVKVmVfUEt6bjVBd183YzdxQzBTUnFZWFFpckl1eV9EY2NqQWlLT1BDSnF1WC1NamNLcUM1OU9lRHNDbDZYWVh6b1JLUEVJTW8zNGlzeVZkTzZUck9leF9iYzd5Q25QWnczSVowUnVObjhJOHdpNzVtSlRqdU93?oc=5"" target=""_blank"">Why It Might Not Make Sense To Buy The Peria Karamalai Tea and Produce Company Limited (NSE:PKTEA) For Its Upcoming Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-08 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi_AFBVV95cUxQd3pCQkRwTDU3VHlXTGV5bWxXOHoweFdmZzB1Mlh6RFhhVTdkTDlwaG5wQmdkcFo2Mm4yRFV4bjlRLVpYVE5CckJvWW84T09KWDZ5eU5rTUxVSDhoUGJPSkwybVQ5OE1WRU82dV95b25qZWhQS2tfWndYVzBYdUR1RWRuem8yT012cjhQSFh6d3FxcDlmeXBvTXVEOG0wN0pKakN6Zk1WS0wwekhlTFJnUVBWTkdycnc4ZTZ4QXdEQ2JsMlYtLTdNTXgxRnFsSjZiNHNnSFNCZlMwZGZHbHRPTWpSSzc3ZVozMk93NGtvNlNsbnpzTXNtUEdMNWvSAYICQVVfeXFMTlFIZHRQRGtDc3ZiWEVFWkN0azRUNjVwcEJtZ1F5TkZ3ZWx5anJIamM5QW5RRzRjbWM1Q3FiNTNuZGF3MG1XZDMwNFgwbzF6T2dqNTZfeGRZbnRDaFpSemtqQU1rU2gxUVQtNWNqYWRVN0pfVnJKTFptM0N0bFl0VFI4cUg5bi1kLU9fQmVKVmVfUEt6bjVBd183YzdxQzBTUnFZWFFpckl1eV9EY2NqQWlLT1BDSnF1WC1NamNLcUM1OU9lRHNDbDZYWVh6b1JLUEVJTW8zNGlzeVZkTzZUck9leF9iYzd5Q25QWnczSVowUnVObjhJOHdpNzVtSlRqdU93?oc=5
PKTEA,The Peria Karamalai Tea & Produce Company Limited,The Peria Karamalai Tea & Produce Company Ltd Hits Lower Circuit Amid Heavy Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxObXdvWlNSSmZLNEFySWNXc0ZrUi1NZjF0RDQ1bVozWWhaaFdIYUNWUjMycWRteG1GclQ1SjFtNmJndnRza1dzaHp1NUNVWDliY256c2hWTWVOTjVBTm5kUXFNQWxUS1Rjam1md3IzSXJIV2IwdTZwRGV6Vy1zQ1FfQjBKclhJRnBJMURDeFVkUnhYdk84U2Z4bm1vTjJyNDdQVzJ0VmN2NURBOU1Hc1hNOVVGZUl6amdIT09LNmN4V29fVi1JZFA1TThyZjEtRlJIZzI3cG1FQ0Y5NzVLeTVWWGtR?oc=5"" target=""_blank"">The Peria Karamalai Tea & Produce Company Ltd Hits Lower Circuit Amid Heavy Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-03 20:32:14,Markets Mojo,https://news.google.com/rss/articles/CBMi4gFBVV95cUxObXdvWlNSSmZLNEFySWNXc0ZrUi1NZjF0RDQ1bVozWWhaaFdIYUNWUjMycWRteG1GclQ1SjFtNmJndnRza1dzaHp1NUNVWDliY256c2hWTWVOTjVBTm5kUXFNQWxUS1Rjam1md3IzSXJIV2IwdTZwRGV6Vy1zQ1FfQjBKclhJRnBJMURDeFVkUnhYdk84U2Z4bm1vTjJyNDdQVzJ0VmN2NURBOU1Hc1hNOVVGZUl6amdIT09LNmN4V29fVi1JZFA1TThyZjEtRlJIZzI3cG1FQ0Y5NzVLeTVWWGtR?oc=5
PKTEA,The Peria Karamalai Tea & Produce Company Limited,The Peria Karamalai Tea & Produce Company Ltd is Rated Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQUnpFX1Z5QVNGTVhjc2ZhUU9vN2NaZW5GVDFORndlRk5KN05uQUZUTjJTTDhXYUFrbER5dkMzZWdoOTBqRUlKTVdReU0xQm1QNUN4R3FLMVhIVVQ2d2VJTkJPWTZlNXJXaUZwa2dWalI2dU5tSnQzS3pmZnN2U2lxUXRjT2w0QXZENTBZdWNfc0p5V2NFOG1YNlFMa1VsWHBwMS1sdWlLVG5lVmNIMmw4NFV2X05zdDBBSlRZ?oc=5"" target=""_blank"">The Peria Karamalai Tea & Produce Company Ltd is Rated Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-03 10:30:54,Markets Mojo,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQUnpFX1Z5QVNGTVhjc2ZhUU9vN2NaZW5GVDFORndlRk5KN05uQUZUTjJTTDhXYUFrbER5dkMzZWdoOTBqRUlKTVdReU0xQm1QNUN4R3FLMVhIVVQ2d2VJTkJPWTZlNXJXaUZwa2dWalI2dU5tSnQzS3pmZnN2U2lxUXRjT2w0QXZENTBZdWNfc0p5V2NFOG1YNlFMa1VsWHBwMS1sdWlLVG5lVmNIMmw4NFV2X05zdDBBSlRZ?oc=5
PKTEA,The Peria Karamalai Tea & Produce Company Limited,The Peria Karamalai Tea & Produce Company Ltd is Rated Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOcFpQTktZWV9zeXFOcHVJeWdWVVJOMGFOZFdMLXIzal9jaGtxalI0eE01azBOd1dXQ3ZxWVQ4M0NweXRhZE53YW01Q284S2tNSzJnbG1JRjVOZ0pxSUpXQnl0RC1YRHVQa19uYkNQbmoyWV9iTXBQUDNNcTIydGhHQVFjYnlKWDBmZHh3VEFJMmlkc2ZSSDFxNklLQUJHUWFMV1Y1aGhlQjhvRHlKT2NnWENVX0tjOWk4TkVz?oc=5"" target=""_blank"">The Peria Karamalai Tea & Produce Company Ltd is Rated Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-17 07:05:48,Markets Mojo,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOcFpQTktZWV9zeXFOcHVJeWdWVVJOMGFOZFdMLXIzal9jaGtxalI0eE01azBOd1dXQ3ZxWVQ4M0NweXRhZE53YW01Q284S2tNSzJnbG1JRjVOZ0pxSUpXQnl0RC1YRHVQa19uYkNQbmoyWV9iTXBQUDNNcTIydGhHQVFjYnlKWDBmZHh3VEFJMmlkc2ZSSDFxNklLQUJHUWFMV1Y1aGhlQjhvRHlKT2NnWENVX0tjOWk4TkVz?oc=5
PKTEA,The Peria Karamalai Tea & Produce Company Limited,The Peria Karamalai Tea & Produce Ltd Hits Upper Circuit Amid Strong Buying Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNcUk1aVo3QjIwdTROaGt2RWk5b3E4RjdjdFc1TkhNTFJmUnpDa2w4dmY2RWhVeUh4TktGd0pBOTU0ZlBaRVRzWFdYemQxQW9SMEJHOTViRmh4Wnh6Z0pxeXloY3d0TWZId01RNkFkenFjUl9MTXY5WUo1LW8wejBQeWE1SWF5WkEwbHRjUVJoWHRpLXR4UEZMcDl6cGJFRzhWMlR1Tm11NkI1cUVwTmxkZkxFVlh4MTI4aE9uaWZoV3VBMmRXb3doa0l1ZUE3TGhMNGgzMGdPYw?oc=5"" target=""_blank"">The Peria Karamalai Tea & Produce Ltd Hits Upper Circuit Amid Strong Buying Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-11 04:49:47,Markets Mojo,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNcUk1aVo3QjIwdTROaGt2RWk5b3E4RjdjdFc1TkhNTFJmUnpDa2w4dmY2RWhVeUh4TktGd0pBOTU0ZlBaRVRzWFdYemQxQW9SMEJHOTViRmh4Wnh6Z0pxeXloY3d0TWZId01RNkFkenFjUl9MTXY5WUo1LW8wejBQeWE1SWF5WkEwbHRjUVJoWHRpLXR4UEZMcDl6cGJFRzhWMlR1Tm11NkI1cUVwTmxkZkxFVlh4MTI4aE9uaWZoV3VBMmRXb3doa0l1ZUE3TGhMNGgzMGdPYw?oc=5
PKTEA,The Peria Karamalai Tea & Produce Company Limited,The Peria Karamalai Tea & Produce Ltd Hits Upper Circuit Amid Strong Buying Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNTWJxU240TW1wdHFjTHRaNXI2YXd4NUlFSTZmSWNpMEdPQjZ4WHA3Z0RES2lCVWJlOFpRMkJyckVlV2RKeFhyR3pJbm8zMS0wSmNlOE1VTzFONFBZR0JRODJFVGNzTVpLNVo3YXVHLUUzX2ZFX1laTUVsbXVwb3VPcEdNallpeTRSM2hyNmxwUzNoNl9oRWh4cGRLQXN6Q2hvaTBtWmd2a1BvVGdFU3ZFdEp2TkRBWmhqQmtBZFhkZmpxOEtsTXBJaFZDV2RCZnJjVVJweTN3dw?oc=5"" target=""_blank"">The Peria Karamalai Tea & Produce Ltd Hits Upper Circuit Amid Strong Buying Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-10 05:33:40,Markets Mojo,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNTWJxU240TW1wdHFjTHRaNXI2YXd4NUlFSTZmSWNpMEdPQjZ4WHA3Z0RES2lCVWJlOFpRMkJyckVlV2RKeFhyR3pJbm8zMS0wSmNlOE1VTzFONFBZR0JRODJFVGNzTVpLNVo3YXVHLUUzX2ZFX1laTUVsbXVwb3VPcEdNallpeTRSM2hyNmxwUzNoNl9oRWh4cGRLQXN6Q2hvaTBtWmd2a1BvVGdFU3ZFdEp2TkRBWmhqQmtBZFhkZmpxOEtsTXBJaFZDV2RCZnJjVVJweTN3dw?oc=5
PKTEA,The Peria Karamalai Tea & Produce Company Limited,Jocil reports standalone net profit of Rs 1.58 crore in the December 2025 quarter - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxQWGhIVkZINjN5dUY3bXVBM083eWgyRmJQUC0yT25WTDZtMmZ2TWdwdVFkT1ZaN1BwWTEwOWZ3aGZKdG05RzJ6QU93cV9IeHBidi1XamNHbmJHYUV2S0pkV3FEYmdNUzJzZTBLOG9hVzhQSjNLTDRjcDBLLVFBeVNhQVBLZnJ5VDJHZFpwRTNBVkkxZEJoNGk1OEhFbE1CVVRsOTk0WjhHb1FjM0JjZGV2emUxaEZNU1doWWM0X2x4RmN6NFh4R0hxOHdxSndScnc5c3Y1cnRRcFFfSTd2dDJ2cmkxeGlSZVdZT0RtOGRqTWkyWGRhSnfSAfsBQVVfeXFMUFZZeHpwZlAyQlp4OW9faGxtMl9FVndsTjdSLU56YjN5cENiOGFJcE9ZYTVvUk9FNHBHNWNSeGdESkMweGVocENsLUJiR2I1SFMtR0NZanM1b3JhdDdxbDNINzUtNnpiLUVIUFBMYXVidkZCa0hlNE1LZ1dWVlB6ZmNmZGtyRVdrbWU0bVJraV80VC15X19rWWJTcFoxZ1d0TWY1VFN6ZTZCQUt6UG81cEw4QWo1cUtORzE5RkR2VFEzLTNKRFdZSDhXRDJsQmFDSU9rdEpyQjl5ZmR1WWFVRTU2VTV6U3diYUlOM3NyUGVjZHgyeDZ2TXMycHc?oc=5"" target=""_blank"">Jocil reports standalone net profit of Rs 1.58 crore in the December 2025 quarter</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2026-02-03 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMi9gFBVV95cUxQWGhIVkZINjN5dUY3bXVBM083eWgyRmJQUC0yT25WTDZtMmZ2TWdwdVFkT1ZaN1BwWTEwOWZ3aGZKdG05RzJ6QU93cV9IeHBidi1XamNHbmJHYUV2S0pkV3FEYmdNUzJzZTBLOG9hVzhQSjNLTDRjcDBLLVFBeVNhQVBLZnJ5VDJHZFpwRTNBVkkxZEJoNGk1OEhFbE1CVVRsOTk0WjhHb1FjM0JjZGV2emUxaEZNU1doWWM0X2x4RmN6NFh4R0hxOHdxSndScnc5c3Y1cnRRcFFfSTd2dDJ2cmkxeGlSZVdZT0RtOGRqTWkyWGRhSnfSAfsBQVVfeXFMUFZZeHpwZlAyQlp4OW9faGxtMl9FVndsTjdSLU56YjN5cENiOGFJcE9ZYTVvUk9FNHBHNWNSeGdESkMweGVocENsLUJiR2I1SFMtR0NZanM1b3JhdDdxbDNINzUtNnpiLUVIUFBMYXVidkZCa0hlNE1LZ1dWVlB6ZmNmZGtyRVdrbWU0bVJraV80VC15X19rWWJTcFoxZ1d0TWY1VFN6ZTZCQUt6UG81cEw4QWo1cUtORzE5RkR2VFEzLTNKRFdZSDhXRDJsQmFDSU9rdEpyQjl5ZmR1WWFVRTU2VTV6U3diYUlOM3NyUGVjZHgyeDZ2TXMycHc?oc=5
PKTEA,The Peria Karamalai Tea & Produce Company Limited,The Peria Karamalai Tea & Produce Company Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxOaUozOGhicHFTM2RkTHNyd252aElkUGpyd1hjMUVBSTlWcW14eFp2WDdrQjRwazlUUlJCdWRoS09iU2RxZEgxQ3dYX3NkZ1NtZFFXdFhKNnl4MWNMWFZwQ01DUmlMYkViUmFwWDFSRE1UWWtDRTE1bk1HeXZRRUEtZDBfUUZvLWV3eTV2TU55dlNneFRZN25lblVRczRsVTgxLTFueGoxbEsybC1Xb0FINnhPMTdfbXY3T2lZZGN4dlE5a2dt?oc=5"" target=""_blank"">The Peria Karamalai Tea & Produce Company Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-06 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMixAFBVV95cUxOaUozOGhicHFTM2RkTHNyd252aElkUGpyd1hjMUVBSTlWcW14eFp2WDdrQjRwazlUUlJCdWRoS09iU2RxZEgxQ3dYX3NkZ1NtZFFXdFhKNnl4MWNMWFZwQ01DUmlMYkViUmFwWDFSRE1UWWtDRTE1bk1HeXZRRUEtZDBfUUZvLWV3eTV2TU55dlNneFRZN25lblVRczRsVTgxLTFueGoxbEsybC1Xb0FINnhPMTdfbXY3T2lZZGN4dlE5a2dt?oc=5
PKTEA,The Peria Karamalai Tea & Produce Company Limited,"LIC shares fall 15% in a year, over 70% of portfolio stocks fall up to 70% - The Economic Times","<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxPcU0tOUVtZ1kxd0x1YzB1S3BscE1oMlBrTjRVN0Y4WVRqMHNNaExpajh4TFo2SUR4WWxKWnJsOUtpOFlEMTFWZVRSdXpsZ1ppOGxQMzNyams0MURidGk5V0RXY2hiOGE0RFJadXBmV1B6ODd5ajNwWV90aXZCWi0xTFg3NkJPZEgtQzJXdkNlSlNVUmN4bmRIbEN0Tk5UQktWUUJiTUdoZVBSbEdMSmhheFZiNzF4aHNtdzdFYlZKTEtDTnVaTVJDZHRQVkFRVEs3VExSYndIWW1Cek810gHiAUFVX3lxTE9tV2dXVjU2UHd0NWRJbXF2Z3UxclFhUW1PUlBYUmRPUl9QZEJSYVdsQmMtcEhmcEJDUlF0VEZpREczZjVDRUp5c21McDUtUW5UX0FQNzlJZmxZdHdtZWNfZmp1TVFsNm1VNExRbUlzSzRRN0haakVYN1ZLTlVFbElVRFRfV0w1Nk91ZWR2UWFvTkY3NEk4MHh0akxxeXVzMDdZQVRTQWs5OGdYUlNnQmJDTWxIUjlpME5lR2R0NW9SYVZlQzRuaXhPdVNUMklUMW5Sa013d2ZrQWNPZVExWmRkb2c?oc=5"" target=""_blank"">LIC shares fall 15% in a year, over 70% of portfolio stocks fall up to 70%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",2025-09-11 07:00:00,The Economic Times,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPcU0tOUVtZ1kxd0x1YzB1S3BscE1oMlBrTjRVN0Y4WVRqMHNNaExpajh4TFo2SUR4WWxKWnJsOUtpOFlEMTFWZVRSdXpsZ1ppOGxQMzNyams0MURidGk5V0RXY2hiOGE0RFJadXBmV1B6ODd5ajNwWV90aXZCWi0xTFg3NkJPZEgtQzJXdkNlSlNVUmN4bmRIbEN0Tk5UQktWUUJiTUdoZVBSbEdMSmhheFZiNzF4aHNtdzdFYlZKTEtDTnVaTVJDZHRQVkFRVEs3VExSYndIWW1Cek810gHiAUFVX3lxTE9tV2dXVjU2UHd0NWRJbXF2Z3UxclFhUW1PUlBYUmRPUl9QZEJSYVdsQmMtcEhmcEJDUlF0VEZpREczZjVDRUp5c21McDUtUW5UX0FQNzlJZmxZdHdtZWNfZmp1TVFsNm1VNExRbUlzSzRRN0haakVYN1ZLTlVFbElVRFRfV0w1Nk91ZWR2UWFvTkY3NEk4MHh0akxxeXVzMDdZQVRTQWs5OGdYUlNnQmJDTWxIUjlpME5lR2R0NW9SYVZlQzRuaXhPdVNUMklUMW5Sa013d2ZrQWNPZVExWmRkb2c?oc=5
