scrip,company,headline,summary,published_date,source,url
POWERMECH,Power Mech Projects Limited,Will Weakness in Power Mech Projects Limited's (NSE:POWERMECH) Stock Prove Temporary Given Strong Fundamentals? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQWnEyU19hNmpnM2tFYXpDS0xqTzcyeGtKamZBQVptRS1EYndONlhZVGlTRG5yY0xPeFBILUJoWXctZjUzVXNxM0xEbzhfRGJrNTlwbUpoeUY5Q3U3YUN4aTk1UnpwZUw0cHdTbk1yS2thMWMtVzJYT1M0QW1MNl9mQ2QzLWlmR3hGd3Flb2pBeVJTc2dEMFVYZzlCR19sSG1qUVNsNDkwV1h4TU44Q2JrdnFYbkdYRG54ZXRDMXZYa0RYSjZUOENXdmRONHVfTGpjMjVUaVhRQUhFbFBrTXUwMDFDQ0JyVWM?oc=5"" target=""_blank"">Will Weakness in Power Mech Projects Limited's (NSE:POWERMECH) Stock Prove Temporary Given Strong Fundamentals?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-10-29 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQWnEyU19hNmpnM2tFYXpDS0xqTzcyeGtKamZBQVptRS1EYndONlhZVGlTRG5yY0xPeFBILUJoWXctZjUzVXNxM0xEbzhfRGJrNTlwbUpoeUY5Q3U3YUN4aTk1UnpwZUw0cHdTbk1yS2thMWMtVzJYT1M0QW1MNl9mQ2QzLWlmR3hGd3Flb2pBeVJTc2dEMFVYZzlCR19sSG1qUVNsNDkwV1h4TU44Q2JrdnFYbkdYRG54ZXRDMXZYa0RYSjZUOENXdmRONHVfTGpjMjVUaVhRQUhFbFBrTXUwMDFDQ0JyVWM?oc=5
POWERMECH,Power Mech Projects Limited,"Power Mech Projects Share Price Jump 4.55% After ₹1,005 Crore Order Win From Adani Power Subsidiaries - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxObU1td0xTUWRrOHZxc3NXWjdWSTdBeFg0VjhRVjdjMS14QVRuOXllMmd1YTA4M1lFRGk1eGY5RFVIcFVTM3ZJakdIQ1RITC1iRlVZc1ktTE1MUG9rb2MtdzZnVzhRR3p1SXBhSVdESFpCQzFHLVNkdnpSNEpBWUZ0MGUzSXNuN2dQbDZucWR3WUpBX1JQUEZj?oc=5"" target=""_blank"">Power Mech Projects Share Price Jump 4.55% After ₹1,005 Crore Order Win From Adani Power Subsidiaries</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2026-02-18 11:06:08,HDFC Sky,https://news.google.com/rss/articles/CBMilwFBVV95cUxObU1td0xTUWRrOHZxc3NXWjdWSTdBeFg0VjhRVjdjMS14QVRuOXllMmd1YTA4M1lFRGk1eGY5RFVIcFVTM3ZJakdIQ1RITC1iRlVZc1ktTE1MUG9rb2MtdzZnVzhRR3p1SXBhSVdESFpCQzFHLVNkdnpSNEpBWUZ0MGUzSXNuN2dQbDZucWR3WUpBX1JQUEZj?oc=5
POWERMECH,Power Mech Projects Limited,Power Mech Projects shares rise over 5% after firm wins order from BHEL - Upstox,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxNZ1hzQW1rUGxxSnlFZ1BDUGVpX1RfdmMwVGh4QW9BWjFERDZtSmpfd1RRY0ZpVHBJTjNLY1g1bWlVcWQ0aG9MTXlFZHV3RlRBM0RWOHB3VEtmYXY1T2lFcHhFazhmMTRaaS1FNUhhUW44YmcwQlpDRzlVUWxEUHVUdGZEX3ZlWm1lWEVJcXdzaFVVVGtrZ3prVlVyUzNMN3JFMnp0NGw0ZG0zTUtNZlZoOG1yWTZ5TmItS1I3ZG9sVThpVDRDV3EybGxPTFZlT1V5VnFHZGl1dVVidnREX1ZwYkdEbVNWZDRZZXRaUA?oc=5"" target=""_blank"">Power Mech Projects shares rise over 5% after firm wins order from BHEL</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-10-15 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNZ1hzQW1rUGxxSnlFZ1BDUGVpX1RfdmMwVGh4QW9BWjFERDZtSmpfd1RRY0ZpVHBJTjNLY1g1bWlVcWQ0aG9MTXlFZHV3RlRBM0RWOHB3VEtmYXY1T2lFcHhFazhmMTRaaS1FNUhhUW44YmcwQlpDRzlVUWxEUHVUdGZEX3ZlWm1lWEVJcXdzaFVVVGtrZ3prVlVyUzNMN3JFMnp0NGw0ZG0zTUtNZlZoOG1yWTZ5TmItS1I3ZG9sVThpVDRDV3EybGxPTFZlT1V5VnFHZGl1dVVidnREX1ZwYkdEbVNWZDRZZXRaUA?oc=5
POWERMECH,Power Mech Projects Limited,"Power Mech Projects (NSE:POWERMECH) shareholder returns have been incredible, earning 696% in 5 years - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQR0RqWVdZZXJVNTluelYwdjlOZVphdDdkekVBak1aZkdVc3g5YmVnYjJHeVBKTEZuaTNWQlpSYUZIcHlXbzl1SjV6eFREZk1aV0RSWkN0d3l0NlpiTmdlMFh6M2pmN2JqZGV2Z2l6aHV6czRDc3dLMkdxcHBnYm1uNFBiX25PLXZDUUdkWWVQMVpWMC1ZT1V0REp0WVVLb3VrT0ladGV6bGdrYWxuVWRFRzlxanpvU2dFQTdGYV9Gd0tEYlZ6ckJ4MXpZcmZjVGh2THZwYUxPS0NHbEdSYkszTHhaWTNYUGM?oc=5"" target=""_blank"">Power Mech Projects (NSE:POWERMECH) shareholder returns have been incredible, earning 696% in 5 years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-05 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQR0RqWVdZZXJVNTluelYwdjlOZVphdDdkekVBak1aZkdVc3g5YmVnYjJHeVBKTEZuaTNWQlpSYUZIcHlXbzl1SjV6eFREZk1aV0RSWkN0d3l0NlpiTmdlMFh6M2pmN2JqZGV2Z2l6aHV6czRDc3dLMkdxcHBnYm1uNFBiX25PLXZDUUdkWWVQMVpWMC1ZT1V0REp0WVVLb3VrT0ladGV6bGdrYWxuVWRFRzlxanpvU2dFQTdGYV9Gd0tEYlZ6ckJ4MXpZcmZjVGh2THZwYUxPS0NHbEdSYkszTHhaWTNYUGM?oc=5
POWERMECH,Power Mech Projects Limited,PowerMech Projects Seeks Shareholder Approval for ESOP Plan and Increased Borrowing Limits - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxQV3o1MWxPRElkX1dWeDdsbkpfOV90Q3Q0YjFMdERvSldqSm9XWFpBNlFYampiQUxYMnBpVGpXNndRT0pBTGkxMkRTQ0ZvYjQ4Q0w1RGM1ckh5TG1TeTltalNrWmI3QnZ1OWx6YWV6ZnVfOU0wRDBaa2xlbFNuVXNvSnBzZ2lNLW9MeGlEMHhjekROYVNiWWptU0EyRVVVaWhUblJQUGk3TmE5d2VEZVFkTmZ2S0lGLXRDVnlRbVZTUWhnbk1BanotRFB2TnFGMGxvNXJZRUd3NzlSdkZtaVNpM09UUDhGZVJ6bm9J?oc=5"" target=""_blank"">PowerMech Projects Seeks Shareholder Approval for ESOP Plan and Increased Borrowing Limits</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-20 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi6wFBVV95cUxQV3o1MWxPRElkX1dWeDdsbkpfOV90Q3Q0YjFMdERvSldqSm9XWFpBNlFYampiQUxYMnBpVGpXNndRT0pBTGkxMkRTQ0ZvYjQ4Q0w1RGM1ckh5TG1TeTltalNrWmI3QnZ1OWx6YWV6ZnVfOU0wRDBaa2xlbFNuVXNvSnBzZ2lNLW9MeGlEMHhjekROYVNiWWptU0EyRVVVaWhUblJQUGk3TmE5d2VEZVFkTmZ2S0lGLXRDVnlRbVZTUWhnbk1BanotRFB2TnFGMGxvNXJZRUd3NzlSdkZtaVNpM09UUDhGZVJ6bm9J?oc=5
POWERMECH,Power Mech Projects Limited,POWERMECH Share Price | Power Mech Projects Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE9CSFpzcVZKSUpEWElyS1Y1TEdxaHRzaVkxVzRMTDVzTTQySVZxX3ZHVGxjWUhZMWV6X1V3TW5xTjRfNE5VdHlmMWlRdzhDT2ZxdmtESVZDem1YTnZ6VkZ6dEdYMk1OSFJNTjRHTXJRV2YzT1Q0UG1n?oc=5"" target=""_blank"">POWERMECH Share Price | Power Mech Projects Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-06-20 01:39:36,Markets Mojo,https://news.google.com/rss/articles/CBMid0FVX3lxTE9CSFpzcVZKSUpEWElyS1Y1TEdxaHRzaVkxVzRMTDVzTTQySVZxX3ZHVGxjWUhZMWV6X1V3TW5xTjRfNE5VdHlmMWlRdzhDT2ZxdmtESVZDem1YTnZ6VkZ6dEdYMk1OSFJNTjRHTXJRV2YzT1Q0UG1n?oc=5
POWERMECH,Power Mech Projects Limited,"Power Mech Rises on ₹2,500 Cr BHEL EPC Order Win - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxQZ2JiNkJBSUpUVVpCWGRwNDJaZzhCVUdpMzRhSXZhQmMwVElUZm53V1RQSEdoTUVPOFQ5Zk9nUko3am5oR3hvVlQtQ05DYVYtQzdWSTFNRm13LWFUZzN5MS03SVE1VnRhSHhCNlFHV1h4dmk2ZWNIWU1nVEF4UXJpXzQ4ZUVZTzdTOEF1SWZOYS13OC01UHZQUGV0Q3RuSTRPOTdabG9n?oc=5"" target=""_blank"">Power Mech Rises on ₹2,500 Cr BHEL EPC Order Win</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-15 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMipgFBVV95cUxQZ2JiNkJBSUpUVVpCWGRwNDJaZzhCVUdpMzRhSXZhQmMwVElUZm53V1RQSEdoTUVPOFQ5Zk9nUko3am5oR3hvVlQtQ05DYVYtQzdWSTFNRm13LWFUZzN5MS03SVE1VnRhSHhCNlFHV1h4dmk2ZWNIWU1nVEF4UXJpXzQ4ZUVZTzdTOEF1SWZOYS13OC01UHZQUGV0Q3RuSTRPOTdabG9n?oc=5
POWERMECH,Power Mech Projects Limited,"Power Mech Projects Limited's (NSE:POWERMECH) largest shareholder, CEO Sajja Babu sees holdings value fall by 7.0% following recent drop - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxQWW9ITFB0dzFEeWR5RGNMWnh0cFYtSTBlT1FUM0JmZWVrVFhxWE9jTVlPVllGT09PREo4NUJDSFZQTnZKS09fR2p5TnQtaFpxei1qLTVpOWEyWHpXTnNwSl80RHNnemdYNnlqekpVajFlTmlqOUJKMFJNUl9kSElVNVpKVWZiM3NyUEdsZlNQalhfSm15ODBEQ0luam9xQXRpVGpkOVYxWmVIMmJ4LUtmUEhWSzVWY0VnZUpodHNBY2tOZ0hlUUtISWVUTU5KaHhpS3laSkY4RXNNalJSbUVBSUFCdVlVakx2b1HSAe8BQVVfeXFMT3BVZUQ2bnpDbkoxQ0FvT1hDV1JOUm1FdVNWQk41WEFTbDBkWjB6NDlhSmZuWFEzWW1EdlFDOWE5UlZaSUNxYVZPVmdpbFVYTFAzMGlIa0Z3a2hxWUdsYmVVZUgtcW5ZTDRYal9waFdlc0YtZGJyeGl4U19FdUdrUG9pa29YaXctZGEyc2tESk93NXk3azhLT1Rkb2VDTlI5TGszM05xT0FvZ0pURHVGQXZKaWk0VnpPdU5XeXl2NDVkNmd5Z04wa1VQZlFUb2l6X1kyNTFGUTZuTHRUUGdHaW1kdzVIUmNHVGJuZmhmcWs?oc=5"" target=""_blank"">Power Mech Projects Limited's (NSE:POWERMECH) largest shareholder, CEO Sajja Babu sees holdings value fall by 7.0% following recent drop</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-26 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6gFBVV95cUxQWW9ITFB0dzFEeWR5RGNMWnh0cFYtSTBlT1FUM0JmZWVrVFhxWE9jTVlPVllGT09PREo4NUJDSFZQTnZKS09fR2p5TnQtaFpxei1qLTVpOWEyWHpXTnNwSl80RHNnemdYNnlqekpVajFlTmlqOUJKMFJNUl9kSElVNVpKVWZiM3NyUEdsZlNQalhfSm15ODBEQ0luam9xQXRpVGpkOVYxWmVIMmJ4LUtmUEhWSzVWY0VnZUpodHNBY2tOZ0hlUUtISWVUTU5KaHhpS3laSkY4RXNNalJSbUVBSUFCdVlVakx2b1HSAe8BQVVfeXFMT3BVZUQ2bnpDbkoxQ0FvT1hDV1JOUm1FdVNWQk41WEFTbDBkWjB6NDlhSmZuWFEzWW1EdlFDOWE5UlZaSUNxYVZPVmdpbFVYTFAzMGlIa0Z3a2hxWUdsYmVVZUgtcW5ZTDRYal9waFdlc0YtZGJyeGl4U19FdUdrUG9pa29YaXctZGEyc2tESk93NXk3azhLT1Rkb2VDTlI5TGszM05xT0FvZ0pURHVGQXZKaWk0VnpPdU5XeXl2NDVkNmd5Z04wa1VQZlFUb2l6X1kyNTFGUTZuTHRUUGdHaW1kdzVIUmNHVGJuZmhmcWs?oc=5
POWERMECH,Power Mech Projects Limited,Power Mech Projects share price jumps 5% on securing ₹579 crore order from BHEL - Upstox,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQTTFiejR2Mm5nbXlHOVczNjMtNEZPV1B2X1FlcGZwLXI0YThMSDExak9QLTN0MDd3bjA5QzJSSmh0RXBZY29LY3dxNEZUMmY5UC1QaS1XODcwbzZoUlRLT2VaOFpBUmF6VGtEZFBzODFpWHpWT3FndThUY1U4N1E0TzQ0UFhkMmZTTWQ1UGhYNXZSOHBpMWFQT2RnU1FEUTVZalVyZHBwMk9IaDNFd1MzYVJSSzl3Nl8wX0Z4SWtaeUw0SnZpbUFEMXhiclpPUQ?oc=5"" target=""_blank"">Power Mech Projects share price jumps 5% on securing ₹579 crore order from BHEL</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-03-23 07:00:00,Upstox,https://news.google.com/rss/articles/CBMizgFBVV95cUxQTTFiejR2Mm5nbXlHOVczNjMtNEZPV1B2X1FlcGZwLXI0YThMSDExak9QLTN0MDd3bjA5QzJSSmh0RXBZY29LY3dxNEZUMmY5UC1QaS1XODcwbzZoUlRLT2VaOFpBUmF6VGtEZFBzODFpWHpWT3FndThUY1U4N1E0TzQ0UFhkMmZTTWQ1UGhYNXZSOHBpMWFQT2RnU1FEUTVZalVyZHBwMk9IaDNFd1MzYVJSSzl3Nl8wX0Z4SWtaeUw0SnZpbUFEMXhiclpPUQ?oc=5
POWERMECH,Power Mech Projects Limited,Power Mech Rises on ₹551 Cr Orders from SJVN & Jhabua Power - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxNdGlCTEN4cVJlV05zTk9CWkJXVzhLcnAydnlYRVVDQmdVQXBnUE5SVWpOUzdfQVFZdUJic01ra3RES0I2Zm5Hb2ZoRlRzVU4ySkJQUm43UnJfekNTbDJhdVhiN05NYlpKUkFnQUg1cVZIR2N3MnpGellZN0lOVjI5eVFNa1c4dTMyNEtRQUhONkFPX2pnVm5hcVdMTEtreTBGNFE?oc=5"" target=""_blank"">Power Mech Rises on ₹551 Cr Orders from SJVN & Jhabua Power</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-07-15 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiogFBVV95cUxNdGlCTEN4cVJlV05zTk9CWkJXVzhLcnAydnlYRVVDQmdVQXBnUE5SVWpOUzdfQVFZdUJic01ra3RES0I2Zm5Hb2ZoRlRzVU4ySkJQUm43UnJfekNTbDJhdVhiN05NYlpKUkFnQUg1cVZIR2N3MnpGellZN0lOVjI5eVFNa1c4dTMyNEtRQUhONkFPX2pnVm5hcVdMTEtreTBGNFE?oc=5
POWERMECH,Power Mech Projects Limited,"₹2,500-cr order from BHEL sends Power Mech shares up by 5%; details inside - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQV3NJdGp0cE9wWTJTaDhyUU40T0o3djFmQUFnNjlyZEFDWUp6YU5uV0ZpQ1lpbVpJZDB2VGJWWGhNZUswcnIwZ1JhdGdqdUNLakF1NmN1VGUzcFVQWE5jUUtGT05zNmp1UDlObnczR09NWTVNTml6ejd3M0laV0VsVVZ5WjZwV1ZCY3lfd0U0Szg1QmNWN3Boa0V4X285a20ySGlVRnBHQ081OXFEZjl1N2VjRDhsVnZYejNMTFNfeHR0QkhhcnM2cmZHUzY0ekI2N2fSAdcBQVVfeXFMTUhBbVhPTmcyd1I4bXZxZ1l5UUJ4TlNGUnp4QzlrLVc2YlY2UFY2NHpzUEpNWW92YXQ0bGxCZ2w3TkI0U2VKa1FYNGMyRTZoak1mY19XX2NFZVhJaWNWSWw4Q0dpTm8xV2VpZnl4VC1zVHVUYWZoWWNMY2VPdklXaHNlNVdQeGprbVpBZ0s3bk50ekpLSzBlMzJyN1pyN0JUSmU5Yl85bDNqdUs5NkpITjRuTmZUemllc3pobGxlVlJZbG9vNlVuNFlpbUcwLWVKdm54cDdRR1k?oc=5"" target=""_blank"">₹2,500-cr order from BHEL sends Power Mech shares up by 5%; details inside</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-10-15 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQV3NJdGp0cE9wWTJTaDhyUU40T0o3djFmQUFnNjlyZEFDWUp6YU5uV0ZpQ1lpbVpJZDB2VGJWWGhNZUswcnIwZ1JhdGdqdUNLakF1NmN1VGUzcFVQWE5jUUtGT05zNmp1UDlObnczR09NWTVNTml6ejd3M0laV0VsVVZ5WjZwV1ZCY3lfd0U0Szg1QmNWN3Boa0V4X285a20ySGlVRnBHQ081OXFEZjl1N2VjRDhsVnZYejNMTFNfeHR0QkhhcnM2cmZHUzY0ekI2N2fSAdcBQVVfeXFMTUhBbVhPTmcyd1I4bXZxZ1l5UUJ4TlNGUnp4QzlrLVc2YlY2UFY2NHpzUEpNWW92YXQ0bGxCZ2w3TkI0U2VKa1FYNGMyRTZoak1mY19XX2NFZVhJaWNWSWw4Q0dpTm8xV2VpZnl4VC1zVHVUYWZoWWNMY2VPdklXaHNlNVdQeGprbVpBZ0s3bk50ekpLSzBlMzJyN1pyN0JUSmU5Yl85bDNqdUs5NkpITjRuTmZUemllc3pobGxlVlJZbG9vNlVuNFlpbUcwLWVKdm54cDdRR1k?oc=5
POWERMECH,Power Mech Projects Limited,Increases to CEO Compensation Might Be Put On Hold For Now at Power Mech Projects Limited (NSE:POWERMECH) - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxPTXUyenV3LS1vWG9wSXRHN0tJbFZxbmNDbjNEVWs3Tk5vYnZtR09hMDI4U3lNRmpPOUFUeW4zcFhTVVhfN2tIRnE0MVZkdG9ydXQxbHVkUk9IWDg0TkR3Y0tNUWd0a1ZnRjBsOFFNOF95S3VkaGRLNHhBWHFEelIzTnJ4dXZpUy1Xenl6eUdHQ2ZWSjF3VTdob1MzYmlVbldMeGhxbDBsVTVTa3RGdnVIb2h2cUN1dVBJR0lZcWh6ZVRLRGV2MUx4SHVUdTY2LVpOaEl2RjhsRkppcWpCWG00bncwQXppVTBNbml3VQ?oc=5"" target=""_blank"">Increases to CEO Compensation Might Be Put On Hold For Now at Power Mech Projects Limited (NSE:POWERMECH)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-15 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7AFBVV95cUxPTXUyenV3LS1vWG9wSXRHN0tJbFZxbmNDbjNEVWs3Tk5vYnZtR09hMDI4U3lNRmpPOUFUeW4zcFhTVVhfN2tIRnE0MVZkdG9ydXQxbHVkUk9IWDg0TkR3Y0tNUWd0a1ZnRjBsOFFNOF95S3VkaGRLNHhBWHFEelIzTnJ4dXZpUy1Xenl6eUdHQ2ZWSjF3VTdob1MzYmlVbldMeGhxbDBsVTVTa3RGdnVIb2h2cUN1dVBJR0lZcWh6ZVRLRGV2MUx4SHVUdTY2LVpOaEl2RjhsRkppcWpCWG00bncwQXppVTBNbml3VQ?oc=5
