scrip,company,headline,summary,published_date,source,url
PRAJIND,Praj Industries Limited,Praj Industries Limited Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPTW43WlRaOWRSQl9zWS05OUtxX0NXWkt6SXlHQnFwQjdtX0JJNVJXeTVrbTkxTEo1bDkxUUU0REtKVEZLVVlVZEpZOEZzY2hCRnpmQk02U3hXUWdFLVpEUmFHVlRuY0EwclJkbWQ4aU1rNW0zdHdheGhoRUlWTzN6QWVWbWg1d29aZEF6LTJIRFFGZFR4WHhjejBKbUdDcTVGcDgwMDZ1dUwzV1VNVjhVRFctZjhnTzROMVdOV2hJdHZXcTI1TXlQZzFfU25YUjE1U01FdzgtanFwQ2FfcWdF0gHkAUFVX3lxTE5lY1JUVko2Wm4zQVFnQUJJUDRHZ1pHLUVBcm9iQzd4clpKTUZuSmZMUlNoN0pfUXNUb1M1bVNIbzlCdFlpWnk0QXhyY2VqWHhYeHp3ZXd4OFR3Z1JFVlV0SHgwa1hWSmNUMHlOempheDhxVmJZSTcydFRnUnBCckJQOVoyT2x4U0dyb3FkWFhhUkozTlE4dU9CeXhFdU5NdmU0VUVvR2VrS0hZdmd1Rm43Ni1aaXlYTGhZSmN2SkoxTGlqd3NEcXJCMXBMbE01cUpjTWg3elVmLU1JSTFCN3ZiVEtmaw?oc=5"" target=""_blank"">Praj Industries Limited Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-15 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPTW43WlRaOWRSQl9zWS05OUtxX0NXWkt6SXlHQnFwQjdtX0JJNVJXeTVrbTkxTEo1bDkxUUU0REtKVEZLVVlVZEpZOEZzY2hCRnpmQk02U3hXUWdFLVpEUmFHVlRuY0EwclJkbWQ4aU1rNW0zdHdheGhoRUlWTzN6QWVWbWg1d29aZEF6LTJIRFFGZFR4WHhjejBKbUdDcTVGcDgwMDZ1dUwzV1VNVjhVRFctZjhnTzROMVdOV2hJdHZXcTI1TXlQZzFfU25YUjE1U01FdzgtanFwQ2FfcWdF0gHkAUFVX3lxTE5lY1JUVko2Wm4zQVFnQUJJUDRHZ1pHLUVBcm9iQzd4clpKTUZuSmZMUlNoN0pfUXNUb1M1bVNIbzlCdFlpWnk0QXhyY2VqWHhYeHp3ZXd4OFR3Z1JFVlV0SHgwa1hWSmNUMHlOempheDhxVmJZSTcydFRnUnBCckJQOVoyT2x4U0dyb3FkWFhhUkozTlE4dU9CeXhFdU5NdmU0VUVvR2VrS0hZdmd1Rm43Ni1aaXlYTGhZSmN2SkoxTGlqd3NEcXJCMXBMbE01cUpjTWg3elVmLU1JSTFCN3ZiVEtmaw?oc=5
PRAJIND,Praj Industries Limited,Praj Industries Ltd Surges on Heavy Value Trading and Institutional Interest - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQZndsU2VKR1JIZmRXYTl6RHZQRDlIRDBEb2N1d210cVJZcWNFVktkbU90RTVEUVd5QTdMbW50eUxKaE5hV1lObFVObUlVMV96NU5OclZ1MjVMOEdLeUI4RExvR1YyalZGMnlKcWVvenU4YjFIa19vUDlhVmtab3g0RVlqcjRIR2lwM21hekQ0NC0yaE5HUVg3SS00RGllMzFZSXRxR0ZVUGNyQVlZWnZTdDQ0TE9LVlhiajI1R1BBSkp6a2xRdW00UnBnbzZNaDQ?oc=5"" target=""_blank"">Praj Industries Ltd Surges on Heavy Value Trading and Institutional Interest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-10 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMizwFBVV95cUxQZndsU2VKR1JIZmRXYTl6RHZQRDlIRDBEb2N1d210cVJZcWNFVktkbU90RTVEUVd5QTdMbW50eUxKaE5hV1lObFVObUlVMV96NU5OclZ1MjVMOEdLeUI4RExvR1YyalZGMnlKcWVvenU4YjFIa19vUDlhVmtab3g0RVlqcjRIR2lwM21hekQ0NC0yaE5HUVg3SS00RGllMzFZSXRxR0ZVUGNyQVlZWnZTdDQ0TE9LVlhiajI1R1BBSkp6a2xRdW00UnBnbzZNaDQ?oc=5
PRAJIND,Praj Industries Limited,PRAJIND.NS Praj Industries (NSE) +15.64% pre-market 11 Feb 2026: earnings preview - Meyka,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxOeXZVcTNFTTlwT0djczJETG9WNUFvS29teUxDTUZaTXI2UGtpM3M5VTlESk5iUUFOQ1ZIcHpqWXlfWDhVcjRnUURpTnk0ZFF4RDRyVVNET0JNQXpyTEhyX3hQQnl4YnhqNFdCQTlsNGM1MEZXeE5mQ0ZsMkZ1eG80REtuM0pmSlg5cXZ2VXBfQmdwOXR2bTVuTEJqR3N1UHg4T3hnaXdB?oc=5"" target=""_blank"">PRAJIND.NS Praj Industries (NSE) +15.64% pre-market 11 Feb 2026: earnings preview</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2026-02-11 02:30:40,Meyka,https://news.google.com/rss/articles/CBMipgFBVV95cUxOeXZVcTNFTTlwT0djczJETG9WNUFvS29teUxDTUZaTXI2UGtpM3M5VTlESk5iUUFOQ1ZIcHpqWXlfWDhVcjRnUURpTnk0ZFF4RDRyVVNET0JNQXpyTEhyX3hQQnl4YnhqNFdCQTlsNGM1MEZXeE5mQ0ZsMkZ1eG80REtuM0pmSlg5cXZ2VXBfQmdwOXR2bTVuTEJqR3N1UHg4T3hnaXdB?oc=5
PRAJIND,Praj Industries Limited,Declining Stock and Decent Financials: Is The Market Wrong About Praj Industries Limited (NSE:PRAJIND)? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNVjZXT2pRSFpCR1pBQkFZWWNBUUZWdHlLcXJ1bkVEQmdJc3dZRUlqUkFYRzJBXzNjNVBGQWVLVmpJSk8wR2IzYUtFaDBvSGJPRk1ZZEdTMURsanB2T1UxRkN1N3FaN3p2N3Awc19yM2I0U0ZwRWktOFYwZm1vTWtGS0hCVHZGSTlOTWJSVFgzZlVJYm12aXpyeGxKcXJYM29KeXZXUXQxb0JHczdlZ2I5aWxiSzFFTEpoM3pseWVYbUFsaEs1cTRlZkxSMWZxZFVweFl2NnVCeWZRemhvQjYzVDRRMUVpZw?oc=5"" target=""_blank"">Declining Stock and Decent Financials: Is The Market Wrong About Praj Industries Limited (NSE:PRAJIND)?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-16 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNVjZXT2pRSFpCR1pBQkFZWWNBUUZWdHlLcXJ1bkVEQmdJc3dZRUlqUkFYRzJBXzNjNVBGQWVLVmpJSk8wR2IzYUtFaDBvSGJPRk1ZZEdTMURsanB2T1UxRkN1N3FaN3p2N3Awc19yM2I0U0ZwRWktOFYwZm1vTWtGS0hCVHZGSTlOTWJSVFgzZlVJYm12aXpyeGxKcXJYM29KeXZXUXQxb0JHczdlZ2I5aWxiSzFFTEpoM3pseWVYbUFsaEs1cTRlZkxSMWZxZFVweFl2NnVCeWZRemhvQjYzVDRRMUVpZw?oc=5
PRAJIND,Praj Industries Limited,Downgrade: Here's How Analysts See Praj Industries Limited (NSE:PRAJIND) Performing In The Near Term - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxOdktzMXE2TmotUDhBREVTbVcwRENqTkdYOEczOEdvOHIyR0VTMVpYXy1mcUV4NEFLYy1xYjF5cjNiRExJOG1nTVhvZ19MdTZ2b08zUXVpaEwzamlGMUpKV09xUkxiWXkxUVhVOHlJUUJ0cEhhSURsajhHamtuYUtlbFZ6M0IzbHBnQ3pfcDBtR1F5TG5YTThVWDk2aERfZnA2WU1OUks0Y2M3czUwMTdUdVBIdDFmZFEtRThFY2t0ckNwSE1fZGVUZGlTMWxQMDZrQ0p4SndyZTZSUUlzMlow0gHkAUFVX3lxTE5DaU9aMXMyRG9NOWZxZ01EN21QSjNaeFNJRTdqOElpbVhFV1J1b3JtU1FZVVBfLWgyX1BsQmlIN3pMTmxGX3NCMzRsV0NLc3lIQkhJd2VManlESTNaUHpVMzBZMnFyU0FMVkMxallRXzRDcUxGeXB0U1M1b2hQR2EyVmVTVFN1MnktUWxTTl9kWk15VU5lMERrWDFMdjFNYTFaMEFhWkVTOXVkaGJURFZRSkVXblBxYUZZMW04dmxENHluWmxxODV5S3RrQmJFTU93eXF0X0FGazNlVW85LWpuN3hpSw?oc=5"" target=""_blank"">Downgrade: Here's How Analysts See Praj Industries Limited (NSE:PRAJIND) Performing In The Near Term</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-18 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOdktzMXE2TmotUDhBREVTbVcwRENqTkdYOEczOEdvOHIyR0VTMVpYXy1mcUV4NEFLYy1xYjF5cjNiRExJOG1nTVhvZ19MdTZ2b08zUXVpaEwzamlGMUpKV09xUkxiWXkxUVhVOHlJUUJ0cEhhSURsajhHamtuYUtlbFZ6M0IzbHBnQ3pfcDBtR1F5TG5YTThVWDk2aERfZnA2WU1OUks0Y2M3czUwMTdUdVBIdDFmZFEtRThFY2t0ckNwSE1fZGVUZGlTMWxQMDZrQ0p4SndyZTZSUUlzMlow0gHkAUFVX3lxTE5DaU9aMXMyRG9NOWZxZ01EN21QSjNaeFNJRTdqOElpbVhFV1J1b3JtU1FZVVBfLWgyX1BsQmlIN3pMTmxGX3NCMzRsV0NLc3lIQkhJd2VManlESTNaUHpVMzBZMnFyU0FMVkMxallRXzRDcUxGeXB0U1M1b2hQR2EyVmVTVFN1MnktUWxTTl9kWk15VU5lMERrWDFMdjFNYTFaMEFhWkVTOXVkaGJURFZRSkVXblBxYUZZMW04dmxENHluWmxxODV5S3RrQmJFTU93eXF0X0FGazNlVW85LWpuN3hpSw?oc=5
PRAJIND,Praj Industries Limited,Why Praj Industries Share Price is Falling - Equitymaster,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxNMktFdEl6WlNqTkptRlAwb041SlVSeXk0S3lOYmgtZVdNSjNvQXF5allXMGl0clBDMWdTOFdPZ1FadDBCdmJ6U0RhdHd2a2k2MGlNREUwcmdJanp4ZDhWZ1lpczFpS0RKa0V5aTd3aURGMzZfUnlzd0VnazNEX0FlVFc1a0VKNnVSNmIyU1BCLWgyX3J0Nk02LUdFME94eHp4QlNZa3Rpa0xEX0NfTTZQT2JB?oc=5"" target=""_blank"">Why Praj Industries Share Price is Falling</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitymaster</font>",2025-04-30 07:00:00,Equitymaster,https://news.google.com/rss/articles/CBMisgFBVV95cUxNMktFdEl6WlNqTkptRlAwb041SlVSeXk0S3lOYmgtZVdNSjNvQXF5allXMGl0clBDMWdTOFdPZ1FadDBCdmJ6U0RhdHd2a2k2MGlNREUwcmdJanp4ZDhWZ1lpczFpS0RKa0V5aTd3aURGMzZfUnlzd0VnazNEX0FlVFc1a0VKNnVSNmIyU1BCLWgyX3J0Nk02LUdFME94eHp4QlNZa3Rpa0xEX0NfTTZQT2JB?oc=5
PRAJIND,Praj Industries Limited,Individual investors among Praj Industries Limited's (NSE:PRAJIND) largest stockholders and were hit after last week's 8.9% price drop - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxNVmx3UzFMNFdzUF9GOW5Rcm8tSjdYWk9BajFPSi1ZZ0o3aU9PemJDaVI5eEFadVliUDlEeVNZNjJKMzdUWVRQcjRmQ2hvZFZLSUJ0d2JYdVVsV19GbFE1SmEzNmhsZlFvaXhqR2RlT1R4MUMzLVJYdGZFSUFGZGp0eTJRbDdfUWlCYzZqd2JDb3l4QkE2NXNwV1dsQ05HaHRYYnJjWXhqbVVwS1BLckY0blVZa1lxYVhTOFh0OXhLdzF0eUJXVUVUYVk5X2VFS2J4aktfUWJZc3k5NHhXdHgw?oc=5"" target=""_blank"">Individual investors among Praj Industries Limited's (NSE:PRAJIND) largest stockholders and were hit after last week's 8.9% price drop</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-24 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3wFBVV95cUxNVmx3UzFMNFdzUF9GOW5Rcm8tSjdYWk9BajFPSi1ZZ0o3aU9PemJDaVI5eEFadVliUDlEeVNZNjJKMzdUWVRQcjRmQ2hvZFZLSUJ0d2JYdVVsV19GbFE1SmEzNmhsZlFvaXhqR2RlT1R4MUMzLVJYdGZFSUFGZGp0eTJRbDdfUWlCYzZqd2JDb3l4QkE2NXNwV1dsQ05HaHRYYnJjWXhqbVVwS1BLckY0blVZa1lxYVhTOFh0OXhLdzF0eUJXVUVUYVk5X2VFS2J4aktfUWJZc3k5NHhXdHgw?oc=5
PRAJIND,Praj Industries Limited,"Praj Industries zooms over 7% on good Q4 numbers; should you buy, sell or hold? - Zee Business","<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNYzFqa3hVaFNNSmdBSUprUzI0MjRWVlEwbTBfT0xmcmNZUkg1T0o0NS11RlVvV3RZclVma0lPWFhTQzYxN2ZDeElVUlBwZ2xFQ2x4dVQ4NTdHWUpvd1g1ZVA5S3EyV1lHaTlEcnZOVno2MlJaVEVNb0ZJdk5leElJVUMzcDZ4S0lrdG5CM29YWGczaG05VS1sQ0xDY0dlODF5SldvZ3p0QUx2V0J4dmUzb0VXVXhWZV8wenRTYmFNYnVaVWhOOGYxanlkMlVsVWUxamJoU3A1RE9SQQ?oc=5"" target=""_blank"">Praj Industries zooms over 7% on good Q4 numbers; should you buy, sell or hold?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee Business</font>",2023-05-26 07:00:00,Zee Business,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNYzFqa3hVaFNNSmdBSUprUzI0MjRWVlEwbTBfT0xmcmNZUkg1T0o0NS11RlVvV3RZclVma0lPWFhTQzYxN2ZDeElVUlBwZ2xFQ2x4dVQ4NTdHWUpvd1g1ZVA5S3EyV1lHaTlEcnZOVno2MlJaVEVNb0ZJdk5leElJVUMzcDZ4S0lrdG5CM29YWGczaG05VS1sQ0xDY0dlODF5SldvZ3p0QUx2V0J4dmUzb0VXVXhWZV8wenRTYmFNYnVaVWhOOGYxanlkMlVsVWUxamJoU3A1RE9SQQ?oc=5
PRAJIND,Praj Industries Limited,PRAJIND Forecast — Price Target — Prediction for 2027 - TradingView,"<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTE9tR0I3WXFiQl9WNWxSTW10RGNwNlQ4YzByYkhBeUM3WXE1WGxZOHQzM1pOdU5hZjVYR1FrdUhDZHJUZXVjcnBGckNBQjdESE55Nkd3RkwyVnJnQWdGYjM2X0JUMDVncHF4?oc=5"" target=""_blank"">PRAJIND Forecast — Price Target — Prediction for 2027</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2022-09-12 20:56:45,TradingView,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9tR0I3WXFiQl9WNWxSTW10RGNwNlQ4YzByYkhBeUM3WXE1WGxZOHQzM1pOdU5hZjVYR1FrdUhDZHJUZXVjcnBGckNBQjdESE55Nkd3RkwyVnJnQWdGYjM2X0JUMDVncHF4?oc=5
PRAJIND,Praj Industries Limited,PRAJIND Share Price | Praj Industries Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE9ocUxNdVpqQ2tXajhQb3plWVZQQ3NJOHFEY0ZlRnNIS1VydTV1U3N1T3R6VHp4Mm5ZWldwUGpDY1JUSnU0V1BMNnFGR3k1UVRoc1l5dzdjYVY4aW8zcTFjS1A3UHJaT29DTDBfX0tyenlDVHRoNW53?oc=5"" target=""_blank"">PRAJIND Share Price | Praj Industries Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-02-21 09:24:53,Markets Mojo,https://news.google.com/rss/articles/CBMid0FVX3lxTE9ocUxNdVpqQ2tXajhQb3plWVZQQ3NJOHFEY0ZlRnNIS1VydTV1U3N1T3R6VHp4Mm5ZWldwUGpDY1JUSnU0V1BMNnFGR3k1UVRoc1l5dzdjYVY4aW8zcTFjS1A3UHJaT29DTDBfX0tyenlDVHRoNW53?oc=5
