scrip,company,headline,summary,published_date,source,url
PRINCEPIPE,Prince Pipes And Fittings Limited,Why Prince Pipes and Fittings' (NSE:PRINCEPIPE) Shaky Earnings Are Just The Beginning Of Its Problems - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxNUm1CTlVIUlJQYlBOclhsTF9kbEdVY09TWEdwWHlTNTRmQ2U5WGxyYl9iWXpXbTZja2psTkJLSlFwREh5SExGVUpXVWVtVFRkZTB0eGxHbFZfRmhVTTc0Z0hETUhHQTkzZW9Cb3BLaDJjOGFfYVZTR0Y4eHA3cjJDcW1GUHoyNEpGMF9NLWhTenJOekZZN2FlZ1lLUVhQRVNndnJZVTRDWl9EQmVpVi1XZm4wZXVZdzBiWkNwb1d4aExORVMzdW8tLUVzZnZkaEtzdHo3MGxfYnJURTVXMVl6c0FsWFpJMlk0VXBjbk9DNDc?oc=5"" target=""_blank"">Why Prince Pipes and Fittings' (NSE:PRINCEPIPE) Shaky Earnings Are Just The Beginning Of Its Problems</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-15 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8AFBVV95cUxNUm1CTlVIUlJQYlBOclhsTF9kbEdVY09TWEdwWHlTNTRmQ2U5WGxyYl9iWXpXbTZja2psTkJLSlFwREh5SExGVUpXVWVtVFRkZTB0eGxHbFZfRmhVTTc0Z0hETUhHQTkzZW9Cb3BLaDJjOGFfYVZTR0Y4eHA3cjJDcW1GUHoyNEpGMF9NLWhTenJOekZZN2FlZ1lLUVhQRVNndnJZVTRDWl9EQmVpVi1XZm4wZXVZdzBiWkNwb1d4aExORVMzdW8tLUVzZnZkaEtzdHo3MGxfYnJURTVXMVl6c0FsWFpJMlk0VXBjbk9DNDc?oc=5
PRINCEPIPE,Prince Pipes And Fittings Limited,Prince Pipes and Fittings Limited Board Approves Unaudited Financial Results for Q3 FY2026 - InvestyWise,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxOUS1PdzVHV3RRd3BaOTZxeDU5Uk1UM1JoTXd0WEpXOHJrSnhPeXZKZ3RtbVNwWkZhLWY4UEpTUVkwR0F3Skg1NExSVlRJVjA2bTZUSHpVOXFvMU9FSWZOSjNrTURVRUMtTGNDLUdBendIREtES2s0cHE4N3prMkhac05qcTRYN2ZhZW5v?oc=5"" target=""_blank"">Prince Pipes and Fittings Limited Board Approves Unaudited Financial Results for Q3 FY2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">InvestyWise</font>",2026-02-10 08:00:00,InvestyWise,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOUS1PdzVHV3RRd3BaOTZxeDU5Uk1UM1JoTXd0WEpXOHJrSnhPeXZKZ3RtbVNwWkZhLWY4UEpTUVkwR0F3Skg1NExSVlRJVjA2bTZUSHpVOXFvMU9FSWZOSjNrTURVRUMtTGNDLUdBendIREtES2s0cHE4N3prMkhac05qcTRYN2ZhZW5v?oc=5
PRINCEPIPE,Prince Pipes And Fittings Limited,"Prince Pipes and Fittings Board Meeting Scheduled for February 10, 2026 to Review Q3FY26 Financial Results - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxNVlVKLU5WYzFYSWNHeV8tbVFyVlVrRHRERkJ6S2ZseUVuLVdSakxKTDdVYmlqWmpXN3lHa0NQRUxDc1dQVjR4b0YyNHp1YWYtTnNoNWI0ckxSTnltQUQwV0FPS19fclppX2lDdVI3cHYyUWhLTFdDOTVlQ3FRZW1HZ2lleXE4Q2NkTXdBLUtKeWhmanhGbkozQkI3dFZlYjhNZU9tdE5NRjROeTZlX2lnRDRwc2F4dHkwU1NXS1cxNGlycE1yMXVpS2FsOWVNbzVvVkZELVVDWkswWHdzSnZsZ0Q3amZvTFFLZDJULTVrclFkdWc?oc=5"" target=""_blank"">Prince Pipes and Fittings Board Meeting Scheduled for February 10, 2026 to Review Q3FY26 Financial Results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-28 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi8wFBVV95cUxNVlVKLU5WYzFYSWNHeV8tbVFyVlVrRHRERkJ6S2ZseUVuLVdSakxKTDdVYmlqWmpXN3lHa0NQRUxDc1dQVjR4b0YyNHp1YWYtTnNoNWI0ckxSTnltQUQwV0FPS19fclppX2lDdVI3cHYyUWhLTFdDOTVlQ3FRZW1HZ2lleXE4Q2NkTXdBLUtKeWhmanhGbkozQkI3dFZlYjhNZU9tdE5NRjROeTZlX2lnRDRwc2F4dHkwU1NXS1cxNGlycE1yMXVpS2FsOWVNbzVvVkZELVVDWkswWHdzSnZsZ0Q3amZvTFFLZDJULTVrclFkdWc?oc=5
PRINCEPIPE,Prince Pipes And Fittings Limited,Prince Pipes share skyrockets 36% in 6 months; analysts see 31% more upside - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNSU9Pdm9Vc2FyaUpwanNwRS1qbFJGckhOdjZGak9pc3RhQnpDQ3ZmMnNRU1l1ak9tY3B3RkQ4dUNDNXN5QzRBVmhXamptS1l0MGM2b1kzVlJqZEUxRl9SY0Vza0plNWUzdEtQbTBKei1yUmh2TzNaYUtGNTA3NkRsUlZINEFOdThXaUsxOEhDZGtVVWlDR3lQWGk4YmVOdzZ5WEtWVlR3dzNpSzVEdFpSVHNoXzM0NUVwcG5jbFpuZnJaY2dDRXBUV1Bpb1NTNHZJeERUQ3BB0gHbAUFVX3lxTE5PSENsVmh3b0FQUUFoOFQtdy1kYnoyV2RTcU05d2daWjF6X3MxNXhtMlFEUTVOTVVob0RIR0ZHMjdBRDlPYkM5QUEtVFVqSmVlU2xUbElEcU5JUnlHdzZ1Z3RNNDcwVWZWdW1GVktxWnVWZWt2UEJOWXV0cjhvUDJGUW9za25yeHpEQTZuQ0EwMnU1UUJHRGVNODVYRlplNlRwdlE0UUFyTUU3cEFPZk9hbV82VGVqNTJkRnNNSmR6LTBIUUdWRlg1SnRMa2txcVlVNXhFbmtQQ0VXQQ?oc=5"" target=""_blank"">Prince Pipes share skyrockets 36% in 6 months; analysts see 31% more upside</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-09-19 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNSU9Pdm9Vc2FyaUpwanNwRS1qbFJGckhOdjZGak9pc3RhQnpDQ3ZmMnNRU1l1ak9tY3B3RkQ4dUNDNXN5QzRBVmhXamptS1l0MGM2b1kzVlJqZEUxRl9SY0Vza0plNWUzdEtQbTBKei1yUmh2TzNaYUtGNTA3NkRsUlZINEFOdThXaUsxOEhDZGtVVWlDR3lQWGk4YmVOdzZ5WEtWVlR3dzNpSzVEdFpSVHNoXzM0NUVwcG5jbFpuZnJaY2dDRXBUV1Bpb1NTNHZJeERUQ3BB0gHbAUFVX3lxTE5PSENsVmh3b0FQUUFoOFQtdy1kYnoyV2RTcU05d2daWjF6X3MxNXhtMlFEUTVOTVVob0RIR0ZHMjdBRDlPYkM5QUEtVFVqSmVlU2xUbElEcU5JUnlHdzZ1Z3RNNDcwVWZWdW1GVktxWnVWZWt2UEJOWXV0cjhvUDJGUW9za25yeHpEQTZuQ0EwMnU1UUJHRGVNODVYRlplNlRwdlE0UUFyTUU3cEFPZk9hbV82VGVqNTJkRnNNSmR6LTBIUUdWRlg1SnRMa2txcVlVNXhFbmtQQ0VXQQ?oc=5
PRINCEPIPE,Prince Pipes And Fittings Limited,"Prince Pipes and Fittings (NSE:PRINCEPIPE) shareholders notch a 30% CAGR over 5 years, yet earnings have been shrinking - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxNbG1reVpWWWZMdGQzeGxZWXIxazE4cDFBaFpuMDFKMVpfNWFxUVRFaUJBb1lITEdOOGt0U1NEQXRaMEF5TnpuQnRLN0xOZU9uaDBYbEhKWDBuS3BvMUNfd0tFOW5Lc19BM2VXZGtBR29qMWM3eEVpbUdMNjhVQkM2TzlGOHBFMlcyQWFRRXJEblFZbE56N3Z5MTlsOWd1di1IVjQxTGtIQkJ4XzRyNzRyQVUxNFR0SFRVbC1DdFFhd0kyR1Bwc1Ffck9kQ1AwUmo0UDRNblNaR2pZbFpTcURUXzJZOUI1djJMb0kzeFBoUUHSAfYBQVVfeXFMTkNZY1ExU2tsSHZFdTRfOUQ5a3NFYWFLZlFFSHdVT21tLXR1MzlHa3NaWkNEWTI2ZlZRQndpVDc2NFFfU0xQS0ctYmp5ZDBvcFZvNXJDS2NZWnFGcUdkVnREMnBkclhYeEFIN1E5OXE4V1BKWkJDcjZuOGRZMFAxNFlJSFlOOUFpbFdZY3k3MWxKUDE4eF9HOTNzX05JY2F6TWZYa1JCZVZqZUtaNlNyVkpNSkVmSlFNNlFPcThTODdyNGh3ZUNBV3Q1bklqbFVWb3ByeVZOTXMyUFh0bzFORld5Mzhpek9KTkFHSkdkV2hkb1pTRDdR?oc=5"" target=""_blank"">Prince Pipes and Fittings (NSE:PRINCEPIPE) shareholders notch a 30% CAGR over 5 years, yet earnings have been shrinking</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-06-17 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8AFBVV95cUxNbG1reVpWWWZMdGQzeGxZWXIxazE4cDFBaFpuMDFKMVpfNWFxUVRFaUJBb1lITEdOOGt0U1NEQXRaMEF5TnpuQnRLN0xOZU9uaDBYbEhKWDBuS3BvMUNfd0tFOW5Lc19BM2VXZGtBR29qMWM3eEVpbUdMNjhVQkM2TzlGOHBFMlcyQWFRRXJEblFZbE56N3Z5MTlsOWd1di1IVjQxTGtIQkJ4XzRyNzRyQVUxNFR0SFRVbC1DdFFhd0kyR1Bwc1Ffck9kQ1AwUmo0UDRNblNaR2pZbFpTcURUXzJZOUI1djJMb0kzeFBoUUHSAfYBQVVfeXFMTkNZY1ExU2tsSHZFdTRfOUQ5a3NFYWFLZlFFSHdVT21tLXR1MzlHa3NaWkNEWTI2ZlZRQndpVDc2NFFfU0xQS0ctYmp5ZDBvcFZvNXJDS2NZWnFGcUdkVnREMnBkclhYeEFIN1E5OXE4V1BKWkJDcjZuOGRZMFAxNFlJSFlOOUFpbFdZY3k3MWxKUDE4eF9HOTNzX05JY2F6TWZYa1JCZVZqZUtaNlNyVkpNSkVmSlFNNlFPcThTODdyNGh3ZUNBV3Q1bklqbFVWb3ByeVZOTXMyUFh0bzFORld5Mzhpek9KTkFHSkdkV2hkb1pTRDdR?oc=5
PRINCEPIPE,Prince Pipes And Fittings Limited,"Stock sinks 50%, profit dives 76%: Can Prince Pipes’ Rs 70 crore Bihar push spark a revival? - The Indian Express","<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxQRmw0VjFTSVJQUG5LRW00UXBHcGZQcnJMN3Ewc1NRTzlHTFRtM3JmQXlzcWxweENGY3FiVnFJUFlEbzlYSWJyZEhQWjdiZ1kwa0NER05HYnBmNjdyaW8zUkYxVU55U2hnMzU0cFhYUTgwTEt6SXVwVFVad3lVSklZeERWTG50cGNJZk5XTXlCWHhYRkUtbktQV09FNHdKNEdKamRPODNR0gGsAUFVX3lxTE55UThrTDZpQm8wN2VSZmRCWUlacUd4c1JXaUdaSlo4dktpQ3Fva2ZhaU5zV0ZuaWpaTFNUMENVQWFXaWt2bVJXWDIyY19lTllsdXhqV01PYTBzNnExOUxwNTI1R1hQRWJaM1ZCLUV3TmkteGwzcEFMUGVNcmFTcExLSnUzZjZnbVVMTXV5dDgzYnVPcHM2MmpUUnB1UTNCczRSMFdtb1EzSTFNQ2g?oc=5"" target=""_blank"">Stock sinks 50%, profit dives 76%: Can Prince Pipes’ Rs 70 crore Bihar push spark a revival?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",2025-07-17 07:00:00,The Indian Express,https://news.google.com/rss/articles/CBMipgFBVV95cUxQRmw0VjFTSVJQUG5LRW00UXBHcGZQcnJMN3Ewc1NRTzlHTFRtM3JmQXlzcWxweENGY3FiVnFJUFlEbzlYSWJyZEhQWjdiZ1kwa0NER05HYnBmNjdyaW8zUkYxVU55U2hnMzU0cFhYUTgwTEt6SXVwVFVad3lVSklZeERWTG50cGNJZk5XTXlCWHhYRkUtbktQV09FNHdKNEdKamRPODNR0gGsAUFVX3lxTE55UThrTDZpQm8wN2VSZmRCWUlacUd4c1JXaUdaSlo4dktpQ3Fva2ZhaU5zV0ZuaWpaTFNUMENVQWFXaWt2bVJXWDIyY19lTllsdXhqV01PYTBzNnExOUxwNTI1R1hQRWJaM1ZCLUV3TmkteGwzcEFMUGVNcmFTcExLSnUzZjZnbVVMTXV5dDgzYnVPcHM2MmpUUnB1UTNCczRSMFdtb1EzSTFNQ2g?oc=5
PRINCEPIPE,Prince Pipes And Fittings Limited,"Prince Pipes and Fittings Eyes East Indian Markets With 48,000 MT Facility in Bihar - Tube & Pipe India","<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTE9OZ19lNGRxNVhYcGQzazZpZmdFNUZCODU3YUxHYjNlSlpwb3NkT1BBWGI0NEZTRl9VY0JZZjdFaXZjdFJlaTdyeXhNSXltaHBpMFlXSDBqT2pPQjZHZXBXMHZBTFk2bmlJ?oc=5"" target=""_blank"">Prince Pipes and Fittings Eyes East Indian Markets With 48,000 MT Facility in Bihar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tube & Pipe India</font>",2025-05-28 08:45:39,Tube & Pipe India,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9OZ19lNGRxNVhYcGQzazZpZmdFNUZCODU3YUxHYjNlSlpwb3NkT1BBWGI0NEZTRl9VY0JZZjdFaXZjdFJlaTdyeXhNSXltaHBpMFlXSDBqT2pPQjZHZXBXMHZBTFk2bmlJ?oc=5
PRINCEPIPE,Prince Pipes And Fittings Limited,PRINCEPIPE Share Price | Prince Pipes & Fittings Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTE1UYmlJQ2FFak9NX0lzdGduQmdNOW9wNERsdHh5LWgyVzN0dEZGVTVHZXdPd3gwX19Rc2E3NVlVak1kZVBPS0RKS3dyYVR4ZlMxQlVRWWlWVTR1NWpDaG9UNHE0VWlPM29DWENhS05nS0I0VGdD?oc=5"" target=""_blank"">PRINCEPIPE Share Price | Prince Pipes & Fittings Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-04-07 13:19:31,Markets Mojo,https://news.google.com/rss/articles/CBMidEFVX3lxTE1UYmlJQ2FFak9NX0lzdGduQmdNOW9wNERsdHh5LWgyVzN0dEZGVTVHZXdPd3gwX19Rc2E3NVlVak1kZVBPS0RKS3dyYVR4ZlMxQlVRWWlWVTR1NWpDaG9UNHE0VWlPM29DWENhS05nS0I0VGdD?oc=5
PRINCEPIPE,Prince Pipes And Fittings Limited,"Prince Pipes Reports Muted Q2 FY26 Performance Amid Industry Challenges, Expects Gradual Recovery - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPRjhTVFN4dVhDLWxneEg4aDlTaVU0Y0VMb0VsM3Y5S3RQNzBuZFh1LWk1VFUxNG1KZ2tmQlM5OGxYcFBqOEJDeHA4NTBBajR3Ykw5M2pUZGVKZHdqRGh2ZENmWkJzZU5nelcwNUZzUXVXMnFEN0Vodmlna2hSbE9MZ0VKV2RncmFzR0N4b3p3VUNMOXQ2T1JzcnZKRXQ1MEJ0cWZQV3lQaFFKZERvUUw0cW5DOUNHalhFSHVwRkZOdnluaC1XUjN5WmdGeUQtd211ZUN6bS1xT0dkenZpT0RjYnFwYVZMZ00?oc=5"" target=""_blank"">Prince Pipes Reports Muted Q2 FY26 Performance Amid Industry Challenges, Expects Gradual Recovery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-14 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPRjhTVFN4dVhDLWxneEg4aDlTaVU0Y0VMb0VsM3Y5S3RQNzBuZFh1LWk1VFUxNG1KZ2tmQlM5OGxYcFBqOEJDeHA4NTBBajR3Ykw5M2pUZGVKZHdqRGh2ZENmWkJzZU5nelcwNUZzUXVXMnFEN0Vodmlna2hSbE9MZ0VKV2RncmFzR0N4b3p3VUNMOXQ2T1JzcnZKRXQ1MEJ0cWZQV3lQaFFKZERvUUw0cW5DOUNHalhFSHVwRkZOdnluaC1XUjN5WmdGeUQtd211ZUN6bS1xT0dkenZpT0RjYnFwYVZMZ00?oc=5
PRINCEPIPE,Prince Pipes And Fittings Limited,Prince Pipes soars after reporting turnaround Q4 numbers - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNQ1FpclFkMm4tUnhMLXFESW5ncEJKdW5kMWVwSUUtWWNZWWh6VmxoSVB2Sm5fZ3VESy12QXVXVlBTRWllVmUzVExfUUV6VWhjRW53Vl9BYVNBNUlWdTZtQW9MVkVGLUZoc2Z1MW1Zbm5OWGlVNm1IU002eS1NeDU4V3duMDFiaW9RNGF1RFFtaWxIa0MyTUloVEstUEhoNkNWd2FmaWtJSU1BNzloV3VudmZaaHNDeWVqTzdxSS1LS0h0ZlYxcEFfVlVzWUpwandDaU5sWNIB2gFBVV95cUxOU3BNRGR0Mk5xY3d6R3J1bjJVbnMzM1ZLd05KRndhRjZINmlVaVR4d21yUWxzemdpa29YX2FMNE5maVIwUzcwWW9jOFNaNVMwc1ZvRW92aVdqendVNHdtR0RRYWFhS3lhdl9IT1E4V2xPMUVGVFBsbkd5Z1d4dkxSZkRlU2RlLUlyYlMxd0phbjdmYmZmQ2tpWUVCVUNSRjFyUG5lenR6dWpyXzg4elBfaVV1a0tUd1MwZ2s2bzlXeDhuV0FaQ3VQMDI0d2ZmZkFlQjNVYlRYS3c1Zw?oc=5"" target=""_blank"">Prince Pipes soars after reporting turnaround Q4 numbers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-05-22 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNQ1FpclFkMm4tUnhMLXFESW5ncEJKdW5kMWVwSUUtWWNZWWh6VmxoSVB2Sm5fZ3VESy12QXVXVlBTRWllVmUzVExfUUV6VWhjRW53Vl9BYVNBNUlWdTZtQW9MVkVGLUZoc2Z1MW1Zbm5OWGlVNm1IU002eS1NeDU4V3duMDFiaW9RNGF1RFFtaWxIa0MyTUloVEstUEhoNkNWd2FmaWtJSU1BNzloV3VudmZaaHNDeWVqTzdxSS1LS0h0ZlYxcEFfVlVzWUpwandDaU5sWNIB2gFBVV95cUxOU3BNRGR0Mk5xY3d6R3J1bjJVbnMzM1ZLd05KRndhRjZINmlVaVR4d21yUWxzemdpa29YX2FMNE5maVIwUzcwWW9jOFNaNVMwc1ZvRW92aVdqendVNHdtR0RRYWFhS3lhdl9IT1E4V2xPMUVGVFBsbkd5Z1d4dkxSZkRlU2RlLUlyYlMxd0phbjdmYmZmQ2tpWUVCVUNSRjFyUG5lenR6dWpyXzg4elBfaVV1a0tUd1MwZ2s2bzlXeDhuV0FaQ3VQMDI0d2ZmZkFlQjNVYlRYS3c1Zw?oc=5
