scrip,company,headline,summary,published_date,source,url
RAILTEL,Railtel Corporation Of India Limited,Railtel Corporation of India Ltd: Valuation Shifts Signal Price Attractiveness Amid Market Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxNcjlpVE41ZDFSTDRSZTc5TjE0ZXJTSE5hRDNwMlprSDJmRTlWN19veWlQTlplVXpRMHZEYTlsOU5mM2FDeUpXOE9nNTFKUlZIRzRWX1hYb0p0czRRNXZmNU9DbWhJUDA3cDY1R1k4Z0M2S2YxVUZjcXFmVHlXZl9jT0RQVlg1YUhRYTVXVnRXRXBSLW5JcDY4NGZtcHRLWGFWaHZhRmd3SGNicDdldHZVTEhhanlnaHFHVHpsMjRxNTNJODFIN1p1SldnSEp0cmhqcEY3Zm05M3hZT0hBRXBsWm1xRHhTa1lNU2F5Mg?oc=5"" target=""_blank"">Railtel Corporation of India Ltd: Valuation Shifts Signal Price Attractiveness Amid Market Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-04 03:13:23,Markets Mojo,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNcjlpVE41ZDFSTDRSZTc5TjE0ZXJTSE5hRDNwMlprSDJmRTlWN19veWlQTlplVXpRMHZEYTlsOU5mM2FDeUpXOE9nNTFKUlZIRzRWX1hYb0p0czRRNXZmNU9DbWhJUDA3cDY1R1k4Z0M2S2YxVUZjcXFmVHlXZl9jT0RQVlg1YUhRYTVXVnRXRXBSLW5JcDY4NGZtcHRLWGFWaHZhRmd3SGNicDdldHZVTEhhanlnaHFHVHpsMjRxNTNJODFIN1p1SldnSEp0cmhqcEY3Zm05M3hZT0hBRXBsWm1xRHhTa1lNU2F5Mg?oc=5
RAILTEL,Railtel Corporation Of India Limited,"IRFC, RVNL, Railtel, IRCTC plunge over 50%; analysts see more consolidation - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxNc21COGx2Q2I2ZnhyTW9DWnN3SXdvNzdlSjAtQnhXek9YSjNZZjlicHBwdFNTTmZzZ0pCQUJhWktMOS1iTmVuN1AyT2FWZktWWmtkRTFkdWhVOWdyWDNfVHVJR2pkV2tLdi1kOXNVX3RGMFB4eU0tTWl5RVhQVGN4UlhPNXhiZjJjNmR2dEt0YkYtTWlFa0xFSlpCdXJLeEdDeWk4QnptN0xuZWtEX2U0Z3R3eWtlNFJQeVJLYzBubXVrU2ZvYW5FWlY3VEtHV01VMVkySEk0Y3B4WERsRVdBVy01TEROQXFtWklDRU50NNIB9AFBVV95cUxNMWxub0VKUHVUOC1WUDZvX3dsT3Fkd1VBRXZuQmlnVGJ4VzZpWFhGcjVEVnBVblVIcW1ybnZKLU0wUEI5bG5XRndMTUcxSlZVTnlyTmZEdkk4aVMtcERxSmkwOS1iM0RlN1BfcFplVzdfa3A4aDFmQm1RbUFEYjJLZ3laMWRjYmxqTEd6T2xnR1VHeDM5THFIN0QwV29JSXlYbHZGUk5Rc2NGSEc3c1BQVUxKQzR3b09lcVVOM3BWeVBrNDNrdDcxZWcxWFhQM0pPb3VUUkNFRnRaUjUzZzVqdERZcTFtclhEUEdsLUJjallJV1Vn?oc=5"" target=""_blank"">IRFC, RVNL, Railtel, IRCTC plunge over 50%; analysts see more consolidation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2026-03-04 02:45:16,Business Standard,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNc21COGx2Q2I2ZnhyTW9DWnN3SXdvNzdlSjAtQnhXek9YSjNZZjlicHBwdFNTTmZzZ0pCQUJhWktMOS1iTmVuN1AyT2FWZktWWmtkRTFkdWhVOWdyWDNfVHVJR2pkV2tLdi1kOXNVX3RGMFB4eU0tTWl5RVhQVGN4UlhPNXhiZjJjNmR2dEt0YkYtTWlFa0xFSlpCdXJLeEdDeWk4QnptN0xuZWtEX2U0Z3R3eWtlNFJQeVJLYzBubXVrU2ZvYW5FWlY3VEtHV01VMVkySEk0Y3B4WERsRVdBVy01TEROQXFtWklDRU50NNIB9AFBVV95cUxNMWxub0VKUHVUOC1WUDZvX3dsT3Fkd1VBRXZuQmlnVGJ4VzZpWFhGcjVEVnBVblVIcW1ybnZKLU0wUEI5bG5XRndMTUcxSlZVTnlyTmZEdkk4aVMtcERxSmkwOS1iM0RlN1BfcFplVzdfa3A4aDFmQm1RbUFEYjJLZ3laMWRjYmxqTEd6T2xnR1VHeDM5THFIN0QwV29JSXlYbHZGUk5Rc2NGSEc3c1BQVUxKQzR3b09lcVVOM3BWeVBrNDNrdDcxZWcxWFhQM0pPb3VUUkNFRnRaUjUzZzVqdERZcTFtclhEUEdsLUJjallJV1Vn?oc=5
RAILTEL,Railtel Corporation Of India Limited,RailTel Corporation Fined ₹10.86 Lakh by NSE and BSE for Board Composition Non-Compliance - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNc2F3aEkxWnExVVhSOHNMY2QzWGd2S2lkQzZGalpsdjJsZWNZWFFkcUFTZ1M4aGpMcEJWZFlzTk51cXl3aGtvU2VjT1JvS1FXcVdRY1pmZzZXV2NLUUNNTzRacTJ6cnZoUEhfNHpaN29PellVdXIxa3hPUXdOYU1UR1dkZE1iZ1Q4Nzhhb09kWTFKRmFmaVRScGZRaUVDdTg3b0M5UjRNWHF2b0hhcHdLQjMtLXdQeEctUGloS01kalVlOXJfUUZ5LVdIekxValR3dVhpdHFHV0I0dw?oc=5"" target=""_blank"">RailTel Corporation Fined ₹10.86 Lakh by NSE and BSE for Board Composition Non-Compliance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-03-02 12:14:31,scanx.trade,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNc2F3aEkxWnExVVhSOHNMY2QzWGd2S2lkQzZGalpsdjJsZWNZWFFkcUFTZ1M4aGpMcEJWZFlzTk51cXl3aGtvU2VjT1JvS1FXcVdRY1pmZzZXV2NLUUNNTzRacTJ6cnZoUEhfNHpaN29PellVdXIxa3hPUXdOYU1UR1dkZE1iZ1Q4Nzhhb09kWTFKRmFmaVRScGZRaUVDdTg3b0M5UjRNWHF2b0hhcHdLQjMtLXdQeEctUGloS01kalVlOXJfUUZ5LVdIekxValR3dVhpdHFHV0I0dw?oc=5
RAILTEL,Railtel Corporation Of India Limited,Railtel Corporation shares in focus as firm bags order worth over ₹17 crore; shares up 5% YoY - Upstox,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxOTFhiaFp6b1dXS3RiM1ZORXVScTdocVVVS3RCZnlTUml0azJQYzR2dlRhMlBXaHVNRjdnVHFXZlNrdlJTMGVMWU9SSWJfSHRnWFEyVnFVYUw3WWNhSGs2V1RIbnNrcXlXOHR0UHN0bkRkZ2dJTS1NclNTMk55RjFlSW1wTS1hOXdYU1ZoWFZTNUk1MnJoQm8wRzZXX3E5cjRzb3hTTTJZSEJjaUJBbU15SFZGODltMl9HbWpoVmZCUEFtem9iRnRQUkdSd1ptOUNscVpzeFVZTUtzeExaUVVTNFdGYks?oc=5"" target=""_blank"">Railtel Corporation shares in focus as firm bags order worth over ₹17 crore; shares up 5% YoY</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2026-02-26 13:19:59,Upstox,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOTFhiaFp6b1dXS3RiM1ZORXVScTdocVVVS3RCZnlTUml0azJQYzR2dlRhMlBXaHVNRjdnVHFXZlNrdlJTMGVMWU9SSWJfSHRnWFEyVnFVYUw3WWNhSGs2V1RIbnNrcXlXOHR0UHN0bkRkZ2dJTS1NclNTMk55RjFlSW1wTS1hOXdYU1ZoWFZTNUk1MnJoQm8wRzZXX3E5cjRzb3hTTTJZSEJjaUJBbU15SFZGODltMl9HbWpoVmZCUEFtem9iRnRQUkdSd1ptOUNscVpzeFVZTUtzeExaUVVTNFdGYks?oc=5
RAILTEL,Railtel Corporation Of India Limited,Railtel Corporation and 5 other stocks in focus after receiving orders worth ₹174 Cr By Trade Brains - Investing.com India,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxQYk83a2E0NndnNW9fcm9oQUdYRGcxY3l1dlNhVmxLTkl0UE0yREVpZ0RaSC1xTUxRdzVqR3FTSmhScThlVkNGNXFrWWJoakpveG9PQ3VFUkQ1Y1Y2eUZjWUZuYWtZVE0wSmxvTTFQNG5yWERKTGJGMHc4ZEdmRi03YU55dUtZY3FacG5NbGQ0S1B2YW9PSFA0STZ1ZUsyS3d0d2NRM1dhMFJ5TDc1MHVfVjcwZ1VqUXFtVHppT0JCU0l1X3hraGRsbnBGb3hzQXN3cnlaYktn?oc=5"" target=""_blank"">Railtel Corporation and 5 other stocks in focus after receiving orders worth ₹174 Cr By Trade Brains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Investing.com India</font>",2026-02-27 09:48:55,Investing.com India,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQYk83a2E0NndnNW9fcm9oQUdYRGcxY3l1dlNhVmxLTkl0UE0yREVpZ0RaSC1xTUxRdzVqR3FTSmhScThlVkNGNXFrWWJoakpveG9PQ3VFUkQ1Y1Y2eUZjWUZuYWtZVE0wSmxvTTFQNG5yWERKTGJGMHc4ZEdmRi03YU55dUtZY3FacG5NbGQ0S1B2YW9PSFA0STZ1ZUsyS3d0d2NRM1dhMFJ5TDc1MHVfVjcwZ1VqUXFtVHppT0JCU0l1X3hraGRsbnBGb3hzQXN3cnlaYktn?oc=5
RAILTEL,Railtel Corporation Of India Limited,"RailTel Corporation Of India Share Price Gains 2% In Stock Market Today After ₹1,136.18 Crore Order Win - Samco","<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNOU83VlpaTVNNMHFiT0dIbDI2MHJFd2xUUElrREFwa25HV3BhbjNjWkRYbjlGTFROVk4tVHZBSTZmWklsQ3lkNjJYcXByaGI0MV94cVRqUGdxTTlESkY0S3F6Qk1ES0o5N1Jnck5uSVUzRkFTTDRoeXVLTnFaX21kSzdHTDNzR3lycGZhd0puT3kzV0FZRzNaaG5udnZtZjBuY1YySXFnT3RHSEpncy1JbUVMUUJoYjhJY0kwc1ZfNjA1SmdNUTA1ZjVrNG05SzdIdl9pTl9yZ1J2U0Y3Q013M01hY2Y2Zw?oc=5"" target=""_blank"">RailTel Corporation Of India Share Price Gains 2% In Stock Market Today After ₹1,136.18 Crore Order Win</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Samco</font>",2026-02-23 07:01:41,Samco,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNOU83VlpaTVNNMHFiT0dIbDI2MHJFd2xUUElrREFwa25HV3BhbjNjWkRYbjlGTFROVk4tVHZBSTZmWklsQ3lkNjJYcXByaGI0MV94cVRqUGdxTTlESkY0S3F6Qk1ES0o5N1Jnck5uSVUzRkFTTDRoeXVLTnFaX21kSzdHTDNzR3lycGZhd0puT3kzV0FZRzNaaG5udnZtZjBuY1YySXFnT3RHSEpncy1JbUVMUUJoYjhJY0kwc1ZfNjA1SmdNUTA1ZjVrNG05SzdIdl9pTl9yZ1J2U0Y3Q013M01hY2Y2Zw?oc=5
RAILTEL,Railtel Corporation Of India Limited,Railtel Corporation of India Ltd is Rated Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxOdmFfZXBzNFBOTnd6U0N3LXA2WktZZk1wZU1aN3ZXcGNRbGw5bUZmbzBEb1NGM29LUjUtUDV1aEdZdEZ5dTJkZENuVDFSYm0xWU9SOUl2c3ZpbHQwMXFyeHAzcDZkb1JabmZLeVRISTZVcTQ1c1A5XzVudkFTVHZrcHBwYVlCTV9fRFZydnhZNEdfbmtuSkM5dGxReGpXMHlnbEpaclRjNzMzajlF?oc=5"" target=""_blank"">Railtel Corporation of India Ltd is Rated Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-03 05:23:07,Markets Mojo,https://news.google.com/rss/articles/CBMirAFBVV95cUxOdmFfZXBzNFBOTnd6U0N3LXA2WktZZk1wZU1aN3ZXcGNRbGw5bUZmbzBEb1NGM29LUjUtUDV1aEdZdEZ5dTJkZENuVDFSYm0xWU9SOUl2c3ZpbHQwMXFyeHAzcDZkb1JabmZLeVRISTZVcTQ1c1A5XzVudkFTVHZrcHBwYVlCTV9fRFZydnhZNEdfbmtuSkM5dGxReGpXMHlnbEpaclRjNzMzajlF?oc=5
RAILTEL,Railtel Corporation Of India Limited,RailTel Corporation Fined by NSE and BSE for Q3 FY26 Board Composition Non-Compliance - InvestyWise,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxOcUFzT3FvRUJ3eDNNR3Q5aGpRT2xrc0xSUnZNTlV6T19aSTZmbjJ5NFowN2N0cTY2SHNqRUtlU2s2UWEwTGhHV0FwOUd6UkYwS1loX3RaWi10ekp2dVd4VTQ0Tk5fWmVqeVRWdVdiMXBpbmxFOGdjQUZiS2pUZVNUZmstdzlKc1NZbDVfeFM2OEVHUzdTOU5tYkxvYw?oc=5"" target=""_blank"">RailTel Corporation Fined by NSE and BSE for Q3 FY26 Board Composition Non-Compliance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">InvestyWise</font>",2026-03-02 11:57:03,InvestyWise,https://news.google.com/rss/articles/CBMimwFBVV95cUxOcUFzT3FvRUJ3eDNNR3Q5aGpRT2xrc0xSUnZNTlV6T19aSTZmbjJ5NFowN2N0cTY2SHNqRUtlU2s2UWEwTGhHV0FwOUd6UkYwS1loX3RaWi10ekp2dVd4VTQ0Tk5fWmVqeVRWdVdiMXBpbmxFOGdjQUZiS2pUZVNUZmstdzlKc1NZbDVfeFM2OEVHUzdTOU5tYkxvYw?oc=5
RAILTEL,Railtel Corporation Of India Limited,"RailTel Corporation of India shares gain 2% after winning Rs 1,136 crore contract - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNOFdSQ25zdm9UUmtmTVJ0X0JoWmUtYjJzc0FKMHFMaHpVREticGFJb3RIT2EyaEZEbnRqNDIxTWxTUEFjcHdYbGgzYmZYM2xIS193ZFNSUmc3a2RBVW1qN2tqakN6RnBoRUJaaVpoYkhPWDJ1aGRDbWFROG9yQ3VyVy1mUWVydENsdzZfaU9wZGNaSUVULWZNY1B5eGpETFRNOXk2eEZTdWtEXzFUbko5RlV6QlN1b3dIVHIwaGtaUU5qa0RsM3FFLURlX01nSlRuc1VBaFln0gHbAUFVX3lxTE1IR1JXX3doX0FlTXRySG9jMXBSX01GQXZ6ZG15ckg4dzZ0WmhPNHlHcDZzMWxpZHRUREFYSjVQUGJvaDhzdVgwRXNrU3NxUVpEMWFTbEN1STZyWkJEaURFclRHcEdHSnJWbkZNb0NqNlR6U0lzR1NxZXZyUlJNcHc5SEE1QTBocjNTdlRsekNrQmJpWi10dWwxXzdmTEhJbHFUZkI4Z1lMSEE4VFRwaWZFT2ZkdDZWb0FjQVp5WmxSM2xHNy1IaWZhbGFCYktNVGVqNWtmZmZqbEozYw?oc=5"" target=""_blank"">RailTel Corporation of India shares gain 2% after winning Rs 1,136 crore contract</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-23 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNOFdSQ25zdm9UUmtmTVJ0X0JoWmUtYjJzc0FKMHFMaHpVREticGFJb3RIT2EyaEZEbnRqNDIxTWxTUEFjcHdYbGgzYmZYM2xIS193ZFNSUmc3a2RBVW1qN2tqakN6RnBoRUJaaVpoYkhPWDJ1aGRDbWFROG9yQ3VyVy1mUWVydENsdzZfaU9wZGNaSUVULWZNY1B5eGpETFRNOXk2eEZTdWtEXzFUbko5RlV6QlN1b3dIVHIwaGtaUU5qa0RsM3FFLURlX01nSlRuc1VBaFln0gHbAUFVX3lxTE1IR1JXX3doX0FlTXRySG9jMXBSX01GQXZ6ZG15ckg4dzZ0WmhPNHlHcDZzMWxpZHRUREFYSjVQUGJvaDhzdVgwRXNrU3NxUVpEMWFTbEN1STZyWkJEaURFclRHcEdHSnJWbkZNb0NqNlR6U0lzR1NxZXZyUlJNcHc5SEE1QTBocjNTdlRsekNrQmJpWi10dWwxXzdmTEhJbHFUZkI4Z1lMSEE4VFRwaWZFT2ZkdDZWb0FjQVp5WmxSM2xHNy1IaWZhbGFCYktNVGVqNWtmZmZqbEozYw?oc=5
RAILTEL,Railtel Corporation Of India Limited,"RailTel Corporation Board Meeting on March 9, 2026 to Consider Second Interim Dividend for FY2025-26 - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxPUVNoY1BmQkJUXzBDZmZnRmVVREpTRlRsbG5QWUJmYl9NVC1oMFJWVEg5aUZDVWxOYWVXYmx5NTRZZjV1YTk5OUZxdTlSdEhpejFBT2dEakUwOVVVdkd3WXVEVkJnUkUxMElpTTZjaGJtSjUtTHBLZmwtY2ZJY1R5SjFEYm5nSS1tdlBOYThWbGxwX0JZUEJFYmY1c0tYRF9Ca0hMYWlRT2JWNEt3cXRLZFNZRHFkWWRjdTZuTkdKMUxyN2NncHZuZnZjZDI0aFpPUFpsUUZYejBMajJKOGUzbndGTkplLTFqVkE0YzZMdFM3bGIxQVZz?oc=5"" target=""_blank"">RailTel Corporation Board Meeting on March 9, 2026 to Consider Second Interim Dividend for FY2025-26</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-03-03 03:15:36,scanx.trade,https://news.google.com/rss/articles/CBMi9wFBVV95cUxPUVNoY1BmQkJUXzBDZmZnRmVVREpTRlRsbG5QWUJmYl9NVC1oMFJWVEg5aUZDVWxOYWVXYmx5NTRZZjV1YTk5OUZxdTlSdEhpejFBT2dEakUwOVVVdkd3WXVEVkJnUkUxMElpTTZjaGJtSjUtTHBLZmwtY2ZJY1R5SjFEYm5nSS1tdlBOYThWbGxwX0JZUEJFYmY1c0tYRF9Ca0hMYWlRT2JWNEt3cXRLZFNZRHFkWWRjdTZuTkdKMUxyN2NncHZuZnZjZDI0aFpPUFpsUUZYejBMajJKOGUzbndGTkplLTFqVkE0YzZMdFM3bGIxQVZz?oc=5
