scrip,company,headline,summary,published_date,source,url
REMSONSIND,Remsons Industries Limited,Remsons Industries Limited's (NSE:REMSONSIND) Shares May Have Run Too Fast Too Soon - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPVXFscVNzaHhYcHZIbjhhLTJ4UVV6VG9aYS1zNVlvVXk0YmJyZWdkc2VlQy04MWY2S2ZqaUlvbEoxakdiNDJxX1Q4TnJLSVFzRy1RSXcwSXZHOE5SblQ0Sm5rZFFFT0E0THlhaVI0WDVVM212MldtdFYwekxncWhaSUk4eElGbnZlR0p1d2RTVlVUSV8zNEdpSmV6VHpnOUpua0lWSkV6Vk5fWGk1RGtzYlBLcHVESmgxdlczV2JOUlJ0VklmWVZCOXFWVFNhVWNWWVBBYXJUbFNySDJnOWx0Rkt0WjjSAeoBQVVfeXFMT0dlQjhybzVUOUhERHVhU1NpRkdYSnBLb1BQUWEzYzg0Ny16LWtCazRoWllPRXBzNmNjLWpobF9iU0lNcTdvN2lmNl9NcWZ1YnpWUHpRMDNOTi1iN2c2NUxNRzhtbndKd1NLVUNreWJRb19tVzNLSUM1cmUwMTRLNGNvUnVyUFVzSGxvMktYb1hxZkVNRGFXdzhhbEUwOGM4RVlkVFAyWGxPLXhyTFZhR3VJd3RGS2ZVbGJ0c3MxLWxBcGxfTjE3YkxvMUlZTlVMMmFjVFNnRzdpTXplTDFuWHhQNkE2R2dvbFNB?oc=5"" target=""_blank"">Remsons Industries Limited's (NSE:REMSONSIND) Shares May Have Run Too Fast Too Soon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-10 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPVXFscVNzaHhYcHZIbjhhLTJ4UVV6VG9aYS1zNVlvVXk0YmJyZWdkc2VlQy04MWY2S2ZqaUlvbEoxakdiNDJxX1Q4TnJLSVFzRy1RSXcwSXZHOE5SblQ0Sm5rZFFFT0E0THlhaVI0WDVVM212MldtdFYwekxncWhaSUk4eElGbnZlR0p1d2RTVlVUSV8zNEdpSmV6VHpnOUpua0lWSkV6Vk5fWGk1RGtzYlBLcHVESmgxdlczV2JOUlJ0VklmWVZCOXFWVFNhVWNWWVBBYXJUbFNySDJnOWx0Rkt0WjjSAeoBQVVfeXFMT0dlQjhybzVUOUhERHVhU1NpRkdYSnBLb1BQUWEzYzg0Ny16LWtCazRoWllPRXBzNmNjLWpobF9iU0lNcTdvN2lmNl9NcWZ1YnpWUHpRMDNOTi1iN2c2NUxNRzhtbndKd1NLVUNreWJRb19tVzNLSUM1cmUwMTRLNGNvUnVyUFVzSGxvMktYb1hxZkVNRGFXdzhhbEUwOGM4RVlkVFAyWGxPLXhyTFZhR3VJd3RGS2ZVbGJ0c3MxLWxBcGxfTjE3YkxvMUlZTlVMMmFjVFNnRzdpTXplTDFuWHhQNkE2R2dvbFNB?oc=5
REMSONSIND,Remsons Industries Limited,Remsons Wins ₹60 Cr CV Gear Shifter Order - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxOcDdORDJNNm12bXEwSmlIT0VHUmwtR3ppcUdIbm9fYXJHVmlHZ1ZmeXhGLS1CaFF1RTRuUHdlaVlpS2hRTmd4YkhsRXJsZlBidWVFM3d4WFdsZVl1c3VCVjhFdUlIVjlJZWRLcm9nQ3AzR0RNR0dPSHZrQUFxbEJsR0VMSXBuMFRYOHpncWRxY1U2eEhFdUlGdjdZT3A?oc=5"" target=""_blank"">Remsons Wins ₹60 Cr CV Gear Shifter Order</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2026-01-02 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMinAFBVV95cUxOcDdORDJNNm12bXEwSmlIT0VHUmwtR3ppcUdIbm9fYXJHVmlHZ1ZmeXhGLS1CaFF1RTRuUHdlaVlpS2hRTmd4YkhsRXJsZlBidWVFM3d4WFdsZVl1c3VCVjhFdUlIVjlJZWRLcm9nQ3AzR0RNR0dPSHZrQUFxbEJsR0VMSXBuMFRYOHpncWRxY1U2eEhFdUlGdjdZT3A?oc=5
REMSONSIND,Remsons Industries Limited,Why Remsons Industries' (NSE:REMSONSIND) Earnings Are Better Than They Seem - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNX0VGenhzd1VkMEJVZzBXblJSRnBmT1FoQnZQMEJMQ25ZWDAxd0tybmFhS09iYUpNOGk3UTJLQ0tXenNHWnctYVZiUllqUHpBdFJ4VHlvMDFxS1VnY2dEQy1uOTA5RnBLY0txTUF6WjhVbV8tRGZpZDAxdDJsYVpvT2Q4d1dHWUlfRGhkYW9LcmVHWnZVeDZHb3RRWU42ZjVBYUxHVU5xTGpZYXV0MC05MkNKT1J3MHpsanU3dWpnNmp4UFczVzlUOEVVRThfd3N1eGk0dWFQWjZQSFduWlBwZEJJRG3SAeoBQVVfeXFMTWZXYWV5SkZrX2V2MWg1QlVRcEFpOVk4NzBRSXB6bTlwbGl6ZzBSTkxxTm5TVFcxcm8ta0psS0ZXNDJPZU5HV3N0MmhRN09DQUxyajNMczU3NmhUcWVkZTN0dlNKVDVJbDRjU3NkSjJvM1dxMTVzZVQzRThEXzNWX1dOalVoUVhlZ0l2azFJWmFzVTRvajhKckRmblM0b3pLdExJU2luN3A1cU9BLUpma0h6c2RVREVQOHExME5zTHh3bE5TNWVWTTRha2xNRzgwQ3NXVk5reDNJLWd3U1JyTmFIOVpldXFBcTdR?oc=5"" target=""_blank"">Why Remsons Industries' (NSE:REMSONSIND) Earnings Are Better Than They Seem</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-22 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNX0VGenhzd1VkMEJVZzBXblJSRnBmT1FoQnZQMEJMQ25ZWDAxd0tybmFhS09iYUpNOGk3UTJLQ0tXenNHWnctYVZiUllqUHpBdFJ4VHlvMDFxS1VnY2dEQy1uOTA5RnBLY0txTUF6WjhVbV8tRGZpZDAxdDJsYVpvT2Q4d1dHWUlfRGhkYW9LcmVHWnZVeDZHb3RRWU42ZjVBYUxHVU5xTGpZYXV0MC05MkNKT1J3MHpsanU3dWpnNmp4UFczVzlUOEVVRThfd3N1eGk0dWFQWjZQSFduWlBwZEJJRG3SAeoBQVVfeXFMTWZXYWV5SkZrX2V2MWg1QlVRcEFpOVk4NzBRSXB6bTlwbGl6ZzBSTkxxTm5TVFcxcm8ta0psS0ZXNDJPZU5HV3N0MmhRN09DQUxyajNMczU3NmhUcWVkZTN0dlNKVDVJbDRjU3NkSjJvM1dxMTVzZVQzRThEXzNWX1dOalVoUVhlZ0l2azFJWmFzVTRvajhKckRmblM0b3pLdExJU2luN3A1cU9BLUpma0h6c2RVREVQOHExME5zTHh3bE5TNWVWTTRha2xNRzgwQ3NXVk5reDNJLWd3U1JyTmFIOVpldXFBcTdR?oc=5
REMSONSIND,Remsons Industries Limited,"Remsons Industries Reports Mixed Q2 Results, Expands Through Strategic Investments - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPNFpiVXlxQWs2Z05jTFpBSUd5RUp5NFFUWkdzWi1aVjJaSEIxX2twMXlUdWhMWVNVanlTRmMyTVgyYVpkLTh2UW1RU0RNZy14QldHSmtjeTJZandhT2tkNEQzdHJLY0RvVEpfdHd2dWJuUFFGaE81cDRWQjJvWWVYMnBfQlRTaFRIS0t2clhWLS1ZNGNyMlMzUjdrMWg3RHl0alNPMXphaUlIUExMejU5WjZPYVBmWnpSMmx0THllX1Jab2RvS2E4a1d4RUxvNDE2bUFn?oc=5"" target=""_blank"">Remsons Industries Reports Mixed Q2 Results, Expands Through Strategic Investments</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-13 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPNFpiVXlxQWs2Z05jTFpBSUd5RUp5NFFUWkdzWi1aVjJaSEIxX2twMXlUdWhMWVNVanlTRmMyTVgyYVpkLTh2UW1RU0RNZy14QldHSmtjeTJZandhT2tkNEQzdHJLY0RvVEpfdHd2dWJuUFFGaE81cDRWQjJvWWVYMnBfQlRTaFRIS0t2clhWLS1ZNGNyMlMzUjdrMWg3RHl0alNPMXphaUlIUExMejU5WjZPYVBmWnpSMmx0THllX1Jab2RvS2E4a1d4RUxvNDE2bUFn?oc=5
REMSONSIND,Remsons Industries Limited,Remsons Industries Plans Virtual Analyst Meet at Arihant Capital Conference - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxNMExRcXJILVhTUFNIaUZrQm9seHFXd1J3aXIwd3NiYXUwSEhWbzRKYmthSjRMV010Q2Z3bFRDT3hodl9QbmtSTF8xajR0ajA3bk4xR2g0dzBxelN1Nm02eWIxSWoxUmp0cGRVcUxPZ3FhNktIZ2RWUjljOHRQQWc0TW9zcmFzaDNGb0lmWUtwbnhxZ1NzdHMySEpyN1VpVnl6YWxVTmowT0FfVXRtU19NbXhXemY4NXlGeWpYcHZDUmRjQ2ZvOFE?oc=5"" target=""_blank"">Remsons Industries Plans Virtual Analyst Meet at Arihant Capital Conference</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2026-03-04 09:27:35,TipRanks,https://news.google.com/rss/articles/CBMixgFBVV95cUxNMExRcXJILVhTUFNIaUZrQm9seHFXd1J3aXIwd3NiYXUwSEhWbzRKYmthSjRMV010Q2Z3bFRDT3hodl9QbmtSTF8xajR0ajA3bk4xR2g0dzBxelN1Nm02eWIxSWoxUmp0cGRVcUxPZ3FhNktIZ2RWUjljOHRQQWc0TW9zcmFzaDNGb0lmWUtwbnhxZ1NzdHMySEpyN1VpVnl6YWxVTmowT0FfVXRtU19NbXhXemY4NXlGeWpYcHZDUmRjQ2ZvOFE?oc=5
REMSONSIND,Remsons Industries Limited,Remsons Industries Secures INR 300 Crore Order from Stellantis North America - Autocar Professional,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxQdWxqTmpxTzNqWVM2OVBla185MmRMMTBMYVJLRWpDRUVZVXc4akVOM05MRkFMY195b1RydTVLZTNRWWJna0ZvM0otUzU4UHlZa0h5YnBCdzZ6NFJMdEE1aDVHWE1HSldqUHJFYVBXanAwbEFwX3JBTWc5S29iUDdzUDBQRGo3ckxnLVpFbEtMbkVCd1Jaa1dSeHdEMEZqanpMMWZHZ0dZVktMQVA2bGhDbEVvUVnSAbwBQVVfeXFMT09FNm0zVXN6aDllS25vQ2g2M3R0OC1PVmFyREVYUXA2MGJuX3ZVa3lUVFR2a1RDLVhUaFNZOVFQX084aEVOdFgzSkhwbmpJYm5xbFduNGo0NW91WHVNWVVWcEc4c3FQeV9IbndUTGprR3llYXV5UDE2bDgzTEdjSUpvVXVxVDFnaVBCbFFkUEdOT3Zybm41aWVWc0JqSGFYbVJlZXdWdTlwX1IxMl9PLWZMbElPY2l4RldMMGU?oc=5"" target=""_blank"">Remsons Industries Secures INR 300 Crore Order from Stellantis North America</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Autocar Professional</font>",2025-05-15 07:00:00,Autocar Professional,https://news.google.com/rss/articles/CBMitAFBVV95cUxQdWxqTmpxTzNqWVM2OVBla185MmRMMTBMYVJLRWpDRUVZVXc4akVOM05MRkFMY195b1RydTVLZTNRWWJna0ZvM0otUzU4UHlZa0h5YnBCdzZ6NFJMdEE1aDVHWE1HSldqUHJFYVBXanAwbEFwX3JBTWc5S29iUDdzUDBQRGo3ckxnLVpFbEtMbkVCd1Jaa1dSeHdEMEZqanpMMWZHZ0dZVktMQVA2bGhDbEVvUVnSAbwBQVVfeXFMT09FNm0zVXN6aDllS25vQ2g2M3R0OC1PVmFyREVYUXA2MGJuX3ZVa3lUVFR2a1RDLVhUaFNZOVFQX084aEVOdFgzSkhwbmpJYm5xbFduNGo0NW91WHVNWVVWcEc4c3FQeV9IbndUTGprR3llYXV5UDE2bDgzTEdjSUpvVXVxVDFnaVBCbFFkUEdOT3Zybm41aWVWc0JqSGFYbVJlZXdWdTlwX1IxMl9PLWZMbElPY2l4RldMMGU?oc=5
REMSONSIND,Remsons Industries Limited,"Remsons Explains Delay, Downplays Impact of Rs 4.91 Crore Tax Disallowance Order - TipRanks","<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxPWUllb2FfazZNM0RycEdUc2N5ZUx6eUt6Q0NMU01JMmRpYkV1UG5IV2t1dE5Wdm9jenFVNlRsRmU4SFBTZ0FzanVWRlVKSkRCRl9wc3FqUHl5ZW5fWnpzUzFITlFiTEE1MmJsOWRPVTZna0c4OHZJQ0l3VWQ3V3N5ZkR6SksxaXlEZHcyc0xaZ2pvV0tqdWdkYlJwc1FiZUlldTlTYmZFMGdxRE9qQ2x4UExQZHF2eENjVW1ZSmJjWk5RQ0JQc1I3WWZMYw?oc=5"" target=""_blank"">Remsons Explains Delay, Downplays Impact of Rs 4.91 Crore Tax Disallowance Order</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2026-02-27 16:44:46,TipRanks,https://news.google.com/rss/articles/CBMiywFBVV95cUxPWUllb2FfazZNM0RycEdUc2N5ZUx6eUt6Q0NMU01JMmRpYkV1UG5IV2t1dE5Wdm9jenFVNlRsRmU4SFBTZ0FzanVWRlVKSkRCRl9wc3FqUHl5ZW5fWnpzUzFITlFiTEE1MmJsOWRPVTZna0c4OHZJQ0l3VWQ3V3N5ZkR6SksxaXlEZHcyc0xaZ2pvV0tqdWdkYlJwc1FiZUlldTlTYmZFMGdxRE9qQ2x4UExQZHF2eENjVW1ZSmJjWk5RQ0JQc1I3WWZMYw?oc=5
REMSONSIND,Remsons Industries Limited,Remsons Industries Shares Skyrocketed 17% on Receiving Order Worth Rs 300 Crore - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxQZ2FBRDJvZGI2QVdmM0RRemRtSEtJb1VfQTdFWGFUdGIyNjhHYnlNSDhGaVVBWE0xcDFRaUs2dWRXMkRHaW5iZjg1NDBnLUxHQTFlNUFLSTlBQW10aE9EdUNNcmRhSjloZ0l2TmZTWGd5SlU4ZXVzSGt1dS15U2k1OFVPV0ctcGlfcmoyMDV4eGVMTF8tZklIYTllVEtZclZtMU15TGtXd0xreW1I?oc=5"" target=""_blank"">Remsons Industries Shares Skyrocketed 17% on Receiving Order Worth Rs 300 Crore</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2025-05-15 07:00:00,Equitypandit,https://news.google.com/rss/articles/CBMirAFBVV95cUxQZ2FBRDJvZGI2QVdmM0RRemRtSEtJb1VfQTdFWGFUdGIyNjhHYnlNSDhGaVVBWE0xcDFRaUs2dWRXMkRHaW5iZjg1NDBnLUxHQTFlNUFLSTlBQW10aE9EdUNNcmRhSjloZ0l2TmZTWGd5SlU4ZXVzSGt1dS15U2k1OFVPV0ctcGlfcmoyMDV4eGVMTF8tZklIYTllVEtZclZtMU15TGtXd0xreW1I?oc=5
REMSONSIND,Remsons Industries Limited,Remsons Industries shares fly 17% on deal win; check other details here - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQNGxaMVpENURhYXV5Q0ZnV3d5SFY0LXdGUzh5R3dvNzNuSkZNRGJHWWJHOUhYOTMxaTFNOHV2alpaVldQQTVRZlg1NzhMUjVWUmZfVTdYY0lCOURiWXFmeUh2dHA3QldGcEF6TzFzR25kLTVRRnluSzhLWHdaYTRwSXdmWDBiQ0NYemFkY053anBGRkdzNzVyd1BhNXNCWEE0U204WlRtNGdNZXYxSWFWTHVjUlBXa3hOamw1Um9idmZlYUc2ZVNBZ04zbDRYS25XMWfSAdcBQVVfeXFMUE10T3NIZkNZSG4zLVdySW1BcE95QlVROUx6WVBuQ2ZFZWZwekRDUy1mWDduZEdtWWhRU2Vnd3ZSeThtbUMxbTNJd3ZHUWdiaEN2S2VoTzdSeDhVc1VUQ0ZwVUlTNXozWkFyOHhYZUZhLUxtd3BIa01Ib3RDendmV2ZQU1ZERUFCMUNHeF9vMWpLcmdDQTBET0pseTRsUkF3czRDa2VuU21mNzlpR25fQnkxNWRKb0tTSXVhUU9kYVkzT3pNTUFoczAtX3N5Q1NqTEZHWG9jc00?oc=5"" target=""_blank"">Remsons Industries shares fly 17% on deal win; check other details here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-05-15 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQNGxaMVpENURhYXV5Q0ZnV3d5SFY0LXdGUzh5R3dvNzNuSkZNRGJHWWJHOUhYOTMxaTFNOHV2alpaVldQQTVRZlg1NzhMUjVWUmZfVTdYY0lCOURiWXFmeUh2dHA3QldGcEF6TzFzR25kLTVRRnluSzhLWHdaYTRwSXdmWDBiQ0NYemFkY053anBGRkdzNzVyd1BhNXNCWEE0U204WlRtNGdNZXYxSWFWTHVjUlBXa3hOamw1Um9idmZlYUc2ZVNBZ04zbDRYS25XMWfSAdcBQVVfeXFMUE10T3NIZkNZSG4zLVdySW1BcE95QlVROUx6WVBuQ2ZFZWZwekRDUy1mWDduZEdtWWhRU2Vnd3ZSeThtbUMxbTNJd3ZHUWdiaEN2S2VoTzdSeDhVc1VUQ0ZwVUlTNXozWkFyOHhYZUZhLUxtd3BIa01Ib3RDendmV2ZQU1ZERUFCMUNHeF9vMWpLcmdDQTBET0pseTRsUkF3czRDa2VuU21mNzlpR25fQnkxNWRKb0tTSXVhUU9kYVkzT3pNTUFoczAtX3N5Q1NqTEZHWG9jc00?oc=5
REMSONSIND,Remsons Industries Limited,"Remsons Ind Standalone September 2024 Net Sales at Rs 72.98 crore, up 17.24% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxQUzZsd2o4bFZhVlcyY1FoVDJiOW9Sajlha3g3OGxpUHh1TURjNTNKUzN2RWE3bDY4dmtiNjFIQnJQNEc3RllZYVZBcDhPVTdrWFJPdGxDVml2Y2ZVYjVfY0xfVXhncWRVZGg1bVZEMkIzemx6RlZKUzQtNVJLdUxwWi1tOXFEQUNQaGl2bUFXaFZoMzR0SjZ5Z2pHU2lOSG10aXlaem55Sy12OTRoUDlsZk5CdkJRTmdCM0w1SmRNbnZiNlNYSDVLXzRDMVRTaUY5ZGhQZEt1cnRTcURtb1FJ0gHkAUFVX3lxTE9lVWZyRHlxOHhpb25FTC1BNWV1eXZQclZLM3h4N0RtRVVqc21mTHhnbkh6UHZzSmhhNkdHSU5MbEY5bVVmQVhNU05veWdROHRqMEIxMHgxNW1DT3YzV3YyREJzRWtRUFB1eFV5LTZmU2FQWGdPVE1oRW5RZWhWbDkyVEJMbTZwX1lCNEc2eV9URGZLUmxBUTBxT1RoX2k2RE5MMW54OTZiQTM5aUFfZEI2akwxOUpIcDlFeE8xcWlNalZCUEdudjd5QkpoN3FNLUZZODRPZUFJcGY0ZFZ3bElDd2pkRg?oc=5"" target=""_blank"">Remsons Ind Standalone September 2024 Net Sales at Rs 72.98 crore, up 17.24% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2024-11-20 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQUzZsd2o4bFZhVlcyY1FoVDJiOW9Sajlha3g3OGxpUHh1TURjNTNKUzN2RWE3bDY4dmtiNjFIQnJQNEc3RllZYVZBcDhPVTdrWFJPdGxDVml2Y2ZVYjVfY0xfVXhncWRVZGg1bVZEMkIzemx6RlZKUzQtNVJLdUxwWi1tOXFEQUNQaGl2bUFXaFZoMzR0SjZ5Z2pHU2lOSG10aXlaem55Sy12OTRoUDlsZk5CdkJRTmdCM0w1SmRNbnZiNlNYSDVLXzRDMVRTaUY5ZGhQZEt1cnRTcURtb1FJ0gHkAUFVX3lxTE9lVWZyRHlxOHhpb25FTC1BNWV1eXZQclZLM3h4N0RtRVVqc21mTHhnbkh6UHZzSmhhNkdHSU5MbEY5bVVmQVhNU05veWdROHRqMEIxMHgxNW1DT3YzV3YyREJzRWtRUFB1eFV5LTZmU2FQWGdPVE1oRW5RZWhWbDkyVEJMbTZwX1lCNEc2eV9URGZLUmxBUTBxT1RoX2k2RE5MMW54OTZiQTM5aUFfZEI2akwxOUpIcDlFeE8xcWlNalZCUEdudjd5QkpoN3FNLUZZODRPZUFJcGY0ZFZ3bElDd2pkRg?oc=5
