scrip,company,headline,summary,published_date,source,url
RICOAUTO,Rico Auto Industries Limited,"Rico Auto Industries (NSE:RICOAUTO) delivers shareholders stellar 24% CAGR over 5 years, surging 13% in the last week alone - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPdG5yVjlvS1BNUGQ4a2NVVVdwMkVjeXJJVEZ3eE5KTnktelRzZjZzMFlVRjh6WXpJajh0U0FkUFpZUk1mUm12RlBKZkFlbjlwU0hic19pSm81SHoweS1QdGFBcnRiR0J5eGFxWHNmYWYwTTk2MWZsenVXVm96S2JHMFNERkJWbGlMRlE5QkE4SUM1WGNWVDk5c285dEctNUxjSF8tNUlKakxETzhkTmZucEV1Rk1HSW9wUVpxTDdLbEY2bGtjSmRxVWlnQmw2cTJlUjBWWDg1a0FrTVpkek5ZM1FveFk?oc=5"" target=""_blank"">Rico Auto Industries (NSE:RICOAUTO) delivers shareholders stellar 24% CAGR over 5 years, surging 13% in the last week alone</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-13 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPdG5yVjlvS1BNUGQ4a2NVVVdwMkVjeXJJVEZ3eE5KTnktelRzZjZzMFlVRjh6WXpJajh0U0FkUFpZUk1mUm12RlBKZkFlbjlwU0hic19pSm81SHoweS1QdGFBcnRiR0J5eGFxWHNmYWYwTTk2MWZsenVXVm96S2JHMFNERkJWbGlMRlE5QkE4SUM1WGNWVDk5c285dEctNUxjSF8tNUlKakxETzhkTmZucEV1Rk1HSW9wUVpxTDdLbEY2bGtjSmRxVWlnQmw2cTJlUjBWWDg1a0FrTVpkek5ZM1FveFk?oc=5
RICOAUTO,Rico Auto Industries Limited,Rico Auto Q2 Profit Rises 12.8% to ₹17.7 Cr; Stock Jumps 7.9% - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTFBPbWM5eGpndGpZcWhobk1tN0N0bkNxX1pKeUkxQkgxUXBzMlZIX1Q3SWxOUmxnM1VWZXFueDVteF9KMGRETmZxbUpPYU1MZ0liVTJsaDgwa1BmSEpHN3c?oc=5"" target=""_blank"">Rico Auto Q2 Profit Rises 12.8% to ₹17.7 Cr; Stock Jumps 7.9%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-11-12 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBPbWM5eGpndGpZcWhobk1tN0N0bkNxX1pKeUkxQkgxUXBzMlZIX1Q3SWxOUmxnM1VWZXFueDVteF9KMGRETmZxbUpPYU1MZ0liVTJsaDgwa1BmSEpHN3c?oc=5
RICOAUTO,Rico Auto Industries Limited,Rico Auto Industries (RICOAUTO.NS) Sees High Volume Surge with 15.6% Price Increase – What's Driving the Market? - Meyka,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPNU1tbkdpVnVKeS13OE1ncHNlZDQwQVNNQ0tSY0tVSmpidVRVUGpiRktPUlBQNndWdHY4QjU5N0ktZWE3eFVXNkhBWDZOUVh5OV9IaGc4bW1VbXgyZ2pHanZlRVdZOEE2SEh0YndfQ0V5MWRSV3Z0bW1DNDJtZkpkWW1CSmhxVHd3em05TUZOeUtzVlJ6clZUVl9MeVV4czM2Y21ZTmFBMVZBUHZnUGhpeE55bkFBZGRLbWdwai1pYmIzOGIyNTh2akd0ejQ?oc=5"" target=""_blank"">Rico Auto Industries (RICOAUTO.NS) Sees High Volume Surge with 15.6% Price Increase – What's Driving the Market?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2025-12-12 08:00:00,Meyka,https://news.google.com/rss/articles/CBMizAFBVV95cUxPNU1tbkdpVnVKeS13OE1ncHNlZDQwQVNNQ0tSY0tVSmpidVRVUGpiRktPUlBQNndWdHY4QjU5N0ktZWE3eFVXNkhBWDZOUVh5OV9IaGc4bW1VbXgyZ2pHanZlRVdZOEE2SEh0YndfQ0V5MWRSV3Z0bW1DNDJtZkpkWW1CSmhxVHd3em05TUZOeUtzVlJ6clZUVl9MeVV4czM2Y21ZTmFBMVZBUHZnUGhpeE55bkFBZGRLbWdwai1pYmIzOGIyNTh2akd0ejQ?oc=5
RICOAUTO,Rico Auto Industries Limited,Rico Auto Industries Stock Hits Fresh 52‑Week High After Q2 FY26 Earnings: Can the RICOAUTO Rally Last? - TechStock²,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOUlp6OVlpV1ZmZ18tWmo5X3VCNlFYU3ZoSkhZSjg0OXJtaGpRWi1mZElBbEhHODlkbE41OEZVUTU3TjFWemw0QjZuYnMxOEM1Z25Id1J2M0hQQUZleEhIZWZyOHRxbU5BZkZGX3lqM3B0T2d5NTlUNkpiRVN0dVRPNE84M3ZoRWJSa0VEQy1ma1RZTndYLWVfWFBadHVtTjRSRzg2RE9mVmE5dnFyZFFXd1VndVN0a2JfZ0Y2ZmpwV0s0bmRocEZqX3VR?oc=5"" target=""_blank"">Rico Auto Industries Stock Hits Fresh 52‑Week High After Q2 FY26 Earnings: Can the RICOAUTO Rally Last?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TechStock²</font>",2025-12-01 08:00:00,TechStock²,https://news.google.com/rss/articles/CBMiygFBVV95cUxOUlp6OVlpV1ZmZ18tWmo5X3VCNlFYU3ZoSkhZSjg0OXJtaGpRWi1mZElBbEhHODlkbE41OEZVUTU3TjFWemw0QjZuYnMxOEM1Z25Id1J2M0hQQUZleEhIZWZyOHRxbU5BZkZGX3lqM3B0T2d5NTlUNkpiRVN0dVRPNE84M3ZoRWJSa0VEQy1ma1RZTndYLWVfWFBadHVtTjRSRzg2RE9mVmE5dnFyZFFXd1VndVN0a2JfZ0Y2ZmpwV0s0bmRocEZqX3VR?oc=5
RICOAUTO,Rico Auto Industries Limited,Rico Auto Industries Sees Exceptional Trading Volume Amidst Volatile Market Activity - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOU2gzVldxMXd5TEpwN2JNZm5KNHdpZHh1UVpQbnc1WlB1S1ZVNlVxVkJneW5ieVR6VDNYcl8wdUJQUkVTd1BRRmFrXy1PR05ELU81Z2JFSUVhd3p6LWF1cncyd2gyek5zbmpodFVLM0R4UC1WRC1YNmpnVU5nVTV4NVVsTHNoUEl4SUxVTHJ2b3JGNmdhLVlOMkUyQnpXQW44aDF2dTVyOUhRUzFFdFQ2bExjeE5ib19nWkV3Y0RrekVSTUVJeF83bHQ0OThfNWlJ?oc=5"" target=""_blank"">Rico Auto Industries Sees Exceptional Trading Volume Amidst Volatile Market Activity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-12-18 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOU2gzVldxMXd5TEpwN2JNZm5KNHdpZHh1UVpQbnc1WlB1S1ZVNlVxVkJneW5ieVR6VDNYcl8wdUJQUkVTd1BRRmFrXy1PR05ELU81Z2JFSUVhd3p6LWF1cncyd2gyek5zbmpodFVLM0R4UC1WRC1YNmpnVU5nVTV4NVVsTHNoUEl4SUxVTHJ2b3JGNmdhLVlOMkUyQnpXQW44aDF2dTVyOUhRUzFFdFQ2bExjeE5ib19nWkV3Y0RrekVSTUVJeF83bHQ0OThfNWlJ?oc=5
RICOAUTO,Rico Auto Industries Limited,"'Buy' Paytm, Bank of Baroda & Rico Auto shares: LKP Securities analyst; Nifty shows short-term weakness - Business Today","<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxQdWEtMEh5Mm9CU25XelRkU1JwbEZSQ1ZRT2w3S2loOTYxTl9wNUpYVEhYVFdZQ3ZfcWEzMmlsV1VuX1ljMUtLR2NPM09IdXdrVnF1ckVTcW1GcG5XNFNrNDBGdmNsU2FOa1RCU01RZWJkTXhpaDFHc211UlJmNXV3Q3ZtT1RaTFVob091djFqUlFoOVV6akhGWWgzNldsQlg4WnNJQWgzRFh2cFJxWFBQYy1KM2VMRThyU1RHTmJOSVN0OWtGTDdyQmEtSUZDLUd1MmdlX2lRMzlJQzlMNTFINFZRb19JTXNuLTBXRVg1MWJMSjJLajZZ0gH8AUFVX3lxTFB6WUFHOF83VmppRUpjQzVQcGh6UmMwQmVoMG9oRjdHWE1GWEdQUVhEZVZTR1RCbG1HeWJUZkU3dU81cmx4M3ZqbEN1X0VNMzhPSzlSSzczT01aa3NaYzhEbnhFUWY1QUhLVUtkWmozQ3dFUTdIZks3Rk1iczh4QlVpcmxTNk9acGR3RTVMRWt6SWVzQ2ZySzByY0FzUmd1aEc1MVRHM3dNNV9KNGNrTzRyYTZwZ1BNZ2JkYkZBWFVmNXh5YktwaHYwUWlqQUlRVDM1ejNSa01fNTd4cnU0UHRTQ0hsOTdmQjFsOXhadFVLNFRVZFlnLWFCTkU1YQ?oc=5"" target=""_blank"">'Buy' Paytm, Bank of Baroda & Rico Auto shares: LKP Securities analyst; Nifty shows short-term weakness</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-12-01 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi9wFBVV95cUxQdWEtMEh5Mm9CU25XelRkU1JwbEZSQ1ZRT2w3S2loOTYxTl9wNUpYVEhYVFdZQ3ZfcWEzMmlsV1VuX1ljMUtLR2NPM09IdXdrVnF1ckVTcW1GcG5XNFNrNDBGdmNsU2FOa1RCU01RZWJkTXhpaDFHc211UlJmNXV3Q3ZtT1RaTFVob091djFqUlFoOVV6akhGWWgzNldsQlg4WnNJQWgzRFh2cFJxWFBQYy1KM2VMRThyU1RHTmJOSVN0OWtGTDdyQmEtSUZDLUd1MmdlX2lRMzlJQzlMNTFINFZRb19JTXNuLTBXRVg1MWJMSjJLajZZ0gH8AUFVX3lxTFB6WUFHOF83VmppRUpjQzVQcGh6UmMwQmVoMG9oRjdHWE1GWEdQUVhEZVZTR1RCbG1HeWJUZkU3dU81cmx4M3ZqbEN1X0VNMzhPSzlSSzczT01aa3NaYzhEbnhFUWY1QUhLVUtkWmozQ3dFUTdIZks3Rk1iczh4QlVpcmxTNk9acGR3RTVMRWt6SWVzQ2ZySzByY0FzUmd1aEc1MVRHM3dNNV9KNGNrTzRyYTZwZ1BNZ2JkYkZBWFVmNXh5YktwaHYwUWlqQUlRVDM1ejNSa01fNTd4cnU0UHRTQ0hsOTdmQjFsOXhadFVLNFRVZFlnLWFCTkU1YQ?oc=5
RICOAUTO,Rico Auto Industries Limited,Rico Auto Industries Limited's (NSE:RICOAUTO) market cap dropped ₹2.5b last week; Individual investors bore the brunt - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxOczh3ekhRTV9wMExVeERKWDQ4aUZmWEtZRG5jcU95RW55YnB6Skl3ZzctY1Vub1dtdDd5WkRRSkVTc0ZaRURnY1k4M2hyRXlBTW5oOVk3QTJqbzdBWE5CUExHLXU5eE9INGxYYXJQRzlHcGJfRHMxRVYzMnRiRzJTNW1pcGxwTzk0NWdxOFlZMnE2YTZwN1ppd2RDWThLdVdEeHhISjJmRHFkS3BVY24yZTNQUjFzYkRqdEpsUUlkdmJOSXpGSnlqbnh2aTd3VE8wYlJYWFFEdXA0NHRSRmlZWlQ4UVl2enc?oc=5"" target=""_blank"">Rico Auto Industries Limited's (NSE:RICOAUTO) market cap dropped ₹2.5b last week; Individual investors bore the brunt</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-09 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOczh3ekhRTV9wMExVeERKWDQ4aUZmWEtZRG5jcU95RW55YnB6Skl3ZzctY1Vub1dtdDd5WkRRSkVTc0ZaRURnY1k4M2hyRXlBTW5oOVk3QTJqbzdBWE5CUExHLXU5eE9INGxYYXJQRzlHcGJfRHMxRVYzMnRiRzJTNW1pcGxwTzk0NWdxOFlZMnE2YTZwN1ppd2RDWThLdVdEeHhISjJmRHFkS3BVY24yZTNQUjFzYkRqdEpsUUlkdmJOSXpGSnlqbnh2aTd3VE8wYlJYWFFEdXA0NHRSRmlZWlQ4UVl2enc?oc=5
RICOAUTO,Rico Auto Industries Limited,Rico Auto Industries Limited (NSE:RICOAUTO) Stock Rockets 28% As Investors Are Less Pessimistic Than Expected - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxOYk9ReDAyY3JKa1AwN3dBVUYzcVNTdkJFeldPNXMwS0ZjbDd0UUd1bi1oUmo5OVhBNU01UGdmZDZENDh2OElmN3Z3NmlVby14YU1SQVdLY3VGWWFPSWZNRjFXRnBoMW8tU0tQclZkTjRCUWp0MTBVTkpWUmNLV2xXTjRPSmxPNXVMZkRBLVNqaVVUY2hsbHFlUnNVTEhaVjZZYnEtUS1fck9GYzUxYXVJa1JIVlVQcE4tU2lIZzg5eWtBcGpSWThYb3hzWFV2SkZpa1ZtSHhKYWV0N043RVE4X0EyclLSAeoBQVVfeXFMTXdsaGczRnhRTTRHNFR2b2hKNTBPVzNVbDRNQmlFVERRSjRUWW5nRmhhVXNVZ3NJSU84VEdHYjByU0JydnJkVGJkRy11cGlqT05vYWhRbDF6eXp4UjRaQVlLa2pvc3lvaXp5N2NJZkdzbFBIcnZ2c2szbFRsR094MndfYzF6SkZoVUxJckF3SjRqUlZlOTdaenpQdUlHQlpTT0xNZWRtVmNWdjY1ZFNMbUtUTlZqMVBSUm92WjhBUlNzZ2gxTDhUeDFDVjdOUXF1X3BkYXd4VExKTHlRS3BiYjh5ZTl5UzB6WE1n?oc=5"" target=""_blank"">Rico Auto Industries Limited (NSE:RICOAUTO) Stock Rockets 28% As Investors Are Less Pessimistic Than Expected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-08 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOYk9ReDAyY3JKa1AwN3dBVUYzcVNTdkJFeldPNXMwS0ZjbDd0UUd1bi1oUmo5OVhBNU01UGdmZDZENDh2OElmN3Z3NmlVby14YU1SQVdLY3VGWWFPSWZNRjFXRnBoMW8tU0tQclZkTjRCUWp0MTBVTkpWUmNLV2xXTjRPSmxPNXVMZkRBLVNqaVVUY2hsbHFlUnNVTEhaVjZZYnEtUS1fck9GYzUxYXVJa1JIVlVQcE4tU2lIZzg5eWtBcGpSWThYb3hzWFV2SkZpa1ZtSHhKYWV0N043RVE4X0EyclLSAeoBQVVfeXFMTXdsaGczRnhRTTRHNFR2b2hKNTBPVzNVbDRNQmlFVERRSjRUWW5nRmhhVXNVZ3NJSU84VEdHYjByU0JydnJkVGJkRy11cGlqT05vYWhRbDF6eXp4UjRaQVlLa2pvc3lvaXp5N2NJZkdzbFBIcnZ2c2szbFRsR094MndfYzF6SkZoVUxJckF3SjRqUlZlOTdaenpQdUlHQlpTT0xNZWRtVmNWdjY1ZFNMbUtUTlZqMVBSUm92WjhBUlNzZ2gxTDhUeDFDVjdOUXF1X3BkYXd4VExKTHlRS3BiYjh5ZTl5UzB6WE1n?oc=5
RICOAUTO,Rico Auto Industries Limited,RICOAUTO Share Price | Rico Auto Industries Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTE8yRm11WWRROVotNnVqUlhjU05oZWNnX2dhbWY0MlZCdWRjbGRvVlZ3b0hyU2k1MVliR2t2SGdGanM2cmJOb1Z6UDBlLVM3TlBIUC1GT0cyZFlSLWVNZnBXcVRZb2ZpVmNMd1RCTnp2TEQ0cXk0MXc?oc=5"" target=""_blank"">RICOAUTO Share Price | Rico Auto Industries Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-06-20 16:56:49,Markets Mojo,https://news.google.com/rss/articles/CBMidkFVX3lxTE8yRm11WWRROVotNnVqUlhjU05oZWNnX2dhbWY0MlZCdWRjbGRvVlZ3b0hyU2k1MVliR2t2SGdGanM2cmJOb1Z6UDBlLVM3TlBIUC1GT0cyZFlSLWVNZnBXcVRZb2ZpVmNMd1RCTnp2TEQ0cXk0MXc?oc=5
RICOAUTO,Rico Auto Industries Limited,Here's What We Like About Rico Auto Industries' (NSE:RICOAUTO) Upcoming Dividend - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQVGtlemJGMzZUNzdZc216dVR1cHhFb2tHQ29hc2FRNUFkOG1DcDhnUVhLblEtNnA2aWtHUzJqczFlUG0zamtfVHM5NFAzMVlJaFdDQzhtWllDMG1qelMzcEVrTjZxNnhuazJldnNSX2ZoblozWjJIU2hjVkVFRE9BN3JVaXNveDZVbXNYQUJrNWJfc25VY2xDdEZBY1U2TUFWVW15emdkVVIwb0taTU9jeDBOaEN4WXRRanpYY0piVHUxS3N1NGFpai1xUlhVNnlnWjU0Z0pmcXRubnFXanV5UnJwdVbSAeoBQVVfeXFMTTZfblBDZ09BMjUtUEVnZHJWLU5OVVFuUm1WTzhJOHlzS1FTTUcyNTZWOUZvdXhaVFNIVXROUWJzSllOeHFnR0ZlQVA3VkRDeVZSSFZFMWM5N0h6WnQ1Zk1EUEZhN3M2alFYRHZ4aVNJU3VwYTJFUXFhRUtKaTV4T2E2YjR5aVB1LTRaVkFtdkQtWHQzcnQ4U080MzJyOWgycDhvQ3hyRjlsY0swb1NzTzc0WTdMYU1WSWN4aVZpODRvcVpFMUhQME94SEhhMlpzY1BDLWNVamJRZksxeXRzRHY3enVkU1BldnlR?oc=5"" target=""_blank"">Here's What We Like About Rico Auto Industries' (NSE:RICOAUTO) Upcoming Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-05 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQVGtlemJGMzZUNzdZc216dVR1cHhFb2tHQ29hc2FRNUFkOG1DcDhnUVhLblEtNnA2aWtHUzJqczFlUG0zamtfVHM5NFAzMVlJaFdDQzhtWllDMG1qelMzcEVrTjZxNnhuazJldnNSX2ZoblozWjJIU2hjVkVFRE9BN3JVaXNveDZVbXNYQUJrNWJfc25VY2xDdEZBY1U2TUFWVW15emdkVVIwb0taTU9jeDBOaEN4WXRRanpYY0piVHUxS3N1NGFpai1xUlhVNnlnWjU0Z0pmcXRubnFXanV5UnJwdVbSAeoBQVVfeXFMTTZfblBDZ09BMjUtUEVnZHJWLU5OVVFuUm1WTzhJOHlzS1FTTUcyNTZWOUZvdXhaVFNIVXROUWJzSllOeHFnR0ZlQVA3VkRDeVZSSFZFMWM5N0h6WnQ1Zk1EUEZhN3M2alFYRHZ4aVNJU3VwYTJFUXFhRUtKaTV4T2E2YjR5aVB1LTRaVkFtdkQtWHQzcnQ4U080MzJyOWgycDhvQ3hyRjlsY0swb1NzTzc0WTdMYU1WSWN4aVZpODRvcVpFMUhQME94SEhhMlpzY1BDLWNVamJRZksxeXRzRHY3enVkU1BldnlR?oc=5
