scrip,company,headline,summary,published_date,source,url
SAKAR,Sakar Healthcare Limited,Subdued Growth No Barrier To Sakar Healthcare Limited (NSE:SAKAR) With Shares Advancing 31% - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxPMGNYUjN1MlJWSE1Sb3FDakFBZWw1N1lLdHlWeU02VF9nZ0dGMkp1RWlaRmpoekRBeE1vTWVfaVZQb0tYQmpuT09RQ1JOMU1HQ1puZDk0bnJTWG5jakxib0ZwRmxHempZaHprOVVUMkZnaGpPa0JuWUxkcGJveVlYbmVXdU5ZY0hkSXJFanhWdElDdW5WejFXNW43TzRpQzRmQjRTZ2hzaGpqUUQ2djdkZ2t6MEJnUnMyLUhLbTR1WlpMWnVZOXlrbG1pWnQtQXVvOUJjUkRMYUZYUVd3bkZTUFBsbEdURFJMaFlR0gHwAUFVX3lxTE1UOEEtTnRCd2V0NVZsckxCd3JMX0xiZVRLMEZmZThOd2JnVUYzQ0lMeXJKNmVWSE1HTGFJeTM3ZjBua1R6S29CRm4tdmtXQUhISUFRY3h4MWNQV0dRUjBOV25rb2Q1eWJocF9xbzd2SXQyQWJERWtlWEoyN1h2Qk94WUN6TnhwNU1xMXRVZ0w1NkZHVE8xLXdEdS1CN3VNTWlFUVl6ejBQY2lSd0gwMEg2bE16Q2dkVldvRW5qY1Z2em12TTZMc2IxVDlVdHRUR09DMWdWT3VIbHlib0Jyc1gzQmdlYXFVYXYxdXBNMGFUSA?oc=5"" target=""_blank"">Subdued Growth No Barrier To Sakar Healthcare Limited (NSE:SAKAR) With Shares Advancing 31%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-10 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPMGNYUjN1MlJWSE1Sb3FDakFBZWw1N1lLdHlWeU02VF9nZ0dGMkp1RWlaRmpoekRBeE1vTWVfaVZQb0tYQmpuT09RQ1JOMU1HQ1puZDk0bnJTWG5jakxib0ZwRmxHempZaHprOVVUMkZnaGpPa0JuWUxkcGJveVlYbmVXdU5ZY0hkSXJFanhWdElDdW5WejFXNW43TzRpQzRmQjRTZ2hzaGpqUUQ2djdkZ2t6MEJnUnMyLUhLbTR1WlpMWnVZOXlrbG1pWnQtQXVvOUJjUkRMYUZYUVd3bkZTUFBsbEdURFJMaFlR0gHwAUFVX3lxTE1UOEEtTnRCd2V0NVZsckxCd3JMX0xiZVRLMEZmZThOd2JnVUYzQ0lMeXJKNmVWSE1HTGFJeTM3ZjBua1R6S29CRm4tdmtXQUhISUFRY3h4MWNQV0dRUjBOV25rb2Q1eWJocF9xbzd2SXQyQWJERWtlWEoyN1h2Qk94WUN6TnhwNU1xMXRVZ0w1NkZHVE8xLXdEdS1CN3VNTWlFUVl6ejBQY2lSd0gwMEg2bE16Q2dkVldvRW5qY1Z2em12TTZMc2IxVDlVdHRUR09DMWdWT3VIbHlib0Jyc1gzQmdlYXFVYXYxdXBNMGFUSA?oc=5
SAKAR,Sakar Healthcare Limited,Sakar Healthcare Ltd Emerges as a Multibagger with Over 100% Returns - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxPQ1haYzVEckhGQzlRNnQ1aXhKNWFJT2EwOU9sV3RFVzBlR0lIUUk3WmszdE05ZEtacEFXcnh0NkNjODZTV0NEQ3ZUUlItLUVPWUNFQjBRcFZRTEhuYW1VY0ZqQ0JZZExtUHQyTjh6VnV1RjkzYVZNUUg1LWpmMElDRU5qeFdiLU5zRzVLX1AwRjRlcWo1UXIwWG5YZVlYSnJIV3NaUThTamdhUmRTa1RobHZFbkxCcmsydXhnRWZQcW51VWc?oc=5"" target=""_blank"">Sakar Healthcare Ltd Emerges as a Multibagger with Over 100% Returns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-01 18:57:34,Markets Mojo,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPQ1haYzVEckhGQzlRNnQ1aXhKNWFJT2EwOU9sV3RFVzBlR0lIUUk3WmszdE05ZEtacEFXcnh0NkNjODZTV0NEQ3ZUUlItLUVPWUNFQjBRcFZRTEhuYW1VY0ZqQ0JZZExtUHQyTjh6VnV1RjkzYVZNUUg1LWpmMElDRU5qeFdiLU5zRzVLX1AwRjRlcWo1UXIwWG5YZVlYSnJIV3NaUThTamdhUmRTa1RobHZFbkxCcmsydXhnRWZQcW51VWc?oc=5
SAKAR,Sakar Healthcare Limited,Sakar Healthcare Share Price Gains 1% on 9 New Oncology Approvals - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTFB6TFhfYUhkakttTEJIU3ZaaThWT1BIOUVmUkFhN3hTVHZYazhnaDYyYWJvQzI5ZlI4UHM2WGo0a2d3VEZiRFRST2RZX2N2aHZybFYyMkJNVHpzcExYNGdna25aR3g5b0wtbWtSbmdpbl8?oc=5"" target=""_blank"">Sakar Healthcare Share Price Gains 1% on 9 New Oncology Approvals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-11-06 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMicEFVX3lxTFB6TFhfYUhkakttTEJIU3ZaaThWT1BIOUVmUkFhN3hTVHZYazhnaDYyYWJvQzI5ZlI4UHM2WGo0a2d3VEZiRFRST2RZX2N2aHZybFYyMkJNVHpzcExYNGdna25aR3g5b0wtbWtSbmdpbl8?oc=5
SAKAR,Sakar Healthcare Limited,Sakar Healthcare Limited's (NSE:SAKAR) Stock Has Seen Strong Momentum: Does That Call For Deeper Study Of Its Financial Prospects? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxPVVUwcnZBeTVwX2RraHh0NGFpZW9ZY08xWTR5bFRPSERQS1A3ekVBRzBBRTY4SXFRZnp0SURHd1lDd3JhQ1h5RjFxdGotZVM2ZUhpcXRrQzRfcExKTEMtUVZ6cElMUWRjTmxUaUtkZ2NOUk1QT2xGaGhIdWlCYWVnUDg1UHFXWXdaWV9DSm9XcnFSWnd0V1pXbmlscUNvYkxnRTk3QmdZYVNYY0NyUEtGUXZYa0Q2TnJNQ3dNTC1ZTnVxalpHd2VvSFlRLUd2YlIydndvR3FucEN1aGVHYmRsUUxjX2hEOW1CeDgw0gHwAUFVX3lxTE9ZTW1rNmV6b3RjbTJwOXp6Q1pOOVB2MDhCVUZhRi1sNElTeTF6bllNUHhuam9fMHZYS21QUWJjUmRfNmEzUE9KMHRLa2E0NWJpQnRWU1hnYUJsR2xaZTVrOFEzTVY3V2hqZ2RmcXNMeFFIeDI2MzZxRzF1cTVRTE5SdzhLUmw0RHRoM0M2LXRTT0FiR01CLWhMZkNGYVg3MXhXQWg5T0VBV3hDc2NHOTNMT05BTnk0ZTJVX1YxWTc3d0duZWxPbEp0S2FhR3M1YnlZNXpISGc5czFIWnc4TGJmRW84R3FHT2FZMWtHNXFJQQ?oc=5"" target=""_blank"">Sakar Healthcare Limited's (NSE:SAKAR) Stock Has Seen Strong Momentum: Does That Call For Deeper Study Of Its Financial Prospects?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-06 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPVVUwcnZBeTVwX2RraHh0NGFpZW9ZY08xWTR5bFRPSERQS1A3ekVBRzBBRTY4SXFRZnp0SURHd1lDd3JhQ1h5RjFxdGotZVM2ZUhpcXRrQzRfcExKTEMtUVZ6cElMUWRjTmxUaUtkZ2NOUk1QT2xGaGhIdWlCYWVnUDg1UHFXWXdaWV9DSm9XcnFSWnd0V1pXbmlscUNvYkxnRTk3QmdZYVNYY0NyUEtGUXZYa0Q2TnJNQ3dNTC1ZTnVxalpHd2VvSFlRLUd2YlIydndvR3FucEN1aGVHYmRsUUxjX2hEOW1CeDgw0gHwAUFVX3lxTE9ZTW1rNmV6b3RjbTJwOXp6Q1pOOVB2MDhCVUZhRi1sNElTeTF6bllNUHhuam9fMHZYS21QUWJjUmRfNmEzUE9KMHRLa2E0NWJpQnRWU1hnYUJsR2xaZTVrOFEzTVY3V2hqZ2RmcXNMeFFIeDI2MzZxRzF1cTVRTE5SdzhLUmw0RHRoM0M2LXRTT0FiR01CLWhMZkNGYVg3MXhXQWg5T0VBV3hDc2NHOTNMT05BTnk0ZTJVX1YxWTc3d0duZWxPbEp0S2FhR3M1YnlZNXpISGc5czFIWnc4TGJmRW84R3FHT2FZMWtHNXFJQQ?oc=5
SAKAR,Sakar Healthcare Limited,Sakar Healthcare Shares Rally 4% on 9 Cancer Drug Approvals - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxPbU1HYjlEbTdQMC0zcnhQYmh2MkNEaTlxNmYzTklNN2s5XzdSY3ZaM013YTZpWkxkOGZ3RWNVSWJIR19PN3FoUUNHbnV2RUtiZ3RnZUdPVllRNzBBWDFyRmllejNuS3lrR3NuSFd2b000ZmhuX095aWoydUI4ekM3QWpRTFFaaUs2MThaTXJjYVZKQQ?oc=5"" target=""_blank"">Sakar Healthcare Shares Rally 4% on 9 Cancer Drug Approvals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2025-11-07 08:00:00,Equitypandit,https://news.google.com/rss/articles/CBMikgFBVV95cUxPbU1HYjlEbTdQMC0zcnhQYmh2MkNEaTlxNmYzTklNN2s5XzdSY3ZaM013YTZpWkxkOGZ3RWNVSWJIR19PN3FoUUNHbnV2RUtiZ3RnZUdPVllRNzBBWDFyRmllejNuS3lrR3NuSFd2b000ZmhuX095aWoydUI4ekM3QWpRTFFaaUs2MThaTXJjYVZKQQ?oc=5
SAKAR,Sakar Healthcare Limited,Sakar Healthcare Ltd is Rated Buy by MarketsMOJO - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxPcXVheGIzVklwWWswckE2OEktZEpkZ3U3YmZoZ1kxWlNqMVJnQ2taenhkeDNxT2NERWJlSjV4OG5VRy1KVTREdjhrak5rdU1UV2V3Qms2WFVKS1NkLVZaTG82SEU2OHU3YUZ1Q3l6UUlTVEx5dUZVNkc5UkxnUW9zWEhLeHdEUXU2SVNBWVozWFdWcFE4R2FvQkZ0RTlFUXpiVzhQYkxsTHEwQ3Vwc2VV?oc=5"" target=""_blank"">Sakar Healthcare Ltd is Rated Buy by MarketsMOJO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-14 05:35:54,Markets Mojo,https://news.google.com/rss/articles/CBMirwFBVV95cUxPcXVheGIzVklwWWswckE2OEktZEpkZ3U3YmZoZ1kxWlNqMVJnQ2taenhkeDNxT2NERWJlSjV4OG5VRy1KVTREdjhrak5rdU1UV2V3Qms2WFVKS1NkLVZaTG82SEU2OHU3YUZ1Q3l6UUlTVEx5dUZVNkc5UkxnUW9zWEhLeHdEUXU2SVNBWVozWFdWcFE4R2FvQkZ0RTlFUXpiVzhQYkxsTHEwQ3Vwc2VV?oc=5
SAKAR,Sakar Healthcare Limited,Sakar Healthcare Expands Cancer Treatment Portfolio with Nine New Authorizations - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxOcDExaVhNNS1udUtGak9HU095a0x1cXBRX3d0dlBfOGlENDRvTWJHd3ZXNEZHQXc2TmFobi1JRlpzOFZqWk5Tclc5cVMwVWFvUmJhV1Nway1idllmbEZ2ano2MV96WFJpSlQtTFhUZGlrdjJfWmphUlk1N1EtcFg1cVJfTTZCWm1leDlraXhrM1czQ1ZwN09QeXBTSE5sVGdTVUh6Yi1iVllINHoycTBlSm5BaGtwT0Y2Zi1meHRXd0hKT0s3ek8xSmJ3LVk1X3dzVEZwMDdDblVUdzIxTGc?oc=5"" target=""_blank"">Sakar Healthcare Expands Cancer Treatment Portfolio with Nine New Authorizations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-05 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOcDExaVhNNS1udUtGak9HU095a0x1cXBRX3d0dlBfOGlENDRvTWJHd3ZXNEZHQXc2TmFobi1JRlpzOFZqWk5Tclc5cVMwVWFvUmJhV1Nway1idllmbEZ2ano2MV96WFJpSlQtTFhUZGlrdjJfWmphUlk1N1EtcFg1cVJfTTZCWm1leDlraXhrM1czQ1ZwN09QeXBTSE5sVGdTVUh6Yi1iVllINHoycTBlSm5BaGtwT0Y2Zi1meHRXd0hKT0s3ek8xSmJ3LVk1X3dzVEZwMDdDblVUdzIxTGc?oc=5
SAKAR,Sakar Healthcare Limited,Sakar Healthcare Q1FY26 Profit Surges 94% YoY to ₹4.67 Cr - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxOelhZMjNZUVMtaUVkU3BHbG5ZSXV1MmZvUU1GcV9uanF3N2wzLVlaS1pkcnBQZVRmSXdkT2FPbENDanZIMDhMRmhKS0pvWGhBdEpjWUk1RVFwMlh0WDB3cG0zcTlTSU9GVXcwLUU4dFFjaWU3QzBSZWdUbHhzcTAxeG91OUg3TURldy1UV1dUQjNKNFBIT2c?oc=5"" target=""_blank"">Sakar Healthcare Q1FY26 Profit Surges 94% YoY to ₹4.67 Cr</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-07-25 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMilgFBVV95cUxOelhZMjNZUVMtaUVkU3BHbG5ZSXV1MmZvUU1GcV9uanF3N2wzLVlaS1pkcnBQZVRmSXdkT2FPbENDanZIMDhMRmhKS0pvWGhBdEpjWUk1RVFwMlh0WDB3cG0zcTlTSU9GVXcwLUU4dFFjaWU3QzBSZWdUbHhzcTAxeG91OUg3TURldy1UV1dUQjNKNFBIT2c?oc=5
SAKAR,Sakar Healthcare Limited,Sakar Healthcare Ltd is Rated Buy - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxQTWZrUEtvN1BjQzljbnFvek1feHBRT0Q0NWJvOW4wbERBRDhNeDhONDhoQVVGU3BQa0NHMXlYaEhsSkU1T0t5VTZlN1dzQ1NSUWtEbFJpR0dQZmpZZV9oU3JXWS1Da0ZUY05NNHVndmxlYi11RFphVmZHZ3hDZENzYWtFNG12cVhaOWloX2VpQnRGWkwwXzRSZU5LSQ?oc=5"" target=""_blank"">Sakar Healthcare Ltd is Rated Buy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-25 05:17:55,Markets Mojo,https://news.google.com/rss/articles/CBMimwFBVV95cUxQTWZrUEtvN1BjQzljbnFvek1feHBRT0Q0NWJvOW4wbERBRDhNeDhONDhoQVVGU3BQa0NHMXlYaEhsSkU1T0t5VTZlN1dzQ1NSUWtEbFJpR0dQZmpZZV9oU3JXWS1Da0ZUY05NNHVndmxlYi11RFphVmZHZ3hDZENzYWtFNG12cVhaOWloX2VpQnRGWkwwXzRSZU5LSQ?oc=5
SAKAR,Sakar Healthcare Limited,"The recent 11% gain must have brightened CEO Sanjay Shah's week, Sakar Healthcare Limited's (NSE:SAKAR) most bullish insider - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxNMGtUeEdBYTB0Q3lidkh1MHFIbzhCSWpJVkt6ajdBV3lQRmFwb2UySjRTNGlHVzlTdmhZY0FfaldzUXBiWXRJR3B2R0F1THpCSldscFJ0eVZZYWxDbXlnWTJWQ3plRU1UYUM4OUlNVmJ0M0NtaUw1ckh3S25rclB5UXBnUk9jcTJEYUJ4VXpsLVFRd1B6VmoxWXYxUkhUNjIzOERGNXpBcFZ2WW9heEZuSjFTRFk3X24xdm80azhpczFIbUFtVFBKMTF2OXM1UGFoamgyR0JYNGh4YWZxNzFKSFFmbzZadVFkdjA00gHwAUFVX3lxTE1aZmVrQ2hLT05Od1RQSVZzNU14OTVhRHpHajI4WnhrNFhWei14YjJLTHVyOFVhaTlJdWZoOUptY3kwRFJ3ZlBuSTJiaWRZbm8zeDBDQjd1N0k4LXlJYXhFVksyYWRzRVU3MWcwaUNKRjAzMnkwOHROdEpZUm5Db296YThXaUhCUlJsSlVLVGprUjNSY1NMa3BjQnBPLXNma3YySy0yWVhUUjNRUDdUcjdIdjRQd0FRNGZvZEJIWXFMb096NHZYZXhRcklWYXpzZ2l4LVNoZUpPWHR3a2ZQdEllZEo2VHRWcWRxUlU5QWNrWg?oc=5"" target=""_blank"">The recent 11% gain must have brightened CEO Sanjay Shah's week, Sakar Healthcare Limited's (NSE:SAKAR) most bullish insider</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-12 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNMGtUeEdBYTB0Q3lidkh1MHFIbzhCSWpJVkt6ajdBV3lQRmFwb2UySjRTNGlHVzlTdmhZY0FfaldzUXBiWXRJR3B2R0F1THpCSldscFJ0eVZZYWxDbXlnWTJWQ3plRU1UYUM4OUlNVmJ0M0NtaUw1ckh3S25rclB5UXBnUk9jcTJEYUJ4VXpsLVFRd1B6VmoxWXYxUkhUNjIzOERGNXpBcFZ2WW9heEZuSjFTRFk3X24xdm80azhpczFIbUFtVFBKMTF2OXM1UGFoamgyR0JYNGh4YWZxNzFKSFFmbzZadVFkdjA00gHwAUFVX3lxTE1aZmVrQ2hLT05Od1RQSVZzNU14OTVhRHpHajI4WnhrNFhWei14YjJLTHVyOFVhaTlJdWZoOUptY3kwRFJ3ZlBuSTJiaWRZbm8zeDBDQjd1N0k4LXlJYXhFVksyYWRzRVU3MWcwaUNKRjAzMnkwOHROdEpZUm5Db296YThXaUhCUlJsSlVLVGprUjNSY1NMa3BjQnBPLXNma3YySy0yWVhUUjNRUDdUcjdIdjRQd0FRNGZvZEJIWXFMb096NHZYZXhRcklWYXpzZ2l4LVNoZUpPWHR3a2ZQdEllZEo2VHRWcWRxUlU5QWNrWg?oc=5
