scrip,company,headline,summary,published_date,source,url
SCHAEFFLER,Schaeffler India Limited,Schaeffler India Ltd Hits Intraday Low Amid Price Pressure on 4 Mar 2026 - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOYUhMOE9fREE1OFZwY240RzdUcll0LWZhcUo5alJCOUZMWkRHOXVPaGFIUXBtUDFvMWU3cmhMNTJPcDRNOTFtNGRfazZrRHVVQUtmaERKcEV2N3VjWlB0MjVUNTZ1OTVBZGRiR3VwSjhXR2pwYm04UmpXUlM0Qkg5WkxBNVQ4OW1sR0IzVnc1NElSb2xreVhrb1E5c2d3UDdhTTU3dUlCcDZPMmI2aXJPTkNRN095a2k4UDRSamxJZm5ubmNkd2NSQ3FR?oc=5"" target=""_blank"">Schaeffler India Ltd Hits Intraday Low Amid Price Pressure on 4 Mar 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-04 10:49:14,Markets Mojo,https://news.google.com/rss/articles/CBMiygFBVV95cUxOYUhMOE9fREE1OFZwY240RzdUcll0LWZhcUo5alJCOUZMWkRHOXVPaGFIUXBtUDFvMWU3cmhMNTJPcDRNOTFtNGRfazZrRHVVQUtmaERKcEV2N3VjWlB0MjVUNTZ1OTVBZGRiR3VwSjhXR2pwYm04UmpXUlM0Qkg5WkxBNVQ4OW1sR0IzVnc1NElSb2xreVhrb1E5c2d3UDdhTTU3dUlCcDZPMmI2aXJPTkNRN095a2k4UDRSamxJZm5ubmNkd2NSQ3FR?oc=5
SCHAEFFLER,Schaeffler India Limited,Schaeffler India Opens Special Window for Transfer and Dematerialization of Physical Securities - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPaURHTk55RFpLaTRqTFRYSDVXT1BMelVxNVlkLUh3b2FRSjdBdU5wMjZhRkpRLXBUUkxVSmtsenNJaE9zbXQ4RG5UbVZFSl9hQzBSTXgxQ0JYZXhNM1BTRVU2UEw2d1c2ZkNKTkJWVWhKTVpMaXRJaDdfNXBTVmY0cmM4VlNnR3E0U2NZX0kzTjY0U2dwQ2dzWTg2Y3oybjFMYl9hMEdfVnNrQ2xlaXp4Sks2ZlJoTnBXeVlBTjFqcC1nSlNJNmtwcEtJVTNWMmNjbzZhaTFQWDdCYVpacnR3UlphOA?oc=5"" target=""_blank"">Schaeffler India Opens Special Window for Transfer and Dematerialization of Physical Securities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-03-02 11:20:33,scanx.trade,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPaURHTk55RFpLaTRqTFRYSDVXT1BMelVxNVlkLUh3b2FRSjdBdU5wMjZhRkpRLXBUUkxVSmtsenNJaE9zbXQ4RG5UbVZFSl9hQzBSTXgxQ0JYZXhNM1BTRVU2UEw2d1c2ZkNKTkJWVWhKTVpMaXRJaDdfNXBTVmY0cmM4VlNnR3E0U2NZX0kzTjY0U2dwQ2dzWTg2Y3oybjFMYl9hMEdfVnNrQ2xlaXp4Sks2ZlJoTnBXeVlBTjFqcC1nSlNJNmtwcEtJVTNWMmNjbzZhaTFQWDdCYVpacnR3UlphOA?oc=5
SCHAEFFLER,Schaeffler India Limited,Schaeffler India is firing on all cylinders; exports turbocharge growth - Mint,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOcmN6NWR4YWNVRHlxd1FLdGVpanlxcHVSVC00ZXdrSmY2VkRLemJnTGhvRUVMS2RZdF95M09IU2dQNk1ra3RKSEZNWXRlc1BXaDJZUTN1c2RIWHRpbUJaSGFONGJVV3ROZlJWWkdQZHRyTlJzMHZQODlTdW1WVFRaVVotSXhxeS1oQXRkU29VWkhrdTFjdWdCbk1Xa0RibVNBelhFRW02bXRhM2lxUERmVzA2VFVxOG1WZzVjOXNPZVJnaGJCNmtXRkprWEZmc1Nu0gHWAUFVX3lxTFBlTUUySG5sbzBkVGJocGpublhEeC1DdFE5SmZpWllLNkM0ZHZSV2FJS0wwYUZUSG1kVlJ5MVBQVGVsX0o2WTlpR2Y0NW1VZm9JODBYWEp3SEJYU3N5M19sUE5kcThNSEdwaWpoU1h5NFM1QkZiUWJkZ09TRVVKb3N6MVF0djBIeHVxU3dBbzRPbHNpQVlmWURwWW5GaDl0YVRhM0tfOVV4SDZIcjVWNnlPZzFRSTd0QlRIV3NTajlkaF8xNU1UOHpTVC15bXc5ajRzUnFhX1E?oc=5"" target=""_blank"">Schaeffler India is firing on all cylinders; exports turbocharge growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2026-02-27 07:26:16,Mint,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOcmN6NWR4YWNVRHlxd1FLdGVpanlxcHVSVC00ZXdrSmY2VkRLemJnTGhvRUVMS2RZdF95M09IU2dQNk1ra3RKSEZNWXRlc1BXaDJZUTN1c2RIWHRpbUJaSGFONGJVV3ROZlJWWkdQZHRyTlJzMHZQODlTdW1WVFRaVVotSXhxeS1oQXRkU29VWkhrdTFjdWdCbk1Xa0RibVNBelhFRW02bXRhM2lxUERmVzA2VFVxOG1WZzVjOXNPZVJnaGJCNmtXRkprWEZmc1Nu0gHWAUFVX3lxTFBlTUUySG5sbzBkVGJocGpublhEeC1DdFE5SmZpWllLNkM0ZHZSV2FJS0wwYUZUSG1kVlJ5MVBQVGVsX0o2WTlpR2Y0NW1VZm9JODBYWEp3SEJYU3N5M19sUE5kcThNSEdwaWpoU1h5NFM1QkZiUWJkZ09TRVVKb3N6MVF0djBIeHVxU3dBbzRPbHNpQVlmWURwWW5GaDl0YVRhM0tfOVV4SDZIcjVWNnlPZzFRSTd0QlRIV3NTajlkaF8xNU1UOHpTVC15bXc5ajRzUnFhX1E?oc=5
SCHAEFFLER,Schaeffler India Limited,Declining Stock and Solid Fundamentals: Is The Market Wrong About Schaeffler India Limited (NSE:SCHAEFFLER)? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQTWpmelJENFAzTGtIUGc3OVR3b2hNOHhkVWxOWm5YOFItT25Gc1Z3cE9QV3dBdDAxdlJiUTc3QXV5a3pSR2hHOHB3aXVKeFV4WnNOX0ZiTjhqbGQ1ZFpZbWcwZktfYmg0MS1BbEhIUWRVeHd3QlIzWVBqMmtSVkE0WjFFZlhBb2xMekw4UzlSYk9nNWFRSWczVkRWV1d2N3ZmYXZKNzBVeGNtb04xaloyNmE0XzJyQ244RUFFNmFyemxtdG45UHluM2FmeWxJalRHdWJ6a3MwSUFmcTJXSWlMcllXWXNsVkJh0gHuAUFVX3lxTE1hVlIwQktETmxGdW9TSlQ3aEQtbjVlOTVfdVBxcHpHcE95TmszMDFtUWxQYzRIeEgtOTdyRmhqXzNYZ3VFZFNYMzRYSVUzX0FVemk1UWZLOHlTVGNaTHIzSU5VRDlfTEMzNncyZ1pwNHgxWFJWNmhYdm12R1oxbGlDTE5XM3R1anJvVHFTdWtpMmdfQWVIaEZ3YmhPanhWd0RYMkVHRjF1ZmtVdXBIeVdKTHhyeU9QZFNHbWptc29IMG9kdnl0bmxLUXo5bmZxSVBpanVqNlBrTmR3dkhyalJiRElsMFYwbjZ6OHdOZWc?oc=5"" target=""_blank"">Declining Stock and Solid Fundamentals: Is The Market Wrong About Schaeffler India Limited (NSE:SCHAEFFLER)?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-06 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQTWpmelJENFAzTGtIUGc3OVR3b2hNOHhkVWxOWm5YOFItT25Gc1Z3cE9QV3dBdDAxdlJiUTc3QXV5a3pSR2hHOHB3aXVKeFV4WnNOX0ZiTjhqbGQ1ZFpZbWcwZktfYmg0MS1BbEhIUWRVeHd3QlIzWVBqMmtSVkE0WjFFZlhBb2xMekw4UzlSYk9nNWFRSWczVkRWV1d2N3ZmYXZKNzBVeGNtb04xaloyNmE0XzJyQ244RUFFNmFyemxtdG45UHluM2FmeWxJalRHdWJ6a3MwSUFmcTJXSWlMcllXWXNsVkJh0gHuAUFVX3lxTE1hVlIwQktETmxGdW9TSlQ3aEQtbjVlOTVfdVBxcHpHcE95TmszMDFtUWxQYzRIeEgtOTdyRmhqXzNYZ3VFZFNYMzRYSVUzX0FVemk1UWZLOHlTVGNaTHIzSU5VRDlfTEMzNncyZ1pwNHgxWFJWNmhYdm12R1oxbGlDTE5XM3R1anJvVHFTdWtpMmdfQWVIaEZ3YmhPanhWd0RYMkVHRjF1ZmtVdXBIeVdKTHhyeU9QZFNHbWptc29IMG9kdnl0bmxLUXo5bmZxSVBpanVqNlBrTmR3dkhyalJiRElsMFYwbjZ6OHdOZWc?oc=5
SCHAEFFLER,Schaeffler India Limited,Schaeffler India Limited Announcement on Special Window for Physical Securities Transfer - InvestyWise,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxOOWpNZktRQ0JQV1VwZTRmRktpNXByOTBDYTY4NUFxSmlNbjZpV0FUVTdvcnMxRWR6dW5IRXZMTkR0cW5HT1BRcG1XWEw2Yk9YdFVqRjIzcU15QVZweWNwcmJZWTN6d1AyeUhiRXZITFFWbGt4Znl3UG9jMld3TnhYcDk5ZmE1dTJ1NUVWS1czUFZ2MVk?oc=5"" target=""_blank"">Schaeffler India Limited Announcement on Special Window for Physical Securities Transfer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">InvestyWise</font>",2026-03-02 11:52:03,InvestyWise,https://news.google.com/rss/articles/CBMikwFBVV95cUxOOWpNZktRQ0JQV1VwZTRmRktpNXByOTBDYTY4NUFxSmlNbjZpV0FUVTdvcnMxRWR6dW5IRXZMTkR0cW5HT1BRcG1XWEw2Yk9YdFVqRjIzcU15QVZweWNwcmJZWTN6d1AyeUhiRXZITFFWbGt4Znl3UG9jMld3TnhYcDk5ZmE1dTJ1NUVWS1czUFZ2MVk?oc=5
SCHAEFFLER,Schaeffler India Limited,Schaeffler India Opens Special Window for Dematerialisation of Physical Shares - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQczFvV29UdWs1TnlIaWphV0tBX2lfWlFMaXd5MDE2bC1sY2MtR3ZDRTYxUXl3UF8xbEtxSTNUaEhqekFzamUwbkwwQWRBNkRscFAwTGp3NW5zR3EydmRQUW0ycVVVWWJ6WUpNWEVJVVNERk84U0I3TXBXWTFZUFFmZmV1TWd5czVvZjNEM3RWZWNzT0s5eV96TVZTMHdqWkxrTnR2TVBWMmEtN1VqU0xLdi05Y1NUZmUyTkVMZE9KbHRGR2dtMGZqZkp3?oc=5"" target=""_blank"">Schaeffler India Opens Special Window for Dematerialisation of Physical Shares</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2026-03-02 11:32:49,TipRanks,https://news.google.com/rss/articles/CBMiygFBVV95cUxQczFvV29UdWs1TnlIaWphV0tBX2lfWlFMaXd5MDE2bC1sY2MtR3ZDRTYxUXl3UF8xbEtxSTNUaEhqekFzamUwbkwwQWRBNkRscFAwTGp3NW5zR3EydmRQUW0ycVVVWWJ6WUpNWEVJVVNERk84U0I3TXBXWTFZUFFmZmV1TWd5czVvZjNEM3RWZWNzT0s5eV96TVZTMHdqWkxrTnR2TVBWMmEtN1VqU0xLdi05Y1NUZmUyTkVMZE9KbHRGR2dtMGZqZkp3?oc=5
SCHAEFFLER,Schaeffler India Limited,Schaeffler India Announced Q4 And FY2025 Results - V3Cars,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxQX2JEeHRBR2Vhdi1OQXgzeThHdDYyQWlQSm1MTFR4dWJZMThoZWk4cEpENjhDa2NCMFNIbkp0amxoRjNYcmIzaE1EX2UtZ3RzQzAzc0c0MTJNbzI1VEM3SENWOF9ycFdpbHdIQm5tMXpfbVU3anpjOGNDYVp3THRlSjY3dGxla1JndUFDNHZBTnFkWUY5d1FSRA?oc=5"" target=""_blank"">Schaeffler India Announced Q4 And FY2025 Results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">V3Cars</font>",2026-02-27 11:33:15,V3Cars,https://news.google.com/rss/articles/CBMimAFBVV95cUxQX2JEeHRBR2Vhdi1OQXgzeThHdDYyQWlQSm1MTFR4dWJZMThoZWk4cEpENjhDa2NCMFNIbkp0amxoRjNYcmIzaE1EX2UtZ3RzQzAzc0c0MTJNbzI1VEM3SENWOF9ycFdpbHdIQm5tMXpfbVU3anpjOGNDYVp3THRlSjY3dGxla1JndUFDNHZBTnFkWUY5d1FSRA?oc=5
SCHAEFFLER,Schaeffler India Limited,Schaeffler India Declares Rs 35 Interim Dividend — Check Details - NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxOVEU4T1dNZ3kwOWRVZm5hVFBTNUxqYl9IWVREblFZUU9VN0VUWE1oM29MTF9lMFMyQS1QNUZtNFpfbUtzdGlYV1Bob3RBOGh0dEc2RndsSFhNTTNBN25ycVlaRloxMmxpb1Q4Y3luWjExYmxyT2M4OFlkVmVTYUNQcXBEWDNPMVk5OFY2SUhkMVNsaWxzT1N3VHNqQmQtQmk0YjhCQmVCQ2R0Z9IBsgFBVV95cUxOVEhsODFZZEFGUktlcG8zYUNNM3NwOEZyaEk3T2Q3dkZTREFwdDBBZmJfaHZQOW5qb0xqOVlZODBuU1cwQXB5LUVaMDA4alhXaGVKbXBBX3VWaFdlLU1hUzR1dXUtV2h1YW1NUXd0MTZsc3FDMFBxSGt0dDMwRUNKcV9BbHR1T0Rmbl9XMS1hUjViSlVOSm1TYkY3SXJJZHVXeXhrY1Q1Um1IRURVRl9LcXpn?oc=5"" target=""_blank"">Schaeffler India Declares Rs 35 Interim Dividend — Check Details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",2026-02-24 12:29:27,NDTV Profit,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOVEU4T1dNZ3kwOWRVZm5hVFBTNUxqYl9IWVREblFZUU9VN0VUWE1oM29MTF9lMFMyQS1QNUZtNFpfbUtzdGlYV1Bob3RBOGh0dEc2RndsSFhNTTNBN25ycVlaRloxMmxpb1Q4Y3luWjExYmxyT2M4OFlkVmVTYUNQcXBEWDNPMVk5OFY2SUhkMVNsaWxzT1N3VHNqQmQtQmk0YjhCQmVCQ2R0Z9IBsgFBVV95cUxOVEhsODFZZEFGUktlcG8zYUNNM3NwOEZyaEk3T2Q3dkZTREFwdDBBZmJfaHZQOW5qb0xqOVlZODBuU1cwQXB5LUVaMDA4alhXaGVKbXBBX3VWaFdlLU1hUzR1dXUtV2h1YW1NUXd0MTZsc3FDMFBxSGt0dDMwRUNKcV9BbHR1T0Rmbl9XMS1hUjViSlVOSm1TYkY3SXJJZHVXeXhrY1Q1Um1IRURVRl9LcXpn?oc=5
SCHAEFFLER,Schaeffler India Limited,Earnings 24 Feb 2026: SCHAEFFLER.NS Schaeffler India NSE INR 3950.20 margins key - Meyka,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxNQUM0Y2MyUGczU2hFaV9IZDAtZkRLR3dCWWVJQWtqNlp5a0czY0RkTDFoQ3h1MDFfQ0FXcDRzaExVTWF1MzZGbXM2bkV3REFJZ3QwV3hzNEVZNDFodkJZSWd0el9EVmpCV1p2Nmd6YU5jdlZJWVgwc1N2VXVFZGNLZHBjbTBCRFJud045eUE0RDZvVkR5R09UNGMxcVpsMGstQ08yeWx1Qkw4dw?oc=5"" target=""_blank"">Earnings 24 Feb 2026: SCHAEFFLER.NS Schaeffler India NSE INR 3950.20 margins key</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meyka</font>",2026-02-24 02:31:18,Meyka,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNQUM0Y2MyUGczU2hFaV9IZDAtZkRLR3dCWWVJQWtqNlp5a0czY0RkTDFoQ3h1MDFfQ0FXcDRzaExVTWF1MzZGbXM2bkV3REFJZ3QwV3hzNEVZNDFodkJZSWd0el9EVmpCV1p2Nmd6YU5jdlZJWVgwc1N2VXVFZGNLZHBjbTBCRFJud045eUE0RDZvVkR5R09UNGMxcVpsMGstQ08yeWx1Qkw4dw?oc=5
SCHAEFFLER,Schaeffler India Limited,Schaeffler India Ltd Technical Momentum Shifts Signal Mild Bullish Outlook - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNNnJSLWRtWXl5elJRT09yMlFja05LMmh1T0NHWTljTFF2TjV6MzE1aGNNNUpIbVBwa0prUGs1YkF6TnQtMlpFeDRxQkxTbEJ2VS13T2I3VWFKcC01Sm1Mcm4zODZWcUhCc3pWdHNaSVVDQUpoeG9TZjRTUkw5WVNYaVhoZ0pCd3BSQTV6VDNWRm9PcUNOTzMwc0hiRU1yMkFNV2dkTGJ2dGc3WWRpOTU5YmJjd0tlaXNiNXUtcmJOdlhvUkl1bS10S0p5UzA?oc=5"" target=""_blank"">Schaeffler India Ltd Technical Momentum Shifts Signal Mild Bullish Outlook</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-26 03:05:12,Markets Mojo,https://news.google.com/rss/articles/CBMizAFBVV95cUxNNnJSLWRtWXl5elJRT09yMlFja05LMmh1T0NHWTljTFF2TjV6MzE1aGNNNUpIbVBwa0prUGs1YkF6TnQtMlpFeDRxQkxTbEJ2VS13T2I3VWFKcC01Sm1Mcm4zODZWcUhCc3pWdHNaSVVDQUpoeG9TZjRTUkw5WVNYaVhoZ0pCd3BSQTV6VDNWRm9PcUNOTzMwc0hiRU1yMkFNV2dkTGJ2dGc3WWRpOTU5YmJjd0tlaXNiNXUtcmJOdlhvUkl1bS10S0p5UzA?oc=5
