scrip,company,headline,summary,published_date,source,url
SCI,Shipping Corporation Of India Limited,"Shipping Corporation of India, GE Shipping: Shipping stocks in focus amid Iran conflict; what you need to know - Upstox","<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxQVzctX2RlaVJtR3RiXzNUMFBlTXhDRS1BSV9XNEE0c1ZoZVhyQ2lBMEE4YlF4dG1teFo1S0hZd0YwaW1ENWVMdGNxdnUyV0ZNOWF3VFc2WGhrajNNM2lyYzY5ZThwaFZCOFhOWlFqemh1Y1Q3N1Fva3h5TWRZQ09JNG9IVXRjaXBCZURPVjVwWnhMbVZHQ3l4cGVuTFl4cTlKWU9sZGhlbzN4Qk5DVnVqU3dlcVN6RENWeHdaWXBRUkI5WkdLZUlJSzhONFd0M0hoVkF1d3ktOVg5TTdwTzlZR3hJWXRjTzZzVDZheE5peWgwbGZlTUx0emdB?oc=5"" target=""_blank"">Shipping Corporation of India, GE Shipping: Shipping stocks in focus amid Iran conflict; what you need to know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2026-03-02 03:52:33,Upstox,https://news.google.com/rss/articles/CBMi-gFBVV95cUxQVzctX2RlaVJtR3RiXzNUMFBlTXhDRS1BSV9XNEE0c1ZoZVhyQ2lBMEE4YlF4dG1teFo1S0hZd0YwaW1ENWVMdGNxdnUyV0ZNOWF3VFc2WGhrajNNM2lyYzY5ZThwaFZCOFhOWlFqemh1Y1Q3N1Fva3h5TWRZQ09JNG9IVXRjaXBCZURPVjVwWnhMbVZHQ3l4cGVuTFl4cTlKWU9sZGhlbzN4Qk5DVnVqU3dlcVN6RENWeHdaWXBRUkI5WkdLZUlJSzhONFd0M0hoVkF1d3ktOVg5TTdwTzlZR3hJWXRjTzZzVDZheE5peWgwbGZlTUx0emdB?oc=5
SCI,Shipping Corporation Of India Limited,The Shipping Corporation of India Limited (NSE:SCI) Held Back By Insufficient Growth Even After Shares Climb 29% - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxPRGFVSTZRaTl6RUNWQkNuZ1BrZ1pCRVJPRzNJS0M0VTQyLTkxbG0zaEFuNWZpYnJ2ZzdQR3N6bUU0cU9jTHFYT0MzUkJqQm1TMWFZSndVYl9GNHpna3FRRks2XzlhQ1dKMlJ0eGI4bE81NnR2dmlBY1ZHWi1IRzVFRmpiV2lqODc1TDRXRnFlSGJXYlF0cnhQZXBxUldzQ0JpQXpVM1NlV0hoc1ZyS0p1aTBOeTd5MXBEMWlRN0xkeURUaldjLTEyX0UzMl9SbEVzNndsbGt4cm1LMlZvdGt0V0NMWGdLa241T1ltajhB0gHzAUFVX3lxTE0xUzNYNzItRUFiWU96M2RsUHhPWlF6SDNpUVktcl9lMHdmOGF3ODB0WUhnSmFhVmduQmg0eFpjenc5bERhQjUybXNYN2ZDN1JoT2ZtZkFRYzFLbTlwN2tJOEtXaGNRWUphX3JleGVRUjdxQzFTR3ZsV1E0VjlfYkNBWUh3M3pGRDRTeGRKYmRGV0dZQ3Nlb3JtWXoyQXpZcE9nZ0loX1JXRGQway1tVUNFSkRxYUJGMWVJanNGT2JvRDRWbEE4U1M2Vzh0UDd5VVRSQUtCN24yZzdpMl93QUR2UHZXQ2g4WVBGUnM5cktjMlNvMA?oc=5"" target=""_blank"">The Shipping Corporation of India Limited (NSE:SCI) Held Back By Insufficient Growth Even After Shares Climb 29%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-13 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPRGFVSTZRaTl6RUNWQkNuZ1BrZ1pCRVJPRzNJS0M0VTQyLTkxbG0zaEFuNWZpYnJ2ZzdQR3N6bUU0cU9jTHFYT0MzUkJqQm1TMWFZSndVYl9GNHpna3FRRks2XzlhQ1dKMlJ0eGI4bE81NnR2dmlBY1ZHWi1IRzVFRmpiV2lqODc1TDRXRnFlSGJXYlF0cnhQZXBxUldzQ0JpQXpVM1NlV0hoc1ZyS0p1aTBOeTd5MXBEMWlRN0xkeURUaldjLTEyX0UzMl9SbEVzNndsbGt4cm1LMlZvdGt0V0NMWGdLa241T1ltajhB0gHzAUFVX3lxTE0xUzNYNzItRUFiWU96M2RsUHhPWlF6SDNpUVktcl9lMHdmOGF3ODB0WUhnSmFhVmduQmg0eFpjenc5bERhQjUybXNYN2ZDN1JoT2ZtZkFRYzFLbTlwN2tJOEtXaGNRWUphX3JleGVRUjdxQzFTR3ZsV1E0VjlfYkNBWUh3M3pGRDRTeGRKYmRGV0dZQ3Nlb3JtWXoyQXpZcE9nZ0loX1JXRGQway1tVUNFSkRxYUJGMWVJanNGT2JvRDRWbEE4U1M2Vzh0UDd5VVRSQUtCN24yZzdpMl93QUR2UHZXQ2g4WVBGUnM5cktjMlNvMA?oc=5
SCI,Shipping Corporation Of India Limited,The Shipping Corporation of India Ltd. Fined for Board Composition Non-Compliance - InvestyWise,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNSVJUUlVrMnlnZ2o1cFE0amlvcXdxNWxJT2pFclFwOWZEZkdfTGZ0dDFHN3gwbTlNZ2JlWGVyRlZQcGVaUnhOZV9TUjlQZW5wLTdaRWNHMlZ3c1QyRV9BbC1Ia1ZxaXJlSnBhWi1NS0VFNHg2ZTRGMU1ZZjZHN2RhOEhuQ25Ga0JhbHJ2Z3o3eXJmbURuSWZZV0dncUNKX19sQ0ZfbzRtbw?oc=5"" target=""_blank"">The Shipping Corporation of India Ltd. Fined for Board Composition Non-Compliance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">InvestyWise</font>",2026-02-28 05:06:31,InvestyWise,https://news.google.com/rss/articles/CBMipwFBVV95cUxNSVJUUlVrMnlnZ2o1cFE0amlvcXdxNWxJT2pFclFwOWZEZkdfTGZ0dDFHN3gwbTlNZ2JlWGVyRlZQcGVaUnhOZV9TUjlQZW5wLTdaRWNHMlZ3c1QyRV9BbC1Ia1ZxaXJlSnBhWi1NS0VFNHg2ZTRGMU1ZZjZHN2RhOEhuQ25Ga0JhbHJ2Z3o3eXJmbURuSWZZV0dncUNKX19sQ0ZfbzRtbw?oc=5
SCI,Shipping Corporation Of India Limited,SCI Q3 Results: Net Profit Surges 140% to ₹427 Cr | Declares ₹3.5/Share Dividend - PSU Connect,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxOOVBXNm1QWDJuVmZLbWFMRFdhU2ZVVVZQMFltMkkwTk5Da1RkUHJOWnFsVWNabU1iLUJsdTFDTl9HUGJsRnlUcm8yeXN1aVRxZ2NUOG5ReVUyNlljam5WY1JIWGxZZmFHdjB1Ykl5TkhrVFB0a29IM2FPNHdKNXBZc0lsWnNScDROUmc?oc=5"" target=""_blank"">SCI Q3 Results: Net Profit Surges 140% to ₹427 Cr | Declares ₹3.5/Share Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PSU Connect</font>",2026-02-06 08:00:00,PSU Connect,https://news.google.com/rss/articles/CBMiigFBVV95cUxOOVBXNm1QWDJuVmZLbWFMRFdhU2ZVVVZQMFltMkkwTk5Da1RkUHJOWnFsVWNabU1iLUJsdTFDTl9HUGJsRnlUcm8yeXN1aVRxZ2NUOG5ReVUyNlljam5WY1JIWGxZZmFHdjB1Ykl5TkhrVFB0a29IM2FPNHdKNXBZc0lsWnNScDROUmc?oc=5
SCI,Shipping Corporation Of India Limited,Shipping Corporation Declares Interim Dividend of ₹3.50 Per Share; Record Date Set Today - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxQSWExMWdiUGFiMEV2bHFMUElObTQ2VHp3UkQ5V1NVZEdpQ2w5Yk1oODRMV1F1REhrQW9kWlItOVFsQXkyTkFqR05ualBRWFJuOTFjS0tENnRwbUxfQ1ZHM29DM2dYN0k1d1VUUUlVY2pmM2VPakRBVDFkQW5WcGVadlg1d1RGcWF5YVg3ZGZESnNlaW9IZFhDS3R1SVZLTmx2TGJSUkJhTU1TOHRjRC1lb0dzS3o?oc=5"" target=""_blank"">Shipping Corporation Declares Interim Dividend of ₹3.50 Per Share; Record Date Set Today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2026-02-17 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMitAFBVV95cUxQSWExMWdiUGFiMEV2bHFMUElObTQ2VHp3UkQ5V1NVZEdpQ2w5Yk1oODRMV1F1REhrQW9kWlItOVFsQXkyTkFqR05ualBRWFJuOTFjS0tENnRwbUxfQ1ZHM29DM2dYN0k1d1VUUUlVY2pmM2VPakRBVDFkQW5WcGVadlg1d1RGcWF5YVg3ZGZESnNlaW9IZFhDS3R1SVZLTmx2TGJSUkJhTU1TOHRjRC1lb0dzS3o?oc=5
SCI,Shipping Corporation Of India Limited,"Shipping Corporation surges 16% in 2 days, hits 52-wk high on heavy volumes - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxPeE5LVC1CMUZHY2NTUWxqNHJLUzljUUFXZTd1ZWFRY0xTYlMtTkMzcFFnbmJrVVFiSGprMW5SWHJ0TTZLc3Z5X0xUdGxkQXh2bDYwUUxNZkw2ZlhjZGpDS1UtZ3NVQS1uSVhPU1ZvY1lFczNLRDFINFI2SWNvNmpSRDBET0FVZS1sSmZhQVlfTXd1MG9FdmNXTmZKaHFuZ0Rxd0xfUlBseXFSV090cFNvUGNya1F1SFJyby14V05TeXFvVGdXT3h0RFFHbmhYeGVVdTdVRVo4Z9IB3AFBVV95cUxQdVJTLThCdkZXMDZCWlA3Z1NOMDdYSERvUnhPNzVGelN2bUpYeTh5dlRWVXB0NVVNUnpWZ1I1U3BxN3VCZHcyTERuU2ZsMVhreUVqSkVCWTNHQ2xhc2dkbEFSVEN0N0ZoZTJpei1wZjhNazZjamlXcm56a0ZxY29mR1Y2aTcydmNIUGFzQWN5RG01djJGRjNlZWFoWjRMeTFCa3poc05faUFLa3N1OWc4RGE0MTdUSFh2eVRLdHFDVFdqZ1lDR21PczRCZkJPcndHdGpVMW9mX3h3eWVF?oc=5"" target=""_blank"">Shipping Corporation surges 16% in 2 days, hits 52-wk high on heavy volumes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-10-24 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPeE5LVC1CMUZHY2NTUWxqNHJLUzljUUFXZTd1ZWFRY0xTYlMtTkMzcFFnbmJrVVFiSGprMW5SWHJ0TTZLc3Z5X0xUdGxkQXh2bDYwUUxNZkw2ZlhjZGpDS1UtZ3NVQS1uSVhPU1ZvY1lFczNLRDFINFI2SWNvNmpSRDBET0FVZS1sSmZhQVlfTXd1MG9FdmNXTmZKaHFuZ0Rxd0xfUlBseXFSV090cFNvUGNya1F1SFJyby14V05TeXFvVGdXT3h0RFFHbmhYeGVVdTdVRVo4Z9IB3AFBVV95cUxQdVJTLThCdkZXMDZCWlA3Z1NOMDdYSERvUnhPNzVGelN2bUpYeTh5dlRWVXB0NVVNUnpWZ1I1U3BxN3VCZHcyTERuU2ZsMVhreUVqSkVCWTNHQ2xhc2dkbEFSVEN0N0ZoZTJpei1wZjhNazZjamlXcm56a0ZxY29mR1Y2aTcydmNIUGFzQWN5RG01djJGRjNlZWFoWjRMeTFCa3poc05faUFLa3N1OWc4RGE0MTdUSFh2eVRLdHFDVFdqZ1lDR21PczRCZkJPcndHdGpVMW9mX3h3eWVF?oc=5
SCI,Shipping Corporation Of India Limited,"SCI Appoints Nitin Khamesra as Director Finance, Ending Additional Charge - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPaFEzZ3doZDlPUVFkMFFLVFgyRXN5VlFpaVBFSGhXc3BXVF8zWTFZYkx6WHVna1dZdDlKZF90R1BYN1hUUlE4ZFZodXZBMGg0TmxjNXRtU0tZTTNnUGpDV0YyS0wxbXhON0FvRmRJcXIxYlFUeEtXeHBQT0VjbXEwYlZDYV9OQnRhdE50RjFLclRIcXZpVmpiZnpxNElWLXFzamhZTEJiQTAtNTVyRzlLSjVYUW4waXQzX0EtZXY0ZGVOOE1pMDNJeXZOVG5uZw?oc=5"" target=""_blank"">SCI Appoints Nitin Khamesra as Director Finance, Ending Additional Charge</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-17 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMizgFBVV95cUxPaFEzZ3doZDlPUVFkMFFLVFgyRXN5VlFpaVBFSGhXc3BXVF8zWTFZYkx6WHVna1dZdDlKZF90R1BYN1hUUlE4ZFZodXZBMGg0TmxjNXRtU0tZTTNnUGpDV0YyS0wxbXhON0FvRmRJcXIxYlFUeEtXeHBQT0VjbXEwYlZDYV9OQnRhdE50RjFLclRIcXZpVmpiZnpxNElWLXFzamhZTEJiQTAtNTVyRzlLSjVYUW4waXQzX0EtZXY0ZGVOOE1pMDNJeXZOVG5uZw?oc=5
SCI,Shipping Corporation Of India Limited,"Shipping Corporation of India shares surge over 20%, post best day in over six years; here is why - Upstox","<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxOR0I4bkppbUVPMzJyeFRiU1NhV1RtdFpKRWFYT2NGYkVOd1dqcVFraEczbG44U3RXNzcwRGRjZFZ6VlRpWHdiSGhzQnl4bGpJVjdHc0hIUUI2emppUXRnX3IxSTQ5MlNidU1PVGM1amNhNW9vQ2pWS2IwQmM2Um1ULUUtb0ZKWGx0VEJmSjNXcmtvWnVpWjRvWUhlQWc0dzZSTm1Wb1BPU1BZcF8xdDdFajFrWjhpd3FQVS1FZVdyVEhVR3Qtb2U2R1VaQUM1NDk4RzVMLXItdzE0ZnRkR2JRV1ZMTktLVXEweGxMcg?oc=5"" target=""_blank"">Shipping Corporation of India shares surge over 20%, post best day in over six years; here is why</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2026-02-09 08:00:00,Upstox,https://news.google.com/rss/articles/CBMi7AFBVV95cUxOR0I4bkppbUVPMzJyeFRiU1NhV1RtdFpKRWFYT2NGYkVOd1dqcVFraEczbG44U3RXNzcwRGRjZFZ6VlRpWHdiSGhzQnl4bGpJVjdHc0hIUUI2emppUXRnX3IxSTQ5MlNidU1PVGM1amNhNW9vQ2pWS2IwQmM2Um1ULUUtb0ZKWGx0VEJmSjNXcmtvWnVpWjRvWUhlQWc0dzZSTm1Wb1BPU1BZcF8xdDdFajFrWjhpd3FQVS1FZVdyVEhVR3Qtb2U2R1VaQUM1NDk4RzVMLXItdzE0ZnRkR2JRV1ZMTktLVXEweGxMcg?oc=5
SCI,Shipping Corporation Of India Limited,State or government among The Shipping Corporation of India Limited's (NSE:SCI) largest stockholders and were hit after last week's 6.4% price drop - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxNdUprSEdfUHNwR0VrQk1XY3VHVkhoMVI4Uk9NZnFtUjd6aXk5WWJwREV0TENfWUtUODB6N0hQR3Q0Qk50OXRWQlhzbGhvNEV4MENONC1tM0xMNV9pWXJqR1FabktMVGkyejQ4VGNIbGZSOHo3elEzS0FHZUYwYV9EenhiYzZDOXA3UTRoSlpVLVY5Y2UwazVxTUY5aEhfWkdWcFJXZTFpTlM4UkJFc24xQURJYmtQS192OHZmdzVkRDF3SHAyRUs2Z2lNT0lWQ2J0WGVjWlk0WVB1U3JqMkNSMl9DMjhtdHpXUWF0XzFjcw?oc=5"" target=""_blank"">State or government among The Shipping Corporation of India Limited's (NSE:SCI) largest stockholders and were hit after last week's 6.4% price drop</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-27 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNdUprSEdfUHNwR0VrQk1XY3VHVkhoMVI4Uk9NZnFtUjd6aXk5WWJwREV0TENfWUtUODB6N0hQR3Q0Qk50OXRWQlhzbGhvNEV4MENONC1tM0xMNV9pWXJqR1FabktMVGkyejQ4VGNIbGZSOHo3elEzS0FHZUYwYV9EenhiYzZDOXA3UTRoSlpVLVY5Y2UwazVxTUY5aEhfWkdWcFJXZTFpTlM4UkJFc24xQURJYmtQS192OHZmdzVkRDF3SHAyRUs2Z2lNT0lWQ2J0WGVjWlk0WVB1U3JqMkNSMl9DMjhtdHpXUWF0XzFjcw?oc=5
SCI,Shipping Corporation Of India Limited,Shipping Corporation of India Ltd Sees High Value Trading Amid Mixed Market Sentiment - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxQNWE0Z1RHdkM2NmxBWUdvQy1FNWw2dFZRZ0RISUZsbkJ4NUlieUVZaTVFTXJlVlJHSUY1UXZXc3pYbUFiVGpMczhXdG9xV2VYT0pHdTR6M0lrWk9BdlVVZnoyT1M4RDBrWWtOdTd0a2FaMXFDblFpampOUTNDSEdjbEJPUXRUeHp6MmtFVmdmNE1ZT0FsbU5SWWdMNFRIU2VMZ2FMaGdJNXEwYy00OTRLTkg1RXNHUThFRmhSN0tPSlNMT3RSbW9nek1aMWRjZDkyZDZLTXViV1Z4b2M?oc=5"" target=""_blank"">Shipping Corporation of India Ltd Sees High Value Trading Amid Mixed Market Sentiment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-10 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQNWE0Z1RHdkM2NmxBWUdvQy1FNWw2dFZRZ0RISUZsbkJ4NUlieUVZaTVFTXJlVlJHSUY1UXZXc3pYbUFiVGpMczhXdG9xV2VYT0pHdTR6M0lrWk9BdlVVZnoyT1M4RDBrWWtOdTd0a2FaMXFDblFpampOUTNDSEdjbEJPUXRUeHp6MmtFVmdmNE1ZT0FsbU5SWWdMNFRIU2VMZ2FMaGdJNXEwYy00OTRLTkg1RXNHUThFRmhSN0tPSlNMT3RSbW9nek1aMWRjZDkyZDZLTXViV1Z4b2M?oc=5
