scrip,company,headline,summary,published_date,source,url
SHALPAINTS,Shalimar Paints Limited,"Investors in Shalimar Paints (NSE:SHALPAINTS) from three years ago are still down 54%, even after 10% gain this past week - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxNTzJUZUlSRDJkMl9pTmFMWV8xUHRvLTdrQzNqOWNxMmRDdDRydmdoV1FFUHk5Y1VYWHMtUnAtUGIyZnBlTU5TT294YWlNVUozbFBRUjZsdmc4ejE2SnlSbXFLZ182VFkyZjlCQWhvU2VUaDlob3d1YURoRGVXU1Vacnp2Q2pWZWg2M0QyOGhtd25jemg4cFR3Sm9oNWZwRnRUR19FU1djYXpxVkYxUlcyUzBFdWtnTzhIcENnRGplUUhsa3RrUUFoQXQtajJVVFIybUdBOC1qSXZsektfeHBz?oc=5"" target=""_blank"">Investors in Shalimar Paints (NSE:SHALPAINTS) from three years ago are still down 54%, even after 10% gain this past week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-01 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3wFBVV95cUxNTzJUZUlSRDJkMl9pTmFMWV8xUHRvLTdrQzNqOWNxMmRDdDRydmdoV1FFUHk5Y1VYWHMtUnAtUGIyZnBlTU5TT294YWlNVUozbFBRUjZsdmc4ejE2SnlSbXFLZ182VFkyZjlCQWhvU2VUaDlob3d1YURoRGVXU1Vacnp2Q2pWZWg2M0QyOGhtd25jemg4cFR3Sm9oNWZwRnRUR19FU1djYXpxVkYxUlcyUzBFdWtnTzhIcENnRGplUUhsa3RrUUFoQXQtajJVVFIybUdBOC1qSXZsektfeHBz?oc=5
SHALPAINTS,Shalimar Paints Limited,Would Shalimar Paints (NSE:SHALPAINTS) Be Better Off With Less Debt? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxOMWZrMENiV24xQzRZR2lNNWxibUZLLVZER003MWlBeFNZTmEybjQxM2xTOUNfcmdMdTlodWNHN3ZEWERELXE2c1E2TVc0SExpbFZvZi1RWjRURmZ6a19CM3hLMmIwbG02MEpJMExqblh3SE40el9XSnN4MGJ1SjJrTTl5MFBLbE9pU0FqN3hzWGItaDB6OVVaeWlfY2NNYnh6NmVvTEFMdW82RVFFTHNITUM3TWhLbXhDSEdfekQtLTBkMUhjZ0M3X3kwdVU4SE5taVdOTW41clVhbm1y0gHiAUFVX3lxTE1wU2Y3dVU1U2x3VndJTGk2czlra2NCTENwVUtjRXNjYnc2aG9VQWJrMktDTXprSkE1ZEFzUDZTYVBxZXp2Rk14Y2N4RS1wQmVNTDFVWEVMdXA1UDNSTWVVNG1fWG5IZkUtTXhXT1QtNml4UXRQT2RTcno1ZkJiYXdQdS1PV3d4MjMxdnNmQkpFZ240S1g3dTA3V3hkcC1rc3h1VEp0dWJrTXptZElrb1dURGdRdEtKdTVnUFZhZWxMZXZhcWxBd0ZUNExtclpYd1dnaG9oOXRXM3lrMnVPNFd2b0E?oc=5"" target=""_blank"">Would Shalimar Paints (NSE:SHALPAINTS) Be Better Off With Less Debt?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-26 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3AFBVV95cUxOMWZrMENiV24xQzRZR2lNNWxibUZLLVZER003MWlBeFNZTmEybjQxM2xTOUNfcmdMdTlodWNHN3ZEWERELXE2c1E2TVc0SExpbFZvZi1RWjRURmZ6a19CM3hLMmIwbG02MEpJMExqblh3SE40el9XSnN4MGJ1SjJrTTl5MFBLbE9pU0FqN3hzWGItaDB6OVVaeWlfY2NNYnh6NmVvTEFMdW82RVFFTHNITUM3TWhLbXhDSEdfekQtLTBkMUhjZ0M3X3kwdVU4SE5taVdOTW41clVhbm1y0gHiAUFVX3lxTE1wU2Y3dVU1U2x3VndJTGk2czlra2NCTENwVUtjRXNjYnc2aG9VQWJrMktDTXprSkE1ZEFzUDZTYVBxZXp2Rk14Y2N4RS1wQmVNTDFVWEVMdXA1UDNSTWVVNG1fWG5IZkUtTXhXT1QtNml4UXRQT2RTcno1ZkJiYXdQdS1PV3d4MjMxdnNmQkpFZ240S1g3dTA3V3hkcC1rc3h1VEp0dWJrTXptZElrb1dURGdRdEtKdTVnUFZhZWxMZXZhcWxBd0ZUNExtclpYd1dnaG9oOXRXM3lrMnVPNFd2b0E?oc=5
SHALPAINTS,Shalimar Paints Limited,SHALPAINTS Share Price | Shalimar Paints Ltd. Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE8tMnNLcmo2aU10a2hMbGJ3M3gtc3ZzSWtXNmxuNFJaUklVajdPelZraGlUclF6QzJJNXMxaERqRGtCcVllYVZCMGVfNFZCTTBtNkQwLS1kM1ZpbEo4NnZ5ZDI5WHltMnExeWx3ckRPYmlqek1aZ1ln?oc=5"" target=""_blank"">SHALPAINTS Share Price | Shalimar Paints Ltd. Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-02-16 14:03:48,Markets Mojo,https://news.google.com/rss/articles/CBMid0FVX3lxTE8tMnNLcmo2aU10a2hMbGJ3M3gtc3ZzSWtXNmxuNFJaUklVajdPelZraGlUclF6QzJJNXMxaERqRGtCcVllYVZCMGVfNFZCTTBtNkQwLS1kM1ZpbEo4NnZ5ZDI5WHltMnExeWx3ckRPYmlqek1aZ1ln?oc=5
SHALPAINTS,Shalimar Paints Limited,Opelina Sustainable Services Completes Sale of Shalimar Paints Equity Shares - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPNDJDc09nWkdpZ0JxRUJyQktzSThUcklibG5yaUR3VGFWS0JIakZqSnBLWGc0SkozOUxhdHVwTW1rT2N0QTBwQVhBMHd2TFBveVNYZ0JzV0VZTzU0TFA1czMtampSQ3NBZVM1T1VxejljTWRSTXptN2VZZzRhbDFvN1p1ajZCNURVdzRtTWhaRzZpSlF5ZzByeHVjdDF1ZFBGcm0ySnR2OGdpVXVValo5d3JodGtWeWV5eXNFb1gxMGlrbzJJYTd6RTUzN0IyZVZCVmc?oc=5"" target=""_blank"">Opelina Sustainable Services Completes Sale of Shalimar Paints Equity Shares</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-20 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPNDJDc09nWkdpZ0JxRUJyQktzSThUcklibG5yaUR3VGFWS0JIakZqSnBLWGc0SkozOUxhdHVwTW1rT2N0QTBwQVhBMHd2TFBveVNYZ0JzV0VZTzU0TFA1czMtampSQ3NBZVM1T1VxejljTWRSTXptN2VZZzRhbDFvN1p1ajZCNURVdzRtTWhaRzZpSlF5ZzByeHVjdDF1ZFBGcm0ySnR2OGdpVXVValo5d3JodGtWeWV5eXNFb1gxMGlrbzJJYTd6RTUzN0IyZVZCVmc?oc=5
SHALPAINTS,Shalimar Paints Limited,OPJ Trading Private Limited Completes Full Divestment of Shalimar Paints Stake - indiaipo.in,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxOaFZ2cDNkTXZOSklBZ0pxdURrd1liY1E5QU1JY3N5c29LN2lqLUZZRjhEVnBOd3FzSFJNa2FBdnNWeVRveHFuWk9tdzBvLXRkYlQ1QXd4ZEtjeTRCVzItbVZPTFdtbE9ZUldUQXZITExEM1c4cnppRXBXQmtQeHRkZHBvSXJjNTBfMnJ5XzZSa19aS2xFbWd5V3RJVjNTNHZ0ekJGMTJVZnF3d0NxdlVmeTd3YTQ?oc=5"" target=""_blank"">OPJ Trading Private Limited Completes Full Divestment of Shalimar Paints Stake</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indiaipo.in</font>",2026-02-20 08:00:00,indiaipo.in,https://news.google.com/rss/articles/CBMitAFBVV95cUxOaFZ2cDNkTXZOSklBZ0pxdURrd1liY1E5QU1JY3N5c29LN2lqLUZZRjhEVnBOd3FzSFJNa2FBdnNWeVRveHFuWk9tdzBvLXRkYlQ1QXd4ZEtjeTRCVzItbVZPTFdtbE9ZUldUQXZITExEM1c4cnppRXBXQmtQeHRkZHBvSXJjNTBfMnJ5XzZSa19aS2xFbWd5V3RJVjNTNHZ0ekJGMTJVZnF3d0NxdlVmeTd3YTQ?oc=5
SHALPAINTS,Shalimar Paints Limited,Does Shalimar Paints Limited’s (NSE:SHALPAINTS) CEO Salary Compare Well With Others? - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxNWGl6TnNtaHY4Z0tiandra1Q3SG5oaWN5Q0xaYWduUHhnZWpCU3hrQ0RLbzY2VndJUU9XRGt5MERFOUl4dkZvVUZ3MWhmSUZ6TzRfanhtVXh4bXdXa3hGVU1MQ1RCZlJkWlMtSE1Zdm1CbG9LUnFMLVVZMDhFak1DY3lXRFM?oc=5"" target=""_blank"">Does Shalimar Paints Limited’s (NSE:SHALPAINTS) CEO Salary Compare Well With Others?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",2019-02-10 08:00:00,Yahoo Finance,https://news.google.com/rss/articles/CBMihAFBVV95cUxNWGl6TnNtaHY4Z0tiandra1Q3SG5oaWN5Q0xaYWduUHhnZWpCU3hrQ0RLbzY2VndJUU9XRGt5MERFOUl4dkZvVUZ3MWhmSUZ6TzRfanhtVXh4bXdXa3hGVU1MQ1RCZlJkWlMtSE1Zdm1CbG9LUnFMLVVZMDhFak1DY3lXRFM?oc=5
SHALPAINTS,Shalimar Paints Limited,Shalimar Paints Ltd. is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQaXdOQnZHbnVNWnY1SDBVY1VDTHNjbVVlcTlUWE1IUkw1aTRxaXc3eFlqbkc2NHF5UWp2V1pZQm5qMmUzMFRFVkNyRVNlYmlKZWxmcXhaNmhoeFhSS3k5ck1JMldMYUVIZ1NiTl9MQlZINXg2UTh4cjdZbGFyWEk0TjJxZmhWakRnYkNHeWhNUkpjU19NOU1XT0VpN2pfVmZaREVhTA?oc=5"" target=""_blank"">Shalimar Paints Ltd. is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-15 05:42:12,Markets Mojo,https://news.google.com/rss/articles/CBMipAFBVV95cUxQaXdOQnZHbnVNWnY1SDBVY1VDTHNjbVVlcTlUWE1IUkw1aTRxaXc3eFlqbkc2NHF5UWp2V1pZQm5qMmUzMFRFVkNyRVNlYmlKZWxmcXhaNmhoeFhSS3k5ck1JMldMYUVIZ1NiTl9MQlZINXg2UTh4cjdZbGFyWEk0TjJxZmhWakRnYkNHeWhNUkpjU19NOU1XT0VpN2pfVmZaREVhTA?oc=5
SHALPAINTS,Shalimar Paints Limited,Shalimar Paints Receives Reclassification Requests from Two Promoter Group Members - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQSzFWSGVPa0hHanllRlNFMWEtOTRRZUdXaHpZNnVDTWMwdktOZG9ub05aSU1LVjNJY3dtMlhQb21WUFJLSjBLT0paR3pyd1lYSzdhU3BsUGRVSmw5T19VOG5EZXc4cUQ3R2hqaVRJaDVDQ1o0UEpydU93eFhXNF9kV0JSbnJBN0tkdmhDUW9ua2dNWk5DOE9BaEJWeHNMUzJTZHp4ekhFOHFCd3BVXzNFMi16cjBWcEQwV2tJWUdWTm56cFZidkpabXRjbHA2bUpqTmc?oc=5"" target=""_blank"">Shalimar Paints Receives Reclassification Requests from Two Promoter Group Members</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-20 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQSzFWSGVPa0hHanllRlNFMWEtOTRRZUdXaHpZNnVDTWMwdktOZG9ub05aSU1LVjNJY3dtMlhQb21WUFJLSjBLT0paR3pyd1lYSzdhU3BsUGRVSmw5T19VOG5EZXc4cUQ3R2hqaVRJaDVDQ1o0UEpydU93eFhXNF9kV0JSbnJBN0tkdmhDUW9ua2dNWk5DOE9BaEJWeHNMUzJTZHp4ekhFOHFCd3BVXzNFMi16cjBWcEQwV2tJWUdWTm56cFZidkpabXRjbHA2bUpqTmc?oc=5
SHALPAINTS,Shalimar Paints Limited,"Shalimar Paints Standalone June 2025 Net Sales at Rs 153.46 crore, up 19.58% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxOWU9id2tJUUc1UW9QYnNIRl9zYkpPTU16d3ZHcHVseEc2S1pZeGZwdjdRQ01vSzh2QWR4LWpJZjBFTEEzc09oWERaMS1UQWRYYjVMMzYteWItQ1BuT1ZPNWR2cDhEdGs0bmVQdzVPRFNYbDRrR1dDZ0pkbkhESkQ2RkhDcVN3d2JGcVU3RDZoU2ZBMTNHMy1vb2w1T01YX3dCaGRCcGdZcUNFUjlySGxCLXpueFdIY2M2X1dZcTlRNGtrenpDMFh3LVRFR3BQc0ZUWVNhZVF0eTgzV0kteFpj0gHkAUFVX3lxTE9pby12RVJXNUh3S1hFNTR2dFB2bWdsUXlkdllLYmZDalZ1X1g4SzFqRTBSbGc0WXRBS0ZtWjZkRkNVdEMycU5MU2VvRWZuaXB0bU03N3ZVajBQd1gzSERnSWtjR3pRTWFMQ2xUVzY0cVBienY4SDBNYmROZUtVT1gwbmtXNnV1Uy1HT3VBREQ4SFdEY2RxSjVoT1RzNVQtdXBsaXJBQ0E2YUtTdmUyWXdZdlhDekd6QjI1Vk1ZdF9ENFIwbDQtQmVMaEUwcHZ0dXFnQUtiU2lwR0RmNUEyc3JwcW5wVg?oc=5"" target=""_blank"">Shalimar Paints Standalone June 2025 Net Sales at Rs 153.46 crore, up 19.58% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-09-05 07:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOWU9id2tJUUc1UW9QYnNIRl9zYkpPTU16d3ZHcHVseEc2S1pZeGZwdjdRQ01vSzh2QWR4LWpJZjBFTEEzc09oWERaMS1UQWRYYjVMMzYteWItQ1BuT1ZPNWR2cDhEdGs0bmVQdzVPRFNYbDRrR1dDZ0pkbkhESkQ2RkhDcVN3d2JGcVU3RDZoU2ZBMTNHMy1vb2w1T01YX3dCaGRCcGdZcUNFUjlySGxCLXpueFdIY2M2X1dZcTlRNGtrenpDMFh3LVRFR3BQc0ZUWVNhZVF0eTgzV0kteFpj0gHkAUFVX3lxTE9pby12RVJXNUh3S1hFNTR2dFB2bWdsUXlkdllLYmZDalZ1X1g4SzFqRTBSbGc0WXRBS0ZtWjZkRkNVdEMycU5MU2VvRWZuaXB0bU03N3ZVajBQd1gzSERnSWtjR3pRTWFMQ2xUVzY0cVBienY4SDBNYmROZUtVT1gwbmtXNnV1Uy1HT3VBREQ4SFdEY2RxSjVoT1RzNVQtdXBsaXJBQ0E2YUtTdmUyWXdZdlhDekd6QjI1Vk1ZdF9ENFIwbDQtQmVMaEUwcHZ0dXFnQUtiU2lwR0RmNUEyc3JwcW5wVg?oc=5
SHALPAINTS,Shalimar Paints Limited,Hella Infra Market Limited Files Regulatory Disclosure for Shalimar Paints Share Pledge - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxNWkdySlp0MHAzakFtOWI4LXZBT2NIZm5GcmVfYmM2bGR4LWJwYzU5eWdaVUUyUlEwTnQxZThPT25oNTJCYW51R0ltWE81a1RaYXBvcVBSX1IyS0NTWTNyR0pxUU4xajVLQVIya2ZwNTBfdGVtcXBkUFVRbFJBbWdvX0gxNWFkS3U1THBNRWdHZ285ZFdLLVF4b29PR1Nyd1ViUjFXQmEyNkJ6VDZZdDloZ0FSdjNOMXhaV3ZFc0Zsa05zbFF1cGt6WUVNNmY5V1RTUHo5YTRxZW8taHktZzIxVjJUSmplQmdrMWh2eDhsUUtKX01nZmxn?oc=5"" target=""_blank"">Hella Infra Market Limited Files Regulatory Disclosure for Shalimar Paints Share Pledge</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-12-11 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi9wFBVV95cUxNWkdySlp0MHAzakFtOWI4LXZBT2NIZm5GcmVfYmM2bGR4LWJwYzU5eWdaVUUyUlEwTnQxZThPT25oNTJCYW51R0ltWE81a1RaYXBvcVBSX1IyS0NTWTNyR0pxUU4xajVLQVIya2ZwNTBfdGVtcXBkUFVRbFJBbWdvX0gxNWFkS3U1THBNRWdHZ285ZFdLLVF4b29PR1Nyd1ViUjFXQmEyNkJ6VDZZdDloZ0FSdjNOMXhaV3ZFc0Zsa05zbFF1cGt6WUVNNmY5V1RTUHo5YTRxZW8taHktZzIxVjJUSmplQmdrMWh2eDhsUUtKX01nZmxn?oc=5
