scrip,company,headline,summary,published_date,source,url
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Is Now The Time To Put Shree Pushkar Chemicals & Fertilisers (NSE:SHREEPUSHK) On Your Watchlist? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxNUHdhN3BLTUhxc0k4ZTZuSGNnazdQUUlpSmJFVTZIREFOZXdvdFR2MXNvUjdkb0JVVEtFUXdReXduS1BUcDllaDRJWXY4S0JEV0J1ckZqUW00MFhLV1pwM2VudzF0czltRnJ1YlNqMWF6cGRocElYWWdOaTZHem9vMXp5VVNYYUg5eGlJUl9yUVlFbzVZVVF0VVlmRFU2a2RueWxyaXowa2hPSE5VcVBNQzVSOGZIT2kxMUl2R0tNQXVmaUozQ213SmRJc2VHdjl2cDNDV3BUUXRsQTVjQ1dzYWNaaDBhUi14dFFsQkZhaGIzSTdlNE8wdA?oc=5"" target=""_blank"">Is Now The Time To Put Shree Pushkar Chemicals & Fertilisers (NSE:SHREEPUSHK) On Your Watchlist?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-21 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi-AFBVV95cUxNUHdhN3BLTUhxc0k4ZTZuSGNnazdQUUlpSmJFVTZIREFOZXdvdFR2MXNvUjdkb0JVVEtFUXdReXduS1BUcDllaDRJWXY4S0JEV0J1ckZqUW00MFhLV1pwM2VudzF0czltRnJ1YlNqMWF6cGRocElYWWdOaTZHem9vMXp5VVNYYUg5eGlJUl9yUVlFbzVZVVF0VVlmRFU2a2RueWxyaXowa2hPSE5VcVBNQzVSOGZIT2kxMUl2R0tNQXVmaUozQ213SmRJc2VHdjl2cDNDV3BUUXRsQTVjQ1dzYWNaaDBhUi14dFFsQkZhaGIzSTdlNE8wdA?oc=5
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Shree Pushkar Chemicals & Fertilisers' (NSE:SHREEPUSHK) Upcoming Dividend Will Be Larger Than Last Year's - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxPSFI0MlZTUHR1YzRmb0ktbHpKQTZCeG01aVFlallaSjBpSEJEWXBYOFNiNTg4cVN6cm14S21KazZCTS1WZzB3Tjh4WDF0dHNGTlU5azVhWTIzTUdYSGw4bTdKdktSV3FNQ1QyMmdIdUdXV0JNQnhTRkJwMlpVMkpodlkwWjFmX1dDdEFpNzFhSktpcEdKYm1wTUlqcWIxai1FU0U3MEFQRGc5Zm5pbmJSOEQ4MGVBZ3Ewd1VfbDZTZXVPUUUzd1FmUllyS2h1M3F2dHdXb3c2ZEZOSUNlRWs4cWRaNU5yRlM1dmpPT0VEYWdzeC12ZVgyQtIB_gFBVV95cUxNQWZFYjVBZXFHOFphQi04dFh4emtqeDVfUUplWXRQQVRVQVc0T2dYXzVTQUJyOXlHai1Yb1RZa2ZfM25KVEJIYlNVbzVBQlhmVUp4MzFRX1hHNU1ibDF6RmFXWWlEWTkyb01mXzBSekF3b3ROMklfa0RqZDMxdHlJdHh1ekhXYnNKSzBiMEc5RHE4b1Fvazlla2J6ZUI1bWxyZjJkT2F3Sk85S1l0NGJHdkxtY2E0YXZwWTBad2NFbkZqRWw0N09wOWgxR2EwTjBCYmFLU2xHM3hFVm5NN0xXcFZPR0RjMlZXWm5vd3h2bkVYWUp0OTVaZVN6RGtvUQ?oc=5"" target=""_blank"">Shree Pushkar Chemicals & Fertilisers' (NSE:SHREEPUSHK) Upcoming Dividend Will Be Larger Than Last Year's</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-15 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi-AFBVV95cUxPSFI0MlZTUHR1YzRmb0ktbHpKQTZCeG01aVFlallaSjBpSEJEWXBYOFNiNTg4cVN6cm14S21KazZCTS1WZzB3Tjh4WDF0dHNGTlU5azVhWTIzTUdYSGw4bTdKdktSV3FNQ1QyMmdIdUdXV0JNQnhTRkJwMlpVMkpodlkwWjFmX1dDdEFpNzFhSktpcEdKYm1wTUlqcWIxai1FU0U3MEFQRGc5Zm5pbmJSOEQ4MGVBZ3Ewd1VfbDZTZXVPUUUzd1FmUllyS2h1M3F2dHdXb3c2ZEZOSUNlRWs4cWRaNU5yRlM1dmpPT0VEYWdzeC12ZVgyQtIB_gFBVV95cUxNQWZFYjVBZXFHOFphQi04dFh4emtqeDVfUUplWXRQQVRVQVc0T2dYXzVTQUJyOXlHai1Yb1RZa2ZfM25KVEJIYlNVbzVBQlhmVUp4MzFRX1hHNU1ibDF6RmFXWWlEWTkyb01mXzBSekF3b3ROMklfa0RqZDMxdHlJdHh1ekhXYnNKSzBiMEc5RHE4b1Fvazlla2J6ZUI1bWxyZjJkT2F3Sk85S1l0NGJHdkxtY2E0YXZwWTBad2NFbkZqRWw0N09wOWgxR2EwTjBCYmFLU2xHM3hFVm5NN0xXcFZPR0RjMlZXWm5vd3h2bkVYWUp0OTVaZVN6RGtvUQ?oc=5
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Insiders were the biggest winners as Shree Pushkar Chemicals & Fertilisers Limited's (NSE:SHREEPUSHK) market cap grew by ₹1.1b last week - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxNRURRdmhXZGZfTVF2SHI3WlUxV2xnY0NYald0STk2ZUxadHB2T0txOE5nREY2LUc1U2FacUpIZTlNOTNDeVVWSF8xdFVzc2JUSFg2TjJlMVJJeG5fMXRIcEdBdVB5aUFmMkxORXJnN0dPYVdseE5SRDFPNXFXRWlWRzBWRWU1VUliV2t2S1BvUkV0ZHBRVktqQVRPWTlVOUdTV2UzZnlSb3ZLMm9OTE43djVBX1pjcktMSFNDNjNUM1RvRnlROE1tUlo4cC1KMlBZbFRGajFxQ2F4T1NqUGdRUHpZc2wzYjBQelF6cHpUaDVxNGFfbVBlUdIB_gFBVV95cUxPRW8zMVJXbk0zeExFdjNHUThmTkxocUZlODhZWXJBMFB5U3g0Q1NnNDBMSVYtQi1sVUZqNUNaQnBsMzBKdmJOTkVyZE1wN0xrdUVwUVFVUHdHc280cVBiMzZ0b2UybUM2QTlSdFlKUENEYlBMUjUwaXU0QlVHT3FtZk53ZkI0QkdweEx1T2tRQkRzSHJtN0F6UEEzM05HVEtDNGdWRzVXbUVaOHFyVDdUN0tVQXVRa05lT0FmaUZzQ01hQjl1NFp1MmxMMXVOZWpib3pWNC1uTi1faGJBSU9mT2xSTnJ5OUZxUHd0OHFrWVMxY3Nsb1Etc1JWV19ndw?oc=5"" target=""_blank"">Insiders were the biggest winners as Shree Pushkar Chemicals & Fertilisers Limited's (NSE:SHREEPUSHK) market cap grew by ₹1.1b last week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-06-30 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi-AFBVV95cUxNRURRdmhXZGZfTVF2SHI3WlUxV2xnY0NYald0STk2ZUxadHB2T0txOE5nREY2LUc1U2FacUpIZTlNOTNDeVVWSF8xdFVzc2JUSFg2TjJlMVJJeG5fMXRIcEdBdVB5aUFmMkxORXJnN0dPYVdseE5SRDFPNXFXRWlWRzBWRWU1VUliV2t2S1BvUkV0ZHBRVktqQVRPWTlVOUdTV2UzZnlSb3ZLMm9OTE43djVBX1pjcktMSFNDNjNUM1RvRnlROE1tUlo4cC1KMlBZbFRGajFxQ2F4T1NqUGdRUHpZc2wzYjBQelF6cHpUaDVxNGFfbVBlUdIB_gFBVV95cUxPRW8zMVJXbk0zeExFdjNHUThmTkxocUZlODhZWXJBMFB5U3g0Q1NnNDBMSVYtQi1sVUZqNUNaQnBsMzBKdmJOTkVyZE1wN0xrdUVwUVFVUHdHc280cVBiMzZ0b2UybUM2QTlSdFlKUENEYlBMUjUwaXU0QlVHT3FtZk53ZkI0QkdweEx1T2tRQkRzSHJtN0F6UEEzM05HVEtDNGdWRzVXbUVaOHFyVDdUN0tVQXVRa05lT0FmaUZzQ01hQjl1NFp1MmxMMXVOZWpib3pWNC1uTi1faGJBSU9mT2xSTnJ5OUZxUHd0OHFrWVMxY3Nsb1Etc1JWV19ndw?oc=5
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,"Shree Pushkar Chemicals and Fertilisers falls 2% after weak Q4 performance, PAT rises 2.2% - Upstox","<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxQVUlrb3BNR3hJMGoycnprQkpHZ2RNLVhRWTc0SVFaYndzWWgzVDZGTW11b3YxeDNoVndLeEFBWGhXa0RvQ1hZUnE0M25uYWswWlpaY1FwNldabFZXMUxvU3ZoSlN0aTdqeTZBQUhXbW5WMXV1TGxRM0ZXZV9IUjJ2ckJHeTZMdzhJOVhBRGhnUjJYazJiMEtQbkVnNndZdThCV2phcFRRdkdkQlNGR3N4SXlrX2huenRicGpCd0YzN3J4Y3ZWMVkzWVFrQUtrTmRtTmhHdDJsOA?oc=5"" target=""_blank"">Shree Pushkar Chemicals and Fertilisers falls 2% after weak Q4 performance, PAT rises 2.2%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2024-05-17 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQVUlrb3BNR3hJMGoycnprQkpHZ2RNLVhRWTc0SVFaYndzWWgzVDZGTW11b3YxeDNoVndLeEFBWGhXa0RvQ1hZUnE0M25uYWswWlpaY1FwNldabFZXMUxvU3ZoSlN0aTdqeTZBQUhXbW5WMXV1TGxRM0ZXZV9IUjJ2ckJHeTZMdzhJOVhBRGhnUjJYazJiMEtQbkVnNndZdThCV2phcFRRdkdkQlNGR3N4SXlrX2huenRicGpCd0YzN3J4Y3ZWMVkzWVFrQUtrTmRtTmhHdDJsOA?oc=5
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Shree Pushkar Chemicals & Fertilisers Reports 37% Jump in Q2 Net Profit - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNTUVaWmRtZFkwWW9kdlBVSURGNG5LTGhqMG40TW9pQ3M3NThPZnF0Z3c3cHJ6Nm5OdkZiTmRjc2YwUTBjWnhHQ0daa2MyWDJnblA4YmdaeXdqak1wcHBTR2x3blhsNDltdFlUOG9DbWFoN1o4NGZnUHlPSHhSYkNyVVdaaW5vb2FNcjFWUDRrLUhaSDFHZkFHR2dwdk4tMGoxWXdFcUtVcGxfZUtJY3JXaTlHM2lUOGtNZUQwVDR2VEMyQQ?oc=5"" target=""_blank"">Shree Pushkar Chemicals & Fertilisers Reports 37% Jump in Q2 Net Profit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-08 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNTUVaWmRtZFkwWW9kdlBVSURGNG5LTGhqMG40TW9pQ3M3NThPZnF0Z3c3cHJ6Nm5OdkZiTmRjc2YwUTBjWnhHQ0daa2MyWDJnblA4YmdaeXdqak1wcHBTR2x3blhsNDltdFlUOG9DbWFoN1o4NGZnUHlPSHhSYkNyVVdaaW5vb2FNcjFWUDRrLUhaSDFHZkFHR2dwdk4tMGoxWXdFcUtVcGxfZUtJY3JXaTlHM2lUOGtNZUQwVDR2VEMyQQ?oc=5
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Shree Pushkar Chemicals & Fertilisers' (NSE:SHREEPUSHK) Returns Have Hit A Wall - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxPR2FnUEpXRjM0ZkpoaVBMQ3RubUhqcWV6VW1YQ0dNalROV2Z2M0ZGNlU5SE9yLVcyWE9fWXQwZUlOR3Q5VGZwME9ORzZZamE0aFZGcjlPeTVBSlNMUjg3XzQtV2F4TVphSjM2Z1NqNHo1akJfcXpHTzRZeWY4SDUya3FNZWE4ajE5ZTRQeUhYdHBtNzREN3VXOEszM1hfQ2JlT0xpVmVxZTJnY1pQY0NfdmpfRXhYSDVFTzFsVVk5NERiS0F4ZXluMC1wSk55WGZqTWRQYXZ2WGhxNndVUnZNRVNNdlFUMXpZQzlmRUN6VjdiZHF4N1Q3NNIB_gFBVV95cUxQeUVIZzRPU1ZfZEtHeGd4LU8zOXplU0NHWi1DVVp5RHVNTFRDZjd1MWtnR21qZGRWb0thMmRyVHdWZ0ItMHVGWEplSGhralAzUnhOT0I5VmxaWE5ybG1sR1Zrelg4UHJpRjl3aUw2NkNaRU1mT1FaMTcyLVJsS3hRWU5sZ2stTjZZeFBPNXlBeWY1ZGJzcXlqTnM0ejZfUFFDTVh0Q3dMekNlQ2dsQzhFTFhrX2NmVlZRREwwYTg1WWw0LUt4ZjZxTjZHWmtDVzRuUUdTMDNjZHJ3bFNDbkN2NTYwUHI0Slo5aklVX2ZEU281dFo2MDRHS0tiU010UQ?oc=5"" target=""_blank"">Shree Pushkar Chemicals & Fertilisers' (NSE:SHREEPUSHK) Returns Have Hit A Wall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-14 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi-AFBVV95cUxPR2FnUEpXRjM0ZkpoaVBMQ3RubUhqcWV6VW1YQ0dNalROV2Z2M0ZGNlU5SE9yLVcyWE9fWXQwZUlOR3Q5VGZwME9ORzZZamE0aFZGcjlPeTVBSlNMUjg3XzQtV2F4TVphSjM2Z1NqNHo1akJfcXpHTzRZeWY4SDUya3FNZWE4ajE5ZTRQeUhYdHBtNzREN3VXOEszM1hfQ2JlT0xpVmVxZTJnY1pQY0NfdmpfRXhYSDVFTzFsVVk5NERiS0F4ZXluMC1wSk55WGZqTWRQYXZ2WGhxNndVUnZNRVNNdlFUMXpZQzlmRUN6VjdiZHF4N1Q3NNIB_gFBVV95cUxQeUVIZzRPU1ZfZEtHeGd4LU8zOXplU0NHWi1DVVp5RHVNTFRDZjd1MWtnR21qZGRWb0thMmRyVHdWZ0ItMHVGWEplSGhralAzUnhOT0I5VmxaWE5ybG1sR1Zrelg4UHJpRjl3aUw2NkNaRU1mT1FaMTcyLVJsS3hRWU5sZ2stTjZZeFBPNXlBeWY1ZGJzcXlqTnM0ejZfUFFDTVh0Q3dMekNlQ2dsQzhFTFhrX2NmVlZRREwwYTg1WWw0LUt4ZjZxTjZHWmtDVzRuUUdTMDNjZHJ3bFNDbkN2NTYwUHI0Slo5aklVX2ZEU281dFo2MDRHS0tiU010UQ?oc=5
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Are Shree Pushkar Chemicals & Fertilisers Limited’s (NSE:SHREEPUSHK) High Returns Really That Great? - Yahoo,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxOZXVKZks5TnhMeUI1N2REcjJyd1hEMzI4Z1l2TnpwS3JFN0R6ckVJdWFzb0k2bzlTajNGUFREeGtjMWM4dnNUZ3dPcWNPMldxXzZ6WTJVOGFWNVlfZnhWeU9PU1E5UDdxUGs5d1BfZ01aWE5hWEw4b0wtUVJneDVOYkFZVUJtNVFRbF9GV2RXOE1GbHdBTGlnemNB?oc=5"" target=""_blank"">Are Shree Pushkar Chemicals & Fertilisers Limited’s (NSE:SHREEPUSHK) High Returns Really That Great?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo</font>",2019-02-11 08:00:00,Yahoo,https://news.google.com/rss/articles/CBMimgFBVV95cUxOZXVKZks5TnhMeUI1N2REcjJyd1hEMzI4Z1l2TnpwS3JFN0R6ckVJdWFzb0k2bzlTajNGUFREeGtjMWM4dnNUZ3dPcWNPMldxXzZ6WTJVOGFWNVlfZnhWeU9PU1E5UDdxUGs5d1BfZ01aWE5hWEw4b0wtUVJneDVOYkFZVUJtNVFRbF9GV2RXOE1GbHdBTGlnemNB?oc=5
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Shree Pushkar Chemicals Expands Dyes Business with New Subsidiary Dyecol Color Technologies - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxPVzMya0VCSy12d2lQc2FkYkdZZW55cjZBb2Rid21oMnVCMU5paEJLNGVWY3RYSXVaWXM4M3Z0eEdCdnduQnhUYUx1cmItSkgtd2U1Unl3OG5UNVpXV2dsOXJkbV91LUxfdE5rZFVoMEdVWHFhV2N1QmEyR3BTcUdyOFlIOFAzakhFbUlOQTFDaHhkLUlDM2MtS05QeDJiWkUtV2hoLWQxcE5GQkhRSVh2T0UtSVVNSFVNaWdkR25XdG9ES3pDcVhSLW5mX3RvYzR6YUlZLWdfbGVaUHVXV3FMS0ZiTnR4Z1Nla3RkRQ?oc=5"" target=""_blank"">Shree Pushkar Chemicals Expands Dyes Business with New Subsidiary Dyecol Color Technologies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-09-03 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi7AFBVV95cUxPVzMya0VCSy12d2lQc2FkYkdZZW55cjZBb2Rid21oMnVCMU5paEJLNGVWY3RYSXVaWXM4M3Z0eEdCdnduQnhUYUx1cmItSkgtd2U1Unl3OG5UNVpXV2dsOXJkbV91LUxfdE5rZFVoMEdVWHFhV2N1QmEyR3BTcUdyOFlIOFAzakhFbUlOQTFDaHhkLUlDM2MtS05QeDJiWkUtV2hoLWQxcE5GQkhRSVh2T0UtSVVNSFVNaWdkR25XdG9ES3pDcVhSLW5mX3RvYzR6YUlZLWdfbGVaUHVXV3FMS0ZiTnR4Z1Nla3RkRQ?oc=5
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Shree Pushkar Chemicals & Fertilizers Ltd is Rated Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNak5RVEdIcnBxazhXb0VDRlBCb25aV3NaWDREUzRwRDBCdEotZ21oMERneDZWSEtTRWlNOUFBLXFaXzByN09CRV9PWUg1OWNVeENia2pCVUZ4ZVQyaTZEQTZsT2p1ejBjYms5Zm1sWU9nbExOY2xYcUwwYXlkbGNaTTVNbjFkc3RBdHVkMURnWDlqSU8wUTV1azVKbklfWWVXdEZhcjVYSzg1dDhYWmFFZ0k1Z3RTQQ?oc=5"" target=""_blank"">Shree Pushkar Chemicals & Fertilizers Ltd is Rated Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-27 06:17:38,Markets Mojo,https://news.google.com/rss/articles/CBMitgFBVV95cUxNak5RVEdIcnBxazhXb0VDRlBCb25aV3NaWDREUzRwRDBCdEotZ21oMERneDZWSEtTRWlNOUFBLXFaXzByN09CRV9PWUg1OWNVeENia2pCVUZ4ZVQyaTZEQTZsT2p1ejBjYms5Zm1sWU9nbExOY2xYcUwwYXlkbGNaTTVNbjFkc3RBdHVkMURnWDlqSU8wUTV1azVKbklfWWVXdEZhcjVYSzg1dDhYWmFFZ0k1Z3RTQQ?oc=5
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,"Shree Pushkar Consolidated December 2025 Net Sales at Rs 248.86 crore, up 14.65% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxOYmFSeGlqc0txRFhLUU5RRi16bXY4SlRmOTRDWWNuR3RONmpkTE03RWw0VE9JNGpXbGZ5R3VjNXo4bGVvT3Z4SzI1RVlGZWg0YkZoMnRrWVpOa0FZTzBLOVlzbnRwMnRvREgtMHVybWlTQzVCQTlFbFlvdzBHbHg2Z0d4R0xkWmNhQ0ZMZ1hWc0diSEZLeEV3SGE2WHd1bUVIU05QaF9jek83bHhEVFlnWmpkQjh5cVJpRVpkaGc4X0U0QlBsblljeEl3RjNqS3JQNUpXTDlBMEdEOFBucEN2TFdkV1LSAeoBQVVfeXFMTkF0Z25tR0dlRDFuN25mX1pMemM2dm4zU0lHRzZyTUxiMmJTUDZKMDM0cUNtSGlQWXFqc0FMS2U1WDdiZ2pMOHRwdFc4MTRNLVJlTjBIdFp2cXNvLTFKNm42NV9SZmtha3p4VWxJbzFlMGY3OV9LYlVvYWtHbzB3c1BBNWdIcW1Kb1Nyck1kbnVEa3NOOXJfQ18wT0VncHl1Zmo3RDVobkN6aDJUbk90NTd3NVVTdjNEUWE3Z3JVWmhjY3NHQl9SYUE2dVY3ZGpRanoySzFRR3RoOWhWOTN3Q2JpTzJ0Z2ppZTJn?oc=5"" target=""_blank"">Shree Pushkar Consolidated December 2025 Net Sales at Rs 248.86 crore, up 14.65% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-25 09:03:43,Moneycontrol.com,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOYmFSeGlqc0txRFhLUU5RRi16bXY4SlRmOTRDWWNuR3RONmpkTE03RWw0VE9JNGpXbGZ5R3VjNXo4bGVvT3Z4SzI1RVlGZWg0YkZoMnRrWVpOa0FZTzBLOVlzbnRwMnRvREgtMHVybWlTQzVCQTlFbFlvdzBHbHg2Z0d4R0xkWmNhQ0ZMZ1hWc0diSEZLeEV3SGE2WHd1bUVIU05QaF9jek83bHhEVFlnWmpkQjh5cVJpRVpkaGc4X0U0QlBsblljeEl3RjNqS3JQNUpXTDlBMEdEOFBucEN2TFdkV1LSAeoBQVVfeXFMTkF0Z25tR0dlRDFuN25mX1pMemM2dm4zU0lHRzZyTUxiMmJTUDZKMDM0cUNtSGlQWXFqc0FMS2U1WDdiZ2pMOHRwdFc4MTRNLVJlTjBIdFp2cXNvLTFKNm42NV9SZmtha3p4VWxJbzFlMGY3OV9LYlVvYWtHbzB3c1BBNWdIcW1Kb1Nyck1kbnVEa3NOOXJfQ18wT0VncHl1Zmo3RDVobkN6aDJUbk90NTd3NVVTdjNEUWE3Z3JVWmhjY3NHQl9SYUE2dVY3ZGpRanoySzFRR3RoOWhWOTN3Q2JpTzJ0Z2ppZTJn?oc=5
