scrip,company,headline,summary,published_date,source,url
SHREERAMA,Shree Rama Multi-Tech Limited,Increases to Shree Rama Multi-Tech Limited's (NSE:SHREERAMA) CEO Compensation Might Cool off for now - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQZGtHWms3aXNvWnVCWUYtSXV0aGVQSFROQ2JpbjBrd19CaVQ5UW1UWDZTby1BdVVtMWJ6VGs1aTZMdkg5MFNiTW1yX2l3VVR5NWNfR0FXVTA3TFl3dWRHUDV2dVdYdGpIUUtIaXJPWTFRTGo2ZnR0TWhYTll4V1dXSzAyTlppdXlwd3lSNmVOd05zU3ZQTk95R1QtVWNOSWRRV0xMN3VEcUFBeHd3SmZDYm9OUnhBaURwRmxGOW43eEU0aF9OX0pHSnBZOW1vb3JBUDlOOFNMSDloTzRranNuWWdKWXTSAeoBQVVfeXFMTUt5aHFZekFPNkd3VUxfRmlsV0o0eGxRc3AxZnBDZGNBT2RpZkVveHlMMkFmcnFWRWpOX1FZMWtyZG03anpXbDBXemo3TDU3bC0yVnU0WkdrWE9JdG9JS05zbW11RlV5cGpQRVBTRmRKRkRVTllsVzVFR2cyRXVUbGxsdk15dHpKcW1HSnl6eHQ2SlZuUzJuY1VId3BPckd3QWN0X1lnUGV1emZpblZUYjFJLWxSRHVVc3NUX0tNQklKWHdZd3FjMms5a0xPWjgyakRfTGdQRC1VcFdDSkMweWJ4Y0U3ekdSNW5n?oc=5"" target=""_blank"">Increases to Shree Rama Multi-Tech Limited's (NSE:SHREERAMA) CEO Compensation Might Cool off for now</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-31 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQZGtHWms3aXNvWnVCWUYtSXV0aGVQSFROQ2JpbjBrd19CaVQ5UW1UWDZTby1BdVVtMWJ6VGs1aTZMdkg5MFNiTW1yX2l3VVR5NWNfR0FXVTA3TFl3dWRHUDV2dVdYdGpIUUtIaXJPWTFRTGo2ZnR0TWhYTll4V1dXSzAyTlppdXlwd3lSNmVOd05zU3ZQTk95R1QtVWNOSWRRV0xMN3VEcUFBeHd3SmZDYm9OUnhBaURwRmxGOW43eEU0aF9OX0pHSnBZOW1vb3JBUDlOOFNMSDloTzRranNuWWdKWXTSAeoBQVVfeXFMTUt5aHFZekFPNkd3VUxfRmlsV0o0eGxRc3AxZnBDZGNBT2RpZkVveHlMMkFmcnFWRWpOX1FZMWtyZG03anpXbDBXemo3TDU3bC0yVnU0WkdrWE9JdG9JS05zbW11RlV5cGpQRVBTRmRKRkRVTllsVzVFR2cyRXVUbGxsdk15dHpKcW1HSnl6eHQ2SlZuUzJuY1VId3BPckd3QWN0X1lnUGV1emZpblZUYjFJLWxSRHVVc3NUX0tNQklKWHdZd3FjMms5a0xPWjgyakRfTGdQRC1VcFdDSkMweWJ4Y0U3ekdSNW5n?oc=5
SHREERAMA,Shree Rama Multi-Tech Limited,Shree Rama Multi-Tech Ltd is Rated Hold - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxNalpJaDNXUnZyRG9MbFdXOUVZYVZobDVGLXU3WEs0Ti1Gb0llZ0lmS2pKN2p0cXUzM3Z0aWh4WjAwMkFWd3gtWXFVYTFPd0k2ZnBfNGhsNjMxUzRGNlpSNHA1dXhFNkJGc2VLbUJjY09uc0FtMGxXT0d6aW5tc3J5MC0zLURvZXQ4ejZIMncweU5fNURjSWRTTGwwMmVqVzFPd0dN?oc=5"" target=""_blank"">Shree Rama Multi-Tech Ltd is Rated Hold</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-08 08:01:26,Markets Mojo,https://news.google.com/rss/articles/CBMiowFBVV95cUxNalpJaDNXUnZyRG9MbFdXOUVZYVZobDVGLXU3WEs0Ti1Gb0llZ0lmS2pKN2p0cXUzM3Z0aWh4WjAwMkFWd3gtWXFVYTFPd0k2ZnBfNGhsNjMxUzRGNlpSNHA1dXhFNkJGc2VLbUJjY09uc0FtMGxXT0d6aW5tc3J5MC0zLURvZXQ4ejZIMncweU5fNURjSWRTTGwwMmVqVzFPd0dN?oc=5
SHREERAMA,Shree Rama Multi-Tech Limited,Shree Rama Multi-Tech Reports Strong Q2 Growth and Appoints New CFO - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQNE4zakJpVmNSRWFCRHpMV2k2UlRNeGUxT0RMZ1lsQko0QmdZRGhHSi16akxYNDZuR3lfREFvczdYbmV4aXlYclhTYm9lM3U2UkNJX0hwTGZFM3R1U2VzQzdWX3YtdmI1WnBfdkw1OXo3bXJDQ1BmYU5DbnlDVEEtcTB0Nzc0V2gxSVRCaHdvd2lnbU5PdGt6TzJEN0R6OEhEVDRvQ1h1T1JoNjBRR2hEMEI0czgtNDdmTWxQR3NaUmc?oc=5"" target=""_blank"">Shree Rama Multi-Tech Reports Strong Q2 Growth and Appoints New CFO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-12 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQNE4zakJpVmNSRWFCRHpMV2k2UlRNeGUxT0RMZ1lsQko0QmdZRGhHSi16akxYNDZuR3lfREFvczdYbmV4aXlYclhTYm9lM3U2UkNJX0hwTGZFM3R1U2VzQzdWX3YtdmI1WnBfdkw1OXo3bXJDQ1BmYU5DbnlDVEEtcTB0Nzc0V2gxSVRCaHdvd2lnbU5PdGt6TzJEN0R6OEhEVDRvQ1h1T1JoNjBRR2hEMEI0czgtNDdmTWxQR3NaUmc?oc=5
SHREERAMA,Shree Rama Multi-Tech Limited,Shree Rama Multi-Tech Responds to BSE Inquiry on Share Price Movement - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNRHBCaXVvWUlmazNYdzBpUHQ2NWhYX2RWSFI5clNrQkFwdTc5QktZbUxlc0tpOGpoNEJzLXNYVG00Q0JPWGxaUEkxdkpSSEZvNlJrZmVRckdSNHg2M1g4RHBXV0xXOVRFNzAyU0FrNFNrakN4aVA1NmFnSkxXSWZVSU84MWNnWkVKVnZiQlNNNy12dHl5aWF5aW1uZnE0by14MEc1ZVhJYXhtU1ppSy0yY0c5TXctTThLeHlxRVJqVVc?oc=5"" target=""_blank"">Shree Rama Multi-Tech Responds to BSE Inquiry on Share Price Movement</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-12-21 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNRHBCaXVvWUlmazNYdzBpUHQ2NWhYX2RWSFI5clNrQkFwdTc5QktZbUxlc0tpOGpoNEJzLXNYVG00Q0JPWGxaUEkxdkpSSEZvNlJrZmVRckdSNHg2M1g4RHBXV0xXOVRFNzAyU0FrNFNrakN4aVA1NmFnSkxXSWZVSU84MWNnWkVKVnZiQlNNNy12dHl5aWF5aW1uZnE0by14MEc1ZVhJYXhtU1ppSy0yY0c5TXctTThLeHlxRVJqVVc?oc=5
SHREERAMA,Shree Rama Multi-Tech Limited,SHREERAMA Share Price | Shree Rama Multi-Tech Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTE1fZDBvZU9VMGZ6bGs4YUlTVEZrTTBaYWF5U0hnSVFXaUJaenoxbXR5VGZtUDZmeEZnc1VzeFVtR3k2MWlGaUJXU2ZTNGdlZGxCU0g0cEgzay1FSlhPb2h3akRhYktiUVo3QVFnSGNnUGVvQVZU?oc=5"" target=""_blank"">SHREERAMA Share Price | Shree Rama Multi-Tech Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-06-23 07:23:02,Markets Mojo,https://news.google.com/rss/articles/CBMidEFVX3lxTE1fZDBvZU9VMGZ6bGs4YUlTVEZrTTBaYWF5U0hnSVFXaUJaenoxbXR5VGZtUDZmeEZnc1VzeFVtR3k2MWlGaUJXU2ZTNGdlZGxCU0g0cEgzay1FSlhPb2h3akRhYktiUVo3QVFnSGNnUGVvQVZU?oc=5
SHREERAMA,Shree Rama Multi-Tech Limited,Shree Rama Multi-Tech Announces Director Tenure Completion and Board Restructuring - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxQM2luOEJJZmFtcHJvTDNrc2Z5UDdNbm0yOXpwNGtuQUJtcVhZSnFNX2p2cS1taEJzQV9fcEpmTlRTa1J0WDN1QmhiUm40WS1YX21tb2lJUTd2UVQ1NF9CVlhHcTFuUG5FT0E2ZEVWR09NN2N2YzZnRHQyZW12cWFxbHBWWU1QZnBlVUZQblJTeTJJNWxtbGxlTVgyekk0X1h2TE9HU1NlNU9sX3N2QnNxc2lFRnhvM1pjb3d3d1luX1o1dHFaTEx1RC1TNDZibGg0bWd6Ulg1YTBMVlRWcWc?oc=5"" target=""_blank"">Shree Rama Multi-Tech Announces Director Tenure Completion and Board Restructuring</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-01 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQM2luOEJJZmFtcHJvTDNrc2Z5UDdNbm0yOXpwNGtuQUJtcVhZSnFNX2p2cS1taEJzQV9fcEpmTlRTa1J0WDN1QmhiUm40WS1YX21tb2lJUTd2UVQ1NF9CVlhHcTFuUG5FT0E2ZEVWR09NN2N2YzZnRHQyZW12cWFxbHBWWU1QZnBlVUZQblJTeTJJNWxtbGxlTVgyekk0X1h2TE9HU1NlNU9sX3N2QnNxc2lFRnhvM1pjb3d3d1luX1o1dHFaTEx1RC1TNDZibGg0bWd6Ulg1YTBMVlRWcWc?oc=5
SHREERAMA,Shree Rama Multi-Tech Limited,Shree Rama Multi-Tech Q3 Results 2026 - Find Shree Rama Multi-Tech Q3 Earnings Result | SHREERAMA Q3 results - Mint,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxNU2JlcTJGZnB6czhYNl9xWFRUTW9yZlh5MXEtQUhVY2RUVXR6WWVJek94ZHNUSVB1RHFPQ0sxc3FISWVrQmxfazhyMTdKOGNVTGFuT2hCdDlIVjFaNW5XQTBrbGZsSFhpeUNTTlZFd1JVaHYyTHpDaUpHaHZEUVlhMmF3akJvcy1yTlk0aEh3?oc=5"" target=""_blank"">Shree Rama Multi-Tech Q3 Results 2026 - Find Shree Rama Multi-Tech Q3 Earnings Result | SHREERAMA Q3 results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2023-11-24 18:21:15,Mint,https://news.google.com/rss/articles/CBMijgFBVV95cUxNU2JlcTJGZnB6czhYNl9xWFRUTW9yZlh5MXEtQUhVY2RUVXR6WWVJek94ZHNUSVB1RHFPQ0sxc3FISWVrQmxfazhyMTdKOGNVTGFuT2hCdDlIVjFaNW5XQTBrbGZsSFhpeUNTTlZFd1JVaHYyTHpDaUpHaHZEUVlhMmF3akJvcy1yTlk0aEh3?oc=5
SHREERAMA,Shree Rama Multi-Tech Limited,Shree Rama Multi-Tech Reports Strong Financial Growth in May 2025 Results - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxPMlI2dTd4V05MS2x0eGtfZzN3QU9FRkJEbF9STVdLV0xrWi00MXdNZjdra19xMWdQcXFHRzlMcU53TTlEbWRfVjJWaTRhRHFkYnNoOGthX0VTSWEwd2s1TUh5dGRvQWpQWkN3bzhBSWk2SUpSZGhXdnZBaWluNEVob1RoN0NEaVJFZk9aY1p5a05USjRCS1hzVVlvVWhkYVNYZFA2R1hTa3BRX09hOU9PYjlZQ0VFa3RMRWhVYmxnbDk?oc=5"" target=""_blank"">Shree Rama Multi-Tech Reports Strong Financial Growth in May 2025 Results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-05-14 07:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPMlI2dTd4V05MS2x0eGtfZzN3QU9FRkJEbF9STVdLV0xrWi00MXdNZjdra19xMWdQcXFHRzlMcU53TTlEbWRfVjJWaTRhRHFkYnNoOGthX0VTSWEwd2s1TUh5dGRvQWpQWkN3bzhBSWk2SUpSZGhXdnZBaWluNEVob1RoN0NEaVJFZk9aY1p5a05USjRCS1hzVVlvVWhkYVNYZFA2R1hTa3BRX09hOU9PYjlZQ0VFa3RMRWhVYmxnbDk?oc=5
SHREERAMA,Shree Rama Multi-Tech Limited,Shree Rama Multi-Tech Limited CFO Hemant Shah Resigns - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxOMDRCZldSRkVYMHkybW8wcTQ2MlJ5ZVEtXzJQRGtIbUgxMDJyR0JiRm1WdUlaR1FFQmhTb2tWS05JOXlaZlR1NnkzektqbUhETGtMOUpQaW9tenJvb3JOand6WWdnMW5PRmZFNTdmMjlQQXlVcDF3WDNqLWtxb2ZfRk9JYlVKTWRrMjlxQ3JwaFlMOUpLRVdUZEVhemFMcGllZWh1dTZhcUVLU1k?oc=5"" target=""_blank"">Shree Rama Multi-Tech Limited CFO Hemant Shah Resigns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-31 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOMDRCZldSRkVYMHkybW8wcTQ2MlJ5ZVEtXzJQRGtIbUgxMDJyR0JiRm1WdUlaR1FFQmhTb2tWS05JOXlaZlR1NnkzektqbUhETGtMOUpQaW9tenJvb3JOand6WWdnMW5PRmZFNTdmMjlQQXlVcDF3WDNqLWtxb2ZfRk9JYlVKTWRrMjlxQ3JwaFlMOUpLRVdUZEVhemFMcGllZWh1dTZhcUVLU1k?oc=5
SHREERAMA,Shree Rama Multi-Tech Limited,"Shree Rama Multi-Tech Reports 234% Profit Surge in Q1, Announces AGM Details - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOb3JuOTA2TENRWFdqZU9TU25OdGVOdXVYZTVfVUtLRVZQNGs4V3VtWmFwUDZmaFVQUS01cG9qdVVFQU9OV2hrVFVXbURyRm5lWjk1LWF0bXdDeGx4WW51MGw1Ui0xRm1SRXlHYUVCdmcxY1FxNGs3NFJvNVNieEF5T0VaQmI1QVFBd0d6QWUzNWFjOFNJNGFLR0hRR2trajZ1TEdqYzNVREVoWk5oZnl5MzdvQjJkQmNaOElUSDlSNGozLXlVUEYtRDJB?oc=5"" target=""_blank"">Shree Rama Multi-Tech Reports 234% Profit Surge in Q1, Announces AGM Details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-08-05 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiygFBVV95cUxOb3JuOTA2TENRWFdqZU9TU25OdGVOdXVYZTVfVUtLRVZQNGs4V3VtWmFwUDZmaFVQUS01cG9qdVVFQU9OV2hrVFVXbURyRm5lWjk1LWF0bXdDeGx4WW51MGw1Ui0xRm1SRXlHYUVCdmcxY1FxNGs3NFJvNVNieEF5T0VaQmI1QVFBd0d6QWUzNWFjOFNJNGFLR0hRR2trajZ1TEdqYzNVREVoWk5oZnl5MzdvQjJkQmNaOElUSDlSNGozLXlVUEYtRDJB?oc=5
