scrip,company,headline,summary,published_date,source,url
SIS,SIS LIMITED,SIS Historical Data - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTFBzT0lseGJyaXQwVS04bkxDR3RHUDBwbmI1NWt3RDNhVWM3MERzaVlBYThLbEo0bnpYTXYzT1hKTWF1aUgtR0FibWNvZzFsblljWU05LVVLOGVaZVow?oc=5"" target=""_blank"">SIS Historical Data</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2026-02-20 08:47:19,Equitypandit,https://news.google.com/rss/articles/CBMiXEFVX3lxTFBzT0lseGJyaXQwVS04bkxDR3RHUDBwbmI1NWt3RDNhVWM3MERzaVlBYThLbEo0bnpYTXYzT1hKTWF1aUgtR0FibWNvZzFsblljWU05LVVLOGVaZVow?oc=5
SIS,SIS LIMITED,"SIS Limited Allots 13,106 Equity Shares Under Employee Stock Option Plan - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPTGFYN1gwclJIaWRodTdBMk1HLThDWjVOZkluVUJhVExKVVdHeEpPdXdYbUltOTh3bFE3M09iYTN1bDRzMmVWUmhTZVk5SEVvUnpoNU40dy1IWENiUU0wOHozWXRhWWJmMWxUTWlFbFlNRmxFbnhPUGY0UWRqdzJuNmJLOFVBMUJCd3BRSTRYNXFwd0ZSNWRPNldtUEoxNWlnSlZGcXowbUdkaGc5NVlLN1Q5SWNudzVqNHNOZWlCNmlpaEJraUN5NXFEN0JMVjY0U193?oc=5"" target=""_blank"">SIS Limited Allots 13,106 Equity Shares Under Employee Stock Option Plan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-23 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPTGFYN1gwclJIaWRodTdBMk1HLThDWjVOZkluVUJhVExKVVdHeEpPdXdYbUltOTh3bFE3M09iYTN1bDRzMmVWUmhTZVk5SEVvUnpoNU40dy1IWENiUU0wOHozWXRhWWJmMWxUTWlFbFlNRmxFbnhPUGY0UWRqdzJuNmJLOFVBMUJCd3BRSTRYNXFwd0ZSNWRPNldtUEoxNWlnSlZGcXowbUdkaGc5NVlLN1Q5SWNudzVqNHNOZWlCNmlpaEJraUN5NXFEN0JMVjY0U193?oc=5
SIS,SIS LIMITED,"SIS Limited Allots 13,106 Equity Shares Under Employee Stock Option Plan - indiaipo.in","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxNMnhtSVp2MHphTGFYM2FXcElsNEpEQ1FDODNQbXBxT2MyS2k1cnpJSWg0dEpsSjJfcjBJT1FFYzh0Q2NQX2Q2U1hHREtkVHJCaU9rQ1QzVVJIWDJFNUIyUzBrYlJwVUUxS3BRUEZLT2x2QmsybWlZZ1ZtZHpxaHFWbzhER0JJMzE3d3NwVFV0dlA5NDVBSnFnMi15TlFQNmNjcUNXTkdOTGkxMHM?oc=5"" target=""_blank"">SIS Limited Allots 13,106 Equity Shares Under Employee Stock Option Plan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indiaipo.in</font>",2026-02-24 04:02:13,indiaipo.in,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNMnhtSVp2MHphTGFYM2FXcElsNEpEQ1FDODNQbXBxT2MyS2k1cnpJSWg0dEpsSjJfcjBJT1FFYzh0Q2NQX2Q2U1hHREtkVHJCaU9rQ1QzVVJIWDJFNUIyUzBrYlJwVUUxS3BRUEZLT2x2QmsybWlZZ1ZtZHpxaHFWbzhER0JJMzE3d3NwVFV0dlA5NDVBSnFnMi15TlFQNmNjcUNXTkdOTGkxMHM?oc=5
SIS,SIS LIMITED,SIS Limited Just Missed Earnings With A Surprise Loss - Here Are Analysts Latest Forecasts - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPQkRVRm10N1RUd2R6Si12a09vVHpRd2QyaWZ5N3E3cVIyV2dRT3d0VTVpMGNHdkI1YTZYRjNiYVctNkNGaks5Wl8wbk9HQmFkbGhScHhNVkdpNGFXWS1ub09yMWRLVXA1UVhFUHBITFN3OWJPV3BFT0hNX2xiekZlREE5YTkxeTJLVFdoeWswdnRzaGNkeUF5dEU0eXN1ZmFrZXNvUE9EODJHS2lUQ2s2U0ZhejJ0S1h1T0liUGpfUlJJUGRQei1ndVRBWE0wamJ6SkHSAdcBQVVfeXFMUHRLTEpLQk1RS0Q5TGFadHBnb0k4Y3YzVEItNmdTQkNNWTlpWS1aUlMzaXFZbkJVZWNDRjFUS1gyMk5kY1UwLUtvbnBoVW03anRWMEZmRUZXb2FnemVxZHF3T283a0h3QmMxS2VwQmFIcG11R1ZEYkVGbnJ2MmhLTDlFVU4tRHVVem5JLUNuem80LVNndHA1R0tRdlhzWmJNd0pJUmdYRWtQLVdzRS1palNBbVBhWEZpQU5nWVc3YXJZS2FJNVJDYTg1NUVJcXA2RlpzY2R0WE0?oc=5"" target=""_blank"">SIS Limited Just Missed Earnings With A Surprise Loss - Here Are Analysts Latest Forecasts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-03 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPQkRVRm10N1RUd2R6Si12a09vVHpRd2QyaWZ5N3E3cVIyV2dRT3d0VTVpMGNHdkI1YTZYRjNiYVctNkNGaks5Wl8wbk9HQmFkbGhScHhNVkdpNGFXWS1ub09yMWRLVXA1UVhFUHBITFN3OWJPV3BFT0hNX2xiekZlREE5YTkxeTJLVFdoeWswdnRzaGNkeUF5dEU0eXN1ZmFrZXNvUE9EODJHS2lUQ2s2U0ZhejJ0S1h1T0liUGpfUlJJUGRQei1ndVRBWE0wamJ6SkHSAdcBQVVfeXFMUHRLTEpLQk1RS0Q5TGFadHBnb0k4Y3YzVEItNmdTQkNNWTlpWS1aUlMzaXFZbkJVZWNDRjFUS1gyMk5kY1UwLUtvbnBoVW03anRWMEZmRUZXb2FnemVxZHF3T283a0h3QmMxS2VwQmFIcG11R1ZEYkVGbnJ2MmhLTDlFVU4tRHVVem5JLUNuem80LVNndHA1R0tRdlhzWmJNd0pJUmdYRWtQLVdzRS1palNBbVBhWEZpQU5nWVc3YXJZS2FJNVJDYTg1NUVJcXA2RlpzY2R0WE0?oc=5
SIS,SIS LIMITED,ELP advises SIS Limited on ₹150 crore buyback of shares - Bar and Bench,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxOUEZIZ01RdmpGZ0xHQktCN0U2WnZaOXB0LWZoNTc3SGJzM0MtNGFIdVBqOHAwcXdkUGVGVUVFbmZRUmtVRFluektBQVFEQW82X0FjaDJ3SnF1Z1JQbmRMUU9Rb0RGMkxQeVVRT1AxRGRVcWFHWUpJcGtqRDJlMk5vOEFDaVZGY3AzRmliYnMwM0hIbVItbUpBUQ?oc=5"" target=""_blank"">ELP advises SIS Limited on ₹150 crore buyback of shares</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bar and Bench</font>",2025-08-27 07:00:00,Bar and Bench,https://news.google.com/rss/articles/CBMimAFBVV95cUxOUEZIZ01RdmpGZ0xHQktCN0U2WnZaOXB0LWZoNTc3SGJzM0MtNGFIdVBqOHAwcXdkUGVGVUVFbmZRUmtVRFluektBQVFEQW82X0FjaDJ3SnF1Z1JQbmRMUU9Rb0RGMkxQeVVRT1AxRGRVcWFHWUpJcGtqRDJlMk5vOEFDaVZGY3AzRmliYnMwM0hIbVItbUpBUQ?oc=5
SIS,SIS LIMITED,"SIS announces share buyback at ₹404 per share, offer to open on June 12 - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxNVy1qVUZHQW1JMTZ5WFM2ejZkaGFKV0pKcVZqVXlwUmpranRYNGRyRGQ2b3VLQ1N2ZURGUG1aVlhWc25QMjZHU3hzVWZtUWRlTm5TNW1TYzVhdW1janlHVm9TWk5IUHN1X2VtaVc3WTdyclBWVVc0MzVGYlpFRE05cl9zQ1l5U2Y5b3VQRWREcy1HVVczU0RmSnY2RmJvZ3FfTWFFNElNd1B4b2dPb1pFVk11STJUdmVkYlA4ZmF5UldQRElJc0x0YVNUTlY2YkFRd3fSAdcBQVVfeXFMUFhIa2lhWnpXWkplX2FpTW11T2NqTmxRd3lEM0huM0J1eUFUQ01RZVltaUhJaVlEUkFEQk9LakNRZDNLT3dLREszRFFiVGxLc3QxemdsaXhlTTg5WTZ4ZU01U1g2YThGSTFESHNHblBfOWxTTVZzUTBJXzhJRUpsUmdXUDB0QVRpbEprejdNb0NDdGkxZHZoNWNLR2Z6dmkwTm9XSUVISldhanJFU0NHQWgtOW1rMUQ3TVUxOEMxMzljLWR5X1E3SzE1NTAySEJrSTRqSXZkUmc?oc=5"" target=""_blank"">SIS announces share buyback at ₹404 per share, offer to open on June 12</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-06-10 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNVy1qVUZHQW1JMTZ5WFM2ejZkaGFKV0pKcVZqVXlwUmpranRYNGRyRGQ2b3VLQ1N2ZURGUG1aVlhWc25QMjZHU3hzVWZtUWRlTm5TNW1TYzVhdW1janlHVm9TWk5IUHN1X2VtaVc3WTdyclBWVVc0MzVGYlpFRE05cl9zQ1l5U2Y5b3VQRWREcy1HVVczU0RmSnY2RmJvZ3FfTWFFNElNd1B4b2dPb1pFVk11STJUdmVkYlA4ZmF5UldQRElJc0x0YVNUTlY2YkFRd3fSAdcBQVVfeXFMUFhIa2lhWnpXWkplX2FpTW11T2NqTmxRd3lEM0huM0J1eUFUQ01RZVltaUhJaVlEUkFEQk9LakNRZDNLT3dLREszRFFiVGxLc3QxemdsaXhlTTg5WTZ4ZU01U1g2YThGSTFESHNHblBfOWxTTVZzUTBJXzhJRUpsUmdXUDB0QVRpbEprejdNb0NDdGkxZHZoNWNLR2Z6dmkwTm9XSUVISldhanJFU0NHQWgtOW1rMUQ3TVUxOEMxMzljLWR5X1E3SzE1NTAySEJrSTRqSXZkUmc?oc=5
SIS,SIS LIMITED,SIS Limited Issues New Shares Under Employee Stock Option Plan - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxQLWoyUlRQVXRUc1hsQ0N4bWhkRWc3dUxZMkxjUmFmTFZKWlJsR1ZpVGt0WkVON2Z1bFAzR3QwVzdxMlZLYlpVSnY2ODlWRW9LX2d5V1FyMy00ODktamw5T254MmhqY0hnWUF6bk9kX3ZzdGpWajlNYWw0TTNYM3VKY1VFWl8wcVhHNDFpUm1sTlJHSnEyd0o5X2EtMWo5cEVkbDRDUklQUDZMSDNwTXF5REFaSzg?oc=5"" target=""_blank"">SIS Limited Issues New Shares Under Employee Stock Option Plan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2026-02-23 16:38:58,TipRanks,https://news.google.com/rss/articles/CBMitAFBVV95cUxQLWoyUlRQVXRUc1hsQ0N4bWhkRWc3dUxZMkxjUmFmTFZKWlJsR1ZpVGt0WkVON2Z1bFAzR3QwVzdxMlZLYlpVSnY2ODlWRW9LX2d5V1FyMy00ODktamw5T254MmhqY0hnWUF6bk9kX3ZzdGpWajlNYWw0TTNYM3VKY1VFWl8wcVhHNDFpUm1sTlJHSnEyd0o5X2EtMWo5cEVkbDRDUklQUDZMSDNwTXF5REFaSzg?oc=5
SIS,SIS LIMITED,"SIS Limited Allots 50,733 Equity Shares Under Employee Stock Option Plan - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxON2JjYktXdndKY0VkdXJ3MmdHTUFyWm43QVFrSExQZ1FOUTBoY0gxNDVlamU3Sk5lZkNOM2U4blQzWlJOR0V2VXh4UHFkMW42Mlh2MXVVNU5EMkRrRER1dlk1TnZwZVlSb3NiQVZPMmZuYnBscl9TU1FTX0lzb1dhUnlCYl82YWxWbDFud2ZESXJXY3UtT1RQdGVFb3dqcS1jT3pnUTF2UnkxOW9Rek5tU3FFRlFBLTNVUjVhbFhaN2xCazNFUmxzWXlCV2JoZHYtbTNn?oc=5"" target=""_blank"">SIS Limited Allots 50,733 Equity Shares Under Employee Stock Option Plan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-28 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0wFBVV95cUxON2JjYktXdndKY0VkdXJ3MmdHTUFyWm43QVFrSExQZ1FOUTBoY0gxNDVlamU3Sk5lZkNOM2U4blQzWlJOR0V2VXh4UHFkMW42Mlh2MXVVNU5EMkRrRER1dlk1TnZwZVlSb3NiQVZPMmZuYnBscl9TU1FTX0lzb1dhUnlCYl82YWxWbDFud2ZESXJXY3UtT1RQdGVFb3dqcS1jT3pnUTF2UnkxOW9Rek5tU3FFRlFBLTNVUjVhbFhaN2xCazNFUmxzWXlCV2JoZHYtbTNn?oc=5
SIS,SIS LIMITED,SIS Ltd is Rated Sell by MarketsMOJO - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQcFRzMDA3NTNBR1Vicno5QVhqZlRmV3VjY3Y5dWRGWG93UnNYMzctdnVZTGx0dWdpbFZ6MVFmelNvZGJjV21UYW9ObVI2cTQ2TGpIY2Jsc0tXMEd5bU85TnFwWlBJX2l0d05UVDF6REdoRzBmQkw4R2FraDI4VEsybTNmSjc2QnItSFNfT1RZd2FpSFdEQ0RhUXo2TnJxNkk?oc=5"" target=""_blank"">SIS Ltd is Rated Sell by MarketsMOJO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-17 06:52:52,Markets Mojo,https://news.google.com/rss/articles/CBMinwFBVV95cUxQcFRzMDA3NTNBR1Vicno5QVhqZlRmV3VjY3Y5dWRGWG93UnNYMzctdnVZTGx0dWdpbFZ6MVFmelNvZGJjV21UYW9ObVI2cTQ2TGpIY2Jsc0tXMEd5bU85TnFwWlBJX2l0d05UVDF6REdoRzBmQkw4R2FraDI4VEsybTNmSjc2QnItSFNfT1RZd2FpSFdEQ0RhUXo2TnJxNkk?oc=5
SIS,SIS LIMITED,SIS Limited Reports Strong Q2 FY26 Performance with 15% Revenue Growth and Record EBITDA - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPeE5HZVdyVDlGRkpEYjNWeFp0TnN4M0JzSlNFV1ExOUtyZVJzbkEzRnlWN19iTnZJaHppM3FueVlDLUVLX2NHOWdYQ19ndnRGNzRJMUp5alFYNGFma0h4cVRYc2hpSUFYT1BMb1FuaDRKVkxxY1o4d3ZVZndDbGx2cnJiVmViRWRYazQtYktEN2lJWkhqc0dzeWZOcFQ0S0M3a3JRWURSanZzWjR5R0lqODFocnM0OGF5Z2M2bUZXSVp6M3FDTGlRemJXSUNQLThweHlPVGc0dG1UY0U?oc=5"" target=""_blank"">SIS Limited Reports Strong Q2 FY26 Performance with 15% Revenue Growth and Record EBITDA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-05 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPeE5HZVdyVDlGRkpEYjNWeFp0TnN4M0JzSlNFV1ExOUtyZVJzbkEzRnlWN19iTnZJaHppM3FueVlDLUVLX2NHOWdYQ19ndnRGNzRJMUp5alFYNGFma0h4cVRYc2hpSUFYT1BMb1FuaDRKVkxxY1o4d3ZVZndDbGx2cnJiVmViRWRYazQtYktEN2lJWkhqc0dzeWZOcFQ0S0M3a3JRWURSanZzWjR5R0lqODFocnM0OGF5Z2M2bUZXSVp6M3FDTGlRemJXSUNQLThweHlPVGc0dG1UY0U?oc=5
