scrip,company,headline,summary,published_date,source,url
SPENCERS,Spencer's Retail Limited,We Discuss Why Spencer's Retail Limited's (NSE:SPENCERS) CEO Compensation May Be Closely Reviewed - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPQUlqNm5JNkpYalJmR3FkYnVyRUZzQ0pTbl85RXFfb09NQUJIX3psYXE2b1R2bmhSMXlCQ3pqT0ZqYno1c3hkSkptRmkyV3d2b2ZDWTd1OHlTSVd3dzRob1hRQ1lJeFlLc0F4VkVKSTJfeUh0dUJrUjFheE5tS180WUd3eHJGYU4za1dMdEk1bXdFMm8wTDBrcWFpcjBRXzNRSmYzTlVubTdjMGIweXZCemFPTDRhVlVvdlFiUnpOZThtb2ZNSmExUVFYTUxMbm9VR1ltX3pyckJjakZETTA0bEFlSFM4OVHSAewBQVVfeXFMUGFqLTEzOXhtYWdjQ0lmVTEzdnBxNmVHcHNTdlNxcHA1TGVJRnpRUEFXRmxpNjgyNjh2WEd5eko0aTFHblAtMkxjd2JRbDVsb0pCWGk2Q1MyekVfQUNXYkRsRHJvajZ3QmhENVhzeG1LYW9GOHJPbmNWb19NRGxCdU5QOVI5YVVXRmYxLXVRSkdTdm9JTU1nTGJJMnI2SkEwcVc5dWFYS2FnRGprR0hMN2FiU3JHQXZHTXNWUDlJNnFGdWZ5eEN5M1YtdWFXUTRvRjFwRGZlRmdxTTBYRVRfOUtpVjhBOHJQdGtGQ1A?oc=5"" target=""_blank"">We Discuss Why Spencer's Retail Limited's (NSE:SPENCERS) CEO Compensation May Be Closely Reviewed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-05 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPQUlqNm5JNkpYalJmR3FkYnVyRUZzQ0pTbl85RXFfb09NQUJIX3psYXE2b1R2bmhSMXlCQ3pqT0ZqYno1c3hkSkptRmkyV3d2b2ZDWTd1OHlTSVd3dzRob1hRQ1lJeFlLc0F4VkVKSTJfeUh0dUJrUjFheE5tS180WUd3eHJGYU4za1dMdEk1bXdFMm8wTDBrcWFpcjBRXzNRSmYzTlVubTdjMGIweXZCemFPTDRhVlVvdlFiUnpOZThtb2ZNSmExUVFYTUxMbm9VR1ltX3pyckJjakZETTA0bEFlSFM4OVHSAewBQVVfeXFMUGFqLTEzOXhtYWdjQ0lmVTEzdnBxNmVHcHNTdlNxcHA1TGVJRnpRUEFXRmxpNjgyNjh2WEd5eko0aTFHblAtMkxjd2JRbDVsb0pCWGk2Q1MyekVfQUNXYkRsRHJvajZ3QmhENVhzeG1LYW9GOHJPbmNWb19NRGxCdU5QOVI5YVVXRmYxLXVRSkdTdm9JTU1nTGJJMnI2SkEwcVc5dWFYS2FnRGprR0hMN2FiU3JHQXZHTXNWUDlJNnFGdWZ5eEN5M1YtdWFXUTRvRjFwRGZlRmdxTTBYRVRfOUtpVjhBOHJQdGtGQ1A?oc=5
SPENCERS,Spencer's Retail Limited,"Spencer's Retail Q3 loss widens to Rs 58.4 cr, revenue slips marginally - The Economic Times","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQdF9xMjd1RUprTTlrWV9QSjkzWDR3VjNGS3I1OFRXZDJUc201T2N5Q2k0MUtIYVRtYkhJcmQ0Z0xCcktVaXVqVEpBRzVpZDdid3NLZkNwM2lqUjUtTm5RWGM0eVNVSFZ1NkpwdVhMd1g5SVItN3o2Smp5blplaGN2bFNmQ3NrZGQ0UEpfMlBYdWVfdGpONVEtajY3VUNpWVViUUZyLXpBVG14NTYtWUlwM2pTN01JZmhQaWdLclJCUHZPZjNiN1JVT0p5aWRDWnlIYjVKaE5iQ2RTZDdmcUphLdIB5gFBVV95cUxQV0FoZk9nNWp1RWFleF9FVm51NnNRaTFqTEhyR1RtWXdQZWk4UWg3MjkwSWlsT1kwY21pSkpRWjVBZjYwLTVQd1hsNFRheGkyYWUxSVZxQmNLLVVmeldaWHU0NGhDZ2w3Y1g1R0VpeDd5Z3dpcmZxRGxrcHBFQ2VHMlhhWnJja0Fja2thMjRqMHdYTTlPMnRBZ205bWFkbF9HZmQxdGg0RHd4U0p3MlhOd0RhYUNGdDZkVlNPcUtWal9sLWhFVzNaWnc0ZUZWc0swUU85ZmVkaWtjWnJQd3RWT2NIeVBudw?oc=5"" target=""_blank"">Spencer's Retail Q3 loss widens to Rs 58.4 cr, revenue slips marginally</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",2026-02-06 08:00:00,The Economic Times,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQdF9xMjd1RUprTTlrWV9QSjkzWDR3VjNGS3I1OFRXZDJUc201T2N5Q2k0MUtIYVRtYkhJcmQ0Z0xCcktVaXVqVEpBRzVpZDdid3NLZkNwM2lqUjUtTm5RWGM0eVNVSFZ1NkpwdVhMd1g5SVItN3o2Smp5blplaGN2bFNmQ3NrZGQ0UEpfMlBYdWVfdGpONVEtajY3VUNpWVViUUZyLXpBVG14NTYtWUlwM2pTN01JZmhQaWdLclJCUHZPZjNiN1JVT0p5aWRDWnlIYjVKaE5iQ2RTZDdmcUphLdIB5gFBVV95cUxQV0FoZk9nNWp1RWFleF9FVm51NnNRaTFqTEhyR1RtWXdQZWk4UWg3MjkwSWlsT1kwY21pSkpRWjVBZjYwLTVQd1hsNFRheGkyYWUxSVZxQmNLLVVmeldaWHU0NGhDZ2w3Y1g1R0VpeDd5Z3dpcmZxRGxrcHBFQ2VHMlhhWnJja0Fja2thMjRqMHdYTTlPMnRBZ205bWFkbF9HZmQxdGg0RHd4U0p3MlhOd0RhYUNGdDZkVlNPcUtWal9sLWhFVzNaWnc0ZUZWc0swUU85ZmVkaWtjWnJQd3RWT2NIeVBudw?oc=5
SPENCERS,Spencer's Retail Limited,Spencer's Retail Reports 7% QoQ Growth in Q2FY26 Despite Supply Chain Challenges - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQcncwSlROMkdwdTQ2bHhaRFl5TjNZaHctNkVya19XRFA4aHBfSXI2ZERmcU11azRhU1AyaUFhQVRrSkJKMEFCaFFaQ3g2am4wbDg1ZmJKeHZKcjBLNFRkUVBkaGdBMW56TllwY0RBSUczaFZnaFZjbzBkbW1JQjFadFNwYi1OMTV6aDJYMi1EdHRseUJEUUpkemdRSGF5d25iaFFFWExKbmtkNjJEMGtJbmdsV1lISW16b0FRSi1IME5sX3ZTMkhJNTdRTWRHa0pw?oc=5"" target=""_blank"">Spencer's Retail Reports 7% QoQ Growth in Q2FY26 Despite Supply Chain Challenges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-16 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQcncwSlROMkdwdTQ2bHhaRFl5TjNZaHctNkVya19XRFA4aHBfSXI2ZERmcU11azRhU1AyaUFhQVRrSkJKMEFCaFFaQ3g2am4wbDg1ZmJKeHZKcjBLNFRkUVBkaGdBMW56TllwY0RBSUczaFZnaFZjbzBkbW1JQjFadFNwYi1OMTV6aDJYMi1EdHRseUJEUUpkemdRSGF5d25iaFFFWExKbmtkNjJEMGtJbmdsV1lISW16b0FRSi1IME5sX3ZTMkhJNTdRTWRHa0pw?oc=5
SPENCERS,Spencer's Retail Limited,Spencer's Retail Limited (NSE:SPENCERS) Looks Inexpensive But Perhaps Not Attractive Enough - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxNLTdTeUo3RnFmcXRzMU9sbUJnVW5kek9QaERjWmVJQU1ETVRFTEpyLTF6RXhQcldZQlEzNTRWMTZnMUVXWlQ4bFVlSUlFTWU1X2J2OVBYRTNvMFFfclRZZkJZczdXREo5cHE5WjBFbXZ1UFdWZzEtampkbWpZTVhaYi1kSWNaWVBwcEVKd1VlSXZacTJ3a3dGNTE0T25obkllWXpPTEhQQ1AwUTBTSXJOSDRmcTVCdjJyV3ExV1hqNTJOdnE1WG14ZnpOLWw2UTJobVJsY2Q2NjFxT2JMRzZTdWxEWG1sU2PSAewBQVVfeXFMUEFobGJ6Q20wMjRLNk9nbWdKakFOQTNteVNob0NJUzZ4a193VTRzZlpNYlBPVWRiMERFV1dpaDZxMElwT2JJSTJ6Q1JONy1zU29pc0oxbk82aXh0LUdSYmlTMGlMdnV5Yk4wSXpGWWFRRFJLZ0VrXzdwVXJWNVlnclRLdlFxS3h6dDlCaWF1VGlzMjE1R3JtUFZxdXpNT2w5WDV0Qi1zaDE5M1RUaUxBcHZEbWpZOW9xOHNNYUFINU1Ya1dqSktmSjRLLVFqbF9IOUVtaDBTSTFNM3RzQWtRVE1FUmNZS1NNYURsTkU?oc=5"" target=""_blank"">Spencer's Retail Limited (NSE:SPENCERS) Looks Inexpensive But Perhaps Not Attractive Enough</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-13 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxNLTdTeUo3RnFmcXRzMU9sbUJnVW5kek9QaERjWmVJQU1ETVRFTEpyLTF6RXhQcldZQlEzNTRWMTZnMUVXWlQ4bFVlSUlFTWU1X2J2OVBYRTNvMFFfclRZZkJZczdXREo5cHE5WjBFbXZ1UFdWZzEtampkbWpZTVhaYi1kSWNaWVBwcEVKd1VlSXZacTJ3a3dGNTE0T25obkllWXpPTEhQQ1AwUTBTSXJOSDRmcTVCdjJyV3ExV1hqNTJOdnE1WG14ZnpOLWw2UTJobVJsY2Q2NjFxT2JMRzZTdWxEWG1sU2PSAewBQVVfeXFMUEFobGJ6Q20wMjRLNk9nbWdKakFOQTNteVNob0NJUzZ4a193VTRzZlpNYlBPVWRiMERFV1dpaDZxMElwT2JJSTJ6Q1JONy1zU29pc0oxbk82aXh0LUdSYmlTMGlMdnV5Yk4wSXpGWWFRRFJLZ0VrXzdwVXJWNVlnclRLdlFxS3h6dDlCaWF1VGlzMjE1R3JtUFZxdXpNT2w5WDV0Qi1zaDE5M1RUaUxBcHZEbWpZOW9xOHNNYUFINU1Ya1dqSktmSjRLLVFqbF9IOUVtaDBTSTFNM3RzQWtRVE1FUmNZS1NNYURsTkU?oc=5
SPENCERS,Spencer's Retail Limited,"Spencer's Retail Q3FY26 Loss Widens to ₹58.35 Crores, Revenue Declines 2.73% - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxPTG5Bbm15X21kaWhWZTROTW1pb2d3UklrcC1XSkMyMWRpc1g2NVF5TVNPcGhNdHFyOWFwVWhXZ1pxdmQxcFNmTzdfWF9ua3ctX19xR0dfdmNwM2YyMmp5aG8xTWNjZFhpTy1Dckh4clBiWXNMZ1dKTUxKM3J1ZkdqWk1iVHRPN3ZldWhlanVaSDkwTjRHTnFzcmZQakhacUdUN3FsR19kZ3VQc0lFU290bE45dXM3bG1manRIQUxleWJFT0RrczUtMg?oc=5"" target=""_blank"">Spencer's Retail Q3FY26 Loss Widens to ₹58.35 Crores, Revenue Declines 2.73%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-06 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPTG5Bbm15X21kaWhWZTROTW1pb2d3UklrcC1XSkMyMWRpc1g2NVF5TVNPcGhNdHFyOWFwVWhXZ1pxdmQxcFNmTzdfWF9ua3ctX19xR0dfdmNwM2YyMmp5aG8xTWNjZFhpTy1Dckh4clBiWXNMZ1dKTUxKM3J1ZkdqWk1iVHRPN3ZldWhlanVaSDkwTjRHTnFzcmZQakhacUdUN3FsR19kZ3VQc0lFU290bE45dXM3bG1manRIQUxleWJFT0RrczUtMg?oc=5
SPENCERS,Spencer's Retail Limited,Spencer's Retail Q4 loss narrows to Rs 68 cr - The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNczhNT3JGTENFWHZVRmNRSktmN3lWbEhXcThUandDOWk2Q2xoeFB6ekxNY25EU2F4NEJZZW9jTnVMcUlhR2xrOFo1WFNPUVVSdlBNdGlhdlAyQ0xiQlhyNVJyY05TaVhUa2dBM250UTZ0ek5nLWVsUGtDYXoxdFJsd1ZsMkEyQ00zWkU4TlEtRlBtcklfQjZrc3pUajRpRHgwNGpDT05SdHZ3OXhHcHpiYTE0UFJyZWgxMExPakN30gHDAUFVX3lxTE9zbWszYkMybTZYUm1BbWJTYXhlM1hxcUZEeGhIRF9iaFNtZDVHLXdPVXFSNlF1b1p6NUx4MlQwWGszR2wwcmtjbWk1NUNGN18tRUNwbEQxdkhENGEwWWh4WGsyT2lhczUyWEFGcmlQZ3pxWi1xaGxHTGN5Qlg5ZW5UOUp2UWtlcldYTG5hejBHTDFvUXMtRTdiR1FhWVhVbWtnY01PTzA4eV9QYVR5WUFxNU96VXFPSTNwZVNYWDFRWGtTQQ?oc=5"" target=""_blank"">Spencer's Retail Q4 loss narrows to Rs 68 cr</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",2025-05-15 07:00:00,The Economic Times,https://news.google.com/rss/articles/CBMivgFBVV95cUxNczhNT3JGTENFWHZVRmNRSktmN3lWbEhXcThUandDOWk2Q2xoeFB6ekxNY25EU2F4NEJZZW9jTnVMcUlhR2xrOFo1WFNPUVVSdlBNdGlhdlAyQ0xiQlhyNVJyY05TaVhUa2dBM250UTZ0ek5nLWVsUGtDYXoxdFJsd1ZsMkEyQ00zWkU4TlEtRlBtcklfQjZrc3pUajRpRHgwNGpDT05SdHZ3OXhHcHpiYTE0UFJyZWgxMExPakN30gHDAUFVX3lxTE9zbWszYkMybTZYUm1BbWJTYXhlM1hxcUZEeGhIRF9iaFNtZDVHLXdPVXFSNlF1b1p6NUx4MlQwWGszR2wwcmtjbWk1NUNGN18tRUNwbEQxdkhENGEwWWh4WGsyT2lhczUyWEFGcmlQZ3pxWi1xaGxHTGN5Qlg5ZW5UOUp2UWtlcldYTG5hejBHTDFvUXMtRTdiR1FhWVhVbWtnY01PTzA4eV9QYVR5WUFxNU96VXFPSTNwZVNYWDFRWGtTQQ?oc=5
SPENCERS,Spencer's Retail Limited,"Facing negative net worth, Spencer's Retail to shut loss-making stores - cogencis.com","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxQOFhpX2RRNlVNclVwT2l1a3JqRkVLRDFFaW9QNmQ1NnRMeVBQRXB5VnBGTHpmc3oxcEVSQld6ZVpFVW9xbEhFUmUtUkZSNUxVX0l5aVNtV3pENlZuaFdQNnJoNW9iQ0dhcGJJbnJrUEI0RFA5eG9zUy1HOXR3c1FrNFpsWDdLTjVqaGF6WE5IYVlOWUVCUHFfRFlzYnJ2cHdD?oc=5"" target=""_blank"">Facing negative net worth, Spencer's Retail to shut loss-making stores</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cogencis.com</font>",2024-02-22 08:00:00,cogencis.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxQOFhpX2RRNlVNclVwT2l1a3JqRkVLRDFFaW9QNmQ1NnRMeVBQRXB5VnBGTHpmc3oxcEVSQld6ZVpFVW9xbEhFUmUtUkZSNUxVX0l5aVNtV3pENlZuaFdQNnJoNW9iQ0dhcGJJbnJrUEI0RFA5eG9zUy1HOXR3c1FrNFpsWDdLTjVqaGF6WE5IYVlOWUVCUHFfRFlzYnJ2cHdD?oc=5
SPENCERS,Spencer's Retail Limited,Spencer's Retail Reports Mixed Q2 Results: 7% QoQ Growth Amid Year-on-Year Decline - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxNWk1kMmZ4OV9nOVlLZTBhY1FxRTdXSGJFd1h4STlKVk52enlLQ2ctOHNnTTNwaE96czByTzN1dktfVlRxNW1wRkNKLWl0VWRWVUNzaGNqSDJrM09keW1PY0lhSnNLVEtGOTJDdkZnYVk5Q3Rlb1JwSTQ5WnN3NUdnbXJiX0FkTDZGUG9qdkdTWFp1NEdMR2pfT2p2TlZGblpOQjlHbFQ2N0tnaEstdlJlX09oak0ybXdUcUk0NlcyZURnM3ltY18xQ2RTaGJPdndXYkE?oc=5"" target=""_blank"">Spencer's Retail Reports Mixed Q2 Results: 7% QoQ Growth Amid Year-on-Year Decline</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-10 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNWk1kMmZ4OV9nOVlLZTBhY1FxRTdXSGJFd1h4STlKVk52enlLQ2ctOHNnTTNwaE96czByTzN1dktfVlRxNW1wRkNKLWl0VWRWVUNzaGNqSDJrM09keW1PY0lhSnNLVEtGOTJDdkZnYVk5Q3Rlb1JwSTQ5WnN3NUdnbXJiX0FkTDZGUG9qdkdTWFp1NEdMR2pfT2p2TlZGblpOQjlHbFQ2N0tnaEstdlJlX09oak0ybXdUcUk0NlcyZURnM3ltY18xQ2RTaGJPdndXYkE?oc=5
SPENCERS,Spencer's Retail Limited,Pluckk becomes exclusive fresh produce partner for Spencer's Retail - Essar,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNTHFwN0k5SWxBbHhCV2c3UGpkaXhhMU5YRVpYZzBQVUxHbEliN0wyOUVTZjFBbzFzSVdkcjhmZVowVFpXSFA4VnpaZjhPaGY4eWJWVm9kNEdRdDNMc3JoWU1zd3ZaODBDaEFUeW90cnNMSU0wZmJtMURMdHh4OUdtN2tYWTlVVEt3bWJGX1ZJWnlYRmdzZWlmd09Ma0dBZXZq?oc=5"" target=""_blank"">Pluckk becomes exclusive fresh produce partner for Spencer's Retail</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Essar</font>",2024-10-14 09:52:45,Essar,https://news.google.com/rss/articles/CBMioAFBVV95cUxNTHFwN0k5SWxBbHhCV2c3UGpkaXhhMU5YRVpYZzBQVUxHbEliN0wyOUVTZjFBbzFzSVdkcjhmZVowVFpXSFA4VnpaZjhPaGY4eWJWVm9kNEdRdDNMc3JoWU1zd3ZaODBDaEFUeW90cnNMSU0wZmJtMURMdHh4OUdtN2tYWTlVVEt3bWJGX1ZJWnlYRmdzZWlmd09Ma0dBZXZq?oc=5
SPENCERS,Spencer's Retail Limited,Spencer's Retail Sees Revised Market Assessment Amid Challenging Financials - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNR0E2Vmw3WGY1bGd3dC1jcXQwT2V1V0UtUnRQTnYxVVV6Q3ByOU5OalRtUG8xVklmSFBVZF81eTNVWjFSMWpHQ1RybVpQWlV2WFJ5N0E2N2JyZFY4VzQ1RzJlZ195UlBRbTl3WlZLMlZSWExjT0ZzZDBSOFdxWDBkd1MyUDNtMzRVS0VhdzlRSHYzUm9hSFBvblNMY0RUYTBJcWdFVk8xV25qWDV2dVRCRXh4OFpDdnVJOE9uU2NMc25OVEFhZDhrN2FHeXdDUzdj?oc=5"" target=""_blank"">Spencer's Retail Sees Revised Market Assessment Amid Challenging Financials</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-12-02 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNR0E2Vmw3WGY1bGd3dC1jcXQwT2V1V0UtUnRQTnYxVVV6Q3ByOU5OalRtUG8xVklmSFBVZF81eTNVWjFSMWpHQ1RybVpQWlV2WFJ5N0E2N2JyZFY4VzQ1RzJlZ195UlBRbTl3WlZLMlZSWExjT0ZzZDBSOFdxWDBkd1MyUDNtMzRVS0VhdzlRSHYzUm9hSFBvblNMY0RUYTBJcWdFVk8xV25qWDV2dVRCRXh4OFpDdnVJOE9uU2NMc25OVEFhZDhrN2FHeXdDUzdj?oc=5
