scrip,company,headline,summary,published_date,source,url
SURYAROSNI,Surya Roshni Limited,Will Weakness in Surya Roshni Limited's (NSE:SURYAROSNI) Stock Prove Temporary Given Strong Fundamentals? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNbkZpWnM2LXpoVHBaWmJrRkFJMEVRSml0d005amhKTEhBRzl5NnNFeU03RGNyajVPbUNCTGdoWFJtUU1Gcjc4Q1h6VEkzM2FFMUtSVThNR1hRYUNHZjExaDBfVi1DNlhtdGttbHZTZ2lqSHNXeXBBZUU4N2NxWjEwcG96TUEzSXNLRGYxaVRvMTdReEkyWFpfb25hRjR5S1NhOGZjQlJvbVk4VjFXUGNjNHVRZkNqNlhKVnZxQXJYVER2bE84bVlOQmxBRVZRb2tDM0g5RkZ5akNNZ9IB3wFBVV95cUxOclpJSWVTRHlkb0xUcXR5YWkyN0JjbHJiSXpIcDZCSlZ4OUpDTllmY2dKYzk5X0xzdUp4V3ZWZTdVVUVuYWdGOEVoZHBDdVFWdjY0VUVIOXRGbGthenZXRmNLSWlTUG5nRE5QdXFDNGdZZkswVkFGTi1CNTg2VHFrWWdJYUlXRmtrUk9PNFRpekI2UldnSV9jVmY0NTRUT3EwSnBjYkVXT182WmJxVnNVZzd3ZHFjUGR4RnZPRWsycnBhRGV4NjNyaUpQS2wwV0VKejFvSENETDRKeVhnQ1gw?oc=5"" target=""_blank"">Will Weakness in Surya Roshni Limited's (NSE:SURYAROSNI) Stock Prove Temporary Given Strong Fundamentals?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-12 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNbkZpWnM2LXpoVHBaWmJrRkFJMEVRSml0d005amhKTEhBRzl5NnNFeU03RGNyajVPbUNCTGdoWFJtUU1Gcjc4Q1h6VEkzM2FFMUtSVThNR1hRYUNHZjExaDBfVi1DNlhtdGttbHZTZ2lqSHNXeXBBZUU4N2NxWjEwcG96TUEzSXNLRGYxaVRvMTdReEkyWFpfb25hRjR5S1NhOGZjQlJvbVk4VjFXUGNjNHVRZkNqNlhKVnZxQXJYVER2bE84bVlOQmxBRVZRb2tDM0g5RkZ5akNNZ9IB3wFBVV95cUxOclpJSWVTRHlkb0xUcXR5YWkyN0JjbHJiSXpIcDZCSlZ4OUpDTllmY2dKYzk5X0xzdUp4V3ZWZTdVVUVuYWdGOEVoZHBDdVFWdjY0VUVIOXRGbGthenZXRmNLSWlTUG5nRE5QdXFDNGdZZkswVkFGTi1CNTg2VHFrWWdJYUlXRmtrUk9PNFRpekI2UldnSV9jVmY0NTRUT3EwSnBjYkVXT182WmJxVnNVZzd3ZHFjUGR4RnZPRWsycnBhRGV4NjNyaUpQS2wwV0VKejFvSENETDRKeVhnQ1gw?oc=5
SURYAROSNI,Surya Roshni Limited,Surya Roshni Rises 3% on ₹75 Cr Steel Pipe Order - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaVN5ODgyek0wWGJ5LTZBNjVqaTJhOTZWN3Zyc1EtUEJhN09kOWRaWEdwdXYzWUg5SnNhaWxMeUEweFhpcUpqNGMwdTJURExkcVpDTWpteVI2YXJ1Ym41VHV3eHhMWGV5WktzTm9HTzlydzI3YWMzV2xobERSNkdyQ2tqSnpJU0lL?oc=5"" target=""_blank"">Surya Roshni Rises 3% on ₹75 Cr Steel Pipe Order</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-06-25 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaVN5ODgyek0wWGJ5LTZBNjVqaTJhOTZWN3Zyc1EtUEJhN09kOWRaWEdwdXYzWUg5SnNhaWxMeUEweFhpcUpqNGMwdTJURExkcVpDTWpteVI2YXJ1Ym41VHV3eHhMWGV5WktzTm9HTzlydzI3YWMzV2xobERSNkdyQ2tqSnpJU0lL?oc=5
SURYAROSNI,Surya Roshni Limited,It's Unlikely That Surya Roshni Limited's (NSE:SURYAROSNI) CEO Will See A Huge Pay Rise This Year - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPdEREOUZyUmw5UFhNTlV0amJ5X3gyck9KTVdqUklSVGdFcmVBRmRYNHlqN3hNcjJSUkczbDJtNDI2R2wwS2ljZnp0c2VpUm8yRlNjbEJ2NGp1NWM2SEZneDloMG5TYnNfcm9NUmZVd0dIaXY1MHBFaUxOa1VzSk16ZU9ZeHJ2cENOQ3VYSmdOVjJQdFlTNFBORGZBVWlldmhEblhMVUxTTjNoellGS2dHWExUNnJOV1R2Wk1vSmRaZE1XSXNaNThWc1RXX2tJMG12TlJGbWdyR2ZBUdIB3wFBVV95cUxQM25QcnRuTHJJMDJQZTRqeG1BOTNZaGc4bkhaS2R6aVYyYXNjcTAzRG1oV09OOExsWDNVem5qdGE1ZXVvRGhUdUV1WDhwc3JVMHZHd29XT3lKV1FrR3pNVFBQV29WQ2VxQnZBRTJiQzlGVEhHaU14UExmLXlqWE5WZEJNeUF4MGFIaFYzVHlpSjR3ZHVHeHdwZWQ5amtsM2ZKNm05ekxtM2s1OXZVLW1zWEJjMXdjbXUwZnpqWVBnVExzWVdqSGFJSEpHRnFPMHRMMDFVYkNwa28wUDJyWERJ?oc=5"" target=""_blank"">It's Unlikely That Surya Roshni Limited's (NSE:SURYAROSNI) CEO Will See A Huge Pay Rise This Year</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-12 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPdEREOUZyUmw5UFhNTlV0amJ5X3gyck9KTVdqUklSVGdFcmVBRmRYNHlqN3hNcjJSUkczbDJtNDI2R2wwS2ljZnp0c2VpUm8yRlNjbEJ2NGp1NWM2SEZneDloMG5TYnNfcm9NUmZVd0dIaXY1MHBFaUxOa1VzSk16ZU9ZeHJ2cENOQ3VYSmdOVjJQdFlTNFBORGZBVWlldmhEblhMVUxTTjNoellGS2dHWExUNnJOV1R2Wk1vSmRaZE1XSXNaNThWc1RXX2tJMG12TlJGbWdyR2ZBUdIB3wFBVV95cUxQM25QcnRuTHJJMDJQZTRqeG1BOTNZaGc4bkhaS2R6aVYyYXNjcTAzRG1oV09OOExsWDNVem5qdGE1ZXVvRGhUdUV1WDhwc3JVMHZHd29XT3lKV1FrR3pNVFBQV29WQ2VxQnZBRTJiQzlGVEhHaU14UExmLXlqWE5WZEJNeUF4MGFIaFYzVHlpSjR3ZHVHeHdwZWQ5amtsM2ZKNm05ekxtM2s1OXZVLW1zWEJjMXdjbXUwZnpqWVBnVExzWVdqSGFJSEpHRnFPMHRMMDFVYkNwa28wUDJyWERJ?oc=5
SURYAROSNI,Surya Roshni Limited,"SURYAROSNI: Q3 FY2026 revenue grew, but net profit and EPS declined year-over-year amid bonus share issuance - TradingView","<a href=""https://news.google.com/rss/articles/CBMimAJBVV95cUxNZThnN05IcmtOb3RGZzRhR05ETHZXdEtHaGoyZ2NFQkE2S2FPTy1OSTV3V3l3M2ZTUXBMb2lTWlZUb3hreUJaSXVmNWhTQ3pGQ0d3N0txSm5HOGpqc3dwRU5HN09nb1FTckhQUnVxYUhtV1RIQlBiOVdKQVNWbm1ISHhQSFdQdWtab3lOakNwNHdtc0lNWmlBbHNoNkFuaUNrNHpXRFJHLTRwc2pDU0dOeGVvR0lVQ0VZNVZERjl4OXMwaTdvcGZBcDhIRzVhY3JkS0ZRZ1lEUS1ZWlg3OHRtOURSOUpZNnJRdHFleHEyT1BadHRfaUljUUFvYjJTcXVmRkRLSVFKbjEzWllMWTNDaEZQaVdWOV9a?oc=5"" target=""_blank"">SURYAROSNI: Q3 FY2026 revenue grew, but net profit and EPS declined year-over-year amid bonus share issuance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2026-02-11 08:00:00,TradingView,https://news.google.com/rss/articles/CBMimAJBVV95cUxNZThnN05IcmtOb3RGZzRhR05ETHZXdEtHaGoyZ2NFQkE2S2FPTy1OSTV3V3l3M2ZTUXBMb2lTWlZUb3hreUJaSXVmNWhTQ3pGQ0d3N0txSm5HOGpqc3dwRU5HN09nb1FTckhQUnVxYUhtV1RIQlBiOVdKQVNWbm1ISHhQSFdQdWtab3lOakNwNHdtc0lNWmlBbHNoNkFuaUNrNHpXRFJHLTRwc2pDU0dOeGVvR0lVQ0VZNVZERjl4OXMwaTdvcGZBcDhIRzVhY3JkS0ZRZ1lEUS1ZWlg3OHRtOURSOUpZNnJRdHFleHEyT1BadHRfaUljUUFvYjJTcXVmRkRLSVFKbjEzWllMWTNDaEZQaVdWOV9a?oc=5
SURYAROSNI,Surya Roshni Limited,Surya Roshni's (NSE:SURYAROSNI) Shareholders Will Receive A Bigger Dividend Than Last Year - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxOMW5ES3lCbFZOSVFLMlNOLVotbTVYVEpCNFBtWEFzV1FGRU93eDVMWlFOc2I3TDVLOVVIYzE3cU9ndTRtTnd6QV9rWENyd3NmYVY2LVJYenh5bDFYa1lETE5LODBtUmVpb0JVQmNUbnNRd1RHc1Vuc2dPdXhEaVdIWUV6eGR5YXJTTUxjMFJiZVJFblFkN1pRM2JpWjBlTlRxSDVwcVo3SUt4SUpLajB1OUFHSVVqVGxhX2tPYnVKVTd1dm5YWG56eVFINDJOekVIaFFrVmhYMGVqUdIB3wFBVV95cUxNdTMzVVpMMmNHNWZiR1FydmJYY3BtRThFQmxOWDcwN1dNeDdyX3N6LS1tUW5uSTRMaUJGRldzLUlDVEhiYU1jaExNM0Q5SnVKWU5zODBsOXFCNlNYX09Lb1JKMmFLR1hoMDh6SFFNWjNsQk1ZVmFVZ04xMjBxZDV5cU5Nd00xVkZ5OWxoYUhORk11M2FIOWw4T054dnhSSHFxYWVtMkZKYnE3aGNCeTJFdzNjY29hR19kRkNrajV2ZlRzdDhnazUwbTg0cjFYUGxfal83RDM5SDRuNEVqQS1z?oc=5"" target=""_blank"">Surya Roshni's (NSE:SURYAROSNI) Shareholders Will Receive A Bigger Dividend Than Last Year</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-18 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOMW5ES3lCbFZOSVFLMlNOLVotbTVYVEpCNFBtWEFzV1FGRU93eDVMWlFOc2I3TDVLOVVIYzE3cU9ndTRtTnd6QV9rWENyd3NmYVY2LVJYenh5bDFYa1lETE5LODBtUmVpb0JVQmNUbnNRd1RHc1Vuc2dPdXhEaVdIWUV6eGR5YXJTTUxjMFJiZVJFblFkN1pRM2JpWjBlTlRxSDVwcVo3SUt4SUpLajB1OUFHSVVqVGxhX2tPYnVKVTd1dm5YWG56eVFINDJOekVIaFFrVmhYMGVqUdIB3wFBVV95cUxNdTMzVVpMMmNHNWZiR1FydmJYY3BtRThFQmxOWDcwN1dNeDdyX3N6LS1tUW5uSTRMaUJGRldzLUlDVEhiYU1jaExNM0Q5SnVKWU5zODBsOXFCNlNYX09Lb1JKMmFLR1hoMDh6SFFNWjNsQk1ZVmFVZ04xMjBxZDV5cU5Nd00xVkZ5OWxoYUhORk11M2FIOWw4T054dnhSSHFxYWVtMkZKYnE3aGNCeTJFdzNjY29hR19kRkNrajV2ZlRzdDhnazUwbTg0cjFYUGxfal83RDM5SDRuNEVqQS1z?oc=5
SURYAROSNI,Surya Roshni Limited,Does Surya Roshni (NSE:SURYAROSNI) Deserve A Spot On Your Watchlist? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxOUWtNYXZZSVlzdjFmZ25BcXFkS3VoLWZ5QmFCSERsNGRVMVF6YUlfNDFsVXdXaV9QODFiRk9FNWVoaDItSWlUOVd2QlV2eWx5N19ua2ltY01jYmJLbVFFN0JEZ1BUaDhjUHJBM2twb21vWFFIZHFONTJIMnlLM3JFVzZfUVJzd1FrWXZVU3dzTGpxTUZzS1FyM1lmXy1XX0FHOFVFT2lzTDRZUzJOdzg2RE5ZTmNnSUpmRnhGMVpDZ0k2UDdpT1V1QS1Eel91cDZhUkhFUENGRUlPeTFZ0gHiAUFVX3lxTE5qcnpaUV9hTG0tdlRuSGNfTHBGMm9rX1FNT3RMazlIYUk4Yk5lbEZKaW12UlVERUZkN1lXTDJVRmZCYXpZSWh5dGhWOHlDaHFPdE0wWjRHNkRWNGw5Z2M4LVRFc1Eyc2F3aG51MVh4M3J4TW5JeXdMd3JWOWo2TnhEVjdENFJUNnp1WUJtY2d5VUlLMDdrR2NKaFV3OUFEdXdPVXZXdE11QkN4bFVuU1FIMWxnd29ON3B4dGhKdzRHeFhEUTVoMXdJZloxQkVkVnZHMnJUU1B1OE5WQUl1WGJFRUE?oc=5"" target=""_blank"">Does Surya Roshni (NSE:SURYAROSNI) Deserve A Spot On Your Watchlist?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-15 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi3AFBVV95cUxOUWtNYXZZSVlzdjFmZ25BcXFkS3VoLWZ5QmFCSERsNGRVMVF6YUlfNDFsVXdXaV9QODFiRk9FNWVoaDItSWlUOVd2QlV2eWx5N19ua2ltY01jYmJLbVFFN0JEZ1BUaDhjUHJBM2twb21vWFFIZHFONTJIMnlLM3JFVzZfUVJzd1FrWXZVU3dzTGpxTUZzS1FyM1lmXy1XX0FHOFVFT2lzTDRZUzJOdzg2RE5ZTmNnSUpmRnhGMVpDZ0k2UDdpT1V1QS1Eel91cDZhUkhFUENGRUlPeTFZ0gHiAUFVX3lxTE5qcnpaUV9hTG0tdlRuSGNfTHBGMm9rX1FNT3RMazlIYUk4Yk5lbEZKaW12UlVERUZkN1lXTDJVRmZCYXpZSWh5dGhWOHlDaHFPdE0wWjRHNkRWNGw5Z2M4LVRFc1Eyc2F3aG51MVh4M3J4TW5JeXdMd3JWOWo2TnhEVjdENFJUNnp1WUJtY2d5VUlLMDdrR2NKaFV3OUFEdXdPVXZXdE11QkN4bFVuU1FIMWxnd29ON3B4dGhKdzRHeFhEUTVoMXdJZloxQkVkVnZHMnJUU1B1OE5WQUl1WGJFRUE?oc=5
SURYAROSNI,Surya Roshni Limited,Does Surya Roshni Limited’s (NSE:SURYAROSNI) CEO Salary Compare Well With Others? - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxPb2VWSmlKemh1cDUxUUcxbVl3YWRqUzVvOVgtUkRtOUhHdTRLOUktQW1NXzJ4SWEydmZLby1qYTNBSVp4U1JSUk5QOUt3dEdtTC1xRVVNQ1N2TnN6X3N4TU84RW9xNUZiWE9qRFlleHA0c093ZklSRTZmVGQ5NGppMQ?oc=5"" target=""_blank"">Does Surya Roshni Limited’s (NSE:SURYAROSNI) CEO Salary Compare Well With Others?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",2018-11-26 08:00:00,Yahoo Finance,https://news.google.com/rss/articles/CBMigAFBVV95cUxPb2VWSmlKemh1cDUxUUcxbVl3YWRqUzVvOVgtUkRtOUhHdTRLOUktQW1NXzJ4SWEydmZLby1qYTNBSVp4U1JSUk5QOUt3dEdtTC1xRVVNQ1N2TnN6X3N4TU84RW9xNUZiWE9qRFlleHA0c093ZklSRTZmVGQ5NGppMQ?oc=5
SURYAROSNI,Surya Roshni Limited,"Surya Roshni Share Price Target 2026, 2027, 2030, 2040, 2050 - shareprice-target.com","<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTE9wVkhpSE9Ub3MxSV9meUNyMTZBamVJX1VreGRhdFRYZl9Sa293Uno3NTZHaWlMLXkxREtzNVd5dEhrSTZ1QklablotUnNkT0tLRUlDWFFibFB4MzBpN1BhLUp6ME9VZ21RT2RUTFBETQ?oc=5"" target=""_blank"">Surya Roshni Share Price Target 2026, 2027, 2030, 2040, 2050</a>&nbsp;&nbsp;<font color=""#6f6f6f"">shareprice-target.com</font>",2026-01-29 08:00:00,shareprice-target.com,https://news.google.com/rss/articles/CBMib0FVX3lxTE9wVkhpSE9Ub3MxSV9meUNyMTZBamVJX1VreGRhdFRYZl9Sa293Uno3NTZHaWlMLXkxREtzNVd5dEhrSTZ1QklablotUnNkT0tLRUlDWFFibFB4MzBpN1BhLUp6ME9VZ21RT2RUTFBETQ?oc=5
SURYAROSNI,Surya Roshni Limited,Surya Roshni shares soar 4% on bagging ₹105 crore spiral pipes supply order - Upstox,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNbWVzYnJtcDUyNEE0ZHpmVHZIUXZSVnBFQ3ZOcklVYWRkSS1nOEMwaEd1eklFSDdfWHZ0NzBlRVdnTTd1eFlVRWVYUDZ3T1lQWS1KNWtBS1EtRGJ4a09PZkliVVlLSVNjZ0NuYWl2R0E5bWdiU0xLaERBbEFGUmN5YW9YN3FiSUk5eWgzZGM3alZpM3JxVUpXZGxNWERCNGtwRTJIa0Z4ZVJudUtHRWVLMFoxek1JeFZCSE1HdjFnQTdlMl9XaUcydUtKalY?oc=5"" target=""_blank"">Surya Roshni shares soar 4% on bagging ₹105 crore spiral pipes supply order</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-11-24 08:00:00,Upstox,https://news.google.com/rss/articles/CBMizAFBVV95cUxNbWVzYnJtcDUyNEE0ZHpmVHZIUXZSVnBFQ3ZOcklVYWRkSS1nOEMwaEd1eklFSDdfWHZ0NzBlRVdnTTd1eFlVRWVYUDZ3T1lQWS1KNWtBS1EtRGJ4a09PZkliVVlLSVNjZ0NuYWl2R0E5bWdiU0xLaERBbEFGUmN5YW9YN3FiSUk5eWgzZGM3alZpM3JxVUpXZGxNWERCNGtwRTJIa0Z4ZVJudUtHRWVLMFoxek1JeFZCSE1HdjFnQTdlMl9XaUcydUtKalY?oc=5
SURYAROSNI,Surya Roshni Limited,Here's why Surya Roshni share price rose over 4% in trade on July 23 - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNME5OLUJOam8ySkVRVGJnbFpVVFZ6c2hLN1JiVHRXVDBvUUdNeWxnR2dZbGxPOUplZHVERE1tVlNmb01KSnd2QzdrMzFBY2hNTmRZdlhmanNTNkNPY3FCT1B3V0t2N19QZDJ2X3pPbWR2OUF0RmkyYmJMZUFHZE5sczdNX0lpbms2OWsyQVBRMGZfX3cyelV5SEdSSm5jdW5sMTRjQ0t5cFlQRlpRMXFEaTRJZUtDSnNhZEhOVUt2eTA2LWEwa3VOZVNoNNIB0AFBVV95cUxNbXk2OVU3MGxCRHhySy1nV2NXRm81eEhrQ0tyTlFkN3Q5Z2drLVVJaWlQdVhYa2drd0xSZUd6Q2xQOGZzQXcyaWpQY1F5clhWYWMxdmF4a19hdk91RnZ1Tk02SmFlYVlEXzlBNUJ1bGt4bU05R3JleklTUTg0UzkyUE9IamNMdERGaEstZnFoZXplSnFjZVNneS1CVWhlemYtRy1iaXEzcGRXSlFGbzdtaGc2Ry1WS2MzSURaWkctOXJCa0Z5cERIbkJVVnM0aE9k?oc=5"" target=""_blank"">Here's why Surya Roshni share price rose over 4% in trade on July 23</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-07-23 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMiywFBVV95cUxNME5OLUJOam8ySkVRVGJnbFpVVFZ6c2hLN1JiVHRXVDBvUUdNeWxnR2dZbGxPOUplZHVERE1tVlNmb01KSnd2QzdrMzFBY2hNTmRZdlhmanNTNkNPY3FCT1B3V0t2N19QZDJ2X3pPbWR2OUF0RmkyYmJMZUFHZE5sczdNX0lpbms2OWsyQVBRMGZfX3cyelV5SEdSSm5jdW5sMTRjQ0t5cFlQRlpRMXFEaTRJZUtDSnNhZEhOVUt2eTA2LWEwa3VOZVNoNNIB0AFBVV95cUxNbXk2OVU3MGxCRHhySy1nV2NXRm81eEhrQ0tyTlFkN3Q5Z2drLVVJaWlQdVhYa2drd0xSZUd6Q2xQOGZzQXcyaWpQY1F5clhWYWMxdmF4a19hdk91RnZ1Tk02SmFlYVlEXzlBNUJ1bGt4bU05R3JleklTUTg0UzkyUE9IamNMdERGaEstZnFoZXplSnFjZVNneS1CVWhlemYtRy1iaXEzcGRXSlFGbzdtaGc2Ry1WS2MzSURaWkctOXJCa0Z5cERIbkJVVnM0aE9k?oc=5
