scrip,company,headline,summary,published_date,source,url
TASTYBITE,Tasty Bite Eatables Limited,Tasty Bite Eatables Limited's (NSE:TASTYBITE) Share Price Not Quite Adding Up - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxQQUU4b3J2RzVjOGw5eGNTSEF2b2d4Zy1QX1ZNdFhUQk44SWxIOWtYcXRjQ1RSRVF6Vy00TzVTY0kxS2ROeFotTm50azEzc2dkM3IxRkFyMEV5RE93cnpjNTNndXBXcnlaeVBuXzZxcjdDdHJUZktoR3lFeEVNX3BHN0V0SndIbFg4RDd5UEFGZEFPY0g5dVliOG1qRDhDTHFWRHptRmVkSU13REZiU3QxbUtabjJtX21NMG5iMUEzdEw3ZnBsTGxBQ0ZhWFZUWDlaTzFxcWZHNVR4X0cxY0JUT25TQXFNYWVRMzBfMWZuNmdXZ9IB9wFBVV95cUxOLVRWRHJSZ2dLT3I5VnhVWHc5b0V3MWc2VmJ6ckJGNnp6SE9XVDNfV0VUZVRDREczNmVxZ3JKckV4bXliS3M0NHI0U1VYbFl0NUMwX1ZJTTR4alhXRDZxU3hJS0lFNDZQaDVjekptNUpsTjFDOTJ2VnMwY1lZV180MDY2c1A5N1F4T2dNRGY3ODZNaFd4amtJQ0FyS1ZjeVVyZmxHS1IwcmpPQmNCeENtOXM1SzNhaUpKRjFwSTdrV3NjNVJhZWZsTzhBaW45cWtfZU8yTzFYbTg5STFHdGRpcTBuUHJvLUw0elRQODlNZFBld2cyTFZZ?oc=5"" target=""_blank"">Tasty Bite Eatables Limited's (NSE:TASTYBITE) Share Price Not Quite Adding Up</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-10 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQQUU4b3J2RzVjOGw5eGNTSEF2b2d4Zy1QX1ZNdFhUQk44SWxIOWtYcXRjQ1RSRVF6Vy00TzVTY0kxS2ROeFotTm50azEzc2dkM3IxRkFyMEV5RE93cnpjNTNndXBXcnlaeVBuXzZxcjdDdHJUZktoR3lFeEVNX3BHN0V0SndIbFg4RDd5UEFGZEFPY0g5dVliOG1qRDhDTHFWRHptRmVkSU13REZiU3QxbUtabjJtX21NMG5iMUEzdEw3ZnBsTGxBQ0ZhWFZUWDlaTzFxcWZHNVR4X0cxY0JUT25TQXFNYWVRMzBfMWZuNmdXZ9IB9wFBVV95cUxOLVRWRHJSZ2dLT3I5VnhVWHc5b0V3MWc2VmJ6ckJGNnp6SE9XVDNfV0VUZVRDREczNmVxZ3JKckV4bXliS3M0NHI0U1VYbFl0NUMwX1ZJTTR4alhXRDZxU3hJS0lFNDZQaDVjekptNUpsTjFDOTJ2VnMwY1lZV180MDY2c1A5N1F4T2dNRGY3ODZNaFd4amtJQ0FyS1ZjeVVyZmxHS1IwcmpPQmNCeENtOXM1SzNhaUpKRjFwSTdrV3NjNVJhZWZsTzhBaW45cWtfZU8yTzFYbTg5STFHdGRpcTBuUHJvLUw0elRQODlNZFBld2cyTFZZ?oc=5
TASTYBITE,Tasty Bite Eatables Limited,Tasty Bite Eatables Reports Q2 Results and Announces Postal Ballot Outcomes - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPMVlxTWhyaDdNQm9xYnZPZ0pkNFJpWFFzVVVGekNFbGpabDJla011aDc2a1hIQjJ0TW9ERFRCcUZ2NUpvZ0l0Mk9wOFZtY3RmMlVhUTlIeTVnaFFjQWFhVUlpS2ctU1FfMVhfWU9yWDF2NjZXOVZfMWRreDFCZmtJM3dXdndPelhoXzg0N3p1eWoxd3VzRmdUNTVJNnNuQXVUdVRFVkpjOFBtRmdzRHJ6N1Itc1JGU3pjdlJLYW1mS1hfc2VidjdXNmRwUTQ?oc=5"" target=""_blank"">Tasty Bite Eatables Reports Q2 Results and Announces Postal Ballot Outcomes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-10 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMizAFBVV95cUxPMVlxTWhyaDdNQm9xYnZPZ0pkNFJpWFFzVVVGekNFbGpabDJla011aDc2a1hIQjJ0TW9ERFRCcUZ2NUpvZ0l0Mk9wOFZtY3RmMlVhUTlIeTVnaFFjQWFhVUlpS2ctU1FfMVhfWU9yWDF2NjZXOVZfMWRreDFCZmtJM3dXdndPelhoXzg0N3p1eWoxd3VzRmdUNTVJNnNuQXVUdVRFVkpjOFBtRmdzRHJ6N1Itc1JGU3pjdlJLYW1mS1hfc2VidjdXNmRwUTQ?oc=5
TASTYBITE,Tasty Bite Eatables Limited,Tasty Bite Eatables Q2 FY26: Profit Plunges 64% as Margins Crumble Under Operational Stress - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPMnl2SmlfVUtidlNnN1BmYXQyejZUYjFHaF9GWXpZeGM0UXBUbDFLM0pNUjRQM01UbVRUVkNJQkRrT3dMMS11azBPcWlwemlRaU1oSUM3OHhoNk93bjB0TDRnaTJSYmk1VVlCTTRjS3JNLWpURmlvMXNyU3FUSFdYcEpGMGZSOHFGRllpNFJwSkhIS2RmN3JXNXBqNXNZOHBjYXBJQnBBMFp3TENUNDJGbmNKLUYwTXRhTWt1YmJ4SThxZ3lLTGZGSjJ6ZzJqOGpOYThLekgxMXM4WFhRQk13?oc=5"" target=""_blank"">Tasty Bite Eatables Q2 FY26: Profit Plunges 64% as Margins Crumble Under Operational Stress</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-11-11 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPMnl2SmlfVUtidlNnN1BmYXQyejZUYjFHaF9GWXpZeGM0UXBUbDFLM0pNUjRQM01UbVRUVkNJQkRrT3dMMS11azBPcWlwemlRaU1oSUM3OHhoNk93bjB0TDRnaTJSYmk1VVlCTTRjS3JNLWpURmlvMXNyU3FUSFdYcEpGMGZSOHFGRllpNFJwSkhIS2RmN3JXNXBqNXNZOHBjYXBJQnBBMFp3TENUNDJGbmNKLUYwTXRhTWt1YmJ4SThxZ3lLTGZGSjJ6ZzJqOGpOYThLekgxMXM4WFhRQk13?oc=5
TASTYBITE,Tasty Bite Eatables Limited,Tasty Bite Eatables Launches CHEFFIN Ready-to-Cook Meal Kits on Amazon - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPSXZudm9wZWY1R2lrRjVMeUxsdFI2bjU2cGY3N1J4Nl9SVDBqYldGN1dseW1PZjdMN0duWGY1T2RGTEdDYTF3NTRyeGVmU3YyQ2RjbzdTdFcySGQ0S056anJsZkhYU3oyVTJhWkRPRkZGZm5YbENWdjFrcUN6ZUhjMmh4eEZWVlFDUEpvV01iTUEwNGhQTHlIZncyeFBvSzd4dUxJMjJhYkd5RTBlZVRRTXdHZnhtTDBCdE41Vzc1UDRkUQ?oc=5"" target=""_blank"">Tasty Bite Eatables Launches CHEFFIN Ready-to-Cook Meal Kits on Amazon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-08-25 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPSXZudm9wZWY1R2lrRjVMeUxsdFI2bjU2cGY3N1J4Nl9SVDBqYldGN1dseW1PZjdMN0duWGY1T2RGTEdDYTF3NTRyeGVmU3YyQ2RjbzdTdFcySGQ0S056anJsZkhYU3oyVTJhWkRPRkZGZm5YbENWdjFrcUN6ZUhjMmh4eEZWVlFDUEpvV01iTUEwNGhQTHlIZncyeFBvSzd4dUxJMjJhYkd5RTBlZVRRTXdHZnhtTDBCdE41Vzc1UDRkUQ?oc=5
TASTYBITE,Tasty Bite Eatables Limited,Mars makes $55 mn open offer to buy out public shareholders in Tasty Bite - VCCircle,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxNMlFIcV9kb0ZxTHh0MFdUNllkNjJxdExtTjE0enFXMzdXd2V4YTVjMTNWX2d3TENpZmk5YWZ5dTI3cnRKbVJoWDVLdm5HUk1fRF9Na0lyb1BNSXpKWkRjQ1hJUEtXcm5rTDUxblQ0Skw1dF94RDFKMXRpSzlJckxUT0d0eDUtSldrS3J1NGw4cFl3VURZanBvUA?oc=5"" target=""_blank"">Mars makes $55 mn open offer to buy out public shareholders in Tasty Bite</a>&nbsp;&nbsp;<font color=""#6f6f6f"">VCCircle</font>",2017-08-16 07:00:00,VCCircle,https://news.google.com/rss/articles/CBMimAFBVV95cUxNMlFIcV9kb0ZxTHh0MFdUNllkNjJxdExtTjE0enFXMzdXd2V4YTVjMTNWX2d3TENpZmk5YWZ5dTI3cnRKbVJoWDVLdm5HUk1fRF9Na0lyb1BNSXpKWkRjQ1hJUEtXcm5rTDUxblQ0Skw1dF94RDFKMXRpSzlJckxUT0d0eDUtSldrS3J1NGw4cFl3VURZanBvUA?oc=5
TASTYBITE,Tasty Bite Eatables Limited,Mars Food Announces Open Offer For Tasty Bite Eatables - BW Businessworld,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxObjB3T1lMbFpyVkJWME54dTE4S3Exdmp3QVJjZEpqWjF1b0dqaUllQ19YeWNESXJiWkI0bk53N2pXRElPd18tblRPcHo4dnVldm43YlF5QmlaSmFnX3NYTjdWRzQ1VTVfcmJ2a3MybzljZGtiV3doWUFnMmtkTlp5T0ZPVnI3X2xKUU85SkxjVDVZQUdOV3NlLXljc2YtS1k?oc=5"" target=""_blank"">Mars Food Announces Open Offer For Tasty Bite Eatables</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BW Businessworld</font>",2017-08-16 07:00:00,BW Businessworld,https://news.google.com/rss/articles/CBMinwFBVV95cUxObjB3T1lMbFpyVkJWME54dTE4S3Exdmp3QVJjZEpqWjF1b0dqaUllQ19YeWNESXJiWkI0bk53N2pXRElPd18tblRPcHo4dnVldm43YlF5QmlaSmFnX3NYTjdWRzQ1VTVfcmJ2a3MybzljZGtiV3doWUFnMmtkTlp5T0ZPVnI3X2xKUU85SkxjVDVZQUdOV3NlLXljc2YtS1k?oc=5
TASTYBITE,Tasty Bite Eatables Limited,Mars makes open offer for Tasty Bite Eatables - The Hindu,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxOMjhYOUxpMGxLVFNTdVZKS21DZUJ5dWV5Q0h4al9wQ2huQVBXaTM2SVg0bXV1N2tYQ1dXUDZoYlRaNndxV2dzcFZycW0zY0ttcmNqT3ViaV9Wbm1NRmdLNFJITjNYaFQ1b0tTazIzSzItWmJjRkZLNzZqeWVlQXJBMzFMNmpZNmpyd21aOXpmSnNyMktKOGk2SEVmVS1OcXNqN1I5Nl96bTdKcG9t0gGzAUFVX3lxTE9hODF1NWhXVS0xNFNKcDFlRXJXUnR4TTZXS0dyZVotUGJsQnpVSTF5dWtJUDc4TWZPNFg1S2lYano5TTZYNmlnM2ZMMkJrS3R1U005UnBkazNkUFJMczF4MHV5RkZubmhVOFNhLVBjbnZsaDg3LTRLaWR1ajhkZEp4cFV0elBMeHlKRnZRTzJKazVPV1I5TExUaFNwMm5CVU5ETzdfRlA2eEZmdUlhM2dhS21j?oc=5"" target=""_blank"">Mars makes open offer for Tasty Bite Eatables</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",2017-08-16 07:00:00,The Hindu,https://news.google.com/rss/articles/CBMirAFBVV95cUxOMjhYOUxpMGxLVFNTdVZKS21DZUJ5dWV5Q0h4al9wQ2huQVBXaTM2SVg0bXV1N2tYQ1dXUDZoYlRaNndxV2dzcFZycW0zY0ttcmNqT3ViaV9Wbm1NRmdLNFJITjNYaFQ1b0tTazIzSzItWmJjRkZLNzZqeWVlQXJBMzFMNmpZNmpyd21aOXpmSnNyMktKOGk2SEVmVS1OcXNqN1I5Nl96bTdKcG9t0gGzAUFVX3lxTE9hODF1NWhXVS0xNFNKcDFlRXJXUnR4TTZXS0dyZVotUGJsQnpVSTF5dWtJUDc4TWZPNFg1S2lYano5TTZYNmlnM2ZMMkJrS3R1U005UnBkazNkUFJMczF4MHV5RkZubmhVOFNhLVBjbnZsaDg3LTRLaWR1ajhkZEp4cFV0elBMeHlKRnZRTzJKazVPV1I5TExUaFNwMm5CVU5ETzdfRlA2eEZmdUlhM2dhS21j?oc=5
TASTYBITE,Tasty Bite Eatables Limited,"Tasty bites: Journey from a small sweet shop to a ₹1,400 crore restaurant empire in five decades is the success story of A2B - BusinessLine","<a href=""https://news.google.com/rss/articles/CBMioAJBVV95cUxOTUN2WkFmb1VxOGdpbGhpNW1EUUFGS25UT25Vczc3SkZMbHFFTXJWbmptRk1zSXdVd2lwaUNtOUFadUgySk04MjlXb1ZncHRSMVhiTi1wWFRXZXBRTUZnRFNEWElGeTZQYlVyV0RGblBTNzhzNG1sUDZfY2w5Y3l2TXBWQ2NjVGxnazJ6bjMwbWYyMkxHSkxkODhZZGFvbURtb05oOG5pMnAxd204cG5UYTVwSXBMdXMzTUJHYUhGcVNWcWoxYXlfYWZjbnJtdm9lYkdBdEh5Y1FtakhRX0RuTF9VWk5PS3otNnVFWEZSR1dIaE1XQ2ExeWdBWklpQ0pKY0RfVXRkM3B0cWtUU1B0VTlIdGtmYzVyY184WVVhWHc?oc=5"" target=""_blank"">Tasty bites: Journey from a small sweet shop to a ₹1,400 crore restaurant empire in five decades is the success story of A2B</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BusinessLine</font>",2024-07-09 07:00:00,BusinessLine,https://news.google.com/rss/articles/CBMioAJBVV95cUxOTUN2WkFmb1VxOGdpbGhpNW1EUUFGS25UT25Vczc3SkZMbHFFTXJWbmptRk1zSXdVd2lwaUNtOUFadUgySk04MjlXb1ZncHRSMVhiTi1wWFRXZXBRTUZnRFNEWElGeTZQYlVyV0RGblBTNzhzNG1sUDZfY2w5Y3l2TXBWQ2NjVGxnazJ6bjMwbWYyMkxHSkxkODhZZGFvbURtb05oOG5pMnAxd204cG5UYTVwSXBMdXMzTUJHYUhGcVNWcWoxYXlfYWZjbnJtdm9lYkdBdEh5Y1FtakhRX0RuTF9VWk5PS3otNnVFWEZSR1dIaE1XQ2ExeWdBWklpQ0pKY0RfVXRkM3B0cWtUU1B0VTlIdGtmYzVyY184WVVhWHc?oc=5
TASTYBITE,Tasty Bite Eatables Limited,Tasty Bite Launches First-Ever Spice Balms Inspired by the Brand's Bold Indian Flavors - PR Newswire,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxNd3ZVMHRnTnM2bWFBeURwVERHQm9iZm52Yi1KQmdIVTZMTlNQUlVuWFZVRTVtQ0gxajJOVEczMzl6VGpQTklrT0F2RnJiaUwtdHFaMUotLUhSYmIzaTVvR1BucG1kcDA2RUhEZHpHQ2ZrUjRZV1E0RjB5RVl0dGZGNDBhY29YTXZHOXJFTm5ldzdqNkZkTS1vc09oak8zd2ZTbG9JLWJia0tEN09pY0J4a0ZqOW9sOEdvOU15NFJfMGtTbXVSRTU4QlU3SDlseTNyT2VyVlp0LVY?oc=5"" target=""_blank"">Tasty Bite Launches First-Ever Spice Balms Inspired by the Brand's Bold Indian Flavors</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",2023-11-13 08:00:00,PR Newswire,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNd3ZVMHRnTnM2bWFBeURwVERHQm9iZm52Yi1KQmdIVTZMTlNQUlVuWFZVRTVtQ0gxajJOVEczMzl6VGpQTklrT0F2RnJiaUwtdHFaMUotLUhSYmIzaTVvR1BucG1kcDA2RUhEZHpHQ2ZrUjRZV1E0RjB5RVl0dGZGNDBhY29YTXZHOXJFTm5ldzdqNkZkTS1vc09oak8zd2ZTbG9JLWJia0tEN09pY0J4a0ZqOW9sOEdvOU15NFJfMGtTbXVSRTU4QlU3SDlseTNyT2VyVlp0LVY?oc=5
TASTYBITE,Tasty Bite Eatables Limited,Tasty Bite Eatables Reports 5% Revenue Growth and 85% Profit Surge in H1 FY2026 - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxNb2JMU1MzbVpmWnR6QXAyTVVLR083a1hEcmhFVUFzRUg1MXN4b1p0dkhKRExRSkVJdXBRMHBUT0JMQ1d2bmMxdl9mVHg2Q09jckVBcjFCay0taWNyVGhxS29NbVZRZTJJM0RWbFN4VnpHNGNPZVA0Y1lHYVA4U2VndzFFX2FxN2wwOUxDdkJYMk5sNFc2NE43RmpNTGMxalQ3VnpIOGotRm1FTFVGblB1ZGI0X1oyMGtfSVBWeUxoLWRLTGQwTnIwVFg2azVPdw?oc=5"" target=""_blank"">Tasty Bite Eatables Reports 5% Revenue Growth and 85% Profit Surge in H1 FY2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-11 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMizgFBVV95cUxNb2JMU1MzbVpmWnR6QXAyTVVLR083a1hEcmhFVUFzRUg1MXN4b1p0dkhKRExRSkVJdXBRMHBUT0JMQ1d2bmMxdl9mVHg2Q09jckVBcjFCay0taWNyVGhxS29NbVZRZTJJM0RWbFN4VnpHNGNPZVA0Y1lHYVA4U2VndzFFX2FxN2wwOUxDdkJYMk5sNFc2NE43RmpNTGMxalQ3VnpIOGotRm1FTFVGblB1ZGI0X1oyMGtfSVBWeUxoLWRLTGQwTnIwVFg2azVPdw?oc=5
