scrip,company,headline,summary,published_date,source,url
TATAINVEST,Tata Investment Corporation Limited,Tata Investment Corporation Limited (NSE:TATAINVEST) is largely controlled by institutional shareholders who own 71% of the company - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxPM2l3UDJGS2JKdXMxSkJ2cl9MZTUweWFZS3ozNGdnaURVVWROTWRTSVJ1V0hGRVhaeks4OXVFcHd3blJieXI2RmNjYXFlRW12T2F2VVlaclNYZTRlYjhkV2RBMUo4NVVZWkRxSVJtNXBkNjVwVHIteXZhQ1dwaWxyM1BTczlqTVR2Z0RsZFJzd0dYRkg2R25XZXQwUjkxSktQWXZvOWVHZDg3QThhT1VBMm55UVNDMS1iNWxwZzgtZDVYbjZoemRjZmZZT3NPMHM2WEQ0WklScHI3NVFZMDNEV085NmpSVExXVzFNd3J0TQ?oc=5"" target=""_blank"">Tata Investment Corporation Limited (NSE:TATAINVEST) is largely controlled by institutional shareholders who own 71% of the company</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-20 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi7wFBVV95cUxPM2l3UDJGS2JKdXMxSkJ2cl9MZTUweWFZS3ozNGdnaURVVWROTWRTSVJ1V0hGRVhaeks4OXVFcHd3blJieXI2RmNjYXFlRW12T2F2VVlaclNYZTRlYjhkV2RBMUo4NVVZWkRxSVJtNXBkNjVwVHIteXZhQ1dwaWxyM1BTczlqTVR2Z0RsZFJzd0dYRkg2R25XZXQwUjkxSktQWXZvOWVHZDg3QThhT1VBMm55UVNDMS1iNWxwZzgtZDVYbjZoemRjZmZZT3NPMHM2WEQ0WklScHI3NVFZMDNEV085NmpSVExXVzFNd3J0TQ?oc=5
TATAINVEST,Tata Investment Corporation Limited,Tata Investment Corporation Ltd Share Price Jump 11.85% In Early Trade; Stock Trades at ₹719.95 - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE5LYVlvNHo3ZmN5azREWTY1cEdpdkxqejVpcE9XekdNOTdFODMtYVpBRktFNVVCMTRGUFg0eGU4MklxdG5XNi1qalp4UXFNT2ZmRFQyUEU1OVFrNU1QcXc5SUVHNjU0U1NkTmlyVUthWFZ4TkFoUkJxNHgyV0lJT28?oc=5"" target=""_blank"">Tata Investment Corporation Ltd Share Price Jump 11.85% In Early Trade; Stock Trades at ₹719.95</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2026-02-19 10:47:44,HDFC Sky,https://news.google.com/rss/articles/CBMif0FVX3lxTE5LYVlvNHo3ZmN5azREWTY1cEdpdkxqejVpcE9XekdNOTdFODMtYVpBRktFNVVCMTRGUFg0eGU4MklxdG5XNi1qalp4UXFNT2ZmRFQyUEU1OVFrNU1QcXc5SUVHNjU0U1NkTmlyVUthWFZ4TkFoUkJxNHgyV0lJT28?oc=5
TATAINVEST,Tata Investment Corporation Limited,Tata Investment Corporation shares advance 10% during Muhurat trading; check recent developments - Upstox,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQV1dhQ0JNUU1vbEpSM3MwcVdlYUZldFlBZ1RZclRnV2xyZzR0RzkzdWViQWhtWW5EWVhSdEsySzE2OGFsWGJENl9yZ2RmUlNhYmctRHRHMS1ROXY3RDdKVlJQOU96ZDk3TTFqQnBBNXFMR3c3SXJHZDg5OGhsdXF2am9KS255Z3drY1ZmQlM1LWdYbzdQWjk0MHRObnFDY0ZpZVVWeV81UlpyaVdXOTgxeEUxeUlHbl9pR2Y3Y1R6ZGVYMWJTTFh1S0VMelUyUmVPVlZfV3JYN2JQSjR2WUxVRXNFenpEY1Vo?oc=5"" target=""_blank"">Tata Investment Corporation shares advance 10% during Muhurat trading; check recent developments</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-10-21 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQV1dhQ0JNUU1vbEpSM3MwcVdlYUZldFlBZ1RZclRnV2xyZzR0RzkzdWViQWhtWW5EWVhSdEsySzE2OGFsWGJENl9yZ2RmUlNhYmctRHRHMS1ROXY3RDdKVlJQOU96ZDk3TTFqQnBBNXFMR3c3SXJHZDg5OGhsdXF2am9KS255Z3drY1ZmQlM1LWdYbzdQWjk0MHRObnFDY0ZpZVVWeV81UlpyaVdXOTgxeEUxeUlHbl9pR2Y3Y1R6ZGVYMWJTTFh1S0VMelUyUmVPVlZfV3JYN2JQSjR2WUxVRXNFenpEY1Vo?oc=5
TATAINVEST,Tata Investment Corporation Limited,Tata Investment share rises 12% to record high as board sets record date for 1:10 stock split; stock up 25% in 2 days - Mint,"<a href=""https://news.google.com/rss/articles/CBMikgJBVV95cUxQNmxOa2VOeHFnZ3lXdlkzREpZbEhfVF9XWEU2cVZLTUJMbjhwUnNkTGdhaFVvdXM1cmlqcV9tWXQya2dvZkVGZmVwV3hscXRUbk9ZSTNYRTZRMDdWeTVCdndTeC1YWkg3TzVHNHh0QnJtQmhUWHp4U0tOVms2WGd5bTdkdEJRV2FiUUZLQkozcFpRc2h2RU5IUFB2Z2k2ODBmN0xQc2VybXZRcERZb0ZVMlNlSFVpSi1lX3lVY2RsUGJyOGVVSkVDN0dXN1FuZ0FKcDZMdGhGeDgtVTIxTUtPazA3MU5tWjEtdHJLa2tnYVk0NUdVbjdUTkx5dWFDZ1ZYdUNiUlIwTXgxMTBaNXVHRUJB0gGXAkFVX3lxTFBQRlViZnBfM2NYeGRpdGlHZWhtRDd4OWRnU2pkRG9UbTNleW14aTdhbzJvUlRGVDZybjdfSDdReFJjMTZHMWxrRzhCTjQyYy1Ybl9sdDRlYTVwTEFkVXk1UERVUEdxODY1WXpIcU81UWh4OTV3b3dfRURTY1BlN1BYTENDUlNNbEVzemFEWmU2MUhFNWIyVVlYcTNFU25ybklhdlU2ZFllLTBNVy1ReGlYaTR3ZG1sNVhsU0FGbF9HaHFyU1lwYlJObTZ0dkdMNkk0aTI1NmRXZDhBLTBsTTVyRTFObnA1MTF4MjRJTzZma0VqRzFmbkx3Zl9obzhKeURsVlVRRExDbnBWOC1wUjlRSFRpcHRYOA?oc=5"" target=""_blank"">Tata Investment share rises 12% to record high as board sets record date for 1:10 stock split; stock up 25% in 2 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2025-09-24 07:00:00,Mint,https://news.google.com/rss/articles/CBMikgJBVV95cUxQNmxOa2VOeHFnZ3lXdlkzREpZbEhfVF9XWEU2cVZLTUJMbjhwUnNkTGdhaFVvdXM1cmlqcV9tWXQya2dvZkVGZmVwV3hscXRUbk9ZSTNYRTZRMDdWeTVCdndTeC1YWkg3TzVHNHh0QnJtQmhUWHp4U0tOVms2WGd5bTdkdEJRV2FiUUZLQkozcFpRc2h2RU5IUFB2Z2k2ODBmN0xQc2VybXZRcERZb0ZVMlNlSFVpSi1lX3lVY2RsUGJyOGVVSkVDN0dXN1FuZ0FKcDZMdGhGeDgtVTIxTUtPazA3MU5tWjEtdHJLa2tnYVk0NUdVbjdUTkx5dWFDZ1ZYdUNiUlIwTXgxMTBaNXVHRUJB0gGXAkFVX3lxTFBQRlViZnBfM2NYeGRpdGlHZWhtRDd4OWRnU2pkRG9UbTNleW14aTdhbzJvUlRGVDZybjdfSDdReFJjMTZHMWxrRzhCTjQyYy1Ybl9sdDRlYTVwTEFkVXk1UERVUEdxODY1WXpIcU81UWh4OTV3b3dfRURTY1BlN1BYTENDUlNNbEVzemFEWmU2MUhFNWIyVVlYcTNFU25ybklhdlU2ZFllLTBNVy1ReGlYaTR3ZG1sNVhsU0FGbF9HaHFyU1lwYlJObTZ0dkdMNkk0aTI1NmRXZDhBLTBsTTVyRTFObnA1MTF4MjRJTzZma0VqRzFmbkx3Zl9obzhKeURsVlVRRExDbnBWOC1wUjlRSFRpcHRYOA?oc=5
TATAINVEST,Tata Investment Corporation Limited,"Tata Investment shares slip from record high, still up 37% in a month; how investors should navigate? - Business Today","<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxNTk5fTTF0dTJ3d3lNdVhPcU0wYTFDZUNBbEdydGxNajJ5eGxTSi04d0RjS24tOTJ3cUUzTVBkNWFUVjRJQl9WOFFKNHpDcnpWM19GUzNPeVdhVXJQckVkVlFPNG9DMy02QkZ5WHk1SkVRaVQ2ZnFibnQ4amtEN3ZwN0J6N0VzeEZfblN0Ulpoenp3SWZReS1xQm1Vc0tlZV91RDZEdG81eTdZVGdSaC1JOWk4MUtpUmFoZWFyekl0aUh3MElKZlNmT0V4RDlHSDlhSGtDakRiNkhucEQxS0ZrcHFQMDdrc0tnd1hhSkVNZ09IZEVlOUxVeNIB_gFBVV95cUxNd1pUc2NpRHlzMUltZmswSGdvNmNGRVVCNnZxaTE5NmEtQTJ1dmVqVHdKM1N5Q1o3aGZWOE5pTFRmN09nX3hTNEpkNUZFZzVPbVVXX21rdUdGVjFxS1F0VTVvR296dkw3aV9GdjNNUlBEc0dvbkRMNTRSb09WVkNPVE93LVJiOWZaa0ItTmhvYmE3Vk1NUnpaTzR4OUtaZjZ2dS0zcmVsd3MzdktXRWRqbUJ6TzlkNlp4TXlMS3RSdWxoRnluUElKSk1SNUZrdmMyS0g4YTd2Z014OE10TjFYdGJkVTF2SUJnbktVeDNUNjV6RDN3TlpJekdfRTNxZw?oc=5"" target=""_blank"">Tata Investment shares slip from record high, still up 37% in a month; how investors should navigate?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-10-07 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi-AFBVV95cUxNTk5fTTF0dTJ3d3lNdVhPcU0wYTFDZUNBbEdydGxNajJ5eGxTSi04d0RjS24tOTJ3cUUzTVBkNWFUVjRJQl9WOFFKNHpDcnpWM19GUzNPeVdhVXJQckVkVlFPNG9DMy02QkZ5WHk1SkVRaVQ2ZnFibnQ4amtEN3ZwN0J6N0VzeEZfblN0Ulpoenp3SWZReS1xQm1Vc0tlZV91RDZEdG81eTdZVGdSaC1JOWk4MUtpUmFoZWFyekl0aUh3MElKZlNmT0V4RDlHSDlhSGtDakRiNkhucEQxS0ZrcHFQMDdrc0tnd1hhSkVNZ09IZEVlOUxVeNIB_gFBVV95cUxNd1pUc2NpRHlzMUltZmswSGdvNmNGRVVCNnZxaTE5NmEtQTJ1dmVqVHdKM1N5Q1o3aGZWOE5pTFRmN09nX3hTNEpkNUZFZzVPbVVXX21rdUdGVjFxS1F0VTVvR296dkw3aV9GdjNNUlBEc0dvbkRMNTRSb09WVkNPVE93LVJiOWZaa0ItTmhvYmE3Vk1NUnpaTzR4OUtaZjZ2dS0zcmVsd3MzdktXRWRqbUJ6TzlkNlp4TXlMS3RSdWxoRnluUElKSk1SNUZrdmMyS0g4YTd2Z014OE10TjFYdGJkVTF2SUJnbktVeDNUNjV6RDN3TlpJekdfRTNxZw?oc=5
TATAINVEST,Tata Investment Corporation Limited,Why is Tata Investment Corp stock trending? Tata co shares jump 17% - theweek.in,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxPZXNob0V3OTFqN09TRnY4Xy04XzZDak1qWS1JeXotVzhnczBKN0ZJYXdrM2xlamZEMHhUMWYxWFRsZXdMeHhpMDA0YjlEd0R2Wk8xUGVYMUFpM0pYZHZVRW8tQ2pZNlpIRkVQcjctQUtuNEJLc05vOXhhMk4zNHhGcUtwU01rX2dzUkR4aWhRY0cweFBMMGlTaTR2MHFVbWxUVkduNVZQVm5SR0VNQTd5MjExRnZsX1dhQ1pKdm9sNlJiMHMxMWN5T1VYMVhzR1ZOSXFsStIB2gFBVV95cUxQcnkxLWphVmFTQkxYbFd1YXF1aktzZ3RJZl9JdFUtcHcyckNiMUwyNUIzSlJWNy1ybGxMa0VTckVKcTY2aXFpQmM1SHpxQV83QlVNQUprWTNvWC1IZEd0MlF4SnlJc2lhN21RT3NPVm1XcFg2c3YxVFBVcHdMX2ZyOF84bWpPVTZzaUIxSXVmZDd2TzhjQS10YlBJZ1dvOXhCMFMxZTNoUXJpRmxNVGlpclJ3VFJRQ2RoTUZlNkZoN1p5OUphY1FoQnFpZTVKVnRNc3h6YlF0VzlhQQ?oc=5"" target=""_blank"">Why is Tata Investment Corp stock trending? Tata co shares jump 17%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">theweek.in</font>",2025-09-30 07:00:00,theweek.in,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPZXNob0V3OTFqN09TRnY4Xy04XzZDak1qWS1JeXotVzhnczBKN0ZJYXdrM2xlamZEMHhUMWYxWFRsZXdMeHhpMDA0YjlEd0R2Wk8xUGVYMUFpM0pYZHZVRW8tQ2pZNlpIRkVQcjctQUtuNEJLc05vOXhhMk4zNHhGcUtwU01rX2dzUkR4aWhRY0cweFBMMGlTaTR2MHFVbWxUVkduNVZQVm5SR0VNQTd5MjExRnZsX1dhQ1pKdm9sNlJiMHMxMWN5T1VYMVhzR1ZOSXFsStIB2gFBVV95cUxQcnkxLWphVmFTQkxYbFd1YXF1aktzZ3RJZl9JdFUtcHcyckNiMUwyNUIzSlJWNy1ybGxMa0VTckVKcTY2aXFpQmM1SHpxQV83QlVNQUprWTNvWC1IZEd0MlF4SnlJc2lhN21RT3NPVm1XcFg2c3YxVFBVcHdMX2ZyOF84bWpPVTZzaUIxSXVmZDd2TzhjQS10YlBJZ1dvOXhCMFMxZTNoUXJpRmxNVGlpclJ3VFJRQ2RoTUZlNkZoN1p5OUphY1FoQnFpZTVKVnRNc3h6YlF0VzlhQQ?oc=5
TATAINVEST,Tata Investment Corporation Limited,Tata Stock Makes History: First-Ever 1:10 Stock Split Announced; How To Trade Post-Positive Q1 Numbers? - Goodreturns,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxNOWtKLXRqcU1mcXY3cTVHaGNuV3lBV2FNb08tTEtleEtMcDhHTXg4bzdkcTVscUVlMTNJcUhvdnk5MnlDY0tfcDM3X2xMMFZ0QTJCSFdSTzhQcnhtM1ByemlIZ1ZsY29kTmtVZkF3MFVVSmw5SjdwSkF2ZTJTeEM0Y005MndIN19xQjVOMldud3pjZ1d5eHVCT3c2NEFpNVlrS0RmTkZSTFJkT1FWTGE3bVhFRTh2cXZOZlpfRWU1dTFadm5FdmxVMXpTV1liSHVRTEtxWENPcjFkZDQ?oc=5"" target=""_blank"">Tata Stock Makes History: First-Ever 1:10 Stock Split Announced; How To Trade Post-Positive Q1 Numbers?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Goodreturns</font>",2025-08-05 07:00:00,Goodreturns,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNOWtKLXRqcU1mcXY3cTVHaGNuV3lBV2FNb08tTEtleEtMcDhHTXg4bzdkcTVscUVlMTNJcUhvdnk5MnlDY0tfcDM3X2xMMFZ0QTJCSFdSTzhQcnhtM1ByemlIZ1ZsY29kTmtVZkF3MFVVSmw5SjdwSkF2ZTJTeEM0Y005MndIN19xQjVOMldud3pjZ1d5eHVCT3c2NEFpNVlrS0RmTkZSTFJkT1FWTGE3bVhFRTh2cXZOZlpfRWU1dTFadm5FdmxVMXpTV1liSHVRTEtxWENPcjFkZDQ?oc=5
TATAINVEST,Tata Investment Corporation Limited,Tata Inv Corp shares fall 4.91%; stock among top losers on Nifty Midcap 150 - TradingView,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPdUhJTEJ1WVBSNlVyOTlQUEEzOTdnaHNNaGVlcjRjcVhtQkY4M0Vyall1QzNIM052QmxQTElVRkVfNXBZeU83Qy0zdWY1YTJZS29vdGZjZWhaMVJDSC1Dem5YQTZubm1WOWtDaW9EaEg1TEpRYVNFZkN4cFR1clBkNXNsNERUWEdoMmRfUUgta1E3MXY4VjM1LTlLbmtTZDBBMVAzd2ZSSW92aFFJRjVMQ2l5UDhSZnBFSnRwdUV4R2s2Y0ZIckhCa0JDVy0zYWg5Unc?oc=5"" target=""_blank"">Tata Inv Corp shares fall 4.91%; stock among top losers on Nifty Midcap 150</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2025-09-24 07:00:00,TradingView,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPdUhJTEJ1WVBSNlVyOTlQUEEzOTdnaHNNaGVlcjRjcVhtQkY4M0Vyall1QzNIM052QmxQTElVRkVfNXBZeU83Qy0zdWY1YTJZS29vdGZjZWhaMVJDSC1Dem5YQTZubm1WOWtDaW9EaEg1TEpRYVNFZkN4cFR1clBkNXNsNERUWEdoMmRfUUgta1E3MXY4VjM1LTlLbmtTZDBBMVAzd2ZSSW92aFFJRjVMQ2l5UDhSZnBFSnRwdUV4R2s2Y0ZIckhCa0JDVy0zYWg5Unc?oc=5
TATAINVEST,Tata Investment Corporation Limited,Tata Investment Sets Oct 14 Record Date for Share Split - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE01QXFpaE5GaWlXbkRWM2hlRDQ0X21UZkQtQ0ZpTnNudUQ3bDlxTlJVSzM1VXdPT0RFT1pXU3ktSTlNNy1XMHVqeVFsYUhyNWFFVlRJTm5tNm05YUp3ckppZVlNVTlLNjh4WHZtX3ZGTDRsekpoTDNWMEhQbXNIQTQ?oc=5"" target=""_blank"">Tata Investment Sets Oct 14 Record Date for Share Split</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-09-23 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMif0FVX3lxTE01QXFpaE5GaWlXbkRWM2hlRDQ0X21UZkQtQ0ZpTnNudUQ3bDlxTlJVSzM1VXdPT0RFT1pXU3ktSTlNNy1XMHVqeVFsYUhyNWFFVlRJTm5tNm05YUp3ckppZVlNVTlLNjh4WHZtX3ZGTDRsekpoTDNWMEhQbXNIQTQ?oc=5
TATAINVEST,Tata Investment Corporation Limited,Tata Investment shares surge 25% in 2 days: 2 key reasons behind the rally - Business Today,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxQTWxyV21sQUdxRUt6OTVXbTh6cmRPeFozQ2kzUUFyRkxmOUZMa2dwQW01THZtVEUyb2Jubk1nWF9Xd1JBa3FWWWQwNVo3aHV6LUhtTHY3a1lsWnBRNnlwSmZWQTVTbVU4aUpBUWFtdXJGeDlBX2Q1b2haTnk3bUd3YkJTOUhKSmJDZlJSQVRVY1A0bEdfR19ZNEZNVkliSmhKdDF3TVhWd3hsVlVYSTg3RzFkdmlWYkgyclQ0MGpMd2x6dXZIMVJoWGhWOUFqSmJjSk5qdXByb9IB3AFBVV95cUxOSG40ODBKUzczSkhFcVJMdFdvZFhXV3c1RDdWSkFGYldzZ2ZoU21fNEl1QTNRYWpoYXdUdjd0ZWtjbEV5SUY3dEtfSVBsbmVBTHJyUHZ6ZVRwa0tXeHVHcHU4VWJjUlJlLWstQzlkSThwNlVpanNpSmR4ZjNWMVdzZzJZSWdGTEtKRlhMdXlpTVVxMnZUM0p4eEJwejJPdkwtbU80QnNvZHJuWU1rUXRhbzhiOVNMSmd6UlNfTXc0RTlYaElib1lnSUtCa1B4STZXVVpZczdLRkFhY2ls?oc=5"" target=""_blank"">Tata Investment shares surge 25% in 2 days: 2 key reasons behind the rally</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-09-24 07:00:00,Business Today,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQTWxyV21sQUdxRUt6OTVXbTh6cmRPeFozQ2kzUUFyRkxmOUZMa2dwQW01THZtVEUyb2Jubk1nWF9Xd1JBa3FWWWQwNVo3aHV6LUhtTHY3a1lsWnBRNnlwSmZWQTVTbVU4aUpBUWFtdXJGeDlBX2Q1b2haTnk3bUd3YkJTOUhKSmJDZlJSQVRVY1A0bEdfR19ZNEZNVkliSmhKdDF3TVhWd3hsVlVYSTg3RzFkdmlWYkgyclQ0MGpMd2x6dXZIMVJoWGhWOUFqSmJjSk5qdXByb9IB3AFBVV95cUxOSG40ODBKUzczSkhFcVJMdFdvZFhXV3c1RDdWSkFGYldzZ2ZoU21fNEl1QTNRYWpoYXdUdjd0ZWtjbEV5SUY3dEtfSVBsbmVBTHJyUHZ6ZVRwa0tXeHVHcHU4VWJjUlJlLWstQzlkSThwNlVpanNpSmR4ZjNWMVdzZzJZSWdGTEtKRlhMdXlpTVVxMnZUM0p4eEJwejJPdkwtbU80QnNvZHJuWU1rUXRhbzhiOVNMSmd6UlNfTXc0RTlYaElib1lnSUtCa1B4STZXVVpZczdLRkFhY2ls?oc=5
